#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000003:21074-25480|-   -           1469 56at2085             -           1080         0 1372.3  31.1   1   1         0         0 1363.8  31.1    49  1080   317  1467   282  1467 0.89 scf00000003_13 # 21074 # 25480 # -1 # ID=4_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   4   7    0.0029      0.55    3.4   0.1   674   754   437   512   426   547 0.78 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   5   7     0.027       5.1    0.2   0.3   292   372   584   666   582   684 0.78 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   6   7   4.8e-07   9.1e-05   15.9   7.8   906   945   684   723   667   737 0.83 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   7   7   4.2e-08   7.9e-06   19.4   0.3   987  1065   734   814   724   830 0.80 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000002:401249-402061|- -            271 56at2085             -           1080   0.00023   14.6   4.2   1   1   1.5e-06   0.00029   14.2   4.2   356   464    62   175    43   185 0.84 scf00000002_326 # 401249 # 402061 # -1 # ID=3_326;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.274
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/56at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use
# Date:            Thu Nov 28 19:33:11 2024
# [ok]
