Orthogroup	MHP_UFV01_genes	MHP_KM014_genes
OG0000077	FEF30_RS00755	CIB43_RS01330
OG0000078	FEF30_RS01995	CIB43_RS02560
OG0000079	FEF30_RS02935	CIB43_RS03480
OG0000080	FEF30_RS02980	CIB43_RS03525
OG0000081	FEF30_RS00650	CIB43_RS01055
OG0000082	FEF30_RS02770	CIB43_RS03315
OG0000083	FEF30_RS02400	CIB43_RS02935
OG0000084	FEF30_RS02430	CIB43_RS02955
OG0000086	FEF30_RS02445	CIB43_RS02970
OG0000087	FEF30_RS02460	CIB43_RS02975
OG0000088	FEF30_RS02465	CIB43_RS02980
OG0000089	FEF30_RS02475	CIB43_RS02990
OG0000090	FEF30_RS00400	CIB43_RS00770
OG0000091	FEF30_RS00385	CIB43_RS00760
OG0000092	FEF30_RS00370	CIB43_RS00745
OG0000093	FEF30_RS00365	CIB43_RS00735
OG0000094	FEF30_RS00360	CIB43_RS00730
OG0000095	FEF30_RS00335	CIB43_RS00715
OG0000096	FEF30_RS00330	CIB43_RS00700
OG0000097	FEF30_RS00310	CIB43_RS00690
OG0000100	FEF30_RS00240	CIB43_RS00610
OG0000101	FEF30_RS00235	CIB43_RS00600
OG0000102	FEF30_RS02020	CIB43_RS02580
OG0000103	FEF30_RS02590	CIB43_RS03110
OG0000104	FEF30_RS02595	CIB43_RS03120
OG0000105	FEF30_RS02610	CIB43_RS03130
OG0000106	FEF30_RS02620	CIB43_RS03140
OG0000107	FEF30_RS02630	CIB43_RS03150
OG0000108	FEF30_RS02635	CIB43_RS03155
OG0000109	FEF30_RS02640	CIB43_RS03160
OG0000110	FEF30_RS02760	CIB43_RS03290
OG0000111	FEF30_RS02755	CIB43_RS03285
OG0000112	FEF30_RS02745	CIB43_RS03280
OG0000113	FEF30_RS02725	CIB43_RS03260
OG0000114	FEF30_RS02715	CIB43_RS03245
OG0000115	FEF30_RS02705	CIB43_RS03230
OG0000116	FEF30_RS01610	CIB43_RS02165
OG0000117	FEF30_RS01615	CIB43_RS02170
OG0000118	FEF30_RS01650	CIB43_RS02205
OG0000119	FEF30_RS01655	CIB43_RS02210
OG0000120	FEF30_RS01675	CIB43_RS02230
OG0000121	FEF30_RS01700	CIB43_RS02250
OG0000122	FEF30_RS01705	CIB43_RS02255
OG0000123	FEF30_RS01725	CIB43_RS02275
OG0000124	FEF30_RS01730	CIB43_RS02280
OG0000125	FEF30_RS01735	CIB43_RS02285
OG0000126	FEF30_RS01745	CIB43_RS02295
OG0000127	FEF30_RS01755	CIB43_RS02305
OG0000128	FEF30_RS01770	CIB43_RS02320
OG0000129	FEF30_RS01775	CIB43_RS02330
OG0000130	FEF30_RS01785	CIB43_RS02335
OG0000131	FEF30_RS04265	CIB43_RS02370
OG0000132	FEF30_RS04270	CIB43_RS02385
OG0000133	FEF30_RS00840	CIB43_RS01415
OG0000134	FEF30_RS00845	CIB43_RS01425
OG0000135	FEF30_RS00860	CIB43_RS01435
OG0000136	FEF30_RS00865	CIB43_RS01440
OG0000137	FEF30_RS00905	CIB43_RS01470
OG0000138	FEF30_RS00935	CIB43_RS01495
OG0000139	FEF30_RS00965	CIB43_RS01525
OG0000140	FEF30_RS00970	CIB43_RS01540
OG0000141	FEF30_RS03310	CIB43_RS03850
OG0000142	FEF30_RS04385	CIB43_RS03845
OG0000143	FEF30_RS03285	CIB43_RS03835
OG0000144	FEF30_RS03275	CIB43_RS03815
OG0000145	FEF30_RS03265	CIB43_RS03805
OG0000146	FEF30_RS03255	CIB43_RS03790
OG0000147	FEF30_RS03250	CIB43_RS03785
OG0000148	FEF30_RS03235	CIB43_RS03780
OG0000149	FEF30_RS03225	CIB43_RS03760
OG0000150	FEF30_RS03210	CIB43_RS03745
OG0000151	FEF30_RS03160	CIB43_RS03700
OG0000152	FEF30_RS03155	CIB43_RS03695
OG0000153	FEF30_RS03150	CIB43_RS03690
OG0000154	FEF30_RS03140	CIB43_RS03680
OG0000155	FEF30_RS03100	CIB43_RS03645
OG0000156	FEF30_RS03090	CIB43_RS03635
OG0000157	FEF30_RS04375	CIB43_RS03625
OG0000158	FEF30_RS04370	CIB43_RS03620
OG0000159	FEF30_RS02835	CIB43_RS03385
OG0000160	FEF30_RS02830	CIB43_RS03380
OG0000161	FEF30_RS02825	CIB43_RS03375
OG0000163	FEF30_RS02810	CIB43_RS03370
OG0000164	FEF30_RS01925	CIB43_RS02495
OG0000165	FEF30_RS02320	CIB43_RS02840
OG0000166	FEF30_RS02340	CIB43_RS02860
OG0000167	FEF30_RS02355	CIB43_RS02875
OG0000168	FEF30_RS02360	CIB43_RS02880
OG0000169	FEF30_RS03395	CIB43_RS00130
OG0000171	FEF30_RS03420	CIB43_RS00155
OG0000172	FEF30_RS03425	CIB43_RS00160
OG0000173	FEF30_RS03430	CIB43_RS00165
OG0000174	FEF30_RS03435	CIB43_RS00170
OG0000175	FEF30_RS03450	CIB43_RS00190
OG0000176	FEF30_RS03495	CIB43_RS00235
OG0000177	FEF30_RS03500	CIB43_RS00240
OG0000178	FEF30_RS03505	CIB43_RS00245
OG0000179	FEF30_RS03515	CIB43_RS00255
OG0000180	FEF30_RS03520	CIB43_RS00260
OG0000181	FEF30_RS04395	CIB43_RS00310
OG0000182	FEF30_RS03570	CIB43_RS00320
OG0000183	FEF30_RS03605	CIB43_RS00355
OG0000184	FEF30_RS00025	CIB43_RS00430
OG0000185	FEF30_RS00010	CIB43_RS00380
OG0000186	FEF30_RS04275	CIB43_RS02400
OG0000187	FEF30_RS01855	CIB43_RS02410
OG0000188	FEF30_RS01865	CIB43_RS02425
OG0000189	FEF30_RS04355	CIB43_RS03200
OG0000190	FEF30_RS02670	CIB43_RS03195
OG0000191	FEF30_RS02650	CIB43_RS03180
OG0000192	FEF30_RS01530	CIB43_RS02085
OG0000193	FEF30_RS01515	CIB43_RS02075
OG0000194	FEF30_RS01000	CIB43_RS01560
OG0000195	FEF30_RS01005	CIB43_RS01565
OG0000196	FEF30_RS01025	CIB43_RS01585
OG0000197	FEF30_RS01030	CIB43_RS01590
OG0000198	FEF30_RS01045	CIB43_RS01605
OG0000199	FEF30_RS01050	CIB43_RS01615
OG0000200	FEF30_RS01065	CIB43_RS01630
OG0000201	FEF30_RS01075	CIB43_RS01635
OG0000202	FEF30_RS01130	CIB43_RS01690
OG0000203	FEF30_RS01135	CIB43_RS01695
OG0000204	FEF30_RS01140	CIB43_RS01700
OG0000205	FEF30_RS01145	CIB43_RS01705
OG0000206	FEF30_RS01165	CIB43_RS01735
OG0000207	FEF30_RS01180	CIB43_RS01740
OG0000208	FEF30_RS01185	CIB43_RS01745
OG0000209	FEF30_RS01190	CIB43_RS01750
OG0000210	FEF30_RS01235	CIB43_RS01800
OG0000211	FEF30_RS01245	CIB43_RS01805
OG0000212	FEF30_RS01255	CIB43_RS01815
OG0000213	FEF30_RS01260	CIB43_RS01820
OG0000214	FEF30_RS01265	CIB43_RS01825
OG0000215	FEF30_RS01270	CIB43_RS01830
OG0000216	FEF30_RS01275	CIB43_RS01835
OG0000217	FEF30_RS01280	CIB43_RS01845
OG0000218	FEF30_RS01290	CIB43_RS01850
OG0000219	FEF30_RS01295	CIB43_RS01855
OG0000220	FEF30_RS01300	CIB43_RS01860
OG0000221	FEF30_RS01305	CIB43_RS01865
OG0000222	FEF30_RS01310	CIB43_RS01870
OG0000223	FEF30_RS01315	CIB43_RS01875
OG0000225	FEF30_RS01335	CIB43_RS01895
OG0000226	FEF30_RS01340	CIB43_RS01900
OG0000227	FEF30_RS01345	CIB43_RS01905
OG0000228	FEF30_RS04410	CIB43_RS01910
OG0000229	FEF30_RS01355	CIB43_RS01915
OG0000230	FEF30_RS01360	CIB43_RS01920
OG0000231	FEF30_RS01370	CIB43_RS01935
OG0000232	FEF30_RS01380	CIB43_RS01940
OG0000233	FEF30_RS01405	CIB43_RS01965
OG0000234	FEF30_RS01440	CIB43_RS02000
OG0000235	FEF30_RS01450	CIB43_RS02005
OG0000236	FEF30_RS01455	CIB43_RS02010
OG0000237	FEF30_RS01460	CIB43_RS02015
OG0000238	FEF30_RS01465	CIB43_RS02025
OG0000239	FEF30_RS03320	CIB43_RS03860
OG0000240	FEF30_RS03325	CIB43_RS03870
OG0000241	FEF30_RS03335	CIB43_RS03875
OG0000242	FEF30_RS03340	CIB43_RS03880
OG0000243	FEF30_RS03345	CIB43_RS03885
OG0000244	FEF30_RS03355	CIB43_RS03900
OG0000245	FEF30_RS03365	CIB43_RS03905
OG0000246	FEF30_RS00455	CIB43_RS00845
OG0000247	FEF30_RS00465	CIB43_RS00850
OG0000248	FEF30_RS00475	CIB43_RS00875
OG0000250	FEF30_RS00495	CIB43_RS00885
OG0000251	FEF30_RS00525	CIB43_RS00925
OG0000252	FEF30_RS00535	CIB43_RS00930
OG0000253	FEF30_RS00540	CIB43_RS00940
OG0000254	FEF30_RS00550	CIB43_RS00950
OG0000255	FEF30_RS00555	CIB43_RS00955
OG0000256	FEF30_RS00560	CIB43_RS00960
OG0000257	FEF30_RS00585	CIB43_RS00985
OG0000258	FEF30_RS00595	CIB43_RS01015
OG0000259	FEF30_RS00625	CIB43_RS01030
OG0000260	FEF30_RS00635	CIB43_RS01045
OG0000262	FEF30_RS00660	CIB43_RS01075
OG0000263	FEF30_RS00675	CIB43_RS01080
OG0000264	FEF30_RS00690	CIB43_RS01100
OG0000265	FEF30_RS00700	CIB43_RS01110
OG0000266	FEF30_RS00715	CIB43_RS01120
OG0000267	FEF30_RS00730	CIB43_RS01135
OG0000268	FEF30_RS00735	CIB43_RS01305
OG0000269	FEF30_RS00750	CIB43_RS01320
OG0000270	FEF30_RS04155	CIB43_RS00575
OG0000271	FEF30_RS00205	CIB43_RS00570
OG0000272	FEF30_RS00200	CIB43_RS00565
OG0000273	FEF30_RS00195	CIB43_RS00560
OG0000274	FEF30_RS00175	CIB43_RS00545
OG0000275	FEF30_RS04145	CIB43_RS00535
OG0000276	FEF30_RS00165	CIB43_RS00530
OG0000277	FEF30_RS00155	CIB43_RS00525
OG0000278	FEF30_RS00150	CIB43_RS00515
OG0000279	FEF30_RS00140	CIB43_RS00510
OG0000280	FEF30_RS00135	CIB43_RS00500
OG0000281	FEF30_RS00130	CIB43_RS00495
OG0000283	FEF30_RS00100	CIB43_RS00475
OG0000284	FEF30_RS00095	CIB43_RS00460
OG0000285	FEF30_RS04130	CIB43_RS00455
OG0000286	FEF30_RS02795	CIB43_RS03345
OG0000287	FEF30_RS02895	CIB43_RS03440
OG0000288	FEF30_RS02905	CIB43_RS03450
OG0000289	FEF30_RS02910	CIB43_RS03455
OG0000290	FEF30_RS03020	CIB43_RS03565
OG0000291	FEF30_RS03010	CIB43_RS03560
OG0000292	FEF30_RS03005	CIB43_RS03550
OG0000293	FEF30_RS03000	CIB43_RS03545
OG0000294	FEF30_RS02990	CIB43_RS03540
OG0000295	FEF30_RS02985	CIB43_RS03530
OG0000296	FEF30_RS02945	CIB43_RS03495
OG0000297	FEF30_RS02940	CIB43_RS03485
OG0000298	FEF30_RS00490	CIB43_RS00880
OG0000299	FEF30_RS00510	CIB43_RS00915
OG0000300	FEF30_RS00685	CIB43_RS01090
OG0000301	FEF30_RS00720	CIB43_RS01125
OG0000302	FEF30_RS00725	CIB43_RS01130
OG0000303	FEF30_RS00870	CIB43_RS01455
OG0000304	FEF30_RS01385	CIB43_RS01950
OG0000305	FEF30_RS03260	CIB43_RS03795
OG0000306	FEF30_RS03185	CIB43_RS03725
OG0000307	FEF30_RS03145	CIB43_RS03685
OG0000308	FEF30_RS03040	CIB43_RS03600
OG0000309	FEF30_RS02975	CIB43_RS03520
OG0000310	FEF30_RS02900	CIB43_RS03445
OG0000311	FEF30_RS02855	CIB43_RS03405
OG0000312	FEF30_RS02840	CIB43_RS03390
OG0000313	FEF30_RS01915	CIB43_RS02485
OG0000314	FEF30_RS02335	CIB43_RS02855
OG0000315	FEF30_RS02365	CIB43_RS02885
OG0000316	FEF30_RS02375	CIB43_RS02895
OG0000317	FEF30_RS02470	CIB43_RS02985
OG0000318	FEF30_RS04320	CIB43_RS02900
OG0000319	FEF30_RS02605	CIB43_RS03125
OG0000320	FEF30_RS02735	CIB43_RS03270
OG0000321	FEF30_RS01645	CIB43_RS02200
OG0000322	FEF30_RS01695	CIB43_RS02245
OG0000323	FEF30_RS01825	CIB43_RS02375
OG0000324	FEF30_RS02645	CIB43_RS03170
OG0000325	FEF30_RS01010	CIB43_RS01570
OG0000326	FEF30_RS01105	CIB43_RS01665
OG0000327	FEF30_RS01110	CIB43_RS01670
OG0000328	FEF30_RS01195	CIB43_RS01760
OG0000329	FEF30_RS01215	CIB43_RS01775
OG0000330	FEF30_RS01415	CIB43_RS01970
OG0000331	FEF30_RS03350	CIB43_RS03890
OG0000332	FEF30_RS03460	CIB43_RS00200
OG0000333	FEF30_RS03470	CIB43_RS00210
OG0000334	FEF30_RS03565	CIB43_RS00315
OG0000335	FEF30_RS03575	CIB43_RS00340
OG0000336	FEF30_RS04140	CIB43_RS00485
OG0000337	FEF30_RS00285	CIB43_RS00655
OG0000338	FEF30_RS00325	CIB43_RS00695
OG0000339	FEF30_RS02710	CIB43_RS03235
OG0000340	FEF30_RS01625	CIB43_RS02185
OG0000341	FEF30_RS02665	CIB43_RS03190
OG0000342	FEF30_RS01040	CIB43_RS01600
OG0000343	FEF30_RS03480	CIB43_RS00215
OG0000344	FEF30_RS00885	CIB43_RS01465
OG0000345	FEF30_RS01330	CIB43_RS01890
OG0000346	FEF30_RS00125	CIB43_RS00490
OG0000347	FEF30_RS01720	CIB43_RS02270
OG0000348	FEF30_RS01115	CIB43_RS01685
OG0000349	FEF30_RS04150	CIB43_RS00550
OG0000350	FEF30_RS03135	CIB43_RS03675
OG0000351	FEF30_RS00805	CIB43_RS01385
OG0000352	FEF30_RS02315	CIB43_RS02830
OG0000353	FEF30_RS01690	CIB43_RS02240
OG0000354	FEF30_RS00950	CIB43_RS01515
OG0000355	FEF30_RS04310	CIB43_RS02805
OG0000356	FEF30_RS04315	CIB43_RS02890
OG0000357	FEF30_RS04390	CIB43_RS00175
OG0000358	FEF30_RS03445	CIB43_RS00180
OG0000359	FEF30_RS04215	CIB43_RS01650
OG0000360	FEF30_RS00590	CIB43_RS00990
OG0000361	FEF30_RS00620	CIB43_RS01020
OG0000362	FEF30_RS02920	CIB43_RS03475
OG0000363	FEF30_RS01760	CIB43_RS02310
OG0000364	FEF30_RS02275	CIB43_RS02775
OG0000369	FEF30_RS04170	CIB43_RS00725
OG0000370	FEF30_RS00350	CIB43_RS00720
OG0000378	FEF30_RS01605	CIB43_RS02160
OG0000379	FEF30_RS01685	CIB43_RS02235
OG0000380	FEF30_RS01710	CIB43_RS02260
OG0000381	FEF30_RS01750	CIB43_RS02300
OG0000385	FEF30_RS00830	CIB43_RS01405
OG0000389	FEF30_RS00930	CIB43_RS01490
OG0000394	FEF30_RS03110	CIB43_RS03660
OG0000396	FEF30_RS02800	CIB43_RS03350
OG0000403	FEF30_RS03485	CIB43_RS00220
OG0000404	FEF30_RS03510	CIB43_RS00250
OG0000405	FEF30_RS04480	CIB43_RS00265
OG0000409	FEF30_RS03595	CIB43_RS00345
OG0000412	FEF30_RS00015	CIB43_RS00390
OG0000417	FEF30_RS02660	CIB43_RS03185
OG0000428	FEF30_RS01225	CIB43_RS01785
OG0000429	FEF30_RS01320	CIB43_RS01885
OG0000430	FEF30_RS01365	CIB43_RS01925
OG0000434	FEF30_RS01430	CIB43_RS01985
OG0000436	FEF30_RS01470	CIB43_RS02030
OG0000437	FEF30_RS01480	CIB43_RS02065
OG0000441	FEF30_RS03370	CIB43_RS03910
OG0000451	FEF30_RS00680	CIB43_RS01085
OG0000453	FEF30_RS00740	CIB43_RS01315
OG0000457	FEF30_RS00085	CIB43_RS00450
OG0000459	FEF30_RS02915	CIB43_RS03460
OG0000463	FEF30_RS02960	CIB43_RS03515
OG0000464	FEF30_RS02955	CIB43_RS03500
OG0000466	FEF30_RS00710	CIB43_RS01115
OG0000468	FEF30_RS02345	CIB43_RS02870
OG0000471	FEF30_RS01230	CIB43_RS01790
OG0000473	FEF30_RS00215	CIB43_RS00580
OG0000474	FEF30_RS00220	CIB43_RS00585
OG0000475	FEF30_RS00225	CIB43_RS00595
OG0000482	FEF30_RS01520	CIB43_RS02080
OG0000485	FEF30_RS01475	CIB43_RS02035
OG0000486	FEF30_RS02680	CIB43_RS03205
OG0000487	FEF30_RS04325	CIB43_RS02915
OG0000488	FEF30_RS02425	CIB43_RS02940
OG0000489	FEF30_RS00380	CIB43_RS00750
OG0000491	FEF30_RS01660	CIB43_RS02220
OG0000492	FEF30_RS01740	CIB43_RS02290
OG0000495	FEF30_RS03215	CIB43_RS03750
OG0000502	FEF30_RS01510	CIB43_RS02070
OG0000504	FEF30_RS01205	CIB43_RS01770
OG0000506	FEF30_RS01250	CIB43_RS01810
OG0000508	FEF30_RS00565	CIB43_RS00980
OG0000517	FEF30_RS00395	CIB43_RS00765
OG0000519	FEF30_RS01095	CIB43_RS01660
OG0000520	FEF30_RS01220	CIB43_RS01780
OG0000523	FEF30_RS00080	CIB43_RS00445
OG0000526	FEF30_RS02235	CIB43_RS02720
OG0000527	FEF30_RS02175	CIB43_RS02640
OG0000529	FEF30_RS02615	CIB43_RS03135
OG0000530	FEF30_RS02720	CIB43_RS03250
OG0000531	FEF30_RS01715	CIB43_RS02265
OG0000537	FEF30_RS01035	CIB43_RS01595
OG0000538	FEF30_RS01435	CIB43_RS01990
OG0000544	FEF30_RS04245	CIB43_RS02125
OG0000545	FEF30_RS02225	CIB43_RS02715
OG0000546	FEF30_RS03165	CIB43_RS03705
OG0000553	FEF30_RS04365	CIB43_RS03610
OG0000554	FEF30_RS02765	CIB43_RS03295
OG0000556	FEF30_RS04300	CIB43_RS01290
OG0000557	FEF30_RS01575	CIB43_RS02130
OG0000558	FEF30_RS01545	CIB43_RS02100
OG0000559	FEF30_RS02015	CIB43_RS02575
OG0000560	FEF30_RS02215	CIB43_RS02680
OG0000561	FEF30_RS01420	CIB43_RS01980
OG0000562	FEF30_RS02220	CIB43_RS02685
OG0000563	FEF30_RS02205	CIB43_RS02670
OG0000564	FEF30_RS01600	CIB43_RS02155
OG0000565	FEF30_RS02260	CIB43_RS02760
OG0000566	FEF30_RS02245	CIB43_RS02740
OG0000568	FEF30_RS00995	CIB43_RS01555
OG0000569	FEF30_RS01550	CIB43_RS02105
OG0000570	FEF30_RS04240	CIB43_RS02110
OG0000571	FEF30_RS01560	CIB43_RS02115
OG0000572	FEF30_RS01580	CIB43_RS02135
OG0000573	FEF30_RS02010	CIB43_RS02570
OG0000574	FEF30_RS01620	CIB43_RS02175
OG0000575	FEF30_RS01535	CIB43_RS02090
OG0000576	FEF30_RS01970	CIB43_RS02530
OG0000577	FEF30_RS03035	CIB43_RS03580
OG0000579	FEF30_RS02195	CIB43_RS02660
OG0000580	FEF30_RS03170	CIB43_RS03710
OG0000581	FEF30_RS02180	CIB43_RS02645
OG0000584	FEF30_RS02075	CIB43_RS01255
OG0000585	FEF30_RS02585	CIB43_RS03105
OG0000588	FEF30_RS01960	CIB43_RS02525
OG0000589	FEF30_RS02520	CIB43_RS03055
OG0000590	FEF30_RS02060	CIB43_RS00030
OG0000592	FEF30_RS03025	CIB43_RS03570
OG0000594	FEF30_RS01540	CIB43_RS02095
OG0000595	FEF30_RS04470	CIB43_RS03920
OG0000597	FEF30_RS03375	CIB43_RS03915
OG0000600	FEF30_RS02080	CIB43_RS01175, CIB43_RS00040
OG0000601	FEF30_RS02210	CIB43_RS02675
OG0000603	FEF30_RS02090	CIB43_RS00060
OG0000606	FEF30_RS02185	CIB43_RS02655
OG0000614	FEF30_RS02535	CIB43_RS03070
OG0000628	FEF30_RS02125	CIB43_RS00090
OG0000629	FEF30_RS02050	CIB43_RS00015
OG0000630	FEF30_RS02135	CIB43_RS00100
OG0000631	FEF30_RS02130	CIB43_RS00095
