Orthogroup	MHP_UFV01_genes	MHP_ES2_genes
OG0000125	FEF30_RS01735	E5E95_RS01435
OG0000126	FEF30_RS01745	E5E95_RS01445
OG0000127	FEF30_RS01755	E5E95_RS01455
OG0000128	FEF30_RS01770	E5E95_RS01470
OG0000129	FEF30_RS01775	E5E95_RS01475
OG0000130	FEF30_RS01785	E5E95_RS01485
OG0000131	FEF30_RS04265	E5E95_RS01515
OG0000132	FEF30_RS04270	E5E95_RS01530
OG0000133	FEF30_RS00840	E5E95_RS00530
OG0000134	FEF30_RS00845	E5E95_RS00535
OG0000135	FEF30_RS00860	E5E95_RS00550
OG0000136	FEF30_RS00865	E5E95_RS00555
OG0000137	FEF30_RS00905	E5E95_RS00585
OG0000138	FEF30_RS00935	E5E95_RS00620
OG0000139	FEF30_RS00965	E5E95_RS00650
OG0000140	FEF30_RS00970	E5E95_RS00655
OG0000141	FEF30_RS03310	E5E95_RS03135
OG0000142	FEF30_RS04385	E5E95_RS03130
OG0000143	FEF30_RS03285	E5E95_RS03105
OG0000144	FEF30_RS03275	E5E95_RS03095
OG0000145	FEF30_RS03265	E5E95_RS03085
OG0000146	FEF30_RS03255	E5E95_RS03075
OG0000147	FEF30_RS03250	E5E95_RS03070
OG0000148	FEF30_RS03235	E5E95_RS03055
OG0000149	FEF30_RS03225	E5E95_RS03045
OG0000150	FEF30_RS03210	E5E95_RS03030
OG0000151	FEF30_RS03160	E5E95_RS02985
OG0000152	FEF30_RS03155	E5E95_RS02980
OG0000153	FEF30_RS03150	E5E95_RS02975
OG0000154	FEF30_RS03140	E5E95_RS02965
OG0000155	FEF30_RS03100	E5E95_RS02925
OG0000156	FEF30_RS03090	E5E95_RS02915
OG0000157	FEF30_RS04375	E5E95_RS02910
OG0000158	FEF30_RS04370	E5E95_RS02905
OG0000159	FEF30_RS02835	E5E95_RS04310
OG0000160	FEF30_RS02830	E5E95_RS02665
OG0000161	FEF30_RS02825	E5E95_RS02660
OG0000162	FEF30_RS02815	E5E95_RS02650
OG0000163	FEF30_RS02810	E5E95_RS02645
OG0000164	FEF30_RS01925	E5E95_RS01630
OG0000165	FEF30_RS02320	E5E95_RS02055
OG0000166	FEF30_RS02340	E5E95_RS02080
OG0000167	FEF30_RS02355	E5E95_RS02095
OG0000168	FEF30_RS02360	E5E95_RS02100
OG0000169	FEF30_RS03395	E5E95_RS03255
OG0000170	FEF30_RS04475	E5E95_RS03270
OG0000171	FEF30_RS03420	E5E95_RS03280
OG0000172	FEF30_RS03425	E5E95_RS03285
OG0000173	FEF30_RS03430	E5E95_RS03290
OG0000174	FEF30_RS03435	E5E95_RS03295
OG0000175	FEF30_RS03450	E5E95_RS03310
OG0000176	FEF30_RS03495	E5E95_RS03360
OG0000177	FEF30_RS03500	E5E95_RS03365
OG0000178	FEF30_RS03505	E5E95_RS03370
OG0000179	FEF30_RS03515	E5E95_RS03380
OG0000180	FEF30_RS03520	E5E95_RS03385
OG0000181	FEF30_RS04395	E5E95_RS03435
OG0000182	FEF30_RS03570	E5E95_RS03445
OG0000183	FEF30_RS03605	E5E95_RS03480
OG0000184	FEF30_RS00025	E5E95_RS03525
OG0000185	FEF30_RS00010	E5E95_RS03510
OG0000186	FEF30_RS04275	E5E95_RS01540
OG0000187	FEF30_RS01855	E5E95_RS01555
OG0000188	FEF30_RS01865	E5E95_RS01565
OG0000189	FEF30_RS04355	E5E95_RS02415
OG0000190	FEF30_RS02670	E5E95_RS02410
OG0000191	FEF30_RS02650	E5E95_RS02390
OG0000192	FEF30_RS01530	E5E95_RS01235
OG0000193	FEF30_RS01515	E5E95_RS01225
OG0000194	FEF30_RS01000	E5E95_RS00690
OG0000195	FEF30_RS01005	E5E95_RS00695
OG0000196	FEF30_RS01025	E5E95_RS00715
OG0000197	FEF30_RS01030	E5E95_RS00720
OG0000198	FEF30_RS01045	E5E95_RS00735
OG0000199	FEF30_RS01050	E5E95_RS00740
OG0000200	FEF30_RS01065	E5E95_RS00755
OG0000201	FEF30_RS01075	E5E95_RS00765
OG0000202	FEF30_RS01130	E5E95_RS00820
OG0000203	FEF30_RS01135	E5E95_RS00825
OG0000204	FEF30_RS01140	E5E95_RS00830
OG0000205	FEF30_RS01145	E5E95_RS00835
OG0000206	FEF30_RS01165	E5E95_RS00855
OG0000207	FEF30_RS01180	E5E95_RS00870
OG0000208	FEF30_RS01185	E5E95_RS00875
OG0000209	FEF30_RS01190	E5E95_RS00880
OG0000210	FEF30_RS01235	E5E95_RS00925
OG0000211	FEF30_RS01245	E5E95_RS00955
OG0000212	FEF30_RS01255	E5E95_RS00965
OG0000213	FEF30_RS01260	E5E95_RS00970
OG0000214	FEF30_RS01265	E5E95_RS00975
OG0000215	FEF30_RS01270	E5E95_RS00980
OG0000216	FEF30_RS01275	E5E95_RS00985
OG0000217	FEF30_RS01280	E5E95_RS00995
OG0000218	FEF30_RS01290	E5E95_RS01000
OG0000219	FEF30_RS01295	E5E95_RS01005
OG0000220	FEF30_RS01300	E5E95_RS01010
OG0000221	FEF30_RS01305	E5E95_RS01015
OG0000222	FEF30_RS01310	E5E95_RS01020
OG0000223	FEF30_RS01315	E5E95_RS01025
OG0000224	FEF30_RS01325	E5E95_RS01035
OG0000225	FEF30_RS01335	E5E95_RS01045
OG0000226	FEF30_RS01340	E5E95_RS01050
OG0000227	FEF30_RS01345	E5E95_RS01055
OG0000228	FEF30_RS04410	E5E95_RS04285
OG0000229	FEF30_RS01355	E5E95_RS01065
OG0000230	FEF30_RS01360	E5E95_RS01070
OG0000231	FEF30_RS01370	E5E95_RS01080
OG0000232	FEF30_RS01380	E5E95_RS01090
OG0000233	FEF30_RS01405	E5E95_RS01110
OG0000234	FEF30_RS01440	E5E95_RS01145
OG0000235	FEF30_RS01450	E5E95_RS01155
OG0000236	FEF30_RS01455	E5E95_RS01160
OG0000237	FEF30_RS01460	E5E95_RS01165
OG0000238	FEF30_RS01465	E5E95_RS01175
OG0000239	FEF30_RS03320	E5E95_RS03145
OG0000240	FEF30_RS03325	E5E95_RS03150
OG0000241	FEF30_RS03335	E5E95_RS03160
OG0000242	FEF30_RS03340	E5E95_RS03165
OG0000243	FEF30_RS03345	E5E95_RS03170
OG0000244	FEF30_RS03355	E5E95_RS03180
OG0000245	FEF30_RS03365	E5E95_RS03190
OG0000246	FEF30_RS00455	E5E95_RS00130
OG0000247	FEF30_RS00465	E5E95_RS00140
OG0000248	FEF30_RS00475	E5E95_RS00150
OG0000249	FEF30_RS03675, FEF30_RS00480	E5E95_RS00155
OG0000250	FEF30_RS00495	E5E95_RS00170
OG0000251	FEF30_RS00525	E5E95_RS00205
OG0000252	FEF30_RS00535	E5E95_RS00215
OG0000253	FEF30_RS00540	E5E95_RS00220
OG0000254	FEF30_RS00550	E5E95_RS00230
OG0000255	FEF30_RS00555	E5E95_RS00240
OG0000256	FEF30_RS00560	E5E95_RS00245
OG0000257	FEF30_RS00585	E5E95_RS00270
OG0000258	FEF30_RS00595	E5E95_RS00280
OG0000259	FEF30_RS00625	E5E95_RS00310
OG0000260	FEF30_RS00635	E5E95_RS00320
OG0000261	FEF30_RS04195	E5E95_RS00330
OG0000262	FEF30_RS00660	E5E95_RS00350
OG0000263	FEF30_RS00675	E5E95_RS00360
OG0000264	FEF30_RS00690	E5E95_RS00375
OG0000265	FEF30_RS00700	E5E95_RS00385
OG0000266	FEF30_RS00715	E5E95_RS00400
OG0000267	FEF30_RS00730	E5E95_RS00415
OG0000268	FEF30_RS00735	E5E95_RS00420
OG0000269	FEF30_RS00750	E5E95_RS00435
OG0000270	FEF30_RS04155	E5E95_RS03710
OG0000271	FEF30_RS00205	E5E95_RS03705
OG0000272	FEF30_RS00200	E5E95_RS03700
OG0000273	FEF30_RS00195	E5E95_RS03695
OG0000274	FEF30_RS00175	E5E95_RS03675
OG0000275	FEF30_RS04145	E5E95_RS03670
OG0000276	FEF30_RS00165	E5E95_RS03665
OG0000277	FEF30_RS00155	E5E95_RS03655
OG0000278	FEF30_RS00150	E5E95_RS03650
OG0000279	FEF30_RS00140	E5E95_RS03640
OG0000280	FEF30_RS00135	E5E95_RS03635
OG0000281	FEF30_RS00130	E5E95_RS03630
OG0000282	FEF30_RS04135	E5E95_RS03605
OG0000283	FEF30_RS00100	E5E95_RS03600
OG0000284	FEF30_RS00095	E5E95_RS03595
OG0000285	FEF30_RS04130	E5E95_RS03590
OG0000286	FEF30_RS02795	E5E95_RS04305
OG0000287	FEF30_RS02895	E5E95_RS02720
OG0000288	FEF30_RS02905	E5E95_RS02730
OG0000289	FEF30_RS02910	E5E95_RS02735
OG0000290	FEF30_RS03020	E5E95_RS02845
OG0000291	FEF30_RS03010	E5E95_RS02835
OG0000292	FEF30_RS03005	E5E95_RS02830
OG0000293	FEF30_RS03000	E5E95_RS02825
OG0000294	FEF30_RS02990	E5E95_RS02815
OG0000295	FEF30_RS02985	E5E95_RS02810
OG0000296	FEF30_RS02945	E5E95_RS02770
OG0000297	FEF30_RS02940	E5E95_RS02765
OG0000298	FEF30_RS00490	E5E95_RS00165
OG0000299	FEF30_RS00510	E5E95_RS00190
OG0000300	FEF30_RS00685	E5E95_RS00370
OG0000301	FEF30_RS00720	E5E95_RS00405
OG0000302	FEF30_RS00725	E5E95_RS00410
OG0000303	FEF30_RS00870	E5E95_RS00560
OG0000304	FEF30_RS01385	E5E95_RS01095
OG0000305	FEF30_RS03260	E5E95_RS03080
OG0000306	FEF30_RS03185	E5E95_RS03005
OG0000307	FEF30_RS03145	E5E95_RS02970
OG0000308	FEF30_RS03040	E5E95_RS02875
OG0000309	FEF30_RS02975	E5E95_RS02800
OG0000310	FEF30_RS02900	E5E95_RS02725
OG0000311	FEF30_RS02855	E5E95_RS02690
OG0000312	FEF30_RS02840	E5E95_RS02675
OG0000313	FEF30_RS01915	E5E95_RS01620
OG0000314	FEF30_RS02335	E5E95_RS02075
OG0000315	FEF30_RS02365	E5E95_RS02105
OG0000316	FEF30_RS02375	E5E95_RS02115
OG0000317	FEF30_RS02470	E5E95_RS02205
OG0000318	FEF30_RS04320	E5E95_RS02120
OG0000319	FEF30_RS02605	E5E95_RS02345
OG0000320	FEF30_RS02735	E5E95_RS02570
OG0000321	FEF30_RS01645	E5E95_RS01350
OG0000322	FEF30_RS01695	E5E95_RS01395
OG0000323	FEF30_RS01825	E5E95_RS01525
OG0000324	FEF30_RS02645	E5E95_RS02385
OG0000325	FEF30_RS01010	E5E95_RS00700
OG0000326	FEF30_RS01105	E5E95_RS00795
OG0000327	FEF30_RS01110	E5E95_RS00800
OG0000328	FEF30_RS01195	E5E95_RS00885
OG0000329	FEF30_RS01215	E5E95_RS00905
OG0000330	FEF30_RS01415	E5E95_RS01120
OG0000331	FEF30_RS03350	E5E95_RS03175
OG0000332	FEF30_RS03460	E5E95_RS03320
OG0000333	FEF30_RS03470	E5E95_RS03330
OG0000334	FEF30_RS03565	E5E95_RS03440
OG0000335	FEF30_RS03575	E5E95_RS03450
OG0000336	FEF30_RS04140	E5E95_RS03620
OG0000337	FEF30_RS00285	E5E95_RS03795
OG0000338	FEF30_RS00325	E5E95_RS03835
OG0000339	FEF30_RS02710	E5E95_RS02540
OG0000340	FEF30_RS01625	E5E95_RS01330
OG0000341	FEF30_RS02665	E5E95_RS02405
OG0000342	FEF30_RS01040	E5E95_RS00730
OG0000343	FEF30_RS03480	E5E95_RS03340
OG0000344	FEF30_RS00885	E5E95_RS00575
OG0000345	FEF30_RS01330	E5E95_RS01040
OG0000346	FEF30_RS00125	E5E95_RS03625
OG0000347	FEF30_RS01720	E5E95_RS01420
OG0000348	FEF30_RS01115	E5E95_RS00805
OG0000349	FEF30_RS04150	E5E95_RS03685
OG0000350	FEF30_RS03135	E5E95_RS02960
OG0000351	FEF30_RS00805	E5E95_RS00495
OG0000352	FEF30_RS02315	E5E95_RS02050
OG0000353	FEF30_RS01690	E5E95_RS01390
OG0000354	FEF30_RS00950	E5E95_RS00635
OG0000355	FEF30_RS04310	E5E95_RS02020
OG0000356	FEF30_RS04315	E5E95_RS02110
OG0000357	FEF30_RS04390	E5E95_RS03300
OG0000358	FEF30_RS03445	E5E95_RS03305
OG0000359	FEF30_RS04215	E5E95_RS00775
OG0000360	FEF30_RS00590	E5E95_RS00275
OG0000361	FEF30_RS00620	E5E95_RS00305
OG0000362	FEF30_RS02920	E5E95_RS02745
OG0000363	FEF30_RS01760	E5E95_RS03985
OG0000364	FEF30_RS02275	E5E95_RS01995
OG0000365	FEF30_RS04335	E5E95_RS02150
OG0000366	FEF30_RS02440	E5E95_RS02175
OG0000367	FEF30_RS02450	E5E95_RS02185
OG0000368	FEF30_RS00390	E5E95_RS00060
OG0000369	FEF30_RS04170	E5E95_RS00025
OG0000370	FEF30_RS00350	E5E95_RS00020
OG0000371	FEF30_RS00345	E5E95_RS00015
OG0000372	FEF30_RS00340	E5E95_RS00010
OG0000373	FEF30_RS00315	E5E95_RS03825
OG0000374	FEF30_RS00305	E5E95_RS03815
OG0000375	FEF30_RS02600	E5E95_RS02340
OG0000376	FEF30_RS02750	E5E95_RS02585
OG0000377	FEF30_RS02740	E5E95_RS02575
OG0000378	FEF30_RS01605	E5E95_RS01310
OG0000379	FEF30_RS01685	E5E95_RS01385
OG0000380	FEF30_RS01710	E5E95_RS01410
OG0000381	FEF30_RS01750	E5E95_RS01450
OG0000382	FEF30_RS01780	E5E95_RS01480
OG0000383	FEF30_RS01820	E5E95_RS01520
OG0000384	FEF30_RS00825	E5E95_RS00515
OG0000385	FEF30_RS00830	E5E95_RS00520
OG0000386	FEF30_RS00850	E5E95_RS00540
OG0000387	FEF30_RS00875	E5E95_RS00565
OG0000388	FEF30_RS04205	E5E95_RS00570
OG0000389	FEF30_RS00930	E5E95_RS00615
OG0000390	FEF30_RS03280	E5E95_RS03100
OG0000391	FEF30_RS03270	E5E95_RS03090
OG0000392	FEF30_RS03245	E5E95_RS03065
OG0000393	FEF30_RS04380	E5E95_RS03010
OG0000394	FEF30_RS03110	E5E95_RS02940
OG0000395	FEF30_RS03105	E5E95_RS02930
OG0000397	FEF30_RS02300	E5E95_RS02035
OG0000398	FEF30_RS02305	E5E95_RS02040
OG0000399	FEF30_RS02350	E5E95_RS02090
OG0000400	FEF30_RS03405	E5E95_RS03265
OG0000401	FEF30_RS03465	E5E95_RS03325
OG0000402	FEF30_RS03475	E5E95_RS03335
OG0000403	FEF30_RS03485	E5E95_RS03345
OG0000404	FEF30_RS03510	E5E95_RS03375
OG0000405	FEF30_RS04480	E5E95_RS03390
OG0000406	FEF30_RS03580	E5E95_RS03455
OG0000407	FEF30_RS04400	E5E95_RS03460
OG0000408	FEF30_RS03590	E5E95_RS03465
OG0000409	FEF30_RS03595	E5E95_RS03470
OG0000410	FEF30_RS00030	E5E95_RS03530
OG0000411	FEF30_RS00020	E5E95_RS03520
OG0000412	FEF30_RS00015	E5E95_RS03515
OG0000413	FEF30_RS01835	E5E95_RS01535
OG0000414	FEF30_RS01845	E5E95_RS01545
OG0000415	FEF30_RS01850	E5E95_RS01550
OG0000416	FEF30_RS01860	E5E95_RS01560
OG0000417	FEF30_RS02660	E5E95_RS02400
OG0000418	FEF30_RS02655	E5E95_RS02395
OG0000419	FEF30_RS01020	E5E95_RS00710
OG0000420	FEF30_RS01055	E5E95_RS00745
OG0000421	FEF30_RS01090	E5E95_RS00780
OG0000422	FEF30_RS01100	E5E95_RS00790
OG0000423	FEF30_RS01155	E5E95_RS00845
OG0000424	FEF30_RS01160	E5E95_RS00850
OG0000425	FEF30_RS01170	E5E95_RS00860
OG0000426	FEF30_RS04220	E5E95_RS00865
OG0000427	FEF30_RS04225	E5E95_RS00890
OG0000428	FEF30_RS01225	E5E95_RS00915
OG0000429	FEF30_RS01320	E5E95_RS01030
OG0000430	FEF30_RS01365	E5E95_RS01075
OG0000431	FEF30_RS01375	E5E95_RS01085
OG0000432	FEF30_RS01410	E5E95_RS01115
OG0000433	FEF30_RS01425	E5E95_RS01130
OG0000434	FEF30_RS01430	E5E95_RS01135
OG0000435	FEF30_RS01445	E5E95_RS01150
OG0000436	FEF30_RS01470	E5E95_RS01180
OG0000437	FEF30_RS01480	E5E95_RS01190
OG0000438	FEF30_RS01485	E5E95_RS01195
OG0000439	FEF30_RS04235	E5E95_RS01200
OG0000440	FEF30_RS03330	E5E95_RS03155
OG0000441	FEF30_RS03370	E5E95_RS03195
OG0000442	FEF30_RS00460	E5E95_RS00135
OG0000443	FEF30_RS00505	E5E95_RS00185
OG0000444	FEF30_RS00520	E5E95_RS00200
OG0000445	FEF30_RS00545	E5E95_RS00225
OG0000446	FEF30_RS00570	E5E95_RS00255
OG0000447	FEF30_RS00575	E5E95_RS00260
OG0000448	FEF30_RS00605	E5E95_RS00290
OG0000449	FEF30_RS00630	E5E95_RS00315
OG0000450	FEF30_RS00640	E5E95_RS00325
OG0000451	FEF30_RS00680	E5E95_RS00365
OG0000452	FEF30_RS00705	E5E95_RS00390
OG0000453	FEF30_RS00740	E5E95_RS00425
OG0000455	FEF30_RS00230	E5E95_RS03730
OG0000456	FEF30_RS00110	E5E95_RS03610
OG0000457	FEF30_RS00085	E5E95_RS03585
OG0000458	FEF30_RS02890	E5E95_RS02715
OG0000459	FEF30_RS02915	E5E95_RS02740
OG0000460	FEF30_RS02925	E5E95_RS02750
OG0000461	FEF30_RS02970	E5E95_RS02795
OG0000462	FEF30_RS02965	E5E95_RS02790
OG0000463	FEF30_RS02960	E5E95_RS02785
OG0000464	FEF30_RS02955	E5E95_RS02780
OG0000465	FEF30_RS02950	E5E95_RS02775
OG0000466	FEF30_RS00710	E5E95_RS00395
OG0000467	FEF30_RS04360	E5E95_RS02880
OG0000468	FEF30_RS02345	E5E95_RS02085
OG0000469	FEF30_RS02405	E5E95_RS02145
OG0000470	FEF30_RS01150	E5E95_RS03895
OG0000471	FEF30_RS01230	E5E95_RS00920
OG0000472	FEF30_RS00040	E5E95_RS03540
OG0000473	FEF30_RS00215	E5E95_RS03715
OG0000474	FEF30_RS00220	E5E95_RS03720
OG0000475	FEF30_RS00225	E5E95_RS03725
OG0000476	FEF30_RS01870	E5E95_RS01570
OG0000477	FEF30_RS02995	E5E95_RS02820
OG0000478	FEF30_RS00160	E5E95_RS03660
OG0000479	FEF30_RS01640	E5E95_RS01345
OG0000480	FEF30_RS02410	E5E95_RS03865
OG0000481	FEF30_RS01125	E5E95_RS00815
OG0000482	FEF30_RS01520	E5E95_RS01230
OG0000483	FEF30_RS02455	E5E95_RS02190
OG0000484	FEF30_RS04190	E5E95_RS00195
OG0000485	FEF30_RS01475	E5E95_RS01185
OG0000486	FEF30_RS02680	E5E95_RS02420
OG0000487	FEF30_RS04325	E5E95_RS02125
OG0000488	FEF30_RS02425	E5E95_RS02160
OG0000489	FEF30_RS00380	E5E95_RS00050
OG0000490	FEF30_RS00320	E5E95_RS03830
OG0000491	FEF30_RS01660	E5E95_RS01365
OG0000492	FEF30_RS01740	E5E95_RS01440
OG0000493	FEF30_RS00890	E5E95_RS00580
OG0000494	FEF30_RS00955	E5E95_RS00640
OG0000495	FEF30_RS03215	E5E95_RS03035
OG0000496	FEF30_RS03205	E5E95_RS03025
OG0000497	FEF30_RS03200	E5E95_RS03020
OG0000500	FEF30_RS02310	E5E95_RS02045
OG0000502	FEF30_RS01510	E5E95_RS01220
OG0000503	FEF30_RS01070	E5E95_RS00760
OG0000504	FEF30_RS01205	E5E95_RS00895
OG0000506	FEF30_RS01250	E5E95_RS00960
