Orthogroup	MFC_MF11_proteins	MHP_133A_proteins
OG0000122	WP_002557549.1	WP_020835643.1
OG0000123	WP_160581199.1	WP_011205954.1
OG0000124	WP_002557554.1	WP_011290118.1
OG0000125	WP_160581203.1	WP_011205952.1
OG0000126	WP_160581207.1	WP_160585089.1
OG0000127	WP_160593532.1	WP_404924444.1
OG0000128	WP_160603202.1	WP_404924446.1
OG0000129	WP_002557563.1	WP_014579732.1
OG0000130	WP_002557565.1	WP_011284046.1
OG0000131	WP_002557566.1	WP_160588225.1
OG0000132	WP_160584038.1	WP_011205939.1
OG0000133	WP_002557574.1	WP_094521764.1
OG0000134	WP_160603038.1	WP_308507044.1
OG0000135	WP_002557577.1	WP_160585148.1
OG0000136	WP_002557578.1	WP_011206119.1
OG0000137	WP_160583687.1	WP_404924396.1
OG0000138	WP_160580868.1	WP_404924401.1
OG0000139	WP_160583681.1	WP_011290017.1
OG0000140	WP_160583679.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_146379698.1
OG0000142	WP_002557603.1	WP_011284289.1
OG0000143	WP_160603049.1	WP_011206391.1
OG0000144	WP_002557609.1	WP_404924284.1
OG0000145	WP_160583671.1	WP_225972996.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_160603053.1	WP_041361684.1
OG0000149	WP_002557620.1	WP_011290331.1
OG0000150	WP_002557623.1	WP_135619006.1
OG0000151	WP_160580918.1	WP_404924277.1
OG0000152	WP_160583657.1	WP_404924276.1
OG0000153	WP_160580922.1	WP_233688497.1
OG0000154	WP_160580926.1	WP_160587842.1
OG0000155	WP_002557642.1	WP_020835820.1
OG0000156	WP_160580941.1	WP_011206335.1
OG0000157	WP_002557648.1	WP_011206334.1
OG0000158	WP_160603069.1	WP_404924268.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_179221158.1
OG0000161	WP_160603116.1	WP_011206287.1
OG0000162	WP_160581406.1	WP_135619210.1
OG0000163	WP_160581408.1	WP_404924246.1
OG0000164	WP_002557677.1	WP_348572081.1
OG0000165	WP_002557684.1	WP_011206200.1
OG0000166	WP_160581423.1	WP_160590029.1
OG0000167	WP_160581429.1	WP_011206207.1
OG0000168	WP_160584058.1	WP_404924203.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160603210.1	WP_020835862.1
OG0000171	WP_160581256.1	WP_404924298.1
OG0000172	WP_160583901.1	WP_011206424.1
OG0000173	WP_002557708.1	WP_011206425.1
OG0000174	WP_160583903.1	WP_160600929.1
OG0000175	WP_002557712.1	WP_404924300.1
OG0000176	WP_160593449.1	WP_160585271.1
OG0000177	WP_160581270.1	WP_160585273.1
OG0000178	WP_002557721.1	WP_160585275.1
OG0000179	WP_160581274.1	WP_020835880.1
OG0000180	WP_002557725.1	WP_081642895.1
OG0000181	WP_039387691.1	WP_020835888.1
OG0000182	WP_160603214.1	WP_011206453.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_160584044.1	WP_160585238.1
OG0000185	WP_002557743.1	WP_146379740.1
OG0000186	WP_160603234.1	WP_020835656.1
OG0000187	WP_002557753.1	WP_011284055.1
OG0000188	WP_160603230.1	WP_011205932.1
OG0000189	WP_160583993.1	WP_160607686.1
OG0000190	WP_002557757.1	WP_011206256.1
OG0000191	WP_255454511.1	WP_020835755.1
OG0000192	WP_160603226.1	WP_160587990.1
OG0000193	WP_002557766.1	WP_094521610.1
OG0000194	WP_002557768.1	WP_011290023.1
OG0000195	WP_002557769.1	WP_094521583.1
OG0000196	WP_160581303.1	WP_020835573.1
OG0000197	WP_160593477.1	WP_404924405.1
OG0000198	WP_002557778.1	WP_011283930.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_160588272.1
OG0000201	WP_002557783.1	WP_404924407.1
OG0000202	WP_160593482.1	WP_011290039.1
OG0000203	WP_160583979.1	WP_011206072.1
OG0000204	WP_160603158.1	WP_011206071.1
OG0000205	WP_160593424.1	WP_404924414.1
OG0000206	WP_002557798.1	WP_011290044.1
OG0000207	WP_160583853.1	WP_011206063.1
OG0000208	WP_002557802.1	WP_011290046.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_160581347.1	WP_404924418.1
OG0000211	WP_002557813.1	WP_011290054.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_011290055.1
OG0000216	WP_160581343.1	WP_014579616.1
OG0000217	WP_002557820.1	WP_404924419.1
OG0000218	WP_160581339.1	WP_011290058.1
OG0000219	WP_160603160.1	WP_011206041.1
OG0000220	WP_002557824.1	WP_020835592.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_404924420.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_020835596.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011290064.1
OG0000228	WP_160603162.1	WP_404924421.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_011206027.1
OG0000231	WP_160581334.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_002557842.1	WP_233688672.1
OG0000234	WP_002557848.1	WP_404924425.1
OG0000235	WP_002557850.1	WP_011290078.1
OG0000236	WP_160581215.1	WP_011283989.1
OG0000237	WP_160593437.1	WP_404924426.1
OG0000238	WP_160603172.1	WP_011206006.1
OG0000239	WP_002557863.1	WP_011290347.1
OG0000240	WP_160603178.1	WP_020835851.1
OG0000241	WP_002557866.1	WP_135619036.1
OG0000242	WP_002557867.1	WP_020835854.1
OG0000243	WP_002557868.1	WP_011290352.1
OG0000244	WP_002557870.1	WP_041361690.1
OG0000245	WP_002557872.1	WP_404924288.1
OG0000246	WP_002557875.1	WP_050195463.1
OG0000247	WP_160603019.1	WP_404924356.1
OG0000248	WP_160603024.1	WP_146379774.1
OG0000249	WP_002557883.1	WP_404924357.1
OG0000250	WP_002557886.1	WP_011289957.1
OG0000251	WP_002557891.1	WP_347952354.1
OG0000252	WP_160581051.1	WP_011205883.1
OG0000253	WP_160583733.1	WP_160606527.1
OG0000254	WP_160583731.1	WP_160584767.1
OG0000255	WP_002557898.1	WP_014579550.1
OG0000256	WP_002557899.1	WP_011205889.1
OG0000257	WP_160583725.1	WP_011289973.1
OG0000258	WP_002557905.1	WP_011283871.1
OG0000259	WP_160583721.1	WP_404924364.1
OG0000260	WP_002557913.1	WP_404924365.1
OG0000261	WP_160603029.1	WP_404924366.1
OG0000262	WP_002557919.1	WP_135618519.1
OG0000263	WP_002557922.1	WP_011283885.1
OG0000264	WP_160581017.1	WP_404924371.1
OG0000265	WP_160583707.1	WP_404924372.1
OG0000266	WP_002557930.1	WP_011205923.1
OG0000267	WP_160581015.1	WP_146379477.1
OG0000268	WP_160581013.1	WP_404924385.1
OG0000269	WP_160583703.1	WP_011206134.1
OG0000270	WP_160583792.1	WP_404924335.1
OG0000271	WP_002557946.1	WP_404924334.1
OG0000272	WP_002557947.1	WP_011284373.1
OG0000273	WP_002557948.1	WP_404924333.1
OG0000274	WP_160583796.1	WP_011290423.1
OG0000275	WP_160581377.1	WP_228366117.1
OG0000276	WP_160593503.1	WP_011290421.1
OG0000277	WP_002557956.1	WP_011206494.1
OG0000278	WP_002557957.1	WP_160588182.1
OG0000279	WP_002557959.1	WP_404924330.1
OG0000280	WP_002557960.1	WP_011206490.1
OG0000281	WP_002557961.1	WP_014580012.1
OG0000282	WP_160583806.1	WP_404924327.1
OG0000283	WP_002557965.1	WP_160584907.1
OG0000284	WP_002557966.1	WP_404924501.1
OG0000285	WP_160583808.1	WP_404924325.1
OG0000286	WP_160580983.1	WP_146379652.1
OG0000287	WP_002557978.1	WP_011206297.1
OG0000288	WP_002557980.1	WP_011206299.1
OG0000289	WP_160603097.1	WP_404924251.1
OG0000290	WP_002558003.1	WP_011290297.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_404924261.1
OG0000293	WP_160603077.1	WP_404924260.1
OG0000294	WP_160603079.1	WP_404924259.1
OG0000295	WP_160580958.1	WP_404924258.1
OG0000296	WP_160603089.1	WP_404924255.1
OG0000297	WP_160603091.1	WP_146379664.1
OG0000298	WP_160603027.1	WP_160606533.1
OG0000299	WP_039387487.1	WP_094521545.1
OG0000300	WP_039387496.1	WP_041361533.1
OG0000301	WP_039387501.1	WP_135618529.1
OG0000302	WP_039387504.1	WP_011205925.1
OG0000303	WP_039387509.1	WP_146379484.1
OG0000304	WP_039387510.1	WP_220190741.1
OG0000305	WP_160580890.1	WP_404924282.1
OG0000306	WP_160583660.1	WP_146379686.1
OG0000307	WP_160603060.1	WP_404924275.1
OG0000308	WP_160603075.1	WP_404911934.1
OG0000309	WP_160603081.1	WP_011206313.1
OG0000310	WP_160603099.1	WP_011206298.1
OG0000311	WP_160603109.1	WP_011206293.1
OG0000312	WP_160603114.1	WP_041361671.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_039387562.1	WP_404924483.1
OG0000315	WP_160581431.1	WP_011290197.1
OG0000316	WP_160581432.1	WP_404924204.1
OG0000317	WP_160603246.1	WP_135618864.1
OG0000318	WP_160603264.1	WP_404924205.1
OG0000319	WP_039387606.1	WP_135618880.1
OG0000320	WP_160603194.1	WP_404924234.1
OG0000321	WP_258554039.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_020835642.1
OG0000323	WP_160603206.1	WP_160588227.1
OG0000324	WP_160603228.1	WP_011290222.1
OG0000325	WP_039387628.1	WP_011206094.1
OG0000326	WP_039387636.1	WP_404924411.1
OG0000327	WP_039387638.1	WP_160584807.1
OG0000328	WP_039387644.1	WP_041361583.1
OG0000329	WP_160583857.1	WP_225973017.1
OG0000330	WP_160603166.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_146379704.1
OG0000332	WP_039387681.1	WP_011290372.1
OG0000333	WP_039387683.1	WP_011206433.1
OG0000334	WP_160603212.1	WP_020835889.1
OG0000335	WP_160603216.1	WP_041361699.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_160581112.1	WP_050195472.1
OG0000338	WP_039387723.1	WP_014580051.1
OG0000339	WP_160583955.1	WP_404924230.1
OG0000340	WP_039387777.1	WP_146379551.1
OG0000341	WP_039387782.1	WP_011290226.1
OG0000342	WP_039387785.1	WP_011290029.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_404924394.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_051054328.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_160583983.1	WP_404924412.1
OG0000349	WP_155897264.1	WP_404924332.1
OG0000350	WP_220190179.1	WP_404924274.1
OG0000351	WP_220190182.1	WP_011206131.1
OG0000352	WP_220190833.1	WP_404924481.1
OG0000353	WP_160583969.1	WP_404924440.1
OG0000354	WP_220190180.1	WP_404924402.1
OG0000355	WP_231237866.1	WP_011206194.1
OG0000356	WP_308507120.1	WP_308507057.1
OG0000357	WP_308705389.1	WP_228366113.1
OG0000358	WP_160583905.1	WP_404924299.1
OG0000359	WP_308704658.1	WP_404924408.1
OG0000360	WP_231237879.1	WP_404924361.1
OG0000361	WP_255454451.1	WP_011289979.1
OG0000362	WP_255454460.1	WP_094521719.1
OG0000363	WP_334199004.1	WP_233417364.1
OG0000365	WP_160584029.1	WP_404924207.1
OG0000366	WP_002557453.1	WP_146379594.1
OG0000367	WP_160603248.1	WP_404924210.1
OG0000368	WP_160603018.1	WP_011289935.1
OG0000370	WP_002557476.1	WP_044272260.1
OG0000371	WP_002557477.1	WP_044272256.1
OG0000372	WP_160583760.1	WP_135618439.1
OG0000373	WP_160583762.1	WP_404924348.1
OG0000374	WP_160583766.1	WP_404924346.1
OG0000375	WP_002557511.1	WP_146379628.1
OG0000376	WP_160603192.1	WP_404924237.1
OG0000377	WP_002557526.1	WP_404924235.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_002557550.1	WP_404924442.1
OG0000381	WP_160603198.1	WP_404924443.1
OG0000382	WP_160603204.1	WP_404924447.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_160581005.1	WP_404924391.1
OG0000385	WP_160580848.1	WP_044272311.1
OG0000386	WP_002557576.1	WP_011290004.1
OG0000387	WP_160603040.1	WP_404924392.1
OG0000388	WP_160583690.1	WP_404924393.1
OG0000389	WP_002557589.1	WP_020835565.1
OG0000390	WP_160583674.1	WP_011290340.1
OG0000391	WP_160583673.1	WP_404924283.1
OG0000392	WP_160583670.1	WP_404924281.1
OG0000393	WP_160603057.1	WP_404924279.1
OG0000394	WP_002557640.1	WP_011284253.1
OG0000395	WP_160603062.1	WP_404924270.1
OG0000396	WP_002557673.1	WP_020835781.1
OG0000397	WP_160584011.1	WP_011206196.1
OG0000398	WP_160593513.1	WP_146379611.1
OG0000399	WP_220190081.1	WP_348571612.1
OG0000400	WP_160603208.1	WP_243216310.1
OG0000401	WP_160581263.1	WP_404924302.1
OG0000402	WP_160581265.1	WP_404924303.1
OG0000403	WP_160583910.1	WP_404924022.1
OG0000404	WP_039387689.1	WP_146379727.1
OG0000405	WP_002557726.1	WP_160585278.1
OG0000406	WP_002557731.1	WP_404924308.1
OG0000407	WP_160603218.1	WP_404924309.1
OG0000408	WP_002557733.1	WP_404924310.1
OG0000409	WP_002557734.1	WP_011206458.1
OG0000410	WP_002557739.1	WP_404924318.1
OG0000411	WP_160603258.1	WP_404924317.1
OG0000412	WP_002557742.1	WP_404924316.1
OG0000413	WP_002557749.1	WP_146379568.1
OG0000414	WP_002557751.1	WP_011290131.1
OG0000415	WP_160603232.1	WP_404924448.1
OG0000416	WP_002557754.1	WP_404924449.1
OG0000417	WP_160583991.1	WP_404924226.1
OG0000418	WP_220190045.1	WP_348571647.1
OG0000419	WP_002557773.1	WP_020835572.1
OG0000420	WP_002557780.1	WP_020835574.1
OG0000421	WP_160583985.1	WP_011290034.1
OG0000422	WP_160581307.1	WP_020835580.1
OG0000423	WP_002557796.1	WP_404924415.1
OG0000424	WP_160583849.1	WP_135618587.1
OG0000425	WP_160583851.1	WP_011283949.1
OG0000426	WP_308507107.1	WP_011206064.1
OG0000427	WP_039387645.1	WP_135618593.1
OG0000428	WP_160581348.1	WP_011206054.1
OG0000429	WP_160581337.1	WP_011206036.1
OG0000431	WP_002557839.1	WP_146379524.1
OG0000432	WP_160603164.1	WP_404924424.1
OG0000433	WP_002557845.1	WP_160606761.1
OG0000434	WP_160583871.1	WP_160606763.1
OG0000435	WP_160603168.1	WP_011290077.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_160581219.1	WP_020835616.1
OG0000438	WP_160603174.1	WP_404924427.1
OG0000439	WP_160603176.1	WP_404924428.1
OG0000440	WP_160583891.1	WP_020835852.1
OG0000441	WP_308705387.1	WP_404924290.1
OG0000442	WP_002557876.1	WP_404924355.1
OG0000443	WP_002557888.1	WP_044272282.1
OG0000444	WP_002557890.1	WP_011205880.1
OG0000445	WP_002557895.1	WP_404924360.1
OG0000446	WP_002557901.1	WP_135618497.1
OG0000447	WP_160583729.1	WP_044284573.1
OG0000448	WP_160581042.1	WP_404924362.1
OG0000449	WP_002557912.1	WP_348571941.1
OG0000450	WP_002557914.1	WP_404924074.1
OG0000451	WP_160581019.1	WP_404924370.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_002557934.1	WP_404924386.1
OG0000455	WP_160583788.1	WP_404924337.1
OG0000456	WP_160583804.1	WP_011206487.1
OG0000457	WP_160583810.1	WP_404924500.1
OG0000458	WP_002557977.1	WP_020835790.1
OG0000459	WP_002557982.1	WP_404924252.1
OG0000460	WP_160603095.1	WP_404924253.1
OG0000461	WP_160603083.1	WP_404924496.1
OG0000462	WP_160603085.1	WP_011206311.1
OG0000463	WP_002558014.1	WP_011206310.1
OG0000464	WP_160603087.1	WP_011206309.1
OG0000465	WP_160583624.1	WP_404924256.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000467	WP_220190806.1	WP_404924266.1
OG0000468	WP_160603272.1	WP_404924484.1
OG0000469	WP_039387592.1	WP_014579824.1
OG0000470	WP_039387641.1	WP_011206069.1
OG0000471	WP_039387651.1	WP_044272348.1
OG0000472	WP_160603150.1	WP_404924319.1
OG0000473	WP_039387713.1	WP_020835917.1
OG0000474	WP_039387714.1	WP_404924336.1
OG0000475	WP_220190821.1	WP_160584892.1
OG0000476	WP_039387719.1	WP_011205931.1
OG0000477	WP_039387750.1	WP_135618962.1
OG0000478	WP_160603144.1	WP_404924331.1
OG0000479	WP_160583965.1	WP_404924439.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_308507115.1	WP_044272343.1
OG0000482	WP_334296058.1	WP_404924431.1
OG0000483	WP_236681784.1	WP_404924211.1
OG0000484	WP_308704668.1	WP_404924359.1
OG0000485	WP_039387661.1	WP_020835615.1
OG0000486	WP_258554046.1	WP_011290228.1
OG0000487	WP_052234586.1	WP_404924490.1
OG0000488	WP_160581452.1	WP_020835728.1
OG0000489	WP_002557469.1	WP_404924350.1
OG0000490	WP_160603016.1	WP_011206527.1
OG0000491	WP_002557542.1	WP_160588241.1
OG0000492	WP_160603196.1	WP_146379559.1
OG0000493	WP_160580862.1	WP_404924395.1
OG0000494	WP_160583682.1	WP_404924403.1
OG0000496	WP_160593374.1	WP_011206375.1
OG0000497	WP_002557625.1	WP_014579936.1
OG0000498	WP_002557639.1	WP_011290314.1
OG0000499	WP_002557649.1	WP_020835817.1
OG0000501	WP_160583899.1	WP_404924297.1
OG0000502	WP_160593475.1	WP_404924430.1
OG0000503	WP_002557782.1	WP_404924406.1
OG0000504	WP_002557806.1	WP_404924485.1
OG0000505	WP_160581345.1	WP_146379519.1
OG0000507	WP_002557821.1	WP_020835590.1
OG0000509	WP_220190183.1	WP_020835518.1
OG0000510	WP_002557908.1	WP_404924363.1
OG0000511	WP_002557935.1	WP_011206135.1
OG0000512	WP_002557985.1	WP_404924254.1
OG0000513	WP_160603146.1	WP_160585582.1
OG0000514	WP_160603051.1	WP_404924280.1
OG0000517	WP_160581087.1	WP_011283834.1
OG0000518	WP_160583907.1	WP_404924301.1
OG0000519	WP_002557785.1	WP_020835579.1
OG0000522	WP_002557909.1	WP_135618505.1
OG0000523	WP_160583812.1	WP_404924324.1
OG0000524	WP_220190807.1	WP_404924265.1
OG0000525	WP_160583818.1	WP_404924320.1
OG0000530	WP_160593464.1	WP_011284186.1
OG0000533	WP_160581332.1	WP_404924398.1
OG0000534	WP_002557926.1	WP_014579573.1
OG0000536	WP_160603130.1	WP_404924342.1
OG0000541	WP_160603067.1	WP_404924269.1
OG0000551	WP_231237875.1	WP_404924287.1
OG0000555	WP_002557605.1	WP_308507032.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000596	WP_160581071.1	WP_014579752.1
OG0000598	WP_160603020.1	WP_404924468.1
OG0000599	WP_160581075.1	WP_011206170.1
OG0000627	WP_160603128.1	WP_404924343.1
