Orthogroup	MHP_ES2_genes	MHP_MHP699_genes
OG0000027	E5E95_RS03560	DR100_RS04850
OG0000027	E5E95_RS03575	DR100_RS04690
OG0000028	E5E95_RS02620	DR100_RS02685, DR100_RS02310
OG0000029	E5E95_RS01100	DR100_RS03520
OG0000029	E5E95_RS00610	DR100_RS00725
OG0000030	E5E95_RS03550	DR100_RS04855
OG0000030	E5E95_RS03570	DR100_RS04695
OG0000031	E5E95_RS01625	DR100_RS03415
OG0000032	E5E95_RS03995	DR100_RS03450
OG0000032	E5E95_RS03565	DR100_RS03775
OG0000034	E5E95_RS04045	DR100_RS03620
OG0000034	E5E95_RS04050	DR100_RS04530
OG0000035	E5E95_RS03405	DR100_RS03560
OG0000036	E5E95_RS00105	DR100_RS01080
OG0000036	E5E95_RS00120	DR100_RS01065
OG0000037	E5E95_RS04000	DR100_RS03435
OG0000038	E5E95_RS01910	DR100_RS03370
OG0000039	E5E95_RS01650	DR100_RS04510
OG0000039	E5E95_RS01645	DR100_RS03660
OG0000040	E5E95_RS03495	DR100_RS03895
OG0000041	E5E95_RS01205, E5E95_RS00670	DR100_RS00105
OG0000042	E5E95_RS03140	DR100_RS03115
OG0000043	E5E95_RS02030	DR100_RS02005
OG0000044	E5E95_RS04290	DR100_RS04930
OG0000045	E5E95_RS01655	DR100_RS03545
OG0000047	E5E95_RS04090	DR100_RS01635
OG0000048	E5E95_RS02215	DR100_RS02540
OG0000049	E5E95_RS03260	DR100_RS01465
OG0000050	E5E95_RS02655	DR100_RS02715
OG0000051	E5E95_RS02855	DR100_RS01815
OG0000052	E5E95_RS00075	DR100_RS01115
OG0000053	E5E95_RS01465	DR100_RS04755
OG0000054	E5E95_RS02680	DR100_RS02740
OG0000055	E5E95_RS00125	DR100_RS01060
OG0000056	E5E95_RS03750	DR100_RS01270
OG0000057	E5E95_RS03125	DR100_RS01665
OG0000058	E5E95_RS01660	DR100_RS01560
OG0000059	E5E95_RS02510	DR100_RS04135
OG0000060	E5E95_RS01215	DR100_RS00115
OG0000060	E5E95_RS00080	DR100_RS01110
OG0000061	E5E95_RS01980	DR100_RS02060
OG0000062	E5E95_RS03805	DR100_RS01225
OG0000063	E5E95_RS03800	DR100_RS04645
OG0000064	E5E95_RS03790	DR100_RS01240
OG0000065	E5E95_RS02365	DR100_RS03025
OG0000066	E5E95_RS01370	DR100_RS00275
OG0000067	E5E95_RS00525	DR100_RS02670
OG0000068	E5E95_RS00645	DR100_RS00760
OG0000069	E5E95_RS03015	DR100_RS01775
OG0000070	E5E95_RS02685	DR100_RS02745
OG0000071	E5E95_RS03485	DR100_RS03100
OG0000072	E5E95_RS03490	DR100_RS04835
OG0000073	E5E95_RS00705	DR100_RS00805
OG0000074	E5E95_RS00900	DR100_RS04605
OG0000075	E5E95_RS00340	DR100_RS00505
OG0000076	E5E95_RS00355	DR100_RS00490
OG0000077	E5E95_RS00445	DR100_RS00400
OG0000078	E5E95_RS01790	DR100_RS02200
OG0000079	E5E95_RS02760	DR100_RS01910
OG0000080	E5E95_RS03935	DR100_RS04175
OG0000081	E5E95_RS00335	DR100_RS00510
OG0000082	E5E95_RS02605	DR100_RS02290
OG0000083	E5E95_RS02140	DR100_RS02770
OG0000084	E5E95_RS02165	DR100_RS02590
OG0000085	E5E95_RS02170	DR100_RS02585
OG0000086	E5E95_RS02180	DR100_RS02575
OG0000087	E5E95_RS02195	DR100_RS02560
OG0000088	E5E95_RS02200	DR100_RS02555
OG0000089	E5E95_RS02210	DR100_RS02545
OG0000090	E5E95_RS00070	DR100_RS01120
OG0000091	E5E95_RS00055	DR100_RS01135
OG0000092	E5E95_RS00040	DR100_RS01150
OG0000093	E5E95_RS00035	DR100_RS01155
OG0000094	E5E95_RS00030	DR100_RS01160
OG0000095	E5E95_RS00005	DR100_RS01185
OG0000096	E5E95_RS03840	DR100_RS01190
OG0000097	E5E95_RS03820	DR100_RS01210
OG0000098	E5E95_RS03810	DR100_RS01220
OG0000099	E5E95_RS03760	DR100_RS03485
OG0000100	E5E95_RS03740	DR100_RS01280
OG0000101	E5E95_RS03735	DR100_RS01285
OG0000102	E5E95_RS01815	DR100_RS02175
OG0000103	E5E95_RS02330	DR100_RS02990
OG0000104	E5E95_RS02335	DR100_RS02995
OG0000105	E5E95_RS02350	DR100_RS03010
OG0000106	E5E95_RS02360	DR100_RS03020
OG0000107	E5E95_RS02370	DR100_RS03030
OG0000108	E5E95_RS02375	DR100_RS03035
OG0000109	E5E95_RS02380	DR100_RS00005
OG0000110	E5E95_RS02595	DR100_RS02280
OG0000111	E5E95_RS02590	DR100_RS02275
OG0000112	E5E95_RS02580	DR100_RS02265
OG0000113	E5E95_RS02560	DR100_RS04875
OG0000114	E5E95_RS04300	DR100_RS03465
OG0000115	E5E95_RS02535	DR100_RS03475
OG0000116	E5E95_RS01315	DR100_RS00220
OG0000117	E5E95_RS01320	DR100_RS00225
OG0000118	E5E95_RS01355	DR100_RS00260
OG0000119	E5E95_RS01360	DR100_RS00265
OG0000120	E5E95_RS01375	DR100_RS00280
OG0000121	E5E95_RS01400	DR100_RS00305
OG0000122	E5E95_RS01405	DR100_RS00310
OG0000123	E5E95_RS01425	DR100_RS00330
OG0000124	E5E95_RS01430	DR100_RS00335
OG0000125	E5E95_RS01435	DR100_RS00345
OG0000126	E5E95_RS01445	DR100_RS02315
OG0000127	E5E95_RS01455	DR100_RS02325
OG0000128	E5E95_RS01470	DR100_RS02340
OG0000129	E5E95_RS01475	DR100_RS02345
OG0000130	E5E95_RS01485	DR100_RS02355
OG0000131	E5E95_RS01515	DR100_RS02385
OG0000132	E5E95_RS01530	DR100_RS04760
OG0000133	E5E95_RS00530	DR100_RS02665
OG0000134	E5E95_RS00535	DR100_RS02660
OG0000135	E5E95_RS00550	DR100_RS02645
OG0000136	E5E95_RS00555	DR100_RS02640
OG0000137	E5E95_RS00585	DR100_RS02610
OG0000138	E5E95_RS00620	DR100_RS00735
OG0000139	E5E95_RS00650	DR100_RS00765
OG0000140	E5E95_RS00655	DR100_RS00770
OG0000141	E5E95_RS03135	DR100_RS01655
OG0000142	E5E95_RS03130	DR100_RS04720
OG0000143	E5E95_RS03105	DR100_RS01685
OG0000144	E5E95_RS03095	DR100_RS01695
OG0000145	E5E95_RS03085	DR100_RS01705
OG0000146	E5E95_RS03075	DR100_RS01715
OG0000147	E5E95_RS03070	DR100_RS01720
OG0000148	E5E95_RS03055	DR100_RS01735
OG0000149	E5E95_RS03045	DR100_RS01745
OG0000150	E5E95_RS03030	DR100_RS01760
OG0000151	E5E95_RS02985	DR100_RS03315
OG0000152	E5E95_RS02980	DR100_RS03310
OG0000153	E5E95_RS02975	DR100_RS03305
OG0000154	E5E95_RS02965	DR100_RS03295
OG0000155	E5E95_RS02925	DR100_RS02500
OG0000156	E5E95_RS02915	DR100_RS02490
OG0000157	E5E95_RS02910	DR100_RS04790
OG0000158	E5E95_RS02905	DR100_RS04785
OG0000159	E5E95_RS04310	DR100_RS02730
OG0000160	E5E95_RS02665	DR100_RS02725
OG0000161	E5E95_RS02660	DR100_RS02720
OG0000162	E5E95_RS02650	DR100_RS02710
OG0000163	E5E95_RS02645	DR100_RS02705
OG0000164	E5E95_RS01630	DR100_RS03410
OG0000165	E5E95_RS02055	DR100_RS01980
OG0000166	E5E95_RS02080	DR100_RS01960
OG0000167	E5E95_RS02095	DR100_RS02815
OG0000168	E5E95_RS02100	DR100_RS02810
OG0000169	E5E95_RS03255	DR100_RS01460
OG0000170	E5E95_RS03270	DR100_RS01475
OG0000171	E5E95_RS03280	DR100_RS01485
OG0000172	E5E95_RS03285	DR100_RS01490
OG0000173	E5E95_RS03290	DR100_RS01495
OG0000174	E5E95_RS03295	DR100_RS01500
OG0000175	E5E95_RS03310	DR100_RS01515
OG0000176	E5E95_RS03360	DR100_RS03330
OG0000177	E5E95_RS03365	DR100_RS03335
OG0000178	E5E95_RS03370	DR100_RS03340
OG0000179	E5E95_RS03380	DR100_RS03350
OG0000180	E5E95_RS03385	DR100_RS03355
OG0000181	E5E95_RS03435	DR100_RS04825
OG0000182	E5E95_RS03445	DR100_RS03060
OG0000183	E5E95_RS03480	DR100_RS03095
OG0000184	E5E95_RS03525	DR100_RS03180
OG0000185	E5E95_RS03510	DR100_RS03195
OG0000186	E5E95_RS01540	DR100_RS04765
OG0000187	E5E95_RS01555	DR100_RS02425
OG0000188	E5E95_RS01565	DR100_RS02435
OG0000189	E5E95_RS02415	DR100_RS04845
OG0000190	E5E95_RS02410	DR100_RS03230
OG0000191	E5E95_RS02390	DR100_RS03210
OG0000192	E5E95_RS01235	DR100_RS00140
OG0000193	E5E95_RS01225	DR100_RS00125
OG0000194	E5E95_RS00690	DR100_RS00790
OG0000195	E5E95_RS00695	DR100_RS00795
OG0000196	E5E95_RS00715	DR100_RS00815
OG0000197	E5E95_RS00720	DR100_RS00820
OG0000198	E5E95_RS00735	DR100_RS00835
OG0000199	E5E95_RS00740	DR100_RS00840
OG0000200	E5E95_RS00755	DR100_RS00855
OG0000201	E5E95_RS00765	DR100_RS00865
OG0000202	E5E95_RS00820	DR100_RS00920
OG0000203	E5E95_RS00825	DR100_RS00925
OG0000204	E5E95_RS00830	DR100_RS00930
OG0000205	E5E95_RS00835	DR100_RS00935
OG0000206	E5E95_RS00855	DR100_RS00955
OG0000207	E5E95_RS00870	DR100_RS00970
OG0000208	E5E95_RS00875	DR100_RS00975
OG0000209	E5E95_RS00880	DR100_RS00980
OG0000210	E5E95_RS00925	DR100_RS01025
OG0000211	E5E95_RS00955	DR100_RS02965
OG0000212	E5E95_RS00965	DR100_RS02955
OG0000213	E5E95_RS00970	DR100_RS02950
OG0000214	E5E95_RS00975	DR100_RS02945
OG0000215	E5E95_RS00980	DR100_RS02940
OG0000216	E5E95_RS00985	DR100_RS02935
OG0000217	E5E95_RS00995	DR100_RS02930
OG0000218	E5E95_RS01000	DR100_RS02920
OG0000219	E5E95_RS01005	DR100_RS02915
OG0000220	E5E95_RS01010	DR100_RS02910
OG0000221	E5E95_RS01015	DR100_RS02905
OG0000222	E5E95_RS01020	DR100_RS02900
OG0000223	E5E95_RS01025	DR100_RS02895
OG0000224	E5E95_RS01035	DR100_RS02885
OG0000224	E5E95_RS01035	DR100_RS03890
OG0000225	E5E95_RS01045	DR100_RS02875
OG0000226	E5E95_RS01050	DR100_RS02870
OG0000227	E5E95_RS01055	DR100_RS02865
OG0000228	E5E95_RS04285	DR100_RS04935
OG0000229	E5E95_RS01065	DR100_RS02855
OG0000230	E5E95_RS01070	DR100_RS02850
OG0000231	E5E95_RS01080	DR100_RS02840
OG0000232	E5E95_RS01090	DR100_RS02830
OG0000233	E5E95_RS01110	DR100_RS00010
OG0000234	E5E95_RS01145	DR100_RS00045
OG0000235	E5E95_RS01155	DR100_RS00055
OG0000236	E5E95_RS01160	DR100_RS00060
OG0000237	E5E95_RS01165	DR100_RS00065
OG0000238	E5E95_RS01175	DR100_RS00075
OG0000239	E5E95_RS03145	DR100_RS03120
OG0000240	E5E95_RS03150	DR100_RS03125
OG0000241	E5E95_RS03160	DR100_RS03135
OG0000242	E5E95_RS03165	DR100_RS03140
OG0000243	E5E95_RS03170	DR100_RS03145
OG0000244	E5E95_RS03180	DR100_RS03155
OG0000245	E5E95_RS03190	DR100_RS03165
OG0000246	E5E95_RS00130	DR100_RS01055
OG0000247	E5E95_RS00140	DR100_RS00705
OG0000248	E5E95_RS00150	DR100_RS00695
OG0000249	E5E95_RS00155	DR100_RS00690
OG0000250	E5E95_RS00170	DR100_RS00675
OG0000251	E5E95_RS00205	DR100_RS00640
OG0000252	E5E95_RS00215	DR100_RS00630
OG0000253	E5E95_RS00220	DR100_RS00625
OG0000254	E5E95_RS00230	DR100_RS00615
OG0000255	E5E95_RS00240	DR100_RS00605
OG0000256	E5E95_RS00245	DR100_RS00600
OG0000257	E5E95_RS00270	DR100_RS00575
OG0000258	E5E95_RS00280	DR100_RS00565
OG0000259	E5E95_RS00310	DR100_RS00535
OG0000260	E5E95_RS00320	DR100_RS00525
OG0000261	E5E95_RS00330	DR100_RS04575
OG0000262	E5E95_RS00350	DR100_RS00500
OG0000263	E5E95_RS00360	DR100_RS00485
OG0000264	E5E95_RS00375	DR100_RS00470
OG0000265	E5E95_RS00385	DR100_RS00460
OG0000266	E5E95_RS00400	DR100_RS00445
OG0000267	E5E95_RS00415	DR100_RS00430
OG0000268	E5E95_RS00420	DR100_RS00425
OG0000269	E5E95_RS00435	DR100_RS00410
OG0000270	E5E95_RS03710	DR100_RS04660
OG0000271	E5E95_RS03705	DR100_RS01315
OG0000272	E5E95_RS03700	DR100_RS01320
OG0000273	E5E95_RS03695	DR100_RS01325
OG0000274	E5E95_RS03675	DR100_RS01345
OG0000275	E5E95_RS03670	DR100_RS04670
OG0000276	E5E95_RS03665	DR100_RS01355
OG0000277	E5E95_RS03655	DR100_RS01365
OG0000278	E5E95_RS03650	DR100_RS01370
OG0000279	E5E95_RS03640	DR100_RS01380
OG0000280	E5E95_RS03635	DR100_RS01385
OG0000281	E5E95_RS03630	DR100_RS01390
OG0000282	E5E95_RS03605	DR100_RS04680
OG0000283	E5E95_RS03600	DR100_RS01420
OG0000284	E5E95_RS03595	DR100_RS01425
OG0000285	E5E95_RS03590	DR100_RS04685
OG0000286	E5E95_RS04305	DR100_RS02690
OG0000287	E5E95_RS02720	DR100_RS01950
OG0000288	E5E95_RS02730	DR100_RS01940
OG0000289	E5E95_RS02735	DR100_RS01935
OG0000290	E5E95_RS02845	DR100_RS01825
OG0000291	E5E95_RS02835	DR100_RS01835
OG0000292	E5E95_RS02830	DR100_RS01840
OG0000293	E5E95_RS02825	DR100_RS01845
OG0000294	E5E95_RS02815	DR100_RS01855
OG0000295	E5E95_RS02810	DR100_RS01860
OG0000296	E5E95_RS02770	DR100_RS01900
OG0000297	E5E95_RS02765	DR100_RS01905
OG0000298	E5E95_RS00165	DR100_RS00680
OG0000299	E5E95_RS00190	DR100_RS00655
OG0000300	E5E95_RS00370	DR100_RS00475
OG0000301	E5E95_RS00405	DR100_RS00440
OG0000302	E5E95_RS00410	DR100_RS00435
OG0000303	E5E95_RS00560	DR100_RS02635
OG0000304	E5E95_RS01095	DR100_RS03515
OG0000305	E5E95_RS03080	DR100_RS01710
OG0000306	E5E95_RS03005	DR100_RS01785
OG0000307	E5E95_RS02970	DR100_RS03300
OG0000308	E5E95_RS02875	DR100_RS01805
OG0000309	E5E95_RS02800	DR100_RS01870
OG0000310	E5E95_RS02725	DR100_RS01945
OG0000311	E5E95_RS02690	DR100_RS02750
OG0000312	E5E95_RS02675	DR100_RS02735
OG0000313	E5E95_RS01620	DR100_RS03420
OG0000314	E5E95_RS02075	DR100_RS01965
OG0000315	E5E95_RS02105	DR100_RS02805
OG0000316	E5E95_RS02115	DR100_RS02795
OG0000317	E5E95_RS02205	DR100_RS02550
OG0000318	E5E95_RS02120	DR100_RS04815
OG0000319	E5E95_RS02345	DR100_RS03005
OG0000320	E5E95_RS02570	DR100_RS02255
OG0000321	E5E95_RS01350	DR100_RS00255
OG0000322	E5E95_RS01395	DR100_RS00300
OG0000323	E5E95_RS01525	DR100_RS02395
OG0000324	E5E95_RS02385	DR100_RS03205
OG0000325	E5E95_RS00700	DR100_RS00800
OG0000326	E5E95_RS00795	DR100_RS00895
OG0000327	E5E95_RS00800	DR100_RS00900
OG0000328	E5E95_RS00885	DR100_RS00985
OG0000329	E5E95_RS00905	DR100_RS01005
OG0000330	E5E95_RS01120	DR100_RS00020
OG0000331	E5E95_RS03175	DR100_RS03150
OG0000332	E5E95_RS03320	DR100_RS01525
OG0000333	E5E95_RS03330	DR100_RS01535
OG0000334	E5E95_RS03440	DR100_RS03055
OG0000335	E5E95_RS03450	DR100_RS03065
OG0000336	E5E95_RS03620	DR100_RS04675
OG0000337	E5E95_RS03795	DR100_RS01235
OG0000338	E5E95_RS03835	DR100_RS01195
OG0000339	E5E95_RS02540	DR100_RS03470
OG0000340	E5E95_RS01330	DR100_RS00235
OG0000341	E5E95_RS02405	DR100_RS03225
OG0000342	E5E95_RS00730	DR100_RS00830
OG0000343	E5E95_RS03340	DR100_RS01545
OG0000344	E5E95_RS00575	DR100_RS02620
OG0000345	E5E95_RS01040	DR100_RS02880
OG0000346	E5E95_RS03625	DR100_RS01395
OG0000347	E5E95_RS01420	DR100_RS00325
OG0000348	E5E95_RS00805	DR100_RS00905
OG0000349	E5E95_RS03685	DR100_RS04665
OG0000350	E5E95_RS02960	DR100_RS03290
OG0000351	E5E95_RS00495	DR100_RS00350
OG0000352	E5E95_RS02050	DR100_RS01985
OG0000353	E5E95_RS01390	DR100_RS00295
OG0000354	E5E95_RS00635	DR100_RS00750
OG0000355	E5E95_RS02020	DR100_RS04730
OG0000356	E5E95_RS02110	DR100_RS04820
OG0000357	E5E95_RS03300	DR100_RS04705
OG0000358	E5E95_RS03305	DR100_RS01510
OG0000359	E5E95_RS00775	DR100_RS04590
OG0000360	E5E95_RS00275	DR100_RS00570
OG0000361	E5E95_RS00305	DR100_RS00540
OG0000362	E5E95_RS02745	DR100_RS01925
OG0000363	E5E95_RS03985	DR100_RS02330
OG0000364	E5E95_RS01995	DR100_RS02040
OG0000365	E5E95_RS02150	DR100_RS04795
OG0000366	E5E95_RS02175	DR100_RS02580
OG0000367	E5E95_RS02185	DR100_RS02570
OG0000368	E5E95_RS00060	DR100_RS01130
OG0000369	E5E95_RS00025	DR100_RS04640
OG0000370	E5E95_RS00020	DR100_RS01170
OG0000371	E5E95_RS00015	DR100_RS01175
OG0000372	E5E95_RS00010	DR100_RS01180
OG0000373	E5E95_RS03825	DR100_RS01205
OG0000374	E5E95_RS03815	DR100_RS01215
OG0000375	E5E95_RS02340	DR100_RS03000
OG0000376	E5E95_RS02585	DR100_RS02270
OG0000377	E5E95_RS02575	DR100_RS02260
OG0000378	E5E95_RS01310	DR100_RS00215
OG0000379	E5E95_RS01385	DR100_RS00290
OG0000380	E5E95_RS01410	DR100_RS00315
OG0000381	E5E95_RS01450	DR100_RS02320
OG0000382	E5E95_RS01480	DR100_RS02350
OG0000383	E5E95_RS01520	DR100_RS02390
OG0000384	E5E95_RS00515	DR100_RS02680
OG0000385	E5E95_RS00520	DR100_RS02675
OG0000386	E5E95_RS00540	DR100_RS02655
OG0000387	E5E95_RS00565	DR100_RS02630
OG0000388	E5E95_RS00570	DR100_RS04800
OG0000389	E5E95_RS00615	DR100_RS00730
OG0000390	E5E95_RS03100	DR100_RS01690
OG0000391	E5E95_RS03090	DR100_RS01700
OG0000392	E5E95_RS03065	DR100_RS01725
OG0000393	E5E95_RS03010	DR100_RS04725
OG0000394	E5E95_RS02940	DR100_RS02510
OG0000395	E5E95_RS02930	DR100_RS02505
OG0000397	E5E95_RS02035	DR100_RS02000
OG0000398	E5E95_RS02040	DR100_RS01995
OG0000399	E5E95_RS02090	DR100_RS02820
OG0000400	E5E95_RS03265	DR100_RS01470
OG0000401	E5E95_RS03325	DR100_RS01530
OG0000402	E5E95_RS03335	DR100_RS01540
OG0000403	E5E95_RS03345	DR100_RS01550
OG0000404	E5E95_RS03375	DR100_RS03345
OG0000405	E5E95_RS03390	DR100_RS03365
OG0000406	E5E95_RS03455	DR100_RS03070
OG0000407	E5E95_RS03460	DR100_RS04830
OG0000408	E5E95_RS03465	DR100_RS03080
OG0000409	E5E95_RS03470	DR100_RS03085
OG0000410	E5E95_RS03530	DR100_RS03175
OG0000411	E5E95_RS03520	DR100_RS03185
OG0000412	E5E95_RS03515	DR100_RS03190
OG0000413	E5E95_RS01535	DR100_RS02405
OG0000414	E5E95_RS01545	DR100_RS02415
OG0000415	E5E95_RS01550	DR100_RS02420
OG0000416	E5E95_RS01560	DR100_RS02430
OG0000417	E5E95_RS02400	DR100_RS03220
OG0000418	E5E95_RS02395	DR100_RS03215
OG0000419	E5E95_RS00710	DR100_RS00810
OG0000420	E5E95_RS00745	DR100_RS00845
OG0000421	E5E95_RS00780	DR100_RS00880
OG0000422	E5E95_RS00790	DR100_RS00890
OG0000423	E5E95_RS00845	DR100_RS00945
OG0000424	E5E95_RS00850	DR100_RS00950
OG0000425	E5E95_RS00860	DR100_RS00960
OG0000426	E5E95_RS00865	DR100_RS04595
OG0000427	E5E95_RS00890	DR100_RS04600
OG0000428	E5E95_RS00915	DR100_RS01015
OG0000429	E5E95_RS01030	DR100_RS02890
OG0000430	E5E95_RS01075	DR100_RS02845
OG0000431	E5E95_RS01085	DR100_RS02835
OG0000432	E5E95_RS01115	DR100_RS00015
OG0000433	E5E95_RS01130	DR100_RS00030
OG0000434	E5E95_RS01135	DR100_RS00035
OG0000435	E5E95_RS01150	DR100_RS00050
OG0000436	E5E95_RS01180	DR100_RS00080
OG0000437	E5E95_RS01190	DR100_RS00090
OG0000438	E5E95_RS01195	DR100_RS00095
OG0000439	E5E95_RS01200	DR100_RS04550
OG0000440	E5E95_RS03155	DR100_RS03130
OG0000441	E5E95_RS03195	DR100_RS03170
OG0000442	E5E95_RS00135	DR100_RS01050
OG0000443	E5E95_RS00185	DR100_RS00660
OG0000444	E5E95_RS00200	DR100_RS00645
OG0000445	E5E95_RS00225	DR100_RS00620
OG0000446	E5E95_RS00255	DR100_RS00590
OG0000447	E5E95_RS00260	DR100_RS00585
OG0000448	E5E95_RS00290	DR100_RS00555
OG0000449	E5E95_RS00315	DR100_RS00530
OG0000450	E5E95_RS00325	DR100_RS00520
OG0000451	E5E95_RS00365	DR100_RS00480
OG0000452	E5E95_RS00390	DR100_RS00455
OG0000453	E5E95_RS00425	DR100_RS00420
OG0000454	E5E95_RS02455	DR100_RS01645
OG0000455	E5E95_RS03730	DR100_RS01290
OG0000456	E5E95_RS03610	DR100_RS01410
OG0000457	E5E95_RS03585	DR100_RS01435
OG0000458	E5E95_RS02715	DR100_RS01955
OG0000459	E5E95_RS02740	DR100_RS01930
OG0000460	E5E95_RS02750	DR100_RS01920
OG0000461	E5E95_RS02795	DR100_RS01875
OG0000462	E5E95_RS02790	DR100_RS01880
OG0000463	E5E95_RS02785	DR100_RS01885
OG0000464	E5E95_RS02780	DR100_RS01890
OG0000465	E5E95_RS02775	DR100_RS01895
OG0000466	E5E95_RS00395	DR100_RS00450
OG0000467	E5E95_RS02880	DR100_RS04775
OG0000468	E5E95_RS02085	DR100_RS02825
OG0000469	E5E95_RS02145	DR100_RS02765
OG0000470	E5E95_RS03895	DR100_RS03815
OG0000471	E5E95_RS00920	DR100_RS01020
OG0000472	E5E95_RS03540	DR100_RS03260
OG0000473	E5E95_RS03715	DR100_RS01305
OG0000474	E5E95_RS03720	DR100_RS01300
OG0000475	E5E95_RS03725	DR100_RS01295
OG0000476	E5E95_RS01570	DR100_RS02440
OG0000477	E5E95_RS02820	DR100_RS01850
OG0000478	E5E95_RS03660	DR100_RS01360
OG0000479	E5E95_RS01345	DR100_RS00250
OG0000480	E5E95_RS03865	DR100_RS03855
OG0000481	E5E95_RS00815	DR100_RS00915
OG0000482	E5E95_RS01230	DR100_RS00130
OG0000483	E5E95_RS02190	DR100_RS02565
OG0000484	E5E95_RS00195	DR100_RS04580
OG0000485	E5E95_RS01185	DR100_RS00085
OG0000486	E5E95_RS02420	DR100_RS03240
OG0000487	E5E95_RS02125	DR100_RS04810
OG0000488	E5E95_RS02160	DR100_RS02600
OG0000489	E5E95_RS00050	DR100_RS01140
OG0000490	E5E95_RS03830	DR100_RS01200
OG0000491	E5E95_RS01365	DR100_RS00270
OG0000493	E5E95_RS00580	DR100_RS02615
OG0000494	E5E95_RS00640	DR100_RS00755
OG0000495	E5E95_RS03035	DR100_RS01755
OG0000496	E5E95_RS03025	DR100_RS01765
OG0000497	E5E95_RS03020	DR100_RS01770
OG0000500	E5E95_RS02045	DR100_RS01990
OG0000501	E5E95_RS04280, E5E95_RS04275	DR100_RS01480
OG0000502	E5E95_RS01220	DR100_RS00120
OG0000503	E5E95_RS00760	DR100_RS00860
OG0000504	E5E95_RS00895	DR100_RS00995
OG0000506	E5E95_RS00960	DR100_RS02960
OG0000508	E5E95_RS00250	DR100_RS00595
OG0000509	E5E95_RS00285	DR100_RS00560
OG0000510	E5E95_RS00295	DR100_RS00550
OG0000511	E5E95_RS00430	DR100_RS00415
OG0000512	E5E95_RS02755	DR100_RS01915
OG0000513	E5E95_RS03645	DR100_RS01375
OG0000514	E5E95_RS03060	DR100_RS01730
