Orthogroup	MHP_ES2_genes	MFC_ATCC27716_genes
OG0000164	E5E95_RS01630	MFC_RS01300
OG0000165	E5E95_RS02055	MFC_RS01345
OG0000166	E5E95_RS02080	MFC_RS01365
OG0000167	E5E95_RS02095	MFC_RS01380
OG0000168	E5E95_RS02100	MFC_RS01385
OG0000169	E5E95_RS03255	MFC_RS01430
OG0000170	E5E95_RS03270	MFC_RS01455
OG0000171	E5E95_RS03280	MFC_RS01465
OG0000172	E5E95_RS03285	MFC_RS01470
OG0000173	E5E95_RS03290	MFC_RS01475
OG0000174	E5E95_RS03295	MFC_RS01480
OG0000175	E5E95_RS03310	MFC_RS01495
OG0000176	E5E95_RS03360	MFC_RS01540
OG0000177	E5E95_RS03365	MFC_RS01545
OG0000178	E5E95_RS03370	MFC_RS01550
OG0000179	E5E95_RS03380	MFC_RS01560
OG0000180	E5E95_RS03385	MFC_RS01565
OG0000181	E5E95_RS03435	MFC_RS01580
OG0000182	E5E95_RS03445	MFC_RS01590
OG0000183	E5E95_RS03480	MFC_RS01625
OG0000184	E5E95_RS03525	MFC_RS01655
OG0000185	E5E95_RS03510	MFC_RS01670
OG0000186	E5E95_RS01540	MFC_RS01710
OG0000187	E5E95_RS01555	MFC_RS01725
OG0000188	E5E95_RS01565	MFC_RS01735
OG0000189	E5E95_RS02415	MFC_RS03385
OG0000190	E5E95_RS02410	MFC_RS01750
OG0000191	E5E95_RS02390	MFC_RS01770
OG0000192	E5E95_RS01235	MFC_RS01780
OG0000193	E5E95_RS01225	MFC_RS01795
OG0000194	E5E95_RS00690	MFC_RS01805
OG0000195	E5E95_RS00695	MFC_RS01810
OG0000196	E5E95_RS00715	MFC_RS01830
OG0000197	E5E95_RS00720	MFC_RS01835
OG0000198	E5E95_RS00735	MFC_RS01850
OG0000199	E5E95_RS00740	MFC_RS01855
OG0000200	E5E95_RS00755	MFC_RS01865
OG0000201	E5E95_RS00765	MFC_RS01875
OG0000202	E5E95_RS00820	MFC_RS01930
OG0000203	E5E95_RS00825	MFC_RS01935
OG0000204	E5E95_RS00830	MFC_RS01940
OG0000205	E5E95_RS00835	MFC_RS01945
OG0000206	E5E95_RS00855	MFC_RS01965
OG0000207	E5E95_RS00870	MFC_RS01980
OG0000208	E5E95_RS00875	MFC_RS01985
OG0000209	E5E95_RS00880	MFC_RS01990
OG0000210	E5E95_RS00925	MFC_RS02040
OG0000211	E5E95_RS00955	MFC_RS02050
OG0000212	E5E95_RS00965	MFC_RS02060
OG0000213	E5E95_RS00970	MFC_RS02065
OG0000214	E5E95_RS00975	MFC_RS02070
OG0000215	E5E95_RS00980	MFC_RS02075
OG0000216	E5E95_RS00985	MFC_RS02080
OG0000217	E5E95_RS00995	MFC_RS02085
OG0000218	E5E95_RS01000	MFC_RS02095
OG0000219	E5E95_RS01005	MFC_RS02100
OG0000220	E5E95_RS01010	MFC_RS02105
OG0000221	E5E95_RS01015	MFC_RS02110
OG0000222	E5E95_RS01020	MFC_RS03235
OG0000223	E5E95_RS01025	MFC_RS02115
OG0000224	E5E95_RS01035	MFC_RS02125
OG0000225	E5E95_RS01045	MFC_RS02135
OG0000226	E5E95_RS01050	MFC_RS02140
OG0000227	E5E95_RS01055	MFC_RS02145
OG0000228	E5E95_RS04285	MFC_RS03530
OG0000229	E5E95_RS01065	MFC_RS02155
OG0000230	E5E95_RS01070	MFC_RS02160
OG0000231	E5E95_RS01080	MFC_RS02170
OG0000232	E5E95_RS01090	MFC_RS02180
OG0000233	E5E95_RS01110	MFC_RS02190
OG0000234	E5E95_RS01145	MFC_RS02220
OG0000235	E5E95_RS01155	MFC_RS02230
OG0000236	E5E95_RS01160	MFC_RS02235
OG0000237	E5E95_RS01165	MFC_RS02250
OG0000238	E5E95_RS01175	MFC_RS02255
OG0000239	E5E95_RS03145	MFC_RS02285
OG0000240	E5E95_RS03150	MFC_RS02290
OG0000241	E5E95_RS03160	MFC_RS02300
OG0000242	E5E95_RS03165	MFC_RS02305
OG0000243	E5E95_RS03170	MFC_RS02310
OG0000244	E5E95_RS03180	MFC_RS02320
OG0000245	E5E95_RS03190	MFC_RS02330
OG0000246	E5E95_RS00130	MFC_RS02345
OG0000247	E5E95_RS00140	MFC_RS02355
OG0000248	E5E95_RS00150	MFC_RS02380
OG0000249	E5E95_RS00155	MFC_RS02385
OG0000250	E5E95_RS00170	MFC_RS02400
OG0000251	E5E95_RS00205	MFC_RS02430
OG0000252	E5E95_RS00215	MFC_RS02440
OG0000253	E5E95_RS00220	MFC_RS02445
OG0000254	E5E95_RS00230	MFC_RS02455
OG0000255	E5E95_RS00240	MFC_RS02465
OG0000256	E5E95_RS00245	MFC_RS02470
OG0000257	E5E95_RS00270	MFC_RS02495
OG0000258	E5E95_RS00280	MFC_RS02505
OG0000259	E5E95_RS00310	MFC_RS02535
OG0000260	E5E95_RS00320	MFC_RS02545
OG0000261	E5E95_RS00330	MFC_RS02555
OG0000262	E5E95_RS00350	MFC_RS02570
OG0000263	E5E95_RS00360	MFC_RS02585
OG0000264	E5E95_RS00375	MFC_RS02600
OG0000265	E5E95_RS00385	MFC_RS02610
OG0000266	E5E95_RS00400	MFC_RS02625
OG0000267	E5E95_RS00415	MFC_RS02640
OG0000268	E5E95_RS00420	MFC_RS02645
OG0000269	E5E95_RS00435	MFC_RS02660
OG0000270	E5E95_RS03710	MFC_RS02720
OG0000271	E5E95_RS03705	MFC_RS02725
OG0000272	E5E95_RS03700	MFC_RS02730
OG0000273	E5E95_RS03695	MFC_RS02735
OG0000274	E5E95_RS03675	MFC_RS02755
OG0000275	E5E95_RS03670	MFC_RS03455
OG0000276	E5E95_RS03665	MFC_RS02765
OG0000277	E5E95_RS03655	MFC_RS02775
OG0000278	E5E95_RS03650	MFC_RS02780
OG0000279	E5E95_RS03640	MFC_RS02790
OG0000280	E5E95_RS03635	MFC_RS02795
OG0000281	E5E95_RS03630	MFC_RS03255
OG0000282	E5E95_RS03605	MFC_RS02820
OG0000283	E5E95_RS03600	MFC_RS02825
OG0000284	E5E95_RS03595	MFC_RS02830
OG0000285	E5E95_RS03590	MFC_RS02835
OG0000286	E5E95_RS04305	MFC_RS02865
OG0000287	E5E95_RS02720	MFC_RS02890
OG0000288	E5E95_RS02730	MFC_RS02900
OG0000289	E5E95_RS02735	MFC_RS02905
OG0000290	E5E95_RS02845	MFC_RS03030
OG0000291	E5E95_RS02835	MFC_RS03040
OG0000292	E5E95_RS02830	MFC_RS03045
OG0000293	E5E95_RS02825	MFC_RS03050
OG0000294	E5E95_RS02815	MFC_RS03060
OG0000295	E5E95_RS02810	MFC_RS03065
OG0000296	E5E95_RS02770	MFC_RS03110
OG0000297	E5E95_RS02765	MFC_RS03115
OG0000298	E5E95_RS00165	MFC_RS02395
OG0000299	E5E95_RS00190	MFC_RS02415
OG0000300	E5E95_RS00370	MFC_RS02595
OG0000301	E5E95_RS00405	MFC_RS02630
OG0000302	E5E95_RS00410	MFC_RS02635
OG0000303	E5E95_RS00560	MFC_RS00835
OG0000304	E5E95_RS01095	MFC_RS00865
OG0000305	E5E95_RS03080	MFC_RS01010
OG0000306	E5E95_RS03005	MFC_RS01090
OG0000307	E5E95_RS02970	MFC_RS01130
OG0000308	E5E95_RS02875	MFC_RS03020
OG0000309	E5E95_RS02800	MFC_RS03075
OG0000310	E5E95_RS02725	MFC_RS02895
OG0000311	E5E95_RS02690	MFC_RS01220
OG0000312	E5E95_RS02675	MFC_RS01240
OG0000313	E5E95_RS01620	MFC_RS01290
OG0000314	E5E95_RS02075	MFC_RS01360
OG0000315	E5E95_RS02105	MFC_RS01390
OG0000316	E5E95_RS02115	MFC_RS01400
OG0000317	E5E95_RS02205	MFC_RS00110
OG0000318	E5E95_RS02120	MFC_RS00020
OG0000319	E5E95_RS02345	MFC_RS00420
OG0000320	E5E95_RS02570	MFC_RS00485
OG0000321	E5E95_RS01350	MFC_RS00550
OG0000322	E5E95_RS01395	MFC_RS00595
OG0000323	E5E95_RS01525	MFC_RS00725
OG0000324	E5E95_RS02385	MFC_RS01775
OG0000325	E5E95_RS00700	MFC_RS01815
OG0000326	E5E95_RS00795	MFC_RS01905
OG0000327	E5E95_RS00800	MFC_RS01910
OG0000328	E5E95_RS00885	MFC_RS01995
OG0000329	E5E95_RS00905	MFC_RS02020
OG0000330	E5E95_RS01120	MFC_RS02200
OG0000331	E5E95_RS03175	MFC_RS02315
OG0000332	E5E95_RS03320	MFC_RS01505
OG0000333	E5E95_RS03330	MFC_RS01515
OG0000334	E5E95_RS03440	MFC_RS01585
OG0000335	E5E95_RS03450	MFC_RS01595
OG0000336	E5E95_RS03620	MFC_RS02805
OG0000337	E5E95_RS03795	MFC_RS00280
OG0000338	E5E95_RS03835	MFC_RS00240
OG0000339	E5E95_RS02540	MFC_RS00505
OG0000340	E5E95_RS01330	MFC_RS00530
OG0000341	E5E95_RS02405	MFC_RS01755
OG0000342	E5E95_RS00730	MFC_RS01845
OG0000343	E5E95_RS03340	MFC_RS01525
OG0000344	E5E95_RS00575	MFC_RS00850
OG0000345	E5E95_RS01040	MFC_RS02130
OG0000346	E5E95_RS03625	MFC_RS02800
OG0000347	E5E95_RS01420	MFC_RS00620
OG0000348	E5E95_RS00805	MFC_RS01915
OG0000349	E5E95_RS03685	MFC_RS02745
OG0000350	E5E95_RS02960	MFC_RS03345
OG0000351	E5E95_RS00495	MFC_RS00785
OG0000352	E5E95_RS02050	MFC_RS01340
OG0000353	E5E95_RS01390	MFC_RS00590
OG0000354	E5E95_RS00635	MFC_RS00900
OG0000355	E5E95_RS02020	MFC_RS01315
OG0000356	E5E95_RS02110	MFC_RS01395
OG0000357	E5E95_RS03300	MFC_RS01485
OG0000358	E5E95_RS03305	MFC_RS01490
OG0000359	E5E95_RS00775	MFC_RS01885
OG0000360	E5E95_RS00275	MFC_RS02500
OG0000361	E5E95_RS00305	MFC_RS02530
OG0000362	E5E95_RS02745	MFC_RS02915
OG0000363	E5E95_RS03985	MFC_RS00660
OG0000365	E5E95_RS02150	MFC_RS00050
OG0000366	E5E95_RS02175	MFC_RS00080
OG0000367	E5E95_RS02185	MFC_RS00090
OG0000368	E5E95_RS00060	MFC_RS00175
OG0000369	E5E95_RS00025	MFC_RS00210
OG0000370	E5E95_RS00020	MFC_RS00215
OG0000371	E5E95_RS00015	MFC_RS00220
OG0000372	E5E95_RS00010	MFC_RS00225
OG0000373	E5E95_RS03825	MFC_RS00250
OG0000374	E5E95_RS03815	MFC_RS00260
OG0000375	E5E95_RS02340	MFC_RS00415
OG0000376	E5E95_RS02585	MFC_RS00470
OG0000377	E5E95_RS02575	MFC_RS00480
OG0000378	E5E95_RS01310	MFC_RS00515
OG0000379	E5E95_RS01385	MFC_RS00585
OG0000380	E5E95_RS01410	MFC_RS00610
OG0000381	E5E95_RS01450	MFC_RS00650
OG0000382	E5E95_RS01480	MFC_RS00680
OG0000383	E5E95_RS01520	MFC_RS00720
OG0000384	E5E95_RS00515	MFC_RS00790
OG0000385	E5E95_RS00520	MFC_RS00795
OG0000386	E5E95_RS00540	MFC_RS00815
OG0000387	E5E95_RS00565	MFC_RS00840
OG0000388	E5E95_RS00570	MFC_RS00845
OG0000389	E5E95_RS00615	MFC_RS00880
OG0000390	E5E95_RS03100	MFC_RS00990
OG0000391	E5E95_RS03090	MFC_RS01000
OG0000392	E5E95_RS03065	MFC_RS01030
OG0000393	E5E95_RS03010	MFC_RS01080
OG0000394	E5E95_RS02940	MFC_RS01145
OG0000395	E5E95_RS02930	MFC_RS01150
OG0000397	E5E95_RS02035	MFC_RS01325
OG0000398	E5E95_RS02040	MFC_RS01330
OG0000399	E5E95_RS02090	MFC_RS01375
OG0000400	E5E95_RS03265	MFC_RS01450
OG0000401	E5E95_RS03325	MFC_RS01510
OG0000402	E5E95_RS03335	MFC_RS01520
OG0000403	E5E95_RS03345	MFC_RS01530
OG0000404	E5E95_RS03375	MFC_RS03375, MFC_RS01555
OG0000405	E5E95_RS03390	MFC_RS01570
OG0000406	E5E95_RS03455	MFC_RS01600
OG0000407	E5E95_RS03460	MFC_RS01605
OG0000408	E5E95_RS03465	MFC_RS01610
OG0000409	E5E95_RS03470	MFC_RS01615
OG0000410	E5E95_RS03530	MFC_RS01650
OG0000411	E5E95_RS03520	MFC_RS01660
OG0000412	E5E95_RS03515	MFC_RS01665
OG0000413	E5E95_RS01535	MFC_RS01705
OG0000414	E5E95_RS01545	MFC_RS01715
OG0000415	E5E95_RS01550	MFC_RS01720
OG0000416	E5E95_RS01560	MFC_RS01730
OG0000417	E5E95_RS02400	MFC_RS01760
OG0000418	E5E95_RS02395	MFC_RS01765
OG0000419	E5E95_RS00710	MFC_RS01825
OG0000420	E5E95_RS00745	MFC_RS01860
OG0000421	E5E95_RS00780	MFC_RS01890
OG0000422	E5E95_RS00790	MFC_RS01900
OG0000423	E5E95_RS00845	MFC_RS01955
OG0000424	E5E95_RS00850	MFC_RS01960
OG0000425	E5E95_RS00860	MFC_RS01970
OG0000426	E5E95_RS00865	MFC_RS01975
OG0000427	E5E95_RS00890	MFC_RS02000
OG0000428	E5E95_RS00915	MFC_RS02030
OG0000429	E5E95_RS01030	MFC_RS02120
OG0000430	E5E95_RS01075	MFC_RS02165
OG0000431	E5E95_RS01085	MFC_RS02175
OG0000432	E5E95_RS01115	MFC_RS02195
OG0000433	E5E95_RS01130	MFC_RS02205
OG0000434	E5E95_RS01135	MFC_RS02210
OG0000435	E5E95_RS01150	MFC_RS02225
OG0000436	E5E95_RS01180	MFC_RS03535
OG0000437	E5E95_RS01190	MFC_RS02270
OG0000438	E5E95_RS01195	MFC_RS02275
OG0000439	E5E95_RS01200	MFC_RS02280
OG0000440	E5E95_RS03155	MFC_RS02295
OG0000441	E5E95_RS03195	MFC_RS02335
OG0000442	E5E95_RS00135	MFC_RS02350
OG0000443	E5E95_RS00185	MFC_RS02410
OG0000444	E5E95_RS00200	MFC_RS02425
OG0000445	E5E95_RS00225	MFC_RS02450
OG0000446	E5E95_RS00255	MFC_RS02480
OG0000447	E5E95_RS00260	MFC_RS02485
OG0000448	E5E95_RS00290	MFC_RS02515
OG0000449	E5E95_RS00315	MFC_RS02540
OG0000450	E5E95_RS00325	MFC_RS02550
OG0000451	E5E95_RS00365	MFC_RS02590
OG0000452	E5E95_RS00390	MFC_RS02615
OG0000453	E5E95_RS00425	MFC_RS02650
OG0000454	E5E95_RS01735, E5E95_RS02455	MFC_RS03440, MFC_RS03435
OG0000455	E5E95_RS03730	MFC_RS02700
OG0000456	E5E95_RS03610	MFC_RS02815
OG0000457	E5E95_RS03585	MFC_RS02840
OG0000458	E5E95_RS02715	MFC_RS02885
OG0000459	E5E95_RS02740	MFC_RS02910
OG0000460	E5E95_RS02750	MFC_RS02920
OG0000461	E5E95_RS02795	MFC_RS03080
OG0000462	E5E95_RS02790	MFC_RS03085
OG0000463	E5E95_RS02785	MFC_RS03090
OG0000464	E5E95_RS02780	MFC_RS03100
OG0000465	E5E95_RS02775	MFC_RS03105
OG0000466	E5E95_RS00395	MFC_RS02620
OG0000467	E5E95_RS02880	MFC_RS03500
OG0000468	E5E95_RS02085	MFC_RS01370
OG0000469	E5E95_RS02145	MFC_RS00045
OG0000470	E5E95_RS03895	MFC_RS01950
OG0000471	E5E95_RS00920	MFC_RS02035
OG0000472	E5E95_RS03540	MFC_RS01680
OG0000473	E5E95_RS03715	MFC_RS02715
OG0000474	E5E95_RS03720	MFC_RS02710
OG0000475	E5E95_RS03725	MFC_RS02705
OG0000476	E5E95_RS01570	MFC_RS00345
OG0000477	E5E95_RS02820	MFC_RS03055
OG0000478	E5E95_RS03660	MFC_RS02770
OG0000479	E5E95_RS01345	MFC_RS00545
OG0000480	E5E95_RS03865	MFC_RS03300
OG0000481	E5E95_RS00815	MFC_RS01925
OG0000482	E5E95_RS01230	MFC_RS01790
OG0000483	E5E95_RS02190	MFC_RS00095
OG0000484	E5E95_RS00195	MFC_RS02420
OG0000487	E5E95_RS02125	MFC_RS00025
OG0000488	E5E95_RS02160	MFC_RS00065
OG0000489	E5E95_RS00050	MFC_RS00185
OG0000490	E5E95_RS03830	MFC_RS00245
OG0000491	E5E95_RS01365	MFC_RS00565
OG0000492	E5E95_RS01440	MFC_RS00640
OG0000493	E5E95_RS00580	MFC_RS00855
OG0000494	E5E95_RS00640	MFC_RS00905
OG0000495	E5E95_RS03035	MFC_RS01055
OG0000496	E5E95_RS03025	MFC_RS01065
OG0000497	E5E95_RS03020	MFC_RS01070
OG0000500	E5E95_RS02045	MFC_RS01335
OG0000501	E5E95_RS04280, E5E95_RS04275	MFC_RS01460
OG0000502	E5E95_RS01220	MFC_RS01800
OG0000503	E5E95_RS00760	MFC_RS01870
OG0000504	E5E95_RS00895	MFC_RS02005
OG0000506	E5E95_RS00960	MFC_RS02055
OG0000508	E5E95_RS00250	MFC_RS02475
OG0000509	E5E95_RS00285	MFC_RS02510
OG0000510	E5E95_RS00295	MFC_RS02520
OG0000511	E5E95_RS00430	MFC_RS02655
OG0000512	E5E95_RS02755	MFC_RS02925
OG0000513	E5E95_RS03645	MFC_RS02785
OG0000516	E5E95_RS02130	MFC_RS00030
OG0000517	E5E95_RS00065	MFC_RS00170
OG0000518	E5E95_RS03315	MFC_RS01500
OG0000519	E5E95_RS00785	MFC_RS01895
OG0000520	E5E95_RS00910	MFC_RS02025
OG0000521	E5E95_RS00265	MFC_RS02490
OG0000522	E5E95_RS00300	MFC_RS02525
OG0000523	E5E95_RS03580	MFC_RS02845
OG0000525	E5E95_RS03545	MFC_RS01685
OG0000528	E5E95_RS02135	MFC_RS00035
OG0000529	E5E95_RS02355	MFC_RS00430
OG0000531	E5E95_RS01415	MFC_RS00615
OG0000532	E5E95_RS01740	MFC_RS00940
OG0000533	E5E95_RS00600	MFC_RS02185
OG0000534	E5E95_RS00380	MFC_RS02605
OG0000535	E5E95_RS00045	MFC_RS00190
OG0000536	E5E95_RS03765	MFC_RS00315
OG0000537	E5E95_RS00725	MFC_RS01840
OG0000538	E5E95_RS01140	MFC_RS02215
OG0000539	E5E95_RS00210	MFC_RS02435
OG0000540	E5E95_RS02840	MFC_RS03035
OG0000541	E5E95_RS02920	MFC_RS01170
OG0000547	E5E95_RS03110	MFC_RS00980
OG0000548	E5E95_RS01615	MFC_RS01285
OG0000549	E5E95_RS03535	MFC_RS01675
OG0000550	E5E95_RS03680	MFC_RS02750
OG0000555	E5E95_RS04170	MFC_RS03340
OG0000589	E5E95_RS02260	MFC_RS03260
OG0000595	E5E95_RS03205	MFC_RS01440
OG0000596	E5E95_RS01845	MFC_RS02370
OG0000597	E5E95_RS03200	MFC_RS01435
OG0000598	E5E95_RS01850	MFC_RS02365
OG0000599	E5E95_RS01855	MFC_RS02360
OG0000602	E5E95_RS02155	MFC_RS00055
