Orthogroup	MHP_ES2_genes	MHP_7422_genes
OG0000072	E5E95_RS03490	MHL_RS03280
OG0000073	E5E95_RS00705	MHL_RS00795
OG0000074	E5E95_RS00900	MHL_RS03950, MHL_RS04210
OG0000075	E5E95_RS00340	MHL_RS00345
OG0000076	E5E95_RS00355	MHL_RS00360
OG0000077	E5E95_RS00445	MHL_RS00450
OG0000078	E5E95_RS01790	MHL_RS01755
OG0000079	E5E95_RS02760	MHL_RS02615
OG0000080	E5E95_RS03935	MHL_RS03870
OG0000081	E5E95_RS00335	MHL_RS00340
OG0000082	E5E95_RS02605	MHL_RS02460
OG0000083	E5E95_RS02140	MHL_RS02095
OG0000084	E5E95_RS02165	MHL_RS02120
OG0000085	E5E95_RS02170	MHL_RS02125
OG0000086	E5E95_RS02180	MHL_RS02135
OG0000087	E5E95_RS02195	MHL_RS02150
OG0000088	E5E95_RS02200	MHL_RS02155
OG0000089	E5E95_RS02210	MHL_RS02165
OG0000090	E5E95_RS00070	MHL_RS00075
OG0000091	E5E95_RS00055	MHL_RS00060
OG0000092	E5E95_RS00040	MHL_RS00045
OG0000093	E5E95_RS00035	MHL_RS00040
OG0000094	E5E95_RS00030	MHL_RS00035
OG0000095	E5E95_RS00005	MHL_RS00010
OG0000096	E5E95_RS03840	MHL_RS03615
OG0000097	E5E95_RS03820	MHL_RS03595
OG0000098	E5E95_RS03810	MHL_RS03585
OG0000099	E5E95_RS03760	MHL_RS03535
OG0000100	E5E95_RS03740	MHL_RS03520
OG0000101	E5E95_RS03735	MHL_RS03515
OG0000102	E5E95_RS01815	MHL_RS01780
OG0000103	E5E95_RS02330	MHL_RS02275
OG0000104	E5E95_RS02335	MHL_RS02280
OG0000105	E5E95_RS02350	MHL_RS02295
OG0000106	E5E95_RS02360	MHL_RS02305
OG0000107	E5E95_RS02370	MHL_RS02315
OG0000108	E5E95_RS02375	MHL_RS02320
OG0000109	E5E95_RS02380	MHL_RS02325
OG0000110	E5E95_RS02595	MHL_RS02450
OG0000111	E5E95_RS02590	MHL_RS02445
OG0000112	E5E95_RS02580	MHL_RS02435
OG0000113	E5E95_RS02560	MHL_RS02415
OG0000114	E5E95_RS04300	MHL_RS02405
OG0000115	E5E95_RS02535	MHL_RS02395
OG0000116	E5E95_RS01315	MHL_RS01380
OG0000117	E5E95_RS01320	MHL_RS01385
OG0000118	E5E95_RS01355	MHL_RS01420
OG0000119	E5E95_RS01360	MHL_RS01425
OG0000120	E5E95_RS01375	MHL_RS01440
OG0000121	E5E95_RS01400	MHL_RS01465
OG0000122	E5E95_RS01405	MHL_RS01470
OG0000123	E5E95_RS01425	MHL_RS01490
OG0000124	E5E95_RS01430	MHL_RS01495
OG0000125	E5E95_RS01435	MHL_RS01500
OG0000126	E5E95_RS01445	MHL_RS01510
OG0000127	E5E95_RS01455	MHL_RS01520
OG0000128	E5E95_RS01470	MHL_RS01535
OG0000129	E5E95_RS01475	MHL_RS01540
OG0000130	E5E95_RS01485	MHL_RS01550
OG0000131	E5E95_RS01515	MHL_RS01580
OG0000132	E5E95_RS01530	MHL_RS01595
OG0000133	E5E95_RS00530	MHL_RS00530
OG0000134	E5E95_RS00535	MHL_RS00535
OG0000135	E5E95_RS00550	MHL_RS00550
OG0000136	E5E95_RS00555	MHL_RS00555
OG0000137	E5E95_RS00585	MHL_RS00585
OG0000138	E5E95_RS00620	MHL_RS00710
OG0000139	E5E95_RS00650	MHL_RS00740
OG0000140	E5E95_RS00655	MHL_RS00745
OG0000141	E5E95_RS03135	MHL_RS02980
OG0000142	E5E95_RS03130	MHL_RS02975
OG0000143	E5E95_RS03105	MHL_RS02950
OG0000144	E5E95_RS03095	MHL_RS02940
OG0000145	E5E95_RS03085	MHL_RS02930
OG0000146	E5E95_RS03075	MHL_RS02920
OG0000147	E5E95_RS03070	MHL_RS02915
OG0000148	E5E95_RS03055	MHL_RS02900
OG0000149	E5E95_RS03045	MHL_RS02890
OG0000150	E5E95_RS03030	MHL_RS02875
OG0000151	E5E95_RS02985	MHL_RS02830
OG0000152	E5E95_RS02980	MHL_RS02825
OG0000153	E5E95_RS02975	MHL_RS02820
OG0000154	E5E95_RS02965	MHL_RS02810
OG0000155	E5E95_RS02925	MHL_RS02770
OG0000156	E5E95_RS02915	MHL_RS02760
OG0000157	E5E95_RS02910	MHL_RS02755
OG0000158	E5E95_RS02905	MHL_RS04195
OG0000159	E5E95_RS04310	MHL_RS02525
OG0000160	E5E95_RS02665	MHL_RS02520
OG0000161	E5E95_RS02660	MHL_RS02515
OG0000162	E5E95_RS02650	MHL_RS02505
OG0000163	E5E95_RS02645	MHL_RS02500
OG0000164	E5E95_RS01630	MHL_RS01690
OG0000165	E5E95_RS02055	MHL_RS02015
OG0000166	E5E95_RS02080	MHL_RS02035
OG0000167	E5E95_RS02095	MHL_RS02050
OG0000168	E5E95_RS02100	MHL_RS04040
OG0000169	E5E95_RS03255	MHL_RS03055
OG0000170	E5E95_RS03270	MHL_RS03070
OG0000171	E5E95_RS03280	MHL_RS03080
OG0000172	E5E95_RS03285	MHL_RS03085
OG0000173	E5E95_RS03290	MHL_RS03090
OG0000174	E5E95_RS03295	MHL_RS03095
OG0000175	E5E95_RS03310	MHL_RS03110
OG0000176	E5E95_RS03360	MHL_RS03160
OG0000177	E5E95_RS03365	MHL_RS03165
OG0000178	E5E95_RS03370	MHL_RS03170
OG0000179	E5E95_RS03380	MHL_RS03180
OG0000180	E5E95_RS03385	MHL_RS03185
OG0000181	E5E95_RS03435	MHL_RS03225
OG0000182	E5E95_RS03445	MHL_RS03235
OG0000183	E5E95_RS03480	MHL_RS03270
OG0000184	E5E95_RS03525	MHL_RS03310
OG0000185	E5E95_RS03510	MHL_RS03295
OG0000186	E5E95_RS01540	MHL_RS01605
OG0000187	E5E95_RS01555	MHL_RS01620
OG0000188	E5E95_RS01565	MHL_RS01630
OG0000189	E5E95_RS02415	MHL_RS02365
OG0000190	E5E95_RS02410	MHL_RS02360
OG0000191	E5E95_RS02390	MHL_RS02340
OG0000192	E5E95_RS01235	MHL_RS01300
OG0000193	E5E95_RS01225	MHL_RS01290
OG0000194	E5E95_RS00690	MHL_RS00780
OG0000195	E5E95_RS00695	MHL_RS00785
OG0000196	E5E95_RS00715	MHL_RS00805
OG0000197	E5E95_RS00720	MHL_RS00810
OG0000198	E5E95_RS00735	MHL_RS00825
OG0000199	E5E95_RS00740	MHL_RS00830
OG0000200	E5E95_RS00755	MHL_RS00840
OG0000201	E5E95_RS00765	MHL_RS00850
OG0000202	E5E95_RS00820	MHL_RS00905
OG0000203	E5E95_RS00825	MHL_RS00910
OG0000204	E5E95_RS00830	MHL_RS00915
OG0000205	E5E95_RS00835	MHL_RS00920
OG0000206	E5E95_RS00855	MHL_RS00940
OG0000207	E5E95_RS00870	MHL_RS00955
OG0000208	E5E95_RS00875	MHL_RS00960
OG0000209	E5E95_RS00880	MHL_RS00965
OG0000210	E5E95_RS00925	MHL_RS01010
OG0000211	E5E95_RS00955	MHL_RS01020
OG0000212	E5E95_RS00965	MHL_RS01030
OG0000213	E5E95_RS00970	MHL_RS01035
OG0000214	E5E95_RS00975	MHL_RS01040
OG0000215	E5E95_RS00980	MHL_RS01045
OG0000216	E5E95_RS00985	MHL_RS01050
OG0000217	E5E95_RS00995	MHL_RS01055
OG0000218	E5E95_RS01000	MHL_RS01065
OG0000219	E5E95_RS01005	MHL_RS01070
OG0000220	E5E95_RS01010	MHL_RS01075
OG0000221	E5E95_RS01015	MHL_RS01080
OG0000222	E5E95_RS01020	MHL_RS01085
OG0000223	E5E95_RS01025	MHL_RS01090
OG0000224	E5E95_RS01035	MHL_RS01100
OG0000225	E5E95_RS01045	MHL_RS01110
OG0000226	E5E95_RS01050	MHL_RS01115
OG0000227	E5E95_RS01055	MHL_RS01120
OG0000228	E5E95_RS04285	MHL_RS04215
OG0000229	E5E95_RS01065	MHL_RS01130
OG0000230	E5E95_RS01070	MHL_RS01135
OG0000231	E5E95_RS01080	MHL_RS01145
OG0000232	E5E95_RS01090	MHL_RS01155
OG0000233	E5E95_RS01110	MHL_RS01175
OG0000234	E5E95_RS01145	MHL_RS01210
OG0000235	E5E95_RS01155	MHL_RS01220
OG0000236	E5E95_RS01160	MHL_RS01225
OG0000237	E5E95_RS01165	MHL_RS01230
OG0000238	E5E95_RS01175	MHL_RS01240
OG0000239	E5E95_RS03145	MHL_RS02990
OG0000240	E5E95_RS03150	MHL_RS02995
OG0000241	E5E95_RS03160	MHL_RS03005
OG0000242	E5E95_RS03165	MHL_RS03010
OG0000243	E5E95_RS03170	MHL_RS03015
OG0000244	E5E95_RS03180	MHL_RS03025
OG0000245	E5E95_RS03190	MHL_RS03035
OG0000246	E5E95_RS00130	MHL_RS00145
OG0000247	E5E95_RS00140	MHL_RS00155
OG0000248	E5E95_RS00150	MHL_RS00165
OG0000249	E5E95_RS00155	MHL_RS00170
OG0000250	E5E95_RS00170	MHL_RS00185
OG0000251	E5E95_RS00205	MHL_RS00210
OG0000252	E5E95_RS00215	MHL_RS00220
OG0000253	E5E95_RS00220	MHL_RS00225
OG0000254	E5E95_RS00230	MHL_RS00235
OG0000255	E5E95_RS00240	MHL_RS00245
OG0000256	E5E95_RS00245	MHL_RS00250
OG0000257	E5E95_RS00270	MHL_RS00275
OG0000258	E5E95_RS00280	MHL_RS00285
OG0000259	E5E95_RS00310	MHL_RS00315
OG0000260	E5E95_RS00320	MHL_RS00325
OG0000261	E5E95_RS00330	MHL_RS00335
OG0000262	E5E95_RS00350	MHL_RS00350
OG0000263	E5E95_RS00360	MHL_RS00370
OG0000264	E5E95_RS00375	MHL_RS00380
OG0000265	E5E95_RS00385	MHL_RS00390
OG0000266	E5E95_RS00400	MHL_RS00405
OG0000267	E5E95_RS00415	MHL_RS00420
OG0000268	E5E95_RS00420	MHL_RS00425
OG0000269	E5E95_RS00435	MHL_RS00440
OG0000270	E5E95_RS03710	MHL_RS03490
OG0000271	E5E95_RS03705	MHL_RS03485
OG0000272	E5E95_RS03700	MHL_RS03480
OG0000273	E5E95_RS03695	MHL_RS03475
OG0000274	E5E95_RS03675	MHL_RS03455
OG0000275	E5E95_RS03670	MHL_RS03450
OG0000276	E5E95_RS03665	MHL_RS03445
OG0000277	E5E95_RS03655	MHL_RS03435
OG0000278	E5E95_RS03650	MHL_RS03430
OG0000279	E5E95_RS03640	MHL_RS03420
OG0000280	E5E95_RS03635	MHL_RS03415
OG0000281	E5E95_RS03630	MHL_RS03760
OG0000282	E5E95_RS03605	MHL_RS03390
OG0000283	E5E95_RS03600	MHL_RS03385
OG0000284	E5E95_RS03595	MHL_RS03380
OG0000285	E5E95_RS03590	MHL_RS03375
OG0000286	E5E95_RS04305	MHL_RS02485
OG0000287	E5E95_RS02720	MHL_RS02575
OG0000288	E5E95_RS02730	MHL_RS02585
OG0000289	E5E95_RS02735	MHL_RS02590
OG0000290	E5E95_RS02845	MHL_RS02700
OG0000291	E5E95_RS02835	MHL_RS02690
OG0000292	E5E95_RS02830	MHL_RS02685
OG0000293	E5E95_RS02825	MHL_RS02680
OG0000294	E5E95_RS02815	MHL_RS02670
OG0000295	E5E95_RS02810	MHL_RS02665
OG0000296	E5E95_RS02770	MHL_RS02625
OG0000297	E5E95_RS02765	MHL_RS02620
OG0000298	E5E95_RS00165	MHL_RS00180
OG0000299	E5E95_RS00190	MHL_RS03650
OG0000300	E5E95_RS00370	MHL_RS00375
OG0000301	E5E95_RS00405	MHL_RS00410
OG0000302	E5E95_RS00410	MHL_RS00415
OG0000303	E5E95_RS00560	MHL_RS00560
OG0000304	E5E95_RS01095	MHL_RS01160
OG0000305	E5E95_RS03080	MHL_RS02925
OG0000306	E5E95_RS03005	MHL_RS02850
OG0000307	E5E95_RS02970	MHL_RS02815
OG0000308	E5E95_RS02875	MHL_RS02720
OG0000309	E5E95_RS02800	MHL_RS02655
OG0000310	E5E95_RS02725	MHL_RS02580
OG0000311	E5E95_RS02690	MHL_RS02545
OG0000312	E5E95_RS02675	MHL_RS02530
OG0000313	E5E95_RS01620	MHL_RS01680
OG0000314	E5E95_RS02075	MHL_RS02030
OG0000315	E5E95_RS02105	MHL_RS02060
OG0000316	E5E95_RS02115	MHL_RS02070
OG0000317	E5E95_RS02205	MHL_RS02160
OG0000318	E5E95_RS02120	MHL_RS02075
OG0000319	E5E95_RS02345	MHL_RS02290
OG0000320	E5E95_RS02570	MHL_RS02425
OG0000321	E5E95_RS01350	MHL_RS01415
OG0000322	E5E95_RS01395	MHL_RS01460
OG0000323	E5E95_RS01525	MHL_RS01590
OG0000324	E5E95_RS02385	MHL_RS02335
OG0000325	E5E95_RS00700	MHL_RS00790
OG0000326	E5E95_RS00795	MHL_RS00880
OG0000327	E5E95_RS00800	MHL_RS00885
OG0000328	E5E95_RS00885	MHL_RS00970
OG0000329	E5E95_RS00905	MHL_RS00990
OG0000330	E5E95_RS01120	MHL_RS01185
OG0000331	E5E95_RS03175	MHL_RS03020
OG0000332	E5E95_RS03320	MHL_RS03120
OG0000333	E5E95_RS03330	MHL_RS03130
OG0000334	E5E95_RS03440	MHL_RS03230
OG0000335	E5E95_RS03450	MHL_RS03240
OG0000336	E5E95_RS03620	MHL_RS03405
OG0000337	E5E95_RS03795	MHL_RS03570
OG0000338	E5E95_RS03835	MHL_RS03610
OG0000339	E5E95_RS02540	MHL_RS02400
OG0000340	E5E95_RS01330	MHL_RS01395
OG0000341	E5E95_RS02405	MHL_RS02355
OG0000342	E5E95_RS00730	MHL_RS00820
OG0000343	E5E95_RS03340	MHL_RS03140
OG0000344	E5E95_RS00575	MHL_RS00580
OG0000345	E5E95_RS01040	MHL_RS01105
OG0000346	E5E95_RS03625	MHL_RS03410
OG0000347	E5E95_RS01420	MHL_RS01485
OG0000348	E5E95_RS00805	MHL_RS00890
OG0000349	E5E95_RS03685	MHL_RS03640
OG0000350	E5E95_RS02960	MHL_RS02805
OG0000351	E5E95_RS00495	MHL_RS00505
OG0000352	E5E95_RS02050	MHL_RS02010
OG0000353	E5E95_RS01390	MHL_RS01455
OG0000354	E5E95_RS00635	MHL_RS00725
OG0000355	E5E95_RS02020	MHL_RS01980
OG0000356	E5E95_RS02110	MHL_RS02065
OG0000357	E5E95_RS03300	MHL_RS03100
OG0000358	E5E95_RS03305	MHL_RS03105
OG0000359	E5E95_RS00775	MHL_RS00860
OG0000360	E5E95_RS00275	MHL_RS00280
OG0000361	E5E95_RS00305	MHL_RS00310
OG0000362	E5E95_RS02745	MHL_RS02600
OG0000363	E5E95_RS03985	MHL_RS03985
OG0000364	E5E95_RS01995	MHL_RS04025, MHL_RS01955
OG0000365	E5E95_RS02150	MHL_RS02105
OG0000366	E5E95_RS02175	MHL_RS02130
OG0000367	E5E95_RS02185	MHL_RS02140
OG0000368	E5E95_RS00060	MHL_RS00065
OG0000369	E5E95_RS00025	MHL_RS00030
OG0000370	E5E95_RS00020	MHL_RS00025
OG0000371	E5E95_RS00015	MHL_RS00020
OG0000372	E5E95_RS00010	MHL_RS00015
OG0000373	E5E95_RS03825	MHL_RS03605
OG0000374	E5E95_RS03815	MHL_RS03590
OG0000375	E5E95_RS02340	MHL_RS02285
OG0000376	E5E95_RS02585	MHL_RS02440
OG0000377	E5E95_RS02575	MHL_RS02430
OG0000378	E5E95_RS01310	MHL_RS01375
OG0000379	E5E95_RS01385	MHL_RS01450
OG0000380	E5E95_RS01410	MHL_RS01475
OG0000381	E5E95_RS01450	MHL_RS01515
OG0000382	E5E95_RS01480	MHL_RS01545
OG0000383	E5E95_RS01520	MHL_RS01585
OG0000384	E5E95_RS00515	MHL_RS00520
OG0000386	E5E95_RS00540	MHL_RS00540
OG0000387	E5E95_RS00565	MHL_RS00565
OG0000388	E5E95_RS00570	MHL_RS00570
OG0000389	E5E95_RS00615	MHL_RS00705
OG0000390	E5E95_RS03100	MHL_RS02945
OG0000391	E5E95_RS03090	MHL_RS02935
OG0000392	E5E95_RS03065	MHL_RS02910
OG0000393	E5E95_RS03010	MHL_RS02855
OG0000394	E5E95_RS02940	MHL_RS02780
OG0000395	E5E95_RS02930	MHL_RS02775
OG0000397	E5E95_RS02035	MHL_RS01995
OG0000398	E5E95_RS02040	MHL_RS02000
OG0000399	E5E95_RS02090	MHL_RS02045
OG0000400	E5E95_RS03265	MHL_RS03065
OG0000401	E5E95_RS03325	MHL_RS03125
OG0000402	E5E95_RS03335	MHL_RS03135
OG0000403	E5E95_RS03345	MHL_RS03145
OG0000404	E5E95_RS03375	MHL_RS03175
OG0000405	E5E95_RS03390	MHL_RS03190
OG0000406	E5E95_RS03455	MHL_RS03245
OG0000407	E5E95_RS03460	MHL_RS03250
OG0000408	E5E95_RS03465	MHL_RS03255
OG0000409	E5E95_RS03470	MHL_RS03260
OG0000410	E5E95_RS03530	MHL_RS03315
OG0000411	E5E95_RS03520	MHL_RS03305
OG0000412	E5E95_RS03515	MHL_RS03300
OG0000413	E5E95_RS01535	MHL_RS01600
OG0000414	E5E95_RS01545	MHL_RS01610
OG0000415	E5E95_RS01550	MHL_RS01615
OG0000416	E5E95_RS01560	MHL_RS01625
OG0000417	E5E95_RS02400	MHL_RS02350
OG0000418	E5E95_RS02395	MHL_RS02345
OG0000419	E5E95_RS00710	MHL_RS00800
OG0000420	E5E95_RS00745	MHL_RS00835
OG0000421	E5E95_RS00780	MHL_RS00865
OG0000422	E5E95_RS00790	MHL_RS00875
OG0000423	E5E95_RS00845	MHL_RS00930
OG0000424	E5E95_RS00850	MHL_RS00935
OG0000425	E5E95_RS00860	MHL_RS00945
OG0000426	E5E95_RS00865	MHL_RS00950
OG0000427	E5E95_RS00890	MHL_RS00975
OG0000428	E5E95_RS00915	MHL_RS01000
OG0000429	E5E95_RS01030	MHL_RS01095
OG0000430	E5E95_RS01075	MHL_RS01140
OG0000431	E5E95_RS01085	MHL_RS01150
OG0000432	E5E95_RS01115	MHL_RS01180
OG0000433	E5E95_RS01130	MHL_RS01195
OG0000434	E5E95_RS01135	MHL_RS01200
OG0000435	E5E95_RS01150	MHL_RS01215
OG0000436	E5E95_RS01180	MHL_RS01245
OG0000437	E5E95_RS01190	MHL_RS01255
OG0000438	E5E95_RS01195	MHL_RS03965
OG0000439	E5E95_RS01200	MHL_RS01265
OG0000440	E5E95_RS03155	MHL_RS03000
OG0000441	E5E95_RS03195	MHL_RS03040
OG0000442	E5E95_RS00135	MHL_RS00150
OG0000443	E5E95_RS00185	MHL_RS00195
OG0000444	E5E95_RS00200	MHL_RS00205
OG0000445	E5E95_RS00225	MHL_RS00230
OG0000446	E5E95_RS00255	MHL_RS00260
OG0000447	E5E95_RS00260	MHL_RS00265
OG0000448	E5E95_RS00290	MHL_RS00295
OG0000449	E5E95_RS00315	MHL_RS00320
OG0000450	E5E95_RS00325	MHL_RS00330
OG0000452	E5E95_RS00390	MHL_RS00395
OG0000453	E5E95_RS00425	MHL_RS00430
OG0000455	E5E95_RS03730	MHL_RS03510
OG0000456	E5E95_RS03610	MHL_RS03395
OG0000457	E5E95_RS03585	MHL_RS03370
OG0000458	E5E95_RS02715	MHL_RS02570
OG0000459	E5E95_RS02740	MHL_RS02595
OG0000460	E5E95_RS02750	MHL_RS02605
OG0000461	E5E95_RS02795	MHL_RS02650
OG0000462	E5E95_RS02790	MHL_RS02645
OG0000463	E5E95_RS02785	MHL_RS02640
OG0000464	E5E95_RS02780	MHL_RS02635
OG0000465	E5E95_RS02775	MHL_RS02630
OG0000466	E5E95_RS00395	MHL_RS00400
OG0000467	E5E95_RS02880	MHL_RS02730
OG0000468	E5E95_RS02085	MHL_RS02040
OG0000469	E5E95_RS02145	MHL_RS02100
OG0000470	E5E95_RS03895	MHL_RS03825
OG0000471	E5E95_RS00920	MHL_RS01005
OG0000472	E5E95_RS03540	MHL_RS03325
OG0000473	E5E95_RS03715	MHL_RS03495
OG0000474	E5E95_RS03720	MHL_RS03500
OG0000475	E5E95_RS03725	MHL_RS03505
OG0000476	E5E95_RS01570	MHL_RS01635
OG0000477	E5E95_RS02820	MHL_RS02675
OG0000478	E5E95_RS03660	MHL_RS03440
OG0000479	E5E95_RS01345	MHL_RS01410
OG0000480	E5E95_RS03865	MHL_RS03850
OG0000481	E5E95_RS00815	MHL_RS00900
OG0000482	E5E95_RS01230	MHL_RS01295
OG0000483	E5E95_RS02190	MHL_RS02145
OG0000484	E5E95_RS00195	MHL_RS00200
OG0000485	E5E95_RS01185	MHL_RS01250
OG0000486	E5E95_RS02420	MHL_RS02370
OG0000487	E5E95_RS02125	MHL_RS02080
OG0000488	E5E95_RS02160	MHL_RS02115
OG0000489	E5E95_RS00050	MHL_RS00055
OG0000491	E5E95_RS01365	MHL_RS01430
OG0000492	E5E95_RS01440	MHL_RS01505
OG0000494	E5E95_RS00640	MHL_RS00730
OG0000495	E5E95_RS03035	MHL_RS02880
OG0000496	E5E95_RS03025	MHL_RS04090
OG0000497	E5E95_RS03020	MHL_RS02865
OG0000500	E5E95_RS02045	MHL_RS02005
OG0000501	E5E95_RS04280, E5E95_RS04275	MHL_RS03075
OG0000502	E5E95_RS01220	MHL_RS01285
OG0000503	E5E95_RS00760	MHL_RS00845
OG0000504	E5E95_RS00895	MHL_RS00980
OG0000506	E5E95_RS00960	MHL_RS01025
OG0000508	E5E95_RS00250	MHL_RS00255
OG0000509	E5E95_RS00285	MHL_RS00290
OG0000510	E5E95_RS00295	MHL_RS00300
OG0000511	E5E95_RS00430	MHL_RS00435
OG0000512	E5E95_RS02755	MHL_RS02610
OG0000513	E5E95_RS03645	MHL_RS03425
OG0000514	E5E95_RS03060	MHL_RS02905
OG0000515	E5E95_RS01965	MHL_RS01925
OG0000515	E5E95_RS01580	MHL_RS01925
OG0000516	E5E95_RS02130	MHL_RS02085
OG0000517	E5E95_RS00065	MHL_RS00070
OG0000518	E5E95_RS03315	MHL_RS03115
OG0000519	E5E95_RS00785	MHL_RS00870
OG0000520	E5E95_RS00910	MHL_RS00995
OG0000521	E5E95_RS00265	MHL_RS00270
OG0000522	E5E95_RS00300	MHL_RS00305
OG0000523	E5E95_RS03580	MHL_RS03365
OG0000525	E5E95_RS03545	MHL_RS03330
OG0000526	E5E95_RS04020	MHL_RS04020
OG0000527	E5E95_RS01880	MHL_RS01840
OG0000528	E5E95_RS02135	MHL_RS02090
OG0000529	E5E95_RS02355	MHL_RS02300
OG0000531	E5E95_RS01415	MHL_RS01480
OG0000532	E5E95_RS01740	MHL_RS01715
OG0000533	E5E95_RS00600	MHL_RS03945, MHL_RS03940
OG0000534	E5E95_RS00380	MHL_RS00385
