Orthogroup	MHP_ES2_genes	MHP_KM014_genes
OG0000106	E5E95_RS02360	CIB43_RS03140
OG0000107	E5E95_RS02370	CIB43_RS03150
OG0000108	E5E95_RS02375	CIB43_RS03155
OG0000109	E5E95_RS02380	CIB43_RS03160
OG0000110	E5E95_RS02595	CIB43_RS03290
OG0000111	E5E95_RS02590	CIB43_RS03285
OG0000112	E5E95_RS02580	CIB43_RS03280
OG0000113	E5E95_RS02560	CIB43_RS03260
OG0000114	E5E95_RS04300	CIB43_RS03245
OG0000115	E5E95_RS02535	CIB43_RS03230
OG0000116	E5E95_RS01315	CIB43_RS02165
OG0000117	E5E95_RS01320	CIB43_RS02170
OG0000118	E5E95_RS01355	CIB43_RS02205
OG0000119	E5E95_RS01360	CIB43_RS02210
OG0000120	E5E95_RS01375	CIB43_RS02230
OG0000121	E5E95_RS01400	CIB43_RS02250
OG0000122	E5E95_RS01405	CIB43_RS02255
OG0000123	E5E95_RS01425	CIB43_RS02275
OG0000124	E5E95_RS01430	CIB43_RS02280
OG0000125	E5E95_RS01435	CIB43_RS02285
OG0000126	E5E95_RS01445	CIB43_RS02295
OG0000127	E5E95_RS01455	CIB43_RS02305
OG0000128	E5E95_RS01470	CIB43_RS02320
OG0000129	E5E95_RS01475	CIB43_RS02330
OG0000130	E5E95_RS01485	CIB43_RS02335
OG0000131	E5E95_RS01515	CIB43_RS02370
OG0000132	E5E95_RS01530	CIB43_RS02385
OG0000133	E5E95_RS00530	CIB43_RS01415
OG0000134	E5E95_RS00535	CIB43_RS01425
OG0000135	E5E95_RS00550	CIB43_RS01435
OG0000136	E5E95_RS00555	CIB43_RS01440
OG0000137	E5E95_RS00585	CIB43_RS01470
OG0000138	E5E95_RS00620	CIB43_RS01495
OG0000139	E5E95_RS00650	CIB43_RS01525
OG0000140	E5E95_RS00655	CIB43_RS01540
OG0000141	E5E95_RS03135	CIB43_RS03850
OG0000142	E5E95_RS03130	CIB43_RS03845
OG0000143	E5E95_RS03105	CIB43_RS03835
OG0000144	E5E95_RS03095	CIB43_RS03815
OG0000145	E5E95_RS03085	CIB43_RS03805
OG0000146	E5E95_RS03075	CIB43_RS03790
OG0000147	E5E95_RS03070	CIB43_RS03785
OG0000148	E5E95_RS03055	CIB43_RS03780
OG0000149	E5E95_RS03045	CIB43_RS03760
OG0000150	E5E95_RS03030	CIB43_RS03745
OG0000151	E5E95_RS02985	CIB43_RS03700
OG0000152	E5E95_RS02980	CIB43_RS03695
OG0000153	E5E95_RS02975	CIB43_RS03690
OG0000154	E5E95_RS02965	CIB43_RS03680
OG0000155	E5E95_RS02925	CIB43_RS03645
OG0000156	E5E95_RS02915	CIB43_RS03635
OG0000157	E5E95_RS02910	CIB43_RS03625
OG0000158	E5E95_RS02905	CIB43_RS03620
OG0000159	E5E95_RS04310	CIB43_RS03385
OG0000160	E5E95_RS02665	CIB43_RS03380
OG0000161	E5E95_RS02660	CIB43_RS03375
OG0000163	E5E95_RS02645	CIB43_RS03370
OG0000164	E5E95_RS01630	CIB43_RS02495
OG0000165	E5E95_RS02055	CIB43_RS02840
OG0000166	E5E95_RS02080	CIB43_RS02860
OG0000167	E5E95_RS02095	CIB43_RS02875
OG0000168	E5E95_RS02100	CIB43_RS02880
OG0000169	E5E95_RS03255	CIB43_RS00130
OG0000171	E5E95_RS03280	CIB43_RS00155
OG0000172	E5E95_RS03285	CIB43_RS00160
OG0000173	E5E95_RS03290	CIB43_RS00165
OG0000174	E5E95_RS03295	CIB43_RS00170
OG0000175	E5E95_RS03310	CIB43_RS00190
OG0000176	E5E95_RS03360	CIB43_RS00235
OG0000177	E5E95_RS03365	CIB43_RS00240
OG0000178	E5E95_RS03370	CIB43_RS00245
OG0000179	E5E95_RS03380	CIB43_RS00255
OG0000180	E5E95_RS03385	CIB43_RS00260
OG0000181	E5E95_RS03435	CIB43_RS00310
OG0000182	E5E95_RS03445	CIB43_RS00320
OG0000183	E5E95_RS03480	CIB43_RS00355
OG0000184	E5E95_RS03525	CIB43_RS00430
OG0000185	E5E95_RS03510	CIB43_RS00380
OG0000186	E5E95_RS01540	CIB43_RS02400
OG0000187	E5E95_RS01555	CIB43_RS02410
OG0000188	E5E95_RS01565	CIB43_RS02425
OG0000189	E5E95_RS02415	CIB43_RS03200
OG0000190	E5E95_RS02410	CIB43_RS03195
OG0000191	E5E95_RS02390	CIB43_RS03180
OG0000192	E5E95_RS01235	CIB43_RS02085
OG0000193	E5E95_RS01225	CIB43_RS02075
OG0000194	E5E95_RS00690	CIB43_RS01560
OG0000195	E5E95_RS00695	CIB43_RS01565
OG0000196	E5E95_RS00715	CIB43_RS01585
OG0000197	E5E95_RS00720	CIB43_RS01590
OG0000198	E5E95_RS00735	CIB43_RS01605
OG0000199	E5E95_RS00740	CIB43_RS01615
OG0000200	E5E95_RS00755	CIB43_RS01630
OG0000201	E5E95_RS00765	CIB43_RS01635
OG0000202	E5E95_RS00820	CIB43_RS01690
OG0000203	E5E95_RS00825	CIB43_RS01695
OG0000204	E5E95_RS00830	CIB43_RS01700
OG0000205	E5E95_RS00835	CIB43_RS01705
OG0000206	E5E95_RS00855	CIB43_RS01735
OG0000207	E5E95_RS00870	CIB43_RS01740
OG0000208	E5E95_RS00875	CIB43_RS01745
OG0000209	E5E95_RS00880	CIB43_RS01750
OG0000210	E5E95_RS00925	CIB43_RS01800
OG0000211	E5E95_RS00955	CIB43_RS01805
OG0000212	E5E95_RS00965	CIB43_RS01815
OG0000213	E5E95_RS00970	CIB43_RS01820
OG0000214	E5E95_RS00975	CIB43_RS01825
OG0000215	E5E95_RS00980	CIB43_RS01830
OG0000216	E5E95_RS00985	CIB43_RS01835
OG0000217	E5E95_RS00995	CIB43_RS01845
OG0000218	E5E95_RS01000	CIB43_RS01850
OG0000219	E5E95_RS01005	CIB43_RS01855
OG0000220	E5E95_RS01010	CIB43_RS01860
OG0000221	E5E95_RS01015	CIB43_RS01865
OG0000222	E5E95_RS01020	CIB43_RS01870
OG0000223	E5E95_RS01025	CIB43_RS01875
OG0000225	E5E95_RS01045	CIB43_RS01895
OG0000226	E5E95_RS01050	CIB43_RS01900
OG0000227	E5E95_RS01055	CIB43_RS01905
OG0000228	E5E95_RS04285	CIB43_RS01910
OG0000229	E5E95_RS01065	CIB43_RS01915
OG0000230	E5E95_RS01070	CIB43_RS01920
OG0000231	E5E95_RS01080	CIB43_RS01935
OG0000232	E5E95_RS01090	CIB43_RS01940
OG0000233	E5E95_RS01110	CIB43_RS01965
OG0000234	E5E95_RS01145	CIB43_RS02000
OG0000235	E5E95_RS01155	CIB43_RS02005
OG0000236	E5E95_RS01160	CIB43_RS02010
OG0000237	E5E95_RS01165	CIB43_RS02015
OG0000238	E5E95_RS01175	CIB43_RS02025
OG0000239	E5E95_RS03145	CIB43_RS03860
OG0000240	E5E95_RS03150	CIB43_RS03870
OG0000241	E5E95_RS03160	CIB43_RS03875
OG0000242	E5E95_RS03165	CIB43_RS03880
OG0000243	E5E95_RS03170	CIB43_RS03885
OG0000244	E5E95_RS03180	CIB43_RS03900
OG0000245	E5E95_RS03190	CIB43_RS03905
OG0000246	E5E95_RS00130	CIB43_RS00845
OG0000247	E5E95_RS00140	CIB43_RS00850
OG0000248	E5E95_RS00150	CIB43_RS00875
OG0000250	E5E95_RS00170	CIB43_RS00885
OG0000251	E5E95_RS00205	CIB43_RS00925
OG0000252	E5E95_RS00215	CIB43_RS00930
OG0000253	E5E95_RS00220	CIB43_RS00940
OG0000254	E5E95_RS00230	CIB43_RS00950
OG0000255	E5E95_RS00240	CIB43_RS00955
OG0000256	E5E95_RS00245	CIB43_RS00960
OG0000257	E5E95_RS00270	CIB43_RS00985
OG0000258	E5E95_RS00280	CIB43_RS01015
OG0000259	E5E95_RS00310	CIB43_RS01030
OG0000260	E5E95_RS00320	CIB43_RS01045
OG0000262	E5E95_RS00350	CIB43_RS01075
OG0000263	E5E95_RS00360	CIB43_RS01080
OG0000264	E5E95_RS00375	CIB43_RS01100
OG0000265	E5E95_RS00385	CIB43_RS01110
OG0000266	E5E95_RS00400	CIB43_RS01120
OG0000267	E5E95_RS00415	CIB43_RS01135
OG0000268	E5E95_RS00420	CIB43_RS01305
OG0000269	E5E95_RS00435	CIB43_RS01320
OG0000270	E5E95_RS03710	CIB43_RS00575
OG0000271	E5E95_RS03705	CIB43_RS00570
OG0000272	E5E95_RS03700	CIB43_RS00565
OG0000273	E5E95_RS03695	CIB43_RS00560
OG0000274	E5E95_RS03675	CIB43_RS00545
OG0000275	E5E95_RS03670	CIB43_RS00535
OG0000276	E5E95_RS03665	CIB43_RS00530
OG0000277	E5E95_RS03655	CIB43_RS00525
OG0000278	E5E95_RS03650	CIB43_RS00515
OG0000279	E5E95_RS03640	CIB43_RS00510
OG0000280	E5E95_RS03635	CIB43_RS00500
OG0000281	E5E95_RS03630	CIB43_RS00495
OG0000283	E5E95_RS03600	CIB43_RS00475
OG0000284	E5E95_RS03595	CIB43_RS00460
OG0000285	E5E95_RS03590	CIB43_RS00455
OG0000286	E5E95_RS04305	CIB43_RS03345
OG0000287	E5E95_RS02720	CIB43_RS03440
OG0000288	E5E95_RS02730	CIB43_RS03450
OG0000289	E5E95_RS02735	CIB43_RS03455
OG0000290	E5E95_RS02845	CIB43_RS03565
OG0000291	E5E95_RS02835	CIB43_RS03560
OG0000292	E5E95_RS02830	CIB43_RS03550
OG0000293	E5E95_RS02825	CIB43_RS03545
OG0000294	E5E95_RS02815	CIB43_RS03540
OG0000295	E5E95_RS02810	CIB43_RS03530
OG0000296	E5E95_RS02770	CIB43_RS03495
OG0000297	E5E95_RS02765	CIB43_RS03485
OG0000298	E5E95_RS00165	CIB43_RS00880
OG0000299	E5E95_RS00190	CIB43_RS00915
OG0000300	E5E95_RS00370	CIB43_RS01090
OG0000301	E5E95_RS00405	CIB43_RS01125
OG0000302	E5E95_RS00410	CIB43_RS01130
OG0000303	E5E95_RS00560	CIB43_RS01455
OG0000304	E5E95_RS01095	CIB43_RS01950
OG0000305	E5E95_RS03080	CIB43_RS03795
OG0000306	E5E95_RS03005	CIB43_RS03725
OG0000307	E5E95_RS02970	CIB43_RS03685
OG0000308	E5E95_RS02875	CIB43_RS03600
OG0000309	E5E95_RS02800	CIB43_RS03520
OG0000310	E5E95_RS02725	CIB43_RS03445
OG0000311	E5E95_RS02690	CIB43_RS03405
OG0000312	E5E95_RS02675	CIB43_RS03390
OG0000313	E5E95_RS01620	CIB43_RS02485
OG0000314	E5E95_RS02075	CIB43_RS02855
OG0000315	E5E95_RS02105	CIB43_RS02885
OG0000316	E5E95_RS02115	CIB43_RS02895
OG0000317	E5E95_RS02205	CIB43_RS02985
OG0000318	E5E95_RS02120	CIB43_RS02900
OG0000319	E5E95_RS02345	CIB43_RS03125
OG0000320	E5E95_RS02570	CIB43_RS03270
OG0000321	E5E95_RS01350	CIB43_RS02200
OG0000322	E5E95_RS01395	CIB43_RS02245
OG0000323	E5E95_RS01525	CIB43_RS02375
OG0000324	E5E95_RS02385	CIB43_RS03170
OG0000325	E5E95_RS00700	CIB43_RS01570
OG0000326	E5E95_RS00795	CIB43_RS01665
OG0000327	E5E95_RS00800	CIB43_RS01670
OG0000328	E5E95_RS00885	CIB43_RS01760
OG0000329	E5E95_RS00905	CIB43_RS01775
OG0000330	E5E95_RS01120	CIB43_RS01970
OG0000331	E5E95_RS03175	CIB43_RS03890
OG0000332	E5E95_RS03320	CIB43_RS00200
OG0000333	E5E95_RS03330	CIB43_RS00210
OG0000334	E5E95_RS03440	CIB43_RS00315
OG0000335	E5E95_RS03450	CIB43_RS00340
OG0000336	E5E95_RS03620	CIB43_RS00485
OG0000337	E5E95_RS03795	CIB43_RS00655
OG0000338	E5E95_RS03835	CIB43_RS00695
OG0000339	E5E95_RS02540	CIB43_RS03235
OG0000340	E5E95_RS01330	CIB43_RS02185
OG0000341	E5E95_RS02405	CIB43_RS03190
OG0000342	E5E95_RS00730	CIB43_RS01600
OG0000343	E5E95_RS03340	CIB43_RS00215
OG0000344	E5E95_RS00575	CIB43_RS01465
OG0000345	E5E95_RS01040	CIB43_RS01890
OG0000346	E5E95_RS03625	CIB43_RS00490
OG0000347	E5E95_RS01420	CIB43_RS02270
OG0000348	E5E95_RS00805	CIB43_RS01685
OG0000349	E5E95_RS03685	CIB43_RS00550
OG0000350	E5E95_RS02960	CIB43_RS03675
OG0000351	E5E95_RS00495	CIB43_RS01385
OG0000352	E5E95_RS02050	CIB43_RS02830
OG0000353	E5E95_RS01390	CIB43_RS02240
OG0000354	E5E95_RS00635	CIB43_RS01515
OG0000355	E5E95_RS02020	CIB43_RS02805
OG0000356	E5E95_RS02110	CIB43_RS02890
OG0000357	E5E95_RS03300	CIB43_RS00175
OG0000358	E5E95_RS03305	CIB43_RS00180
OG0000359	E5E95_RS00775	CIB43_RS01650
OG0000360	E5E95_RS00275	CIB43_RS00990
OG0000361	E5E95_RS00305	CIB43_RS01020
OG0000362	E5E95_RS02745	CIB43_RS03475
OG0000363	E5E95_RS03985	CIB43_RS02310
OG0000364	E5E95_RS01995	CIB43_RS02775
OG0000369	E5E95_RS00025	CIB43_RS00725
OG0000370	E5E95_RS00020	CIB43_RS00720
OG0000378	E5E95_RS01310	CIB43_RS02160
OG0000379	E5E95_RS01385	CIB43_RS02235
OG0000380	E5E95_RS01410	CIB43_RS02260
OG0000381	E5E95_RS01450	CIB43_RS02300
OG0000385	E5E95_RS00520	CIB43_RS01405
OG0000389	E5E95_RS00615	CIB43_RS01490
OG0000394	E5E95_RS02940	CIB43_RS03660
OG0000403	E5E95_RS03345	CIB43_RS00220
OG0000404	E5E95_RS03375	CIB43_RS00250
OG0000405	E5E95_RS03390	CIB43_RS00265
OG0000409	E5E95_RS03470	CIB43_RS00345
OG0000412	E5E95_RS03515	CIB43_RS00390
OG0000417	E5E95_RS02400	CIB43_RS03185
OG0000428	E5E95_RS00915	CIB43_RS01785
OG0000429	E5E95_RS01030	CIB43_RS01885
OG0000430	E5E95_RS01075	CIB43_RS01925
OG0000434	E5E95_RS01135	CIB43_RS01985
OG0000436	E5E95_RS01180	CIB43_RS02030
OG0000437	E5E95_RS01190	CIB43_RS02065
OG0000441	E5E95_RS03195	CIB43_RS03910
OG0000451	E5E95_RS00365	CIB43_RS01085
OG0000453	E5E95_RS00425	CIB43_RS01315
OG0000457	E5E95_RS03585	CIB43_RS00450
OG0000459	E5E95_RS02740	CIB43_RS03460
OG0000463	E5E95_RS02785	CIB43_RS03515
OG0000464	E5E95_RS02780	CIB43_RS03500
OG0000466	E5E95_RS00395	CIB43_RS01115
OG0000468	E5E95_RS02085	CIB43_RS02870
OG0000471	E5E95_RS00920	CIB43_RS01790
OG0000473	E5E95_RS03715	CIB43_RS00580
OG0000474	E5E95_RS03720	CIB43_RS00585
OG0000475	E5E95_RS03725	CIB43_RS00595
OG0000482	E5E95_RS01230	CIB43_RS02080
OG0000485	E5E95_RS01185	CIB43_RS02035
OG0000486	E5E95_RS02420	CIB43_RS03205
OG0000487	E5E95_RS02125	CIB43_RS02915
OG0000488	E5E95_RS02160	CIB43_RS02940
OG0000489	E5E95_RS00050	CIB43_RS00750
OG0000491	E5E95_RS01365	CIB43_RS02220
OG0000492	E5E95_RS01440	CIB43_RS02290
OG0000495	E5E95_RS03035	CIB43_RS03750
OG0000502	E5E95_RS01220	CIB43_RS02070
OG0000504	E5E95_RS00895	CIB43_RS01770
OG0000506	E5E95_RS00960	CIB43_RS01810
OG0000508	E5E95_RS00250	CIB43_RS00980
OG0000517	E5E95_RS00065	CIB43_RS00765
OG0000519	E5E95_RS00785	CIB43_RS01660
OG0000520	E5E95_RS00910	CIB43_RS01780
OG0000523	E5E95_RS03580	CIB43_RS00445
OG0000526	E5E95_RS04020	CIB43_RS02720
OG0000527	E5E95_RS01880	CIB43_RS02640
OG0000529	E5E95_RS02355	CIB43_RS03135
OG0000531	E5E95_RS01415	CIB43_RS02265
OG0000537	E5E95_RS00725	CIB43_RS01595
OG0000538	E5E95_RS01140	CIB43_RS01990
OG0000543	E5E95_RS02460	CIB43_RS01215
OG0000544	E5E95_RS01270	CIB43_RS02125
OG0000545	E5E95_RS01945	CIB43_RS02715
OG0000546	E5E95_RS02990	CIB43_RS03705
OG0000552	E5E95_RS03350	CIB43_RS00225
OG0000553	E5E95_RS02890	CIB43_RS03610
OG0000554	E5E95_RS02600	CIB43_RS03295
OG0000556	E5E95_RS02515	CIB43_RS01290
OG0000557	E5E95_RS01280	CIB43_RS02130
OG0000558	E5E95_RS01250	CIB43_RS02100
OG0000559	E5E95_RS01810	CIB43_RS02575
OG0000560	E5E95_RS01930	CIB43_RS02680
OG0000561	E5E95_RS01125	CIB43_RS01980
OG0000562	E5E95_RS01935	CIB43_RS02685
OG0000563	E5E95_RS01920	CIB43_RS02670
OG0000564	E5E95_RS03980	CIB43_RS02155
OG0000565	E5E95_RS01985	CIB43_RS02760
OG0000566	E5E95_RS01975	CIB43_RS02740
OG0000568	E5E95_RS00685	CIB43_RS01555
OG0000569	E5E95_RS01255	CIB43_RS02105
OG0000570	E5E95_RS01260	CIB43_RS02110
OG0000571	E5E95_RS01265	CIB43_RS02115
OG0000572	E5E95_RS01285	CIB43_RS02135
OG0000573	E5E95_RS01805	CIB43_RS02570
OG0000574	E5E95_RS01325	CIB43_RS02175
OG0000575	E5E95_RS01240	CIB43_RS02090
OG0000576	E5E95_RS01765	CIB43_RS02530
OG0000577	E5E95_RS02860	CIB43_RS03580
OG0000579	E5E95_RS01900	CIB43_RS02660
OG0000580	E5E95_RS04160	CIB43_RS03710
OG0000581	E5E95_RS01885	CIB43_RS02645
OG0000584	E5E95_RS02485, E5E95_RS01705	CIB43_RS01255
OG0000585	E5E95_RS02325	CIB43_RS03105
OG0000588	E5E95_RS01755	CIB43_RS02525
OG0000589	E5E95_RS02260	CIB43_RS03055
OG0000590	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475	CIB43_RS01190
OG0000592	E5E95_RS02850	CIB43_RS03570
OG0000594	E5E95_RS01245	CIB43_RS02095
OG0000595	E5E95_RS03205	CIB43_RS03920
OG0000597	E5E95_RS03200	CIB43_RS03915
OG0000600	E5E95_RS02490	CIB43_RS01175, CIB43_RS00040
OG0000601	E5E95_RS01925	CIB43_RS02675
OG0000603	E5E95_RS02495	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170
OG0000606	E5E95_RS01890	CIB43_RS02655
OG0000608	E5E95_RS01940	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	E5E95_RS03860	CIB43_RS02730
OG0000613	E5E95_RS04035	CIB43_RS02785
OG0000614	E5E95_RS02285	CIB43_RS03070
OG0000620	E5E95_RS04025	CIB43_RS04010
OG0000674	E5E95_RS02520	CIB43_RS03970
