Orthogroup	MHP_ES2_genes	MHP_UFV02_genes
OG0000020	E5E95_RS03770	FEF31_RS03220
OG0000022	E5E95_RS01770	FEF31_RS01320
OG0000022	E5E95_RS01825	FEF31_RS04450
OG0000024	E5E95_RS02945	FEF31_RS02485
OG0000024	E5E95_RS01290	FEF31_RS00930
OG0000025	E5E95_RS01775	FEF31_RS04445
OG0000025	E5E95_RS01820	FEF31_RS01370
OG0000026	E5E95_RS01380	FEF31_RS01025
OG0000026	E5E95_RS01800	FEF31_RS01350
OG0000027	E5E95_RS03560	FEF31_RS03015
OG0000027	E5E95_RS03575	FEF31_RS04605
OG0000028	E5E95_RS02625	FEF31_RS02145, FEF31_RS04525
OG0000029	E5E95_RS01100	FEF31_RS00735
OG0000029	E5E95_RS00610	FEF31_RS00270
OG0000030	E5E95_RS03550	FEF31_RS04590
OG0000030	E5E95_RS03570	FEF31_RS04600
OG0000032	E5E95_RS03565	FEF31_RS03020
OG0000034	E5E95_RS04045	FEF31_RS01895
OG0000035	E5E95_RS03405	FEF31_RS03765
OG0000036	E5E95_RS00120	FEF31_RS03400
OG0000038	E5E95_RS01865	FEF31_RS01510
OG0000039	E5E95_RS01650, E5E95_RS01645	FEF31_RS01275
OG0000040	E5E95_RS03495	FEF31_RS03890
OG0000041	E5E95_RS00670	FEF31_RS00330
OG0000042	E5E95_RS03140	FEF31_RS02675
OG0000043	E5E95_RS02030	FEF31_RS01660, FEF31_RS01455
OG0000044	E5E95_RS04290	FEF31_RS04775
OG0000045	E5E95_RS01655	FEF31_RS01280, FEF31_RS01285
OG0000046	E5E95_RS03505	FEF31_RS02960, FEF31_RS02245
OG0000048	E5E95_RS02215	FEF31_RS01845
OG0000049	E5E95_RS03260	FEF31_RS03620
OG0000050	E5E95_RS02655	FEF31_RS02180
OG0000051	E5E95_RS02855	FEF31_RS02395
OG0000052	E5E95_RS00075	FEF31_RS03360
OG0000053	E5E95_RS01465	FEF31_RS04425
OG0000054	E5E95_RS02680	FEF31_RS02205
OG0000055	E5E95_RS00125	FEF31_RS03405
OG0000056	E5E95_RS03750	FEF31_RS03205
OG0000057	E5E95_RS03125	FEF31_RS02660
OG0000058	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530	FEF31_RS01470
OG0000059	E5E95_RS02510	FEF31_RS01460
OG0000060	E5E95_RS01215	FEF31_RS00850
OG0000061	E5E95_RS01980	FEF31_RS01245
OG0000062	E5E95_RS03805	FEF31_RS03250
OG0000063	E5E95_RS03800	FEF31_RS04645
OG0000064	E5E95_RS03790	FEF31_RS03235
OG0000065	E5E95_RS02365	FEF31_RS01990
OG0000066	E5E95_RS01370	FEF31_RS01015
OG0000067	E5E95_RS00525	FEF31_RS00185
OG0000068	E5E95_RS00645	FEF31_RS00305
OG0000069	E5E95_RS03015	FEF31_RS02555
OG0000070	E5E95_RS02685	FEF31_RS02210
OG0000071	E5E95_RS03485	FEF31_RS03835
OG0000072	E5E95_RS03490	FEF31_RS04700
OG0000073	E5E95_RS00705	FEF31_RS00360
OG0000074	E5E95_RS00900	FEF31_RS04395
OG0000076	E5E95_RS00355	FEF31_RS00020
OG0000077	E5E95_RS00445	FEF31_RS00105
OG0000079	E5E95_RS02760	FEF31_RS02300
OG0000080	E5E95_RS03935	FEF31_RS02345
OG0000081	E5E95_RS00335	FEF31_RS03610
OG0000082	E5E95_RS02605	FEF31_RS02130
OG0000083	E5E95_RS02140	FEF31_RS01765
OG0000084	E5E95_RS02165	FEF31_RS01795
OG0000085	E5E95_RS02170	FEF31_RS01800
OG0000086	E5E95_RS02180	FEF31_RS01810
OG0000087	E5E95_RS02195	FEF31_RS01825
OG0000088	E5E95_RS02200	FEF31_RS01830
OG0000089	E5E95_RS02210	FEF31_RS01840
OG0000090	E5E95_RS00070	FEF31_RS03355
OG0000091	E5E95_RS00055	FEF31_RS03340
OG0000092	E5E95_RS00040	FEF31_RS03325
OG0000093	E5E95_RS00035	FEF31_RS03320
OG0000094	E5E95_RS00030	FEF31_RS03315
OG0000095	E5E95_RS00005	FEF31_RS03290
OG0000096	E5E95_RS03840	FEF31_RS03285
OG0000097	E5E95_RS03820	FEF31_RS03265
OG0000098	E5E95_RS03810	FEF31_RS03255
OG0000099	E5E95_RS03760	FEF31_RS04640
OG0000100	E5E95_RS03740	FEF31_RS03195
OG0000101	E5E95_RS03735	FEF31_RS03190
OG0000102	E5E95_RS01815	FEF31_RS01365
OG0000103	E5E95_RS02330	FEF31_RS01955
OG0000104	E5E95_RS02335	FEF31_RS01960
OG0000105	E5E95_RS02350	FEF31_RS01975
OG0000106	E5E95_RS02360	FEF31_RS01985
OG0000107	E5E95_RS02370	FEF31_RS01995
OG0000108	E5E95_RS02375	FEF31_RS02000
OG0000109	E5E95_RS02380	FEF31_RS02005
OG0000110	E5E95_RS02595	FEF31_RS02120
OG0000111	E5E95_RS02590	FEF31_RS02115
OG0000112	E5E95_RS02580	FEF31_RS02105
OG0000113	E5E95_RS02560	FEF31_RS02085
OG0000114	E5E95_RS04300	FEF31_RS02075
OG0000115	E5E95_RS02535	FEF31_RS02065
OG0000116	E5E95_RS01315	FEF31_RS00955
OG0000117	E5E95_RS01320	FEF31_RS00960
OG0000118	E5E95_RS01355	FEF31_RS00995
OG0000119	E5E95_RS01360	FEF31_RS01000
OG0000120	E5E95_RS01375	FEF31_RS01020
OG0000121	E5E95_RS01400	FEF31_RS01045
OG0000122	E5E95_RS01405	FEF31_RS01050
OG0000123	E5E95_RS01425	FEF31_RS01070
OG0000124	E5E95_RS01430	FEF31_RS01075
OG0000125	E5E95_RS01435	FEF31_RS01080
OG0000126	E5E95_RS01445	FEF31_RS01090
OG0000127	E5E95_RS01455	FEF31_RS01100
OG0000128	E5E95_RS01470	FEF31_RS01115
OG0000129	E5E95_RS01475	FEF31_RS01120
OG0000130	E5E95_RS01485	FEF31_RS01130
OG0000131	E5E95_RS01515	FEF31_RS01160
OG0000132	E5E95_RS01530	FEF31_RS04430
OG0000133	E5E95_RS00530	FEF31_RS00190
OG0000134	E5E95_RS00535	FEF31_RS00195
OG0000135	E5E95_RS00550	FEF31_RS00210
OG0000136	E5E95_RS00555	FEF31_RS00215
OG0000137	E5E95_RS00585	FEF31_RS00245
OG0000138	E5E95_RS00620	FEF31_RS00280
OG0000139	E5E95_RS00650	FEF31_RS00310
OG0000140	E5E95_RS00655	FEF31_RS00315
OG0000141	E5E95_RS03135	FEF31_RS02670
OG0000142	E5E95_RS03130	FEF31_RS04555
OG0000143	E5E95_RS03105	FEF31_RS02645
OG0000144	E5E95_RS03095	FEF31_RS02635
OG0000145	E5E95_RS03085	FEF31_RS02625
OG0000146	E5E95_RS03075	FEF31_RS02615
OG0000147	E5E95_RS03070	FEF31_RS02610
OG0000148	E5E95_RS03055	FEF31_RS02595
OG0000149	E5E95_RS03045	FEF31_RS02585
OG0000150	E5E95_RS03030	FEF31_RS02570
OG0000151	E5E95_RS02985	FEF31_RS02525
OG0000152	E5E95_RS02980	FEF31_RS02520
OG0000153	E5E95_RS02975	FEF31_RS02515
OG0000154	E5E95_RS02965	FEF31_RS02505
OG0000155	E5E95_RS02925	FEF31_RS02465
OG0000156	E5E95_RS02915	FEF31_RS02455
OG0000157	E5E95_RS02910	FEF31_RS04545
OG0000158	E5E95_RS02905	FEF31_RS04540
OG0000159	E5E95_RS04310	FEF31_RS02195
OG0000160	E5E95_RS02665	FEF31_RS02190
OG0000161	E5E95_RS02660	FEF31_RS02185
OG0000162	E5E95_RS02650	FEF31_RS02175
OG0000163	E5E95_RS02645	FEF31_RS02170
OG0000164	E5E95_RS01630	FEF31_RS01270
OG0000165	E5E95_RS02055	FEF31_RS01685
OG0000166	E5E95_RS02080	FEF31_RS01705
OG0000167	E5E95_RS02095	FEF31_RS01720
OG0000168	E5E95_RS02100	FEF31_RS01725
OG0000169	E5E95_RS03255	FEF31_RS03615
OG0000170	E5E95_RS03270	FEF31_RS04785, FEF31_RS04795
OG0000171	E5E95_RS03280	FEF31_RS03640
OG0000172	E5E95_RS03285	FEF31_RS03645
OG0000173	E5E95_RS03290	FEF31_RS03650
OG0000174	E5E95_RS03295	FEF31_RS03655
OG0000175	E5E95_RS03310	FEF31_RS03670
OG0000176	E5E95_RS03360	FEF31_RS03715
OG0000177	E5E95_RS03365	FEF31_RS03720
OG0000178	E5E95_RS03370	FEF31_RS03725
OG0000179	E5E95_RS03380	FEF31_RS03735
OG0000180	E5E95_RS03385	FEF31_RS03740
OG0000181	E5E95_RS03435	FEF31_RS04690
OG0000182	E5E95_RS03445	FEF31_RS03795
OG0000183	E5E95_RS03480	FEF31_RS03830
OG0000184	E5E95_RS03525	FEF31_RS02980
OG0000185	E5E95_RS03510	FEF31_RS02965
OG0000186	E5E95_RS01540	FEF31_RS04435
OG0000187	E5E95_RS01555	FEF31_RS01200
OG0000188	E5E95_RS01565	FEF31_RS01210
OG0000189	E5E95_RS02415	FEF31_RS04520
OG0000190	E5E95_RS02410	FEF31_RS02035
OG0000191	E5E95_RS02390	FEF31_RS02015
OG0000192	E5E95_RS01235	FEF31_RS00875
OG0000193	E5E95_RS01225	FEF31_RS00860
OG0000194	E5E95_RS00690	FEF31_RS00345
OG0000195	E5E95_RS00695	FEF31_RS00350
OG0000196	E5E95_RS00715	FEF31_RS00370
OG0000197	E5E95_RS00720	FEF31_RS00375
OG0000198	E5E95_RS00735	FEF31_RS00390
OG0000199	E5E95_RS00740	FEF31_RS00395
OG0000200	E5E95_RS00755	FEF31_RS00410
OG0000201	E5E95_RS00765	FEF31_RS00420
OG0000202	E5E95_RS00820	FEF31_RS00475
OG0000203	E5E95_RS00825	FEF31_RS00480
OG0000204	E5E95_RS00830	FEF31_RS00485
OG0000205	E5E95_RS00835	FEF31_RS00490
OG0000206	E5E95_RS00855	FEF31_RS00510
OG0000207	E5E95_RS00870	FEF31_RS00525
OG0000208	E5E95_RS00875	FEF31_RS00530
OG0000209	E5E95_RS00880	FEF31_RS00535
OG0000210	E5E95_RS00925	FEF31_RS00580
OG0000211	E5E95_RS00955	FEF31_RS00590
OG0000212	E5E95_RS00965	FEF31_RS00600
OG0000213	E5E95_RS00970	FEF31_RS00605
OG0000214	E5E95_RS00975	FEF31_RS00610
OG0000215	E5E95_RS00980	FEF31_RS00615
OG0000216	E5E95_RS00985	FEF31_RS00620
OG0000217	E5E95_RS00995	FEF31_RS00625
OG0000218	E5E95_RS01000	FEF31_RS00635
OG0000219	E5E95_RS01005	FEF31_RS00640
OG0000220	E5E95_RS01010	FEF31_RS00645
OG0000221	E5E95_RS01015	FEF31_RS00650
OG0000222	E5E95_RS01020	FEF31_RS00655
OG0000223	E5E95_RS01025	FEF31_RS00660
OG0000224	E5E95_RS01035	FEF31_RS00670
OG0000225	E5E95_RS01045	FEF31_RS00680
OG0000226	E5E95_RS01050	FEF31_RS00685
OG0000227	E5E95_RS01055	FEF31_RS00690
OG0000228	E5E95_RS04285	FEF31_RS04770
OG0000229	E5E95_RS01065	FEF31_RS00700
OG0000230	E5E95_RS01070	FEF31_RS00705
OG0000231	E5E95_RS01080	FEF31_RS00715
OG0000232	E5E95_RS01090	FEF31_RS00725
OG0000233	E5E95_RS01110	FEF31_RS00750
OG0000234	E5E95_RS01145	FEF31_RS00785
OG0000235	E5E95_RS01155	FEF31_RS00795
OG0000236	E5E95_RS01160	FEF31_RS00800
OG0000237	E5E95_RS01165	FEF31_RS00805
OG0000238	E5E95_RS01175	FEF31_RS00810
OG0000239	E5E95_RS03145	FEF31_RS02680
OG0000240	E5E95_RS03150	FEF31_RS02685
OG0000241	E5E95_RS03160	FEF31_RS02695
OG0000242	E5E95_RS03165	FEF31_RS02700
OG0000243	E5E95_RS03170	FEF31_RS02705
OG0000244	E5E95_RS03180	FEF31_RS02715
OG0000245	E5E95_RS03190	FEF31_RS02720
OG0000246	E5E95_RS00130	FEF31_RS03410
OG0000247	E5E95_RS00140	FEF31_RS03420
OG0000248	E5E95_RS00150	FEF31_RS03430
OG0000249	E5E95_RS00155	FEF31_RS03435
OG0000250	E5E95_RS00170	FEF31_RS03450
OG0000251	E5E95_RS00205	FEF31_RS03480
OG0000252	E5E95_RS00215	FEF31_RS03490
OG0000253	E5E95_RS00220	FEF31_RS03495
OG0000254	E5E95_RS00230	FEF31_RS03505
OG0000255	E5E95_RS00240	FEF31_RS03510
OG0000256	E5E95_RS00245	FEF31_RS03515
OG0000257	E5E95_RS00270	FEF31_RS03540
OG0000258	E5E95_RS00280	FEF31_RS03550
OG0000259	E5E95_RS00310	FEF31_RS03580
OG0000260	E5E95_RS00320	FEF31_RS03590
OG0000261	E5E95_RS00330	FEF31_RS04680
OG0000262	E5E95_RS00350	FEF31_RS00010
OG0000263	E5E95_RS00360	FEF31_RS00025
OG0000264	E5E95_RS00375	FEF31_RS00040
OG0000265	E5E95_RS00385	FEF31_RS00050
OG0000266	E5E95_RS00400	FEF31_RS00065
OG0000267	E5E95_RS00415	FEF31_RS00080
OG0000268	E5E95_RS00420	FEF31_RS00085
OG0000269	E5E95_RS00435	FEF31_RS00100
OG0000270	E5E95_RS03710	FEF31_RS04635
OG0000271	E5E95_RS03705	FEF31_RS03160
OG0000272	E5E95_RS03700	FEF31_RS03155
OG0000273	E5E95_RS03695	FEF31_RS03150
OG0000274	E5E95_RS03675	FEF31_RS03130
OG0000275	E5E95_RS03670	FEF31_RS04625
OG0000276	E5E95_RS03665	FEF31_RS03120
OG0000277	E5E95_RS03655	FEF31_RS03110
OG0000278	E5E95_RS03650	FEF31_RS03105
OG0000279	E5E95_RS03640	FEF31_RS03095
OG0000280	E5E95_RS03635	FEF31_RS03090
OG0000281	E5E95_RS03630	FEF31_RS03085
OG0000282	E5E95_RS03605	FEF31_RS04615
OG0000283	E5E95_RS03600	FEF31_RS03055
OG0000284	E5E95_RS03595	FEF31_RS03050
OG0000285	E5E95_RS03590	FEF31_RS04610
OG0000286	E5E95_RS04305	FEF31_RS02155
OG0000287	E5E95_RS02720	FEF31_RS02260
OG0000288	E5E95_RS02730	FEF31_RS02270
OG0000289	E5E95_RS02735	FEF31_RS02275
OG0000290	E5E95_RS02845	FEF31_RS02385
OG0000291	E5E95_RS02835	FEF31_RS02375
OG0000292	E5E95_RS02830	FEF31_RS02370
OG0000293	E5E95_RS02825	FEF31_RS02365
OG0000294	E5E95_RS02815	FEF31_RS02355
OG0000295	E5E95_RS02810	FEF31_RS02350
OG0000296	E5E95_RS02770	FEF31_RS02310
OG0000297	E5E95_RS02765	FEF31_RS02305
OG0000298	E5E95_RS00165	FEF31_RS03445
OG0000299	E5E95_RS00190	FEF31_RS03465
OG0000300	E5E95_RS00370	FEF31_RS00035
OG0000301	E5E95_RS00405	FEF31_RS00070
OG0000302	E5E95_RS00410	FEF31_RS00075
OG0000303	E5E95_RS00560	FEF31_RS00220
OG0000304	E5E95_RS01095	FEF31_RS00730
OG0000305	E5E95_RS03080	FEF31_RS02620
OG0000306	E5E95_RS03005	FEF31_RS02545
OG0000307	E5E95_RS02970	FEF31_RS02510
OG0000308	E5E95_RS02875	FEF31_RS02405
OG0000309	E5E95_RS02800	FEF31_RS02340
OG0000310	E5E95_RS02725	FEF31_RS02265
OG0000311	E5E95_RS02690	FEF31_RS02215
OG0000312	E5E95_RS02675	FEF31_RS02200
OG0000313	E5E95_RS01620	FEF31_RS01260
OG0000314	E5E95_RS02075	FEF31_RS01700
OG0000315	E5E95_RS02105	FEF31_RS01730
OG0000316	E5E95_RS02115	FEF31_RS01740
OG0000317	E5E95_RS02205	FEF31_RS01835
OG0000318	E5E95_RS02120	FEF31_RS04480
OG0000319	E5E95_RS02345	FEF31_RS01970
OG0000320	E5E95_RS02570	FEF31_RS02095
OG0000321	E5E95_RS01350	FEF31_RS00990
OG0000322	E5E95_RS01395	FEF31_RS01040
OG0000323	E5E95_RS01525	FEF31_RS01170
OG0000324	E5E95_RS02385	FEF31_RS02010
OG0000325	E5E95_RS00700	FEF31_RS00355
OG0000326	E5E95_RS00795	FEF31_RS00450
OG0000327	E5E95_RS00800	FEF31_RS00455
OG0000328	E5E95_RS00885	FEF31_RS00540
OG0000329	E5E95_RS00905	FEF31_RS00560
OG0000330	E5E95_RS01120	FEF31_RS00760
OG0000331	E5E95_RS03175	FEF31_RS02710
OG0000332	E5E95_RS03320	FEF31_RS03680
OG0000333	E5E95_RS03330	FEF31_RS03690
OG0000334	E5E95_RS03440	FEF31_RS03790
OG0000335	E5E95_RS03450	FEF31_RS03800
OG0000336	E5E95_RS03620	FEF31_RS04620
OG0000337	E5E95_RS03795	FEF31_RS03240
OG0000338	E5E95_RS03835	FEF31_RS03280
OG0000339	E5E95_RS02540	FEF31_RS02070
OG0000340	E5E95_RS01330	FEF31_RS00970
OG0000341	E5E95_RS02405	FEF31_RS02030
OG0000342	E5E95_RS00730	FEF31_RS00385
OG0000343	E5E95_RS03340	FEF31_RS03700
OG0000344	E5E95_RS00575	FEF31_RS00235
OG0000345	E5E95_RS01040	FEF31_RS00675
OG0000346	E5E95_RS03625	FEF31_RS03080
OG0000347	E5E95_RS01420	FEF31_RS01065
OG0000348	E5E95_RS00805	FEF31_RS00460
OG0000349	E5E95_RS03685	FEF31_RS04630
OG0000350	E5E95_RS02960	FEF31_RS02500
OG0000351	E5E95_RS00495	FEF31_RS00155
OG0000352	E5E95_RS02050	FEF31_RS01680
OG0000353	E5E95_RS01390	FEF31_RS01035
OG0000354	E5E95_RS00635	FEF31_RS00295
OG0000355	E5E95_RS02020	FEF31_RS04470
OG0000356	E5E95_RS02110	FEF31_RS04475
OG0000357	E5E95_RS03300	FEF31_RS04685
OG0000358	E5E95_RS03305	FEF31_RS03665
OG0000359	E5E95_RS00775	FEF31_RS04380
OG0000360	E5E95_RS00275	FEF31_RS03545
OG0000361	E5E95_RS00305	FEF31_RS03575
OG0000362	E5E95_RS02745	FEF31_RS02285
OG0000363	E5E95_RS03985	FEF31_RS01105
OG0000364	E5E95_RS01995	FEF31_RS01635
OG0000365	E5E95_RS02150	FEF31_RS01785
OG0000366	E5E95_RS02175	FEF31_RS01805
OG0000367	E5E95_RS02185	FEF31_RS01815
OG0000368	E5E95_RS00060	FEF31_RS03345
OG0000369	E5E95_RS00025	FEF31_RS04650
OG0000370	E5E95_RS00020	FEF31_RS03305
OG0000371	E5E95_RS00015	FEF31_RS03300
OG0000372	E5E95_RS00010	FEF31_RS03295
OG0000373	E5E95_RS03825	FEF31_RS03270
OG0000374	E5E95_RS03815	FEF31_RS03260
OG0000375	E5E95_RS02340	FEF31_RS01965
OG0000376	E5E95_RS02585	FEF31_RS02110
OG0000377	E5E95_RS02575	FEF31_RS02100
OG0000378	E5E95_RS01310	FEF31_RS00950
OG0000379	E5E95_RS01385	FEF31_RS01030
OG0000380	E5E95_RS01410	FEF31_RS01055
OG0000381	E5E95_RS01450	FEF31_RS01095
OG0000382	E5E95_RS01480	FEF31_RS01125
OG0000383	E5E95_RS01520	FEF31_RS01165
OG0000384	E5E95_RS00515	FEF31_RS00175
OG0000385	E5E95_RS00520	FEF31_RS00180
OG0000386	E5E95_RS00540	FEF31_RS00200
OG0000387	E5E95_RS00565	FEF31_RS00225
OG0000388	E5E95_RS00570	FEF31_RS04370
OG0000389	E5E95_RS00615	FEF31_RS00275
OG0000390	E5E95_RS03100	FEF31_RS02640
OG0000391	E5E95_RS03090	FEF31_RS02630
OG0000392	E5E95_RS03065	FEF31_RS02605
OG0000393	E5E95_RS03010	FEF31_RS04550
OG0000394	E5E95_RS02940	FEF31_RS02475
OG0000395	E5E95_RS02930	FEF31_RS02470
OG0000397	E5E95_RS02035	FEF31_RS01665
OG0000398	E5E95_RS02040	FEF31_RS01670
OG0000399	E5E95_RS02090	FEF31_RS01715
OG0000400	E5E95_RS03265	FEF31_RS03625
OG0000401	E5E95_RS03325	FEF31_RS03685
OG0000402	E5E95_RS03335	FEF31_RS03695
OG0000403	E5E95_RS03345	FEF31_RS03705
OG0000404	E5E95_RS03375	FEF31_RS03730
OG0000405	E5E95_RS03390	FEF31_RS04800
OG0000406	E5E95_RS03455	FEF31_RS03805
OG0000407	E5E95_RS03460	FEF31_RS04695
OG0000408	E5E95_RS03465	FEF31_RS03815
OG0000409	E5E95_RS03470	FEF31_RS03820
OG0000410	E5E95_RS03530	FEF31_RS02985
OG0000411	E5E95_RS03520	FEF31_RS02975
OG0000412	E5E95_RS03515	FEF31_RS02970
OG0000413	E5E95_RS01535	FEF31_RS01180
OG0000414	E5E95_RS01545	FEF31_RS01190
OG0000415	E5E95_RS01550	FEF31_RS01195
OG0000416	E5E95_RS01560	FEF31_RS01205
OG0000417	E5E95_RS02400	FEF31_RS02025
OG0000418	E5E95_RS02395	FEF31_RS02020
OG0000419	E5E95_RS00710	FEF31_RS00365
OG0000420	E5E95_RS00745	FEF31_RS00400
OG0000421	E5E95_RS00780	FEF31_RS00435
OG0000422	E5E95_RS00790	FEF31_RS00445
OG0000423	E5E95_RS00845	FEF31_RS00500
OG0000424	E5E95_RS00850	FEF31_RS00505
OG0000425	E5E95_RS00860	FEF31_RS00515
OG0000426	E5E95_RS00865	FEF31_RS04385
OG0000427	E5E95_RS00890	FEF31_RS04390
OG0000428	E5E95_RS00915	FEF31_RS00570
OG0000429	E5E95_RS01030	FEF31_RS00665
OG0000430	E5E95_RS01075	FEF31_RS00710
OG0000431	E5E95_RS01085	FEF31_RS00720
OG0000432	E5E95_RS01115	FEF31_RS00755
OG0000433	E5E95_RS01130	FEF31_RS00770
OG0000434	E5E95_RS01135	FEF31_RS00775
OG0000435	E5E95_RS01150	FEF31_RS00790
OG0000436	E5E95_RS01180	FEF31_RS00815
OG0000437	E5E95_RS01190	FEF31_RS00825
OG0000438	E5E95_RS01195	FEF31_RS00830
OG0000439	E5E95_RS01200	FEF31_RS04400
OG0000440	E5E95_RS03155	FEF31_RS02690
OG0000441	E5E95_RS03195	FEF31_RS02725
OG0000442	E5E95_RS00135	FEF31_RS03415
OG0000443	E5E95_RS00185	FEF31_RS03460
OG0000444	E5E95_RS00200	FEF31_RS03475
OG0000445	E5E95_RS00225	FEF31_RS03500
OG0000446	E5E95_RS00255	FEF31_RS03525
OG0000447	E5E95_RS00260	FEF31_RS03530
OG0000448	E5E95_RS00290	FEF31_RS03560
OG0000449	E5E95_RS00315	FEF31_RS03585
OG0000450	E5E95_RS00325	FEF31_RS03595
OG0000451	E5E95_RS00365	FEF31_RS00030
OG0000452	E5E95_RS00390	FEF31_RS00055
OG0000453	E5E95_RS00425	FEF31_RS00090
OG0000455	E5E95_RS03730	FEF31_RS03185
OG0000456	E5E95_RS03610	FEF31_RS03065
OG0000457	E5E95_RS03585	FEF31_RS03040
OG0000458	E5E95_RS02715	FEF31_RS02255
OG0000459	E5E95_RS02740	FEF31_RS02280
OG0000460	E5E95_RS02750	FEF31_RS02290
OG0000461	E5E95_RS02795	FEF31_RS02335
OG0000462	E5E95_RS02790	FEF31_RS02330
OG0000463	E5E95_RS02785	FEF31_RS02325
OG0000464	E5E95_RS02780	FEF31_RS02320
OG0000465	E5E95_RS02775	FEF31_RS02315
OG0000466	E5E95_RS00395	FEF31_RS00060
OG0000467	E5E95_RS02880	FEF31_RS04530
OG0000468	E5E95_RS02085	FEF31_RS01710
OG0000469	E5E95_RS02145	FEF31_RS01770
OG0000470	E5E95_RS03895	FEF31_RS00495
OG0000471	E5E95_RS00920	FEF31_RS00575
OG0000472	E5E95_RS03540	FEF31_RS02995
OG0000473	E5E95_RS03715	FEF31_RS03170
OG0000474	E5E95_RS03720	FEF31_RS03175
OG0000475	E5E95_RS03725	FEF31_RS03180
OG0000476	E5E95_RS01570	FEF31_RS01215
OG0000477	E5E95_RS02820	FEF31_RS02360
OG0000478	E5E95_RS03660	FEF31_RS03115
OG0000479	E5E95_RS01345	FEF31_RS00985
OG0000480	E5E95_RS03865	FEF31_RS01775
OG0000481	E5E95_RS00815	FEF31_RS00470
OG0000482	E5E95_RS01230	FEF31_RS00865
OG0000483	E5E95_RS02190	FEF31_RS01820
OG0000484	E5E95_RS00195	FEF31_RS04675
OG0000485	E5E95_RS01185	FEF31_RS00820
OG0000486	E5E95_RS02420	FEF31_RS02045
OG0000487	E5E95_RS02125	FEF31_RS04485
OG0000488	E5E95_RS02160	FEF31_RS01790
OG0000489	E5E95_RS00050	FEF31_RS03335
OG0000490	E5E95_RS03830	FEF31_RS03275
OG0000491	E5E95_RS01365	FEF31_RS01005
OG0000492	E5E95_RS01440	FEF31_RS01085
OG0000493	E5E95_RS00580	FEF31_RS00240
OG0000494	E5E95_RS00640	FEF31_RS00300
OG0000495	E5E95_RS03035	FEF31_RS02575
OG0000496	E5E95_RS03025	FEF31_RS02565
OG0000497	E5E95_RS03020	FEF31_RS02560
OG0000500	E5E95_RS02045	FEF31_RS01675
OG0000502	E5E95_RS01220	FEF31_RS00855
OG0000503	E5E95_RS00760	FEF31_RS00415
OG0000504	E5E95_RS00895	FEF31_RS00550
OG0000506	E5E95_RS00960	FEF31_RS00595
