Orthogroup	MHP_MHP679_genes	MHP_F72C_genes
OG0000077	DR086_RS00315	EHI52_RS00460
OG0000078	DR086_RS01625	EHI52_RS01735
OG0000079	DR086_RS00950	EHI52_RS02555
OG0000080	DR086_RS04145	EHI52_RS03675
OG0000081	DR086_RS00205	EHI52_RS00350
OG0000082	DR086_RS03110	EHI52_RS02405
OG0000083	DR086_RS00520	EHI52_RS01915
OG0000084	DR086_RS00545	EHI52_RS01890
OG0000085	DR086_RS00550	EHI52_RS01885
OG0000086	DR086_RS00560	EHI52_RS01875
OG0000087	DR086_RS00575	EHI52_RS01860
OG0000088	DR086_RS00580	EHI52_RS01855
OG0000089	DR086_RS00590	EHI52_RS01845
OG0000090	DR086_RS01155	EHI52_RS00070
OG0000091	DR086_RS01170	EHI52_RS00055
OG0000092	DR086_RS01185	EHI52_RS00040
OG0000093	DR086_RS01190	EHI52_RS00035
OG0000094	DR086_RS01195	EHI52_RS00030
OG0000095	DR086_RS01220	EHI52_RS00005
OG0000096	DR086_RS01225	EHI52_RS03620
OG0000097	DR086_RS01245	EHI52_RS03600
OG0000098	DR086_RS01255	EHI52_RS03590
OG0000099	DR086_RS04950	EHI52_RS03540
OG0000100	DR086_RS02445	EHI52_RS03520
OG0000101	DR086_RS02440	EHI52_RS03515
OG0000102	DR086_RS01600	EHI52_RS01760
OG0000103	DR086_RS02115	EHI52_RS02225
OG0000104	DR086_RS02110	EHI52_RS02230
OG0000105	DR086_RS02095	EHI52_RS02245
OG0000106	DR086_RS02085	EHI52_RS02255
OG0000107	DR086_RS02075	EHI52_RS02265
OG0000108	DR086_RS02070	EHI52_RS02270
OG0000109	DR086_RS02065	EHI52_RS02275
OG0000110	DR086_RS03120	EHI52_RS02395
OG0000111	DR086_RS03125	EHI52_RS02390
OG0000112	DR086_RS03135	EHI52_RS02380
OG0000113	DR086_RS05050	EHI52_RS02360
OG0000114	DR086_RS03455	EHI52_RS02350
OG0000115	DR086_RS03475	EHI52_RS02335
OG0000116	DR086_RS03410	EHI52_RS01360
OG0000117	DR086_RS03405	EHI52_RS01365
OG0000118	DR086_RS01995	EHI52_RS01400
OG0000119	DR086_RS01990	EHI52_RS01405
OG0000120	DR086_RS01975	EHI52_RS01420
OG0000121	DR086_RS01950	EHI52_RS01445
OG0000122	DR086_RS01945	EHI52_RS01450
OG0000123	DR086_RS01925	EHI52_RS01470
OG0000124	DR086_RS01920	EHI52_RS01475
OG0000125	DR086_RS01915	EHI52_RS01480
OG0000126	DR086_RS01900	EHI52_RS01490
OG0000127	DR086_RS01890	EHI52_RS01500
OG0000128	DR086_RS01875	EHI52_RS01515
OG0000129	DR086_RS01870	EHI52_RS01520
OG0000130	DR086_RS01860	EHI52_RS01530
OG0000131	DR086_RS01830	EHI52_RS01560
OG0000132	DR086_RS04900	EHI52_RS01575
OG0000133	DR086_RS02245	EHI52_RS00545
OG0000134	DR086_RS02250	EHI52_RS00550
OG0000135	DR086_RS02265	EHI52_RS00565
OG0000136	DR086_RS02270	EHI52_RS00570
OG0000137	DR086_RS02310	EHI52_RS00600
OG0000138	DR086_RS02775	EHI52_RS00635
OG0000139	DR086_RS02745	EHI52_RS00665
OG0000140	DR086_RS02740	EHI52_RS00670
OG0000141	DR086_RS03720	EHI52_RS02925
OG0000142	DR086_RS04820	EHI52_RS02920
OG0000143	DR086_RS01115	EHI52_RS02895
OG0000144	DR086_RS01105	EHI52_RS02885
OG0000145	DR086_RS01095	EHI52_RS02875
OG0000146	DR086_RS01085	EHI52_RS02865
OG0000147	DR086_RS01080	EHI52_RS02860
OG0000148	DR086_RS01065	EHI52_RS02845
OG0000149	DR086_RS01055	EHI52_RS02835
OG0000150	DR086_RS01040	EHI52_RS02820
OG0000151	DR086_RS03230	EHI52_RS02775
OG0000152	DR086_RS03225	EHI52_RS02770
OG0000153	DR086_RS03220	EHI52_RS02765
OG0000154	DR086_RS03210	EHI52_RS02755
OG0000155	DR086_RS03005	EHI52_RS02715
OG0000156	DR086_RS02995	EHI52_RS02705
OG0000157	DR086_RS05005	EHI52_RS02700
OG0000158	DR086_RS05000	EHI52_RS03885
OG0000159	DR086_RS05100	EHI52_RS03925
OG0000160	DR086_RS02185	EHI52_RS02460
OG0000161	DR086_RS02190	EHI52_RS02455
OG0000162	DR086_RS02200	EHI52_RS02445
OG0000163	DR086_RS02205	EHI52_RS02440
OG0000164	DR086_RS03305	EHI52_RS01665
OG0000165	DR086_RS00440	EHI52_RS01995
OG0000166	DR086_RS00460	EHI52_RS01975
OG0000167	DR086_RS00475	EHI52_RS01960
OG0000168	DR086_RS00480	EHI52_RS01955
OG0000169	DR086_RS01435	EHI52_RS03055
OG0000170	DR086_RS01420	EHI52_RS03075
OG0000171	DR086_RS01410	EHI52_RS03085
OG0000172	DR086_RS01405	EHI52_RS03095
OG0000173	DR086_RS01400	EHI52_RS03100
OG0000174	DR086_RS01395	EHI52_RS03105
OG0000175	DR086_RS01380	EHI52_RS03120
OG0000176	DR086_RS01330	EHI52_RS03170
OG0000177	DR086_RS01325	EHI52_RS03175
OG0000178	DR086_RS01320	EHI52_RS03180
OG0000179	DR086_RS01310	EHI52_RS03190
OG0000180	DR086_RS01305	EHI52_RS03195
OG0000181	DR086_RS05065	EHI52_RS03235
OG0000182	DR086_RS03535	EHI52_RS03245
OG0000183	DR086_RS02345	EHI52_RS03280
OG0000184	DR086_RS02390	EHI52_RS03325
OG0000185	DR086_RS02375	EHI52_RS03310
OG0000186	DR086_RS04895	EHI52_RS01585
OG0000187	DR086_RS01790	EHI52_RS01600
OG0000188	DR086_RS01780	EHI52_RS01610
OG0000189	DR086_RS04920	EHI52_RS02310
OG0000190	DR086_RS02035	EHI52_RS02305
OG0000191	DR086_RS02055	EHI52_RS02285
OG0000192	DR086_RS02515	EHI52_RS01280
OG0000193	DR086_RS02500	EHI52_RS01270
OG0000194	DR086_RS03025	EHI52_RS00690
OG0000195	DR086_RS03030	EHI52_RS00695
OG0000196	DR086_RS03050	EHI52_RS00715
OG0000197	DR086_RS03055	EHI52_RS00720
OG0000198	DR086_RS03070	EHI52_RS00735
OG0000199	DR086_RS03075	EHI52_RS00740
OG0000200	DR086_RS03090	EHI52_RS00755
OG0000201	DR086_RS03100	EHI52_RS00765
OG0000202	DR086_RS03345	EHI52_RS00820
OG0000203	DR086_RS03340	EHI52_RS00825
OG0000204	DR086_RS04975	EHI52_RS00830
OG0000205	DR086_RS02805	EHI52_RS00835
OG0000206	DR086_RS02825	EHI52_RS00855
OG0000207	DR086_RS02840	EHI52_RS00870
OG0000208	DR086_RS02845	EHI52_RS00875
OG0000209	DR086_RS02850	EHI52_RS00880
OG0000210	DR086_RS02895	EHI52_RS00925
OG0000211	DR086_RS02580	EHI52_RS01005
OG0000212	DR086_RS02590	EHI52_RS01015
OG0000213	DR086_RS02595	EHI52_RS01020
OG0000214	DR086_RS02600	EHI52_RS01025
OG0000215	DR086_RS02605	EHI52_RS01030
OG0000216	DR086_RS02610	EHI52_RS01035
OG0000217	DR086_RS02615	EHI52_RS01040
OG0000218	DR086_RS02625	EHI52_RS01050
OG0000219	DR086_RS02630	EHI52_RS01055
OG0000220	DR086_RS02635	EHI52_RS01060
OG0000221	DR086_RS02640	EHI52_RS01065
OG0000222	DR086_RS02645	EHI52_RS01070
OG0000223	DR086_RS02650	EHI52_RS01075
OG0000224	DR086_RS02660	EHI52_RS01085
OG0000225	DR086_RS02670	EHI52_RS01095
OG0000226	DR086_RS02675	EHI52_RS01100
OG0000227	DR086_RS02680	EHI52_RS01105
OG0000228	DR086_RS05105	EHI52_RS03905
OG0000229	DR086_RS02690	EHI52_RS01115
OG0000230	DR086_RS02695	EHI52_RS01120
OG0000231	DR086_RS02705	EHI52_RS01130
OG0000232	DR086_RS02715	EHI52_RS01140
OG0000233	DR086_RS01680	EHI52_RS01165
OG0000234	DR086_RS01715	EHI52_RS01200
OG0000235	DR086_RS01725	EHI52_RS01210
OG0000236	DR086_RS01730	EHI52_RS01215
OG0000237	DR086_RS01735	EHI52_RS01220
OG0000238	DR086_RS01745	EHI52_RS01230
OG0000239	DR086_RS02960	EHI52_RS02935
OG0000240	DR086_RS02955	EHI52_RS02940
OG0000241	DR086_RS02945	EHI52_RS02950
OG0000242	DR086_RS02940	EHI52_RS02955
OG0000243	DR086_RS02935	EHI52_RS02960
OG0000244	DR086_RS02925	EHI52_RS02970
OG0000245	DR086_RS02915	EHI52_RS02980
OG0000246	DR086_RS03275	EHI52_RS00140
OG0000247	DR086_RS00010	EHI52_RS00150
OG0000248	DR086_RS00020	EHI52_RS00160
OG0000249	DR086_RS00025	EHI52_RS00165
OG0000250	DR086_RS00040	EHI52_RS00180
OG0000251	DR086_RS00075	EHI52_RS00215
OG0000252	DR086_RS00085	EHI52_RS00225
OG0000253	DR086_RS00090	EHI52_RS00230
OG0000254	DR086_RS00100	EHI52_RS00240
OG0000255	DR086_RS00110	EHI52_RS00250
OG0000256	DR086_RS00115	EHI52_RS00255
OG0000257	DR086_RS00140	EHI52_RS00280
OG0000258	DR086_RS00150	EHI52_RS00290
OG0000259	DR086_RS00180	EHI52_RS00320
OG0000260	DR086_RS00190	EHI52_RS00330
OG0000261	DR086_RS04745	EHI52_RS00340
OG0000262	DR086_RS00215	EHI52_RS00360
OG0000263	DR086_RS00230	EHI52_RS00375
OG0000264	DR086_RS00245	EHI52_RS00390
OG0000265	DR086_RS00255	EHI52_RS00400
OG0000266	DR086_RS00270	EHI52_RS00415
OG0000267	DR086_RS00285	EHI52_RS00430
OG0000268	DR086_RS00290	EHI52_RS00435
OG0000269	DR086_RS00305	EHI52_RS00450
OG0000270	DR086_RS04945	EHI52_RS03490
OG0000271	DR086_RS02410	EHI52_RS03485
OG0000272	DR086_RS02405	EHI52_RS03480
OG0000273	DR086_RS02400	EHI52_RS03475
OG0000274	DR086_RS01450	EHI52_RS03455
OG0000275	DR086_RS04850	EHI52_RS03450
OG0000276	DR086_RS01460	EHI52_RS03445
OG0000277	DR086_RS01470	EHI52_RS03435
OG0000278	DR086_RS01475	EHI52_RS03430
OG0000279	DR086_RS01485	EHI52_RS03420
OG0000280	DR086_RS01490	EHI52_RS03415
OG0000281	DR086_RS01495	EHI52_RS03410
OG0000282	DR086_RS04860	EHI52_RS03385
OG0000283	DR086_RS01525	EHI52_RS03380
OG0000284	DR086_RS01530	EHI52_RS03375
OG0000285	DR086_RS04865	EHI52_RS03370
OG0000286	DR086_RS02220	EHI52_RS02425
OG0000287	DR086_RS00990	EHI52_RS02515
OG0000288	DR086_RS00980	EHI52_RS02525
OG0000289	DR086_RS00975	EHI52_RS02530
OG0000290	DR086_RS00865	EHI52_RS02640
OG0000291	DR086_RS00875	EHI52_RS02630
OG0000292	DR086_RS00880	EHI52_RS02625
OG0000293	DR086_RS00885	EHI52_RS02620
OG0000294	DR086_RS00895	EHI52_RS02610
OG0000295	DR086_RS00900	EHI52_RS02605
OG0000296	DR086_RS00940	EHI52_RS02565
OG0000297	DR086_RS00945	EHI52_RS02560
OG0000298	DR086_RS00035	EHI52_RS00175
OG0000299	DR086_RS00060	EHI52_RS00200
OG0000300	DR086_RS00240	EHI52_RS00385
OG0000301	DR086_RS00275	EHI52_RS00420
OG0000302	DR086_RS00280	EHI52_RS00425
OG0000303	DR086_RS02275	EHI52_RS00575
OG0000304	DR086_RS02725	EHI52_RS01145
OG0000305	DR086_RS01090	EHI52_RS02870
OG0000306	DR086_RS01015	EHI52_RS02795
OG0000307	DR086_RS03215	EHI52_RS02760
OG0000308	DR086_RS00845	EHI52_RS02660
OG0000309	DR086_RS00910	EHI52_RS02595
OG0000310	DR086_RS00985	EHI52_RS02520
OG0000311	DR086_RS02160	EHI52_RS02485
OG0000312	DR086_RS02175	EHI52_RS02470
OG0000313	DR086_RS03315	EHI52_RS01655
OG0000314	DR086_RS00455	EHI52_RS01980
OG0000315	DR086_RS00485	EHI52_RS01950
OG0000316	DR086_RS00495	EHI52_RS01940
OG0000317	DR086_RS00585	EHI52_RS01850
OG0000318	DR086_RS04760	EHI52_RS01935
OG0000319	DR086_RS02100	EHI52_RS02240
OG0000320	DR086_RS03145	EHI52_RS02370
OG0000321	DR086_RS02000	EHI52_RS01395
OG0000322	DR086_RS01955	EHI52_RS01440
OG0000323	DR086_RS01820	EHI52_RS01570
OG0000324	DR086_RS02060	EHI52_RS02280
OG0000325	DR086_RS03035	EHI52_RS00700
OG0000326	DR086_RS03370	EHI52_RS00795
OG0000327	DR086_RS03365	EHI52_RS00800
OG0000328	DR086_RS02855	EHI52_RS00885
OG0000329	DR086_RS02875	EHI52_RS00905
OG0000330	DR086_RS01690	EHI52_RS01175
OG0000331	DR086_RS02930	EHI52_RS02965
OG0000332	DR086_RS01370	EHI52_RS03130
OG0000333	DR086_RS01360	EHI52_RS03140
OG0000334	DR086_RS03540	EHI52_RS03240
OG0000335	DR086_RS02315	EHI52_RS03250
OG0000336	DR086_RS04855	EHI52_RS03400
OG0000337	DR086_RS01270	EHI52_RS03575
OG0000338	DR086_RS01230	EHI52_RS03615
OG0000339	DR086_RS03465	EHI52_RS02340
OG0000340	DR086_RS02020	EHI52_RS01375
OG0000341	DR086_RS02040	EHI52_RS02300
OG0000342	DR086_RS03065	EHI52_RS00730
OG0000343	DR086_RS01350	EHI52_RS03150
OG0000344	DR086_RS02290	EHI52_RS00590
OG0000345	DR086_RS02665	EHI52_RS01090
OG0000346	DR086_RS05090	EHI52_RS03405
OG0000347	DR086_RS01930	EHI52_RS01465
OG0000348	DR086_RS03360	EHI52_RS00805
OG0000349	DR086_RS04845	EHI52_RS03465
OG0000350	DR086_RS03205	EHI52_RS02750
OG0000351	DR086_RS00370	EHI52_RS00510
OG0000352	DR086_RS00435	EHI52_RS02000
OG0000353	DR086_RS01960	EHI52_RS01435
OG0000354	DR086_RS02760	EHI52_RS00650
OG0000355	DR086_RS04750	EHI52_RS02030
OG0000356	DR086_RS04755	EHI52_RS01945
OG0000357	DR086_RS04840	EHI52_RS03110
OG0000358	DR086_RS01385	EHI52_RS03115
OG0000359	DR086_RS05045	EHI52_RS00775
OG0000360	DR086_RS00145	EHI52_RS00285
OG0000361	DR086_RS00175	EHI52_RS00315
OG0000362	DR086_RS00965	EHI52_RS02540
OG0000363	DR086_RS04910	EHI52_RS01505
OG0000364	DR086_RS00380	EHI52_RS02055
OG0000365	DR086_RS00535	EHI52_RS01905
OG0000366	DR086_RS00555	EHI52_RS01880
OG0000367	DR086_RS00565	EHI52_RS01870
OG0000368	DR086_RS01165	EHI52_RS00060
OG0000369	DR086_RS04830	EHI52_RS00025
OG0000370	DR086_RS01205	EHI52_RS00020
OG0000371	DR086_RS01210	EHI52_RS00015
OG0000372	DR086_RS01215	EHI52_RS00010
OG0000373	DR086_RS01240	EHI52_RS03605
OG0000374	DR086_RS01250	EHI52_RS03595
OG0000375	DR086_RS02105	EHI52_RS02235
OG0000376	DR086_RS03130	EHI52_RS02385
OG0000377	DR086_RS03140	EHI52_RS02375
OG0000378	DR086_RS03415	EHI52_RS01355
OG0000379	DR086_RS01965	EHI52_RS01430
OG0000380	DR086_RS01940	EHI52_RS01455
OG0000381	DR086_RS01895	EHI52_RS01495
OG0000382	DR086_RS01865	EHI52_RS01525
OG0000383	DR086_RS01825	EHI52_RS01565
OG0000384	DR086_RS02230	EHI52_RS00530
OG0000385	DR086_RS02235	EHI52_RS00535
OG0000386	DR086_RS02255	EHI52_RS00555
OG0000387	DR086_RS02280	EHI52_RS00580
OG0000388	DR086_RS04925	EHI52_RS00585
OG0000389	DR086_RS02785	EHI52_RS00630
OG0000390	DR086_RS01110	EHI52_RS02890
OG0000391	DR086_RS01100	EHI52_RS02880
OG0000392	DR086_RS01075	EHI52_RS02855
OG0000393	DR086_RS04815	EHI52_RS02800
OG0000394	DR086_RS03645	EHI52_RS02725
OG0000395	DR086_RS03015	EHI52_RS02720
OG0000396	DR086_RS02215	EHI52_RS02430
OG0000397	DR086_RS00420	EHI52_RS02015
OG0000398	DR086_RS00425	EHI52_RS02010
OG0000399	DR086_RS00470	EHI52_RS01965
OG0000400	DR086_RS01425	EHI52_RS03070
OG0000401	DR086_RS01365	EHI52_RS03135
OG0000402	DR086_RS01355	EHI52_RS03145
OG0000403	DR086_RS01345	EHI52_RS03155
OG0000404	DR086_RS01315	EHI52_RS03185
OG0000405	DR086_RS01300	EHI52_RS03200
OG0000406	DR086_RS02320	EHI52_RS03255
OG0000407	DR086_RS04930	EHI52_RS03260
OG0000408	DR086_RS02330	EHI52_RS03265
OG0000409	DR086_RS02335	EHI52_RS03270
OG0000410	DR086_RS02395	EHI52_RS03330
OG0000411	DR086_RS02385	EHI52_RS03320
OG0000412	DR086_RS02380	EHI52_RS03315
OG0000413	DR086_RS01810	EHI52_RS01580
OG0000414	DR086_RS01800	EHI52_RS01590
OG0000415	DR086_RS01795	EHI52_RS01595
OG0000416	DR086_RS01785	EHI52_RS01605
OG0000417	DR086_RS02045	EHI52_RS02295
OG0000418	DR086_RS02050	EHI52_RS02290
OG0000419	DR086_RS03045	EHI52_RS00710
OG0000420	DR086_RS03080	EHI52_RS00745
OG0000421	DR086_RS03385	EHI52_RS00780
OG0000422	DR086_RS03375	EHI52_RS00790
OG0000423	DR086_RS02815	EHI52_RS00845
OG0000424	DR086_RS02820	EHI52_RS00850
OG0000425	DR086_RS02830	EHI52_RS00860
OG0000426	DR086_RS04980	EHI52_RS00865
OG0000427	DR086_RS04985	EHI52_RS00890
OG0000428	DR086_RS02885	EHI52_RS00915
OG0000429	DR086_RS02655	EHI52_RS01080
OG0000430	DR086_RS02700	EHI52_RS01125
OG0000431	DR086_RS02710	EHI52_RS01135
OG0000432	DR086_RS01685	EHI52_RS01170
OG0000433	DR086_RS01700	EHI52_RS01185
OG0000434	DR086_RS01705	EHI52_RS01190
OG0000435	DR086_RS01720	EHI52_RS01205
OG0000436	DR086_RS01750	EHI52_RS01235
OG0000437	DR086_RS01760	EHI52_RS01245
OG0000438	DR086_RS01765	EHI52_RS01250
OG0000439	DR086_RS01770	EHI52_RS01255
OG0000440	DR086_RS02950	EHI52_RS02945
OG0000441	DR086_RS02910	EHI52_RS02985
OG0000442	DR086_RS03280	EHI52_RS00145
OG0000443	DR086_RS00055	EHI52_RS00195
OG0000444	DR086_RS00070	EHI52_RS00210
OG0000445	DR086_RS00095	EHI52_RS00235
OG0000446	DR086_RS00125	EHI52_RS00265
OG0000447	DR086_RS00130	EHI52_RS00270
OG0000448	DR086_RS00160	EHI52_RS00300
OG0000449	DR086_RS00185	EHI52_RS00325
OG0000450	DR086_RS00195	EHI52_RS00335
OG0000451	DR086_RS00235	EHI52_RS00380
OG0000452	DR086_RS00260	EHI52_RS00405
OG0000453	DR086_RS00295	EHI52_RS00440
OG0000455	DR086_RS02435	EHI52_RS03510
OG0000456	DR086_RS01515	EHI52_RS03390
OG0000457	DR086_RS01540	EHI52_RS03365
OG0000458	DR086_RS03680	EHI52_RS02510
OG0000459	DR086_RS00970	EHI52_RS02535
OG0000460	DR086_RS00960	EHI52_RS02545
OG0000461	DR086_RS00915	EHI52_RS02590
OG0000462	DR086_RS00920	EHI52_RS02585
OG0000463	DR086_RS00925	EHI52_RS02580
OG0000464	DR086_RS00930	EHI52_RS02575
OG0000465	DR086_RS00935	EHI52_RS02570
OG0000466	DR086_RS00265	EHI52_RS00410
OG0000467	DR086_RS04810	EHI52_RS02670
OG0000468	DR086_RS00465	EHI52_RS01970
OG0000469	DR086_RS00525	EHI52_RS01910
OG0000470	DR086_RS03975	EHI52_RS03650
OG0000471	DR086_RS02890	EHI52_RS00920
OG0000472	DR086_RS03165	EHI52_RS03340
OG0000473	DR086_RS02420	EHI52_RS03495
OG0000474	DR086_RS02425	EHI52_RS03500
OG0000475	DR086_RS02430	EHI52_RS03505
OG0000476	DR086_RS01775	EHI52_RS01615
OG0000477	DR086_RS00890	EHI52_RS02615
OG0000478	DR086_RS01465	EHI52_RS03440
OG0000479	DR086_RS02005	EHI52_RS01390
OG0000480	DR086_RS03935	EHI52_RS03665
OG0000481	DR086_RS03350	EHI52_RS00815
OG0000482	DR086_RS02505	EHI52_RS01275
OG0000483	DR086_RS00570	EHI52_RS01865
OG0000484	DR086_RS04740	EHI52_RS00205
OG0000485	DR086_RS01755	EHI52_RS01240
OG0000486	DR086_RS02025	EHI52_RS02315
OG0000487	DR086_RS04765	EHI52_RS01930
OG0000488	DR086_RS00540	EHI52_RS01895
OG0000489	DR086_RS01175	EHI52_RS00050
OG0000490	DR086_RS01235	EHI52_RS03610
OG0000491	DR086_RS01985	EHI52_RS01410
OG0000492	DR086_RS01910	EHI52_RS01485
OG0000493	DR086_RS02295	EHI52_RS00595
OG0000494	DR086_RS02755	EHI52_RS00655
OG0000495	DR086_RS01045	EHI52_RS02825
OG0000496	DR086_RS01035	EHI52_RS02815
OG0000497	DR086_RS01030	EHI52_RS02810
OG0000498	DR086_RS03185	EHI52_RS02730
OG0000499	DR086_RS02985	EHI52_RS02695
OG0000500	DR086_RS00430	EHI52_RS02005
OG0000501	DR086_RS01415	EHI52_RS03080
OG0000502	DR086_RS02495	EHI52_RS01265
OG0000503	DR086_RS03095	EHI52_RS00760
OG0000504	DR086_RS02865	EHI52_RS00895
OG0000505	DR086_RS02575	EHI52_RS01000
OG0000506	DR086_RS02585	EHI52_RS01010
OG0000507	DR086_RS02620	EHI52_RS01045
OG0000508	DR086_RS00120	EHI52_RS00260
OG0000509	DR086_RS00155	EHI52_RS00295
OG0000510	DR086_RS00165	EHI52_RS00305
OG0000511	DR086_RS00300	EHI52_RS00445
OG0000512	DR086_RS00955	EHI52_RS02550
OG0000513	DR086_RS01480	EHI52_RS03425
OG0000514	DR086_RS01070	EHI52_RS02850
OG0000516	DR086_RS04770	EHI52_RS01925
OG0000517	DR086_RS01160	EHI52_RS00065
OG0000518	DR086_RS01375	EHI52_RS03125
OG0000519	DR086_RS03380	EHI52_RS00785
OG0000520	DR086_RS02880	EHI52_RS00910
OG0000521	DR086_RS00135	EHI52_RS00275
OG0000522	DR086_RS00170	EHI52_RS00310
OG0000523	DR086_RS01545	EHI52_RS03360
OG0000524	DR086_RS00840	EHI52_RS02665
OG0000525	DR086_RS05020	EHI52_RS03345
OG0000526	DR086_RS04135	EHI52_RS03800
OG0000527	DR086_RS00635	EHI52_RS02185
OG0000528	DR086_RS04775	EHI52_RS01920
OG0000529	DR086_RS02090	EHI52_RS02250
OG0000530	DR086_RS03450	EHI52_RS02355
OG0000531	DR086_RS01935	EHI52_RS01460
OG0000532	DR086_RS03285	EHI52_RS01685
OG0000534	DR086_RS00250	EHI52_RS00395
OG0000535	DR086_RS04825	EHI52_RS00045
OG0000536	DR086_RS02465	EHI52_RS03545
OG0000537	DR086_RS03060	EHI52_RS00725
OG0000538	DR086_RS01710	EHI52_RS01195
OG0000539	DR086_RS00080	EHI52_RS00220
OG0000540	DR086_RS00870	EHI52_RS02635
OG0000541	DR086_RS03000	EHI52_RS02710
OG0000542	DR086_RS00220	EHI52_RS00365
OG0000544	DR086_RS04960	EHI52_RS01315
OG0000545	DR086_RS00685	EHI52_RS02110
OG0000546	DR086_RS04500	EHI52_RS02780
OG0000547	DR086_RS01120	EHI52_RS02900
