Orthogroup	MHP_LH_genes	MFC_ATCC27716_genes
OG0000092	KUD10_RS00040	MFC_RS00195
OG0000093	KUD10_RS00035	MFC_RS00200
OG0000094	KUD10_RS00030	MFC_RS00205
OG0000095	KUD10_RS00005	MFC_RS00230
OG0000096	KUD10_RS03690	MFC_RS00235
OG0000097	KUD10_RS03670	MFC_RS00255
OG0000099	KUD10_RS03610	MFC_RS00320
OG0000100	KUD10_RS03590	MFC_RS00335
OG0000101	KUD10_RS03585	MFC_RS00340
OG0000102	KUD10_RS01765	MFC_RS00350
OG0000103	KUD10_RS02280	MFC_RS00405
OG0000104	KUD10_RS02285	MFC_RS00410
OG0000105	KUD10_RS02300	MFC_RS00425
OG0000106	KUD10_RS02310	MFC_RS00435
OG0000107	KUD10_RS02320	MFC_RS00445
OG0000108	KUD10_RS02325	MFC_RS00450
OG0000109	KUD10_RS02330	MFC_RS00455
OG0000110	KUD10_RS02450	MFC_RS00460
OG0000111	KUD10_RS02445	MFC_RS00465
OG0000112	KUD10_RS02435	MFC_RS00475
OG0000113	KUD10_RS02415	MFC_RS00490
OG0000114	KUD10_RS02405	MFC_RS00500
OG0000115	KUD10_RS02395	MFC_RS00510
OG0000116	KUD10_RS01370	MFC_RS00520
OG0000117	KUD10_RS01375	MFC_RS00525
OG0000118	KUD10_RS01410	MFC_RS00555
OG0000119	KUD10_RS01415	MFC_RS00560
OG0000120	KUD10_RS01430	MFC_RS00575
OG0000121	KUD10_RS01455	MFC_RS00600
OG0000122	KUD10_RS01460	MFC_RS00605
OG0000123	KUD10_RS01480	MFC_RS00625
OG0000124	KUD10_RS01485	MFC_RS00630
OG0000125	KUD10_RS01490	MFC_RS00635
OG0000126	KUD10_RS01500	MFC_RS00645
OG0000127	KUD10_RS01510	MFC_RS00655
OG0000128	KUD10_RS01525	MFC_RS00670
OG0000129	KUD10_RS01530	MFC_RS00675
OG0000130	KUD10_RS01540	MFC_RS00685
OG0000131	KUD10_RS01570	MFC_RS00715
OG0000132	KUD10_RS01585	MFC_RS00735
OG0000133	KUD10_RS00535	MFC_RS00805
OG0000134	KUD10_RS00540	MFC_RS00810
OG0000135	KUD10_RS00555	MFC_RS00825
OG0000136	KUD10_RS00560	MFC_RS00830
OG0000137	KUD10_RS00600	MFC_RS00860
OG0000138	KUD10_RS00630	MFC_RS00885
OG0000139	KUD10_RS00660	MFC_RS00915
OG0000140	KUD10_RS00665	MFC_RS00920
OG0000141	KUD10_RS03005	MFC_RS00955
OG0000142	KUD10_RS03000	MFC_RS00960
OG0000143	KUD10_RS02980	MFC_RS00985
OG0000144	KUD10_RS02970	MFC_RS00995
OG0000145	KUD10_RS02960	MFC_RS01005
OG0000146	KUD10_RS02950	MFC_RS01015
OG0000147	KUD10_RS02945	MFC_RS01020
OG0000148	KUD10_RS02930	MFC_RS01035
OG0000149	KUD10_RS02920	MFC_RS01045
OG0000150	KUD10_RS02905	MFC_RS01060
OG0000151	KUD10_RS02860	MFC_RS01115
OG0000152	KUD10_RS02855	MFC_RS01120
OG0000153	KUD10_RS02850	MFC_RS01125
OG0000154	KUD10_RS02840	MFC_RS01135
OG0000155	KUD10_RS02805	MFC_RS01155
OG0000156	KUD10_RS02795	MFC_RS01175
OG0000157	KUD10_RS02790	MFC_RS01180
OG0000158	KUD10_RS03710	MFC_RS01190
OG0000159	KUD10_RS02545	MFC_RS01245
OG0000160	KUD10_RS02540	MFC_RS01250
OG0000161	KUD10_RS02535	MFC_RS01255
OG0000162	KUD10_RS02525	MFC_RS01265
OG0000163	KUD10_RS02520	MFC_RS01270
OG0000164	KUD10_RS01670	MFC_RS01300
OG0000165	KUD10_RS01990	MFC_RS01345
OG0000166	KUD10_RS02010	MFC_RS01365
OG0000167	KUD10_RS02025	MFC_RS01380
OG0000168	KUD10_RS02030	MFC_RS01385
OG0000169	KUD10_RS03115	MFC_RS01430
OG0000170	KUD10_RS03130	MFC_RS01455
OG0000171	KUD10_RS03140	MFC_RS01465
OG0000172	KUD10_RS03145	MFC_RS01470
OG0000173	KUD10_RS03150	MFC_RS01475
OG0000174	KUD10_RS03155	MFC_RS01480
OG0000175	KUD10_RS03170	MFC_RS01495
OG0000176	KUD10_RS03215	MFC_RS01540
OG0000177	KUD10_RS03220	MFC_RS01545
OG0000178	KUD10_RS03225	MFC_RS01550
OG0000179	KUD10_RS03235	MFC_RS01560
OG0000180	KUD10_RS03240	MFC_RS01565
OG0000181	KUD10_RS03285	MFC_RS01580
OG0000182	KUD10_RS03295	MFC_RS01590
OG0000183	KUD10_RS03330	MFC_RS01625
OG0000184	KUD10_RS03375	MFC_RS01655
OG0000185	KUD10_RS03360	MFC_RS01670
OG0000186	KUD10_RS01595	MFC_RS01710
OG0000187	KUD10_RS01610	MFC_RS01725
OG0000188	KUD10_RS01620	MFC_RS01735
OG0000189	KUD10_RS02365	MFC_RS03385
OG0000190	KUD10_RS02360	MFC_RS01750
OG0000191	KUD10_RS02340	MFC_RS01770
OG0000192	KUD10_RS01290	MFC_RS01780
OG0000193	KUD10_RS01275	MFC_RS01795
OG0000194	KUD10_RS00685	MFC_RS01805
OG0000195	KUD10_RS00690	MFC_RS01810
OG0000196	KUD10_RS00710	MFC_RS01830
OG0000197	KUD10_RS00715	MFC_RS01835
OG0000198	KUD10_RS00730	MFC_RS01850
OG0000199	KUD10_RS00735	MFC_RS01855
OG0000200	KUD10_RS00750	MFC_RS01865
OG0000201	KUD10_RS00760	MFC_RS01875
OG0000202	KUD10_RS00815	MFC_RS01930
OG0000203	KUD10_RS00820	MFC_RS01935
OG0000204	KUD10_RS00825	MFC_RS01940
OG0000205	KUD10_RS00830	MFC_RS01945
OG0000206	KUD10_RS00850	MFC_RS01965
OG0000207	KUD10_RS00865	MFC_RS01980
OG0000208	KUD10_RS00870	MFC_RS01985
OG0000209	KUD10_RS00875	MFC_RS01990
OG0000210	KUD10_RS00920	MFC_RS02040
OG0000211	KUD10_RS00930	MFC_RS02050
OG0000212	KUD10_RS00940	MFC_RS02060
OG0000213	KUD10_RS00945	MFC_RS02065
OG0000214	KUD10_RS00950	MFC_RS02070
OG0000215	KUD10_RS00955	MFC_RS02075
OG0000216	KUD10_RS00960	MFC_RS02080
OG0000217	KUD10_RS00965	MFC_RS02085
OG0000218	KUD10_RS00975	MFC_RS02095
OG0000219	KUD10_RS00980	MFC_RS02100
OG0000220	KUD10_RS00985	MFC_RS02105
OG0000221	KUD10_RS00990	MFC_RS02110
OG0000222	KUD10_RS00995	MFC_RS03235
OG0000223	KUD10_RS01000	MFC_RS02115
OG0000224	KUD10_RS01010	MFC_RS02125
OG0000225	KUD10_RS01020	MFC_RS02135
OG0000226	KUD10_RS01025	MFC_RS02140
OG0000227	KUD10_RS01030	MFC_RS02145
OG0000228	KUD10_RS03740	MFC_RS03530
OG0000229	KUD10_RS01040	MFC_RS02155
OG0000230	KUD10_RS01045	MFC_RS02160
OG0000231	KUD10_RS01055	MFC_RS02170
OG0000232	KUD10_RS01065	MFC_RS02180
OG0000233	KUD10_RS01090	MFC_RS02190
OG0000234	KUD10_RS01125	MFC_RS02220
OG0000235	KUD10_RS01135	MFC_RS02230
OG0000236	KUD10_RS01140	MFC_RS02235
OG0000237	KUD10_RS01230	MFC_RS02250
OG0000238	KUD10_RS01235	MFC_RS02255
OG0000239	KUD10_RS03015	MFC_RS02285
OG0000240	KUD10_RS03020	MFC_RS02290
OG0000241	KUD10_RS03030	MFC_RS02300
OG0000242	KUD10_RS03035	MFC_RS02305
OG0000243	KUD10_RS03040	MFC_RS02310
OG0000244	KUD10_RS03050	MFC_RS02320
OG0000245	KUD10_RS03055	MFC_RS02330
OG0000246	KUD10_RS00140	MFC_RS02345
OG0000247	KUD10_RS00150	MFC_RS02355
OG0000248	KUD10_RS00160	MFC_RS02380
OG0000249	KUD10_RS00165	MFC_RS02385
OG0000250	KUD10_RS00180	MFC_RS02400
OG0000251	KUD10_RS00210	MFC_RS02430
OG0000252	KUD10_RS00220	MFC_RS02440
OG0000253	KUD10_RS00225	MFC_RS02445
OG0000254	KUD10_RS00235	MFC_RS02455
OG0000255	KUD10_RS00240	MFC_RS02465
OG0000256	KUD10_RS00245	MFC_RS02470
OG0000257	KUD10_RS00270	MFC_RS02495
OG0000258	KUD10_RS00280	MFC_RS02505
OG0000259	KUD10_RS00310	MFC_RS02535
OG0000260	KUD10_RS00320	MFC_RS02545
OG0000261	KUD10_RS00330	MFC_RS02555
OG0000262	KUD10_RS00345	MFC_RS02570
OG0000263	KUD10_RS00360	MFC_RS02585
OG0000264	KUD10_RS00375	MFC_RS02600
OG0000265	KUD10_RS00385	MFC_RS02610
OG0000266	KUD10_RS00400	MFC_RS02625
OG0000267	KUD10_RS00415	MFC_RS02640
OG0000268	KUD10_RS00420	MFC_RS02645
OG0000269	KUD10_RS00435	MFC_RS02660
OG0000270	KUD10_RS03560	MFC_RS02720
OG0000271	KUD10_RS03555	MFC_RS02725
OG0000272	KUD10_RS03550	MFC_RS02730
OG0000273	KUD10_RS03545	MFC_RS02735
OG0000274	KUD10_RS03525	MFC_RS02755
OG0000275	KUD10_RS03520	MFC_RS03455
OG0000276	KUD10_RS03515	MFC_RS02765
OG0000277	KUD10_RS03505	MFC_RS02775
OG0000278	KUD10_RS03500	MFC_RS02780
OG0000279	KUD10_RS03490	MFC_RS02790
OG0000280	KUD10_RS03485	MFC_RS02795
OG0000281	KUD10_RS03480	MFC_RS03255
OG0000282	KUD10_RS03455	MFC_RS02820
OG0000283	KUD10_RS03450	MFC_RS02825
OG0000284	KUD10_RS03445	MFC_RS02830
OG0000285	KUD10_RS03440	MFC_RS02835
OG0000286	KUD10_RS02505	MFC_RS02865
OG0000287	KUD10_RS02600	MFC_RS02890
OG0000288	KUD10_RS02610	MFC_RS02900
OG0000289	KUD10_RS02615	MFC_RS02905
OG0000290	KUD10_RS02730	MFC_RS03030
OG0000291	KUD10_RS02720	MFC_RS03040
OG0000292	KUD10_RS02715	MFC_RS03045
OG0000293	KUD10_RS02710	MFC_RS03050
OG0000294	KUD10_RS02700	MFC_RS03060
OG0000295	KUD10_RS02695	MFC_RS03065
OG0000296	KUD10_RS02650	MFC_RS03110
OG0000297	KUD10_RS02645	MFC_RS03115
OG0000298	KUD10_RS00175	MFC_RS02395
OG0000299	KUD10_RS00195	MFC_RS02415
OG0000300	KUD10_RS00370	MFC_RS02595
OG0000301	KUD10_RS00405	MFC_RS02630
OG0000302	KUD10_RS00410	MFC_RS02635
OG0000303	KUD10_RS00565	MFC_RS00835
OG0000304	KUD10_RS01070	MFC_RS00865
OG0000305	KUD10_RS02955	MFC_RS01010
OG0000306	KUD10_RS02880	MFC_RS01090
OG0000307	KUD10_RS02845	MFC_RS01130
OG0000308	KUD10_RS02750	MFC_RS03020
OG0000309	KUD10_RS02685	MFC_RS03075
OG0000310	KUD10_RS02605	MFC_RS02895
OG0000311	KUD10_RS02565	MFC_RS01220
OG0000312	KUD10_RS02550	MFC_RS01240
OG0000313	KUD10_RS01660	MFC_RS01290
OG0000314	KUD10_RS02005	MFC_RS01360
OG0000315	KUD10_RS02035	MFC_RS01390
OG0000316	KUD10_RS02045	MFC_RS01400
OG0000317	KUD10_RS02140	MFC_RS00110
OG0000318	KUD10_RS02050	MFC_RS00020
OG0000319	KUD10_RS02295	MFC_RS00420
OG0000320	KUD10_RS02425	MFC_RS00485
OG0000321	KUD10_RS01405	MFC_RS00550
OG0000322	KUD10_RS01450	MFC_RS00595
OG0000323	KUD10_RS01580	MFC_RS00725
OG0000324	KUD10_RS02335	MFC_RS01775
OG0000325	KUD10_RS00695	MFC_RS01815
OG0000326	KUD10_RS00790	MFC_RS01905
OG0000327	KUD10_RS00795	MFC_RS01910
OG0000328	KUD10_RS00880	MFC_RS01995
OG0000329	KUD10_RS00900	MFC_RS02020
OG0000330	KUD10_RS01100	MFC_RS02200
OG0000331	KUD10_RS03045	MFC_RS02315
OG0000332	KUD10_RS03180	MFC_RS01505
OG0000333	KUD10_RS03190	MFC_RS01515
OG0000334	KUD10_RS03290	MFC_RS01585
OG0000335	KUD10_RS03300	MFC_RS01595
OG0000336	KUD10_RS03470	MFC_RS02805
OG0000337	KUD10_RS03645	MFC_RS00280
OG0000338	KUD10_RS03685	MFC_RS00240
OG0000339	KUD10_RS02400	MFC_RS00505
OG0000340	KUD10_RS01385	MFC_RS00530
OG0000341	KUD10_RS02355	MFC_RS01755
OG0000342	KUD10_RS00725	MFC_RS01845
OG0000343	KUD10_RS03200	MFC_RS01525
OG0000344	KUD10_RS00580	MFC_RS00850
OG0000345	KUD10_RS01015	MFC_RS02130
OG0000346	KUD10_RS03475	MFC_RS02800
OG0000347	KUD10_RS01475	MFC_RS00620
OG0000348	KUD10_RS00800	MFC_RS01915
OG0000349	KUD10_RS03535	MFC_RS02745
OG0000350	KUD10_RS02835	MFC_RS03345
OG0000351	KUD10_RS00490	MFC_RS00785
OG0000352	KUD10_RS01985	MFC_RS01340
OG0000353	KUD10_RS01445	MFC_RS00590
OG0000354	KUD10_RS00645	MFC_RS00900
OG0000355	KUD10_RS01960	MFC_RS01315
OG0000356	KUD10_RS02040	MFC_RS01395
OG0000357	KUD10_RS03160	MFC_RS01485
OG0000358	KUD10_RS03165	MFC_RS01490
OG0000359	KUD10_RS00770	MFC_RS01885
OG0000360	KUD10_RS00275	MFC_RS02500
OG0000361	KUD10_RS00305	MFC_RS02530
OG0000362	KUD10_RS02625	MFC_RS02915
OG0000363	KUD10_RS01515	MFC_RS00660
OG0000365	KUD10_RS02085	MFC_RS00050
OG0000366	KUD10_RS02110	MFC_RS00080
OG0000367	KUD10_RS02120	MFC_RS00090
OG0000368	KUD10_RS00060	MFC_RS00175
OG0000369	KUD10_RS00025	MFC_RS00210
OG0000370	KUD10_RS00020	MFC_RS00215
OG0000371	KUD10_RS00015	MFC_RS00220
OG0000372	KUD10_RS00010	MFC_RS00225
OG0000373	KUD10_RS03675	MFC_RS00250
OG0000374	KUD10_RS03665	MFC_RS00260
OG0000375	KUD10_RS02290	MFC_RS00415
OG0000376	KUD10_RS02440	MFC_RS00470
OG0000377	KUD10_RS02430	MFC_RS00480
OG0000378	KUD10_RS01365	MFC_RS00515
OG0000379	KUD10_RS01440	MFC_RS00585
OG0000380	KUD10_RS01465	MFC_RS00610
OG0000381	KUD10_RS01505	MFC_RS00650
OG0000382	KUD10_RS01535	MFC_RS00680
OG0000383	KUD10_RS01575	MFC_RS00720
OG0000384	KUD10_RS00520	MFC_RS00790
OG0000385	KUD10_RS00525	MFC_RS00795
OG0000386	KUD10_RS00545	MFC_RS00815
OG0000387	KUD10_RS00570	MFC_RS00840
OG0000388	KUD10_RS00575	MFC_RS00845
OG0000389	KUD10_RS00625	MFC_RS00880
OG0000390	KUD10_RS02975	MFC_RS00990
OG0000391	KUD10_RS02965	MFC_RS01000
OG0000392	KUD10_RS02940	MFC_RS01030
OG0000393	KUD10_RS02885	MFC_RS01080
OG0000394	KUD10_RS02815	MFC_RS01145
OG0000395	KUD10_RS02810	MFC_RS01150
OG0000396	KUD10_RS02510	MFC_RS01280
OG0000397	KUD10_RS01970	MFC_RS01325
OG0000398	KUD10_RS01975	MFC_RS01330
OG0000399	KUD10_RS02020	MFC_RS01375
OG0000400	KUD10_RS03125	MFC_RS01450
OG0000401	KUD10_RS03185	MFC_RS01510
OG0000402	KUD10_RS03195	MFC_RS01520
OG0000403	KUD10_RS03205	MFC_RS01530
OG0000404	KUD10_RS03230	MFC_RS03375, MFC_RS01555
OG0000405	KUD10_RS03245	MFC_RS01570
OG0000406	KUD10_RS03305	MFC_RS01600
OG0000407	KUD10_RS03310	MFC_RS01605
OG0000408	KUD10_RS03315	MFC_RS01610
OG0000409	KUD10_RS03320	MFC_RS01615
OG0000410	KUD10_RS03380	MFC_RS01650
OG0000411	KUD10_RS03370	MFC_RS01660
OG0000412	KUD10_RS03365	MFC_RS01665
OG0000413	KUD10_RS01590	MFC_RS01705
OG0000414	KUD10_RS01600	MFC_RS01715
OG0000415	KUD10_RS01605	MFC_RS01720
OG0000416	KUD10_RS01615	MFC_RS01730
OG0000417	KUD10_RS02350	MFC_RS01760
OG0000418	KUD10_RS02345	MFC_RS01765
OG0000419	KUD10_RS00705	MFC_RS01825
OG0000420	KUD10_RS00740	MFC_RS01860
OG0000421	KUD10_RS00775	MFC_RS01890
OG0000422	KUD10_RS00785	MFC_RS01900
OG0000423	KUD10_RS00840	MFC_RS01955
OG0000424	KUD10_RS00845	MFC_RS01960
OG0000425	KUD10_RS00855	MFC_RS01970
OG0000426	KUD10_RS00860	MFC_RS01975
OG0000427	KUD10_RS00885	MFC_RS02000
OG0000428	KUD10_RS00910	MFC_RS02030
OG0000429	KUD10_RS01005	MFC_RS02120
OG0000430	KUD10_RS01050	MFC_RS02165
OG0000431	KUD10_RS01060	MFC_RS02175
OG0000432	KUD10_RS01095	MFC_RS02195
OG0000433	KUD10_RS01110	MFC_RS02205
OG0000434	KUD10_RS01115	MFC_RS02210
OG0000435	KUD10_RS01130	MFC_RS02225
OG0000436	KUD10_RS01240	MFC_RS03535
OG0000437	KUD10_RS01250	MFC_RS02270
OG0000438	KUD10_RS01255	MFC_RS02275
OG0000439	KUD10_RS01260	MFC_RS02280
OG0000440	KUD10_RS03025	MFC_RS02295
OG0000441	KUD10_RS03060	MFC_RS02335
OG0000442	KUD10_RS00145	MFC_RS02350
OG0000443	KUD10_RS00190	MFC_RS02410
OG0000444	KUD10_RS00205	MFC_RS02425
OG0000445	KUD10_RS00230	MFC_RS02450
OG0000446	KUD10_RS00255	MFC_RS02480
OG0000447	KUD10_RS00260	MFC_RS02485
OG0000448	KUD10_RS00290	MFC_RS02515
OG0000449	KUD10_RS00315	MFC_RS02540
OG0000450	KUD10_RS00325	MFC_RS02550
OG0000451	KUD10_RS00365	MFC_RS02590
OG0000452	KUD10_RS00390	MFC_RS02615
OG0000453	KUD10_RS00425	MFC_RS02650
OG0000454	KUD10_RS01220	MFC_RS03440, MFC_RS03435
OG0000455	KUD10_RS03580	MFC_RS02700
OG0000456	KUD10_RS03460	MFC_RS02815
OG0000457	KUD10_RS03435	MFC_RS02840
OG0000458	KUD10_RS02595	MFC_RS02885
OG0000459	KUD10_RS02620	MFC_RS02910
OG0000460	KUD10_RS02630	MFC_RS02920
OG0000461	KUD10_RS02680	MFC_RS03080
OG0000462	KUD10_RS02670	MFC_RS03085
OG0000463	KUD10_RS02665	MFC_RS03090
OG0000464	KUD10_RS02660	MFC_RS03100
OG0000465	KUD10_RS02655	MFC_RS03105
OG0000466	KUD10_RS00395	MFC_RS02620
OG0000467	KUD10_RS02760	MFC_RS03500
OG0000468	KUD10_RS02015	MFC_RS01370
OG0000469	KUD10_RS02075	MFC_RS00045
OG0000470	KUD10_RS00835	MFC_RS01950
OG0000471	KUD10_RS00915	MFC_RS02035
OG0000472	KUD10_RS03390	MFC_RS01680
OG0000473	KUD10_RS03565	MFC_RS02715
OG0000474	KUD10_RS03570	MFC_RS02710
OG0000475	KUD10_RS03575	MFC_RS02705
OG0000476	KUD10_RS01625	MFC_RS00345
OG0000477	KUD10_RS02705	MFC_RS03055
OG0000478	KUD10_RS03510	MFC_RS02770
OG0000479	KUD10_RS01400	MFC_RS00545
OG0000480	KUD10_RS02080	MFC_RS03300
OG0000481	KUD10_RS00810	MFC_RS01925
OG0000482	KUD10_RS01280	MFC_RS01790
OG0000483	KUD10_RS02125	MFC_RS00095
OG0000484	KUD10_RS00200	MFC_RS02420
OG0000487	KUD10_RS02055	MFC_RS00025
OG0000488	KUD10_RS02095	MFC_RS00065
OG0000489	KUD10_RS00050	MFC_RS00185
OG0000490	KUD10_RS03680	MFC_RS00245
OG0000491	KUD10_RS01420	MFC_RS00565
OG0000492	KUD10_RS01495	MFC_RS00640
OG0000493	KUD10_RS00585	MFC_RS00855
OG0000494	KUD10_RS00650	MFC_RS00905
OG0000495	KUD10_RS02910	MFC_RS01055
OG0000496	KUD10_RS02900	MFC_RS01065
OG0000497	KUD10_RS02895	MFC_RS01070
OG0000498	KUD10_RS02820	MFC_RS01140
OG0000499	KUD10_RS02785	MFC_RS01185
OG0000500	KUD10_RS01980	MFC_RS01335
OG0000501	KUD10_RS03135	MFC_RS01460
OG0000502	KUD10_RS01270	MFC_RS01800
OG0000503	KUD10_RS00755	MFC_RS01870
OG0000504	KUD10_RS00890	MFC_RS02005
OG0000505	KUD10_RS00925	MFC_RS02045
OG0000506	KUD10_RS00935	MFC_RS02055
OG0000507	KUD10_RS00970	MFC_RS02090
OG0000508	KUD10_RS00250	MFC_RS02475
OG0000509	KUD10_RS00285	MFC_RS02510
OG0000510	KUD10_RS00295	MFC_RS02520
OG0000511	KUD10_RS00430	MFC_RS02655
OG0000512	KUD10_RS02635	MFC_RS02925
OG0000513	KUD10_RS03495	MFC_RS02785
OG0000516	KUD10_RS02060	MFC_RS00030
OG0000517	KUD10_RS00065	MFC_RS00170
OG0000518	KUD10_RS03175	MFC_RS01500
OG0000519	KUD10_RS00780	MFC_RS01895
OG0000520	KUD10_RS00905	MFC_RS02025
OG0000521	KUD10_RS00265	MFC_RS02490
OG0000522	KUD10_RS00300	MFC_RS02525
OG0000523	KUD10_RS03430	MFC_RS02845
OG0000524	KUD10_RS02755	MFC_RS03015
OG0000525	KUD10_RS03395	MFC_RS01685
OG0000528	KUD10_RS02065	MFC_RS00035
OG0000529	KUD10_RS02305	MFC_RS00430
OG0000530	KUD10_RS02410	MFC_RS00495
OG0000531	KUD10_RS01470	MFC_RS00615
OG0000532	KUD10_RS01685	MFC_RS00940
OG0000533	KUD10_RS00605	MFC_RS02185
OG0000534	KUD10_RS00380	MFC_RS02605
OG0000535	KUD10_RS00045	MFC_RS00190
OG0000536	KUD10_RS03615	MFC_RS00315
OG0000537	KUD10_RS00720	MFC_RS01840
OG0000538	KUD10_RS01120	MFC_RS02215
OG0000539	KUD10_RS00215	MFC_RS02435
OG0000540	KUD10_RS02725	MFC_RS03035
OG0000541	KUD10_RS02800	MFC_RS01170
OG0000542	KUD10_RS00350	MFC_RS02575
OG0000547	KUD10_RS02985	MFC_RS00980
OG0000548	KUD10_RS01655	MFC_RS01285
OG0000549	KUD10_RS03385	MFC_RS01675
OG0000550	KUD10_RS03530	MFC_RS02750
OG0000555	KUD10_RS02990	MFC_RS03340
OG0000589	KUD10_RS02220	MFC_RS03260
OG0000596	KUD10_RS01795	MFC_RS02370
OG0000598	KUD10_RS01800	MFC_RS02365
OG0000599	KUD10_RS01805	MFC_RS02360
OG0000602	KUD10_RS02090	MFC_RS00055
