Orthogroup	MHP_LH_genes	MHP_J_genes
OG0000076	KUD10_RS00355	MHJ_RS00335
OG0000077	KUD10_RS00440	MHJ_RS00425
OG0000078	KUD10_RS01740	MHJ_RS01625
OG0000079	KUD10_RS02640	MHJ_RS02515
OG0000080	KUD10_RS02690	MHJ_RS03800
OG0000081	KUD10_RS00335	MHJ_RS00315
OG0000082	KUD10_RS02460	MHJ_RS03775
OG0000083	KUD10_RS02070	MHJ_RS01975
OG0000084	KUD10_RS02100	MHJ_RS02000
OG0000085	KUD10_RS02105	MHJ_RS02005
OG0000086	KUD10_RS02115	MHJ_RS02015
OG0000087	KUD10_RS02130	MHJ_RS02030
OG0000088	KUD10_RS02135	MHJ_RS02035
OG0000089	KUD10_RS02145	MHJ_RS02045
OG0000090	KUD10_RS00070	MHJ_RS00070
OG0000091	KUD10_RS00055	MHJ_RS00055
OG0000092	KUD10_RS00040	MHJ_RS00040
OG0000093	KUD10_RS00035	MHJ_RS00035
OG0000094	KUD10_RS00030	MHJ_RS00030
OG0000095	KUD10_RS00005	MHJ_RS00005
OG0000096	KUD10_RS03690	MHJ_RS03580
OG0000097	KUD10_RS03670	MHJ_RS03560
OG0000099	KUD10_RS03610	MHJ_RS03505
OG0000100	KUD10_RS03590	MHJ_RS03490
OG0000101	KUD10_RS03585	MHJ_RS03485
OG0000102	KUD10_RS01765	MHJ_RS01650
OG0000103	KUD10_RS02280	MHJ_RS02165
OG0000104	KUD10_RS02285	MHJ_RS02170
OG0000105	KUD10_RS02300	MHJ_RS02185
OG0000106	KUD10_RS02310	MHJ_RS02195
OG0000107	KUD10_RS02320	MHJ_RS02205
OG0000108	KUD10_RS02325	MHJ_RS02210
OG0000109	KUD10_RS02330	MHJ_RS02215
OG0000110	KUD10_RS02450	MHJ_RS02330
OG0000111	KUD10_RS02445	MHJ_RS02325
OG0000112	KUD10_RS02435	MHJ_RS02315
OG0000113	KUD10_RS02415	MHJ_RS02295
OG0000114	KUD10_RS02405	MHJ_RS02285
OG0000115	KUD10_RS02395	MHJ_RS02275
OG0000116	KUD10_RS01370	MHJ_RS01270
OG0000117	KUD10_RS01375	MHJ_RS01275
OG0000118	KUD10_RS01410	MHJ_RS01310
OG0000119	KUD10_RS01415	MHJ_RS01315
OG0000120	KUD10_RS01430	MHJ_RS01330
OG0000121	KUD10_RS01455	MHJ_RS01355
OG0000122	KUD10_RS01460	MHJ_RS01360
OG0000123	KUD10_RS01480	MHJ_RS01380
OG0000124	KUD10_RS01485	MHJ_RS01385
OG0000125	KUD10_RS01490	MHJ_RS01390
OG0000126	KUD10_RS01500	MHJ_RS01400
OG0000127	KUD10_RS01510	MHJ_RS01410
OG0000128	KUD10_RS01525	MHJ_RS01425
OG0000129	KUD10_RS01530	MHJ_RS01430
OG0000130	KUD10_RS01540	MHJ_RS01440
OG0000131	KUD10_RS01570	MHJ_RS01470
OG0000132	KUD10_RS01585	MHJ_RS01485
OG0000133	KUD10_RS00535	MHJ_RS00515
OG0000134	KUD10_RS00540	MHJ_RS00520
OG0000135	KUD10_RS00555	MHJ_RS00535
OG0000136	KUD10_RS00560	MHJ_RS00540
OG0000137	KUD10_RS00600	MHJ_RS00575
OG0000138	KUD10_RS00630	MHJ_RS00605
OG0000139	KUD10_RS00660	MHJ_RS00635
OG0000140	KUD10_RS00665	MHJ_RS00640
OG0000141	KUD10_RS03005	MHJ_RS02910
OG0000142	KUD10_RS03000	MHJ_RS02905
OG0000143	KUD10_RS02980	MHJ_RS02880
OG0000144	KUD10_RS02970	MHJ_RS02870
OG0000145	KUD10_RS02960	MHJ_RS02855
OG0000146	KUD10_RS02950	MHJ_RS02845
OG0000147	KUD10_RS02945	MHJ_RS02840
OG0000148	KUD10_RS02930	MHJ_RS02825
OG0000149	KUD10_RS02920	MHJ_RS02815
OG0000150	KUD10_RS02905	MHJ_RS02800
OG0000151	KUD10_RS02860	MHJ_RS02745
OG0000152	KUD10_RS02855	MHJ_RS02740
OG0000153	KUD10_RS02850	MHJ_RS02735
OG0000154	KUD10_RS02840	MHJ_RS02725
OG0000155	KUD10_RS02805	MHJ_RS02685
OG0000156	KUD10_RS02795	MHJ_RS02675
OG0000157	KUD10_RS02790	MHJ_RS02670
OG0000158	KUD10_RS03710	MHJ_RS04010
OG0000159	KUD10_RS02545	MHJ_RS04030
OG0000160	KUD10_RS02540	MHJ_RS02410
OG0000161	KUD10_RS02535	MHJ_RS02405
OG0000162	KUD10_RS02525	MHJ_RS02395
OG0000163	KUD10_RS02520	MHJ_RS02390
OG0000164	KUD10_RS01670	MHJ_RS01565
OG0000165	KUD10_RS01990	MHJ_RS01890
OG0000166	KUD10_RS02010	MHJ_RS01915
OG0000167	KUD10_RS02025	MHJ_RS01930
OG0000168	KUD10_RS02030	MHJ_RS01935
OG0000169	KUD10_RS03115	MHJ_RS03005
OG0000170	KUD10_RS03130	MHJ_RS03035
OG0000171	KUD10_RS03140	MHJ_RS03045
OG0000172	KUD10_RS03145	MHJ_RS03050
OG0000173	KUD10_RS03150	MHJ_RS03055
OG0000174	KUD10_RS03155	MHJ_RS03060
OG0000175	KUD10_RS03170	MHJ_RS03075
OG0000176	KUD10_RS03215	MHJ_RS03125
OG0000177	KUD10_RS03220	MHJ_RS03130
OG0000178	KUD10_RS03225	MHJ_RS03135
OG0000179	KUD10_RS03235	MHJ_RS03145
OG0000180	KUD10_RS03240	MHJ_RS03150
OG0000181	KUD10_RS03285	MHJ_RS03200
OG0000182	KUD10_RS03295	MHJ_RS03210
OG0000183	KUD10_RS03330	MHJ_RS03245
OG0000184	KUD10_RS03375	MHJ_RS03285
OG0000185	KUD10_RS03360	MHJ_RS03270
OG0000186	KUD10_RS01595	MHJ_RS01495
OG0000187	KUD10_RS01610	MHJ_RS01510
OG0000188	KUD10_RS01620	MHJ_RS01520
OG0000189	KUD10_RS02365	MHJ_RS02250
OG0000190	KUD10_RS02360	MHJ_RS02245
OG0000191	KUD10_RS02340	MHJ_RS02225
OG0000192	KUD10_RS01290	MHJ_RS01190
OG0000193	KUD10_RS01275	MHJ_RS01180
OG0000194	KUD10_RS00685	MHJ_RS00670
OG0000195	KUD10_RS00690	MHJ_RS00675
OG0000196	KUD10_RS00710	MHJ_RS00695
OG0000197	KUD10_RS00715	MHJ_RS00700
OG0000198	KUD10_RS00730	MHJ_RS00715
OG0000199	KUD10_RS00735	MHJ_RS00720
OG0000200	KUD10_RS00750	MHJ_RS00730
OG0000201	KUD10_RS00760	MHJ_RS00740
OG0000202	KUD10_RS00815	MHJ_RS00795
OG0000203	KUD10_RS00820	MHJ_RS00800
OG0000204	KUD10_RS00825	MHJ_RS00805
OG0000205	KUD10_RS00830	MHJ_RS00810
OG0000206	KUD10_RS00850	MHJ_RS00830
OG0000207	KUD10_RS00865	MHJ_RS00845
OG0000208	KUD10_RS00870	MHJ_RS00850
OG0000209	KUD10_RS00875	MHJ_RS00855
OG0000210	KUD10_RS00920	MHJ_RS00900
OG0000211	KUD10_RS00930	MHJ_RS00910
OG0000212	KUD10_RS00940	MHJ_RS00920
OG0000213	KUD10_RS00945	MHJ_RS00925
OG0000214	KUD10_RS00950	MHJ_RS00930
OG0000215	KUD10_RS00955	MHJ_RS00935
OG0000216	KUD10_RS00960	MHJ_RS00940
OG0000217	KUD10_RS00965	MHJ_RS00945
OG0000218	KUD10_RS00975	MHJ_RS00955
OG0000219	KUD10_RS00980	MHJ_RS00960
OG0000220	KUD10_RS00985	MHJ_RS00965
OG0000221	KUD10_RS00990	MHJ_RS00970
OG0000222	KUD10_RS00995	MHJ_RS00975
OG0000223	KUD10_RS01000	MHJ_RS00980
OG0000224	KUD10_RS01010	MHJ_RS00990
OG0000225	KUD10_RS01020	MHJ_RS01000
OG0000226	KUD10_RS01025	MHJ_RS01005
OG0000227	KUD10_RS01030	MHJ_RS01010
OG0000228	KUD10_RS03740	MHJ_RS04015
OG0000229	KUD10_RS01040	MHJ_RS01020
OG0000230	KUD10_RS01045	MHJ_RS01025
OG0000231	KUD10_RS01055	MHJ_RS01035
OG0000232	KUD10_RS01065	MHJ_RS01045
OG0000233	KUD10_RS01090	MHJ_RS01065
OG0000234	KUD10_RS01125	MHJ_RS01100
OG0000235	KUD10_RS01135	MHJ_RS01110
OG0000236	KUD10_RS01140	MHJ_RS01115
OG0000237	KUD10_RS01230	MHJ_RS01120
OG0000238	KUD10_RS01235	MHJ_RS01130
OG0000239	KUD10_RS03015	MHJ_RS02925
OG0000240	KUD10_RS03020	MHJ_RS02930
OG0000241	KUD10_RS03030	MHJ_RS02940
OG0000242	KUD10_RS03035	MHJ_RS02945
OG0000243	KUD10_RS03040	MHJ_RS02950
OG0000244	KUD10_RS03050	MHJ_RS02960
OG0000245	KUD10_RS03055	MHJ_RS02970
OG0000246	KUD10_RS00140	MHJ_RS00115
OG0000247	KUD10_RS00150	MHJ_RS00125
OG0000248	KUD10_RS00160	MHJ_RS00135
OG0000249	KUD10_RS00165	MHJ_RS00140
OG0000250	KUD10_RS00180	MHJ_RS00155
OG0000251	KUD10_RS00210	MHJ_RS00185
OG0000252	KUD10_RS00220	MHJ_RS00195
OG0000253	KUD10_RS00225	MHJ_RS00200
OG0000254	KUD10_RS00235	MHJ_RS00210
OG0000255	KUD10_RS00240	MHJ_RS00220
OG0000256	KUD10_RS00245	MHJ_RS00225
OG0000257	KUD10_RS00270	MHJ_RS00250
OG0000258	KUD10_RS00280	MHJ_RS00260
OG0000259	KUD10_RS00310	MHJ_RS00290
OG0000260	KUD10_RS00320	MHJ_RS00300
OG0000261	KUD10_RS00330	MHJ_RS00310
OG0000262	KUD10_RS00345	MHJ_RS00325
OG0000263	KUD10_RS00360	MHJ_RS00340
OG0000264	KUD10_RS00375	MHJ_RS00355
OG0000265	KUD10_RS00385	MHJ_RS00365
OG0000266	KUD10_RS00400	MHJ_RS00380
OG0000267	KUD10_RS00415	MHJ_RS00395
OG0000268	KUD10_RS00420	MHJ_RS00400
OG0000269	KUD10_RS00435	MHJ_RS00415
OG0000270	KUD10_RS03560	MHJ_RS03460
OG0000271	KUD10_RS03555	MHJ_RS03455
OG0000272	KUD10_RS03550	MHJ_RS03450
OG0000273	KUD10_RS03545	MHJ_RS03445
OG0000274	KUD10_RS03525	MHJ_RS03425
OG0000275	KUD10_RS03520	MHJ_RS03420
OG0000276	KUD10_RS03515	MHJ_RS03415
OG0000277	KUD10_RS03505	MHJ_RS03405
OG0000278	KUD10_RS03500	MHJ_RS03400
OG0000279	KUD10_RS03490	MHJ_RS03390
OG0000280	KUD10_RS03485	MHJ_RS03385
OG0000281	KUD10_RS03480	MHJ_RS03705
OG0000282	KUD10_RS03455	MHJ_RS03360
OG0000283	KUD10_RS03450	MHJ_RS03355
OG0000284	KUD10_RS03445	MHJ_RS03350
OG0000285	KUD10_RS03440	MHJ_RS03345
OG0000286	KUD10_RS02505	MHJ_RS02375
OG0000287	KUD10_RS02600	MHJ_RS02475
OG0000288	KUD10_RS02610	MHJ_RS02485
OG0000289	KUD10_RS02615	MHJ_RS02495
OG0000290	KUD10_RS02730	MHJ_RS02605
OG0000291	KUD10_RS02720	MHJ_RS02595
OG0000292	KUD10_RS02715	MHJ_RS02590
OG0000293	KUD10_RS02710	MHJ_RS02585
OG0000294	KUD10_RS02700	MHJ_RS02570
OG0000295	KUD10_RS02695	MHJ_RS02565
OG0000296	KUD10_RS02650	MHJ_RS02525
OG0000297	KUD10_RS02645	MHJ_RS02520
OG0000298	KUD10_RS00175	MHJ_RS00150
OG0000299	KUD10_RS00195	MHJ_RS00170
OG0000300	KUD10_RS00370	MHJ_RS00350
OG0000301	KUD10_RS00405	MHJ_RS00385
OG0000302	KUD10_RS00410	MHJ_RS00390
OG0000303	KUD10_RS00565	MHJ_RS00545
OG0000304	KUD10_RS01070	MHJ_RS01050
OG0000305	KUD10_RS02955	MHJ_RS02850
OG0000306	KUD10_RS02880	MHJ_RS02775
OG0000307	KUD10_RS02845	MHJ_RS02730
OG0000308	KUD10_RS02750	MHJ_RS02625
OG0000309	KUD10_RS02685	MHJ_RS02555
OG0000310	KUD10_RS02605	MHJ_RS02480
OG0000311	KUD10_RS02565	MHJ_RS02435
OG0000312	KUD10_RS02550	MHJ_RS02420
OG0000313	KUD10_RS01660	MHJ_RS01555
OG0000314	KUD10_RS02005	MHJ_RS01910
OG0000315	KUD10_RS02035	MHJ_RS01940
OG0000316	KUD10_RS02045	MHJ_RS01950
OG0000317	KUD10_RS02140	MHJ_RS02040
OG0000318	KUD10_RS02050	MHJ_RS01955
OG0000319	KUD10_RS02295	MHJ_RS02180
OG0000320	KUD10_RS02425	MHJ_RS02305
OG0000321	KUD10_RS01405	MHJ_RS01305
OG0000322	KUD10_RS01450	MHJ_RS01350
OG0000323	KUD10_RS01580	MHJ_RS01480
OG0000324	KUD10_RS02335	MHJ_RS02220
OG0000325	KUD10_RS00695	MHJ_RS00680
OG0000326	KUD10_RS00790	MHJ_RS00770
OG0000327	KUD10_RS00795	MHJ_RS00775
OG0000328	KUD10_RS00880	MHJ_RS00860
OG0000329	KUD10_RS00900	MHJ_RS00880
OG0000330	KUD10_RS01100	MHJ_RS01075
OG0000331	KUD10_RS03045	MHJ_RS02955
OG0000332	KUD10_RS03180	MHJ_RS03085
OG0000333	KUD10_RS03190	MHJ_RS03095
OG0000334	KUD10_RS03290	MHJ_RS03205
OG0000335	KUD10_RS03300	MHJ_RS03215
OG0000336	KUD10_RS03470	MHJ_RS03375
OG0000337	KUD10_RS03645	MHJ_RS03535
OG0000338	KUD10_RS03685	MHJ_RS03575
OG0000339	KUD10_RS02400	MHJ_RS02280
OG0000340	KUD10_RS01385	MHJ_RS01285
OG0000341	KUD10_RS02355	MHJ_RS02240
OG0000342	KUD10_RS00725	MHJ_RS00710
OG0000343	KUD10_RS03200	MHJ_RS03105
OG0000344	KUD10_RS00580	MHJ_RS00560
OG0000345	KUD10_RS01015	MHJ_RS00995
OG0000346	KUD10_RS03475	MHJ_RS03380
OG0000347	KUD10_RS01475	MHJ_RS01375
OG0000348	KUD10_RS00800	MHJ_RS00780
OG0000349	KUD10_RS03535	MHJ_RS03435
OG0000350	KUD10_RS02835	MHJ_RS02720
OG0000351	KUD10_RS00490	MHJ_RS00475
OG0000352	KUD10_RS01985	MHJ_RS01885
OG0000353	KUD10_RS01445	MHJ_RS01345
OG0000354	KUD10_RS00645	MHJ_RS00620
OG0000355	KUD10_RS01960	MHJ_RS01855
OG0000356	KUD10_RS02040	MHJ_RS01945
OG0000357	KUD10_RS03160	MHJ_RS03065
OG0000358	KUD10_RS03165	MHJ_RS03070
OG0000359	KUD10_RS00770	MHJ_RS00750
OG0000360	KUD10_RS00275	MHJ_RS00255
OG0000361	KUD10_RS00305	MHJ_RS00285
OG0000362	KUD10_RS02625	MHJ_RS02500
OG0000363	KUD10_RS01515	MHJ_RS03840
OG0000364	KUD10_RS01940	MHJ_RS01830
OG0000365	KUD10_RS02085	MHJ_RS01985
OG0000366	KUD10_RS02110	MHJ_RS02010
OG0000367	KUD10_RS02120	MHJ_RS02020
OG0000368	KUD10_RS00060	MHJ_RS00060
OG0000369	KUD10_RS00025	MHJ_RS00025
OG0000370	KUD10_RS00020	MHJ_RS00020
OG0000371	KUD10_RS00015	MHJ_RS00015
OG0000372	KUD10_RS00010	MHJ_RS00010
OG0000373	KUD10_RS03675	MHJ_RS03565
OG0000374	KUD10_RS03665	MHJ_RS03555
OG0000375	KUD10_RS02290	MHJ_RS02175
OG0000376	KUD10_RS02440	MHJ_RS02320
OG0000377	KUD10_RS02430	MHJ_RS02310
OG0000378	KUD10_RS01365	MHJ_RS01265
OG0000379	KUD10_RS01440	MHJ_RS01340
OG0000380	KUD10_RS01465	MHJ_RS01365
OG0000381	KUD10_RS01505	MHJ_RS01405
OG0000382	KUD10_RS01535	MHJ_RS01435
OG0000383	KUD10_RS01575	MHJ_RS01475
OG0000384	KUD10_RS00520	MHJ_RS00500
OG0000385	KUD10_RS00525	MHJ_RS00505
OG0000386	KUD10_RS00545	MHJ_RS00525
OG0000387	KUD10_RS00570	MHJ_RS00550
OG0000388	KUD10_RS00575	MHJ_RS00555
OG0000389	KUD10_RS00625	MHJ_RS00600
OG0000390	KUD10_RS02975	MHJ_RS02875
OG0000391	KUD10_RS02965	MHJ_RS02865
OG0000392	KUD10_RS02940	MHJ_RS02835
OG0000393	KUD10_RS02885	MHJ_RS02780
OG0000394	KUD10_RS02815	MHJ_RS02695
OG0000395	KUD10_RS02810	MHJ_RS02690
OG0000396	KUD10_RS02510	MHJ_RS02380
OG0000397	KUD10_RS01970	MHJ_RS01870
OG0000398	KUD10_RS01975	MHJ_RS01875
OG0000399	KUD10_RS02020	MHJ_RS01925
OG0000400	KUD10_RS03125	MHJ_RS03030
OG0000401	KUD10_RS03185	MHJ_RS03090
OG0000402	KUD10_RS03195	MHJ_RS03100
OG0000403	KUD10_RS03205	MHJ_RS03110
OG0000404	KUD10_RS03230	MHJ_RS03140
OG0000405	KUD10_RS03245	MHJ_RS03155
OG0000406	KUD10_RS03305	MHJ_RS03220
OG0000407	KUD10_RS03310	MHJ_RS03225
OG0000408	KUD10_RS03315	MHJ_RS03230
OG0000409	KUD10_RS03320	MHJ_RS03235
OG0000410	KUD10_RS03380	MHJ_RS03290
OG0000411	KUD10_RS03370	MHJ_RS03280
OG0000412	KUD10_RS03365	MHJ_RS03275
OG0000413	KUD10_RS01590	MHJ_RS01490
OG0000414	KUD10_RS01600	MHJ_RS01500
OG0000415	KUD10_RS01605	MHJ_RS01505
OG0000416	KUD10_RS01615	MHJ_RS01515
OG0000417	KUD10_RS02350	MHJ_RS02235
OG0000418	KUD10_RS02345	MHJ_RS02230
OG0000419	KUD10_RS00705	MHJ_RS00690
OG0000420	KUD10_RS00740	MHJ_RS00725
OG0000421	KUD10_RS00775	MHJ_RS00755
OG0000422	KUD10_RS00785	MHJ_RS00765
OG0000423	KUD10_RS00840	MHJ_RS00820
OG0000424	KUD10_RS00845	MHJ_RS00825
OG0000425	KUD10_RS00855	MHJ_RS00835
OG0000426	KUD10_RS00860	MHJ_RS00840
OG0000427	KUD10_RS00885	MHJ_RS00865
OG0000428	KUD10_RS00910	MHJ_RS00890
OG0000429	KUD10_RS01005	MHJ_RS00985
OG0000430	KUD10_RS01050	MHJ_RS01030
OG0000431	KUD10_RS01060	MHJ_RS01040
OG0000432	KUD10_RS01095	MHJ_RS01070
OG0000433	KUD10_RS01110	MHJ_RS01085
OG0000434	KUD10_RS01115	MHJ_RS01090
OG0000435	KUD10_RS01130	MHJ_RS01105
OG0000436	KUD10_RS01240	MHJ_RS01135
OG0000437	KUD10_RS01250	MHJ_RS01145
OG0000438	KUD10_RS01255	MHJ_RS01150
OG0000439	KUD10_RS01260	MHJ_RS01155
OG0000440	KUD10_RS03025	MHJ_RS02935
OG0000441	KUD10_RS03060	MHJ_RS02975
OG0000442	KUD10_RS00145	MHJ_RS00120
OG0000443	KUD10_RS00190	MHJ_RS00165
OG0000444	KUD10_RS00205	MHJ_RS00180
OG0000445	KUD10_RS00230	MHJ_RS00205
OG0000446	KUD10_RS00255	MHJ_RS00235
OG0000447	KUD10_RS00260	MHJ_RS00240
OG0000448	KUD10_RS00290	MHJ_RS00270
OG0000449	KUD10_RS00315	MHJ_RS00295
OG0000450	KUD10_RS00325	MHJ_RS00305
OG0000451	KUD10_RS00365	MHJ_RS00345
OG0000452	KUD10_RS00390	MHJ_RS00370
OG0000453	KUD10_RS00425	MHJ_RS00405
OG0000454	KUD10_RS01220, KUD10_RS01690	MHJ_RS01590
OG0000455	KUD10_RS03580	MHJ_RS03480
OG0000456	KUD10_RS03460	MHJ_RS03365
OG0000457	KUD10_RS03435	MHJ_RS03340
OG0000458	KUD10_RS02595	MHJ_RS02470
OG0000460	KUD10_RS02630	MHJ_RS02505
OG0000461	KUD10_RS02680	MHJ_RS02550
OG0000462	KUD10_RS02670	MHJ_RS02545
OG0000463	KUD10_RS02665	MHJ_RS02540
OG0000464	KUD10_RS02660	MHJ_RS02535
OG0000465	KUD10_RS02655	MHJ_RS02530
OG0000466	KUD10_RS00395	MHJ_RS00375
OG0000467	KUD10_RS02760	MHJ_RS02640
OG0000468	KUD10_RS02015	MHJ_RS01920
OG0000469	KUD10_RS02075	MHJ_RS01980
OG0000470	KUD10_RS00835	MHJ_RS03785
OG0000471	KUD10_RS00915	MHJ_RS00895
OG0000472	KUD10_RS03390	MHJ_RS03300
OG0000473	KUD10_RS03565	MHJ_RS03465
OG0000474	KUD10_RS03570	MHJ_RS03470
OG0000475	KUD10_RS03575	MHJ_RS03475
OG0000476	KUD10_RS01625	MHJ_RS01525
OG0000477	KUD10_RS02705	MHJ_RS02580
OG0000478	KUD10_RS03510	MHJ_RS03410
OG0000479	KUD10_RS01400	MHJ_RS01300
OG0000480	KUD10_RS02080	MHJ_RS03770
OG0000481	KUD10_RS00810	MHJ_RS00790
OG0000482	KUD10_RS01280	MHJ_RS01185
OG0000483	KUD10_RS02125	MHJ_RS02025
OG0000484	KUD10_RS00200	MHJ_RS00175
OG0000485	KUD10_RS01245	MHJ_RS01140
OG0000486	KUD10_RS02370	MHJ_RS02255
OG0000487	KUD10_RS02055	MHJ_RS01960
OG0000488	KUD10_RS02095	MHJ_RS01995
OG0000489	KUD10_RS00050	MHJ_RS00050
OG0000490	KUD10_RS03680	MHJ_RS03570
OG0000491	KUD10_RS01420	MHJ_RS01320
OG0000492	KUD10_RS01495	MHJ_RS01395
OG0000493	KUD10_RS00585	MHJ_RS00565
OG0000494	KUD10_RS00650	MHJ_RS00625
OG0000495	KUD10_RS02910	MHJ_RS02805
OG0000496	KUD10_RS02900	MHJ_RS02795
OG0000497	KUD10_RS02895	MHJ_RS02790
OG0000498	KUD10_RS02820	MHJ_RS02700
OG0000499	KUD10_RS02785	MHJ_RS02665
OG0000500	KUD10_RS01980	MHJ_RS01880
OG0000501	KUD10_RS03135	MHJ_RS03040
OG0000502	KUD10_RS01270	MHJ_RS01175
OG0000503	KUD10_RS00755	MHJ_RS00735
OG0000504	KUD10_RS00890	MHJ_RS00870
OG0000505	KUD10_RS00925	MHJ_RS00905
OG0000506	KUD10_RS00935	MHJ_RS00915
