Orthogroup	MHP_LH_genes	MHP_TB1_genes
OG0000086	KUD10_RS02115	B5M19_RS02745
OG0000087	KUD10_RS02130	B5M19_RS02730
OG0000088	KUD10_RS02135	B5M19_RS02725
OG0000089	KUD10_RS02145	B5M19_RS03690
OG0000090	KUD10_RS00070	B5M19_RS03775
OG0000091	KUD10_RS00055	B5M19_RS04280
OG0000092	KUD10_RS00040	B5M19_RS01895
OG0000093	KUD10_RS00035	B5M19_RS01900
OG0000094	KUD10_RS00030	B5M19_RS01905
OG0000095	KUD10_RS00005	B5M19_RS04290
OG0000096	KUD10_RS03690	B5M19_RS01935
OG0000097	KUD10_RS03670	B5M19_RS01955
OG0000099	KUD10_RS03610	B5M19_RS00370
OG0000100	KUD10_RS03590	B5M19_RS00385
OG0000101	KUD10_RS03585	B5M19_RS00390
OG0000102	KUD10_RS01765	B5M19_RS02080
OG0000103	KUD10_RS02280	B5M19_RS02960
OG0000104	KUD10_RS02285	B5M19_RS04460
OG0000105	KUD10_RS02300	B5M19_RS02940
OG0000106	KUD10_RS02310	B5M19_RS02930
OG0000107	KUD10_RS02320	B5M19_RS04455
OG0000108	KUD10_RS02325	B5M19_RS04620
OG0000109	KUD10_RS02330	B5M19_RS02910
OG0000110	KUD10_RS02450	B5M19_RS02660
OG0000111	KUD10_RS02445	B5M19_RS02665
OG0000112	KUD10_RS02435	B5M19_RS02675
OG0000113	KUD10_RS02415	B5M19_RS02700
OG0000114	KUD10_RS02405	B5M19_RS02710
OG0000115	KUD10_RS02395	B5M19_RS03610
OG0000116	KUD10_RS01370	B5M19_RS02580
OG0000117	KUD10_RS01375	B5M19_RS02575
OG0000118	KUD10_RS01410	B5M19_RS01235
OG0000119	KUD10_RS01415	B5M19_RS01230
OG0000120	KUD10_RS01430	B5M19_RS01215
OG0000121	KUD10_RS01455	B5M19_RS01190
OG0000122	KUD10_RS01460	B5M19_RS01185
OG0000123	KUD10_RS01480	B5M19_RS01165
OG0000124	KUD10_RS01485	B5M19_RS01160
OG0000125	KUD10_RS01490	B5M19_RS01155
OG0000126	KUD10_RS01500	B5M19_RS01145
OG0000127	KUD10_RS01510	B5M19_RS01135
OG0000128	KUD10_RS01525	B5M19_RS01115
OG0000129	KUD10_RS01530	B5M19_RS01110
OG0000130	KUD10_RS01540	B5M19_RS01100
OG0000131	KUD10_RS01570	B5M19_RS01075
OG0000132	KUD10_RS01585	B5M19_RS01060
OG0000133	KUD10_RS00535	B5M19_RS02380
OG0000134	KUD10_RS00540	B5M19_RS02385
OG0000135	KUD10_RS00555	B5M19_RS02400
OG0000136	KUD10_RS00560	B5M19_RS02405
OG0000137	KUD10_RS00600	B5M19_RS02445
OG0000138	KUD10_RS00630	B5M19_RS03090
OG0000139	KUD10_RS00660	B5M19_RS03070
OG0000140	KUD10_RS00665	B5M19_RS03065
OG0000141	KUD10_RS03005	B5M19_RS01330
OG0000142	KUD10_RS03000	B5M19_RS01335
OG0000143	KUD10_RS02980	B5M19_RS01360
OG0000144	KUD10_RS02970	B5M19_RS01370
OG0000145	KUD10_RS02960	B5M19_RS01380
OG0000146	KUD10_RS02950	B5M19_RS01390
OG0000147	KUD10_RS02945	B5M19_RS01395
OG0000148	KUD10_RS02930	B5M19_RS01410
OG0000149	KUD10_RS02920	B5M19_RS01420
OG0000150	KUD10_RS02905	B5M19_RS04180
OG0000151	KUD10_RS02860	B5M19_RS02540
OG0000152	KUD10_RS02855	B5M19_RS02535
OG0000153	KUD10_RS02850	B5M19_RS02530
OG0000154	KUD10_RS02840	B5M19_RS02520
OG0000155	KUD10_RS02805	B5M19_RS02480
OG0000156	KUD10_RS02795	B5M19_RS00860
OG0000157	KUD10_RS02790	B5M19_RS00865
OG0000158	KUD10_RS03710	B5M19_RS04580
OG0000159	KUD10_RS02545	B5M19_RS02810
OG0000160	KUD10_RS02540	B5M19_RS02815
OG0000161	KUD10_RS02535	B5M19_RS02820
OG0000162	KUD10_RS02525	B5M19_RS02830
OG0000163	KUD10_RS02520	B5M19_RS02835
OG0000164	KUD10_RS01670	B5M19_RS04495
OG0000165	KUD10_RS01990	B5M19_RS00760
OG0000166	KUD10_RS02010	B5M19_RS00785
OG0000167	KUD10_RS02025	B5M19_RS00800
OG0000168	KUD10_RS02030	B5M19_RS00805
OG0000169	KUD10_RS03115	B5M19_RS01450
OG0000170	KUD10_RS03130	B5M19_RS01465
OG0000171	KUD10_RS03140	B5M19_RS01475
OG0000172	KUD10_RS03145	B5M19_RS01480
OG0000173	KUD10_RS03150	B5M19_RS01490
OG0000174	KUD10_RS03155	B5M19_RS01495
OG0000175	KUD10_RS03170	B5M19_RS01510
OG0000176	KUD10_RS03215	B5M19_RS01560
OG0000177	KUD10_RS03220	B5M19_RS01565
OG0000178	KUD10_RS03225	B5M19_RS04200
OG0000179	KUD10_RS03235	B5M19_RS01580
OG0000180	KUD10_RS03240	B5M19_RS01585
OG0000181	KUD10_RS03285	B5M19_RS03045
OG0000182	KUD10_RS03295	B5M19_RS03035
OG0000183	KUD10_RS03330	B5M19_RS03000
OG0000184	KUD10_RS03375	B5M19_RS03105
OG0000185	KUD10_RS03360	B5M19_RS03120
OG0000186	KUD10_RS01595	B5M19_RS03550
OG0000187	KUD10_RS01610	B5M19_RS03535
OG0000188	KUD10_RS01620	B5M19_RS03525
OG0000189	KUD10_RS02365	B5M19_RS03210
OG0000190	KUD10_RS02360	B5M19_RS03215
OG0000191	KUD10_RS02340	B5M19_RS03235
OG0000192	KUD10_RS01290	B5M19_RS03675
OG0000193	KUD10_RS01275	B5M19_RS02360
OG0000194	KUD10_RS00685	B5M19_RS01855
OG0000195	KUD10_RS00690	B5M19_RS01850
OG0000196	KUD10_RS00710	B5M19_RS01830
OG0000197	KUD10_RS00715	B5M19_RS01825
OG0000198	KUD10_RS00730	B5M19_RS01810
OG0000199	KUD10_RS00735	B5M19_RS01805
OG0000200	KUD10_RS00750	B5M19_RS01790
OG0000201	KUD10_RS00760	B5M19_RS01780
OG0000202	KUD10_RS00815	B5M19_RS01725
OG0000203	KUD10_RS00820	B5M19_RS01720
OG0000204	KUD10_RS00825	B5M19_RS01715
OG0000205	KUD10_RS00830	B5M19_RS01710
OG0000206	KUD10_RS00850	B5M19_RS01690
OG0000207	KUD10_RS00865	B5M19_RS01675
OG0000208	KUD10_RS00870	B5M19_RS01670
OG0000209	KUD10_RS00875	B5M19_RS01665
OG0000210	KUD10_RS00920	B5M19_RS01620
OG0000211	KUD10_RS00930	B5M19_RS03415
OG0000212	KUD10_RS00940	B5M19_RS03405
OG0000213	KUD10_RS00945	B5M19_RS03400
OG0000214	KUD10_RS00950	B5M19_RS03395
OG0000215	KUD10_RS00955	B5M19_RS03390
OG0000216	KUD10_RS00960	B5M19_RS03385
OG0000217	KUD10_RS00965	B5M19_RS03380
OG0000218	KUD10_RS00975	B5M19_RS03370
OG0000219	KUD10_RS00980	B5M19_RS03365
OG0000220	KUD10_RS00985	B5M19_RS03360
OG0000221	KUD10_RS00990	B5M19_RS03355
OG0000222	KUD10_RS00995	B5M19_RS03350
OG0000223	KUD10_RS01000	B5M19_RS03345
OG0000224	KUD10_RS01010	B5M19_RS03130
OG0000225	KUD10_RS01020	B5M19_RS03140
OG0000226	KUD10_RS01025	B5M19_RS03145
OG0000227	KUD10_RS01030	B5M19_RS03150
OG0000228	KUD10_RS03740	B5M19_RS04630
OG0000229	KUD10_RS01040	B5M19_RS03160
OG0000230	KUD10_RS01045	B5M19_RS03165
OG0000231	KUD10_RS01055	B5M19_RS03175
OG0000232	KUD10_RS01065	B5M19_RS03185
OG0000233	KUD10_RS01090	B5M19_RS02225
OG0000234	KUD10_RS01125	B5M19_RS04335
OG0000235	KUD10_RS01135	B5M19_RS02175
OG0000236	KUD10_RS01140	B5M19_RS02170
OG0000237	KUD10_RS01230	B5M19_RS02165
OG0000238	KUD10_RS01235	B5M19_RS02155
OG0000239	KUD10_RS03015	B5M19_RS01315
OG0000240	KUD10_RS03020	B5M19_RS01310
OG0000241	KUD10_RS03030	B5M19_RS01300
OG0000242	KUD10_RS03035	B5M19_RS04160
OG0000243	KUD10_RS03040	B5M19_RS01290
OG0000244	KUD10_RS03050	B5M19_RS01280
OG0000245	KUD10_RS03055	B5M19_RS01270
OG0000246	KUD10_RS00140	B5M19_RS00050
OG0000247	KUD10_RS00150	B5M19_RS00060
OG0000248	KUD10_RS00160	B5M19_RS00070
OG0000249	KUD10_RS00165	B5M19_RS00075
OG0000250	KUD10_RS00180	B5M19_RS03880
OG0000251	KUD10_RS00210	B5M19_RS00125
OG0000252	KUD10_RS00220	B5M19_RS00135
OG0000253	KUD10_RS00225	B5M19_RS00140
OG0000254	KUD10_RS00235	B5M19_RS00150
OG0000255	KUD10_RS00240	B5M19_RS00160
OG0000256	KUD10_RS00245	B5M19_RS00165
OG0000257	KUD10_RS00270	B5M19_RS00190
OG0000258	KUD10_RS00280	B5M19_RS04020
OG0000259	KUD10_RS00310	B5M19_RS00230
OG0000260	KUD10_RS00320	B5M19_RS00240
OG0000261	KUD10_RS00330	B5M19_RS00250
OG0000262	KUD10_RS00345	B5M19_RS00270
OG0000263	KUD10_RS00360	B5M19_RS00285
OG0000264	KUD10_RS00375	B5M19_RS04030
OG0000265	KUD10_RS00385	B5M19_RS00315
OG0000266	KUD10_RS00400	B5M19_RS00335
OG0000267	KUD10_RS00415	B5M19_RS04035
OG0000268	KUD10_RS00420	B5M19_RS00355
OG0000269	KUD10_RS00435	B5M19_RS03680
OG0000270	KUD10_RS03560	B5M19_RS00415
OG0000271	KUD10_RS03555	B5M19_RS00420
OG0000272	KUD10_RS03550	B5M19_RS00425
OG0000273	KUD10_RS03545	B5M19_RS00430
OG0000274	KUD10_RS03525	B5M19_RS00450
OG0000275	KUD10_RS03520	B5M19_RS00455
OG0000276	KUD10_RS03515	B5M19_RS00460
OG0000277	KUD10_RS03505	B5M19_RS00470
OG0000278	KUD10_RS03500	B5M19_RS00475
OG0000279	KUD10_RS03490	B5M19_RS00485
OG0000280	KUD10_RS03485	B5M19_RS00490
OG0000281	KUD10_RS03480	B5M19_RS00495
OG0000282	KUD10_RS03455	B5M19_RS00520
OG0000283	KUD10_RS03450	B5M19_RS00525
OG0000284	KUD10_RS03445	B5M19_RS00530
OG0000285	KUD10_RS03440	B5M19_RS00535
OG0000286	KUD10_RS02505	B5M19_RS02850
OG0000287	KUD10_RS02600	B5M19_RS01050
OG0000288	KUD10_RS02610	B5M19_RS01040
OG0000289	KUD10_RS02615	B5M19_RS01035
OG0000290	KUD10_RS02730	B5M19_RS04120
OG0000291	KUD10_RS02720	B5M19_RS00935
OG0000292	KUD10_RS02715	B5M19_RS00940
OG0000293	KUD10_RS02710	B5M19_RS00945
OG0000294	KUD10_RS02700	B5M19_RS00955
OG0000295	KUD10_RS02695	B5M19_RS00960
OG0000296	KUD10_RS02650	B5M19_RS01000
OG0000297	KUD10_RS02645	B5M19_RS01005
OG0000298	KUD10_RS00175	B5M19_RS00085
OG0000299	KUD10_RS00195	B5M19_RS00110
OG0000300	KUD10_RS00370	B5M19_RS00300
OG0000301	KUD10_RS00405	B5M19_RS00340
OG0000302	KUD10_RS00410	B5M19_RS00345
OG0000303	KUD10_RS00565	B5M19_RS02410
OG0000304	KUD10_RS01070	B5M19_RS03190
OG0000305	KUD10_RS02955	B5M19_RS01385
OG0000306	KUD10_RS02880	B5M19_RS02560
OG0000307	KUD10_RS02845	B5M19_RS02525
OG0000308	KUD10_RS02750	B5M19_RS00905
OG0000309	KUD10_RS02685	B5M19_RS00970
OG0000310	KUD10_RS02605	B5M19_RS01045
OG0000311	KUD10_RS02565	B5M19_RS02790
OG0000312	KUD10_RS02550	B5M19_RS02805
OG0000313	KUD10_RS01660	B5M19_RS03300
OG0000314	KUD10_RS02005	B5M19_RS00780
OG0000315	KUD10_RS02035	B5M19_RS00810
OG0000316	KUD10_RS02045	B5M19_RS00820
OG0000317	KUD10_RS02140	B5M19_RS02720
OG0000318	KUD10_RS02050	B5M19_RS00825
OG0000319	KUD10_RS02295	B5M19_RS02945
OG0000320	KUD10_RS02425	B5M19_RS04425
OG0000321	KUD10_RS01405	B5M19_RS01240
OG0000322	KUD10_RS01450	B5M19_RS01195
OG0000323	KUD10_RS01580	B5M19_RS01065
OG0000324	KUD10_RS02335	B5M19_RS03240
OG0000325	KUD10_RS00695	B5M19_RS01845
OG0000326	KUD10_RS00790	B5M19_RS01750
OG0000327	KUD10_RS00795	B5M19_RS01745
OG0000328	KUD10_RS00880	B5M19_RS01660
OG0000329	KUD10_RS00900	B5M19_RS01640
OG0000330	KUD10_RS01100	B5M19_RS02210
OG0000331	KUD10_RS03045	B5M19_RS01285
OG0000332	KUD10_RS03180	B5M19_RS01520
OG0000333	KUD10_RS03190	B5M19_RS01530
OG0000334	KUD10_RS03290	B5M19_RS03040
OG0000335	KUD10_RS03300	B5M19_RS03030
OG0000336	KUD10_RS03470	B5M19_RS00505
OG0000337	KUD10_RS03645	B5M19_RS01985
OG0000338	KUD10_RS03685	B5M19_RS01940
OG0000339	KUD10_RS02400	B5M19_RS03615
OG0000340	KUD10_RS01385	B5M19_RS02565
OG0000341	KUD10_RS02355	B5M19_RS03220
OG0000342	KUD10_RS00725	B5M19_RS01815
OG0000343	KUD10_RS03200	B5M19_RS04195
OG0000344	KUD10_RS00580	B5M19_RS02425
OG0000345	KUD10_RS01015	B5M19_RS03135
OG0000346	KUD10_RS03475	B5M19_RS04590
OG0000347	KUD10_RS01475	B5M19_RS01170
OG0000348	KUD10_RS00800	B5M19_RS01740
OG0000349	KUD10_RS03535	B5M19_RS00440
OG0000350	KUD10_RS02835	B5M19_RS02515
OG0000351	KUD10_RS00490	B5M19_RS03490
OG0000352	KUD10_RS01985	B5M19_RS00755
OG0000353	KUD10_RS01445	B5M19_RS01200
OG0000354	KUD10_RS00645	B5M19_RS03080
OG0000355	KUD10_RS01960	B5M19_RS00725
OG0000356	KUD10_RS02040	B5M19_RS00815
OG0000357	KUD10_RS03160	B5M19_RS01500
OG0000358	KUD10_RS03165	B5M19_RS01505
OG0000359	KUD10_RS00770	B5M19_RS01770
OG0000360	KUD10_RS00275	B5M19_RS00195
OG0000361	KUD10_RS00305	B5M19_RS00225
OG0000362	KUD10_RS02625	B5M19_RS01025
OG0000363	KUD10_RS01515	B5M19_RS01125
OG0000364	KUD10_RS01940	B5M19_RS00700
OG0000365	KUD10_RS02085	B5M19_RS02775
OG0000366	KUD10_RS02110	B5M19_RS02750
OG0000367	KUD10_RS02120	B5M19_RS02740
OG0000368	KUD10_RS00060	B5M19_RS04270
OG0000369	KUD10_RS00025	B5M19_RS01910
OG0000370	KUD10_RS00020	B5M19_RS01915
OG0000371	KUD10_RS00015	B5M19_RS01920
OG0000372	KUD10_RS00010	B5M19_RS01925
OG0000373	KUD10_RS03675	B5M19_RS01950
OG0000374	KUD10_RS03665	B5M19_RS01960
OG0000375	KUD10_RS02290	B5M19_RS02950
OG0000376	KUD10_RS02440	B5M19_RS02670
OG0000377	KUD10_RS02430	B5M19_RS02680
OG0000378	KUD10_RS01365	B5M19_RS02585
OG0000379	KUD10_RS01440	B5M19_RS01205
OG0000380	KUD10_RS01465	B5M19_RS01180
OG0000381	KUD10_RS01505	B5M19_RS01140
OG0000382	KUD10_RS01535	B5M19_RS01105
OG0000383	KUD10_RS01575	B5M19_RS01070
OG0000384	KUD10_RS00520	B5M19_RS02365
OG0000385	KUD10_RS00525	B5M19_RS02370
OG0000386	KUD10_RS00545	B5M19_RS02390
OG0000387	KUD10_RS00570	B5M19_RS02415
OG0000388	KUD10_RS00575	B5M19_RS02420
OG0000389	KUD10_RS00625	B5M19_RS03095
OG0000390	KUD10_RS02975	B5M19_RS01365
OG0000391	KUD10_RS02965	B5M19_RS01375
OG0000392	KUD10_RS02940	B5M19_RS01400
OG0000393	KUD10_RS02885	B5M19_RS03515
OG0000394	KUD10_RS02815	B5M19_RS02490
OG0000395	KUD10_RS02810	B5M19_RS02485
OG0000396	KUD10_RS02510	B5M19_RS02845
OG0000397	KUD10_RS01970	B5M19_RS00740
OG0000398	KUD10_RS01975	B5M19_RS00745
OG0000399	KUD10_RS02020	B5M19_RS00795
OG0000400	KUD10_RS03125	B5M19_RS01460
OG0000401	KUD10_RS03185	B5M19_RS01525
OG0000402	KUD10_RS03195	B5M19_RS01535
OG0000404	KUD10_RS03230	B5M19_RS04205
OG0000405	KUD10_RS03245	B5M19_RS01590
OG0000406	KUD10_RS03305	B5M19_RS03025
OG0000407	KUD10_RS03310	B5M19_RS03020
OG0000408	KUD10_RS03315	B5M19_RS03015
OG0000409	KUD10_RS03320	B5M19_RS03010
OG0000410	KUD10_RS03380	B5M19_RS03100
OG0000411	KUD10_RS03370	B5M19_RS03110
OG0000412	KUD10_RS03365	B5M19_RS03115
OG0000413	KUD10_RS01590	B5M19_RS03555
OG0000414	KUD10_RS01600	B5M19_RS03545
OG0000415	KUD10_RS01605	B5M19_RS03540
OG0000416	KUD10_RS01615	B5M19_RS03530
OG0000417	KUD10_RS02350	B5M19_RS03225
OG0000418	KUD10_RS02345	B5M19_RS03230
OG0000419	KUD10_RS00705	B5M19_RS01835
OG0000420	KUD10_RS00740	B5M19_RS01800
OG0000421	KUD10_RS00775	B5M19_RS01765
OG0000422	KUD10_RS00785	B5M19_RS01755
OG0000423	KUD10_RS00840	B5M19_RS01700
OG0000424	KUD10_RS00845	B5M19_RS01695
OG0000425	KUD10_RS00855	B5M19_RS01685
OG0000426	KUD10_RS00860	B5M19_RS01680
OG0000427	KUD10_RS00885	B5M19_RS01655
OG0000428	KUD10_RS00910	B5M19_RS01630
OG0000430	KUD10_RS01050	B5M19_RS03170
OG0000431	KUD10_RS01060	B5M19_RS03180
OG0000432	KUD10_RS01095	B5M19_RS04345
OG0000433	KUD10_RS01110	B5M19_RS02200
OG0000434	KUD10_RS01115	B5M19_RS02195
OG0000435	KUD10_RS01130	B5M19_RS02180
OG0000436	KUD10_RS01240	B5M19_RS02150
OG0000437	KUD10_RS01250	B5M19_RS02140
OG0000438	KUD10_RS01255	B5M19_RS02135
OG0000439	KUD10_RS01260	B5M19_RS02130
OG0000440	KUD10_RS03025	B5M19_RS04165
OG0000441	KUD10_RS03060	B5M19_RS01265
OG0000442	KUD10_RS00145	B5M19_RS00055
OG0000443	KUD10_RS00190	B5M19_RS00105
OG0000444	KUD10_RS00205	B5M19_RS00120
OG0000445	KUD10_RS00230	B5M19_RS00145
OG0000446	KUD10_RS00255	B5M19_RS00175
OG0000447	KUD10_RS00260	B5M19_RS00180
OG0000448	KUD10_RS00290	B5M19_RS00210
OG0000449	KUD10_RS00315	B5M19_RS00235
OG0000450	KUD10_RS00325	B5M19_RS00245
OG0000451	KUD10_RS00365	B5M19_RS00295
OG0000452	KUD10_RS00390	B5M19_RS00330
OG0000453	KUD10_RS00425	B5M19_RS04040
OG0000454	KUD10_RS01220	B5M19_RS03255
OG0000454	KUD10_RS01690	B5M19_RS04505
OG0000455	KUD10_RS03580	B5M19_RS00395
OG0000456	KUD10_RS03460	B5M19_RS00515
OG0000457	KUD10_RS03435	B5M19_RS00540
OG0000458	KUD10_RS02595	B5M19_RS01055
OG0000459	KUD10_RS02620	B5M19_RS01030
OG0000460	KUD10_RS02630	B5M19_RS01020
OG0000461	KUD10_RS02680	B5M19_RS04125
OG0000462	KUD10_RS02670	B5M19_RS00980
OG0000463	KUD10_RS02665	B5M19_RS04130
OG0000464	KUD10_RS02660	B5M19_RS00990
OG0000465	KUD10_RS02655	B5M19_RS00995
OG0000467	KUD10_RS02760	B5M19_RS00895
OG0000468	KUD10_RS02015	B5M19_RS00790
OG0000469	KUD10_RS02075	B5M19_RS00850
OG0000470	KUD10_RS00835	B5M19_RS03910
OG0000471	KUD10_RS00915	B5M19_RS01625
OG0000472	KUD10_RS03390	B5M19_RS00580
OG0000473	KUD10_RS03565	B5M19_RS00410
OG0000474	KUD10_RS03570	B5M19_RS00405
OG0000475	KUD10_RS03575	B5M19_RS00400
OG0000476	KUD10_RS01625	B5M19_RS03280
OG0000477	KUD10_RS02705	B5M19_RS00950
OG0000478	KUD10_RS03510	B5M19_RS00465
OG0000479	KUD10_RS01400	B5M19_RS04145
OG0000480	KUD10_RS02080	B5M19_RS03895
OG0000481	KUD10_RS00810	B5M19_RS01730
OG0000482	KUD10_RS01280	B5M19_RS03730
OG0000483	KUD10_RS02125	B5M19_RS02735
OG0000484	KUD10_RS00200	B5M19_RS00115
OG0000485	KUD10_RS01245	B5M19_RS02145
OG0000486	KUD10_RS02370	B5M19_RS03205
OG0000487	KUD10_RS02055	B5M19_RS00830
OG0000488	KUD10_RS02095	B5M19_RS02770
OG0000489	KUD10_RS00050	B5M19_RS01885
OG0000490	KUD10_RS03680	B5M19_RS01945
OG0000491	KUD10_RS01420	B5M19_RS01225
OG0000492	KUD10_RS01495	B5M19_RS04140
OG0000493	KUD10_RS00585	B5M19_RS02430
OG0000494	KUD10_RS00650	B5M19_RS03075
OG0000495	KUD10_RS02910	B5M19_RS01430
OG0000497	KUD10_RS02895	B5M19_RS01445
OG0000498	KUD10_RS02820	B5M19_RS02495
OG0000499	KUD10_RS02785	B5M19_RS00870
OG0000500	KUD10_RS01980	B5M19_RS00750
OG0000501	KUD10_RS03135	B5M19_RS01470
OG0000502	KUD10_RS01270	B5M19_RS02350
OG0000503	KUD10_RS00755	B5M19_RS04250
OG0000504	KUD10_RS00890	B5M19_RS01650
OG0000505	KUD10_RS00925	B5M19_RS03420
OG0000506	KUD10_RS00935	B5M19_RS03410
OG0000507	KUD10_RS00970	B5M19_RS03375
OG0000508	KUD10_RS00250	B5M19_RS00170
OG0000509	KUD10_RS00285	B5M19_RS00205
OG0000510	KUD10_RS00295	B5M19_RS00215
OG0000511	KUD10_RS00430	B5M19_RS03685
OG0000512	KUD10_RS02635	B5M19_RS01015
OG0000513	KUD10_RS03495	B5M19_RS00480
