Orthogroup	MHP_LH_genes	MHP_MHP691_genes
OG0000091	KUD10_RS00055	DR087_RS00485
OG0000092	KUD10_RS00040	DR087_RS00470
OG0000093	KUD10_RS00035	DR087_RS00465
OG0000094	KUD10_RS00030	DR087_RS00460
OG0000095	KUD10_RS00005	DR087_RS00435
OG0000096	KUD10_RS03690	DR087_RS00430
OG0000097	KUD10_RS03670	DR087_RS00410
OG0000098	KUD10_RS03660	DR087_RS00400
OG0000099	KUD10_RS03610	DR087_RS00775
OG0000100	KUD10_RS03590	DR087_RS00750
OG0000101	KUD10_RS03585	DR087_RS00745
OG0000102	KUD10_RS01765	DR087_RS02090
OG0000103	KUD10_RS02280	DR087_RS00180
OG0000104	KUD10_RS02285	DR087_RS00185
OG0000105	KUD10_RS02300	DR087_RS00200
OG0000106	KUD10_RS02310	DR087_RS00210
OG0000107	KUD10_RS02320	DR087_RS00220
OG0000108	KUD10_RS02325	DR087_RS00225
OG0000109	KUD10_RS02330	DR087_RS00230
OG0000110	KUD10_RS02450	DR087_RS01695
OG0000111	KUD10_RS02445	DR087_RS01700
OG0000112	KUD10_RS02435	DR087_RS01710
OG0000113	KUD10_RS02415	DR087_RS04610
OG0000114	KUD10_RS02405	DR087_RS01740
OG0000115	KUD10_RS02395	DR087_RS01750
OG0000116	KUD10_RS01370	DR087_RS03310
OG0000117	KUD10_RS01375	DR087_RS03305
OG0000118	KUD10_RS01410	DR087_RS01190
OG0000119	KUD10_RS01415	DR087_RS01185
OG0000120	KUD10_RS01430	DR087_RS01170
OG0000121	KUD10_RS01455	DR087_RS01145
OG0000122	KUD10_RS01460	DR087_RS01140
OG0000123	KUD10_RS01480	DR087_RS01120
OG0000124	KUD10_RS01485	DR087_RS01115
OG0000125	KUD10_RS01490	DR087_RS01110
OG0000126	KUD10_RS01500	DR087_RS01100
OG0000127	KUD10_RS01510	DR087_RS01090
OG0000128	KUD10_RS01525	DR087_RS01075
OG0000129	KUD10_RS01530	DR087_RS01070
OG0000130	KUD10_RS01540	DR087_RS01060
OG0000131	KUD10_RS01570	DR087_RS04535
OG0000132	KUD10_RS01585	DR087_RS04530
OG0000133	KUD10_RS00535	DR087_RS02865
OG0000134	KUD10_RS00540	DR087_RS02870
OG0000135	KUD10_RS00555	DR087_RS02885
OG0000136	KUD10_RS00560	DR087_RS02890
OG0000137	KUD10_RS00600	DR087_RS02930
OG0000138	KUD10_RS00630	DR087_RS03165
OG0000139	KUD10_RS00660	DR087_RS03135
OG0000140	KUD10_RS00665	DR087_RS03130
OG0000141	KUD10_RS03005	DR087_RS01495
OG0000142	KUD10_RS03000	DR087_RS04585
OG0000143	KUD10_RS02980	DR087_RS01465
OG0000144	KUD10_RS02970	DR087_RS01455
OG0000145	KUD10_RS02960	DR087_RS01445
OG0000146	KUD10_RS02950	DR087_RS01435
OG0000147	KUD10_RS02945	DR087_RS01430
OG0000148	KUD10_RS02930	DR087_RS01415
OG0000149	KUD10_RS02920	DR087_RS01405
OG0000150	KUD10_RS02905	DR087_RS01390
OG0000151	KUD10_RS02860	DR087_RS03290
OG0000152	KUD10_RS02855	DR087_RS03285
OG0000153	KUD10_RS02850	DR087_RS03280
OG0000154	KUD10_RS02840	DR087_RS03270
OG0000155	KUD10_RS02805	DR087_RS03545
OG0000156	KUD10_RS02795	DR087_RS01225
OG0000157	KUD10_RS02790	DR087_RS04555
OG0000158	KUD10_RS03710	DR087_RS04560
OG0000159	KUD10_RS02545	DR087_RS04805
OG0000160	KUD10_RS02540	DR087_RS02460
OG0000161	KUD10_RS02535	DR087_RS02455
OG0000162	KUD10_RS02525	DR087_RS02445
OG0000163	KUD10_RS02520	DR087_RS02440
OG0000164	KUD10_RS01670	DR087_RS03205
OG0000165	KUD10_RS01990	DR087_RS01520
OG0000166	KUD10_RS02010	DR087_RS00005
OG0000167	KUD10_RS02025	DR087_RS00020
OG0000168	KUD10_RS02030	DR087_RS00025
OG0000169	KUD10_RS03115	DR087_RS01010
OG0000170	KUD10_RS03130	DR087_RS00990
OG0000171	KUD10_RS03140	DR087_RS00980
OG0000172	KUD10_RS03145	DR087_RS00975
OG0000173	KUD10_RS03150	DR087_RS00970
OG0000174	KUD10_RS03155	DR087_RS00965
OG0000175	KUD10_RS03170	DR087_RS00950
OG0000176	KUD10_RS03215	DR087_RS00900
OG0000177	KUD10_RS03220	DR087_RS00895
OG0000178	KUD10_RS03225	DR087_RS00890
OG0000179	KUD10_RS03235	DR087_RS00880
OG0000180	KUD10_RS03240	DR087_RS00875
OG0000181	KUD10_RS03285	DR087_RS04520
OG0000182	KUD10_RS03295	DR087_RS00820
OG0000183	KUD10_RS03330	DR087_RS00785
OG0000184	KUD10_RS03375	DR087_RS02140
OG0000185	KUD10_RS03360	DR087_RS02155
OG0000186	KUD10_RS01595	DR087_RS04735
OG0000187	KUD10_RS01610	DR087_RS03425
OG0000188	KUD10_RS01620	DR087_RS03415
OG0000189	KUD10_RS02365	DR087_RS04425
OG0000190	KUD10_RS02360	DR087_RS00260
OG0000191	KUD10_RS02340	DR087_RS00240
OG0000192	KUD10_RS01290	DR087_RS02805
OG0000193	KUD10_RS01275	DR087_RS02790
OG0000194	KUD10_RS00685	DR087_RS02185
OG0000195	KUD10_RS00690	DR087_RS02190
OG0000196	KUD10_RS00710	DR087_RS02210
OG0000197	KUD10_RS00715	DR087_RS02215
OG0000198	KUD10_RS00730	DR087_RS02230
OG0000199	KUD10_RS00735	DR087_RS02235
OG0000200	KUD10_RS00750	DR087_RS02250
OG0000201	KUD10_RS00760	DR087_RS02260
OG0000202	KUD10_RS00815	DR087_RS02315
OG0000203	KUD10_RS00820	DR087_RS02320
OG0000204	KUD10_RS00825	DR087_RS04700
OG0000205	KUD10_RS00830	DR087_RS02610
OG0000206	KUD10_RS00850	DR087_RS02590
OG0000207	KUD10_RS00865	DR087_RS02575
OG0000208	KUD10_RS00870	DR087_RS02570
OG0000209	KUD10_RS00875	DR087_RS02565
OG0000210	KUD10_RS00920	DR087_RS02520
OG0000211	KUD10_RS00930	DR087_RS02630
OG0000212	KUD10_RS00940	DR087_RS02640
OG0000213	KUD10_RS00945	DR087_RS02645
OG0000214	KUD10_RS00950	DR087_RS02650
OG0000215	KUD10_RS00955	DR087_RS02655
OG0000216	KUD10_RS00960	DR087_RS02660
OG0000217	KUD10_RS00965	DR087_RS02665
OG0000218	KUD10_RS00975	DR087_RS02675
OG0000219	KUD10_RS00980	DR087_RS02680
OG0000220	KUD10_RS00985	DR087_RS02685
OG0000221	KUD10_RS00990	DR087_RS02690
OG0000222	KUD10_RS00995	DR087_RS02695
OG0000223	KUD10_RS01000	DR087_RS02700
OG0000224	KUD10_RS01010	DR087_RS02710
OG0000225	KUD10_RS01020	DR087_RS02720
OG0000226	KUD10_RS01025	DR087_RS02725
OG0000227	KUD10_RS01030	DR087_RS02730
OG0000228	KUD10_RS03740	DR087_RS04810
OG0000229	KUD10_RS01040	DR087_RS02740
OG0000230	KUD10_RS01045	DR087_RS02745
OG0000231	KUD10_RS01055	DR087_RS02755
OG0000232	KUD10_RS01065	DR087_RS02765
OG0000233	KUD10_RS01090	DR087_RS02010
OG0000234	KUD10_RS01125	DR087_RS01970
OG0000235	KUD10_RS01135	DR087_RS01960
OG0000236	KUD10_RS01140	DR087_RS01955
OG0000237	KUD10_RS01230	DR087_RS01950
OG0000238	KUD10_RS01235	DR087_RS01940
OG0000239	KUD10_RS03015	DR087_RS03355
OG0000240	KUD10_RS03020	DR087_RS03350
OG0000241	KUD10_RS03030	DR087_RS03340
OG0000242	KUD10_RS03035	DR087_RS03365
OG0000243	KUD10_RS03040	DR087_RS03370
OG0000244	KUD10_RS03050	DR087_RS03380
OG0000245	KUD10_RS03055	DR087_RS03390
OG0000246	KUD10_RS00140	DR087_RS00560
OG0000247	KUD10_RS00150	DR087_RS02415
OG0000248	KUD10_RS00160	DR087_RS02405
OG0000249	KUD10_RS00165	DR087_RS02400
OG0000250	KUD10_RS00180	DR087_RS02385
OG0000251	KUD10_RS00210	DR087_RS02350
OG0000252	KUD10_RS00220	DR087_RS02340
OG0000253	KUD10_RS00225	DR087_RS02335
OG0000254	KUD10_RS00235	DR087_RS02325
OG0000255	KUD10_RS00240	DR087_RS01760
OG0000256	KUD10_RS00245	DR087_RS01765
OG0000257	KUD10_RS00270	DR087_RS01790
OG0000258	KUD10_RS00280	DR087_RS01800
OG0000259	KUD10_RS00310	DR087_RS01830
OG0000260	KUD10_RS00320	DR087_RS01840
OG0000261	KUD10_RS00330	DR087_RS04615
OG0000262	KUD10_RS00345	DR087_RS01865
OG0000263	KUD10_RS00360	DR087_RS01880
OG0000264	KUD10_RS00375	DR087_RS01895
OG0000265	KUD10_RS00385	DR087_RS01910
OG0000266	KUD10_RS00400	DR087_RS03015
OG0000267	KUD10_RS00415	DR087_RS03030
OG0000268	KUD10_RS00420	DR087_RS03035
OG0000269	KUD10_RS00435	DR087_RS03050
OG0000270	KUD10_RS03560	DR087_RS04505
OG0000271	KUD10_RS03555	DR087_RS00715
OG0000272	KUD10_RS03550	DR087_RS00710
OG0000273	KUD10_RS03545	DR087_RS00705
OG0000274	KUD10_RS03525	DR087_RS00685
OG0000275	KUD10_RS03520	DR087_RS04495
OG0000276	KUD10_RS03515	DR087_RS00675
OG0000277	KUD10_RS03505	DR087_RS00665
OG0000278	KUD10_RS03500	DR087_RS00660
OG0000279	KUD10_RS03490	DR087_RS00650
OG0000280	KUD10_RS03485	DR087_RS00645
OG0000281	KUD10_RS03480	DR087_RS00640
OG0000282	KUD10_RS03455	DR087_RS04485
OG0000283	KUD10_RS03450	DR087_RS00610
OG0000284	KUD10_RS03445	DR087_RS00605
OG0000285	KUD10_RS03440	DR087_RS04480
OG0000286	KUD10_RS02505	DR087_RS02425
OG0000287	KUD10_RS02600	DR087_RS02940
OG0000288	KUD10_RS02610	DR087_RS02950
OG0000289	KUD10_RS02615	DR087_RS02955
OG0000290	KUD10_RS02730	DR087_RS01285
OG0000291	KUD10_RS02720	DR087_RS01295
OG0000292	KUD10_RS02715	DR087_RS01300
OG0000293	KUD10_RS02710	DR087_RS01305
OG0000294	KUD10_RS02700	DR087_RS01315
OG0000295	KUD10_RS02695	DR087_RS01320
OG0000296	KUD10_RS02650	DR087_RS02990
OG0000297	KUD10_RS02645	DR087_RS02985
OG0000298	KUD10_RS00175	DR087_RS02390
OG0000299	KUD10_RS00195	DR087_RS02365
OG0000300	KUD10_RS00370	DR087_RS01890
OG0000301	KUD10_RS00405	DR087_RS03020
OG0000302	KUD10_RS00410	DR087_RS03025
OG0000303	KUD10_RS00565	DR087_RS02895
OG0000304	KUD10_RS01070	DR087_RS02770
OG0000305	KUD10_RS02955	DR087_RS01440
OG0000306	KUD10_RS02880	DR087_RS01365
OG0000307	KUD10_RS02845	DR087_RS03275
OG0000308	KUD10_RS02750	DR087_RS01265
OG0000309	KUD10_RS02685	DR087_RS01330
OG0000310	KUD10_RS02605	DR087_RS02945
OG0000311	KUD10_RS02565	DR087_RS02485
OG0000312	KUD10_RS02550	DR087_RS02470
OG0000313	KUD10_RS01660	DR087_RS03215
OG0000314	KUD10_RS02005	DR087_RS01500
OG0000315	KUD10_RS02035	DR087_RS00030
OG0000316	KUD10_RS02045	DR087_RS00040
OG0000317	KUD10_RS02140	DR087_RS00130
OG0000318	KUD10_RS02050	DR087_RS04400
OG0000319	KUD10_RS02295	DR087_RS00195
OG0000320	KUD10_RS02425	DR087_RS01720
OG0000321	KUD10_RS01405	DR087_RS01195
OG0000322	KUD10_RS01450	DR087_RS01150
OG0000323	KUD10_RS01580	DR087_RS01020
OG0000324	KUD10_RS02335	DR087_RS00235
OG0000325	KUD10_RS00695	DR087_RS02195
OG0000326	KUD10_RS00790	DR087_RS02290
OG0000327	KUD10_RS00795	DR087_RS02295
OG0000328	KUD10_RS00880	DR087_RS02560
OG0000329	KUD10_RS00900	DR087_RS02540
OG0000330	KUD10_RS01100	DR087_RS01995
OG0000331	KUD10_RS03045	DR087_RS03375
OG0000332	KUD10_RS03180	DR087_RS00940
OG0000333	KUD10_RS03190	DR087_RS00930
OG0000334	KUD10_RS03290	DR087_RS00825
OG0000335	KUD10_RS03300	DR087_RS00815
OG0000336	KUD10_RS03470	DR087_RS04490
OG0000337	KUD10_RS03645	DR087_RS00385
OG0000338	KUD10_RS03685	DR087_RS00425
OG0000339	KUD10_RS02400	DR087_RS01745
OG0000340	KUD10_RS01385	DR087_RS01215
OG0000341	KUD10_RS02355	DR087_RS00255
OG0000342	KUD10_RS00725	DR087_RS02225
OG0000343	KUD10_RS03200	DR087_RS00920
OG0000344	KUD10_RS00580	DR087_RS02910
OG0000345	KUD10_RS01015	DR087_RS02715
OG0000346	KUD10_RS03475	DR087_RS00635
OG0000347	KUD10_RS01475	DR087_RS01125
OG0000348	KUD10_RS00800	DR087_RS02300
OG0000349	KUD10_RS03535	DR087_RS04500
OG0000350	KUD10_RS02835	DR087_RS03265
OG0000351	KUD10_RS00490	DR087_RS03115
OG0000352	KUD10_RS01985	DR087_RS01525
OG0000353	KUD10_RS01445	DR087_RS01155
OG0000354	KUD10_RS00645	DR087_RS03150
OG0000355	KUD10_RS01960	DR087_RS04595
OG0000356	KUD10_RS02040	DR087_RS04395
OG0000357	KUD10_RS03160	DR087_RS04525
OG0000358	KUD10_RS03165	DR087_RS00955
OG0000359	KUD10_RS00770	DR087_RS04665
OG0000360	KUD10_RS00275	DR087_RS01795
OG0000361	KUD10_RS00305	DR087_RS01825
OG0000362	KUD10_RS02625	DR087_RS02965
OG0000363	KUD10_RS01515	DR087_RS04545
OG0000365	KUD10_RS02085	DR087_RS04420
OG0000366	KUD10_RS02110	DR087_RS00100
OG0000367	KUD10_RS02120	DR087_RS00110
OG0000368	KUD10_RS00060	DR087_RS00490
OG0000369	KUD10_RS00025	DR087_RS04455
OG0000371	KUD10_RS00015	DR087_RS04765
OG0000372	KUD10_RS00010	DR087_RS00440
OG0000373	KUD10_RS03675	DR087_RS00415
OG0000374	KUD10_RS03665	DR087_RS00405
OG0000375	KUD10_RS02290	DR087_RS00190
OG0000376	KUD10_RS02440	DR087_RS01705
OG0000377	KUD10_RS02430	DR087_RS01715
OG0000378	KUD10_RS01365	DR087_RS03315
OG0000379	KUD10_RS01440	DR087_RS01160
OG0000380	KUD10_RS01465	DR087_RS01135
OG0000381	KUD10_RS01505	DR087_RS01095
OG0000382	KUD10_RS01535	DR087_RS01065
OG0000383	KUD10_RS01575	DR087_RS01025
OG0000384	KUD10_RS00520	DR087_RS03460
OG0000385	KUD10_RS00525	DR087_RS03455
OG0000386	KUD10_RS00545	DR087_RS02875
OG0000387	KUD10_RS00570	DR087_RS02900
OG0000388	KUD10_RS00575	DR087_RS04720
OG0000389	KUD10_RS00625	DR087_RS03170
OG0000390	KUD10_RS02975	DR087_RS01460
OG0000391	KUD10_RS02965	DR087_RS01450
OG0000392	KUD10_RS02940	DR087_RS01425
OG0000393	KUD10_RS02885	DR087_RS04575
OG0000394	KUD10_RS02815	DR087_RS03560
OG0000395	KUD10_RS02810	DR087_RS03550
OG0000396	KUD10_RS02510	DR087_RS02430
OG0000397	KUD10_RS01970	DR087_RS01540
OG0000398	KUD10_RS01975	DR087_RS01535
OG0000399	KUD10_RS02020	DR087_RS00015
OG0000400	KUD10_RS03125	DR087_RS00995
OG0000401	KUD10_RS03185	DR087_RS00935
OG0000402	KUD10_RS03195	DR087_RS00925
OG0000403	KUD10_RS03205	DR087_RS00915
OG0000404	KUD10_RS03230	DR087_RS00885
OG0000405	KUD10_RS03245	DR087_RS00870
OG0000406	KUD10_RS03305	DR087_RS00810
OG0000407	KUD10_RS03310	DR087_RS04515
OG0000408	KUD10_RS03315	DR087_RS00800
OG0000409	KUD10_RS03320	DR087_RS00795
OG0000410	KUD10_RS03380	DR087_RS02135
OG0000411	KUD10_RS03370	DR087_RS02145
OG0000412	KUD10_RS03365	DR087_RS02150
OG0000413	KUD10_RS01590	DR087_RS00355
OG0000414	KUD10_RS01600	DR087_RS03435
OG0000415	KUD10_RS01605	DR087_RS03430
OG0000416	KUD10_RS01615	DR087_RS03420
OG0000417	KUD10_RS02350	DR087_RS00250
OG0000418	KUD10_RS02345	DR087_RS00245
OG0000419	KUD10_RS00705	DR087_RS02205
OG0000420	KUD10_RS00740	DR087_RS02240
OG0000421	KUD10_RS00775	DR087_RS02275
OG0000422	KUD10_RS00785	DR087_RS02285
OG0000423	KUD10_RS00840	DR087_RS02600
OG0000424	KUD10_RS00845	DR087_RS02595
OG0000425	KUD10_RS00855	DR087_RS02585
OG0000426	KUD10_RS00860	DR087_RS04695
OG0000427	KUD10_RS00885	DR087_RS04690
OG0000428	KUD10_RS00910	DR087_RS02530
OG0000429	KUD10_RS01005	DR087_RS02705
OG0000430	KUD10_RS01050	DR087_RS02750
OG0000431	KUD10_RS01060	DR087_RS02760
OG0000432	KUD10_RS01095	DR087_RS02000
OG0000433	KUD10_RS01110	DR087_RS01985
OG0000434	KUD10_RS01115	DR087_RS01980
OG0000435	KUD10_RS01130	DR087_RS01965
OG0000436	KUD10_RS01240	DR087_RS01935
OG0000437	KUD10_RS01250	DR087_RS01925
OG0000438	KUD10_RS01255	DR087_RS01920
OG0000439	KUD10_RS01260	DR087_RS04620
OG0000440	KUD10_RS03025	DR087_RS03345
OG0000441	KUD10_RS03060	DR087_RS03395
OG0000442	KUD10_RS00145	DR087_RS04770
OG0000443	KUD10_RS00190	DR087_RS02370
OG0000444	KUD10_RS00205	DR087_RS02355
OG0000445	KUD10_RS00230	DR087_RS02330
OG0000446	KUD10_RS00255	DR087_RS01775
OG0000447	KUD10_RS00260	DR087_RS01780
OG0000448	KUD10_RS00290	DR087_RS01810
OG0000449	KUD10_RS00315	DR087_RS01835
OG0000450	KUD10_RS00325	DR087_RS01845
OG0000451	KUD10_RS00365	DR087_RS01885
OG0000452	KUD10_RS00390	DR087_RS03005
OG0000453	KUD10_RS00425	DR087_RS03040
OG0000454	KUD10_RS01220, KUD10_RS01690	DR087_RS02015
OG0000455	KUD10_RS03580	DR087_RS00740
OG0000456	KUD10_RS03460	DR087_RS00620
OG0000457	KUD10_RS03435	DR087_RS00595
OG0000458	KUD10_RS02595	DR087_RS02935
OG0000459	KUD10_RS02620	DR087_RS02960
OG0000460	KUD10_RS02630	DR087_RS02970
OG0000461	KUD10_RS02680	DR087_RS01335
OG0000462	KUD10_RS02670	DR087_RS01340
OG0000463	KUD10_RS02665	DR087_RS01350
OG0000464	KUD10_RS02660	DR087_RS03000
OG0000465	KUD10_RS02655	DR087_RS02995
OG0000466	KUD10_RS00395	DR087_RS03010
OG0000467	KUD10_RS02760	DR087_RS04570
OG0000468	KUD10_RS02015	DR087_RS00010
OG0000469	KUD10_RS02075	DR087_RS00070
OG0000470	KUD10_RS00835	DR087_RS03755
OG0000471	KUD10_RS00915	DR087_RS02525
OG0000472	KUD10_RS03390	DR087_RS02125
OG0000473	KUD10_RS03565	DR087_RS00725
OG0000474	KUD10_RS03570	DR087_RS00730
OG0000475	KUD10_RS03575	DR087_RS00735
OG0000476	KUD10_RS01625	DR087_RS03410
OG0000477	KUD10_RS02705	DR087_RS01310
OG0000478	KUD10_RS03510	DR087_RS00670
OG0000479	KUD10_RS01400	DR087_RS01200
OG0000480	KUD10_RS02080	DR087_RS03730
OG0000481	KUD10_RS00810	DR087_RS02310
OG0000482	KUD10_RS01280	DR087_RS02795
OG0000483	KUD10_RS02125	DR087_RS00115
OG0000484	KUD10_RS00200	DR087_RS04670
OG0000485	KUD10_RS01245	DR087_RS01930
OG0000486	KUD10_RS02370	DR087_RS00270
OG0000487	KUD10_RS02055	DR087_RS04405
OG0000488	KUD10_RS02095	DR087_RS00085
OG0000489	KUD10_RS00050	DR087_RS00480
OG0000490	KUD10_RS03680	DR087_RS00420
OG0000491	KUD10_RS01420	DR087_RS01180
OG0000492	KUD10_RS01495	DR087_RS01105
OG0000493	KUD10_RS00585	DR087_RS02915
OG0000494	KUD10_RS00650	DR087_RS03145
OG0000495	KUD10_RS02910	DR087_RS01395
OG0000496	KUD10_RS02900	DR087_RS01385
OG0000497	KUD10_RS02895	DR087_RS01380
OG0000498	KUD10_RS02820	DR087_RS03245
OG0000499	KUD10_RS02785	DR087_RS01235
OG0000500	KUD10_RS01980	DR087_RS01530
OG0000501	KUD10_RS03135	DR087_RS00985
OG0000502	KUD10_RS01270	DR087_RS02785
OG0000503	KUD10_RS00755	DR087_RS02255
OG0000504	KUD10_RS00890	DR087_RS02550
OG0000505	KUD10_RS00925	DR087_RS02625
OG0000506	KUD10_RS00935	DR087_RS02635
OG0000507	KUD10_RS00970	DR087_RS02670
OG0000508	KUD10_RS00250	DR087_RS01770
OG0000509	KUD10_RS00285	DR087_RS01805
OG0000510	KUD10_RS00295	DR087_RS01815
OG0000511	KUD10_RS00430	DR087_RS03045
OG0000512	KUD10_RS02635	DR087_RS02975
OG0000513	KUD10_RS03495	DR087_RS00655
OG0000514	KUD10_RS02935	DR087_RS01420
OG0000516	KUD10_RS02060	DR087_RS04410
OG0000517	KUD10_RS00065	DR087_RS00495
OG0000518	KUD10_RS03175	DR087_RS00945
OG0000519	KUD10_RS00780	DR087_RS02280
OG0000520	KUD10_RS00905	DR087_RS02535
OG0000521	KUD10_RS00265	DR087_RS01785
OG0000522	KUD10_RS00300	DR087_RS01820
OG0000523	KUD10_RS03430	DR087_RS00590
OG0000524	KUD10_RS02755	DR087_RS01260
OG0000525	KUD10_RS03395	DR087_RS04645
OG0000526	KUD10_RS01895	DR087_RS04050
OG0000528	KUD10_RS02065	DR087_RS04415
OG0000529	KUD10_RS02305	DR087_RS00205
OG0000530	KUD10_RS02410	DR087_RS01735
OG0000531	KUD10_RS01470	DR087_RS01130
OG0000532	KUD10_RS01685	DR087_RS03180
OG0000533	KUD10_RS00605	DR087_RS03510
OG0000534	KUD10_RS00380	DR087_RS01900
OG0000535	KUD10_RS00045	DR087_RS04460
OG0000537	KUD10_RS00720	DR087_RS02220
OG0000538	KUD10_RS01120	DR087_RS01975
OG0000539	KUD10_RS00215	DR087_RS02345
OG0000540	KUD10_RS02725	DR087_RS01290
OG0000541	KUD10_RS02800	DR087_RS01220
OG0000542	KUD10_RS00350	DR087_RS01870
OG0000543	KUD10_RS01215	DR087_RS00345
OG0000544	KUD10_RS01325	DR087_RS04710
OG0000545	KUD10_RS01885	DR087_RS01630
OG0000546	KUD10_RS02865	DR087_RS04305
OG0000547	KUD10_RS02985	DR087_RS01470
