Orthogroup	MHP_LH_genes	MHP_111A_genes
OG0000156	KUD10_RS02795	NB623_RS02875
OG0000157	KUD10_RS02790	NB623_RS02870
OG0000158	KUD10_RS03710	NB623_RS02860
OG0000159	KUD10_RS02545	NB623_RS02615
OG0000160	KUD10_RS02540	NB623_RS02610
OG0000161	KUD10_RS02535	NB623_RS02605
OG0000162	KUD10_RS02525	NB623_RS02595
OG0000163	KUD10_RS02520	NB623_RS02590
OG0000164	KUD10_RS01670	NB623_RS01725
OG0000165	KUD10_RS01990	NB623_RS02155
OG0000166	KUD10_RS02010	NB623_RS02135
OG0000167	KUD10_RS02025	NB623_RS02120
OG0000168	KUD10_RS02030	NB623_RS02115
OG0000169	KUD10_RS03115	NB623_RS03200
OG0000170	KUD10_RS03130	NB623_RS03215
OG0000171	KUD10_RS03140	NB623_RS03225
OG0000172	KUD10_RS03145	NB623_RS03230
OG0000173	KUD10_RS03150	NB623_RS03235
OG0000174	KUD10_RS03155	NB623_RS03240
OG0000175	KUD10_RS03170	NB623_RS03265
OG0000176	KUD10_RS03215	NB623_RS03310
OG0000177	KUD10_RS03220	NB623_RS03315
OG0000178	KUD10_RS03225	NB623_RS03320
OG0000179	KUD10_RS03235	NB623_RS03330
OG0000180	KUD10_RS03240	NB623_RS03335
OG0000181	KUD10_RS03285	NB623_RS03375
OG0000182	KUD10_RS03295	NB623_RS03385
OG0000183	KUD10_RS03330	NB623_RS03420
OG0000184	KUD10_RS03375	NB623_RS03485
OG0000185	KUD10_RS03360	NB623_RS03475
OG0000186	KUD10_RS01595	NB623_RS01645
OG0000187	KUD10_RS01610	NB623_RS01660
OG0000188	KUD10_RS01620	NB623_RS01670
OG0000189	KUD10_RS02365	NB623_RS02445
OG0000190	KUD10_RS02360	NB623_RS02440
OG0000191	KUD10_RS02340	NB623_RS02415
OG0000192	KUD10_RS01290	NB623_RS01340
OG0000193	KUD10_RS01275	NB623_RS01325
OG0000194	KUD10_RS00685	NB623_RS00690
OG0000195	KUD10_RS00690	NB623_RS00695
OG0000196	KUD10_RS00710	NB623_RS00720
OG0000197	KUD10_RS00715	NB623_RS00730
OG0000198	KUD10_RS00730	NB623_RS00740
OG0000199	KUD10_RS00735	NB623_RS00745
OG0000200	KUD10_RS00750	NB623_RS00760
OG0000201	KUD10_RS00760	NB623_RS00770
OG0000202	KUD10_RS00815	NB623_RS00830
OG0000203	KUD10_RS00820	NB623_RS00835
OG0000204	KUD10_RS00825	NB623_RS00840
OG0000205	KUD10_RS00830	NB623_RS00845
OG0000206	KUD10_RS00850	NB623_RS00865
OG0000207	KUD10_RS00865	NB623_RS00880
OG0000208	KUD10_RS00870	NB623_RS00885
OG0000209	KUD10_RS00875	NB623_RS00890
OG0000210	KUD10_RS00920	NB623_RS00935
OG0000211	KUD10_RS00930	NB623_RS01070
OG0000212	KUD10_RS00940	NB623_RS01080
OG0000213	KUD10_RS00945	NB623_RS01085
OG0000214	KUD10_RS00950	NB623_RS01090
OG0000215	KUD10_RS00955	NB623_RS01095
OG0000216	KUD10_RS00960	NB623_RS01100
OG0000217	KUD10_RS00965	NB623_RS01105
OG0000218	KUD10_RS00975	NB623_RS01115
OG0000219	KUD10_RS00980	NB623_RS01120
OG0000220	KUD10_RS00985	NB623_RS01125
OG0000221	KUD10_RS00990	NB623_RS01130
OG0000222	KUD10_RS00995	NB623_RS01135
OG0000223	KUD10_RS01000	NB623_RS01140
OG0000224	KUD10_RS01010	NB623_RS01150
OG0000225	KUD10_RS01020	NB623_RS01160
OG0000226	KUD10_RS01025	NB623_RS01165
OG0000227	KUD10_RS01030	NB623_RS01170
OG0000228	KUD10_RS03740	NB623_RS01175
OG0000229	KUD10_RS01040	NB623_RS01180
OG0000230	KUD10_RS01045	NB623_RS01185
OG0000231	KUD10_RS01055	NB623_RS01195
OG0000232	KUD10_RS01065	NB623_RS01205
OG0000233	KUD10_RS01090	NB623_RS01225
OG0000234	KUD10_RS01125	NB623_RS01260
OG0000235	KUD10_RS01135	NB623_RS01270
OG0000236	KUD10_RS01140	NB623_RS01275
OG0000237	KUD10_RS01230	NB623_RS01280
OG0000238	KUD10_RS01235	NB623_RS01285
OG0000239	KUD10_RS03015	NB623_RS03105
OG0000240	KUD10_RS03020	NB623_RS03110
OG0000241	KUD10_RS03030	NB623_RS03120
OG0000242	KUD10_RS03035	NB623_RS03125
OG0000243	KUD10_RS03040	NB623_RS03130
OG0000244	KUD10_RS03050	NB623_RS03140
OG0000245	KUD10_RS03055	NB623_RS03145
OG0000246	KUD10_RS00140	NB623_RS00130
OG0000247	KUD10_RS00150	NB623_RS00140
OG0000248	KUD10_RS00160	NB623_RS00150
OG0000249	KUD10_RS00165	NB623_RS00155
OG0000250	KUD10_RS00180	NB623_RS00175
OG0000251	KUD10_RS00210	NB623_RS00205
OG0000252	KUD10_RS00220	NB623_RS00210
OG0000253	KUD10_RS00225	NB623_RS00215
OG0000254	KUD10_RS00235	NB623_RS00225
OG0000255	KUD10_RS00240	NB623_RS00230
OG0000256	KUD10_RS00245	NB623_RS00240
OG0000257	KUD10_RS00270	NB623_RS00260
OG0000258	KUD10_RS00280	NB623_RS00270
OG0000259	KUD10_RS00310	NB623_RS00300
OG0000260	KUD10_RS00320	NB623_RS00310
OG0000261	KUD10_RS00330	NB623_RS00320
OG0000262	KUD10_RS00345	NB623_RS00340
OG0000263	KUD10_RS00360	NB623_RS00350
OG0000264	KUD10_RS00375	NB623_RS00365
OG0000265	KUD10_RS00385	NB623_RS00375
OG0000266	KUD10_RS00400	NB623_RS00390
OG0000267	KUD10_RS00415	NB623_RS00405
OG0000268	KUD10_RS00420	NB623_RS00410
OG0000269	KUD10_RS00435	NB623_RS00425
OG0000270	KUD10_RS03560	NB623_RS03685
OG0000271	KUD10_RS03555	NB623_RS03675
OG0000272	KUD10_RS03550	NB623_RS03670
OG0000273	KUD10_RS03545	NB623_RS03665
OG0000274	KUD10_RS03525	NB623_RS03650
OG0000275	KUD10_RS03520	NB623_RS03640
OG0000276	KUD10_RS03515	NB623_RS03635
OG0000277	KUD10_RS03505	NB623_RS03625
OG0000278	KUD10_RS03500	NB623_RS03620
OG0000279	KUD10_RS03490	NB623_RS03615
OG0000280	KUD10_RS03485	NB623_RS03605
OG0000281	KUD10_RS03480	NB623_RS03600
OG0000282	KUD10_RS03455	NB623_RS03570
OG0000283	KUD10_RS03450	NB623_RS03565
OG0000284	KUD10_RS03445	NB623_RS03560
OG0000285	KUD10_RS03440	NB623_RS03555
OG0000286	KUD10_RS02505	NB623_RS02575
OG0000287	KUD10_RS02600	NB623_RS02675
OG0000288	KUD10_RS02610	NB623_RS02685
OG0000289	KUD10_RS02615	NB623_RS02690
OG0000290	KUD10_RS02730	NB623_RS02810
OG0000291	KUD10_RS02720	NB623_RS02800
OG0000292	KUD10_RS02715	NB623_RS02795
OG0000293	KUD10_RS02710	NB623_RS02790
OG0000294	KUD10_RS02700	NB623_RS02780
OG0000295	KUD10_RS02695	NB623_RS02775
OG0000296	KUD10_RS02650	NB623_RS02730
OG0000297	KUD10_RS02645	NB623_RS02725
OG0000298	KUD10_RS00175	NB623_RS00165
OG0000299	KUD10_RS00195	NB623_RS00185
OG0000300	KUD10_RS00370	NB623_RS00360
OG0000301	KUD10_RS00405	NB623_RS00395
OG0000302	KUD10_RS00410	NB623_RS00400
OG0000303	KUD10_RS00565	NB623_RS00555
OG0000304	KUD10_RS01070	NB623_RS01210
OG0000305	KUD10_RS02955	NB623_RS03045
OG0000306	KUD10_RS02880	NB623_RS02970
OG0000307	KUD10_RS02845	NB623_RS02930
OG0000308	KUD10_RS02750	NB623_RS02835
OG0000309	KUD10_RS02685	NB623_RS02765
OG0000310	KUD10_RS02605	NB623_RS02680
OG0000311	KUD10_RS02565	NB623_RS02635
OG0000312	KUD10_RS02550	NB623_RS02620
OG0000313	KUD10_RS01660	NB623_RS01715
OG0000314	KUD10_RS02005	NB623_RS02140
OG0000315	KUD10_RS02035	NB623_RS02110
OG0000316	KUD10_RS02045	NB623_RS02100
OG0000317	KUD10_RS02140	NB623_RS02005
OG0000318	KUD10_RS02050	NB623_RS02095
OG0000319	KUD10_RS02295	NB623_RS02370
OG0000320	KUD10_RS02425	NB623_RS02500
OG0000321	KUD10_RS01405	NB623_RS01450
OG0000322	KUD10_RS01450	NB623_RS01500
OG0000323	KUD10_RS01580	NB623_RS01630
OG0000324	KUD10_RS02335	NB623_RS02410
OG0000325	KUD10_RS00695	NB623_RS00705
OG0000326	KUD10_RS00790	NB623_RS00805
OG0000327	KUD10_RS00795	NB623_RS00810
OG0000328	KUD10_RS00880	NB623_RS00895
OG0000329	KUD10_RS00900	NB623_RS00915
OG0000330	KUD10_RS01100	NB623_RS01235
OG0000331	KUD10_RS03045	NB623_RS03135
OG0000332	KUD10_RS03180	NB623_RS03270
OG0000333	KUD10_RS03190	NB623_RS03280
OG0000334	KUD10_RS03290	NB623_RS03380
OG0000335	KUD10_RS03300	NB623_RS03390
OG0000336	KUD10_RS03470	NB623_RS03590
OG0000337	KUD10_RS03645	NB623_RS03765
OG0000338	KUD10_RS03685	NB623_RS03805
OG0000339	KUD10_RS02400	NB623_RS02475
OG0000340	KUD10_RS01385	NB623_RS01430
OG0000341	KUD10_RS02355	NB623_RS02435
OG0000342	KUD10_RS00725	NB623_RS00735
OG0000343	KUD10_RS03200	NB623_RS03290
OG0000344	KUD10_RS00580	NB623_RS00570
OG0000345	KUD10_RS01015	NB623_RS01155
OG0000346	KUD10_RS03475	NB623_RS03595
OG0000347	KUD10_RS01475	NB623_RS01525
OG0000348	KUD10_RS00800	NB623_RS00815
OG0000349	KUD10_RS03535	NB623_RS03655
OG0000350	KUD10_RS02835	NB623_RS02920
OG0000351	KUD10_RS00490	NB623_RS00480
OG0000352	KUD10_RS01985	NB623_RS02160
OG0000353	KUD10_RS01445	NB623_RS01490
OG0000354	KUD10_RS00645	NB623_RS00630
OG0000355	KUD10_RS01960	NB623_RS02185
OG0000356	KUD10_RS02040	NB623_RS02105
OG0000357	KUD10_RS03160	NB623_RS03245
OG0000358	KUD10_RS03165	NB623_RS03250
OG0000359	KUD10_RS00770	NB623_RS00780
OG0000360	KUD10_RS00275	NB623_RS00265
OG0000361	KUD10_RS00305	NB623_RS00295
OG0000362	KUD10_RS02625	NB623_RS02705
OG0000363	KUD10_RS01515	NB623_RS01565
OG0000365	KUD10_RS02085	NB623_RS02060
OG0000366	KUD10_RS02110	NB623_RS02035
OG0000367	KUD10_RS02120	NB623_RS02025
OG0000368	KUD10_RS00060	NB623_RS00060
OG0000369	KUD10_RS00025	NB623_RS00025
OG0000370	KUD10_RS00020	NB623_RS00020
OG0000371	KUD10_RS00015	NB623_RS00015
OG0000372	KUD10_RS00010	NB623_RS00010
OG0000373	KUD10_RS03675	NB623_RS03795
OG0000374	KUD10_RS03665	NB623_RS03785
OG0000375	KUD10_RS02290	NB623_RS02365
OG0000376	KUD10_RS02440	NB623_RS02515
OG0000377	KUD10_RS02430	NB623_RS02505
OG0000378	KUD10_RS01365	NB623_RS01410
OG0000379	KUD10_RS01440	NB623_RS01485
OG0000380	KUD10_RS01465	NB623_RS01515
OG0000381	KUD10_RS01505	NB623_RS01555
OG0000382	KUD10_RS01535	NB623_RS01585
OG0000383	KUD10_RS01575	NB623_RS01625
OG0000384	KUD10_RS00520	NB623_RS00510
OG0000385	KUD10_RS00525	NB623_RS00520
OG0000386	KUD10_RS00545	NB623_RS00535
OG0000387	KUD10_RS00570	NB623_RS00560
OG0000388	KUD10_RS00575	NB623_RS00565
OG0000389	KUD10_RS00625	NB623_RS00610
OG0000390	KUD10_RS02975	NB623_RS03065
OG0000391	KUD10_RS02965	NB623_RS03055
OG0000392	KUD10_RS02940	NB623_RS03030
OG0000393	KUD10_RS02885	NB623_RS02975
OG0000394	KUD10_RS02815	NB623_RS02895
OG0000395	KUD10_RS02810	NB623_RS02890
OG0000396	KUD10_RS02510	NB623_RS02580
OG0000397	KUD10_RS01970	NB623_RS02175
OG0000398	KUD10_RS01975	NB623_RS02170
OG0000399	KUD10_RS02020	NB623_RS02125
OG0000400	KUD10_RS03125	NB623_RS03210
OG0000401	KUD10_RS03185	NB623_RS03275
OG0000402	KUD10_RS03195	NB623_RS03285
OG0000403	KUD10_RS03205	NB623_RS03295
OG0000404	KUD10_RS03230	NB623_RS03325
OG0000405	KUD10_RS03245	NB623_RS03340
OG0000406	KUD10_RS03305	NB623_RS03395
OG0000407	KUD10_RS03310	NB623_RS03400
OG0000408	KUD10_RS03315	NB623_RS03405
OG0000409	KUD10_RS03320	NB623_RS03410
OG0000410	KUD10_RS03380	NB623_RS03495
OG0000411	KUD10_RS03370	NB623_RS03480
OG0000413	KUD10_RS01590	NB623_RS01640
OG0000414	KUD10_RS01600	NB623_RS01650
OG0000415	KUD10_RS01605	NB623_RS01655
OG0000416	KUD10_RS01615	NB623_RS01665
OG0000417	KUD10_RS02350	NB623_RS02430
OG0000418	KUD10_RS02345	NB623_RS02420
OG0000419	KUD10_RS00705	NB623_RS00715
OG0000420	KUD10_RS00740	NB623_RS00750
OG0000421	KUD10_RS00775	NB623_RS00790
OG0000422	KUD10_RS00785	NB623_RS00800
OG0000423	KUD10_RS00840	NB623_RS00855
OG0000424	KUD10_RS00845	NB623_RS00860
OG0000425	KUD10_RS00855	NB623_RS00870
OG0000426	KUD10_RS00860	NB623_RS00875
OG0000427	KUD10_RS00885	NB623_RS00900
OG0000428	KUD10_RS00910	NB623_RS00925
OG0000429	KUD10_RS01005	NB623_RS01145
OG0000430	KUD10_RS01050	NB623_RS01190
OG0000431	KUD10_RS01060	NB623_RS01200
OG0000432	KUD10_RS01095	NB623_RS01230
OG0000433	KUD10_RS01110	NB623_RS01245
OG0000434	KUD10_RS01115	NB623_RS01255
OG0000435	KUD10_RS01130	NB623_RS01265
OG0000436	KUD10_RS01240	NB623_RS01290
OG0000437	KUD10_RS01250	NB623_RS01300
OG0000438	KUD10_RS01255	NB623_RS01305
OG0000439	KUD10_RS01260	NB623_RS01310
OG0000440	KUD10_RS03025	NB623_RS03115
OG0000441	KUD10_RS03060	NB623_RS03150
OG0000442	KUD10_RS00145	NB623_RS00135
OG0000443	KUD10_RS00190	NB623_RS00180
OG0000444	KUD10_RS00205	NB623_RS00195
OG0000445	KUD10_RS00230	NB623_RS00220
OG0000446	KUD10_RS00255	NB623_RS00245
OG0000447	KUD10_RS00260	NB623_RS00255
OG0000448	KUD10_RS00290	NB623_RS00280
OG0000449	KUD10_RS00315	NB623_RS00305
OG0000450	KUD10_RS00325	NB623_RS00315
OG0000451	KUD10_RS00365	NB623_RS00355
OG0000452	KUD10_RS00390	NB623_RS00380
OG0000453	KUD10_RS00425	NB623_RS00415
OG0000454	KUD10_RS01690	NB623_RS01755
OG0000455	KUD10_RS03580	NB623_RS03705
OG0000456	KUD10_RS03460	NB623_RS03580
OG0000457	KUD10_RS03435	NB623_RS03545
OG0000458	KUD10_RS02595	NB623_RS02670
OG0000459	KUD10_RS02620	NB623_RS02700
OG0000460	KUD10_RS02630	NB623_RS02710
OG0000461	KUD10_RS02680	NB623_RS02755
OG0000462	KUD10_RS02670	NB623_RS02750
OG0000463	KUD10_RS02665	NB623_RS02745
OG0000464	KUD10_RS02660	NB623_RS02740
OG0000465	KUD10_RS02655	NB623_RS02735
OG0000466	KUD10_RS00395	NB623_RS00385
OG0000467	KUD10_RS02760	NB623_RS02845
OG0000468	KUD10_RS02015	NB623_RS02130
OG0000469	KUD10_RS02075	NB623_RS02070
OG0000470	KUD10_RS00835	NB623_RS00850
OG0000471	KUD10_RS00915	NB623_RS00930
OG0000472	KUD10_RS03390	NB623_RS03500
OG0000473	KUD10_RS03565	NB623_RS03690
OG0000474	KUD10_RS03570	NB623_RS03695
OG0000475	KUD10_RS03575	NB623_RS03700
OG0000476	KUD10_RS01625	NB623_RS01675
OG0000477	KUD10_RS02705	NB623_RS02785
OG0000478	KUD10_RS03510	NB623_RS03630
OG0000479	KUD10_RS01400	NB623_RS01445
OG0000480	KUD10_RS02080	NB623_RS02065
OG0000481	KUD10_RS00810	NB623_RS00825
OG0000482	KUD10_RS01280	NB623_RS01330
OG0000483	KUD10_RS02125	NB623_RS02020
OG0000484	KUD10_RS00200	NB623_RS00190
OG0000485	KUD10_RS01245	NB623_RS01295
OG0000486	KUD10_RS02370	NB623_RS02450
OG0000488	KUD10_RS02095	NB623_RS02055
OG0000490	KUD10_RS03680	NB623_RS03800
OG0000493	KUD10_RS00585	NB623_RS00575
OG0000494	KUD10_RS00650	NB623_RS00635
OG0000495	KUD10_RS02910	NB623_RS03005
OG0000496	KUD10_RS02900	NB623_RS02990
OG0000497	KUD10_RS02895	NB623_RS02985
OG0000498	KUD10_RS02820	NB623_RS02900
OG0000499	KUD10_RS02785	NB623_RS02865
OG0000500	KUD10_RS01980	NB623_RS02165
OG0000501	KUD10_RS03135	NB623_RS03220
OG0000502	KUD10_RS01270	NB623_RS01320
OG0000503	KUD10_RS00755	NB623_RS00765
OG0000504	KUD10_RS00890	NB623_RS00905
OG0000505	KUD10_RS00925	NB623_RS01065
OG0000506	KUD10_RS00935	NB623_RS01075
OG0000507	KUD10_RS00970	NB623_RS01110
OG0000509	KUD10_RS00285	NB623_RS00275
OG0000510	KUD10_RS00295	NB623_RS00285
OG0000511	KUD10_RS00430	NB623_RS00420
OG0000512	KUD10_RS02635	NB623_RS02715
OG0000514	KUD10_RS02935	NB623_RS03025
OG0000516	KUD10_RS02060	NB623_RS02090
OG0000517	KUD10_RS00065	NB623_RS00065
OG0000519	KUD10_RS00780	NB623_RS00795
OG0000520	KUD10_RS00905	NB623_RS00920
OG0000522	KUD10_RS00300	NB623_RS00290
OG0000523	KUD10_RS03430	NB623_RS03540
OG0000524	KUD10_RS02755	NB623_RS02840
OG0000525	KUD10_RS03395	NB623_RS03505
OG0000526	KUD10_RS01895	NB623_RS02260
OG0000527	KUD10_RS01830	NB623_RS02315
OG0000528	KUD10_RS02065	NB623_RS02080
OG0000531	KUD10_RS01470	NB623_RS01520
OG0000532	KUD10_RS01685	NB623_RS01745
OG0000533	KUD10_RS00605	NB623_RS00595
OG0000534	KUD10_RS00380	NB623_RS00370
OG0000536	KUD10_RS03615	NB623_RS03735
OG0000540	KUD10_RS02725	NB623_RS02805
OG0000541	KUD10_RS02800	NB623_RS02880
OG0000543	KUD10_RS01215	NB623_RS01930
OG0000544	KUD10_RS01325	NB623_RS01375
OG0000545	KUD10_RS01885	NB623_RS02270
OG0000546	KUD10_RS02865	NB623_RS02950
OG0000552	KUD10_RS03210	NB623_RS03300
OG0000553	KUD10_RS02770	NB623_RS02855
OG0000554	KUD10_RS02455	NB623_RS02535
OG0000555	KUD10_RS02990	NB623_RS03080
OG0000556	KUD10_RS01170	NB623_RS01970
