Orthogroup	MHP_LH_genes	MHP_MHP682_genes
OG0000110	KUD10_RS02450	DR097_RS02155
OG0000111	KUD10_RS02445	DR097_RS02150
OG0000112	KUD10_RS02435	DR097_RS02140
OG0000113	KUD10_RS02415	DR097_RS04705
OG0000114	KUD10_RS02405	DR097_RS02110
OG0000115	KUD10_RS02395	DR097_RS02095
OG0000116	KUD10_RS01370	DR097_RS00320
OG0000117	KUD10_RS01375	DR097_RS00315
OG0000118	KUD10_RS01410	DR097_RS01690
OG0000119	KUD10_RS01415	DR097_RS01685
OG0000120	KUD10_RS01430	DR097_RS01670
OG0000121	KUD10_RS01455	DR097_RS01645
OG0000122	KUD10_RS01460	DR097_RS01640
OG0000123	KUD10_RS01480	DR097_RS01620
OG0000124	KUD10_RS01485	DR097_RS01615
OG0000125	KUD10_RS01490	DR097_RS01610
OG0000126	KUD10_RS01500	DR097_RS01600
OG0000127	KUD10_RS01510	DR097_RS01590
OG0000128	KUD10_RS01525	DR097_RS03460
OG0000129	KUD10_RS01530	DR097_RS03355
OG0000130	KUD10_RS01540	DR097_RS03345
OG0000131	KUD10_RS01570	DR097_RS04820
OG0000132	KUD10_RS01585	DR097_RS04815
OG0000133	KUD10_RS00535	DR097_RS02400
OG0000134	KUD10_RS00540	DR097_RS02395
OG0000135	KUD10_RS00555	DR097_RS02380
OG0000136	KUD10_RS00560	DR097_RS02375
OG0000137	KUD10_RS00600	DR097_RS02345
OG0000138	KUD10_RS00630	DR097_RS03080
OG0000139	KUD10_RS00660	DR097_RS03050
OG0000140	KUD10_RS00665	DR097_RS03045
OG0000141	KUD10_RS03005	DR097_RS01260
OG0000142	KUD10_RS03000	DR097_RS04625
OG0000143	KUD10_RS02980	DR097_RS01230
OG0000144	KUD10_RS02970	DR097_RS01220
OG0000145	KUD10_RS02960	DR097_RS01210
OG0000146	KUD10_RS02950	DR097_RS01200
OG0000147	KUD10_RS02945	DR097_RS01195
OG0000148	KUD10_RS02930	DR097_RS01180
OG0000149	KUD10_RS02920	DR097_RS01170
OG0000150	KUD10_RS02905	DR097_RS01155
OG0000151	KUD10_RS02860	DR097_RS01755
OG0000152	KUD10_RS02855	DR097_RS01760
OG0000153	KUD10_RS02850	DR097_RS01765
OG0000154	KUD10_RS02840	DR097_RS01775
OG0000155	KUD10_RS02805	DR097_RS01820
OG0000156	KUD10_RS02795	DR097_RS01490
OG0000157	KUD10_RS02790	DR097_RS04640
OG0000158	KUD10_RS03710	DR097_RS04645
OG0000159	KUD10_RS02545	DR097_RS04905
OG0000160	KUD10_RS02540	DR097_RS01950
OG0000161	KUD10_RS02535	DR097_RS01955
OG0000162	KUD10_RS02525	DR097_RS01965
OG0000163	KUD10_RS02520	DR097_RS01970
OG0000164	KUD10_RS01670	DR097_RS03125
OG0000165	KUD10_RS01990	DR097_RS00830
OG0000166	KUD10_RS02010	DR097_RS00810
OG0000167	KUD10_RS02025	DR097_RS00795
OG0000168	KUD10_RS02030	DR097_RS00790
OG0000169	KUD10_RS03115	DR097_RS01475
OG0000170	KUD10_RS03130	DR097_RS01460
OG0000171	KUD10_RS03140	DR097_RS01450
OG0000172	KUD10_RS03145	DR097_RS01445
OG0000173	KUD10_RS03150	DR097_RS01440
OG0000174	KUD10_RS03155	DR097_RS01435
OG0000175	KUD10_RS03170	DR097_RS01420
OG0000176	KUD10_RS03215	DR097_RS01370
OG0000177	KUD10_RS03220	DR097_RS01365
OG0000178	KUD10_RS03225	DR097_RS01360
OG0000179	KUD10_RS03235	DR097_RS01350
OG0000180	KUD10_RS03240	DR097_RS01345
OG0000181	KUD10_RS03285	DR097_RS04805
OG0000182	KUD10_RS03295	DR097_RS03155
OG0000183	KUD10_RS03330	DR097_RS03570
OG0000184	KUD10_RS03375	DR097_RS02975
OG0000185	KUD10_RS03360	DR097_RS02990
OG0000186	KUD10_RS01595	DR097_RS04760
OG0000187	KUD10_RS01610	DR097_RS02915
OG0000188	KUD10_RS01620	DR097_RS02905
OG0000189	KUD10_RS02365	DR097_RS04790
OG0000190	KUD10_RS02360	DR097_RS03030
OG0000191	KUD10_RS02340	DR097_RS03010
OG0000192	KUD10_RS01290	DR097_RS00400
OG0000193	KUD10_RS01275	DR097_RS00415
OG0000194	KUD10_RS00685	DR097_RS01130
OG0000195	KUD10_RS00690	DR097_RS01125
OG0000196	KUD10_RS00710	DR097_RS01105
OG0000197	KUD10_RS00715	DR097_RS01100
OG0000198	KUD10_RS00730	DR097_RS01085
OG0000199	KUD10_RS00735	DR097_RS01080
OG0000200	KUD10_RS00750	DR097_RS01065
OG0000201	KUD10_RS00760	DR097_RS01055
OG0000202	KUD10_RS00815	DR097_RS01000
OG0000203	KUD10_RS00820	DR097_RS00995
OG0000204	KUD10_RS00825	DR097_RS00990
OG0000205	KUD10_RS00830	DR097_RS00985
OG0000206	KUD10_RS00850	DR097_RS00965
OG0000207	KUD10_RS00865	DR097_RS00950
OG0000208	KUD10_RS00870	DR097_RS00945
OG0000209	KUD10_RS00875	DR097_RS00940
OG0000210	KUD10_RS00920	DR097_RS04925
OG0000211	KUD10_RS00930	DR097_RS02185
OG0000212	KUD10_RS00940	DR097_RS02195
OG0000213	KUD10_RS00945	DR097_RS02200
OG0000214	KUD10_RS00950	DR097_RS02205
OG0000215	KUD10_RS00955	DR097_RS02210
OG0000216	KUD10_RS00960	DR097_RS02215
OG0000217	KUD10_RS00965	DR097_RS02220
OG0000218	KUD10_RS00975	DR097_RS02230
OG0000219	KUD10_RS00980	DR097_RS02235
OG0000220	KUD10_RS00985	DR097_RS02240
OG0000221	KUD10_RS00990	DR097_RS02245
OG0000222	KUD10_RS00995	DR097_RS02250
OG0000223	KUD10_RS01000	DR097_RS02255
OG0000224	KUD10_RS01010	DR097_RS02265
OG0000225	KUD10_RS01020	DR097_RS02275
OG0000226	KUD10_RS01025	DR097_RS02280
OG0000227	KUD10_RS01030	DR097_RS02285
OG0000228	KUD10_RS03740	DR097_RS04910
OG0000229	KUD10_RS01040	DR097_RS02295
OG0000230	KUD10_RS01045	DR097_RS02300
OG0000231	KUD10_RS01055	DR097_RS02310
OG0000232	KUD10_RS01065	DR097_RS02320
OG0000233	KUD10_RS01090	DR097_RS00535
OG0000234	KUD10_RS01125	DR097_RS00495
OG0000235	KUD10_RS01135	DR097_RS00485
OG0000236	KUD10_RS01140	DR097_RS00480
OG0000237	KUD10_RS01230	DR097_RS00475
OG0000238	KUD10_RS01235	DR097_RS00465
OG0000239	KUD10_RS03015	DR097_RS01270
OG0000240	KUD10_RS03020	DR097_RS01275
OG0000241	KUD10_RS03030	DR097_RS01285
OG0000242	KUD10_RS03035	DR097_RS01290
OG0000243	KUD10_RS03040	DR097_RS01295
OG0000244	KUD10_RS03050	DR097_RS01305
OG0000245	KUD10_RS03055	DR097_RS01315
OG0000246	KUD10_RS00140	DR097_RS00300
OG0000247	KUD10_RS00150	DR097_RS00290
OG0000248	KUD10_RS00160	DR097_RS00280
OG0000249	KUD10_RS00165	DR097_RS00275
OG0000250	KUD10_RS00180	DR097_RS00260
OG0000251	KUD10_RS00210	DR097_RS00225
OG0000252	KUD10_RS00220	DR097_RS00215
OG0000253	KUD10_RS00225	DR097_RS00210
OG0000254	KUD10_RS00235	DR097_RS00200
OG0000255	KUD10_RS00240	DR097_RS00190
OG0000256	KUD10_RS00245	DR097_RS00185
OG0000257	KUD10_RS00270	DR097_RS00160
OG0000258	KUD10_RS00280	DR097_RS00150
OG0000259	KUD10_RS00310	DR097_RS00120
OG0000260	KUD10_RS00320	DR097_RS00110
OG0000261	KUD10_RS00330	DR097_RS04500
OG0000262	KUD10_RS00345	DR097_RS00085
OG0000263	KUD10_RS00360	DR097_RS00070
OG0000264	KUD10_RS00375	DR097_RS00055
OG0000265	KUD10_RS00385	DR097_RS00045
OG0000266	KUD10_RS00400	DR097_RS00030
OG0000267	KUD10_RS00415	DR097_RS00015
OG0000268	KUD10_RS00420	DR097_RS00010
OG0000269	KUD10_RS00435	DR097_RS03285
OG0000270	KUD10_RS03560	DR097_RS04530
OG0000271	KUD10_RS03555	DR097_RS00590
OG0000272	KUD10_RS03550	DR097_RS00595
OG0000273	KUD10_RS03545	DR097_RS00600
OG0000274	KUD10_RS03525	DR097_RS00620
OG0000275	KUD10_RS03520	DR097_RS04540
OG0000276	KUD10_RS03515	DR097_RS00630
OG0000277	KUD10_RS03505	DR097_RS00640
OG0000278	KUD10_RS03500	DR097_RS00645
OG0000279	KUD10_RS03490	DR097_RS00655
OG0000280	KUD10_RS03485	DR097_RS00660
OG0000281	KUD10_RS03480	DR097_RS00665
OG0000282	KUD10_RS03455	DR097_RS04550
OG0000283	KUD10_RS03450	DR097_RS00695
OG0000284	KUD10_RS03445	DR097_RS00700
OG0000285	KUD10_RS03440	DR097_RS04555
OG0000286	KUD10_RS02505	DR097_RS01985
OG0000287	KUD10_RS02600	DR097_RS02680
OG0000288	KUD10_RS02610	DR097_RS02670
OG0000289	KUD10_RS02615	DR097_RS02665
OG0000290	KUD10_RS02730	DR097_RS01555
OG0000291	KUD10_RS02720	DR097_RS01565
OG0000292	KUD10_RS02715	DR097_RS01570
OG0000293	KUD10_RS02710	DR097_RS01575
OG0000294	KUD10_RS02700	DR097_RS03220
OG0000295	KUD10_RS02695	DR097_RS03210
OG0000296	KUD10_RS02650	DR097_RS02630
OG0000297	KUD10_RS02645	DR097_RS02635
OG0000298	KUD10_RS00175	DR097_RS00265
OG0000299	KUD10_RS00195	DR097_RS00240
OG0000300	KUD10_RS00370	DR097_RS00060
OG0000301	KUD10_RS00405	DR097_RS00025
OG0000302	KUD10_RS00410	DR097_RS00020
OG0000303	KUD10_RS00565	DR097_RS02370
OG0000304	KUD10_RS01070	DR097_RS02325
OG0000305	KUD10_RS02955	DR097_RS01205
OG0000306	KUD10_RS02880	DR097_RS01735
OG0000307	KUD10_RS02845	DR097_RS01770
OG0000308	KUD10_RS02750	DR097_RS01535
OG0000309	KUD10_RS02685	DR097_RS03200
OG0000310	KUD10_RS02605	DR097_RS02675
OG0000311	KUD10_RS02565	DR097_RS01925
OG0000312	KUD10_RS02550	DR097_RS01940
OG0000313	KUD10_RS01660	DR097_RS03115
OG0000314	KUD10_RS02005	DR097_RS00815
OG0000315	KUD10_RS02035	DR097_RS00785
OG0000316	KUD10_RS02045	DR097_RS00775
OG0000317	KUD10_RS02140	DR097_RS02840
OG0000318	KUD10_RS02050	DR097_RS04590
OG0000319	KUD10_RS02295	DR097_RS02725
OG0000320	KUD10_RS02425	DR097_RS02130
OG0000321	KUD10_RS01405	DR097_RS01695
OG0000322	KUD10_RS01450	DR097_RS01650
OG0000323	KUD10_RS01580	DR097_RS03305
OG0000324	KUD10_RS02335	DR097_RS03005
OG0000325	KUD10_RS00695	DR097_RS01120
OG0000326	KUD10_RS00790	DR097_RS01025
OG0000327	KUD10_RS00795	DR097_RS01020
OG0000328	KUD10_RS00880	DR097_RS00935
OG0000329	KUD10_RS00900	DR097_RS00915
OG0000330	KUD10_RS01100	DR097_RS00520
OG0000331	KUD10_RS03045	DR097_RS01300
OG0000332	KUD10_RS03180	DR097_RS01410
OG0000333	KUD10_RS03190	DR097_RS01400
OG0000334	KUD10_RS03290	DR097_RS03150
OG0000335	KUD10_RS03300	DR097_RS03160
OG0000336	KUD10_RS03470	DR097_RS04545
OG0000337	KUD10_RS03645	DR097_RS02600
OG0000338	KUD10_RS03685	DR097_RS03540
OG0000339	KUD10_RS02400	DR097_RS02100
OG0000340	KUD10_RS01385	DR097_RS01715
OG0000341	KUD10_RS02355	DR097_RS03025
OG0000342	KUD10_RS00725	DR097_RS01090
OG0000343	KUD10_RS03200	DR097_RS01390
OG0000344	KUD10_RS00580	DR097_RS02355
OG0000345	KUD10_RS01015	DR097_RS02270
OG0000346	KUD10_RS03475	DR097_RS04870
OG0000347	KUD10_RS01475	DR097_RS01625
OG0000348	KUD10_RS00800	DR097_RS01015
OG0000349	KUD10_RS03535	DR097_RS04535
OG0000350	KUD10_RS02835	DR097_RS01780
OG0000351	KUD10_RS00490	DR097_RS03225
OG0000352	KUD10_RS01985	DR097_RS00835
OG0000353	KUD10_RS01445	DR097_RS01655
OG0000354	KUD10_RS00645	DR097_RS03065
OG0000355	KUD10_RS01960	DR097_RS04600
OG0000356	KUD10_RS02040	DR097_RS04595
OG0000357	KUD10_RS03160	DR097_RS04635
OG0000358	KUD10_RS03165	DR097_RS01425
OG0000359	KUD10_RS00770	DR097_RS04620
OG0000360	KUD10_RS00275	DR097_RS00155
OG0000361	KUD10_RS00305	DR097_RS00125
OG0000362	KUD10_RS02625	DR097_RS02655
OG0000363	KUD10_RS01515	DR097_RS04660
OG0000364	KUD10_RS01940	DR097_RS00890
OG0000365	KUD10_RS02085	DR097_RS04570
OG0000366	KUD10_RS02110	DR097_RS02870
OG0000367	KUD10_RS02120	DR097_RS02860
OG0000368	KUD10_RS00060	DR097_RS02770
OG0000369	KUD10_RS00025	DR097_RS04750
OG0000370	KUD10_RS00020	DR097_RS02810
OG0000371	KUD10_RS00015	DR097_RS02815
OG0000372	KUD10_RS00010	DR097_RS02820
OG0000373	KUD10_RS03675	DR097_RS02570
OG0000374	KUD10_RS03665	DR097_RS02580
OG0000375	KUD10_RS02290	DR097_RS02720
OG0000376	KUD10_RS02440	DR097_RS02145
OG0000377	KUD10_RS02430	DR097_RS02135
OG0000378	KUD10_RS01365	DR097_RS00325
OG0000379	KUD10_RS01440	DR097_RS01660
OG0000380	KUD10_RS01465	DR097_RS01635
OG0000381	KUD10_RS01505	DR097_RS01595
OG0000382	KUD10_RS01535	DR097_RS03350
OG0000383	KUD10_RS01575	DR097_RS03310
OG0000384	KUD10_RS00520	DR097_RS03605
OG0000385	KUD10_RS00525	DR097_RS02090
OG0000386	KUD10_RS00545	DR097_RS02390
OG0000387	KUD10_RS00570	DR097_RS02365
OG0000388	KUD10_RS00575	DR097_RS04710
OG0000389	KUD10_RS00625	DR097_RS03085
OG0000390	KUD10_RS02975	DR097_RS01225
OG0000391	KUD10_RS02965	DR097_RS01215
OG0000392	KUD10_RS02940	DR097_RS01190
OG0000393	KUD10_RS02885	DR097_RS04670
OG0000394	KUD10_RS02815	DR097_RS01805
OG0000395	KUD10_RS02810	DR097_RS01810
OG0000396	KUD10_RS02510	DR097_RS01980
OG0000397	KUD10_RS01970	DR097_RS00850
OG0000398	KUD10_RS01975	DR097_RS00845
OG0000399	KUD10_RS02020	DR097_RS00800
OG0000400	KUD10_RS03125	DR097_RS01465
OG0000401	KUD10_RS03185	DR097_RS01405
OG0000402	KUD10_RS03195	DR097_RS01395
OG0000403	KUD10_RS03205	DR097_RS01385
OG0000404	KUD10_RS03230	DR097_RS01355
OG0000405	KUD10_RS03245	DR097_RS01340
OG0000406	KUD10_RS03305	DR097_RS03165
OG0000407	KUD10_RS03310	DR097_RS04810
OG0000408	KUD10_RS03315	DR097_RS03175
OG0000410	KUD10_RS03380	DR097_RS02970
OG0000411	KUD10_RS03370	DR097_RS02980
OG0000412	KUD10_RS03365	DR097_RS02985
OG0000413	KUD10_RS01590	DR097_RS02935
OG0000414	KUD10_RS01600	DR097_RS02925
OG0000415	KUD10_RS01605	DR097_RS02920
OG0000416	KUD10_RS01615	DR097_RS02910
OG0000417	KUD10_RS02350	DR097_RS03020
OG0000418	KUD10_RS02345	DR097_RS03015
OG0000419	KUD10_RS00705	DR097_RS01110
OG0000420	KUD10_RS00740	DR097_RS01075
OG0000421	KUD10_RS00775	DR097_RS01040
OG0000422	KUD10_RS00785	DR097_RS01030
OG0000423	KUD10_RS00840	DR097_RS00975
OG0000424	KUD10_RS00845	DR097_RS00970
OG0000425	KUD10_RS00855	DR097_RS00960
OG0000426	KUD10_RS00860	DR097_RS04615
OG0000427	KUD10_RS00885	DR097_RS04610
OG0000428	KUD10_RS00910	DR097_RS00905
OG0000429	KUD10_RS01005	DR097_RS02260
OG0000430	KUD10_RS01050	DR097_RS02305
OG0000431	KUD10_RS01060	DR097_RS02315
OG0000432	KUD10_RS01095	DR097_RS00525
OG0000433	KUD10_RS01110	DR097_RS00510
OG0000434	KUD10_RS01115	DR097_RS00505
OG0000435	KUD10_RS01130	DR097_RS00490
OG0000436	KUD10_RS01240	DR097_RS00460
OG0000437	KUD10_RS01250	DR097_RS00450
OG0000438	KUD10_RS01255	DR097_RS00445
OG0000439	KUD10_RS01260	DR097_RS04525
OG0000440	KUD10_RS03025	DR097_RS04630
OG0000441	KUD10_RS03060	DR097_RS03780
OG0000442	KUD10_RS00145	DR097_RS00295
OG0000443	KUD10_RS00190	DR097_RS00245
OG0000444	KUD10_RS00205	DR097_RS00230
OG0000445	KUD10_RS00230	DR097_RS00205
OG0000446	KUD10_RS00255	DR097_RS00175
OG0000447	KUD10_RS00260	DR097_RS00170
OG0000448	KUD10_RS00290	DR097_RS00140
OG0000449	KUD10_RS00315	DR097_RS00115
OG0000450	KUD10_RS00325	DR097_RS00105
OG0000451	KUD10_RS00365	DR097_RS00065
OG0000452	KUD10_RS00390	DR097_RS00040
OG0000454	KUD10_RS01220	DR097_RS03090
OG0000455	KUD10_RS03580	DR097_RS00565
OG0000456	KUD10_RS03460	DR097_RS00685
OG0000457	KUD10_RS03435	DR097_RS00710
OG0000458	KUD10_RS02595	DR097_RS02685
OG0000459	KUD10_RS02620	DR097_RS02660
OG0000460	KUD10_RS02630	DR097_RS02650
OG0000461	KUD10_RS02680	DR097_RS03195
OG0000462	KUD10_RS02670	DR097_RS03190
OG0000463	KUD10_RS02665	DR097_RS03185
OG0000464	KUD10_RS02660	DR097_RS02620
OG0000465	KUD10_RS02655	DR097_RS02625
OG0000466	KUD10_RS00395	DR097_RS00035
OG0000467	KUD10_RS02760	DR097_RS04655
OG0000468	KUD10_RS02015	DR097_RS00805
OG0000469	KUD10_RS02075	DR097_RS00745
OG0000470	KUD10_RS00835	DR097_RS03815
OG0000472	KUD10_RS03390	DR097_RS02945
OG0000473	KUD10_RS03565	DR097_RS00580
OG0000474	KUD10_RS03570	DR097_RS00575
OG0000475	KUD10_RS03575	DR097_RS00570
OG0000476	KUD10_RS01625	DR097_RS02900
OG0000477	KUD10_RS02705	DR097_RS03795
OG0000478	KUD10_RS03510	DR097_RS00635
OG0000479	KUD10_RS01400	DR097_RS01700
OG0000480	KUD10_RS02080	DR097_RS03810
OG0000481	KUD10_RS00810	DR097_RS01005
OG0000482	KUD10_RS01280	DR097_RS00410
OG0000483	KUD10_RS02125	DR097_RS02855
OG0000484	KUD10_RS00200	DR097_RS04505
OG0000485	KUD10_RS01245	DR097_RS00455
OG0000486	KUD10_RS02370	DR097_RS03040
OG0000487	KUD10_RS02055	DR097_RS04585
OG0000489	KUD10_RS00050	DR097_RS02780
OG0000490	KUD10_RS03680	DR097_RS03535
OG0000491	KUD10_RS01420	DR097_RS01680
OG0000492	KUD10_RS01495	DR097_RS01605
OG0000493	KUD10_RS00585	DR097_RS02350
OG0000494	KUD10_RS00650	DR097_RS03060
OG0000495	KUD10_RS02910	DR097_RS01160
OG0000496	KUD10_RS02900	DR097_RS01150
OG0000497	KUD10_RS02895	DR097_RS01720
OG0000498	KUD10_RS02820	DR097_RS01800
OG0000499	KUD10_RS02785	DR097_RS01500
OG0000500	KUD10_RS01980	DR097_RS00840
OG0000501	KUD10_RS03135	DR097_RS01455
OG0000502	KUD10_RS01270	DR097_RS00420
OG0000503	KUD10_RS00755	DR097_RS01060
OG0000504	KUD10_RS00890	DR097_RS00925
OG0000505	KUD10_RS00925	DR097_RS02180
OG0000506	KUD10_RS00935	DR097_RS02190
OG0000507	KUD10_RS00970	DR097_RS02225
OG0000508	KUD10_RS00250	DR097_RS00180
OG0000509	KUD10_RS00285	DR097_RS00145
OG0000510	KUD10_RS00295	DR097_RS00135
OG0000511	KUD10_RS00430	DR097_RS03290
OG0000512	KUD10_RS02635	DR097_RS02645
OG0000513	KUD10_RS03495	DR097_RS00650
OG0000514	KUD10_RS02935	DR097_RS01185
OG0000516	KUD10_RS02060	DR097_RS04580
OG0000518	KUD10_RS03175	DR097_RS01415
OG0000519	KUD10_RS00780	DR097_RS01035
OG0000520	KUD10_RS00905	DR097_RS00910
OG0000521	KUD10_RS00265	DR097_RS00165
OG0000522	KUD10_RS00300	DR097_RS00130
OG0000523	KUD10_RS03430	DR097_RS00715
OG0000524	KUD10_RS02755	DR097_RS01530
OG0000525	KUD10_RS03395	DR097_RS04770
OG0000526	KUD10_RS01895	DR097_RS04225, DR097_RS04230
OG0000527	KUD10_RS01830	DR097_RS04395
OG0000528	KUD10_RS02065	DR097_RS04575
OG0000529	KUD10_RS02305	DR097_RS02735
OG0000530	KUD10_RS02410	DR097_RS02115
OG0000531	KUD10_RS01470	DR097_RS01630
OG0000532	KUD10_RS01685	DR097_RS03520
OG0000533	KUD10_RS00605	DR097_RS03360
OG0000534	KUD10_RS00380	DR097_RS00050
OG0000535	KUD10_RS00045	DR097_RS04745
OG0000536	KUD10_RS03615	DR097_RS03385
OG0000537	KUD10_RS00720	DR097_RS01095
OG0000538	KUD10_RS01120	DR097_RS00500
OG0000539	KUD10_RS00215	DR097_RS00220
