	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
MHP_ES2L_genes	510.0	513.0	509.0	507.0	514.0	499.0	508.0	516.0	597.0	602.0	600.0	621.0	603.0	592.0	594.0	606.0	604.0	613.0	610.0	623.0	606.0	618.0	622.0	613.0	0.0	630.0	621.0	615.0	454.0	632.0	610.0	612.0	604.0	615.0	610.0	598.0	620.0	631.0	620.0	619.0	600.0	617.0	612.0	603.0
MHP_ES2_genes	506.0	508.0	505.0	506.0	513.0	495.0	508.0	509.0	592.0	596.0	603.0	616.0	608.0	603.0	601.0	592.0	590.0	611.0	611.0	620.0	604.0	619.0	621.0	602.0	630.0	0.0	625.0	617.0	451.0	621.0	611.0	618.0	601.0	613.0	606.0	591.0	614.0	635.0	614.0	616.0	596.0	618.0	616.0	610.0
MHP_F72C_genes	513.0	520.0	516.0	518.0	514.0	505.0	515.0	522.0	598.0	603.0	614.0	604.0	611.0	595.0	594.0	603.0	599.0	595.0	595.0	605.0	614.0	618.0	625.0	606.0	621.0	625.0	0.0	613.0	441.0	624.0	596.0	619.0	594.0	601.0	596.0	600.0	618.0	609.0	623.0	603.0	584.0	610.0	610.0	616.0
MHP_J_genes	514.0	515.0	517.0	518.0	514.0	505.0	517.0	519.0	581.0	582.0	609.0	610.0	601.0	589.0	588.0	583.0	581.0	625.0	620.0	615.0	601.0	608.0	612.0	604.0	615.0	617.0	613.0	0.0	434.0	613.0	599.0	607.0	599.0	600.0	596.0	607.0	613.0	618.0	610.0	613.0	603.0	619.0	617.0	600.0
MHP_KM014_genes	371.0	374.0	373.0	373.0	387.0	369.0	372.0	376.0	431.0	429.0	436.0	440.0	433.0	435.0	437.0	438.0	444.0	451.0	450.0	441.0	437.0	453.0	450.0	440.0	454.0	451.0	441.0	434.0	0.0	451.0	435.0	434.0	437.0	438.0	437.0	421.0	440.0	442.0	441.0	438.0	443.0	447.0	449.0	436.0
MHP_LH_genes	510.0	518.0	511.0	514.0	518.0	505.0	513.0	518.0	600.0	601.0	604.0	627.0	605.0	596.0	594.0	604.0	600.0	616.0	617.0	629.0	607.0	612.0	622.0	615.0	632.0	621.0	624.0	613.0	451.0	0.0	606.0	617.0	596.0	610.0	598.0	599.0	616.0	621.0	618.0	617.0	603.0	629.0	628.0	607.0
MHP_MHP650_genes	499.0	505.0	500.0	503.0	505.0	494.0	502.0	506.0	590.0	590.0	584.0	602.0	596.0	587.0	588.0	592.0	588.0	606.0	607.0	602.0	590.0	597.0	600.0	599.0	610.0	611.0	596.0	599.0	435.0	606.0	0.0	593.0	595.0	607.0	603.0	579.0	599.0	607.0	601.0	598.0	594.0	600.0	602.0	585.0
MHP_MHP653_genes	514.0	519.0	517.0	518.0	515.0	508.0	516.0	517.0	585.0	586.0	600.0	604.0	610.0	587.0	587.0	588.0	586.0	591.0	592.0	603.0	599.0	604.0	609.0	596.0	612.0	618.0	619.0	607.0	434.0	617.0	593.0	0.0	600.0	616.0	610.0	590.0	621.0	622.0	622.0	600.0	584.0	607.0	604.0	601.0
MHP_MHP679_genes	511.0	512.0	509.0	508.0	523.0	506.0	509.0	516.0	580.0	577.0	590.0	585.0	590.0	565.0	570.0	577.0	574.0	597.0	599.0	589.0	587.0	607.0	605.0	595.0	604.0	601.0	594.0	599.0	437.0	596.0	595.0	600.0	0.0	601.0	607.0	584.0	607.0	616.0	604.0	583.0	595.0	605.0	606.0	579.0
MHP_MHP682_genes	501.0	507.0	505.0	507.0	513.0	497.0	506.0	508.0	582.0	584.0	594.0	611.0	606.0	591.0	591.0	593.0	590.0	599.0	599.0	611.0	598.0	601.0	602.0	601.0	615.0	613.0	601.0	600.0	438.0	610.0	607.0	616.0	601.0	0.0	605.0	587.0	610.0	630.0	607.0	603.0	593.0	604.0	600.0	601.0
MHP_MHP691_genes	508.0	511.0	509.0	510.0	514.0	504.0	511.0	514.0	589.0	590.0	593.0	592.0	602.0	581.0	583.0	588.0	586.0	596.0	598.0	593.0	594.0	604.0	599.0	601.0	610.0	606.0	596.0	596.0	437.0	598.0	603.0	610.0	607.0	605.0	0.0	588.0	604.0	625.0	606.0	589.0	585.0	595.0	594.0	588.0
MHP_MHP694_genes	505.0	507.0	509.0	509.0	508.0	505.0	508.0	510.0	568.0	569.0	585.0	602.0	592.0	563.0	563.0	573.0	573.0	601.0	597.0	604.0	588.0	591.0	605.0	603.0	598.0	591.0	600.0	607.0	421.0	599.0	579.0	590.0	584.0	587.0	588.0	0.0	604.0	596.0	603.0	605.0	590.0	597.0	591.0	596.0
MHP_MHP696_genes	514.0	516.0	514.0	517.0	512.0	508.0	515.0	520.0	587.0	590.0	604.0	601.0	613.0	577.0	578.0	593.0	586.0	594.0	595.0	605.0	617.0	613.0	613.0	598.0	620.0	614.0	618.0	613.0	440.0	616.0	599.0	621.0	607.0	610.0	604.0	604.0	0.0	620.0	656.0	601.0	585.0	612.0	608.0	602.0
MHP_MHP699_genes	512.0	511.0	508.0	510.0	517.0	502.0	514.0	518.0	596.0	598.0	602.0	616.0	611.0	601.0	600.0	596.0	592.0	612.0	609.0	620.0	607.0	616.0	620.0	603.0	631.0	635.0	609.0	618.0	442.0	621.0	607.0	622.0	616.0	630.0	625.0	596.0	620.0	0.0	617.0	609.0	604.0	617.0	615.0	609.0
MHP_MHP709_genes	513.0	517.0	514.0	517.0	512.0	507.0	516.0	519.0	590.0	592.0	601.0	603.0	613.0	580.0	583.0	591.0	588.0	595.0	596.0	604.0	613.0	614.0	610.0	601.0	620.0	614.0	623.0	610.0	441.0	618.0	601.0	622.0	604.0	607.0	606.0	603.0	656.0	617.0	0.0	600.0	583.0	610.0	609.0	599.0
MHP_NCTC10127_genes	502.0	508.0	503.0	505.0	505.0	500.0	506.0	508.0	584.0	582.0	594.0	658.0	596.0	583.0	583.0	584.0	585.0	617.0	612.0	660.0	595.0	603.0	614.0	605.0	619.0	616.0	603.0	613.0	438.0	617.0	598.0	600.0	583.0	603.0	589.0	605.0	601.0	609.0	600.0	0.0	602.0	617.0	612.0	602.0
MHP_TB1_genes	498.0	501.0	500.0	501.0	518.0	498.0	502.0	503.0	574.0	576.0	579.0	607.0	587.0	582.0	577.0	582.0	577.0	654.0	651.0	610.0	579.0	603.0	613.0	600.0	600.0	596.0	584.0	603.0	443.0	603.0	594.0	584.0	595.0	593.0	585.0	590.0	585.0	604.0	583.0	602.0	0.0	610.0	608.0	580.0
MHP_UFV01_genes	511.0	517.0	515.0	516.0	529.0	505.0	513.0	518.0	584.0	585.0	597.0	616.0	604.0	589.0	590.0	589.0	584.0	619.0	619.0	621.0	603.0	624.0	630.0	599.0	617.0	618.0	610.0	619.0	447.0	629.0	600.0	607.0	605.0	604.0	595.0	597.0	612.0	617.0	610.0	617.0	610.0	0.0	670.0	592.0
MHP_UFV02_genes	509.0	516.0	513.0	514.0	527.0	503.0	511.0	516.0	584.0	581.0	591.0	613.0	605.0	587.0	589.0	585.0	582.0	617.0	619.0	615.0	600.0	622.0	626.0	598.0	612.0	616.0	610.0	617.0	449.0	628.0	602.0	604.0	606.0	600.0	594.0	591.0	608.0	615.0	609.0	612.0	608.0	670.0	0.0	591.0
MHP_Ue273_genes	496.0	505.0	499.0	501.0	499.0	498.0	500.0	503.0	579.0	583.0	596.0	603.0	610.0	584.0	586.0	587.0	587.0	595.0	593.0	605.0	597.0	607.0	618.0	607.0	603.0	610.0	616.0	600.0	436.0	607.0	585.0	601.0	579.0	601.0	588.0	596.0	602.0	609.0	599.0	602.0	580.0	592.0	591.0	0.0
