Orthogroup	MHP_J_proteins	MHP_131B_proteins
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_011206037.1	WP_404924420.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_044284599.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_044284600.1	WP_404924421.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011283973.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011283981.1	WP_233688672.1
OG0000234	WP_041361598.1	WP_404924425.1
OG0000235	WP_011283988.1	WP_011290078.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_044284603.1	WP_404924426.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_044284696.1	WP_135619036.1
OG0000242	WP_011284296.1	WP_020835854.1
OG0000243	WP_011206404.1	WP_011290352.1
OG0000244	WP_011206406.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_404924288.1
OG0000246	WP_014579532.1	WP_050195463.1
OG0000247	WP_011283846.1	WP_404924356.1
OG0000248	WP_044284737.1	WP_146379774.1
OG0000249	WP_044284566.1	WP_404924357.1
OG0000250	WP_011283852.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011283860.1	WP_160606527.1
OG0000254	WP_020835510.1	WP_160584767.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_011283870.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011283871.1
OG0000259	WP_237697226.1	WP_404924364.1
OG0000260	WP_011283879.1	WP_404924365.1
OG0000261	WP_044284575.1	WP_404924542.1
OG0000262	WP_044284577.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_404924371.1
OG0000265	WP_044284579.1	WP_404924372.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284580.1	WP_146379477.1
OG0000268	WP_011283894.1	WP_404924385.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_044284732.1	WP_404924335.1
OG0000271	WP_044284731.1	WP_404924334.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_404924333.1
OG0000274	WP_011284370.1	WP_011290423.1
OG0000275	WP_237697223.1	WP_228366117.1
OG0000276	WP_011284368.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_160588182.1
OG0000279	WP_011284364.1	WP_404924043.1
OG0000280	WP_044284728.1	WP_011206490.1
OG0000281	WP_081430772.1	WP_014580012.1
OG0000282	WP_237697221.1	WP_404924327.1
OG0000283	WP_044272663.1	WP_160584907.1
OG0000284	WP_044284727.1	WP_011206484.1
OG0000285	WP_011206483.1	WP_404924325.1
OG0000286	WP_044284668.1	WP_146379652.1
OG0000287	WP_011284216.1	WP_011206297.1
OG0000288	WP_011284218.1	WP_011206299.1
OG0000289	WP_014579889.1	WP_404924251.1
OG0000290	WP_011284237.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_404924261.1
OG0000293	WP_044284680.1	WP_404924260.1
OG0000294	WP_044284678.1	WP_404924259.1
OG0000295	WP_011206315.1	WP_404924258.1
OG0000296	WP_014579894.1	WP_404924255.1
OG0000297	WP_011284225.1	WP_146379664.1
OG0000298	WP_011283851.1	WP_160606533.1
OG0000299	WP_044284568.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_014579943.1	WP_404924282.1
OG0000306	WP_044284691.1	WP_146379686.1
OG0000307	WP_044284687.1	WP_404924275.1
OG0000308	WP_044284683.1	WP_020835811.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_044284673.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_011284125.1	WP_404924483.1
OG0000315	WP_011284130.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_404924204.1
OG0000317	WP_011284149.1	WP_135618864.1
OG0000318	WP_237697247.1	WP_404924205.1
OG0000319	WP_044284655.1	WP_135618880.1
OG0000320	WP_011284189.1	WP_404924234.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_044284744.1	WP_160588227.1
OG0000324	WP_011284172.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_044284592.1	WP_404924411.1
OG0000327	WP_044284593.1	WP_160584807.1
OG0000328	WP_220200845.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011206431.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_014579986.1	WP_020835889.1
OG0000335	WP_044284716.1	WP_041361699.1
OG0000336	WP_011284361.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_050195472.1
OG0000338	WP_011284394.1	WP_014580051.1
OG0000339	WP_011284184.1	WP_404924230.1
OG0000340	WP_011284019.1	WP_146379551.1
OG0000341	WP_011284176.1	WP_011290226.1
OG0000342	WP_318023745.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052259107.1	WP_404924394.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_237697230.1	WP_404924412.1
OG0000349	WP_011284372.1	WP_404924332.1
OG0000350	WP_237697213.1	WP_404924274.1
OG0000351	WP_011283899.1	WP_011206131.1
OG0000352	WP_011284121.1	WP_404924481.1
OG0000353	WP_044284615.1	WP_404924440.1
OG0000354	WP_237697228.1	WP_404924550.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_232039529.1	WP_404924505.1
OG0000357	WP_228366113.1	WP_404924531.1
OG0000358	WP_011284315.1	WP_404924299.1
OG0000359	WP_237697229.1	WP_192894285.1
OG0000360	WP_228365406.1	WP_404924361.1
OG0000361	WP_011283876.1	WP_011289979.1
OG0000362	WP_011284221.1	WP_094521719.1
OG0000363	WP_269076329.1	WP_233417364.1
OG0000364	WP_167513695.1, WP_237697246.1	WP_044272453.1
OG0000365	WP_011284139.1	WP_404924207.1
OG0000366	WP_011206224.1	WP_146379594.1
OG0000367	WP_044284648.1	WP_404924210.1
OG0000368	WP_011283833.1	WP_011289935.1
OG0000369	WP_011205844.1	WP_404924349.1
OG0000370	WP_011205843.1	WP_044272260.1
OG0000371	WP_044284564.1	WP_044272256.1
OG0000372	WP_011283825.1	WP_135618439.1
OG0000373	WP_044284736.1	WP_404924348.1
OG0000374	WP_011284391.1	WP_404924346.1
OG0000375	WP_011284163.1	WP_146379628.1
OG0000376	WP_011284192.1	WP_404924237.1
OG0000377	WP_044284661.1	WP_011206271.1
OG0000378	WP_011284015.1	WP_404924557.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_044284743.1	WP_404924442.1
OG0000381	WP_044284617.1	WP_404924443.1
OG0000382	WP_011284045.1	WP_404924558.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_404924391.1
OG0000385	WP_044284584.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_011283910.1	WP_404924392.1
OG0000388	WP_044284587.1	WP_404924393.1
OG0000389	WP_011283915.1	WP_020835565.1
OG0000390	WP_011284284.1	WP_011290340.1
OG0000391	WP_044284693.1	WP_404924283.1
OG0000392	WP_011284277.1	WP_404924281.1
OG0000393	WP_044284692.1	WP_404924279.1
OG0000394	WP_011284253.1	WP_011284253.1
OG0000395	WP_011284252.1	WP_404924270.1
OG0000396	WP_044284669.1	WP_020835781.1
OG0000397	WP_044284644.1	WP_011206196.1
OG0000398	WP_011284119.1	WP_146379611.1
OG0000399	WP_011284128.1	WP_348571612.1
OG0000400	WP_044284701.1	WP_404924530.1
OG0000401	WP_011206432.1	WP_404924302.1
OG0000402	WP_044284703.1	WP_404924303.1
OG0000403	WP_193325076.1	WP_404924022.1
OG0000405	WP_011284327.1	WP_160585278.1
OG0000406	WP_014579989.1	WP_404924308.1
OG0000407	WP_011284340.1	WP_404924309.1
OG0000408	WP_044284717.1	WP_404924310.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_404924318.1
OG0000411	WP_011284347.1	WP_404924317.1
OG0000412	WP_011284346.1	WP_404924316.1
OG0000413	WP_011284051.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_044284622.1	WP_404924448.1
OG0000416	WP_011284056.1	WP_404924449.1
OG0000417	WP_011284175.1	WP_404924514.1
OG0000418	WP_237697203.1	WP_404924512.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_011206085.1	WP_020835574.1
OG0000421	WP_011283936.1	WP_011290034.1
OG0000422	WP_044284591.1	WP_020835580.1
OG0000423	WP_011206068.1	WP_404924415.1
OG0000424	WP_011283948.1	WP_135618587.1
OG0000425	WP_011283949.1	WP_011283949.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_011283954.1	WP_135618593.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_011283974.1	WP_146379523.1
OG0000431	WP_011283976.1	WP_146379524.1
OG0000432	WP_044284601.1	WP_404924424.1
OG0000433	WP_011206014.1	WP_160606761.1
OG0000434	WP_044284602.1	WP_160606763.1
OG0000435	WP_011283987.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_020835616.1
OG0000438	WP_044284604.1	WP_404924427.1
OG0000439	WP_044284605.1	WP_404924428.1
OG0000440	WP_011284294.1	WP_020835852.1
OG0000441	WP_011284299.1	WP_404924290.1
OG0000442	WP_014579533.1	WP_404924355.1
OG0000443	WP_044284567.1	WP_044272282.1
OG0000444	WP_044284570.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_404924360.1
OG0000446	WP_014579552.1	WP_135618497.1
OG0000447	WP_044284573.1	WP_044284573.1
OG0000448	WP_011283873.1	WP_404924362.1
OG0000449	WP_011283878.1	WP_348571941.1
OG0000450	WP_011205904.1	WP_404924074.1
OG0000451	WP_044284578.1	WP_404924370.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_404924386.1
OG0000454	WP_044284626.1	WP_404924547.1
OG0000455	WP_011284379.1	WP_404924337.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_044284726.1	WP_404924500.1
OG0000458	WP_044284676.1	WP_020835790.1
OG0000460	WP_011206303.1	WP_404924253.1
OG0000461	WP_044284677.1	WP_404924496.1
OG0000462	WP_011284228.1	WP_011206311.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_011284227.1	WP_404924256.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_011284244.1	WP_404924266.1
OG0000468	WP_011284127.1	WP_404924484.1
OG0000469	WP_011284138.1	WP_014579824.1
OG0000470	WP_044284595.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_044272348.1
OG0000472	WP_044284722.1	WP_404924319.1
OG0000474	WP_011284377.1	WP_404924336.1
OG0000475	WP_011284378.1	WP_160584892.1
OG0000476	WP_011284057.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_135618962.1
OG0000478	WP_011284367.1	WP_404924331.1
OG0000479	WP_011284022.1	WP_404924439.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_014579695.1	WP_404924553.1
OG0000483	WP_044284649.1	WP_404924211.1
OG0000484	WP_233688609.1	WP_404924359.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_011284179.1	WP_011290228.1
OG0000488	WP_011284141.1	WP_020835728.1
OG0000490	WP_011206527.1	WP_011206527.1
OG0000491	WP_011205966.1	WP_160588241.1
OG0000492	WP_044284616.1	WP_146379559.1
OG0000493	WP_011206114.1	WP_404924395.1
OG0000494	WP_052259108.1	WP_404924551.1
OG0000496	WP_011284271.1	WP_011206375.1
OG0000497	WP_011206374.1	WP_014579936.1
OG0000498	WP_011206340.1	WP_011290314.1
OG0000499	WP_011284249.1	WP_020835817.1
OG0000500	WP_044284645.1	WP_146379610.1
OG0000501	WP_148166908.1	WP_404924297.1
OG0000504	WP_011283955.1	WP_404924485.1
OG0000505	WP_011283961.1	WP_146379519.1
OG0000506	WP_011283962.1	WP_011206049.1
OG0000507	WP_044284598.1	WP_020835590.1
OG0000508	WP_044284739.1	WP_404924540.1
OG0000509	WP_193325077.1	WP_020835518.1
OG0000510	WP_011283874.1	WP_404924363.1
OG0000511	WP_011283896.1	WP_011206135.1
OG0000512	WP_011284223.1	WP_404924254.1
OG0000513	WP_044284729.1	WP_160585582.1
OG0000514	WP_011284276.1	WP_404924527.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_011284317.1	WP_404924301.1
OG0000520	WP_011283957.1	WP_404924090.1
OG0000521	WP_011283869.1	WP_404924541.1
OG0000523	WP_237697220.1	WP_404924324.1
OG0000524	WP_011284243.1	WP_404924265.1
OG0000525	WP_011284350.1	WP_404924320.1
OG0000526	WP_044284640.1	WP_404924477.1
OG0000526	WP_237697244.1	WP_011290177.1
OG0000527	WP_228365424.1	WP_404924472.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_011284067.1	WP_404924453.1, WP_404924454.1
OG0000533	WP_011206110.1	WP_404924398.1
OG0000538	WP_020835608.1	WP_020835608.1
OG0000540	WP_044284682.1	WP_404924523.1
OG0000544	WP_014579703.1	WP_404924555.1
OG0000545	WP_011284102.1	WP_404924475.1
OG0000546	WP_044284759.1	WP_160585684.1
OG0000551	WP_011206407.1	WP_404924287.1
OG0000552	WP_044284704.1	WP_404924304.1
OG0000553	WP_011284246.1	WP_404924267.1
OG0000554	WP_044284664.1	WP_404924240.1
OG0000555	WP_011206393.1	WP_308507032.1
OG0000557	WP_011205983.1	WP_146379545.1
OG0000558	WP_014579699.1	WP_404924432.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_011290073.1
OG0000562	WP_044284639.1	WP_146379618.1
OG0000563	WP_011284098.1	WP_160587877.1
OG0000564	WP_237697235.1	WP_041361605.1
OG0000565	WP_011284110.1	WP_011290181.1
OG0000566	WP_237697245.1	WP_404924480.1
OG0000567	WP_237697243.1	WP_404924476.1
OG0000568	WP_011206097.1	WP_044272325.1
OG0000569	WP_044284609.1	WP_404924433.1
OG0000570	WP_011284006.1	WP_011290093.1
OG0000571	WP_044284610.1	WP_011205986.1
OG0000572	WP_011284010.1	WP_160585558.1
OG0000573	WP_014579759.1	WP_404924463.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000576	WP_011284072.1	WP_011290145.1
OG0000577	WP_020835810.1	WP_011290300.1
OG0000578	WP_044284684.1	WP_160585659.1
OG0000579	WP_011284096.1	WP_146379623.1
OG0000580	WP_044284760.1	WP_041361798.1
OG0000581	WP_044284636.1	WP_404924473.1
OG0000582	WP_237697233.1	WP_404924434.1
