Orthogroup	MHP_UFV01_protein	MHP_7448_protein
OG0000082	WP_243216163.1	WP_011290204.1
OG0000083	WP_020835728.1	WP_011290206.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_146379594.1	WP_011206224.1
OG0000086	WP_243216167.1	WP_011290207.1
OG0000087	WP_220190703.1	WP_044272474.1
OG0000088	WP_044272477.1	WP_044272477.1
OG0000089	WP_044272480.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011290212.1
OG0000091	WP_094521536.1	WP_011289937.1
OG0000092	WP_011283835.1	WP_011289936.1
OG0000093	WP_011283833.1	WP_011289935.1
OG0000094	WP_243215921.1	WP_020835487.1
OG0000095	WP_243215919.1	WP_011205849.1
OG0000096	WP_160588116.1	WP_020835486.1
OG0000097	WP_243215917.1	WP_011205847.1
OG0000098	WP_243215915.1	WP_044272266.1
OG0000099	WP_233688588.1	WP_020835483.1
OG0000100	WP_243215911.1	WP_044272256.1
OG0000101	WP_243215909.1	WP_011289927.1
OG0000102	WP_243215907.1	WP_044272251.1
OG0000103	WP_243215905.1	WP_011206529.1
OG0000104	WP_243215901.1	WP_044272680.1
OG0000105	WP_243215900.1	WP_228366118.1
OG0000106	WP_243215899.1	WP_011290445.1
OG0000107	WP_243215898.1	WP_011290444.1
OG0000108	WP_094521530.1	WP_011290443.1
OG0000109	WP_011206521.1	WP_044272678.1
OG0000110	WP_160615736.1	WP_011290440.1
OG0000111	WP_243215891.1	WP_011206510.1
OG0000112	WP_243216094.1	WP_044272430.1
OG0000113	WP_243216095.1	WP_011290155.1
OG0000114	WP_243216096.1	WP_011290156.1
OG0000115	WP_243216182.1	WP_011290214.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_135618878.1	WP_011284163.1
OG0000118	WP_135618882.1	WP_011290216.1
OG0000119	WP_011206243.1	WP_044272492.1
OG0000120	WP_243216184.1	WP_011290218.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_179696020.1	WP_011206247.1
OG0000123	WP_243216208.1	WP_011290256.1
OG0000124	WP_243216207.1	WP_044272514.1
OG0000125	WP_243216206.1	WP_011290254.1
OG0000126	WP_243216205.1	WP_228366098.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_020835765.1	WP_014579864.1
OG0000129	WP_243216202.1	WP_044272509.1
OG0000130	WP_014579859.1	WP_011290245.1
OG0000131	WP_179221065.1	WP_011290102.1
OG0000132	WP_243216047.1	WP_011290103.1
OG0000133	WP_243216048.1	WP_044272388.1
OG0000134	WP_243216049.1	WP_044272391.1
OG0000135	WP_233688705.1	WP_020835635.1
OG0000136	WP_228729171.1	WP_011290108.1
OG0000137	WP_179696055.1	WP_011290109.1
OG0000138	WP_011205966.1	WP_020835639.1
OG0000139	WP_243216052.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044272393.1
OG0000142	WP_011284032.1	WP_011290114.1
OG0000143	WP_011205958.1	WP_044272399.1
OG0000144	WP_011205956.1	WP_011205956.1
OG0000145	WP_243216054.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_011290120.1
OG0000149	WP_243216055.1	WP_044272402.1
OG0000150	WP_011290122.1	WP_011290122.1
OG0000151	WP_243216057.1	WP_044272405.1
OG0000152	WP_243216059.1	WP_044272408.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_243216060.1	WP_011290126.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_160588225.1	WP_011284047.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_135618714.1	WP_044272410.1
OG0000159	WP_041361727.1	WP_041361727.1
OG0000160	WP_243215973.1	WP_044272314.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_020835541.1	WP_228366123.1
OG0000163	WP_011290004.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_011290005.1
OG0000166	WP_243215975.1	WP_011290006.1
OG0000167	WP_243215976.1	WP_044272317.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_243215983.1	WP_011290013.1
OG0000170	WP_135618563.1	WP_011290014.1
OG0000171	WP_011206102.1	WP_011290017.1
OG0000172	WP_243215985.1	WP_011206101.1
OG0000173	WP_011284290.1	WP_011290345.1
OG0000174	WP_011284289.1	WP_011290344.1
OG0000175	WP_020835845.1	WP_011290341.1
OG0000176	WP_135619026.1	WP_011206391.1
OG0000177	WP_011290340.1	WP_011290340.1
OG0000178	WP_044272582.1	WP_044272582.1
OG0000179	WP_044272578.1	WP_044272578.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_243216301.1	WP_011290335.1
OG0000183	WP_243216296.1	WP_011290333.1
OG0000184	WP_011206379.1	WP_011290331.1
OG0000185	WP_243216292.1	WP_044272572.1
OG0000186	WP_243216290.1	WP_011290329.1
OG0000187	WP_243216288.1	WP_011290328.1
OG0000188	WP_243216285.1	WP_044272566.1
OG0000189	WP_020835828.1	WP_020835828.1
OG0000190	WP_020835827.1	WP_228366106.1
OG0000191	WP_011206347.1	WP_011206347.1
OG0000192	WP_243216280.1	WP_011290318.1
OG0000193	WP_243216274.1	WP_011290312.1
OG0000194	WP_011290311.1	WP_011290311.1
OG0000195	WP_243216273.1	WP_011290310.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_011290309.1	WP_011290309.1
OG0000198	WP_308704549.1	WP_044272559.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011290271.1	WP_011290271.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_243216071.1	WP_011290136.1
OG0000203	WP_011290137.1	WP_011290137.1
OG0000204	WP_160601269.1	WP_011290138.1
OG0000205	WP_243216144.1	WP_014579804.1
OG0000206	WP_243216145.1	WP_011206196.1
OG0000207	WP_243216146.1	WP_011290187.1
OG0000208	WP_243216147.1	WP_044272458.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_011290193.1	WP_011290193.1
OG0000211	WP_160600914.1	WP_011290195.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_233688406.1	WP_044272464.1
OG0000214	WP_243216310.1	WP_044272610.1
OG0000215	WP_011290367.1	WP_011290367.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_243216312.1	WP_011290368.1
OG0000218	WP_011290369.1	WP_011290369.1
OG0000219	WP_243216317.1	WP_044272613.1
OG0000220	WP_135619070.1	WP_011290373.1
OG0000221	WP_243216318.1	WP_044272614.1
OG0000222	WP_243216326.1	WP_011290377.1
OG0000223	WP_233688536.1	WP_020835877.1
OG0000224	WP_011206441.1	WP_044272620.1
OG0000225	WP_243216329.1	WP_044272624.1
OG0000226	WP_179221227.1	WP_014579979.1
OG0000227	WP_160590181.1	WP_011206445.1
OG0000228	WP_243216331.1	WP_011290381.1
OG0000229	WP_020835888.1	WP_044272634.1
OG0000230	WP_011206453.1	WP_011290389.1
OG0000231	WP_014579989.1	WP_014579989.1
OG0000232	WP_243216339.1	WP_011290391.1
OG0000233	WP_044284717.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_243216342.1	WP_044272642.1
OG0000237	WP_011206469.1	WP_011290402.1
OG0000238	WP_160585238.1	WP_011290401.1
OG0000239	WP_146379742.1	WP_011290400.1
OG0000240	WP_011290399.1	WP_011290399.1
OG0000241	WP_011206465.1	WP_011290398.1
OG0000242	WP_243215852.1	WP_044272652.1
OG0000243	WP_243216061.1	WP_011290129.1
OG0000244	WP_020835656.1	WP_020835656.1
OG0000245	WP_011290131.1	WP_011290131.1
OG0000246	WP_020835657.1	WP_020835657.1
OG0000247	WP_243216062.1	WP_011284055.1
OG0000248	WP_160601243.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_243216195.1	WP_044272496.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_243216189.1	WP_020835756.1
OG0000253	WP_011206251.1	WP_020835755.1
OG0000254	WP_011205992.1	WP_011290088.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_243216028.1	WP_044272382.1
OG0000257	WP_243215993.1	WP_011290023.1
OG0000258	WP_011283924.1	WP_011290024.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_011206092.1	WP_020835572.1
OG0000261	WP_228729168.1	WP_179695841.1
OG0000262	WP_011206090.1	WP_044272328.1
OG0000263	WP_243215996.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_020835574.1
OG0000266	WP_020835575.1	WP_044272334.1
OG0000267	WP_020835576.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_011290034.1
OG0000270	WP_135618573.1	WP_020835579.1
OG0000271	WP_243215999.1	WP_020835580.1
OG0000272	WP_011283943.1	WP_011290039.1
OG0000273	WP_011283944.1	WP_011206072.1
OG0000274	WP_014579633.1	WP_011206071.1
OG0000275	WP_243216001.1	WP_020835584.1
OG0000276	WP_011206068.1	WP_020835585.1
OG0000277	WP_011206067.1	WP_011290043.1
OG0000278	WP_011206066.1	WP_011290044.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011283950.1	WP_011290045.1
OG0000281	WP_011283951.1	WP_011206063.1
OG0000282	WP_011206062.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_243216004.1	WP_011206054.1
OG0000285	WP_243216005.1	WP_011206052.1
OG0000286	WP_011290054.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_011290056.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_011206041.1
OG0000295	WP_020835592.1	WP_011290060.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_020835596.1	WP_020835596.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011290064.1
OG0000302	WP_160608021.1	WP_041361593.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_011206027.1
OG0000305	WP_243216006.1	WP_011290066.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_146379524.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_243216010.1	WP_044272360.1
OG0000311	WP_011206014.1	WP_011290074.1
OG0000312	WP_233688674.1	WP_020835607.1
OG0000313	WP_044284822.1	WP_011290076.1
OG0000314	WP_020835610.1	WP_011290077.1
OG0000315	WP_243216014.1	WP_011290078.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_243216016.1	WP_044272366.1
OG0000318	WP_011283991.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_233688689.1	WP_044272373.1
OG0000321	WP_243216021.1	WP_044272375.1
OG0000322	WP_243216023.1	WP_044272377.1
OG0000323	WP_011290347.1	WP_011290347.1
OG0000324	WP_020835851.1	WP_020835851.1
OG0000325	WP_243216303.1	WP_011290349.1
OG0000326	WP_135619036.1	WP_044272588.1
OG0000327	WP_243216305.1	WP_011290351.1
OG0000328	WP_011290352.1	WP_011290352.1
OG0000329	WP_041361690.1	WP_041361690.1
OG0000330	WP_020835856.1	WP_228366108.1
OG0000331	WP_020835857.1	WP_011284299.1
OG0000332	WP_232039502.1	WP_041361522.1
OG0000333	WP_243215931.1	WP_020835499.1
OG0000334	WP_243215932.1	WP_011289951.1
OG0000335	WP_243215933.1	WP_020835500.1
OG0000336	WP_243215935.1	WP_011289955.1
OG0000337	WP_243215937.1	WP_011289957.1
OG0000338	WP_243215940.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_020835507.1
OG0000341	WP_160600661.1	WP_011289963.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_011283860.1	WP_011289964.1
OG0000344	WP_044284571.1	WP_020835509.1
OG0000345	WP_014579548.1	WP_044272285.1
OG0000346	WP_044284572.1	WP_020835511.1
OG0000347	WP_011283865.1	WP_011289968.1
OG0000348	WP_233688611.1	WP_044272682.1
OG0000349	WP_233688612.1	WP_044272289.1
OG0000350	WP_243215941.1	WP_014579553.1
OG0000351	WP_243215942.1	WP_011289972.1
OG0000352	WP_011205894.1	WP_011289973.1
OG0000353	WP_011283871.1	WP_011289974.1
OG0000354	WP_193325077.1	WP_020835518.1
OG0000355	WP_011283873.1	WP_011289976.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_243215943.1	WP_020835519.1
OG0000358	WP_243215945.1	WP_228366122.1
OG0000359	WP_243215947.1	WP_011289981.1
OG0000360	WP_243215948.1	WP_011289982.1
OG0000361	WP_160600685.1	WP_011289983.1
OG0000362	WP_243215950.1	WP_044272293.1
OG0000363	WP_135618519.1	WP_041361531.1
OG0000364	WP_243215957.1	WP_011289987.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011205916.1	WP_011283887.1
OG0000367	WP_243215961.1	WP_044272298.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_020835532.1
OG0000371	WP_011289993.1	WP_011289993.1
OG0000372	WP_011206135.1	WP_011206135.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_243215890.1	WP_011290431.1
OG0000375	WP_243215887.1	WP_044272669.1
OG0000376	WP_135619152.1	WP_020835915.1
OG0000377	WP_243215885.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_243215880.1	WP_187145660.1
OG0000380	WP_243215879.1	WP_011290423.1
OG0000381	WP_238374142.1	WP_228366117.1
OG0000382	WP_243215878.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_243215875.1	WP_011290418.1
OG0000385	WP_044284728.1	WP_011206490.1
OG0000386	WP_081430772.1	WP_011290416.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_243215874.1	WP_044272665.1
OG0000389	WP_243215873.1	WP_044272663.1
OG0000390	WP_011206484.1	WP_011206484.1
OG0000391	WP_243215870.1	WP_011290413.1
OG0000392	WP_243215868.1	WP_044272660.1
OG0000393	WP_146379652.1	WP_044272526.1
OG0000394	WP_243216240.1	WP_011290278.1
OG0000395	WP_160600959.1	WP_011206299.1
OG0000396	WP_243216242.1	WP_020835793.1
OG0000397	WP_011206303.1	WP_044272549.1
OG0000398	WP_243216258.1	WP_011290297.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_243216256.1	WP_044272553.1
OG0000401	WP_243216254.1	WP_020835805.1
OG0000402	WP_243216251.1	WP_041361676.1
OG0000403	WP_243216250.1	WP_011206315.1
OG0000404	WP_243216245.1	WP_041361674.1
OG0000405	WP_011284228.1	WP_011284228.1
OG0000406	WP_233688477.1	WP_011290287.1
OG0000407	WP_233688476.1	WP_044272552.1
OG0000408	WP_011206306.1	WP_011290285.1
OG0000409	WP_243215936.1	WP_011289956.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_041361533.1
OG0000412	WP_011283891.1	WP_011289991.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011290068.1
OG0000416	WP_044272575.1	WP_044272575.1
OG0000417	WP_044284687.1	WP_044272560.1
OG0000418	WP_243216269.1	WP_011290304.1
OG0000419	WP_243216263.1	WP_044272554.1
OG0000420	WP_243216248.1	WP_011290290.1
OG0000421	WP_160606445.1	WP_044272546.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_094521675.1	WP_011290192.1
OG0000425	WP_243216153.1	WP_011290197.1
OG0000426	WP_014579818.1	WP_014579818.1
OG0000427	WP_011290211.1	WP_011290211.1
OG0000428	WP_014579824.1	WP_011290203.1
OG0000429	WP_243216157.1	WP_228366137.1
OG0000430	WP_146379629.1	WP_044272490.1
OG0000431	WP_243216204.1	WP_011290251.1
OG0000432	WP_243216051.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_011205960.1
OG0000434	WP_135618712.1	WP_011290127.1
OG0000435	WP_243216187.1	WP_011290222.1
OG0000436	WP_243215994.1	WP_011206094.1
OG0000437	WP_243216000.1	WP_044272340.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_243216002.1	WP_011206069.1
OG0000440	WP_011206060.1	WP_041361583.1
OG0000441	WP_011206056.1	WP_225973017.1
OG0000442	WP_094521595.1	WP_044272348.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160601134.1	WP_044272637.1
OG0000448	WP_243216335.1	WP_044272639.1
OG0000449	WP_011284361.1	WP_011206488.1
OG0000450	WP_243215876.1	WP_041361708.1
OG0000451	WP_243215889.1	WP_044272671.1
OG0000452	WP_243216064.1	WP_011205931.1
OG0000453	WP_011206520.1	WP_011290441.1
OG0000454	WP_243215903.1	WP_011284394.1
OG0000455	WP_243216252.1	WP_011290293.1
OG0000456	WP_243216169.1	WP_011290213.1
OG0000457	WP_243216236.1	WP_011290246.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_243216193.1	WP_011290226.1
OG0000460	WP_011290029.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_243215877.1	WP_011290420.1
OG0000463	WP_243216050.1	WP_011290107.1
OG0000464	WP_243215977.1	WP_052269168.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_041361706.1	WP_232039558.1
OG0000467	WP_243215894.1	WP_081420855.1
OG0000468	WP_243216053.1	WP_011290117.1
OG0000469	WP_160600882.1	WP_225973015.1
OG0000470	WP_243216293.1	WP_020835837.1
OG0000471	WP_243215882.1	WP_011290425.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_160600884.1	WP_044272343.1
OG0000474	WP_228366105.1	WP_228366105.1
OG0000475	WP_233688626.1	WP_011289997.1
OG0000476	WP_243216148.1	WP_011290189.1
OG0000477	WP_011206227.1	WP_011206227.1
OG0000478	WP_044284615.1	WP_044272395.1
OG0000479	WP_237697228.1	WP_228366124.1
OG0000480	WP_243216143.1	WP_020835708.1
OG0000481	WP_243216155.1	WP_228366136.1
OG0000482	WP_228366113.1	WP_228366113.1
OG0000483	WP_243216314.1	WP_011290370.1
OG0000484	WP_233688609.1	WP_228366121.1
OG0000485	WP_228365406.1	WP_225973008.1
OG0000486	WP_243215944.1	WP_011289979.1
OG0000487	WP_011206302.1	WP_011290282.1
OG0000488	WP_011290363.1	WP_011290363.1
OG0000489	WP_269076322.1	WP_269076322.1
OG0000490	WP_243216026.1	WP_020835489.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_243215913.1	WP_011289930.1
OG0000493	WP_135618444.1	WP_044272260.1
OG0000494	WP_243215902.1	WP_011290449.1
OG0000495	WP_243215897.1	WP_011290437.1
OG0000496	WP_011284186.1	WP_011290248.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_233688710.1	WP_044272699.1
OG0000499	WP_160607802.1	WP_020835646.1
OG0000500	WP_243215971.1	WP_044272311.1
OG0000501	WP_243215978.1	WP_011290009.1
OG0000502	WP_052259108.1	WP_052269169.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000504	WP_011284271.1	WP_011290327.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_011290313.1	WP_011290313.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_160585153.1	WP_020835781.1
OG0000510	WP_243216321.1	WP_187145658.1
OG0000511	WP_243216102.1	WP_228366095.1
OG0000512	WP_243216192.1	WP_011290225.1
OG0000513	WP_243216003.1	WP_011290050.1
OG0000514	WP_011290053.1	WP_011290053.1
OG0000515	WP_020835590.1	WP_044272353.1
OG0000516	WP_011206036.1	WP_011290062.1
OG0000517	WP_044284771.1	WP_011289986.1
OG0000518	WP_243215959.1	WP_044272294.1
OG0000519	WP_160600697.1	WP_011289989.1
OG0000520	WP_243215963.1	WP_011289994.1
OG0000522	WP_179221251.1	WP_011290410.1
OG0000523	WP_243215862.1	WP_044272658.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_011206304.1	WP_011290284.1
OG0000527	WP_011206309.1	WP_011290288.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_243216266.1	WP_011290303.1
OG0000530	WP_243216151.1	WP_011290194.1
OG0000531	WP_011284377.1	WP_011290429.1
OG0000532	WP_044889046.1	WP_011290430.1
OG0000533	WP_014579695.1	WP_081420839.1
OG0000534	WP_243216018.1	WP_044272370.1
OG0000535	WP_243216299.1	WP_011290334.1
OG0000536	WP_243216198.1	WP_011290228.1
OG0000537	WP_243215981.1	WP_011290012.1
OG0000538	WP_081430767.1	WP_011206235.1
OG0000539	WP_088764595.1	WP_011283955.1
OG0000540	WP_243215854.1	WP_011290405.1
OG0000541	WP_243216113.1	WP_011290242.1
OG0000542	WP_243215896.1	WP_011290436.1
OG0000543	WP_179221017.1	WP_011290010.1
OG0000544	WP_243216347.1	WP_228366114.1
OG0000545	WP_243216074.1	WP_011290141.1
OG0000546	WP_011206407.1	WP_011206407.1
OG0000548	WP_243216257.1	WP_011290296.1
OG0000549	WP_243216234.1	WP_228366139.1
OG0000550	WP_243216231.1	WP_044272715.1
OG0000552	WP_243216121.1	WP_011290175.1
OG0000553	WP_243216203.1	WP_081420850.1
OG0000554	WP_243216125.1	WP_228366134.1
OG0000555	WP_243216115.1	WP_044272436.1
OG0000556	WP_011206170.1	WP_044272437.1
OG0000557	WP_011205863.1	WP_020835495.1
OG0000558	WP_243216210.1	WP_044272517.1
OG0000559	WP_243216271.1	WP_011290306.1
OG0000560	WP_020835829.1	WP_020835829.1
OG0000561	WP_243216323.1	WP_044272617.1
OG0000563	WP_243216116.1	WP_020835684.1
OG0000564	WP_011290233.1	WP_011290233.1
OG0000565	WP_233688595.1	WP_011289941.1
OG0000566	WP_243215923.1	WP_011289942.1
OG0000567	WP_243216038.1	WP_011290097.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_243216036.1	WP_228366129.1
OG0000570	WP_243216034.1	WP_011205986.1
OG0000571	WP_014579701.1	WP_011290093.1
OG0000572	WP_243216033.1	WP_044272385.1
OG0000573	WP_243216031.1	WP_020835624.1
OG0000574	WP_243216030.1	WP_011290089.1
OG0000575	WP_243216012.1	WP_011290073.1
OG0000576	WP_243215991.1	WP_044272325.1
