Orthogroup	MHP_111A_proteins	MHP_Ue273_proteins
OG0000019	WP_404911989.1	WP_347952282.1
OG0000020	WP_404912096.1	WP_347952330.1
OG0000020	WP_404912098.1	WP_347952331.1
OG0000021	WP_160606951.1	WP_347952374.1
OG0000022	WP_404912375.1	WP_347952446.1
OG0000022	WP_404912386.1	WP_347952455.1
OG0000024	WP_160585259.1	WP_160585687.1
OG0000024	WP_404912310.1	WP_347952412.1
OG0000025	WP_404912377.1	WP_347952447.1
OG0000025	WP_404912384.1	WP_347952453.1
OG0000026	WP_192894288.1	WP_347952418.1
OG0000026	WP_160606777.1	WP_011206159.1
OG0000027	WP_404912049.1	WP_347952308.1
OG0000027	WP_404912055.1	WP_160585589.1
OG0000028	WP_404911882.1, WP_404911884.1	WP_347952235.1
OG0000029	WP_404912268.1	WP_347952396.1
OG0000029	WP_404912190.1	WP_347952383.1
OG0000030	WP_404912053.1	WP_160584917.1
OG0000032	WP_135618726.1	WP_347952437.1
OG0000032	WP_404912051.1	WP_347952310.1
OG0000033	WP_404911875.1, WP_404911876.1	WP_347952234.1
OG0000035	WP_404912019.1	WP_347952297.1
OG0000035	WP_404912017.1	WP_347952292.1
OG0000036	WP_404912137.1	WP_347952344.1
OG0000037	WP_404912443.1	WP_347952485.1
OG0000039	WP_179221095.1	WP_347952442.1, WP_347952441.1
OG0000040	WP_404912035.1, WP_404912033.1, WP_404912462.1	WP_347952301.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_044272729.1	WP_347952270.1
OG0000043	WP_404911800.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_404912363.1	WP_160585827.1
OG0000046	WP_404912040.1	WP_347952302.1
OG0000046	WP_258555308.1, WP_404912039.1, WP_404912037.1	WP_347952303.1
OG0000048	WP_404912397.1	WP_347952212.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_404911890.1	WP_347952238.1
OG0000051	WP_404911930.1	WP_347952252.1
OG0000052	WP_404912127.1, WP_404912125.1	WP_011289937.1
OG0000053	WP_160585093.1	WP_347952425.1
OG0000054	WP_020835786.1	WP_347952240.1
OG0000055	WP_160606887.1	WP_146379455.1
OG0000056	WP_404912090.1	WP_347952327.1
OG0000057	WP_220191159.1	WP_347952267.1, WP_347952268.1
OG0000060	WP_258556516.1	WP_020835489.1
OG0000061	WP_404911806.1	WP_135618818.1
OG0000062	WP_094521530.1	WP_160588098.1
OG0000063	WP_404912101.1	WP_160606495.1
OG0000064	WP_011290440.1	WP_347952332.1
OG0000065	WP_233688433.1	WP_347952215.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_146379735.1	WP_347952299.1
OG0000072	WP_404912031.1	WP_347952300.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_308704709.1	WP_179221041.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000076	WP_404912160.1	WP_160607908.1
OG0000077	WP_404912169.1	WP_347952370.1
OG0000078	WP_404912379.1	WP_347952448.1
OG0000079	WP_404911913.1	WP_146379663.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_160615521.1	WP_347952367.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_404912428.1	WP_347952209.1
OG0000087	WP_404912425.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_347952211.1
OG0000090	WP_020835488.1	WP_020835488.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_404912119.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_347952339.1
OG0000096	WP_404912113.1	WP_011206529.1
OG0000097	WP_404912105.1	WP_347952335.1
OG0000098	WP_011290444.1	WP_347952333.1
OG0000099	WP_404912092.1	WP_347952328.1
OG0000100	WP_011290432.1	WP_347952325.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404912445.1	WP_347952452.1
OG0000103	WP_146379627.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_347952214.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_404911836.1	WP_192894278.1
OG0000109	WP_146379632.1	WP_347952216.1
OG0000110	WP_020835772.1	WP_347952231.1
OG0000111	WP_020835771.1	WP_347952230.1
OG0000112	WP_404911866.1	WP_347952229.1
OG0000113	WP_404911858.1	WP_347952226.1
OG0000114	WP_404911856.1	WP_347952224.1
OG0000115	WP_011290245.1	WP_011284183.1
OG0000116	WP_404912315.1	WP_347952415.1
OG0000117	WP_160615714.1	WP_347952416.1
OG0000118	WP_404912325.1	WP_179696056.1
OG0000119	WP_160585678.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_347952423.1
OG0000125	WP_011205952.1	WP_347952424.1
OG0000126	WP_160606641.1	WP_011290120.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_404912339.1	WP_347952426.1
OG0000129	WP_020835651.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_146379566.1
OG0000132	WP_404912347.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_404912178.1	WP_347952377.1
OG0000135	WP_011206120.1	WP_347952378.1
OG0000136	WP_179695961.1	WP_347952379.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160584793.1
OG0000139	WP_011290017.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_146379698.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_404911973.1	WP_020835844.1
OG0000145	WP_225972996.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_404911967.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_020835827.1	WP_280996773.1
OG0000153	WP_011206347.1	WP_160615699.1
OG0000154	WP_160587842.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_179221181.1
OG0000157	WP_011290309.1	WP_011206334.1
OG0000158	WP_404911941.1	WP_347952256.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_014579880.1	WP_014579880.1
OG0000162	WP_044272532.1	WP_347952489.1
OG0000163	WP_404911888.1	WP_347952237.1
OG0000164	WP_160601269.1	WP_347952440.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_404911786.1	WP_347952199.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_404911779.1	WP_160606591.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_404911998.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_347952285.1
OG0000173	WP_011206425.1	WP_347952286.1
OG0000174	WP_404912001.1	WP_160600929.1
OG0000175	WP_404912008.1	WP_160585645.1
OG0000176	WP_160607777.1	WP_347952289.1
OG0000177	WP_160585273.1	WP_347952290.1
OG0000178	WP_020835878.1	WP_044272620.1
OG0000179	WP_160585639.1	WP_160585639.1
OG0000180	WP_160585638.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011284337.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011290401.1
OG0000185	WP_020835897.1	WP_347952304.1
OG0000186	WP_404912349.1	WP_347952429.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_404911845.1	WP_347952219.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_020835755.1
OG0000192	WP_404912441.1	WP_347952483.1
OG0000193	WP_404912294.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_011290024.1
OG0000196	WP_179221025.1	WP_347952385.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011283943.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_146379508.1	WP_146379508.1
OG0000205	WP_160606691.1	WP_014579632.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_011206063.1	WP_011283951.1
OG0000208	WP_135618591.1	WP_011283952.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_146379515.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_160585195.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011206046.1
OG0000216	WP_160585193.1	WP_011283965.1
OG0000217	WP_011206044.1	WP_160585731.1
OG0000218	WP_404912251.1	WP_011290058.1
OG0000219	WP_220190714.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404912255.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_404912259.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_041361593.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_404912263.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_404912276.1	WP_347952402.1
OG0000235	WP_094521605.1	WP_243216014.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_404912280.1	WP_347952403.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_404911978.1	WP_160585227.1
OG0000241	WP_044272588.1	WP_044284696.1
OG0000242	WP_404911981.1	WP_347952271.1
OG0000243	WP_146379703.1	WP_160585630.1
OG0000244	WP_041361690.1	WP_011206406.1
OG0000245	WP_146379707.1	WP_347952272.1
OG0000246	WP_404912139.1	WP_050195463.1
OG0000247	WP_404912141.1	WP_347952349.1
OG0000248	WP_052259122.1	WP_014579535.1
OG0000249	WP_160588044.1	WP_347952350.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011289964.1	WP_347952355.1
OG0000254	WP_160584767.1	WP_347952356.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_041361723.1	WP_347952363.1
OG0000260	WP_094521550.1	WP_347952364.1
OG0000261	WP_044272293.1	WP_347952366.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_347952368.1
OG0000267	WP_020835532.1	WP_347952369.1
OG0000268	WP_179695950.1	WP_146379478.1
OG0000269	WP_011206134.1	WP_160608050.1
OG0000270	WP_404912080.1	WP_347952322.1
OG0000271	WP_404912076.1	WP_160588152.1
OG0000272	WP_404912074.1	WP_146379758.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_347952320.1
OG0000275	WP_404912071.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_347952317.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_404912067.1	WP_094521520.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_404912062.1	WP_347952314.1
OG0000283	WP_044272663.1	WP_014580009.1
OG0000284	WP_160585585.1	WP_347952313.1
OG0000285	WP_404912060.1	WP_347952312.1
OG0000286	WP_160615969.1	WP_347952236.1
OG0000287	WP_404911902.1	WP_347952242.1
OG0000288	WP_404911904.1	WP_011206299.1
OG0000289	WP_404911906.1	WP_347952244.1
OG0000290	WP_011290297.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044272553.1	WP_044284681.1
OG0000293	WP_135618964.1	WP_020835805.1
OG0000294	WP_404911922.1	WP_146379669.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_041361673.1	WP_044272552.1
OG0000297	WP_146379664.1	WP_020835798.1
OG0000298	WP_404912146.1	WP_347952352.1
OG0000299	WP_160606529.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011289991.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_404912180.1	WP_146379484.1
OG0000304	WP_220190741.1	WP_347952395.1
OG0000305	WP_020835841.1	WP_020835841.1
OG0000306	WP_044272563.1	WP_044272563.1
OG0000307	WP_160585265.1	WP_044284687.1
OG0000308	WP_404911934.1	WP_020835811.1
OG0000309	WP_146379668.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_347952243.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_347952239.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_404911788.1	WP_347952198.1
OG0000315	WP_014579816.1	WP_160606593.1
OG0000316	WP_404911774.1	WP_347952202.1
OG0000317	WP_404912423.1	WP_135618864.1
OG0000318	WP_404911772.1	WP_347952203.1
OG0000319	WP_404911833.1	WP_044272490.1
OG0000320	WP_404911862.1	WP_347952228.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_011290127.1	WP_347952484.1
OG0000324	WP_011290222.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404912219.1	WP_160600880.1
OG0000327	WP_146379506.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_220200845.1
OG0000329	WP_011206056.1	WP_347952392.1
OG0000330	WP_011206016.1	WP_347952399.1
OG0000331	WP_146379704.1	WP_135619040.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_020835889.1
OG0000335	WP_160606864.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011284387.1
OG0000338	WP_404912111.1	WP_347952338.1
OG0000339	WP_404911854.1	WP_347952223.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_011290226.1	WP_160590303.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_347952390.1
OG0000349	WP_094521522.1	WP_160588173.1
OG0000350	WP_404911952.1	WP_347952261.1
OG0000351	WP_404912171.1	WP_347952371.1
OG0000352	WP_404911795.1	WP_347952480.1
OG0000353	WP_404912328.1	WP_347952420.1
OG0000354	WP_404912194.1	WP_308507047.1
OG0000355	WP_011206194.1	WP_347952478.1
OG0000356	WP_404911776.1	WP_347952201.1
OG0000357	WP_404912003.1	WP_228366113.1
OG0000358	WP_404912004.1	WP_347952287.1
OG0000359	WP_404912214.1	WP_347952388.1
OG0000360	WP_404912153.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_347952362.1
OG0000362	WP_160600961.1	WP_160600961.1
OG0000363	WP_232039606.1	WP_232039606.1
OG0000364	WP_404911802.1	WP_347952477.1
OG0000365	WP_404912433.1	WP_347952205.1
OG0000366	WP_404912430.1	WP_011206224.1
OG0000367	WP_225973040.1	WP_225973040.1
OG0000368	WP_404912121.1	WP_011289935.1
OG0000369	WP_011205844.1	WP_011289930.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_044272256.1
OG0000372	WP_404912115.1	WP_160588106.1
OG0000373	WP_404912107.1	WP_347952336.1
OG0000374	WP_404912104.1	WP_347952334.1
OG0000375	WP_404911831.1	WP_011284163.1
OG0000376	WP_404911868.1	WP_146379646.1
OG0000377	WP_404911864.1	WP_041361661.1
OG0000378	WP_011205977.1	WP_347952414.1
OG0000379	WP_011205962.1	WP_347952419.1
OG0000380	WP_160588252.1	WP_347952422.1
OG0000382	WP_404912342.1	WP_347952427.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_347952375.1
OG0000386	WP_011290004.1	WP_011206121.1
OG0000387	WP_404912182.1	WP_347952380.1
OG0000388	WP_179221014.1	WP_347952381.1
OG0000389	WP_404912192.1	WP_135618561.1
OG0000390	WP_011290340.1	WP_011206390.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_160607852.1	WP_160584971.1
OG0000393	WP_404911961.1	WP_347952264.1
OG0000394	WP_011290313.1	WP_347952259.1
OG0000395	WP_404911946.1	WP_347952258.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_020835709.1	WP_146379611.1
OG0000399	WP_404911782.1	WP_347952200.1
OG0000400	WP_044272610.1	WP_347952283.1
OG0000401	WP_135619070.1	WP_011206432.1
OG0000402	WP_020835872.1	WP_020835872.1
OG0000403	WP_020835873.1	WP_187145658.1
OG0000404	WP_404912014.1	WP_160585640.1
OG0000405	WP_404912460.1	WP_347952291.1
OG0000406	WP_404912025.1	WP_020835892.1
OG0000407	WP_404912027.1	WP_347952298.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000413	WP_146379568.1	WP_347952428.1
OG0000414	WP_011290131.1	WP_011284053.1
OG0000415	WP_404912351.1	WP_347952430.1
OG0000416	WP_011284056.1	WP_160601243.1
OG0000417	WP_404911842.1	WP_347952218.1
OG0000418	WP_160588285.1	WP_347952217.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_347952386.1
OG0000421	WP_011206080.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_347952389.1
OG0000423	WP_404912224.1	WP_011206068.1
OG0000424	WP_011290043.1	WP_011206067.1
OG0000425	WP_044277967.1	WP_011283949.1
OG0000426	WP_011206064.1	WP_011283950.1
OG0000427	WP_135618593.1	WP_347952391.1
OG0000428	WP_011206054.1	WP_135618601.1
OG0000429	WP_404912257.1	WP_011206036.1
OG0000430	WP_404912265.1	WP_347952394.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_404912272.1	WP_347952398.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_044284602.1
OG0000435	WP_404912278.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000438	WP_404912286.1	WP_347952404.1
OG0000439	WP_404912288.1	WP_020835619.1
OG0000440	WP_011290349.1	WP_160585229.1
OG0000441	WP_011284299.1	WP_347952273.1
OG0000442	WP_160607726.1	WP_347952348.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160585544.1	WP_044284571.1
OG0000446	WP_348602689.1	WP_347952358.1
OG0000447	WP_014579553.1	WP_347952359.1
OG0000448	WP_011289976.1	WP_011289976.1
OG0000449	WP_348571941.1	WP_011289981.1
OG0000450	WP_160588027.1	WP_347952365.1
OG0000451	WP_160585531.1	WP_160584753.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_011283895.1
OG0000455	WP_404912085.1	WP_347952324.1
OG0000456	WP_011206487.1	WP_347952315.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_347952245.1
OG0000461	WP_404912452.1	WP_347952248.1
OG0000462	WP_404911917.1	WP_011284228.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_135618953.1	WP_347952247.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404911938.1	WP_347952254.1
OG0000468	WP_404911784.1	WP_011290194.1
OG0000469	WP_011290203.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_135618603.1
OG0000472	WP_404912044.1	WP_347952306.1
OG0000473	WP_020835917.1	WP_160588156.1
OG0000474	WP_041361711.1	WP_041361711.1
OG0000475	WP_404912083.1	WP_347952323.1
OG0000476	WP_011205931.1	WP_347952431.1
OG0000477	WP_011206317.1	WP_347952249.1
OG0000478	WP_011284367.1	WP_347952319.1
OG0000479	WP_404912322.1	WP_146379554.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_404912296.1	WP_347952406.1
OG0000483	WP_347952210.1	WP_347952210.1
OG0000484	WP_135618485.1	WP_347952353.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_011290228.1	WP_160585249.1
OG0000488	WP_146379596.1	WP_347952207.1
OG0000490	WP_404912109.1	WP_347952337.1
OG0000493	WP_404912185.1	WP_146379488.1
OG0000494	WP_404912196.1	WP_052269169.1
OG0000495	WP_404911964.1	WP_011284272.1
OG0000496	WP_011290327.1	WP_011206375.1
OG0000497	WP_135619004.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_020835817.1
OG0000500	WP_404911797.1	WP_347952479.1
OG0000501	WP_404911996.1	WP_347952284.1
OG0000502	WP_404912292.1	WP_347952405.1
OG0000503	WP_404912212.1	WP_020835576.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_347952361.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_404911911.1	WP_347952246.1
OG0000514	WP_404911969.1	WP_347952266.1
OG0000516	WP_160607660.1	WP_146379601.1
OG0000517	WP_404912123.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000520	WP_146379514.1	WP_135618599.1
OG0000523	WP_258555910.1	WP_347952311.1
OG0000524	WP_404911936.1	WP_347952253.1
OG0000525	WP_404912046.1	WP_347952307.1
OG0000526	WP_404911812.1	WP_347952474.1
OG0000527	WP_404911823.1	WP_347952463.1
OG0000528	WP_404912437.1	WP_347952204.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_404912365.1	WP_347952443.1
OG0000533	WP_011290010.1	WP_011206110.1
OG0000534	WP_404912163.1	WP_160615517.1
OG0000536	WP_404912094.1	WP_347952329.1
OG0000540	WP_404911926.1	WP_347952250.1
OG0000541	WP_404911944.1	WP_347952257.1
OG0000543	WP_160585706.1	WP_347952435.1
OG0000544	WP_308507042.1	WP_308507042.1
OG0000545	WP_404911816.1	WP_347952473.1
OG0000546	WP_404911955.1	WP_347952262.1
OG0000552	WP_044284704.1	WP_347952288.1
OG0000553	WP_347952255.1	WP_347952255.1
OG0000554	WP_404911871.1	WP_347952232.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_011205989.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_020835677.1
OG0000560	WP_011284100.1	WP_160607878.1
OG0000561	WP_094521603.1	WP_011290073.1
OG0000562	WP_160585755.1	WP_160585755.1
OG0000563	WP_160587877.1	WP_347952471.1
OG0000564	WP_252862181.1	WP_041361605.1
OG0000565	WP_404911804.1	WP_160606463.1
OG0000566	WP_404911808.1	WP_347952476.1
OG0000567	WP_404911814.1	WP_308507026.1
OG0000568	WP_404912204.1	WP_347952384.1
OG0000569	WP_404912299.1	WP_347952408.1
OG0000570	WP_404912300.1	WP_347952409.1
OG0000571	WP_404912302.1	WP_011205986.1
OG0000572	WP_404912308.1	WP_347952411.1
OG0000573	WP_404912382.1	WP_020835676.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_011290089.1	WP_011284002.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_146379677.1
OG0000579	WP_146379623.1	WP_347952467.1
OG0000580	WP_236607953.1	WP_041361798.1
OG0000581	WP_404911821.1	WP_347952464.1
OG0000582	WP_404912305.1	WP_347952410.1
