Orthogroup	MHP_111A_proteins	MHP_TB1_proteins
OG0000117	WP_160615714.1	WP_014579713.1
OG0000118	WP_404912325.1	WP_011284023.1
OG0000119	WP_160585678.1	WP_044277984.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011290114.1
OG0000122	WP_020835643.1	WP_014579725.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_014579726.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011290120.1
OG0000127	WP_011290122.1	WP_011284040.1
OG0000128	WP_404912339.1	WP_014579731.1
OG0000129	WP_020835651.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_088764591.1
OG0000131	WP_094521635.1	WP_252862142.1
OG0000132	WP_404912347.1	WP_014579737.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_404912178.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_014579592.1
OG0000137	WP_011206113.1	WP_014579598.1
OG0000138	WP_160584793.1	WP_014579656.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_088764593.1
OG0000142	WP_011284289.1	WP_011206395.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_404911973.1	WP_014579946.1
OG0000145	WP_225972996.1	WP_044278029.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_404911967.1	WP_016340240.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_014579931.1
OG0000152	WP_020835827.1	WP_014579930.1
OG0000153	WP_011206347.1	WP_014579929.1
OG0000154	WP_160587842.1	WP_044278028.1
OG0000155	WP_020835820.1	WP_011206337.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011290309.1	WP_252862135.1
OG0000158	WP_404911941.1	WP_014579917.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_044278019.1
OG0000161	WP_014579880.1	WP_014579880.1
OG0000162	WP_044272532.1	WP_081450704.1
OG0000163	WP_404911888.1	WP_014579877.1
OG0000164	WP_160601269.1	WP_014579775.1
OG0000165	WP_011206200.1	WP_014579808.1
OG0000166	WP_404911786.1	WP_014579811.1
OG0000167	WP_011206207.1	WP_088764587.1
OG0000168	WP_404911779.1	WP_014579815.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_014579964.1
OG0000171	WP_404911998.1	WP_014579966.1
OG0000172	WP_011206424.1	WP_088764594.1
OG0000173	WP_011206425.1	WP_011206425.1
OG0000174	WP_404912001.1	WP_014579967.1
OG0000175	WP_404912008.1	WP_014579969.1
OG0000176	WP_160607777.1	WP_014579976.1
OG0000177	WP_160585273.1	WP_014579977.1
OG0000178	WP_020835878.1	WP_011206441.1
OG0000179	WP_160585639.1	WP_252862150.1
OG0000180	WP_160585638.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_014579985.1
OG0000182	WP_011284337.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011206468.1
OG0000185	WP_020835897.1	WP_011206465.1
OG0000186	WP_404912349.1	WP_014579739.1
OG0000187	WP_011284055.1	WP_014579741.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_404911845.1	WP_014579854.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_014579850.1
OG0000192	WP_404912441.1	WP_088764622.1
OG0000193	WP_404912294.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_179221025.1	WP_014579648.1
OG0000197	WP_041361572.1	WP_014579647.1
OG0000198	WP_011283930.1	WP_014579645.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_088764596.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_014579634.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_146379508.1	WP_252862153.1
OG0000205	WP_160606691.1	WP_014579632.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_011206063.1	WP_014579629.1
OG0000208	WP_135618591.1	WP_011206062.1
OG0000209	WP_011206061.1	WP_014579628.1
OG0000210	WP_146379515.1	WP_014579621.1
OG0000211	WP_011290054.1	WP_088764616.1
OG0000212	WP_011206048.1	WP_014579618.1
OG0000213	WP_160585195.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_014579617.1
OG0000216	WP_160585193.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_404912251.1	WP_014579615.1
OG0000219	WP_220190714.1	WP_020835591.1
OG0000220	WP_011206040.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404912255.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_404912259.1	WP_014579610.1
OG0000226	WP_011206032.1	WP_014579609.1
OG0000227	WP_011206031.1	WP_088764611.1
OG0000228	WP_041361593.1	WP_014579607.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_404912263.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_014579603.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_404912276.1	WP_252862166.1
OG0000235	WP_094521605.1	WP_014579665.1
OG0000236	WP_011283989.1	WP_014579666.1
OG0000237	WP_404912280.1	WP_014579667.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_404911978.1	WP_011206400.1
OG0000241	WP_044272588.1	WP_011206402.1
OG0000242	WP_404911981.1	WP_290124226.1
OG0000243	WP_146379703.1	WP_014579955.1
OG0000244	WP_041361690.1	WP_014579956.1
OG0000245	WP_146379707.1	WP_011206408.1
OG0000246	WP_404912139.1	WP_014579532.1
OG0000247	WP_404912141.1	WP_014579534.1
OG0000248	WP_052259122.1	WP_014579535.1
OG0000249	WP_160588044.1	WP_014579536.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011289964.1	WP_014579546.1
OG0000254	WP_160584767.1	WP_014579548.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011283865.1
OG0000257	WP_011289973.1	WP_014579555.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_041361723.1	WP_014579562.1
OG0000260	WP_094521550.1	WP_011205903.1
OG0000261	WP_044272293.1	WP_014579565.1
OG0000262	WP_041361531.1	WP_014579569.1
OG0000263	WP_011283885.1	WP_088764575.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_088764577.1
OG0000266	WP_011205923.1	WP_044277957.1
OG0000267	WP_020835532.1	WP_014579577.1
OG0000268	WP_179695950.1	WP_252862126.1
OG0000269	WP_011206134.1	WP_014579579.1
OG0000270	WP_404912080.1	WP_252862128.1
OG0000271	WP_404912076.1	WP_014580021.1
OG0000272	WP_404912074.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_014580018.1
OG0000275	WP_404912071.1	WP_044278043.1
OG0000276	WP_011290421.1	WP_011284368.1
OG0000277	WP_011206494.1	WP_088764581.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_014580014.1
OG0000280	WP_404912067.1	WP_014580013.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_404912062.1	WP_014580010.1
OG0000283	WP_044272663.1	WP_014580009.1
OG0000284	WP_160585585.1	WP_014580008.1
OG0000285	WP_404912060.1	WP_014580007.1
OG0000286	WP_160615969.1	WP_014579875.1
OG0000287	WP_404911902.1	WP_011206297.1
OG0000288	WP_404911904.1	WP_011284218.1
OG0000289	WP_404911906.1	WP_252862141.1
OG0000290	WP_011290297.1	WP_014579908.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044272553.1	WP_014579905.1
OG0000293	WP_135618964.1	WP_014579904.1
OG0000294	WP_404911922.1	WP_014579902.1
OG0000295	WP_011206315.1	WP_014579901.1
OG0000296	WP_041361673.1	WP_014579894.1
OG0000297	WP_146379664.1	WP_014579893.1
OG0000298	WP_404912146.1	WP_014579538.1
OG0000299	WP_160606529.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_011289991.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_404912180.1	WP_014579593.1
OG0000304	WP_220190741.1	WP_044277963.1
OG0000305	WP_020835841.1	WP_014579943.1
OG0000306	WP_044272563.1	WP_014579934.1
OG0000307	WP_160585265.1	WP_014579928.1
OG0000308	WP_404911934.1	WP_014579911.1
OG0000309	WP_146379668.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_014579885.1
OG0000312	WP_041361671.1	WP_014579882.1
OG0000313	WP_011206141.1	WP_014579776.1
OG0000314	WP_404911788.1	WP_014579810.1
OG0000315	WP_014579816.1	WP_014579816.1
OG0000316	WP_404911774.1	WP_014579818.1
OG0000317	WP_404912423.1	WP_011290211.1
OG0000318	WP_404911772.1	WP_228365380.1
OG0000319	WP_404911833.1	WP_014579833.1
OG0000320	WP_404911862.1	WP_252862186.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_014579724.1
OG0000323	WP_011290127.1	WP_014579736.1
OG0000324	WP_011290222.1	WP_014579849.1
OG0000325	WP_011206094.1	WP_088764598.1
OG0000326	WP_404912219.1	WP_014579637.1
OG0000327	WP_146379506.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_014579627.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_014579986.1
OG0000335	WP_160606864.1	WP_088764610.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011206520.1
OG0000338	WP_404912111.1	WP_014580051.1
OG0000339	WP_404911854.1	WP_014579860.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_014579853.1
OG0000342	WP_011290029.1	WP_014579646.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_014579596.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_225973015.1
OG0000349	WP_094521522.1	WP_014580020.1
OG0000350	WP_404911952.1	WP_228365390.1
OG0000351	WP_404912171.1	WP_044277958.1
OG0000352	WP_404911795.1	WP_014579807.1
OG0000353	WP_404912328.1	WP_014579723.1
OG0000354	WP_404912194.1	WP_233417361.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_404911776.1	WP_228365379.1
OG0000357	WP_404912003.1	WP_011206427.1
OG0000358	WP_404912004.1	WP_014579968.1
OG0000359	WP_404912214.1	WP_228365410.1
OG0000360	WP_404912153.1	WP_228365406.1
OG0000361	WP_011289979.1	WP_014579561.1
OG0000362	WP_160600961.1	WP_011206302.1
OG0000363	WP_232039606.1	WP_088764590.1
OG0000364	WP_404911802.1	WP_014579799.1
OG0000365	WP_404912433.1	WP_014579848.1
OG0000366	WP_404912430.1	WP_011206224.1
OG0000367	WP_225973040.1	WP_044278006.1
OG0000368	WP_404912121.1	WP_252862155.1
OG0000369	WP_011205844.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_011205843.1
OG0000371	WP_044272256.1	WP_014579518.1
OG0000372	WP_404912115.1	WP_252862159.1
OG0000373	WP_404912107.1	WP_014580049.1
OG0000374	WP_404912104.1	WP_014580047.1
OG0000375	WP_404911831.1	WP_014579834.1
OG0000376	WP_404911868.1	WP_014579868.1
OG0000377	WP_404911864.1	WP_011206271.1
OG0000378	WP_011205977.1	WP_014579711.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_011205957.1
OG0000381	WP_404912336.1	WP_014579728.1
OG0000382	WP_404912342.1	WP_014579733.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_014579586.1
OG0000385	WP_044272311.1	WP_014579587.1
OG0000386	WP_011290004.1	WP_014579591.1
OG0000387	WP_404912182.1	WP_014579594.1
OG0000388	WP_179221014.1	WP_014579595.1
OG0000389	WP_404912192.1	WP_014579657.1
OG0000390	WP_011290340.1	WP_011206390.1
OG0000391	WP_020835843.1	WP_014579945.1
OG0000392	WP_160607852.1	WP_014579942.1
OG0000393	WP_404911961.1	WP_252862206.1
OG0000394	WP_011290313.1	WP_014579921.1
OG0000395	WP_404911946.1	WP_014579920.1
OG0000396	WP_020835781.1	WP_014579876.1
OG0000397	WP_011206196.1	WP_014579805.1
OG0000398	WP_020835709.1	WP_011206197.1
OG0000399	WP_404911782.1	WP_014579813.1
OG0000400	WP_044272610.1	WP_014579962.1
OG0000401	WP_135619070.1	WP_014579971.1
OG0000402	WP_020835872.1	WP_014579972.1
OG0000404	WP_404912014.1	WP_252862149.1
OG0000405	WP_404912460.1	WP_014579980.1
OG0000406	WP_404912025.1	WP_014579989.1
OG0000407	WP_404912027.1	WP_014579990.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_252862192.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_014579996.1
OG0000413	WP_146379568.1	WP_014579738.1
OG0000414	WP_011290131.1	WP_011284053.1
OG0000415	WP_404912351.1	WP_014579740.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_404911842.1	WP_044889038.1
OG0000418	WP_160588285.1	WP_228365384.1
OG0000419	WP_020835572.1	WP_014579649.1
OG0000420	WP_020835574.1	WP_011206085.1
OG0000421	WP_011206080.1	WP_044277971.1
OG0000422	WP_146379504.1	WP_014579638.1
OG0000423	WP_404912224.1	WP_014579631.1
OG0000424	WP_011290043.1	WP_011206067.1
OG0000425	WP_044277967.1	WP_044277967.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_014579626.1
OG0000428	WP_011206054.1	WP_014579623.1
OG0000430	WP_404912265.1	WP_014579604.1
OG0000431	WP_011290067.1	WP_014579602.1
OG0000432	WP_404912272.1	WP_252862168.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_011206013.1
OG0000435	WP_404912278.1	WP_011283987.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_404912284.1	WP_014579672.1
OG0000438	WP_404912286.1	WP_014579673.1
OG0000439	WP_404912288.1	WP_088764600.1
OG0000440	WP_011290349.1	WP_252862146.1
OG0000441	WP_011284299.1	WP_252862145.1
OG0000442	WP_160607726.1	WP_014579533.1
OG0000443	WP_044272282.1	WP_014579542.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160585544.1	WP_014579547.1
OG0000446	WP_348602689.1	WP_014579552.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_044277955.1
OG0000449	WP_348571941.1	WP_014579563.1
OG0000450	WP_160588027.1	WP_044277956.1
OG0000451	WP_160585531.1	WP_088764576.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_252862127.1
OG0000454	WP_404912367.1	WP_252862200.1
OG0000455	WP_404912085.1	WP_088764580.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_404912464.1	WP_014580006.1
OG0000458	WP_020835790.1	WP_014579888.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_014579891.1
OG0000461	WP_404912452.1	WP_016340234.1
OG0000462	WP_404911917.1	WP_014579898.1
OG0000463	WP_011206310.1	WP_252862140.1
OG0000464	WP_011206309.1	WP_044278026.1
OG0000465	WP_135618953.1	WP_014579895.1
OG0000467	WP_404911938.1	WP_088764589.1
OG0000468	WP_404911784.1	WP_014579812.1
OG0000469	WP_011290203.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_014579622.1
OG0000472	WP_404912044.1	WP_044278039.1
OG0000473	WP_020835917.1	WP_014580023.1
OG0000474	WP_041361711.1	WP_252862132.1
OG0000475	WP_404912083.1	WP_044889046.1
OG0000476	WP_011205931.1	WP_014579742.1
OG0000477	WP_011206317.1	WP_014579903.1
OG0000478	WP_011284367.1	WP_011284367.1
OG0000479	WP_404912322.1	WP_014579718.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044277969.1
OG0000482	WP_404912296.1	WP_088764624.1
OG0000483	WP_347952210.1	WP_014579841.1
OG0000484	WP_135618485.1	WP_228365405.1
OG0000485	WP_020835615.1	WP_014579671.1
OG0000486	WP_011290228.1	WP_044278009.1
OG0000488	WP_146379596.1	WP_014579846.1
OG0000490	WP_404912109.1	WP_014580050.1
OG0000493	WP_404912185.1	WP_044277961.1
OG0000494	WP_404912196.1	WP_252862194.1
OG0000495	WP_404911964.1	WP_011284272.1
OG0000497	WP_135619004.1	WP_252862148.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_011206333.1
OG0000500	WP_404911797.1	WP_014579806.1
OG0000501	WP_404911996.1	WP_014579965.1
OG0000502	WP_404912292.1	WP_014579694.1
OG0000503	WP_404912212.1	WP_252862154.1
OG0000504	WP_011283955.1	WP_088764595.1
OG0000505	WP_146379519.1	WP_044277964.1
OG0000506	WP_011206049.1	WP_088764615.1
OG0000507	WP_020835590.1	WP_011206043.1
OG0000509	WP_020835518.1	WP_252862123.1
OG0000510	WP_011289977.1	WP_014579560.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_404911911.1	WP_014579892.1
OG0000514	WP_404911969.1	WP_014579941.1
OG0000516	WP_160607660.1	WP_014579821.1
OG0000517	WP_404912123.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_014579639.1
OG0000520	WP_146379514.1	WP_011283957.1
OG0000522	WP_135618505.1	WP_011205899.1
OG0000523	WP_258555910.1	WP_088764582.1
OG0000524	WP_404911936.1	WP_252862136.1
OG0000525	WP_404912046.1	WP_014579999.1
OG0000526	WP_404911812.1	WP_228365426.1
OG0000527	WP_404911823.1	WP_228365424.1
OG0000528	WP_404912437.1	WP_014579822.1
OG0000531	WP_020835645.1	WP_011205956.1
OG0000532	WP_404912365.1	WP_014579771.1
OG0000533	WP_011290010.1	WP_011206110.1
OG0000536	WP_404912094.1	WP_088764579.1
OG0000540	WP_404911926.1	WP_252862139.1
OG0000541	WP_404911944.1	WP_088764588.1
OG0000543	WP_160585706.1	WP_014580033.1
OG0000544	WP_308507042.1	WP_252862183.1, WP_252862182.1
OG0000545	WP_404911816.1	WP_014579790.1
OG0000546	WP_404911955.1	WP_143826165.1
OG0000552	WP_044284704.1	WP_016340246.1
OG0000553	WP_347952255.1	WP_014579915.1
OG0000554	WP_404911871.1	WP_252862185.1
OG0000555	WP_308507032.1	WP_014579949.1
OG0000556	WP_404912412.1	WP_014580037.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_011205989.1	WP_014579699.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_011206182.1
OG0000561	WP_094521603.1	WP_011206015.1
OG0000562	WP_160585755.1	WP_014579789.1
OG0000563	WP_160587877.1	WP_014579786.1
OG0000564	WP_252862181.1	WP_252862181.1
OG0000565	WP_404911804.1	WP_014579797.1
OG0000566	WP_404911808.1	WP_228365427.1
OG0000567	WP_404911814.1	WP_228365425.1
OG0000568	WP_404912204.1	WP_011206097.1
OG0000569	WP_404912299.1	WP_014579700.1
OG0000570	WP_404912300.1	WP_088764605.1
OG0000571	WP_404912302.1	WP_014579702.1
OG0000572	WP_404912308.1	WP_014579705.1
OG0000573	WP_404912382.1	WP_014579759.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_011290089.1	WP_088764621.1
OG0000576	WP_011290145.1	WP_014579765.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_014579914.1
OG0000579	WP_146379623.1	WP_014579785.1
OG0000580	WP_236607953.1	WP_252862180.1
OG0000581	WP_404911821.1	WP_014579782.1
OG0000582	WP_404912305.1	WP_228365416.1
OG0000583	WP_404912380.1	WP_014579761.1
OG0000584	WP_404912408.1	WP_014579687.1
OG0000585	WP_146379626.1	WP_044278005.1
OG0000588	WP_404912371.1	WP_014579766.1
OG0000590	WP_404912404.1	WP_228365397.1
OG0000591	WP_258555396.1	WP_258556645.1
OG0000592	WP_404911928.1	WP_014579909.1
OG0000593	WP_404912088.1	WP_014580028.1
OG0000596	WP_404912392.1	WP_014579752.1
OG0000598	WP_192894290.1	WP_020835684.1
