Orthogroup	MHP_Ue273_proteins	MFC_MF22_proteins
OG0000093	WP_020835484.1	WP_002557472.1
OG0000094	WP_020835483.1	WP_160583755.1
OG0000095	WP_347952339.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_347952335.1	WP_160583764.1
OG0000098	WP_347952333.1	WP_002557485.1
OG0000099	WP_347952328.1	WP_160583777.1
OG0000100	WP_347952325.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_347952452.1	WP_002557499.1
OG0000103	WP_011290214.1	WP_160583935.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_347952214.1	WP_002557514.1
OG0000106	WP_146379631.1	WP_160583939.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_192894278.1	WP_002557519.1
OG0000109	WP_347952216.1	WP_160583943.1
OG0000110	WP_347952231.1	WP_160581160.1
OG0000111	WP_347952230.1	WP_220190224.1
OG0000112	WP_347952229.1	WP_160583949.1
OG0000113	WP_347952226.1	WP_002557528.1
OG0000114	WP_347952224.1	WP_002557530.1
OG0000115	WP_011284183.1	WP_160583957.1
OG0000116	WP_347952415.1	WP_160583961.1
OG0000117	WP_347952416.1	WP_160581178.1
OG0000118	WP_179696056.1	WP_002557540.1
OG0000119	WP_135618686.1	WP_160581187.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_160583971.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_347952423.1	WP_002557554.1
OG0000125	WP_347952424.1	WP_160581203.1
OG0000126	WP_011290120.1	WP_160581207.1
OG0000127	WP_011290122.1	WP_160583976.1
OG0000128	WP_347952426.1	WP_160584036.1
OG0000129	WP_014579732.1	WP_160581459.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_146379566.1	WP_002557566.1
OG0000132	WP_011205939.1	WP_160584038.1
OG0000133	WP_014579589.1	WP_002557574.1
OG0000134	WP_347952377.1	WP_160583695.1
OG0000135	WP_347952378.1	WP_002557577.1
OG0000136	WP_347952379.1	WP_160583693.1
OG0000137	WP_011206113.1	WP_160583687.1
OG0000138	WP_160584793.1	WP_160583684.1
OG0000139	WP_011290017.1	WP_160583681.1
OG0000140	WP_011206101.1	WP_160583679.1
OG0000141	WP_146379698.1	WP_160583675.1
OG0000142	WP_011284289.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160580880.1
OG0000144	WP_020835844.1	WP_002557609.1
OG0000145	WP_228365394.1	WP_160583671.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_135619012.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_011206376.1	WP_002557623.1
OG0000151	WP_020835828.1	WP_160580918.1
OG0000152	WP_280996773.1	WP_160583657.1
OG0000153	WP_160615699.1	WP_160580922.1
OG0000154	WP_011206345.1	WP_002557638.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_179221181.1	WP_160583648.1
OG0000157	WP_011206334.1	WP_160583646.1
OG0000158	WP_347952256.1	WP_160583643.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_002557668.1
OG0000161	WP_014579880.1	WP_160580994.1
OG0000162	WP_347952489.1	WP_160581406.1
OG0000163	WP_347952237.1	WP_160584006.1
OG0000164	WP_347952440.1	WP_002557677.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_347952199.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_160606591.1	WP_160584058.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_002557704.1
OG0000171	WP_146379717.1	WP_160581256.1
OG0000172	WP_347952285.1	WP_160583901.1
OG0000173	WP_347952286.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_160583903.1
OG0000175	WP_160585645.1	WP_002557712.1
OG0000176	WP_347952289.1	WP_160583912.1
OG0000177	WP_347952290.1	WP_160581270.1
OG0000178	WP_044272620.1	WP_002557721.1
OG0000179	WP_160585639.1	WP_160581274.1
OG0000180	WP_160585638.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_011290401.1	WP_160584044.1
OG0000185	WP_347952304.1	WP_160584048.1
OG0000186	WP_347952429.1	WP_160583995.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_347952219.1	WP_160583993.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_020835755.1	WP_255454511.1
OG0000192	WP_347952483.1	WP_002557763.1
OG0000193	WP_094521610.1	WP_002557766.1
OG0000194	WP_011283923.1	WP_002557768.1
OG0000195	WP_011290024.1	WP_002557769.1
OG0000196	WP_347952385.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_020835575.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011283943.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_146379508.1	WP_160583845.1
OG0000205	WP_014579632.1	WP_160583847.1
OG0000206	WP_011206066.1	WP_002557798.1
OG0000207	WP_011283951.1	WP_160583853.1
OG0000208	WP_011283952.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_135618604.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011206046.1	WP_002557818.1
OG0000216	WP_011283965.1	WP_160583861.1
OG0000217	WP_160585731.1	WP_160583863.1
OG0000218	WP_011290058.1	WP_160581339.1
OG0000219	WP_011206041.1	WP_160583865.1
OG0000220	WP_020835592.1	WP_160583867.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_160585734.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011206031.1	WP_002557833.1
OG0000228	WP_041361593.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_160581334.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_002557842.1
OG0000234	WP_347952402.1	WP_318026338.1
OG0000235	WP_243216014.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_347952403.1	WP_160583882.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011290347.1	WP_160583887.1
OG0000240	WP_160585227.1	WP_160583889.1
OG0000241	WP_044284696.1	WP_002557866.1
OG0000242	WP_347952271.1	WP_160583893.1
OG0000243	WP_160585630.1	WP_002557868.1
OG0000244	WP_011206406.1	WP_002557870.1
OG0000245	WP_347952272.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_347952349.1	WP_160583749.1
OG0000248	WP_014579535.1	WP_160583743.1
OG0000249	WP_347952350.1	WP_160583741.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_347952354.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_347952355.1	WP_160583733.1
OG0000254	WP_347952356.1	WP_160583731.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_160583725.1
OG0000258	WP_011289974.1	WP_002557905.1
OG0000259	WP_347952363.1	WP_160583721.1
OG0000260	WP_347952364.1	WP_160583717.1
OG0000261	WP_347952366.1	WP_160583713.1
OG0000262	WP_135618519.1	WP_160583709.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_160581017.1
OG0000265	WP_146379476.1	WP_160583707.1
OG0000266	WP_347952368.1	WP_002557930.1
OG0000267	WP_347952369.1	WP_160581015.1
OG0000268	WP_146379478.1	WP_160583705.1
OG0000269	WP_160608050.1	WP_160583703.1
OG0000270	WP_347952322.1	WP_160583792.1
OG0000271	WP_160588152.1	WP_002557946.1
OG0000272	WP_146379758.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_347952320.1	WP_160583796.1
OG0000275	WP_228366117.1	WP_160581377.1
OG0000276	WP_011290421.1	WP_160583798.1
OG0000277	WP_347952317.1	WP_160581382.1
OG0000278	WP_011206493.1	WP_160583802.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_094521520.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_347952314.1	WP_160583806.1
OG0000283	WP_014580009.1	WP_002557965.1
OG0000284	WP_347952313.1	WP_002557966.1
OG0000285	WP_347952312.1	WP_160583808.1
OG0000286	WP_347952236.1	WP_002557972.1
OG0000287	WP_347952242.1	WP_002557978.1
OG0000288	WP_011206299.1	WP_002557980.1
OG0000289	WP_347952244.1	WP_160583616.1
OG0000290	WP_011290297.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_044284681.1	WP_160583633.1
OG0000293	WP_020835805.1	WP_160583631.1
OG0000294	WP_146379669.1	WP_160583629.1
OG0000295	WP_011206315.1	WP_160580958.1
OG0000296	WP_044272552.1	WP_160580964.1
OG0000297	WP_020835798.1	WP_160580966.1
OG0000298	WP_347952352.1	WP_160583737.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_011283891.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_146379484.1	WP_160580856.1
OG0000304	WP_347952395.1	WP_160580864.1
OG0000305	WP_020835841.1	WP_160580890.1
OG0000306	WP_044272563.1	WP_160583660.1
OG0000307	WP_044284687.1	WP_160583655.1
OG0000308	WP_020835811.1	WP_160583637.1
OG0000309	WP_011206313.1	WP_160580960.1
OG0000310	WP_347952243.1	WP_160583614.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_347952239.1	WP_160580991.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_347952198.1	WP_160584054.1
OG0000315	WP_160606593.1	WP_160581431.1
OG0000316	WP_347952202.1	WP_160581432.1
OG0000317	WP_135618864.1	WP_160581441.1
OG0000318	WP_347952203.1	WP_160584033.1
OG0000319	WP_044272490.1	WP_039387606.1
OG0000320	WP_347952228.1	WP_160583953.1
OG0000321	WP_011205969.1	WP_160583967.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_347952484.1	WP_039387619.1
OG0000324	WP_094521693.1	WP_160581297.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_160600880.1	WP_039387636.1
OG0000327	WP_011206076.1	WP_039387638.1
OG0000328	WP_220200845.1	WP_039387644.1
OG0000329	WP_347952392.1	WP_160583857.1
OG0000330	WP_347952399.1	WP_039387658.1
OG0000331	WP_135619040.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_020835889.1	WP_039387693.1
OG0000335	WP_041361699.1	WP_160583914.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011284387.1	WP_160581112.1
OG0000338	WP_347952338.1	WP_039387723.1
OG0000339	WP_347952223.1	WP_160583955.1
OG0000340	WP_146379551.1	WP_039387777.1
OG0000341	WP_160590303.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_052269168.1	WP_160583688.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_081605287.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_347952390.1	WP_160583983.1
OG0000349	WP_160588173.1	WP_155897264.1
OG0000350	WP_347952261.1	WP_220190179.1
OG0000351	WP_347952371.1	WP_220190182.1
OG0000352	WP_347952480.1	WP_220190084.1
OG0000353	WP_347952420.1	WP_308507110.1
OG0000354	WP_308507047.1	WP_220190180.1
OG0000355	WP_347952478.1	WP_231237866.1
OG0000356	WP_347952201.1	WP_308507120.1
OG0000357	WP_228366113.1	WP_002557710.1
OG0000358	WP_347952287.1	WP_160583905.1
OG0000359	WP_347952388.1	WP_308507113.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_347952362.1	WP_255454451.1
OG0000362	WP_160600961.1	WP_258556596.1
OG0000363	WP_232039606.1	WP_334199004.1
OG0000365	WP_347952205.1	WP_160584029.1
OG0000366	WP_011206224.1	WP_160581449.1
OG0000367	WP_225973040.1	WP_160584023.1
OG0000368	WP_011289935.1	WP_160583751.1
OG0000369	WP_011289930.1	WP_160583756.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_044272256.1	WP_160583758.1
OG0000372	WP_160588106.1	WP_160583760.1
OG0000373	WP_347952336.1	WP_160583762.1
OG0000374	WP_347952334.1	WP_160583766.1
OG0000375	WP_011284163.1	WP_002557511.1
OG0000376	WP_146379646.1	WP_160583947.1
OG0000377	WP_041361661.1	WP_160583951.1
OG0000378	WP_347952414.1	WP_160583959.1
OG0000379	WP_347952419.1	WP_002557546.1
OG0000380	WP_347952422.1	WP_002557550.1
OG0000382	WP_347952427.1	WP_160581461.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_041361727.1	WP_160581005.1
OG0000385	WP_347952375.1	WP_160580848.1
OG0000386	WP_011206121.1	WP_002557576.1
OG0000387	WP_347952380.1	WP_160583691.1
OG0000388	WP_347952381.1	WP_160583690.1
OG0000389	WP_135618561.1	WP_002557589.1
OG0000390	WP_011206390.1	WP_160583674.1
OG0000391	WP_020835843.1	WP_160583673.1
OG0000392	WP_160584971.1	WP_160583670.1
OG0000393	WP_347952264.1	WP_160583663.1
OG0000394	WP_347952259.1	WP_002557640.1
OG0000395	WP_347952258.1	WP_160583653.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_258556605.1
OG0000398	WP_146379611.1	WP_160584013.1
OG0000399	WP_347952200.1	WP_220190081.1
OG0000400	WP_347952283.1	WP_002557703.1
OG0000401	WP_011206432.1	WP_160581263.1
OG0000402	WP_020835872.1	WP_160581265.1
OG0000403	WP_187145658.1	WP_160583910.1
OG0000404	WP_160585640.1	WP_039387689.1
OG0000405	WP_347952291.1	WP_002557726.1
OG0000406	WP_020835892.1	WP_002557731.1
OG0000407	WP_347952298.1	WP_160583916.1
OG0000408	WP_011206457.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_146379742.1	WP_160584046.1
OG0000412	WP_011290399.1	WP_002557742.1
OG0000413	WP_347952428.1	WP_002557749.1
OG0000414	WP_011284053.1	WP_002557751.1
OG0000415	WP_347952430.1	WP_002557752.1
OG0000416	WP_160601243.1	WP_002557754.1
OG0000417	WP_347952218.1	WP_160583991.1
OG0000418	WP_347952217.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_347952386.1	WP_220190229.1
OG0000421	WP_011290034.1	WP_160583985.1
OG0000422	WP_347952389.1	WP_160581307.1
OG0000423	WP_011206068.1	WP_002557796.1
OG0000424	WP_011206067.1	WP_160583849.1
OG0000425	WP_011283949.1	WP_160583851.1
OG0000426	WP_011283950.1	WP_308507107.1
OG0000427	WP_347952391.1	WP_160583922.1
OG0000428	WP_135618601.1	WP_160583859.1
OG0000429	WP_011206036.1	WP_160581337.1
OG0000430	WP_347952394.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_347952398.1	WP_160583869.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_044284602.1	WP_160583871.1
OG0000435	WP_011290077.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000438	WP_347952404.1	WP_160583883.1
OG0000439	WP_020835619.1	WP_160583885.1
OG0000440	WP_160585229.1	WP_160583891.1
OG0000441	WP_347952273.1	WP_308704669.1
OG0000442	WP_347952348.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_044284571.1	WP_002557895.1
OG0000446	WP_347952358.1	WP_002557901.1
OG0000447	WP_347952359.1	WP_160583729.1
OG0000448	WP_011289976.1	WP_160583723.1
OG0000449	WP_011289981.1	WP_160583719.1
OG0000450	WP_347952365.1	WP_160583715.1
OG0000451	WP_160584753.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_011283895.1	WP_002557934.1
OG0000455	WP_347952324.1	WP_160583788.1
OG0000456	WP_347952315.1	WP_160583804.1
OG0000458	WP_020835790.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_160580973.1
OG0000460	WP_347952245.1	WP_160583620.1
OG0000461	WP_347952248.1	WP_160583627.1
OG0000462	WP_011284228.1	WP_160583626.1
OG0000463	WP_011206310.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_347952247.1	WP_160583624.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_347952254.1	WP_220190176.1
OG0000468	WP_011290194.1	WP_308704671.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_135618603.1	WP_039387651.1
OG0000472	WP_347952306.1	WP_160583820.1
OG0000473	WP_160588156.1	WP_039387713.1
OG0000474	WP_041361711.1	WP_039387714.1
OG0000475	WP_347952323.1	WP_220190185.1
OG0000476	WP_347952431.1	WP_039387719.1
OG0000477	WP_347952249.1	WP_039387750.1
OG0000478	WP_347952319.1	WP_160583800.1
OG0000479	WP_146379554.1	WP_160583965.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_308507115.1
OG0000482	WP_347952406.1	WP_334296058.1
OG0000483	WP_347952210.1	WP_258556607.1
OG0000484	WP_347952353.1	WP_308704668.1
OG0000485	WP_020835615.1	WP_039387661.1
OG0000486	WP_160585249.1	WP_255454510.1
OG0000487	WP_220191052.1	WP_052234586.1
OG0000488	WP_347952207.1	WP_002557450.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_347952337.1	WP_002557481.1
OG0000491	WP_020835639.1	WP_002557542.1
OG0000492	WP_094521628.1	WP_160583973.1
OG0000493	WP_146379488.1	WP_160580862.1
OG0000494	WP_052269169.1	WP_160583682.1
OG0000495	WP_011284272.1	WP_160580903.1
OG0000496	WP_011206375.1	WP_160583664.1
OG0000497	WP_011206374.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_020835817.1	WP_160583644.1
OG0000500	WP_347952479.1	WP_160584015.1
OG0000501	WP_347952284.1	WP_160583899.1
OG0000502	WP_347952405.1	WP_160583987.1
OG0000503	WP_020835576.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_160583855.1
OG0000505	WP_011290053.1	WP_160581345.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_020835590.1	WP_002557821.1
OG0000508	WP_044272682.1	WP_002557900.1
OG0000509	WP_020835518.1	WP_220190183.1
OG0000510	WP_347952361.1	WP_002557908.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_347952246.1	WP_160583622.1
OG0000513	WP_347952316.1	WP_039387707.1
OG0000514	WP_347952266.1	WP_160583668.1
OG0000516	WP_146379601.1	WP_160584031.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_160585644.1	WP_160583907.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000520	WP_135618599.1	WP_160581350.1
OG0000521	WP_347952360.1	WP_160583727.1
OG0000523	WP_347952311.1	WP_160583812.1
OG0000524	WP_347952253.1	WP_220190175.1
OG0000525	WP_347952307.1	WP_160583818.1
OG0000528	WP_347952204.1	WP_160581474.1
OG0000529	WP_014579831.1	WP_160583937.1
OG0000530	WP_347952225.1	WP_002557529.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000533	WP_011206110.1	WP_160581332.1
OG0000534	WP_160615517.1	WP_002557926.1
OG0000535	WP_347952340.1	WP_160583753.1
OG0000536	WP_347952329.1	WP_160583775.1
OG0000537	WP_011290028.1	WP_002557776.1
OG0000538	WP_347952401.1	WP_160583873.1
OG0000539	WP_160585545.1	WP_002557892.1
OG0000541	WP_347952257.1	WP_160583649.1
OG0000542	WP_011289986.1	WP_160581026.1
OG0000547	WP_011290341.1	WP_160580878.1
OG0000548	WP_347952439.1	WP_160581410.1
OG0000549	WP_347952305.1	WP_160583822.1
OG0000550	WP_347952321.1	WP_002557950.1
OG0000596	WP_014579752.1	WP_160583747.1
OG0000598	WP_347952458.1	WP_160581073.1
OG0000599	WP_011206170.1	WP_039387482.1
OG0000602	WP_347952206.1	WP_160584017.1
