Orthogroup	MHP_MHP691_proteins	MFC_Ms42_proteins
OG0000082	WP_258555583.1	WP_231237888.1
OG0000083	WP_160590043.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_160590049.1	WP_002557452.1
OG0000086	WP_160590052.1	WP_002557454.1
OG0000087	WP_020835732.1	WP_236681783.1
OG0000088	WP_160590058.1	WP_002557458.1
OG0000089	WP_011290212.1	WP_002557461.1
OG0000090	WP_020835488.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_160584856.1	WP_002557472.1
OG0000094	WP_160606485.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_258555535.1	WP_002557483.1
OG0000098	WP_146379769.1	WP_002557485.1
OG0000099	WP_160607759.1	WP_002557494.1
OG0000100	WP_011290432.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_135619192.1	WP_002557499.1
OG0000103	WP_160585202.1	WP_002557509.1
OG0000104	WP_160607672.1	WP_002557510.1
OG0000105	WP_160607676.1	WP_002557514.1
OG0000106	WP_146379631.1	WP_002557516.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_308704677.1	WP_002557519.1
OG0000109	WP_160607678.1	WP_002557520.1
OG0000110	WP_146379648.1	WP_002557522.1
OG0000111	WP_258555584.1	WP_002557523.1
OG0000112	WP_258555585.1	WP_002557525.1
OG0000113	WP_160585296.1	WP_002557528.1
OG0000114	WP_258555588.1	WP_002557530.1
OG0000115	WP_011290245.1	WP_002557532.1
OG0000116	WP_160608082.1	WP_002557534.1
OG0000117	WP_160608080.1	WP_002557535.1
OG0000118	WP_011290108.1	WP_002557540.1
OG0000119	WP_135618686.1	WP_002557541.1
OG0000120	WP_160590292.1	WP_002557544.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_002557553.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_011290120.1	WP_002557557.1
OG0000127	WP_160590282.1	WP_002557559.1
OG0000128	WP_160607796.1	WP_002557562.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_160585099.1	WP_002557566.1
OG0000132	WP_094521636.1	WP_002557569.1
OG0000133	WP_094521764.1	WP_002557574.1
OG0000134	WP_308704690.1	WP_002557575.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_135618546.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_002557585.1
OG0000138	WP_160608058.1	WP_002557590.1
OG0000139	WP_011206102.1	WP_002557594.1
OG0000140	WP_160608056.1	WP_002557595.1
OG0000141	WP_011284290.1	WP_002557602.1
OG0000142	WP_160607860.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_002557607.1
OG0000144	WP_160607856.1	WP_002557609.1
OG0000145	WP_225972996.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_160607848.1	WP_002557618.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_011206376.1	WP_002557623.1
OG0000151	WP_160608076.1	WP_002557634.1
OG0000152	WP_160585269.1	WP_002557635.1
OG0000153	WP_160608074.1	WP_002557636.1
OG0000154	WP_160587842.1	WP_002557638.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_011206335.1	WP_002557647.1
OG0000157	WP_020835818.1	WP_002557648.1
OG0000158	WP_160607812.1	WP_002557650.1
OG0000159	WP_160590317.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_002557669.1
OG0000162	WP_160608004.1	WP_002557671.1
OG0000163	WP_160607997.1	WP_002557672.1
OG0000164	WP_135618732.1	WP_002557677.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_160590029.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_002557692.1
OG0000168	WP_160585173.1	WP_002557693.1
OG0000169	WP_160607789.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_002557704.1
OG0000171	WP_160585650.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_160585649.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_002557709.1
OG0000175	WP_160588054.1	WP_002557712.1
OG0000176	WP_160607777.1	WP_002557719.1
OG0000177	WP_160585273.1	WP_039387687.1
OG0000178	WP_044272620.1	WP_002557721.1
OG0000179	WP_014579979.1	WP_002557724.1
OG0000180	WP_160607773.1	WP_002557725.1
OG0000181	WP_160585796.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_160588140.1	WP_002557740.1
OG0000185	WP_020835897.1	WP_002557743.1
OG0000186	WP_044284745.1	WP_002557750.1
OG0000187	WP_160585781.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_160607686.1	WP_039387623.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_146379633.1	WP_002557761.1
OG0000192	WP_011205992.1	WP_002557763.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_011283923.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_020835573.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_146379501.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011290039.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_002557792.1
OG0000204	WP_160608010.1	WP_002557793.1
OG0000205	WP_160606691.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_002557801.1
OG0000208	WP_160584818.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_135618604.1	WP_002557811.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_160585195.1	WP_002557816.1
OG0000214	WP_160608018.1	WP_002557817.1
OG0000215	WP_160608019.1	WP_002557818.1
OG0000216	WP_160608020.1	WP_002557819.1
OG0000217	WP_160585731.1	WP_002557820.1
OG0000218	WP_011290058.1	WP_002557822.1
OG0000219	WP_020835591.1	WP_002557823.1
OG0000220	WP_135618616.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_020835596.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_160608021.1	WP_002557834.1
OG0000229	WP_160608022.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_002557842.1
OG0000234	WP_160607928.1	WP_002557848.1
OG0000235	WP_160607926.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_002557851.1
OG0000237	WP_160607924.1	WP_002557855.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011290347.1	WP_002557863.1
OG0000240	WP_020835851.1	WP_002557864.1
OG0000241	WP_160585231.1	WP_002557866.1
OG0000242	WP_160608088.1	WP_002557867.1
OG0000243	WP_160608089.1	WP_002557868.1
OG0000244	WP_160608092.1	WP_002557870.1
OG0000245	WP_011206408.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_160607991.1	WP_002557877.1
OG0000248	WP_160585552.1	WP_002557882.1
OG0000249	WP_160607989.1	WP_002557883.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_160607985.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_002557893.1
OG0000253	WP_135618489.1	WP_002557894.1
OG0000254	WP_160607983.1	WP_002557896.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011289974.1	WP_002557905.1
OG0000259	WP_020835520.1	WP_002557911.1
OG0000260	WP_160607902.1	WP_002557913.1
OG0000261	WP_160607906.1	WP_002557915.1
OG0000262	WP_135618519.1	WP_002557919.1
OG0000263	WP_160585532.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_002557925.1
OG0000265	WP_160607914.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_146379477.1	WP_002557932.1
OG0000268	WP_160584745.1	WP_002557933.1
OG0000269	WP_160608050.1	WP_002557936.1
OG0000270	WP_020835916.1	WP_002557945.1
OG0000271	WP_020835915.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_011290423.1	WP_002557951.1
OG0000275	WP_228366117.1	WP_039387710.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_011206493.1	WP_002557957.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_160607742.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_160607738.1	WP_002557964.1
OG0000283	WP_014580009.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_160585586.1	WP_002557967.1
OG0000286	WP_146379652.1	WP_002557972.1
OG0000287	WP_146379659.1	WP_002557978.1
OG0000288	WP_160585009.1	WP_002557980.1
OG0000289	WP_160608040.1	WP_002557981.1
OG0000290	WP_011290297.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_020835806.1	WP_002558006.1
OG0000293	WP_020835805.1	WP_002558007.1
OG0000294	WP_160607832.1	WP_002558009.1
OG0000295	WP_011206315.1	WP_002558010.1
OG0000296	WP_044272552.1	WP_002558018.1
OG0000297	WP_160608046.1	WP_002558019.1
OG0000298	WP_160584774.1	WP_039387485.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_135618529.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_039387509.1
OG0000304	WP_011283978.1	WP_039387510.1
OG0000305	WP_160607854.1	WP_039387514.1
OG0000306	WP_160607838.1	WP_039387523.1
OG0000307	WP_160608072.1	WP_039387525.1
OG0000308	WP_160607822.1	WP_039387535.1
OG0000309	WP_146379668.1	WP_039387539.1
OG0000310	WP_011206298.1	WP_039387544.1
OG0000311	WP_160608002.1	WP_039387548.1
OG0000312	WP_160585159.1	WP_039387550.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_160607866.1	WP_039387562.1
OG0000315	WP_160585171.1	WP_039387569.1
OG0000316	WP_160590036.1	WP_039387574.1
OG0000317	WP_146379589.1	WP_039387578.1
OG0000318	WP_220200601.1	WP_039387594.1
OG0000319	WP_160607674.1	WP_236681771.1
OG0000320	WP_160607890.1	WP_039387609.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_258555552.1	WP_039387619.1
OG0000324	WP_160607680.1	WP_039387626.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_160588270.1	WP_039387636.1
OG0000327	WP_146379506.1	WP_039387638.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_160585607.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_160608090.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_160607767.1	WP_039387693.1
OG0000335	WP_160585799.1	WP_039387695.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011290441.1	WP_039387722.1
OG0000338	WP_011284394.1	WP_039387723.1
OG0000339	WP_160607894.1	WP_039387775.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_160590335.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_041361706.1	WP_051054328.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_225973015.1	WP_081605285.1
OG0000349	WP_160607746.1	WP_155897264.1
OG0000350	WP_258555623.1	WP_201771011.1
OG0000351	WP_160608052.1	WP_220189978.1
OG0000352	WP_160585020.1	WP_002557683.1
OG0000353	WP_160607804.1	WP_002557547.1
OG0000354	WP_308507053.1	WP_002557591.1
OG0000355	WP_011206194.1	WP_231237866.1
OG0000356	WP_308506994.1	WP_231237867.1
OG0000357	WP_228366113.1	WP_002557710.1
OG0000358	WP_160607785.1	WP_231237872.1
OG0000359	WP_308704683.1	WP_236681774.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_231237880.1
OG0000362	WP_011290282.1	WP_231237889.1
OG0000363	WP_308704679.1	WP_323749062.1
OG0000365	WP_160590046.1	WP_002557448.1
OG0000366	WP_146379594.1	WP_002557453.1
OG0000367	WP_220200603.1	WP_002557455.1
OG0000368	WP_011289935.1	WP_002557467.1
OG0000369	WP_011289930.1	WP_039387473.1
OG0000371	WP_146379443.1	WP_002557477.1
OG0000372	WP_160584860.1	WP_236681780.1
OG0000373	WP_160585758.1	WP_002557482.1
OG0000374	WP_160607712.1	WP_002557484.1
OG0000375	WP_011284163.1	WP_002557511.1
OG0000376	WP_146379646.1	WP_002557524.1
OG0000377	WP_160590444.1	WP_002557526.1
OG0000378	WP_011205977.1	WP_002557533.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_160588252.1	WP_002557550.1
OG0000381	WP_160607800.1	WP_002557558.1
OG0000382	WP_160607793.1	WP_002557564.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_014579586.1	WP_002557571.1
OG0000385	WP_044272311.1	WP_002557572.1
OG0000386	WP_011206121.1	WP_002557576.1
OG0000387	WP_160608032.1	WP_002557580.1
OG0000388	WP_160585142.1	WP_002557581.1
OG0000389	WP_160608060.1	WP_002557589.1
OG0000390	WP_160590163.1	WP_002557608.1
OG0000391	WP_020835843.1	WP_002557610.1
OG0000392	WP_160607852.1	WP_002557615.1
OG0000393	WP_160607840.1	WP_002557627.1
OG0000394	WP_160608116.1	WP_002557640.1
OG0000395	WP_160608114.1	WP_002557641.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_160585022.1	WP_002557680.1
OG0000398	WP_020835709.1	WP_002557681.1
OG0000399	WP_160590031.1	WP_002557691.1
OG0000400	WP_044272610.1	WP_002557703.1
OG0000401	WP_135619070.1	WP_002557714.1
OG0000402	WP_160607781.1	WP_002557715.1
OG0000403	WP_220191162.1	WP_002557717.1
OG0000404	WP_160607775.1	WP_039387689.1
OG0000405	WP_160585278.1	WP_002557726.1
OG0000406	WP_160585802.1	WP_002557731.1
OG0000407	WP_160607764.1	WP_039387697.1
OG0000408	WP_160607762.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_160607965.1	WP_002557739.1
OG0000411	WP_146379742.1	WP_002557741.1
OG0000412	WP_160607967.1	WP_002557742.1
OG0000413	WP_160608098.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_020835657.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_160607684.1	WP_002557759.1
OG0000418	WP_258555520.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_160607977.1	WP_002557780.1
OG0000421	WP_011206080.1	WP_002557784.1
OG0000422	WP_146379504.1	WP_002557786.1
OG0000423	WP_020835585.1	WP_002557796.1
OG0000424	WP_011290043.1	WP_002557797.1
OG0000425	WP_011206065.1	WP_002557799.1
OG0000426	WP_011206064.1	WP_002557800.1
OG0000427	WP_160608008.1	WP_002557805.1
OG0000428	WP_160608006.1	WP_002557810.1
OG0000429	WP_011206036.1	WP_002557828.1
OG0000430	WP_160608023.1	WP_002557837.1
OG0000431	WP_146379524.1	WP_002557839.1
OG0000432	WP_160585570.1	WP_002557843.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_160607932.1	WP_002557846.1
OG0000435	WP_011290077.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_160584684.1	WP_002557860.1
OG0000438	WP_160607920.1	WP_002557861.1
OG0000439	WP_160607918.1	WP_002557862.1
OG0000440	WP_160608084.1	WP_002557865.1
OG0000441	WP_011284299.1	WP_236681776.1
OG0000442	WP_160607726.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_160585544.1	WP_002557895.1
OG0000446	WP_135618497.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_002557902.1
OG0000448	WP_011205897.1	WP_002557907.1
OG0000449	WP_160607900.1	WP_002557912.1
OG0000450	WP_160607904.1	WP_002557914.1
OG0000451	WP_160607910.1	WP_002557923.1
OG0000452	WP_258555618.1	WP_002557928.1
OG0000453	WP_160608048.1	WP_002557934.1
OG0000454	WP_160607934.1	WP_051054325.1, WP_002557940.1
OG0000455	WP_160607751.1	WP_002557941.1
OG0000456	WP_160607740.1	WP_002557963.1
OG0000457	WP_160607736.1	WP_002557968.1
OG0000458	WP_160608038.1	WP_002557977.1
OG0000459	WP_160608042.1	WP_002557982.1
OG0000460	WP_044272549.1	WP_002557984.1
OG0000461	WP_220200620.1	WP_039387541.1
OG0000462	WP_160607834.1	WP_002558013.1
OG0000463	WP_011206310.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_160585762.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_160607818.1	WP_039387531.1
OG0000468	WP_160607658.1	WP_039387564.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_135618603.1	WP_039387651.1
OG0000472	WP_160607961.1	WP_039387700.1
OG0000473	WP_044272671.1	WP_039387713.1
OG0000474	WP_160585578.1	WP_039387714.1
OG0000475	WP_160607749.1	WP_039387715.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_160607830.1	WP_039387750.1
OG0000478	WP_146379753.1	WP_039387817.1
OG0000479	WP_160607806.1	WP_051054268.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_308704684.1	WP_002557790.1
OG0000482	WP_160585562.1	WP_201771017.1
OG0000483	WP_160590070.1	WP_236681784.1
OG0000484	WP_225973007.1	WP_231237877.1
OG0000485	WP_160607922.1	WP_039387661.1
OG0000486	WP_160585249.1	WP_236681773.1
OG0000487	WP_220200602.1	WP_052234586.1
OG0000488	WP_011206221.1	WP_002557450.1
OG0000489	WP_160607714.1	WP_002557469.1
OG0000490	WP_146379773.1	WP_002557481.1
OG0000491	WP_160588241.1	WP_002557542.1
OG0000492	WP_160607802.1	WP_002557556.1
OG0000493	WP_160608034.1	WP_002557584.1
OG0000494	WP_052259108.1	WP_002557592.1
OG0000495	WP_160607844.1	WP_002557622.1
OG0000496	WP_011206375.1	WP_002557624.1
OG0000497	WP_160607842.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_011206333.1	WP_002557649.1
OG0000500	WP_146379610.1	WP_002557682.1
OG0000501	WP_220190663.1	WP_002557705.1
OG0000502	WP_094521609.1	WP_002557767.1
OG0000503	WP_016340193.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_002557806.1
OG0000505	WP_011290053.1	WP_002557812.1
OG0000506	WP_160608017.1	WP_002557814.1
OG0000507	WP_020835590.1	WP_002557821.1
OG0000508	WP_044272682.1	WP_002557900.1
OG0000509	WP_220200635.1	WP_002557906.1
OG0000510	WP_011289977.1	WP_002557908.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_160585006.1	WP_002557985.1
OG0000513	WP_146379751.1	WP_039387707.1
OG0000514	WP_160607850.1	WP_039387516.1
OG0000516	WP_160607660.1	WP_002557444.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_160607783.1	WP_002557713.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000520	WP_135618599.1	WP_002557809.1
OG0000521	WP_011205893.1	WP_002557903.1
OG0000522	WP_135618505.1	WP_002557909.1
OG0000523	WP_160607734.1	WP_002557969.1
OG0000524	WP_160607820.1	WP_039387533.1
OG0000528	WP_160607662.1	WP_002557445.1
OG0000529	WP_160585770.1	WP_002557515.1
OG0000530	WP_160585298.1	WP_002557529.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000532	WP_160590479.1	WP_002557598.1
OG0000533	WP_011206110.1	WP_002557841.1
OG0000534	WP_160607912.1	WP_002557926.1
OG0000535	WP_011205848.1	WP_002557470.1
OG0000537	WP_011290028.1	WP_002557776.1
OG0000538	WP_160607930.1	WP_002557847.1
OG0000539	WP_160600661.1	WP_002557892.1
OG0000540	WP_160607828.1	WP_002558004.1
OG0000541	WP_160590426.1	WP_002557646.1
OG0000542	WP_160585533.1	WP_002557920.1
OG0000547	WP_160607858.1	WP_002557606.1
OG0000548	WP_135618730.1	WP_002557674.1
OG0000549	WP_160607963.1	WP_002557744.1
OG0000550	WP_220200614.1	WP_002557950.1
OG0000551	WP_160608094.1	WP_231237875.1
OG0000555	WP_308507032.1	WP_002557605.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000597	WP_167871266.1	WP_051054290.1
OG0000602	WP_160607664.1	WP_002557449.1
