Orthogroup	MHP_MHP709_genes	MFC_ATCC27716_genes
OG0000092	DR088_RS01890	MFC_RS00195
OG0000093	DR088_RS01885	MFC_RS00200
OG0000094	DR088_RS01880	MFC_RS00205
OG0000095	DR088_RS01855	MFC_RS00230
OG0000096	DR088_RS01850	MFC_RS00235
OG0000097	DR088_RS01830	MFC_RS00255
OG0000098	DR088_RS01820	MFC_RS00265
OG0000099	DR088_RS04460	MFC_RS00320
OG0000100	DR088_RS02105	MFC_RS00335
OG0000101	DR088_RS02100	MFC_RS00340
OG0000102	DR088_RS02310	MFC_RS00350
OG0000103	DR088_RS02855	MFC_RS00405
OG0000104	DR088_RS02860	MFC_RS00410
OG0000105	DR088_RS02875	MFC_RS00425
OG0000106	DR088_RS02885	MFC_RS00435
OG0000107	DR088_RS02895	MFC_RS00445
OG0000108	DR088_RS02900	MFC_RS00450
OG0000109	DR088_RS02905	MFC_RS00455
OG0000110	DR088_RS02395	MFC_RS00460
OG0000111	DR088_RS02400	MFC_RS00465
OG0000112	DR088_RS02410	MFC_RS00475
OG0000113	DR088_RS04525	MFC_RS00490
OG0000114	DR088_RS02440	MFC_RS00500
OG0000115	DR088_RS02455	MFC_RS00510
OG0000116	DR088_RS01000	MFC_RS00520
OG0000117	DR088_RS01005	MFC_RS00525
OG0000118	DR088_RS02615	MFC_RS00555
OG0000119	DR088_RS02620	MFC_RS00560
OG0000120	DR088_RS02635	MFC_RS00575
OG0000121	DR088_RS02660	MFC_RS00600
OG0000122	DR088_RS02665	MFC_RS00605
OG0000123	DR088_RS02685	MFC_RS00625
OG0000124	DR088_RS02690	MFC_RS00630
OG0000125	DR088_RS02695	MFC_RS00635
OG0000126	DR088_RS02465	MFC_RS00645
OG0000127	DR088_RS02475	MFC_RS00655
OG0000128	DR088_RS02490	MFC_RS00670
OG0000129	DR088_RS02495	MFC_RS00675
OG0000130	DR088_RS02505	MFC_RS00685
OG0000131	DR088_RS04535	MFC_RS00715
OG0000132	DR088_RS04540	MFC_RS00735
OG0000133	DR088_RS03100	MFC_RS00805
OG0000134	DR088_RS03095	MFC_RS00810
OG0000135	DR088_RS03080	MFC_RS00825
OG0000136	DR088_RS03075	MFC_RS00830
OG0000137	DR088_RS03045	MFC_RS00860
OG0000138	DR088_RS00760	MFC_RS00885
OG0000139	DR088_RS00730	MFC_RS00915
OG0000140	DR088_RS00725	MFC_RS00920
OG0000141	DR088_RS00345	MFC_RS00955
OG0000142	DR088_RS04315	MFC_RS00960
OG0000143	DR088_RS00320	MFC_RS00985
OG0000144	DR088_RS00310	MFC_RS00995
OG0000145	DR088_RS00300	MFC_RS01005
OG0000146	DR088_RS00290	MFC_RS01015
OG0000147	DR088_RS00285	MFC_RS01020
OG0000148	DR088_RS00270	MFC_RS01035
OG0000149	DR088_RS00260	MFC_RS01045
OG0000150	DR088_RS00245	MFC_RS01060
OG0000151	DR088_RS00200	MFC_RS01115
OG0000152	DR088_RS00195	MFC_RS01120
OG0000153	DR088_RS00190	MFC_RS01125
OG0000154	DR088_RS00180	MFC_RS01135
OG0000155	DR088_RS00140	MFC_RS01155
OG0000156	DR088_RS00130	MFC_RS01175
OG0000157	DR088_RS04305	MFC_RS01180
OG0000158	DR088_RS04300	MFC_RS01190
OG0000159	DR088_RS02995	MFC_RS01245
OG0000160	DR088_RS02990	MFC_RS01250
OG0000161	DR088_RS02985	MFC_RS01255
OG0000162	DR088_RS02975	MFC_RS01265
OG0000163	DR088_RS02970	MFC_RS01270
OG0000164	DR088_RS03330	MFC_RS01300
OG0000165	DR088_RS00550	MFC_RS01345
OG0000166	DR088_RS00570	MFC_RS01365
OG0000167	DR088_RS00585	MFC_RS01380
OG0000168	DR088_RS00590	MFC_RS01385
OG0000169	DR088_RS01385	MFC_RS01430
OG0000170	DR088_RS01400	MFC_RS01455
OG0000171	DR088_RS01410	MFC_RS01465
OG0000172	DR088_RS01420	MFC_RS01470
OG0000173	DR088_RS01425	MFC_RS01475
OG0000174	DR088_RS01430	MFC_RS01480
OG0000175	DR088_RS01445	MFC_RS01495
OG0000176	DR088_RS01495	MFC_RS01540
OG0000177	DR088_RS01500	MFC_RS01545
OG0000178	DR088_RS01505	MFC_RS01550
OG0000179	DR088_RS01515	MFC_RS01560
OG0000180	DR088_RS01520	MFC_RS01565
OG0000181	DR088_RS04610	MFC_RS01580
OG0000182	DR088_RS03500	MFC_RS01590
OG0000183	DR088_RS01985	MFC_RS01625
OG0000184	DR088_RS02025	MFC_RS01655
OG0000185	DR088_RS02010	MFC_RS01670
OG0000186	DR088_RS04545	MFC_RS01710
OG0000187	DR088_RS02575	MFC_RS01725
OG0000188	DR088_RS02585	MFC_RS01735
OG0000189	DR088_RS04560	MFC_RS03385
OG0000190	DR088_RS02935	MFC_RS01750
OG0000191	DR088_RS02915	MFC_RS01770
OG0000192	DR088_RS00920	MFC_RS01780
OG0000193	DR088_RS00905	MFC_RS01795
OG0000194	DR088_RS02840	MFC_RS01805
OG0000195	DR088_RS02835	MFC_RS01810
OG0000196	DR088_RS02815	MFC_RS01830
OG0000197	DR088_RS02810	MFC_RS01835
OG0000198	DR088_RS02795	MFC_RS01850
OG0000199	DR088_RS02790	MFC_RS01855
OG0000200	DR088_RS02775	MFC_RS01865
OG0000201	DR088_RS02765	MFC_RS01875
OG0000202	DR088_RS02710	MFC_RS01930
OG0000203	DR088_RS02705	MFC_RS01935
OG0000204	DR088_RS04410	MFC_RS01940
OG0000205	DR088_RS01790	MFC_RS01945
OG0000206	DR088_RS01770	MFC_RS01965
OG0000207	DR088_RS01755	MFC_RS01980
OG0000208	DR088_RS01750	MFC_RS01985
OG0000209	DR088_RS01745	MFC_RS01990
OG0000210	DR088_RS01700	MFC_RS02040
OG0000211	DR088_RS01690	MFC_RS02050
OG0000212	DR088_RS01680	MFC_RS02060
OG0000213	DR088_RS01675	MFC_RS02065
OG0000214	DR088_RS01670	MFC_RS02070
OG0000215	DR088_RS01665	MFC_RS02075
OG0000216	DR088_RS01660	MFC_RS02080
OG0000217	DR088_RS01655	MFC_RS02085
OG0000218	DR088_RS01645	MFC_RS02095
OG0000219	DR088_RS01640	MFC_RS02100
OG0000220	DR088_RS01635	MFC_RS02105
OG0000221	DR088_RS01630	MFC_RS02110
OG0000222	DR088_RS01625	MFC_RS03235
OG0000223	DR088_RS01620	MFC_RS02115
OG0000224	DR088_RS01610	MFC_RS02125
OG0000225	DR088_RS01600	MFC_RS02135
OG0000226	DR088_RS01595	MFC_RS02140
OG0000227	DR088_RS01590	MFC_RS02145
OG0000228	DR088_RS04640	MFC_RS03530
OG0000229	DR088_RS01580	MFC_RS02155
OG0000230	DR088_RS01575	MFC_RS02160
OG0000231	DR088_RS01565	MFC_RS02170
OG0000232	DR088_RS01555	MFC_RS02180
OG0000233	DR088_RS00790	MFC_RS02190
OG0000234	DR088_RS00825	MFC_RS02220
OG0000235	DR088_RS00835	MFC_RS02230
OG0000236	DR088_RS00840	MFC_RS02235
OG0000237	DR088_RS00845	MFC_RS02250
OG0000238	DR088_RS00855	MFC_RS02255
OG0000239	DR088_RS03185	MFC_RS02285
OG0000240	DR088_RS03190	MFC_RS02290
OG0000241	DR088_RS03200	MFC_RS02300
OG0000242	DR088_RS03205	MFC_RS02305
OG0000243	DR088_RS03210	MFC_RS02310
OG0000244	DR088_RS03220	MFC_RS02320
OG0000245	DR088_RS03230	MFC_RS02330
OG0000246	DR088_RS03555	MFC_RS02345
OG0000247	DR088_RS03610	MFC_RS02355
OG0000248	DR088_RS01365	MFC_RS02380
OG0000249	DR088_RS01360	MFC_RS02385
OG0000250	DR088_RS01345	MFC_RS02400
OG0000251	DR088_RS01310	MFC_RS02430
OG0000252	DR088_RS01300	MFC_RS02440
OG0000253	DR088_RS01295	MFC_RS02445
OG0000254	DR088_RS01285	MFC_RS02455
OG0000255	DR088_RS01275	MFC_RS02465
OG0000256	DR088_RS01270	MFC_RS02470
OG0000257	DR088_RS01245	MFC_RS02495
OG0000258	DR088_RS01235	MFC_RS02505
OG0000259	DR088_RS01205	MFC_RS02535
OG0000260	DR088_RS01195	MFC_RS02545
OG0000261	DR088_RS04380	MFC_RS02555
OG0000262	DR088_RS01170	MFC_RS02570
OG0000263	DR088_RS01155	MFC_RS02585
OG0000264	DR088_RS01140	MFC_RS02600
OG0000265	DR088_RS01130	MFC_RS02610
OG0000266	DR088_RS01115	MFC_RS02625
OG0000267	DR088_RS01100	MFC_RS02640
OG0000268	DR088_RS01095	MFC_RS02645
OG0000269	DR088_RS01080	MFC_RS02660
OG0000270	DR088_RS04455	MFC_RS02720
OG0000271	DR088_RS02070	MFC_RS02725
OG0000272	DR088_RS02065	MFC_RS02730
OG0000273	DR088_RS02060	MFC_RS02735
OG0000274	DR088_RS02160	MFC_RS02755
OG0000275	DR088_RS04480	MFC_RS03455
OG0000276	DR088_RS02170	MFC_RS02765
OG0000277	DR088_RS02180	MFC_RS02775
OG0000278	DR088_RS02185	MFC_RS02780
OG0000279	DR088_RS02195	MFC_RS02790
OG0000280	DR088_RS02200	MFC_RS02795
OG0000281	DR088_RS02205	MFC_RS03255
OG0000282	DR088_RS04490	MFC_RS02820
OG0000283	DR088_RS02235	MFC_RS02825
OG0000284	DR088_RS02240	MFC_RS02830
OG0000285	DR088_RS04495	MFC_RS02835
OG0000286	DR088_RS02955	MFC_RS02865
OG0000287	DR088_RS03170	MFC_RS02890
OG0000288	DR088_RS03160	MFC_RS02900
OG0000289	DR088_RS03155	MFC_RS02905
OG0000290	DR088_RS00070	MFC_RS03030
OG0000291	DR088_RS00060	MFC_RS03040
OG0000292	DR088_RS00055	MFC_RS03045
OG0000293	DR088_RS00050	MFC_RS03050
OG0000294	DR088_RS00040	MFC_RS03060
OG0000295	DR088_RS00035	MFC_RS03065
OG0000296	DR088_RS03120	MFC_RS03110
OG0000297	DR088_RS03125	MFC_RS03115
OG0000298	DR088_RS01350	MFC_RS02395
OG0000299	DR088_RS01325	MFC_RS02415
OG0000300	DR088_RS01145	MFC_RS02595
OG0000301	DR088_RS01110	MFC_RS02630
OG0000302	DR088_RS01105	MFC_RS02635
OG0000303	DR088_RS03070	MFC_RS00835
OG0000304	DR088_RS01550	MFC_RS00865
OG0000305	DR088_RS00295	MFC_RS01010
OG0000306	DR088_RS00220	MFC_RS01090
OG0000307	DR088_RS00185	MFC_RS01130
OG0000308	DR088_RS00090	MFC_RS03020
OG0000309	DR088_RS00025	MFC_RS03075
OG0000310	DR088_RS03165	MFC_RS02895
OG0000311	DR088_RS03015	MFC_RS01220
OG0000312	DR088_RS03000	MFC_RS01240
OG0000313	DR088_RS03340	MFC_RS01290
OG0000314	DR088_RS00565	MFC_RS01360
OG0000315	DR088_RS00595	MFC_RS01390
OG0000316	DR088_RS00605	MFC_RS01400
OG0000317	DR088_RS00695	MFC_RS00110
OG0000318	DR088_RS04330	MFC_RS00020
OG0000319	DR088_RS02870	MFC_RS00420
OG0000320	DR088_RS02420	MFC_RS00485
OG0000321	DR088_RS02610	MFC_RS00550
OG0000322	DR088_RS02655	MFC_RS00595
OG0000323	DR088_RS02545	MFC_RS00725
OG0000324	DR088_RS02910	MFC_RS01775
OG0000325	DR088_RS02830	MFC_RS01815
OG0000326	DR088_RS02735	MFC_RS01905
OG0000327	DR088_RS02730	MFC_RS01910
OG0000328	DR088_RS01740	MFC_RS01995
OG0000329	DR088_RS01720	MFC_RS02020
OG0000330	DR088_RS00800	MFC_RS02200
OG0000331	DR088_RS03215	MFC_RS02315
OG0000332	DR088_RS01455	MFC_RS01505
OG0000333	DR088_RS01465	MFC_RS01515
OG0000334	DR088_RS03505	MFC_RS01585
OG0000335	DR088_RS01955	MFC_RS01595
OG0000336	DR088_RS04485	MFC_RS02805
OG0000337	DR088_RS01805	MFC_RS00280
OG0000338	DR088_RS01845	MFC_RS00240
OG0000339	DR088_RS02450	MFC_RS00505
OG0000340	DR088_RS04665	MFC_RS00530
OG0000341	DR088_RS02930	MFC_RS01755
OG0000342	DR088_RS02800	MFC_RS01845
OG0000343	DR088_RS01475	MFC_RS01525
OG0000344	DR088_RS03055	MFC_RS00850
OG0000345	DR088_RS01605	MFC_RS02130
OG0000346	DR088_RS02210	MFC_RS02800
OG0000347	DR088_RS02680	MFC_RS00620
OG0000348	DR088_RS02725	MFC_RS01915
OG0000349	DR088_RS04475	MFC_RS02745
OG0000350	DR088_RS00175	MFC_RS03345
OG0000351	DR088_RS01020	MFC_RS00785
OG0000352	DR088_RS00545	MFC_RS01340
OG0000353	DR088_RS02650	MFC_RS00590
OG0000354	DR088_RS00745	MFC_RS00900
OG0000355	DR088_RS04320	MFC_RS01315
OG0000356	DR088_RS04325	MFC_RS01395
OG0000357	DR088_RS04390	MFC_RS01485
OG0000358	DR088_RS01440	MFC_RS01490
OG0000359	DR088_RS04555	MFC_RS01885
OG0000360	DR088_RS01240	MFC_RS02500
OG0000361	DR088_RS01210	MFC_RS02530
OG0000362	DR088_RS03145	MFC_RS02915
OG0000363	DR088_RS02480	MFC_RS00660
OG0000365	DR088_RS04350	MFC_RS00050
OG0000366	DR088_RS00665	MFC_RS00080
OG0000367	DR088_RS00675	MFC_RS00090
OG0000368	DR088_RS01910	MFC_RS00175
OG0000369	DR088_RS04415	MFC_RS00210
OG0000370	DR088_RS01870	MFC_RS00215
OG0000371	DR088_RS01865	MFC_RS00220
OG0000372	DR088_RS01860	MFC_RS00225
OG0000373	DR088_RS01835	MFC_RS00250
OG0000374	DR088_RS01825	MFC_RS00260
OG0000375	DR088_RS02865	MFC_RS00415
OG0000376	DR088_RS02405	MFC_RS00470
OG0000377	DR088_RS02415	MFC_RS00480
OG0000378	DR088_RS00995	MFC_RS00515
OG0000379	DR088_RS02645	MFC_RS00585
OG0000380	DR088_RS02670	MFC_RS00610
OG0000381	DR088_RS02470	MFC_RS00650
OG0000382	DR088_RS02500	MFC_RS00680
OG0000383	DR088_RS02540	MFC_RS00720
OG0000384	DR088_RS03375	MFC_RS00790
OG0000385	DR088_RS03380	MFC_RS00795
OG0000386	DR088_RS03090	MFC_RS00815
OG0000387	DR088_RS03065	MFC_RS00840
OG0000388	DR088_RS04570	MFC_RS00845
OG0000389	DR088_RS00765	MFC_RS00880
OG0000390	DR088_RS00315	MFC_RS00990
OG0000391	DR088_RS00305	MFC_RS01000
OG0000392	DR088_RS00280	MFC_RS01030
OG0000393	DR088_RS04310	MFC_RS01080
OG0000394	DR088_RS00150	MFC_RS01145
OG0000395	DR088_RS00145	MFC_RS01150
OG0000396	DR088_RS02960	MFC_RS01280
OG0000397	DR088_RS00530	MFC_RS01325
OG0000398	DR088_RS00535	MFC_RS01330
OG0000399	DR088_RS00580	MFC_RS01375
OG0000400	DR088_RS01395	MFC_RS01450
OG0000401	DR088_RS01460	MFC_RS01510
OG0000402	DR088_RS01470	MFC_RS01520
OG0000403	DR088_RS01480	MFC_RS01530
OG0000404	DR088_RS01510	MFC_RS03375, MFC_RS01555
OG0000405	DR088_RS01525	MFC_RS01570
OG0000406	DR088_RS01960	MFC_RS01600
OG0000407	DR088_RS04425	MFC_RS01605
OG0000408	DR088_RS01970	MFC_RS01610
OG0000409	DR088_RS01975	MFC_RS01615
OG0000410	DR088_RS02030	MFC_RS01650
OG0000411	DR088_RS02020	MFC_RS01660
OG0000412	DR088_RS02015	MFC_RS01665
OG0000413	DR088_RS02555	MFC_RS01705
OG0000414	DR088_RS02565	MFC_RS01715
OG0000415	DR088_RS02570	MFC_RS01720
OG0000416	DR088_RS02580	MFC_RS01730
OG0000417	DR088_RS02925	MFC_RS01760
OG0000418	DR088_RS02920	MFC_RS01765
OG0000419	DR088_RS02820	MFC_RS01825
OG0000420	DR088_RS02785	MFC_RS01860
OG0000421	DR088_RS02750	MFC_RS01890
OG0000422	DR088_RS02740	MFC_RS01900
OG0000423	DR088_RS01780	MFC_RS01955
OG0000424	DR088_RS01775	MFC_RS01960
OG0000425	DR088_RS01765	MFC_RS01970
OG0000426	DR088_RS04405	MFC_RS01975
OG0000427	DR088_RS04400	MFC_RS02000
OG0000428	DR088_RS01710	MFC_RS02030
OG0000429	DR088_RS01615	MFC_RS02120
OG0000430	DR088_RS01570	MFC_RS02165
OG0000431	DR088_RS01560	MFC_RS02175
OG0000432	DR088_RS00795	MFC_RS02195
OG0000433	DR088_RS00810	MFC_RS02205
OG0000434	DR088_RS00815	MFC_RS02210
OG0000435	DR088_RS00830	MFC_RS02225
OG0000436	DR088_RS00860	MFC_RS03535
OG0000437	DR088_RS00870	MFC_RS02270
OG0000438	DR088_RS00875	MFC_RS02275
OG0000439	DR088_RS04360	MFC_RS02280
OG0000440	DR088_RS04575	MFC_RS02295
OG0000441	DR088_RS03240	MFC_RS02335
OG0000442	DR088_RS03560	MFC_RS02350
OG0000443	DR088_RS01330	MFC_RS02410
OG0000444	DR088_RS01315	MFC_RS02425
OG0000445	DR088_RS01290	MFC_RS02450
OG0000446	DR088_RS01260	MFC_RS02480
OG0000447	DR088_RS01255	MFC_RS02485
OG0000448	DR088_RS01225	MFC_RS02515
OG0000449	DR088_RS01200	MFC_RS02540
OG0000450	DR088_RS01190	MFC_RS02550
OG0000451	DR088_RS01150	MFC_RS02590
OG0000452	DR088_RS01125	MFC_RS02615
OG0000453	DR088_RS01090	MFC_RS02650
OG0000455	DR088_RS02095	MFC_RS02700
OG0000456	DR088_RS02225	MFC_RS02815
OG0000457	DR088_RS02250	MFC_RS02840
OG0000458	DR088_RS03175	MFC_RS02885
OG0000459	DR088_RS03150	MFC_RS02910
OG0000460	DR088_RS03140	MFC_RS02920
OG0000461	DR088_RS00020	MFC_RS03080
OG0000462	DR088_RS00015	MFC_RS03085
OG0000463	DR088_RS00010	MFC_RS03090
OG0000464	DR088_RS03110	MFC_RS03100
OG0000465	DR088_RS03115	MFC_RS03105
OG0000466	DR088_RS01120	MFC_RS02620
OG0000467	DR088_RS04290	MFC_RS03500
OG0000468	DR088_RS00575	MFC_RS01370
OG0000469	DR088_RS00635	MFC_RS00045
OG0000470	DR088_RS03670	MFC_RS01950
OG0000471	DR088_RS01705	MFC_RS02035
OG0000472	DR088_RS02040	MFC_RS01680
OG0000473	DR088_RS02080	MFC_RS02715
OG0000474	DR088_RS02085	MFC_RS02710
OG0000475	DR088_RS02090	MFC_RS02705
OG0000476	DR088_RS02590	MFC_RS00345
OG0000477	DR088_RS00045	MFC_RS03055
OG0000478	DR088_RS02175	MFC_RS02770
OG0000479	DR088_RS02605	MFC_RS00545
OG0000480	DR088_RS03655	MFC_RS03300
OG0000481	DR088_RS02715	MFC_RS01925
OG0000482	DR088_RS00910	MFC_RS01790
OG0000483	DR088_RS00680	MFC_RS00095
OG0000484	DR088_RS04385	MFC_RS02420
OG0000487	DR088_RS04335	MFC_RS00025
OG0000488	DR088_RS00650	MFC_RS00065
OG0000489	DR088_RS01900	MFC_RS00185
OG0000490	DR088_RS01840	MFC_RS00245
OG0000491	DR088_RS02625	MFC_RS00565
OG0000492	DR088_RS02700	MFC_RS00640
OG0000493	DR088_RS03050	MFC_RS00855
OG0000494	DR088_RS00740	MFC_RS00905
OG0000495	DR088_RS00250	MFC_RS01055
OG0000496	DR088_RS00240	MFC_RS01065
OG0000497	DR088_RS00235	MFC_RS01070
OG0000498	DR088_RS00155	MFC_RS01140
OG0000499	DR088_RS00120	MFC_RS01185
OG0000500	DR088_RS00540	MFC_RS01335
OG0000501	DR088_RS01405	MFC_RS01460
OG0000502	DR088_RS00900	MFC_RS01800
OG0000503	DR088_RS02770	MFC_RS01870
OG0000504	DR088_RS01730	MFC_RS02005
OG0000505	DR088_RS01695	MFC_RS02045
OG0000506	DR088_RS01685	MFC_RS02055
OG0000507	DR088_RS01650	MFC_RS02090
OG0000508	DR088_RS01265	MFC_RS02475
OG0000509	DR088_RS01230	MFC_RS02510
OG0000510	DR088_RS01220	MFC_RS02520
OG0000511	DR088_RS01085	MFC_RS02655
OG0000512	DR088_RS03135	MFC_RS02925
OG0000513	DR088_RS02190	MFC_RS02785
OG0000516	DR088_RS04340	MFC_RS00030
OG0000517	DR088_RS01915	MFC_RS00170
OG0000518	DR088_RS01450	MFC_RS01500
OG0000519	DR088_RS02745	MFC_RS01895
OG0000520	DR088_RS01715	MFC_RS02025
OG0000521	DR088_RS01250	MFC_RS02490
OG0000522	DR088_RS01215	MFC_RS02525
OG0000523	DR088_RS02255	MFC_RS02845
OG0000524	DR088_RS00095	MFC_RS03015
OG0000525	DR088_RS04440	MFC_RS01685
OG0000528	DR088_RS04345	MFC_RS00035
OG0000529	DR088_RS02880	MFC_RS00430
OG0000530	DR088_RS02435	MFC_RS00495
OG0000531	DR088_RS02675	MFC_RS00615
OG0000532	DR088_RS04600	MFC_RS00940
OG0000533	DR088_RS00780	MFC_RS02185
OG0000534	DR088_RS01135	MFC_RS02605
OG0000535	DR088_RS04420	MFC_RS00190
OG0000536	DR088_RS02125	MFC_RS00315
OG0000537	DR088_RS02805	MFC_RS01840
OG0000538	DR088_RS00820	MFC_RS02215
OG0000539	DR088_RS01305	MFC_RS02435
OG0000540	DR088_RS00065	MFC_RS03035
OG0000541	DR088_RS00135	MFC_RS01170
OG0000542	DR088_RS01165	MFC_RS02575
OG0000547	DR088_RS00325	MFC_RS00980
OG0000548	DR088_RS03345	MFC_RS01285
OG0000549	DR088_RS04435	MFC_RS01675
OG0000550	DR088_RS02155	MFC_RS02750
OG0000551	DR088_RS03225	MFC_RS02325
OG0000555	DR088_RS03765	MFC_RS03340
OG0000589	DR088_RS03680	MFC_RS03260
OG0000595	DR088_RS03435	MFC_RS01440
OG0000597	DR088_RS03445	MFC_RS01435
OG0000602	DR088_RS00645	MFC_RS00055
