Orthogroup	MHP_168L_proteins	MHP_Ue273_proteins
OG0000135	WP_011206120.1	WP_347952378.1
OG0000136	WP_014579592.1	WP_347952379.1
OG0000137	WP_014579598.1	WP_011206113.1
OG0000138	WP_014579656.1	WP_160584793.1
OG0000139	WP_016340195.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_016340242.1	WP_146379698.1
OG0000142	WP_016340241.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_014579946.1	WP_020835844.1
OG0000145	WP_228365394.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_016340240.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_014579931.1	WP_020835828.1
OG0000152	WP_014579930.1	WP_280996773.1
OG0000153	WP_014579929.1	WP_160615699.1
OG0000154	WP_044278028.1	WP_011206345.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_179221181.1
OG0000157	WP_014579918.1	WP_011206334.1
OG0000158	WP_014579917.1	WP_347952256.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_044278019.1	WP_179221158.1
OG0000161	WP_014579880.1	WP_014579880.1
OG0000162	WP_081632352.1	WP_347952489.1
OG0000163	WP_014579877.1	WP_347952237.1
OG0000164	WP_014579775.1	WP_347952440.1
OG0000165	WP_016340213.1	WP_011206200.1
OG0000166	WP_014579811.1	WP_347952199.1
OG0000167	WP_014579814.1	WP_011206207.1
OG0000168	WP_014579815.1	WP_160606591.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_014579964.1	WP_020835862.1
OG0000171	WP_014579966.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_347952285.1
OG0000173	WP_011206425.1	WP_347952286.1
OG0000174	WP_014579967.1	WP_160600929.1
OG0000175	WP_014579969.1	WP_160585645.1
OG0000176	WP_014579976.1	WP_347952289.1
OG0000177	WP_014579977.1	WP_347952290.1
OG0000178	WP_011206441.1	WP_044272620.1
OG0000179	WP_014579979.1	WP_160585639.1
OG0000180	WP_011206445.1	WP_160585638.1
OG0000181	WP_014579985.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011290401.1
OG0000185	WP_011206465.1	WP_347952304.1
OG0000186	WP_014579739.1	WP_347952429.1
OG0000187	WP_014579741.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_014579854.1	WP_347952219.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_014579850.1	WP_020835755.1
OG0000192	WP_011284001.1	WP_347952483.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011283923.1
OG0000195	WP_011283924.1	WP_011290024.1
OG0000196	WP_014579648.1	WP_347952385.1
OG0000197	WP_014579647.1	WP_041361572.1
OG0000198	WP_014579645.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_014579644.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_014579634.1	WP_011283943.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_014579632.1	WP_014579632.1
OG0000206	WP_011206066.1	WP_011206066.1
OG0000207	WP_014579629.1	WP_011283951.1
OG0000208	WP_011206062.1	WP_011283952.1
OG0000209	WP_014579628.1	WP_011206061.1
OG0000210	WP_014579621.1	WP_135618604.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_014579618.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_014579617.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011283965.1
OG0000217	WP_011206044.1	WP_160585731.1
OG0000218	WP_014579615.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_014579610.1	WP_160585734.1
OG0000226	WP_014579609.1	WP_011206032.1
OG0000227	WP_014579608.1	WP_011206031.1
OG0000228	WP_014579607.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_014579603.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_014579664.1	WP_347952402.1
OG0000235	WP_014579665.1	WP_243216014.1
OG0000236	WP_016340197.1	WP_011283989.1
OG0000237	WP_014579667.1	WP_347952403.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_160585227.1
OG0000241	WP_011206402.1	WP_044284696.1
OG0000242	WP_044278032.1	WP_347952271.1
OG0000243	WP_014579955.1	WP_160585630.1
OG0000244	WP_014579956.1	WP_011206406.1
OG0000245	WP_011206408.1	WP_347952272.1
OG0000246	WP_014579532.1	WP_050195463.1
OG0000247	WP_014579534.1	WP_347952349.1
OG0000248	WP_014579535.1	WP_014579535.1
OG0000249	WP_014579536.1	WP_347952350.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_014579546.1	WP_347952355.1
OG0000254	WP_014579548.1	WP_347952356.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_014579555.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_014579562.1	WP_347952363.1
OG0000260	WP_011205903.1	WP_347952364.1
OG0000261	WP_016340180.1	WP_347952366.1
OG0000262	WP_014579569.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_014579574.1	WP_146379476.1
OG0000266	WP_044277957.1	WP_347952368.1
OG0000267	WP_014579577.1	WP_347952369.1
OG0000268	WP_016340183.1	WP_146379478.1
OG0000269	WP_014579579.1	WP_160608050.1
OG0000270	WP_014580022.1	WP_347952322.1
OG0000271	WP_014580021.1	WP_160588152.1
OG0000272	WP_011284373.1	WP_146379758.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_014580018.1	WP_347952320.1
OG0000275	WP_233417356.1	WP_228366117.1
OG0000276	WP_011284368.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_347952317.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_014580013.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_014580010.1	WP_347952314.1
OG0000283	WP_014580009.1	WP_014580009.1
OG0000284	WP_014580008.1	WP_347952313.1
OG0000285	WP_014580007.1	WP_347952312.1
OG0000286	WP_014579875.1	WP_347952236.1
OG0000287	WP_011206297.1	WP_347952242.1
OG0000288	WP_011284218.1	WP_011206299.1
OG0000289	WP_014579889.1	WP_347952244.1
OG0000290	WP_014579908.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_014579905.1	WP_044284681.1
OG0000293	WP_014579904.1	WP_020835805.1
OG0000294	WP_014579902.1	WP_146379669.1
OG0000295	WP_014579901.1	WP_011206315.1
OG0000296	WP_014579894.1	WP_044272552.1
OG0000297	WP_014579893.1	WP_020835798.1
OG0000298	WP_014579538.1	WP_347952352.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_014579593.1	WP_146379484.1
OG0000304	WP_044277963.1	WP_347952395.1
OG0000305	WP_014579943.1	WP_020835841.1
OG0000306	WP_014579934.1	WP_044272563.1
OG0000307	WP_014579928.1	WP_044284687.1
OG0000308	WP_014579911.1	WP_020835811.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_347952243.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_014579882.1	WP_347952239.1
OG0000313	WP_014579776.1	WP_011206141.1
OG0000314	WP_014579810.1	WP_347952198.1
OG0000315	WP_014579816.1	WP_160606593.1
OG0000316	WP_014579818.1	WP_347952202.1
OG0000317	WP_016340221.1	WP_135618864.1
OG0000318	WP_233417345.1	WP_347952203.1
OG0000319	WP_014579833.1	WP_044272490.1
OG0000320	WP_016340226.1	WP_347952228.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_014579724.1	WP_020835642.1
OG0000323	WP_014579736.1	WP_347952484.1
OG0000324	WP_014579849.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_014579637.1	WP_160600880.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_014579627.1	WP_220200845.1
OG0000329	WP_011206056.1	WP_347952392.1
OG0000330	WP_011206016.1	WP_347952399.1
OG0000331	WP_011206405.1	WP_135619040.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_014579986.1	WP_020835889.1
OG0000335	WP_016340248.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_347952338.1
OG0000339	WP_014579860.1	WP_347952223.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_014579853.1	WP_160590303.1
OG0000342	WP_014579646.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_014579596.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_014580011.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_347952390.1
OG0000349	WP_014580020.1	WP_160588173.1
OG0000350	WP_228365390.1	WP_347952261.1
OG0000351	WP_014579582.1	WP_347952371.1
OG0000352	WP_016340212.1	WP_347952480.1
OG0000353	WP_014579723.1	WP_347952420.1
OG0000354	WP_233417361.1	WP_308507047.1
OG0000355	WP_011206194.1	WP_347952478.1
OG0000356	WP_233417344.1	WP_347952201.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_014579968.1	WP_347952287.1
OG0000359	WP_014579641.1	WP_347952388.1
OG0000360	WP_228365406.1	WP_225973008.1
OG0000361	WP_014579561.1	WP_347952362.1
OG0000362	WP_011206302.1	WP_160600961.1
OG0000363	WP_233417364.1	WP_232039606.1
OG0000364	WP_014579799.1	WP_347952477.1, WP_237697246.1
OG0000365	WP_016340223.1	WP_347952205.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_044278006.1	WP_225973040.1
OG0000368	WP_011283833.1	WP_011289935.1
OG0000369	WP_011205844.1	WP_011289930.1
OG0000370	WP_011205843.1	WP_044272260.1
OG0000371	WP_014579518.1	WP_044272256.1
OG0000372	WP_044277943.1	WP_160588106.1
OG0000373	WP_014580049.1	WP_347952336.1
OG0000374	WP_014580047.1	WP_347952334.1
OG0000375	WP_014579834.1	WP_011284163.1
OG0000376	WP_014579868.1	WP_146379646.1
OG0000377	WP_011206271.1	WP_041361661.1
OG0000378	WP_014579711.1	WP_347952414.1
OG0000379	WP_011205962.1	WP_347952419.1
OG0000380	WP_011205957.1	WP_347952422.1
OG0000382	WP_014579733.1	WP_347952427.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_014579586.1	WP_041361727.1
OG0000385	WP_014579587.1	WP_347952375.1
OG0000386	WP_014579591.1	WP_011206121.1
OG0000387	WP_016340187.1	WP_347952380.1
OG0000388	WP_014579595.1	WP_347952381.1
OG0000389	WP_014579657.1	WP_135618561.1
OG0000390	WP_011206390.1	WP_011206390.1
OG0000391	WP_014579945.1	WP_020835843.1
OG0000392	WP_014579942.1	WP_160584971.1
OG0000393	WP_016340239.1	WP_347952264.1
OG0000394	WP_014579921.1	WP_347952259.1
OG0000395	WP_014579920.1	WP_347952258.1
OG0000396	WP_014579876.1	WP_020835781.1
OG0000397	WP_014579805.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_146379611.1
OG0000399	WP_016340214.1	WP_347952200.1
OG0000400	WP_014579962.1	WP_347952283.1
OG0000401	WP_014579971.1	WP_011206432.1
OG0000402	WP_014579972.1	WP_020835872.1
OG0000403	WP_200859210.1	WP_187145658.1
OG0000404	WP_016340247.1	WP_160585640.1
OG0000405	WP_014579980.1	WP_347952291.1
OG0000406	WP_014579989.1	WP_020835892.1
OG0000407	WP_014579990.1	WP_347952298.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_014579996.1	WP_146379742.1
OG0000412	WP_014579995.1	WP_011290399.1
OG0000413	WP_014579738.1	WP_347952428.1
OG0000414	WP_011284053.1	WP_011284053.1
OG0000415	WP_014579740.1	WP_347952430.1
OG0000416	WP_011284056.1	WP_160601243.1
OG0000417	WP_044889038.1	WP_347952218.1
OG0000418	WP_228365384.1	WP_347952217.1
OG0000419	WP_014579649.1	WP_020835572.1
OG0000420	WP_011206085.1	WP_347952386.1
OG0000421	WP_044277971.1	WP_011290034.1
OG0000422	WP_014579638.1	WP_347952389.1
OG0000423	WP_016340192.1	WP_011206068.1
OG0000424	WP_011206067.1	WP_011206067.1
OG0000425	WP_044277967.1	WP_011283949.1
OG0000426	WP_011206064.1	WP_011283950.1
OG0000427	WP_014579626.1	WP_347952391.1
OG0000428	WP_014579623.1	WP_135618601.1
OG0000429	WP_011290062.1	WP_011206036.1
OG0000430	WP_014579604.1	WP_347952394.1
OG0000431	WP_014579602.1	WP_011290067.1
OG0000432	WP_014579662.1	WP_347952398.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_011206013.1	WP_044284602.1
OG0000435	WP_011283987.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000438	WP_014579673.1	WP_347952404.1
OG0000439	WP_014579674.1	WP_020835619.1
OG0000440	WP_014579953.1	WP_160585229.1
OG0000441	WP_044278034.1	WP_347952273.1
OG0000442	WP_014579533.1	WP_347952348.1
OG0000443	WP_014579542.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_014579547.1	WP_044284571.1
OG0000446	WP_014579552.1	WP_347952358.1
OG0000447	WP_014579553.1	WP_347952359.1
OG0000448	WP_044277955.1	WP_011289976.1
OG0000449	WP_014579563.1	WP_011289981.1
OG0000450	WP_044277956.1	WP_347952365.1
OG0000451	WP_014579571.1	WP_160584753.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_016340184.1	WP_011283895.1
OG0000454	WP_016340205.1	WP_347952434.1
OG0000455	WP_014580026.1	WP_347952324.1
OG0000456	WP_011206487.1	WP_347952315.1
OG0000458	WP_014579888.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_014579891.1	WP_347952245.1
OG0000461	WP_016340234.1	WP_347952248.1
OG0000462	WP_014579898.1	WP_011284228.1
OG0000463	WP_014579897.1	WP_011206310.1
OG0000464	WP_044278026.1	WP_011206309.1
OG0000465	WP_014579895.1	WP_347952247.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_016340236.1	WP_347952254.1
OG0000468	WP_014579812.1	WP_011290194.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_135618603.1
OG0000472	WP_044278039.1	WP_347952306.1
OG0000473	WP_014580023.1	WP_160588156.1
OG0000475	WP_044889046.1	WP_347952323.1
OG0000476	WP_014579742.1	WP_347952431.1
OG0000477	WP_014579903.1	WP_347952249.1
OG0000478	WP_011284367.1	WP_347952319.1
OG0000479	WP_014579718.1	WP_146379554.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044277969.1	WP_044272343.1
OG0000482	WP_014579695.1	WP_347952406.1
OG0000483	WP_014579841.1	WP_347952210.1
OG0000484	WP_228365405.1	WP_347952353.1
OG0000485	WP_014579671.1	WP_020835615.1
OG0000486	WP_044278009.1	WP_160585249.1
OG0000487	WP_233417346.1	WP_220191052.1
OG0000488	WP_014579846.1	WP_347952207.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_014580050.1	WP_347952337.1
OG0000491	WP_014579721.1	WP_020835639.1
OG0000492	WP_014579727.1	WP_094521628.1
OG0000493	WP_044277961.1	WP_146379488.1
OG0000495	WP_011284272.1	WP_011284272.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_014579936.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_016340211.1	WP_347952479.1
OG0000501	WP_014579965.1	WP_347952284.1
OG0000502	WP_014579694.1	WP_347952405.1
OG0000503	WP_016340193.1	WP_020835576.1
OG0000505	WP_044277964.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_016340190.1	WP_020835590.1
OG0000508	WP_044277952.1	WP_044272682.1
OG0000509	WP_187286314.1	WP_020835518.1
OG0000510	WP_014579560.1	WP_347952361.1
OG0000511	WP_016340185.1	WP_011206135.1
OG0000512	WP_016340233.1	WP_347952246.1
OG0000513	WP_014580015.1	WP_347952316.1
OG0000514	WP_014579941.1	WP_347952266.1
OG0000515	WP_233417362.1	WP_347952433.1
OG0000516	WP_014579821.1	WP_146379601.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_014579970.1	WP_160585644.1
OG0000519	WP_014579639.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_135618599.1
OG0000521	WP_014579554.1	WP_347952360.1
OG0000523	WP_044278116.1	WP_347952311.1
OG0000524	WP_016340235.1	WP_347952253.1
OG0000525	WP_014579999.1	WP_347952307.1
OG0000526	WP_228365426.1	WP_347952474.1
OG0000527	WP_228365424.1, WP_228365423.1	WP_347952463.1
OG0000528	WP_016340217.1	WP_347952204.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_347952225.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_014579771.1	WP_347952443.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_014579573.1	WP_160615517.1
OG0000535	WP_016340174.1	WP_347952340.1
OG0000536	WP_016340256.1	WP_347952329.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_014579663.1	WP_347952401.1
OG0000539	WP_011205882.1	WP_160585545.1
OG0000540	WP_014579907.1	WP_347952250.1
OG0000541	WP_014579919.1	WP_347952257.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000543	WP_167513696.1	WP_167513696.1
OG0000543	WP_014580033.1, WP_044889050.1	WP_347952435.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_014579790.1	WP_347952473.1
OG0000546	WP_014579932.1	WP_347952262.1
OG0000547	WP_014579948.1	WP_011290341.1
OG0000548	WP_014579777.1	WP_347952439.1
OG0000549	WP_014579997.1	WP_347952305.1
OG0000550	WP_187286326.1	WP_347952321.1
OG0000552	WP_016340246.1	WP_347952288.1
OG0000553	WP_014579915.1	WP_347952255.1
OG0000554	WP_014579871.1	WP_347952232.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_020835677.1
OG0000560	WP_011206182.1	WP_160607878.1
OG0000561	WP_011206015.1	WP_011290073.1
OG0000562	WP_014579789.1	WP_160585755.1
OG0000563	WP_014579786.1	WP_347952471.1
OG0000564	WP_014579710.1	WP_041361605.1
