Orthogroup	MHP_TB1_genes	MHP_KM014_genes
OG0000092	B5M19_RS01895	CIB43_RS00745
OG0000093	B5M19_RS01900	CIB43_RS00735
OG0000094	B5M19_RS01905	CIB43_RS00730
OG0000095	B5M19_RS04290	CIB43_RS00715
OG0000096	B5M19_RS01935	CIB43_RS00700
OG0000097	B5M19_RS01955	CIB43_RS00690
OG0000100	B5M19_RS00385	CIB43_RS00610
OG0000101	B5M19_RS00390	CIB43_RS00600
OG0000102	B5M19_RS02080	CIB43_RS02580
OG0000103	B5M19_RS02960	CIB43_RS03110
OG0000104	B5M19_RS04460	CIB43_RS03120
OG0000105	B5M19_RS02940	CIB43_RS03130
OG0000106	B5M19_RS02930	CIB43_RS03140
OG0000107	B5M19_RS04455	CIB43_RS03150
OG0000108	B5M19_RS04620	CIB43_RS03155
OG0000109	B5M19_RS02910	CIB43_RS03160
OG0000110	B5M19_RS02660	CIB43_RS03290
OG0000111	B5M19_RS02665	CIB43_RS03285
OG0000112	B5M19_RS02675	CIB43_RS03280
OG0000113	B5M19_RS02700	CIB43_RS03260
OG0000114	B5M19_RS02710	CIB43_RS03245
OG0000115	B5M19_RS03610	CIB43_RS03230
OG0000116	B5M19_RS02580	CIB43_RS02165
OG0000117	B5M19_RS02575	CIB43_RS02170
OG0000118	B5M19_RS01235	CIB43_RS02205
OG0000119	B5M19_RS01230	CIB43_RS02210
OG0000120	B5M19_RS01215	CIB43_RS02230
OG0000121	B5M19_RS01190	CIB43_RS02250
OG0000122	B5M19_RS01185	CIB43_RS02255
OG0000123	B5M19_RS01165	CIB43_RS02275
OG0000124	B5M19_RS01160	CIB43_RS02280
OG0000125	B5M19_RS01155	CIB43_RS02285
OG0000126	B5M19_RS01145	CIB43_RS02295
OG0000127	B5M19_RS01135	CIB43_RS02305
OG0000128	B5M19_RS01115	CIB43_RS02320
OG0000129	B5M19_RS01110	CIB43_RS02330
OG0000130	B5M19_RS01100	CIB43_RS02335
OG0000131	B5M19_RS01075	CIB43_RS02370
OG0000132	B5M19_RS01060	CIB43_RS02385
OG0000133	B5M19_RS02380	CIB43_RS01415
OG0000134	B5M19_RS02385	CIB43_RS01425
OG0000135	B5M19_RS02400	CIB43_RS01435
OG0000136	B5M19_RS02405	CIB43_RS01440
OG0000137	B5M19_RS02445	CIB43_RS01470
OG0000138	B5M19_RS03090	CIB43_RS01495
OG0000139	B5M19_RS03070	CIB43_RS01525
OG0000140	B5M19_RS03065	CIB43_RS01540
OG0000141	B5M19_RS01330	CIB43_RS03850
OG0000142	B5M19_RS01335	CIB43_RS03845
OG0000143	B5M19_RS01360	CIB43_RS03835
OG0000144	B5M19_RS01370	CIB43_RS03815
OG0000145	B5M19_RS01380	CIB43_RS03805
OG0000146	B5M19_RS01390	CIB43_RS03790
OG0000147	B5M19_RS01395	CIB43_RS03785
OG0000148	B5M19_RS01410	CIB43_RS03780
OG0000149	B5M19_RS01420	CIB43_RS03760
OG0000150	B5M19_RS04180	CIB43_RS03745
OG0000151	B5M19_RS02540	CIB43_RS03700
OG0000152	B5M19_RS02535	CIB43_RS03695
OG0000153	B5M19_RS02530	CIB43_RS03690
OG0000154	B5M19_RS02520	CIB43_RS03680
OG0000155	B5M19_RS02480	CIB43_RS03645
OG0000156	B5M19_RS00860	CIB43_RS03635
OG0000157	B5M19_RS00865	CIB43_RS03625
OG0000158	B5M19_RS04580	CIB43_RS03620
OG0000159	B5M19_RS02810	CIB43_RS03385
OG0000160	B5M19_RS02815	CIB43_RS03380
OG0000161	B5M19_RS02820	CIB43_RS03375
OG0000163	B5M19_RS02835	CIB43_RS03370
OG0000164	B5M19_RS04495	CIB43_RS02495
OG0000165	B5M19_RS00760	CIB43_RS02840
OG0000166	B5M19_RS00785	CIB43_RS02860
OG0000167	B5M19_RS00800	CIB43_RS02875
OG0000168	B5M19_RS00805	CIB43_RS02880
OG0000169	B5M19_RS01450	CIB43_RS00130
OG0000171	B5M19_RS01475	CIB43_RS00155
OG0000172	B5M19_RS01480	CIB43_RS00160
OG0000173	B5M19_RS01490	CIB43_RS00165
OG0000174	B5M19_RS01495	CIB43_RS00170
OG0000175	B5M19_RS01510	CIB43_RS00190
OG0000176	B5M19_RS01560	CIB43_RS00235
OG0000177	B5M19_RS01565	CIB43_RS00240
OG0000178	B5M19_RS04200	CIB43_RS00245
OG0000179	B5M19_RS01580	CIB43_RS00255
OG0000180	B5M19_RS01585	CIB43_RS00260
OG0000181	B5M19_RS03045	CIB43_RS00310
OG0000182	B5M19_RS03035	CIB43_RS00320
OG0000183	B5M19_RS03000	CIB43_RS00355
OG0000184	B5M19_RS03105	CIB43_RS00430
OG0000185	B5M19_RS03120	CIB43_RS00380
OG0000186	B5M19_RS03550	CIB43_RS02400
OG0000187	B5M19_RS03535	CIB43_RS02410
OG0000188	B5M19_RS03525	CIB43_RS02425
OG0000189	B5M19_RS03210	CIB43_RS03200
OG0000190	B5M19_RS03215	CIB43_RS03195
OG0000191	B5M19_RS03235	CIB43_RS03180
OG0000192	B5M19_RS03675	CIB43_RS02085
OG0000193	B5M19_RS02360	CIB43_RS02075
OG0000194	B5M19_RS01855	CIB43_RS01560
OG0000195	B5M19_RS01850	CIB43_RS01565
OG0000196	B5M19_RS01830	CIB43_RS01585
OG0000197	B5M19_RS01825	CIB43_RS01590
OG0000198	B5M19_RS01810	CIB43_RS01605
OG0000199	B5M19_RS01805	CIB43_RS01615
OG0000200	B5M19_RS01790	CIB43_RS01630
OG0000201	B5M19_RS01780	CIB43_RS01635
OG0000202	B5M19_RS01725	CIB43_RS01690
OG0000203	B5M19_RS01720	CIB43_RS01695
OG0000204	B5M19_RS01715	CIB43_RS01700
OG0000205	B5M19_RS01710	CIB43_RS01705
OG0000206	B5M19_RS01690	CIB43_RS01735
OG0000207	B5M19_RS01675	CIB43_RS01740
OG0000208	B5M19_RS01670	CIB43_RS01745
OG0000209	B5M19_RS01665	CIB43_RS01750
OG0000210	B5M19_RS01620	CIB43_RS01800
OG0000211	B5M19_RS03415	CIB43_RS01805
OG0000212	B5M19_RS03405	CIB43_RS01815
OG0000213	B5M19_RS03400	CIB43_RS01820
OG0000214	B5M19_RS03395	CIB43_RS01825
OG0000215	B5M19_RS03390	CIB43_RS01830
OG0000216	B5M19_RS03385	CIB43_RS01835
OG0000217	B5M19_RS03380	CIB43_RS01845
OG0000218	B5M19_RS03370	CIB43_RS01850
OG0000219	B5M19_RS03365	CIB43_RS01855
OG0000220	B5M19_RS03360	CIB43_RS01860
OG0000221	B5M19_RS03355	CIB43_RS01865
OG0000222	B5M19_RS03350	CIB43_RS01870
OG0000223	B5M19_RS03345	CIB43_RS01875
OG0000225	B5M19_RS03140	CIB43_RS01895
OG0000226	B5M19_RS03145	CIB43_RS01900
OG0000227	B5M19_RS03150	CIB43_RS01905
OG0000228	B5M19_RS04630	CIB43_RS01910
OG0000229	B5M19_RS03160	CIB43_RS01915
OG0000230	B5M19_RS03165	CIB43_RS01920
OG0000231	B5M19_RS03175	CIB43_RS01935
OG0000232	B5M19_RS03185	CIB43_RS01940
OG0000233	B5M19_RS02225	CIB43_RS01965
OG0000234	B5M19_RS04335	CIB43_RS02000
OG0000235	B5M19_RS02175	CIB43_RS02005
OG0000236	B5M19_RS02170	CIB43_RS02010
OG0000237	B5M19_RS02165	CIB43_RS02015
OG0000238	B5M19_RS02155	CIB43_RS02025
OG0000239	B5M19_RS01315	CIB43_RS03860
OG0000240	B5M19_RS01310	CIB43_RS03870
OG0000241	B5M19_RS01300	CIB43_RS03875
OG0000242	B5M19_RS04160	CIB43_RS03880
OG0000243	B5M19_RS01290	CIB43_RS03885
OG0000244	B5M19_RS01280	CIB43_RS03900
OG0000245	B5M19_RS01270	CIB43_RS03905
OG0000246	B5M19_RS00050	CIB43_RS00845
OG0000247	B5M19_RS00060	CIB43_RS00850
OG0000248	B5M19_RS00070	CIB43_RS00875
OG0000250	B5M19_RS03880	CIB43_RS00885
OG0000251	B5M19_RS00125	CIB43_RS00925
OG0000252	B5M19_RS00135	CIB43_RS00930
OG0000253	B5M19_RS00140	CIB43_RS00940
OG0000254	B5M19_RS00150	CIB43_RS00950
OG0000255	B5M19_RS00160	CIB43_RS00955
OG0000256	B5M19_RS00165	CIB43_RS00960
OG0000257	B5M19_RS00190	CIB43_RS00985
OG0000258	B5M19_RS04020	CIB43_RS01015
OG0000259	B5M19_RS00230	CIB43_RS01030
OG0000260	B5M19_RS00240	CIB43_RS01045
OG0000262	B5M19_RS00270	CIB43_RS01075
OG0000263	B5M19_RS00285	CIB43_RS01080
OG0000264	B5M19_RS04030	CIB43_RS01100
OG0000265	B5M19_RS00315	CIB43_RS01110
OG0000266	B5M19_RS00335	CIB43_RS01120
OG0000267	B5M19_RS04035	CIB43_RS01135
OG0000268	B5M19_RS00355	CIB43_RS01305
OG0000269	B5M19_RS03680	CIB43_RS01320
OG0000270	B5M19_RS00415	CIB43_RS00575
OG0000271	B5M19_RS00420	CIB43_RS00570
OG0000272	B5M19_RS00425	CIB43_RS00565
OG0000273	B5M19_RS00430	CIB43_RS00560
OG0000274	B5M19_RS00450	CIB43_RS00545
OG0000275	B5M19_RS00455	CIB43_RS00535
OG0000276	B5M19_RS00460	CIB43_RS00530
OG0000277	B5M19_RS00470	CIB43_RS00525
OG0000278	B5M19_RS00475	CIB43_RS00515
OG0000279	B5M19_RS00485	CIB43_RS00510
OG0000280	B5M19_RS00490	CIB43_RS00500
OG0000281	B5M19_RS00495	CIB43_RS00495
OG0000283	B5M19_RS00525	CIB43_RS00475
OG0000284	B5M19_RS00530	CIB43_RS00460
OG0000285	B5M19_RS00535	CIB43_RS00455
OG0000286	B5M19_RS02850	CIB43_RS03345
OG0000287	B5M19_RS01050	CIB43_RS03440
OG0000288	B5M19_RS01040	CIB43_RS03450
OG0000289	B5M19_RS01035	CIB43_RS03455
OG0000290	B5M19_RS04120	CIB43_RS03565
OG0000291	B5M19_RS00935	CIB43_RS03560
OG0000292	B5M19_RS00940	CIB43_RS03550
OG0000293	B5M19_RS00945	CIB43_RS03545
OG0000294	B5M19_RS00955	CIB43_RS03540
OG0000295	B5M19_RS00960	CIB43_RS03530
OG0000296	B5M19_RS01000	CIB43_RS03495
OG0000297	B5M19_RS01005	CIB43_RS03485
OG0000298	B5M19_RS00085	CIB43_RS00880
OG0000299	B5M19_RS00110	CIB43_RS00915
OG0000300	B5M19_RS00300	CIB43_RS01090
OG0000301	B5M19_RS00340	CIB43_RS01125
OG0000302	B5M19_RS00345	CIB43_RS01130
OG0000303	B5M19_RS02410	CIB43_RS01455
OG0000304	B5M19_RS03190	CIB43_RS01950
OG0000305	B5M19_RS01385	CIB43_RS03795
OG0000306	B5M19_RS02560	CIB43_RS03725
OG0000307	B5M19_RS02525	CIB43_RS03685
OG0000308	B5M19_RS00905	CIB43_RS03600
OG0000309	B5M19_RS00970	CIB43_RS03520
OG0000310	B5M19_RS01045	CIB43_RS03445
OG0000311	B5M19_RS02790	CIB43_RS03405
OG0000312	B5M19_RS02805	CIB43_RS03390
OG0000313	B5M19_RS03300	CIB43_RS02485
OG0000314	B5M19_RS00780	CIB43_RS02855
OG0000315	B5M19_RS00810	CIB43_RS02885
OG0000316	B5M19_RS00820	CIB43_RS02895
OG0000317	B5M19_RS02720	CIB43_RS02985
OG0000318	B5M19_RS00825	CIB43_RS02900
OG0000319	B5M19_RS02945	CIB43_RS03125
OG0000320	B5M19_RS04425	CIB43_RS03270
OG0000321	B5M19_RS01240	CIB43_RS02200
OG0000322	B5M19_RS01195	CIB43_RS02245
OG0000323	B5M19_RS01065	CIB43_RS02375
OG0000324	B5M19_RS03240	CIB43_RS03170
OG0000325	B5M19_RS01845	CIB43_RS01570
OG0000326	B5M19_RS01750	CIB43_RS01665
OG0000327	B5M19_RS01745	CIB43_RS01670
OG0000328	B5M19_RS01660	CIB43_RS01760
OG0000329	B5M19_RS01640	CIB43_RS01775
OG0000330	B5M19_RS02210	CIB43_RS01970
OG0000331	B5M19_RS01285	CIB43_RS03890
OG0000332	B5M19_RS01520	CIB43_RS00200
OG0000333	B5M19_RS01530	CIB43_RS00210
OG0000334	B5M19_RS03040	CIB43_RS00315
OG0000335	B5M19_RS03030	CIB43_RS00340
OG0000336	B5M19_RS00505	CIB43_RS00485
OG0000337	B5M19_RS01985	CIB43_RS00655
OG0000338	B5M19_RS01940	CIB43_RS00695
OG0000339	B5M19_RS03615	CIB43_RS03235
OG0000340	B5M19_RS02565	CIB43_RS02185
OG0000341	B5M19_RS03220	CIB43_RS03190
OG0000342	B5M19_RS01815	CIB43_RS01600
OG0000343	B5M19_RS04195	CIB43_RS00215
OG0000344	B5M19_RS02425	CIB43_RS01465
OG0000345	B5M19_RS03135	CIB43_RS01890
OG0000346	B5M19_RS04590	CIB43_RS00490
OG0000347	B5M19_RS01170	CIB43_RS02270
OG0000348	B5M19_RS01740	CIB43_RS01685
OG0000349	B5M19_RS00440	CIB43_RS00550
OG0000350	B5M19_RS02515	CIB43_RS03675
OG0000351	B5M19_RS03490	CIB43_RS01385
OG0000352	B5M19_RS00755	CIB43_RS02830
OG0000353	B5M19_RS01200	CIB43_RS02240
OG0000354	B5M19_RS03080	CIB43_RS01515
OG0000355	B5M19_RS00725	CIB43_RS02805
OG0000356	B5M19_RS00815	CIB43_RS02890
OG0000357	B5M19_RS01500	CIB43_RS00175
OG0000358	B5M19_RS01505	CIB43_RS00180
OG0000359	B5M19_RS01770	CIB43_RS01650
OG0000360	B5M19_RS00195	CIB43_RS00990
OG0000361	B5M19_RS00225	CIB43_RS01020
OG0000362	B5M19_RS01025	CIB43_RS03475
OG0000363	B5M19_RS01125	CIB43_RS02310
OG0000364	B5M19_RS00700	CIB43_RS02775
OG0000369	B5M19_RS01910	CIB43_RS00725
OG0000370	B5M19_RS01915	CIB43_RS00720
OG0000378	B5M19_RS02585	CIB43_RS02160
OG0000379	B5M19_RS01205	CIB43_RS02235
OG0000380	B5M19_RS01180	CIB43_RS02260
OG0000381	B5M19_RS01140	CIB43_RS02300
OG0000385	B5M19_RS02370	CIB43_RS01405
OG0000389	B5M19_RS03095	CIB43_RS01490
OG0000394	B5M19_RS02490	CIB43_RS03660
OG0000396	B5M19_RS02845	CIB43_RS03350
OG0000404	B5M19_RS04205	CIB43_RS00250
OG0000405	B5M19_RS01590	CIB43_RS00265
OG0000409	B5M19_RS03010	CIB43_RS00345
OG0000412	B5M19_RS03115	CIB43_RS00390
OG0000417	B5M19_RS03225	CIB43_RS03185
OG0000428	B5M19_RS01630	CIB43_RS01785
OG0000430	B5M19_RS03170	CIB43_RS01925
OG0000434	B5M19_RS02195	CIB43_RS01985
OG0000436	B5M19_RS02150	CIB43_RS02030
OG0000437	B5M19_RS02140	CIB43_RS02065
OG0000441	B5M19_RS01265	CIB43_RS03910
OG0000451	B5M19_RS00295	CIB43_RS01085
OG0000453	B5M19_RS04040	CIB43_RS01315
OG0000457	B5M19_RS00540	CIB43_RS00450
OG0000459	B5M19_RS01030	CIB43_RS03460
OG0000463	B5M19_RS04130	CIB43_RS03515
OG0000464	B5M19_RS00990	CIB43_RS03500
OG0000468	B5M19_RS00790	CIB43_RS02870
OG0000471	B5M19_RS01625	CIB43_RS01790
OG0000473	B5M19_RS00410	CIB43_RS00580
OG0000474	B5M19_RS00405	CIB43_RS00585
OG0000475	B5M19_RS00400	CIB43_RS00595
OG0000482	B5M19_RS03730	CIB43_RS02080
OG0000485	B5M19_RS02145	CIB43_RS02035
OG0000486	B5M19_RS03205	CIB43_RS03205
OG0000487	B5M19_RS00830	CIB43_RS02915
OG0000488	B5M19_RS02770	CIB43_RS02940
OG0000489	B5M19_RS01885	CIB43_RS00750
OG0000491	B5M19_RS01225	CIB43_RS02220
OG0000492	B5M19_RS04140	CIB43_RS02290
OG0000495	B5M19_RS01430	CIB43_RS03750
OG0000502	B5M19_RS02350	CIB43_RS02070
OG0000504	B5M19_RS01650	CIB43_RS01770
OG0000506	B5M19_RS03410	CIB43_RS01810
OG0000508	B5M19_RS00170	CIB43_RS00980
OG0000517	B5M19_RS01870	CIB43_RS00765
OG0000519	B5M19_RS01760	CIB43_RS01660
OG0000520	B5M19_RS01635	CIB43_RS01780
OG0000523	B5M19_RS00545	CIB43_RS00445
OG0000526	B5M19_RS04070	CIB43_RS02720
OG0000527	B5M19_RS04065	CIB43_RS02640
OG0000529	B5M19_RS02935	CIB43_RS03135
OG0000530	B5M19_RS02705	CIB43_RS03250
OG0000531	B5M19_RS01175	CIB43_RS02265
OG0000537	B5M19_RS01820	CIB43_RS01595
OG0000538	B5M19_RS04340	CIB43_RS01990
OG0000543	B5M19_RS04430	CIB43_RS01215
OG0000544	B5M19_RS04410	CIB43_RS02125
OG0000545	B5M19_RS00645	CIB43_RS02715
OG0000546	B5M19_RS02545	CIB43_RS03705
OG0000553	B5M19_RS00885	CIB43_RS03610
OG0000554	B5M19_RS02655	CIB43_RS03295
OG0000556	B5M19_RS02255	CIB43_RS01290
OG0000557	B5M19_RS02615	CIB43_RS02130
OG0000558	B5M19_RS03655	CIB43_RS02100
OG0000559	B5M19_RS02075	CIB43_RS02575
OG0000560	B5M19_RS00635	CIB43_RS02680
OG0000561	B5M19_RS02205	CIB43_RS01980
OG0000562	B5M19_RS00640	CIB43_RS02685
OG0000563	B5M19_RS00625	CIB43_RS02670
OG0000564	B5M19_RS03930	CIB43_RS02155
OG0000565	B5M19_RS00685	CIB43_RS02760
OG0000566	B5M19_RS00675	CIB43_RS02740
OG0000568	B5M19_RS01860	CIB43_RS01555
OG0000569	B5M19_RS03665	CIB43_RS02105
OG0000570	B5M19_RS02635	CIB43_RS02110
OG0000571	B5M19_RS02630	CIB43_RS02115
OG0000572	B5M19_RS02610	CIB43_RS02135
OG0000573	B5M19_RS02070	CIB43_RS02570
OG0000574	B5M19_RS02570	CIB43_RS02175
OG0000575	B5M19_RS03670	CIB43_RS02090
OG0000576	B5M19_RS02030	CIB43_RS02530
OG0000577	B5M19_RS00910	CIB43_RS03580
OG0000579	B5M19_RS00615	CIB43_RS02660
OG0000580	B5M19_RS02550	CIB43_RS03710
OG0000581	B5M19_RS00600	CIB43_RS02645
OG0000584	B5M19_RS02310	CIB43_RS01255
OG0000585	B5M19_RS02965	CIB43_RS03105
OG0000588	B5M19_RS02025	CIB43_RS02525
OG0000590	B5M19_RS02320	CIB43_RS00030
OG0000590	B5M19_RS02875	CIB43_RS01190
OG0000592	B5M19_RS04115	CIB43_RS03570
OG0000594	B5M19_RS03650	CIB43_RS02095
OG0000600	B5M19_RS02305	CIB43_RS01175, CIB43_RS00040
OG0000601	B5M19_RS00630	CIB43_RS02675
OG0000603	B5M19_RS02285	CIB43_RS00060
OG0000606	B5M19_RS00605	CIB43_RS02655
OG0000616	B5M19_RS02890	CIB43_RS01280
OG0000620	B5M19_RS03820	CIB43_RS04010
OG0000628	B5M19_RS02245	CIB43_RS00090
OG0000629	B5M19_RS03875	CIB43_RS00015
OG0000630	B5M19_RS02235	CIB43_RS00100
OG0000631	B5M19_RS02240	CIB43_RS00095
