Orthogroup	MHP_TB1_genes	MFC_MF29_genes
OG0000169	B5M19_RS01450	DR095_RS01750
OG0000170	B5M19_RS01465	DR095_RS01765
OG0000171	B5M19_RS01475	DR095_RS01775
OG0000172	B5M19_RS01480	DR095_RS01780
OG0000173	B5M19_RS01490	DR095_RS01785
OG0000174	B5M19_RS01495	DR095_RS01790
OG0000175	B5M19_RS01510	DR095_RS01805
OG0000176	B5M19_RS01560	DR095_RS01845
OG0000177	B5M19_RS01565	DR095_RS01850
OG0000178	B5M19_RS04200	DR095_RS01855
OG0000179	B5M19_RS01580	DR095_RS01865
OG0000180	B5M19_RS01585	DR095_RS01870
OG0000181	B5M19_RS03045	DR095_RS03870
OG0000182	B5M19_RS03035	DR095_RS01895
OG0000183	B5M19_RS03000	DR095_RS01930
OG0000184	B5M19_RS03105	DR095_RS02970
OG0000185	B5M19_RS03120	DR095_RS02985
OG0000186	B5M19_RS03550	DR095_RS01970
OG0000187	B5M19_RS03535	DR095_RS01985
OG0000188	B5M19_RS03525	DR095_RS01995
OG0000189	B5M19_RS03210	DR095_RS03890
OG0000190	B5M19_RS03215	DR095_RS02010
OG0000191	B5M19_RS03235	DR095_RS02030
OG0000192	B5M19_RS03675	DR095_RS02040
OG0000193	B5M19_RS02360	DR095_RS02055
OG0000194	B5M19_RS01855	DR095_RS02065
OG0000195	B5M19_RS01850	DR095_RS02070
OG0000196	B5M19_RS01830	DR095_RS03895
OG0000197	B5M19_RS01825	DR095_RS02095
OG0000198	B5M19_RS01810	DR095_RS02110
OG0000199	B5M19_RS01805	DR095_RS02115
OG0000200	B5M19_RS01790	DR095_RS02130
OG0000201	B5M19_RS01780	DR095_RS02140
OG0000202	B5M19_RS01725	DR095_RS02195
OG0000203	B5M19_RS01720	DR095_RS02200
OG0000204	B5M19_RS01715	DR095_RS03925
OG0000205	B5M19_RS01710	DR095_RS02490
OG0000206	B5M19_RS01690	DR095_RS02470
OG0000207	B5M19_RS01675	DR095_RS02455
OG0000208	B5M19_RS01670	DR095_RS02450
OG0000209	B5M19_RS01665	DR095_RS02445
OG0000210	B5M19_RS01620	DR095_RS02400
OG0000211	B5M19_RS03415	DR095_RS02390
OG0000212	B5M19_RS03405	DR095_RS02380
OG0000213	B5M19_RS03400	DR095_RS02375
OG0000214	B5M19_RS03395	DR095_RS02370
OG0000215	B5M19_RS03390	DR095_RS02365
OG0000216	B5M19_RS03385	DR095_RS02360
OG0000217	B5M19_RS03380	DR095_RS02355
OG0000218	B5M19_RS03370	DR095_RS03910
OG0000219	B5M19_RS03365	DR095_RS02340
OG0000220	B5M19_RS03360	DR095_RS02335
OG0000221	B5M19_RS03355	DR095_RS02330
OG0000222	B5M19_RS03350	DR095_RS02325
OG0000223	B5M19_RS03345	DR095_RS02320
OG0000224	B5M19_RS03130	DR095_RS02310
OG0000225	B5M19_RS03140	DR095_RS02300
OG0000226	B5M19_RS03145	DR095_RS02295
OG0000227	B5M19_RS03150	DR095_RS02290
OG0000228	B5M19_RS04630	DR095_RS04045
OG0000229	B5M19_RS03160	DR095_RS02280
OG0000230	B5M19_RS03165	DR095_RS02275
OG0000231	B5M19_RS03175	DR095_RS02265
OG0000232	B5M19_RS03185	DR095_RS02255
OG0000233	B5M19_RS02225	DR095_RS02245
OG0000234	B5M19_RS04335	DR095_RS02215
OG0000235	B5M19_RS02175	DR095_RS02205
OG0000236	B5M19_RS02170	DR095_RS01540
OG0000237	B5M19_RS02165	DR095_RS01560
OG0000238	B5M19_RS02155	DR095_RS01565
OG0000239	B5M19_RS01315	DR095_RS01595
OG0000240	B5M19_RS01310	DR095_RS01600
OG0000241	B5M19_RS01300	DR095_RS01705
OG0000242	B5M19_RS04160	DR095_RS01710
OG0000243	B5M19_RS01290	DR095_RS01715
OG0000244	B5M19_RS01280	DR095_RS01725
OG0000245	B5M19_RS01270	DR095_RS01735
OG0000246	B5M19_RS00050	DR095_RS01030
OG0000247	B5M19_RS00060	DR095_RS01020
OG0000248	B5M19_RS00070	DR095_RS00995
OG0000249	B5M19_RS00075	DR095_RS00990
OG0000250	B5M19_RS03880	DR095_RS00975
OG0000251	B5M19_RS00125	DR095_RS00945
OG0000252	B5M19_RS00135	DR095_RS00935
OG0000253	B5M19_RS00140	DR095_RS00930
OG0000254	B5M19_RS00150	DR095_RS00920
OG0000255	B5M19_RS00160	DR095_RS00915
OG0000256	B5M19_RS00165	DR095_RS00910
OG0000257	B5M19_RS00190	DR095_RS00885
OG0000258	B5M19_RS04020	DR095_RS00875
OG0000259	B5M19_RS00230	DR095_RS00845
OG0000260	B5M19_RS00240	DR095_RS00835
OG0000261	B5M19_RS00250	DR095_RS03795
OG0000262	B5M19_RS00270	DR095_RS00810
OG0000263	B5M19_RS00285	DR095_RS00795
OG0000264	B5M19_RS04030	DR095_RS00780
OG0000265	B5M19_RS00315	DR095_RS00770
OG0000266	B5M19_RS00335	DR095_RS00755
OG0000267	B5M19_RS04035	DR095_RS00740
OG0000268	B5M19_RS00355	DR095_RS00735
OG0000269	B5M19_RS03680	DR095_RS00720
OG0000270	B5M19_RS00415	DR095_RS03930
OG0000271	B5M19_RS00420	DR095_RS02520
OG0000272	B5M19_RS00425	DR095_RS02525
OG0000273	B5M19_RS00430	DR095_RS02530
OG0000274	B5M19_RS00450	DR095_RS02550
OG0000275	B5M19_RS00455	DR095_RS03935
OG0000276	B5M19_RS00460	DR095_RS02560
OG0000277	B5M19_RS00470	DR095_RS03940
OG0000278	B5M19_RS00475	DR095_RS02575
OG0000279	B5M19_RS00485	DR095_RS02585
OG0000280	B5M19_RS00490	DR095_RS02590
OG0000281	B5M19_RS00495	DR095_RS02595
OG0000282	B5M19_RS00520	DR095_RS02620
OG0000283	B5M19_RS00525	DR095_RS02625
OG0000284	B5M19_RS00530	DR095_RS02630
OG0000285	B5M19_RS00535	DR095_RS03955
OG0000286	B5M19_RS02850	DR095_RS00590
OG0000287	B5M19_RS01050	DR095_RS00565
OG0000288	B5M19_RS01040	DR095_RS00555
OG0000289	B5M19_RS01035	DR095_RS00550
OG0000290	B5M19_RS04120	DR095_RS03370
OG0000291	B5M19_RS00935	DR095_RS00450
OG0000292	B5M19_RS00940	DR095_RS00455
OG0000293	B5M19_RS00945	DR095_RS00460
OG0000294	B5M19_RS00955	DR095_RS00470
OG0000295	B5M19_RS00960	DR095_RS00475
OG0000296	B5M19_RS01000	DR095_RS00515
OG0000297	B5M19_RS01005	DR095_RS00520
OG0000298	B5M19_RS00085	DR095_RS00980
OG0000299	B5M19_RS00110	DR095_RS00960
OG0000300	B5M19_RS00300	DR095_RS00785
OG0000301	B5M19_RS00340	DR095_RS00750
OG0000302	B5M19_RS00345	DR095_RS00745
OG0000303	B5M19_RS02410	DR095_RS00045
OG0000304	B5M19_RS03190	DR095_RS00080
OG0000305	B5M19_RS01385	DR095_RS00210
OG0000306	B5M19_RS02560	DR095_RS00290
OG0000307	B5M19_RS02525	DR095_RS00330
OG0000308	B5M19_RS00905	DR095_RS00430
OG0000309	B5M19_RS00970	DR095_RS00485
OG0000310	B5M19_RS01045	DR095_RS00560
OG0000311	B5M19_RS02790	DR095_RS00610
OG0000312	B5M19_RS02805	DR095_RS00630
OG0000313	B5M19_RS03300	DR095_RS02705
OG0000314	B5M19_RS00780	DR095_RS02775
OG0000315	B5M19_RS00810	DR095_RS02805
OG0000316	B5M19_RS00820	DR095_RS02815
OG0000317	B5M19_RS02720	DR095_RS02840
OG0000318	B5M19_RS00825	DR095_RS04005
OG0000319	B5M19_RS02945	DR095_RS01290
OG0000320	B5M19_RS04425	DR095_RS01355
OG0000321	B5M19_RS01240	DR095_RS01420
OG0000322	B5M19_RS01195	DR095_RS01465
OG0000323	B5M19_RS01065	DR095_RS02955
OG0000324	B5M19_RS03240	DR095_RS02035
OG0000325	B5M19_RS01845	DR095_RS02075
OG0000326	B5M19_RS01750	DR095_RS02170
OG0000327	B5M19_RS01745	DR095_RS02175
OG0000328	B5M19_RS01660	DR095_RS02440
OG0000329	B5M19_RS01640	DR095_RS02420
OG0000330	B5M19_RS02210	DR095_RS02235
OG0000331	B5M19_RS01285	DR095_RS01720
OG0000332	B5M19_RS01520	DR095_RS01815
OG0000333	B5M19_RS01530	DR095_RS01825
OG0000334	B5M19_RS03040	DR095_RS01890
OG0000335	B5M19_RS03030	DR095_RS03875
OG0000336	B5M19_RS00505	DR095_RS03950
OG0000337	B5M19_RS01985	DR095_RS01160
OG0000338	B5M19_RS01940	DR095_RS01120
OG0000339	B5M19_RS03615	DR095_RS01375
OG0000340	B5M19_RS02565	DR095_RS01400
OG0000341	B5M19_RS03220	DR095_RS02015
OG0000342	B5M19_RS01815	DR095_RS02105
OG0000343	B5M19_RS04195	DR095_RS01835
OG0000344	B5M19_RS02425	DR095_RS00060
OG0000345	B5M19_RS03135	DR095_RS02305
OG0000346	B5M19_RS04590	DR095_RS03945
OG0000347	B5M19_RS01170	DR095_RS01490
OG0000348	B5M19_RS01740	DR095_RS03905
OG0000349	B5M19_RS00440	DR095_RS02540
OG0000350	B5M19_RS02515	DR095_RS00295
OG0000351	B5M19_RS03490	DR095_RS00660
OG0000352	B5M19_RS00755	DR095_RS02755
OG0000353	B5M19_RS01200	DR095_RS01460
OG0000354	B5M19_RS03080	DR095_RS00110
OG0000355	B5M19_RS00725	DR095_RS03980
OG0000356	B5M19_RS00815	DR095_RS03985
OG0000357	B5M19_RS01500	DR095_RS03860
OG0000358	B5M19_RS01505	DR095_RS01800
OG0000359	B5M19_RS01770	DR095_RS03900
OG0000360	B5M19_RS00195	DR095_RS00880
OG0000361	B5M19_RS00225	DR095_RS00850
OG0000362	B5M19_RS01025	DR095_RS00540
OG0000363	B5M19_RS01125	DR095_RS01530
OG0000365	B5M19_RS02775	DR095_RS04025
OG0000366	B5M19_RS02750	DR095_RS02870
OG0000367	B5M19_RS02740	DR095_RS02860
OG0000368	B5M19_RS04270	DR095_RS01055
OG0000369	B5M19_RS01910	DR095_RS03410
OG0000370	B5M19_RS01915	DR095_RS01095
OG0000371	B5M19_RS01920	DR095_RS01100
OG0000372	B5M19_RS01925	DR095_RS01105
OG0000373	B5M19_RS01950	DR095_RS01130
OG0000374	B5M19_RS01960	DR095_RS01140
OG0000375	B5M19_RS02950	DR095_RS01285
OG0000376	B5M19_RS02670	DR095_RS01340
OG0000377	B5M19_RS02680	DR095_RS01350
OG0000378	B5M19_RS02585	DR095_RS01385
OG0000379	B5M19_RS01205	DR095_RS01455
OG0000380	B5M19_RS01180	DR095_RS01480
OG0000381	B5M19_RS01140	DR095_RS01520
OG0000382	B5M19_RS01105	DR095_RS02910
OG0000383	B5M19_RS01070	DR095_RS02950
OG0000384	B5M19_RS02365	DR095_RS00655
OG0000385	B5M19_RS02370	DR095_RS00005
OG0000386	B5M19_RS02390	DR095_RS00025
OG0000387	B5M19_RS02415	DR095_RS00050
OG0000388	B5M19_RS02420	DR095_RS03755
OG0000389	B5M19_RS03095	DR095_RS00090
OG0000390	B5M19_RS01365	DR095_RS00190
OG0000391	B5M19_RS01375	DR095_RS00200
OG0000392	B5M19_RS01400	DR095_RS00225
OG0000393	B5M19_RS03515	DR095_RS00280
OG0000394	B5M19_RS02490	DR095_RS00345
OG0000395	B5M19_RS02485	DR095_RS00350
OG0000396	B5M19_RS02845	DR095_RS02695
OG0000397	B5M19_RS00740	DR095_RS02740
OG0000398	B5M19_RS00745	DR095_RS02745
OG0000399	B5M19_RS00795	DR095_RS02790
OG0000400	B5M19_RS01460	DR095_RS01760
OG0000401	B5M19_RS01525	DR095_RS01820
OG0000402	B5M19_RS01535	DR095_RS01830
OG0000404	B5M19_RS04205	DR095_RS03865
OG0000405	B5M19_RS01590	DR095_RS01875
OG0000406	B5M19_RS03025	DR095_RS01905
OG0000407	B5M19_RS03020	DR095_RS03880
OG0000408	B5M19_RS03015	DR095_RS01915
OG0000409	B5M19_RS03010	DR095_RS01920
OG0000410	B5M19_RS03100	DR095_RS02965
OG0000411	B5M19_RS03110	DR095_RS02975
OG0000412	B5M19_RS03115	DR095_RS02980
OG0000413	B5M19_RS03555	DR095_RS01965
OG0000414	B5M19_RS03545	DR095_RS01975
OG0000415	B5M19_RS03540	DR095_RS01980
OG0000416	B5M19_RS03530	DR095_RS01990
OG0000417	B5M19_RS03225	DR095_RS02020
OG0000418	B5M19_RS03230	DR095_RS02025
OG0000419	B5M19_RS01835	DR095_RS02085
OG0000420	B5M19_RS01800	DR095_RS02120
OG0000421	B5M19_RS01765	DR095_RS02155
OG0000422	B5M19_RS01755	DR095_RS02165
OG0000423	B5M19_RS01700	DR095_RS02480
OG0000424	B5M19_RS01695	DR095_RS02475
OG0000425	B5M19_RS01685	DR095_RS02465
OG0000426	B5M19_RS01680	DR095_RS03585
OG0000427	B5M19_RS01655	DR095_RS03920
OG0000428	B5M19_RS01630	DR095_RS02410
OG0000430	B5M19_RS03170	DR095_RS02270
OG0000431	B5M19_RS03180	DR095_RS02260
OG0000432	B5M19_RS04345	DR095_RS02240
OG0000433	B5M19_RS02200	DR095_RS02230
OG0000434	B5M19_RS02195	DR095_RS02225
OG0000435	B5M19_RS02180	DR095_RS02210
OG0000436	B5M19_RS02150	DR095_RS01570
OG0000437	B5M19_RS02140	DR095_RS01580
OG0000438	B5M19_RS02135	DR095_RS03840
OG0000439	B5M19_RS02130	DR095_RS01590
OG0000440	B5M19_RS04165	DR095_RS03855
OG0000441	B5M19_RS01265	DR095_RS01745
OG0000442	B5M19_RS00055	DR095_RS01025
OG0000443	B5M19_RS00105	DR095_RS00965
OG0000444	B5M19_RS00120	DR095_RS00950
OG0000445	B5M19_RS00145	DR095_RS00925
OG0000446	B5M19_RS00175	DR095_RS00900
OG0000447	B5M19_RS00180	DR095_RS00895
OG0000448	B5M19_RS00210	DR095_RS00865
OG0000449	B5M19_RS00235	DR095_RS00840
OG0000450	B5M19_RS00245	DR095_RS00830
OG0000451	B5M19_RS00295	DR095_RS00790
OG0000452	B5M19_RS00330	DR095_RS00765
OG0000453	B5M19_RS04040	DR095_RS00730
OG0000455	B5M19_RS00395	DR095_RS03825
OG0000456	B5M19_RS00515	DR095_RS02615
OG0000457	B5M19_RS00540	DR095_RS02640
OG0000458	B5M19_RS01055	DR095_RS00570
OG0000459	B5M19_RS01030	DR095_RS00545
OG0000460	B5M19_RS01020	DR095_RS00535
OG0000461	B5M19_RS04125	DR095_RS00490
OG0000462	B5M19_RS00980	DR095_RS00495
OG0000463	B5M19_RS04130	DR095_RS00500
OG0000464	B5M19_RS00990	DR095_RS00505
OG0000465	B5M19_RS00995	DR095_RS00510
OG0000467	B5M19_RS00895	DR095_RS03790
OG0000468	B5M19_RS00790	DR095_RS02785
OG0000469	B5M19_RS00850	DR095_RS03050
OG0000470	B5M19_RS03910	DR095_RS02485
OG0000471	B5M19_RS01625	DR095_RS02405
OG0000472	B5M19_RS00580	DR095_RS02665
OG0000473	B5M19_RS00410	DR095_RS02510
OG0000474	B5M19_RS00405	DR095_RS02505
OG0000475	B5M19_RS00400	DR095_RS02500
OG0000476	B5M19_RS03280	DR095_RS01220
OG0000477	B5M19_RS00950	DR095_RS00465
OG0000478	B5M19_RS00465	DR095_RS02565
OG0000479	B5M19_RS04145	DR095_RS01415
OG0000480	B5M19_RS03895	DR095_RS03245
OG0000481	B5M19_RS01730	DR095_RS02190
OG0000482	B5M19_RS03730	DR095_RS02050
OG0000483	B5M19_RS02735	DR095_RS02855
OG0000484	B5M19_RS00115	DR095_RS03800
OG0000485	B5M19_RS02145	DR095_RS01575
OG0000486	B5M19_RS03205	DR095_RS02000
OG0000487	B5M19_RS00830	DR095_RS04010
OG0000488	B5M19_RS02770	DR095_RS02885
OG0000489	B5M19_RS01885	DR095_RS01065
OG0000490	B5M19_RS01945	DR095_RS01125
OG0000491	B5M19_RS01225	DR095_RS01435
OG0000492	B5M19_RS04140	DR095_RS01510
OG0000493	B5M19_RS02430	DR095_RS00065
OG0000494	B5M19_RS03075	DR095_RS00115
OG0000495	B5M19_RS01430	DR095_RS00255
OG0000497	B5M19_RS01445	DR095_RS00270
OG0000498	B5M19_RS02495	DR095_RS00340
OG0000499	B5M19_RS00870	DR095_RS00400
OG0000500	B5M19_RS00750	DR095_RS02750
OG0000501	B5M19_RS01470	DR095_RS01770
OG0000502	B5M19_RS02350	DR095_RS02060
OG0000503	B5M19_RS04250	DR095_RS02135
OG0000504	B5M19_RS01650	DR095_RS02430
OG0000505	B5M19_RS03420	DR095_RS02395
OG0000506	B5M19_RS03410	DR095_RS02385
OG0000507	B5M19_RS03375	DR095_RS02350
OG0000508	B5M19_RS00170	DR095_RS00905
OG0000509	B5M19_RS00205	DR095_RS00870
OG0000510	B5M19_RS00215	DR095_RS00860
OG0000511	B5M19_RS03685	DR095_RS00725
OG0000512	B5M19_RS01015	DR095_RS00530
OG0000513	B5M19_RS00480	DR095_RS02580
OG0000514	B5M19_RS01405	DR095_RS00230
OG0000516	B5M19_RS00835	DR095_RS03000
OG0000517	B5M19_RS01870	DR095_RS01050
OG0000518	B5M19_RS01515	DR095_RS01810
OG0000519	B5M19_RS01760	DR095_RS02160
OG0000520	B5M19_RS01635	DR095_RS02415
OG0000521	B5M19_RS00185	DR095_RS00890
OG0000522	B5M19_RS00220	DR095_RS00855
OG0000523	B5M19_RS00545	DR095_RS02645
OG0000524	B5M19_RS00900	DR095_RS00425
OG0000525	B5M19_RS00575	DR095_RS04060
OG0000528	B5M19_RS00840	DR095_RS03010
OG0000529	B5M19_RS02935	DR095_RS01300
OG0000530	B5M19_RS02705	DR095_RS01365
OG0000531	B5M19_RS01175	DR095_RS01485
OG0000533	B5M19_RS04515	DR095_RS02250
OG0000535	B5M19_RS04610	DR095_RS01070
OG0000536	B5M19_RS00365	DR095_RS01195
OG0000537	B5M19_RS01820	DR095_RS02100
OG0000538	B5M19_RS04340	DR095_RS02220
OG0000539	B5M19_RS00130	DR095_RS00940
OG0000541	B5M19_RS00855	DR095_RS00385
OG0000542	B5M19_RS00275	DR095_RS00805
OG0000547	B5M19_RS01355	DR095_RS00180
OG0000548	B5M19_RS03295	DR095_RS02700
OG0000549	B5M19_RS00585	DR095_RS02670
OG0000550	B5M19_RS04055	DR095_RS02545
OG0000551	B5M19_RS01275	DR095_RS01730
OG0000555	B5M19_RS01350	DR095_RS03315
OG0000556	B5M19_RS02255	DR095_RS03845
OG0000584	B5M19_RS02310	DR095_RS01670
OG0000585	B5M19_RS02965	DR095_RS03450
OG0000590	B5M19_RS02320	DR095_RS01680
OG0000596	B5M19_RS02110	DR095_RS01005
OG0000598	B5M19_RS02115	DR095_RS01010
OG0000599	B5M19_RS02120	DR095_RS01015
OG0000600	B5M19_RS02305	DR095_RS01665
OG0000603	B5M19_RS02285	DR095_RS01650
OG0000605	B5M19_RS02280	DR095_RS01645
OG0000628	B5M19_RS02245	DR095_RS01615
OG0000629	B5M19_RS03875	DR095_RS01690
OG0000630	B5M19_RS02235	DR095_RS01605
OG0000631	B5M19_RS02240	DR095_RS01610
OG0000632	B5M19_RS04325	DR095_RS03775
