Orthogroup	MHP_TB1_genes	MHP_MHP682_genes
OG0000067	B5M19_RS02375	DR097_RS02405
OG0000068	B5M19_RS04480	DR097_RS03055
OG0000069	B5M19_RS03520	DR097_RS01725
OG0000070	B5M19_RS02795	DR097_RS01930
OG0000071	B5M19_RS02995	DR097_RS03575
OG0000072	B5M19_RS02990	DR097_RS03580, DR097_RS04860
OG0000073	B5M19_RS01840	DR097_RS01115
OG0000074	B5M19_RS01645	DR097_RS04605
OG0000075	B5M19_RS00265	DR097_RS00090
OG0000076	B5M19_RS00280	DR097_RS00075
OG0000077	B5M19_RS03440	DR097_RS03275
OG0000078	B5M19_RS02055	DR097_RS01875
OG0000079	B5M19_RS01010	DR097_RS02640
OG0000080	B5M19_RS03900	DR097_RS04360
OG0000081	B5M19_RS00260	DR097_RS00095
OG0000082	B5M19_RS04415	DR097_RS02165
OG0000083	B5M19_RS00845	DR097_RS00750
OG0000084	B5M19_RS02760	DR097_RS03685
OG0000085	B5M19_RS02755	DR097_RS02875
OG0000086	B5M19_RS02745	DR097_RS02865
OG0000087	B5M19_RS02730	DR097_RS02850
OG0000088	B5M19_RS02725	DR097_RS02845
OG0000089	B5M19_RS03690	DR097_RS02835
OG0000090	B5M19_RS03775	DR097_RS02485
OG0000091	B5M19_RS04280	DR097_RS02775
OG0000092	B5M19_RS01895	DR097_RS02790
OG0000093	B5M19_RS01900	DR097_RS02795
OG0000094	B5M19_RS01905	DR097_RS02800
OG0000095	B5M19_RS04290	DR097_RS03550
OG0000096	B5M19_RS01935	DR097_RS03545
OG0000097	B5M19_RS01955	DR097_RS02575
OG0000098	B5M19_RS04295	DR097_RS02585
OG0000099	B5M19_RS00370	DR097_RS03665
OG0000100	B5M19_RS00385	DR097_RS00555
OG0000101	B5M19_RS00390	DR097_RS00560
OG0000102	B5M19_RS02080	DR097_RS01850
OG0000103	B5M19_RS02960	DR097_RS02710
OG0000104	B5M19_RS04460	DR097_RS02715
OG0000105	B5M19_RS02940	DR097_RS02730
OG0000106	B5M19_RS02930	DR097_RS02740
OG0000107	B5M19_RS04455	DR097_RS02750
OG0000108	B5M19_RS04620	DR097_RS02755
OG0000109	B5M19_RS02910	DR097_RS02760
OG0000110	B5M19_RS02660	DR097_RS02155
OG0000111	B5M19_RS02665	DR097_RS02150
OG0000112	B5M19_RS02675	DR097_RS02140
OG0000113	B5M19_RS02700	DR097_RS04705
OG0000114	B5M19_RS02710	DR097_RS02110
OG0000115	B5M19_RS03610	DR097_RS02095
OG0000116	B5M19_RS02580	DR097_RS00320
OG0000117	B5M19_RS02575	DR097_RS00315
OG0000118	B5M19_RS01235	DR097_RS01690
OG0000119	B5M19_RS01230	DR097_RS01685
OG0000120	B5M19_RS01215	DR097_RS01670
OG0000121	B5M19_RS01190	DR097_RS01645
OG0000122	B5M19_RS01185	DR097_RS01640
OG0000123	B5M19_RS01165	DR097_RS01620
OG0000124	B5M19_RS01160	DR097_RS01615
OG0000125	B5M19_RS01155	DR097_RS01610
OG0000126	B5M19_RS01145	DR097_RS01600
OG0000127	B5M19_RS01135	DR097_RS01590
OG0000128	B5M19_RS01115	DR097_RS03460
OG0000129	B5M19_RS01110	DR097_RS03355
OG0000130	B5M19_RS01100	DR097_RS03345
OG0000131	B5M19_RS01075	DR097_RS04820
OG0000132	B5M19_RS01060	DR097_RS04815
OG0000133	B5M19_RS02380	DR097_RS02400
OG0000134	B5M19_RS02385	DR097_RS02395
OG0000135	B5M19_RS02400	DR097_RS02380
OG0000136	B5M19_RS02405	DR097_RS02375
OG0000137	B5M19_RS02445	DR097_RS02345
OG0000138	B5M19_RS03090	DR097_RS03080
OG0000139	B5M19_RS03070	DR097_RS03050
OG0000140	B5M19_RS03065	DR097_RS03045
OG0000141	B5M19_RS01330	DR097_RS01260
OG0000142	B5M19_RS01335	DR097_RS04625
OG0000143	B5M19_RS01360	DR097_RS01230
OG0000144	B5M19_RS01370	DR097_RS01220
OG0000145	B5M19_RS01380	DR097_RS01210
OG0000146	B5M19_RS01390	DR097_RS01200
OG0000147	B5M19_RS01395	DR097_RS01195
OG0000148	B5M19_RS01410	DR097_RS01180
OG0000149	B5M19_RS01420	DR097_RS01170
OG0000150	B5M19_RS04180	DR097_RS01155
OG0000151	B5M19_RS02540	DR097_RS01755
OG0000152	B5M19_RS02535	DR097_RS01760
OG0000153	B5M19_RS02530	DR097_RS01765
OG0000154	B5M19_RS02520	DR097_RS01775
OG0000155	B5M19_RS02480	DR097_RS01820
OG0000156	B5M19_RS00860	DR097_RS01490
OG0000157	B5M19_RS00865	DR097_RS04640
OG0000158	B5M19_RS04580	DR097_RS04645
OG0000159	B5M19_RS02810	DR097_RS04905
OG0000160	B5M19_RS02815	DR097_RS01950
OG0000161	B5M19_RS02820	DR097_RS01955
OG0000162	B5M19_RS02830	DR097_RS01965
OG0000163	B5M19_RS02835	DR097_RS01970
OG0000164	B5M19_RS04495	DR097_RS03125
OG0000165	B5M19_RS00760	DR097_RS00830
OG0000166	B5M19_RS00785	DR097_RS00810
OG0000167	B5M19_RS00800	DR097_RS00795
OG0000168	B5M19_RS00805	DR097_RS00790
OG0000169	B5M19_RS01450	DR097_RS01475
OG0000170	B5M19_RS01465	DR097_RS01460
OG0000171	B5M19_RS01475	DR097_RS01450
OG0000172	B5M19_RS01480	DR097_RS01445
OG0000173	B5M19_RS01490	DR097_RS01440
OG0000174	B5M19_RS01495	DR097_RS01435
OG0000175	B5M19_RS01510	DR097_RS01420
OG0000176	B5M19_RS01560	DR097_RS01370
OG0000177	B5M19_RS01565	DR097_RS01365
OG0000178	B5M19_RS04200	DR097_RS01360
OG0000179	B5M19_RS01580	DR097_RS01350
OG0000180	B5M19_RS01585	DR097_RS01345
OG0000181	B5M19_RS03045	DR097_RS04805
OG0000182	B5M19_RS03035	DR097_RS03155
OG0000183	B5M19_RS03000	DR097_RS03570
OG0000184	B5M19_RS03105	DR097_RS02975
OG0000185	B5M19_RS03120	DR097_RS02990
OG0000186	B5M19_RS03550	DR097_RS04760
OG0000187	B5M19_RS03535	DR097_RS02915
OG0000188	B5M19_RS03525	DR097_RS02905
OG0000189	B5M19_RS03210	DR097_RS04790
OG0000190	B5M19_RS03215	DR097_RS03030
OG0000191	B5M19_RS03235	DR097_RS03010
OG0000192	B5M19_RS03675	DR097_RS00400
OG0000193	B5M19_RS02360	DR097_RS00415
OG0000194	B5M19_RS01855	DR097_RS01130
OG0000195	B5M19_RS01850	DR097_RS01125
OG0000196	B5M19_RS01830	DR097_RS01105
OG0000197	B5M19_RS01825	DR097_RS01100
OG0000198	B5M19_RS01810	DR097_RS01085
OG0000199	B5M19_RS01805	DR097_RS01080
OG0000200	B5M19_RS01790	DR097_RS01065
OG0000201	B5M19_RS01780	DR097_RS01055
OG0000202	B5M19_RS01725	DR097_RS01000
OG0000203	B5M19_RS01720	DR097_RS00995
OG0000204	B5M19_RS01715	DR097_RS00990
OG0000205	B5M19_RS01710	DR097_RS00985
OG0000206	B5M19_RS01690	DR097_RS00965
OG0000207	B5M19_RS01675	DR097_RS00950
OG0000208	B5M19_RS01670	DR097_RS00945
OG0000209	B5M19_RS01665	DR097_RS00940
OG0000210	B5M19_RS01620	DR097_RS04925
OG0000211	B5M19_RS03415	DR097_RS02185
OG0000212	B5M19_RS03405	DR097_RS02195
OG0000213	B5M19_RS03400	DR097_RS02200
OG0000214	B5M19_RS03395	DR097_RS02205
OG0000215	B5M19_RS03390	DR097_RS02210
OG0000216	B5M19_RS03385	DR097_RS02215
OG0000217	B5M19_RS03380	DR097_RS02220
OG0000218	B5M19_RS03370	DR097_RS02230
OG0000219	B5M19_RS03365	DR097_RS02235
OG0000220	B5M19_RS03360	DR097_RS02240
OG0000221	B5M19_RS03355	DR097_RS02245
OG0000222	B5M19_RS03350	DR097_RS02250
OG0000223	B5M19_RS03345	DR097_RS02255
OG0000224	B5M19_RS03130	DR097_RS02265
OG0000225	B5M19_RS03140	DR097_RS02275
OG0000226	B5M19_RS03145	DR097_RS02280
OG0000227	B5M19_RS03150	DR097_RS02285
OG0000228	B5M19_RS04630	DR097_RS04910
OG0000229	B5M19_RS03160	DR097_RS02295
OG0000230	B5M19_RS03165	DR097_RS02300
OG0000231	B5M19_RS03175	DR097_RS02310
OG0000232	B5M19_RS03185	DR097_RS02320
OG0000233	B5M19_RS02225	DR097_RS00535
OG0000234	B5M19_RS04335	DR097_RS00495
OG0000235	B5M19_RS02175	DR097_RS00485
OG0000236	B5M19_RS02170	DR097_RS00480
OG0000237	B5M19_RS02165	DR097_RS00475
OG0000238	B5M19_RS02155	DR097_RS00465
OG0000239	B5M19_RS01315	DR097_RS01270
OG0000240	B5M19_RS01310	DR097_RS01275
OG0000241	B5M19_RS01300	DR097_RS01285
OG0000242	B5M19_RS04160	DR097_RS01290
OG0000243	B5M19_RS01290	DR097_RS01295
OG0000244	B5M19_RS01280	DR097_RS01305
OG0000245	B5M19_RS01270	DR097_RS01315
OG0000246	B5M19_RS00050	DR097_RS00300
OG0000247	B5M19_RS00060	DR097_RS00290
OG0000248	B5M19_RS00070	DR097_RS00280
OG0000249	B5M19_RS00075	DR097_RS00275
OG0000250	B5M19_RS03880	DR097_RS00260
OG0000251	B5M19_RS00125	DR097_RS00225
OG0000252	B5M19_RS00135	DR097_RS00215
OG0000253	B5M19_RS00140	DR097_RS00210
OG0000254	B5M19_RS00150	DR097_RS00200
OG0000255	B5M19_RS00160	DR097_RS00190
OG0000256	B5M19_RS00165	DR097_RS00185
OG0000257	B5M19_RS00190	DR097_RS00160
OG0000258	B5M19_RS04020	DR097_RS00150
OG0000259	B5M19_RS00230	DR097_RS00120
OG0000260	B5M19_RS00240	DR097_RS00110
OG0000261	B5M19_RS00250	DR097_RS04500
OG0000262	B5M19_RS00270	DR097_RS00085
OG0000263	B5M19_RS00285	DR097_RS00070
OG0000264	B5M19_RS04030	DR097_RS00055
OG0000265	B5M19_RS00315	DR097_RS00045
OG0000266	B5M19_RS00335	DR097_RS00030
OG0000267	B5M19_RS04035	DR097_RS00015
OG0000268	B5M19_RS00355	DR097_RS00010
OG0000269	B5M19_RS03680	DR097_RS03285
OG0000270	B5M19_RS00415	DR097_RS04530
OG0000271	B5M19_RS00420	DR097_RS00590
OG0000272	B5M19_RS00425	DR097_RS00595
OG0000273	B5M19_RS00430	DR097_RS00600
OG0000274	B5M19_RS00450	DR097_RS00620
OG0000275	B5M19_RS00455	DR097_RS04540
OG0000276	B5M19_RS00460	DR097_RS00630
OG0000277	B5M19_RS00470	DR097_RS00640
OG0000278	B5M19_RS00475	DR097_RS00645
OG0000279	B5M19_RS00485	DR097_RS00655
OG0000280	B5M19_RS00490	DR097_RS00660
OG0000281	B5M19_RS00495	DR097_RS00665
OG0000282	B5M19_RS00520	DR097_RS04550
OG0000283	B5M19_RS00525	DR097_RS00695
OG0000284	B5M19_RS00530	DR097_RS00700
OG0000285	B5M19_RS00535	DR097_RS04555
OG0000286	B5M19_RS02850	DR097_RS01985
OG0000287	B5M19_RS01050	DR097_RS02680
OG0000288	B5M19_RS01040	DR097_RS02670
OG0000289	B5M19_RS01035	DR097_RS02665
OG0000290	B5M19_RS04120	DR097_RS01555
OG0000291	B5M19_RS00935	DR097_RS01565
OG0000292	B5M19_RS00940	DR097_RS01570
OG0000293	B5M19_RS00945	DR097_RS01575
OG0000294	B5M19_RS00955	DR097_RS03220
OG0000295	B5M19_RS00960	DR097_RS03210
OG0000296	B5M19_RS01000	DR097_RS02630
OG0000297	B5M19_RS01005	DR097_RS02635
OG0000298	B5M19_RS00085	DR097_RS00265
OG0000299	B5M19_RS00110	DR097_RS00240
OG0000300	B5M19_RS00300	DR097_RS00060
OG0000301	B5M19_RS00340	DR097_RS00025
OG0000302	B5M19_RS00345	DR097_RS00020
OG0000303	B5M19_RS02410	DR097_RS02370
OG0000304	B5M19_RS03190	DR097_RS02325
OG0000305	B5M19_RS01385	DR097_RS01205
OG0000306	B5M19_RS02560	DR097_RS01735
OG0000307	B5M19_RS02525	DR097_RS01770
OG0000308	B5M19_RS00905	DR097_RS01535
OG0000309	B5M19_RS00970	DR097_RS03200
OG0000310	B5M19_RS01045	DR097_RS02675
OG0000311	B5M19_RS02790	DR097_RS01925
OG0000312	B5M19_RS02805	DR097_RS01940
OG0000313	B5M19_RS03300	DR097_RS03115
OG0000314	B5M19_RS00780	DR097_RS00815
OG0000315	B5M19_RS00810	DR097_RS00785
OG0000316	B5M19_RS00820	DR097_RS00775
OG0000317	B5M19_RS02720	DR097_RS02840
OG0000318	B5M19_RS00825	DR097_RS04590
OG0000319	B5M19_RS02945	DR097_RS02725
OG0000320	B5M19_RS04425	DR097_RS02130
OG0000321	B5M19_RS01240	DR097_RS01695
OG0000322	B5M19_RS01195	DR097_RS01650
OG0000323	B5M19_RS01065	DR097_RS03305
OG0000324	B5M19_RS03240	DR097_RS03005
OG0000325	B5M19_RS01845	DR097_RS01120
OG0000326	B5M19_RS01750	DR097_RS01025
OG0000327	B5M19_RS01745	DR097_RS01020
OG0000328	B5M19_RS01660	DR097_RS00935
OG0000329	B5M19_RS01640	DR097_RS00915
OG0000330	B5M19_RS02210	DR097_RS00520
OG0000331	B5M19_RS01285	DR097_RS01300
OG0000332	B5M19_RS01520	DR097_RS01410
OG0000333	B5M19_RS01530	DR097_RS01400
OG0000334	B5M19_RS03040	DR097_RS03150
OG0000335	B5M19_RS03030	DR097_RS03160
OG0000336	B5M19_RS00505	DR097_RS04545
OG0000337	B5M19_RS01985	DR097_RS02600
OG0000338	B5M19_RS01940	DR097_RS03540
OG0000339	B5M19_RS03615	DR097_RS02100
OG0000340	B5M19_RS02565	DR097_RS01715
OG0000341	B5M19_RS03220	DR097_RS03025
OG0000342	B5M19_RS01815	DR097_RS01090
OG0000343	B5M19_RS04195	DR097_RS01390
OG0000344	B5M19_RS02425	DR097_RS02355
OG0000345	B5M19_RS03135	DR097_RS02270
OG0000346	B5M19_RS04590	DR097_RS04870
OG0000347	B5M19_RS01170	DR097_RS01625
OG0000348	B5M19_RS01740	DR097_RS01015
OG0000349	B5M19_RS00440	DR097_RS04535
OG0000350	B5M19_RS02515	DR097_RS01780
OG0000351	B5M19_RS03490	DR097_RS03225
OG0000352	B5M19_RS00755	DR097_RS00835
OG0000353	B5M19_RS01200	DR097_RS01655
OG0000354	B5M19_RS03080	DR097_RS03065
OG0000355	B5M19_RS00725	DR097_RS04600
OG0000356	B5M19_RS00815	DR097_RS04595
OG0000357	B5M19_RS01500	DR097_RS04635
OG0000358	B5M19_RS01505	DR097_RS01425
OG0000359	B5M19_RS01770	DR097_RS04620
OG0000360	B5M19_RS00195	DR097_RS00155
OG0000361	B5M19_RS00225	DR097_RS00125
OG0000362	B5M19_RS01025	DR097_RS02655
OG0000363	B5M19_RS01125	DR097_RS04660
OG0000364	B5M19_RS00700	DR097_RS00890
OG0000365	B5M19_RS02775	DR097_RS04570
OG0000366	B5M19_RS02750	DR097_RS02870
OG0000367	B5M19_RS02740	DR097_RS02860
OG0000368	B5M19_RS04270	DR097_RS02770
OG0000369	B5M19_RS01910	DR097_RS04750
OG0000370	B5M19_RS01915	DR097_RS02810
OG0000371	B5M19_RS01920	DR097_RS02815
OG0000372	B5M19_RS01925	DR097_RS02820
OG0000373	B5M19_RS01950	DR097_RS02570
OG0000374	B5M19_RS01960	DR097_RS02580
OG0000375	B5M19_RS02950	DR097_RS02720
OG0000376	B5M19_RS02670	DR097_RS02145
OG0000377	B5M19_RS02680	DR097_RS02135
OG0000378	B5M19_RS02585	DR097_RS00325
OG0000379	B5M19_RS01205	DR097_RS01660
OG0000380	B5M19_RS01180	DR097_RS01635
OG0000381	B5M19_RS01140	DR097_RS01595
OG0000382	B5M19_RS01105	DR097_RS03350
OG0000383	B5M19_RS01070	DR097_RS03310
OG0000384	B5M19_RS02365	DR097_RS03605
OG0000385	B5M19_RS02370	DR097_RS02090
OG0000386	B5M19_RS02390	DR097_RS02390
OG0000387	B5M19_RS02415	DR097_RS02365
OG0000388	B5M19_RS02420	DR097_RS04710
OG0000389	B5M19_RS03095	DR097_RS03085
OG0000390	B5M19_RS01365	DR097_RS01225
OG0000391	B5M19_RS01375	DR097_RS01215
OG0000392	B5M19_RS01400	DR097_RS01190
OG0000393	B5M19_RS03515	DR097_RS04670
OG0000394	B5M19_RS02490	DR097_RS01805
OG0000395	B5M19_RS02485	DR097_RS01810
OG0000396	B5M19_RS02845	DR097_RS01980
OG0000397	B5M19_RS00740	DR097_RS00850
OG0000398	B5M19_RS00745	DR097_RS00845
OG0000399	B5M19_RS00795	DR097_RS00800
OG0000400	B5M19_RS01460	DR097_RS01465
OG0000401	B5M19_RS01525	DR097_RS01405
OG0000402	B5M19_RS01535	DR097_RS01395
OG0000404	B5M19_RS04205	DR097_RS01355
OG0000405	B5M19_RS01590	DR097_RS01340
OG0000406	B5M19_RS03025	DR097_RS03165
OG0000407	B5M19_RS03020	DR097_RS04810
OG0000408	B5M19_RS03015	DR097_RS03175
OG0000410	B5M19_RS03100	DR097_RS02970
OG0000411	B5M19_RS03110	DR097_RS02980
OG0000412	B5M19_RS03115	DR097_RS02985
OG0000413	B5M19_RS03555	DR097_RS02935
OG0000414	B5M19_RS03545	DR097_RS02925
OG0000415	B5M19_RS03540	DR097_RS02920
OG0000416	B5M19_RS03530	DR097_RS02910
OG0000417	B5M19_RS03225	DR097_RS03020
OG0000418	B5M19_RS03230	DR097_RS03015
OG0000419	B5M19_RS01835	DR097_RS01110
OG0000420	B5M19_RS01800	DR097_RS01075
OG0000421	B5M19_RS01765	DR097_RS01040
OG0000422	B5M19_RS01755	DR097_RS01030
OG0000423	B5M19_RS01700	DR097_RS00975
OG0000424	B5M19_RS01695	DR097_RS00970
OG0000425	B5M19_RS01685	DR097_RS00960
OG0000426	B5M19_RS01680	DR097_RS04615
OG0000427	B5M19_RS01655	DR097_RS04610
OG0000428	B5M19_RS01630	DR097_RS00905
OG0000430	B5M19_RS03170	DR097_RS02305
OG0000431	B5M19_RS03180	DR097_RS02315
OG0000432	B5M19_RS04345	DR097_RS00525
OG0000433	B5M19_RS02200	DR097_RS00510
OG0000434	B5M19_RS02195	DR097_RS00505
OG0000435	B5M19_RS02180	DR097_RS00490
OG0000436	B5M19_RS02150	DR097_RS00460
OG0000437	B5M19_RS02140	DR097_RS00450
OG0000438	B5M19_RS02135	DR097_RS00445
OG0000439	B5M19_RS02130	DR097_RS04525
OG0000440	B5M19_RS04165	DR097_RS04630
OG0000441	B5M19_RS01265	DR097_RS03780
OG0000442	B5M19_RS00055	DR097_RS00295
OG0000443	B5M19_RS00105	DR097_RS00245
OG0000444	B5M19_RS00120	DR097_RS00230
OG0000445	B5M19_RS00145	DR097_RS00205
OG0000446	B5M19_RS00175	DR097_RS00175
OG0000447	B5M19_RS00180	DR097_RS00170
OG0000448	B5M19_RS00210	DR097_RS00140
OG0000449	B5M19_RS00235	DR097_RS00115
OG0000450	B5M19_RS00245	DR097_RS00105
OG0000451	B5M19_RS00295	DR097_RS00065
OG0000452	B5M19_RS00330	DR097_RS00040
OG0000454	B5M19_RS03255	DR097_RS03090
OG0000455	B5M19_RS00395	DR097_RS00565
OG0000456	B5M19_RS00515	DR097_RS00685
OG0000457	B5M19_RS00540	DR097_RS00710
OG0000458	B5M19_RS01055	DR097_RS02685
OG0000459	B5M19_RS01030	DR097_RS02660
OG0000460	B5M19_RS01020	DR097_RS02650
OG0000461	B5M19_RS04125	DR097_RS03195
OG0000462	B5M19_RS00980	DR097_RS03190
OG0000463	B5M19_RS04130	DR097_RS03185
OG0000464	B5M19_RS00990	DR097_RS02620
OG0000465	B5M19_RS00995	DR097_RS02625
OG0000467	B5M19_RS00895	DR097_RS04655
OG0000468	B5M19_RS00790	DR097_RS00805
OG0000469	B5M19_RS00850	DR097_RS00745
OG0000470	B5M19_RS03910	DR097_RS03815
OG0000472	B5M19_RS00580	DR097_RS02945
OG0000473	B5M19_RS00410	DR097_RS00580
OG0000474	B5M19_RS00405	DR097_RS00575
OG0000475	B5M19_RS00400	DR097_RS00570
OG0000476	B5M19_RS03280	DR097_RS02900
OG0000477	B5M19_RS00950	DR097_RS03795
OG0000478	B5M19_RS00465	DR097_RS00635
OG0000479	B5M19_RS04145	DR097_RS01700
OG0000480	B5M19_RS03895	DR097_RS03810
OG0000481	B5M19_RS01730	DR097_RS01005
OG0000482	B5M19_RS03730	DR097_RS00410
OG0000483	B5M19_RS02735	DR097_RS02855
OG0000484	B5M19_RS00115	DR097_RS04505
OG0000485	B5M19_RS02145	DR097_RS00455
OG0000486	B5M19_RS03205	DR097_RS03040
OG0000487	B5M19_RS00830	DR097_RS04585
OG0000489	B5M19_RS01885	DR097_RS02780
OG0000490	B5M19_RS01945	DR097_RS03535
OG0000491	B5M19_RS01225	DR097_RS01680
OG0000492	B5M19_RS04140	DR097_RS01605
OG0000493	B5M19_RS02430	DR097_RS02350
OG0000494	B5M19_RS03075	DR097_RS03060
OG0000495	B5M19_RS01430	DR097_RS01160
OG0000497	B5M19_RS01445	DR097_RS01720
OG0000498	B5M19_RS02495	DR097_RS01800
OG0000499	B5M19_RS00870	DR097_RS01500
OG0000500	B5M19_RS00750	DR097_RS00840
OG0000501	B5M19_RS01470	DR097_RS01455
OG0000502	B5M19_RS02350	DR097_RS00420
OG0000503	B5M19_RS04250	DR097_RS01060
OG0000504	B5M19_RS01650	DR097_RS00925
OG0000505	B5M19_RS03420	DR097_RS02180
OG0000506	B5M19_RS03410	DR097_RS02190
OG0000507	B5M19_RS03375	DR097_RS02225
OG0000508	B5M19_RS00170	DR097_RS00180
OG0000509	B5M19_RS00205	DR097_RS00145
OG0000510	B5M19_RS00215	DR097_RS00135
OG0000511	B5M19_RS03685	DR097_RS03290
OG0000512	B5M19_RS01015	DR097_RS02645
OG0000513	B5M19_RS00480	DR097_RS00650
OG0000514	B5M19_RS01405	DR097_RS01185
OG0000516	B5M19_RS00835	DR097_RS04580
OG0000518	B5M19_RS01515	DR097_RS01415
OG0000519	B5M19_RS01760	DR097_RS01035
OG0000520	B5M19_RS01635	DR097_RS00910
OG0000521	B5M19_RS00185	DR097_RS00165
OG0000522	B5M19_RS00220	DR097_RS00130
OG0000523	B5M19_RS00545	DR097_RS00715
OG0000524	B5M19_RS00900	DR097_RS01530
OG0000525	B5M19_RS00575	DR097_RS04770
OG0000526	B5M19_RS04070	DR097_RS04225
OG0000527	B5M19_RS04065	DR097_RS04395
OG0000527	B5M19_RS04060	DR097_RS04390
OG0000528	B5M19_RS00840	DR097_RS04575
OG0000529	B5M19_RS02935	DR097_RS02735
OG0000530	B5M19_RS02705	DR097_RS02115
OG0000531	B5M19_RS01175	DR097_RS01630
OG0000532	B5M19_RS04500	DR097_RS03520
OG0000533	B5M19_RS04515	DR097_RS03360
OG0000535	B5M19_RS04610	DR097_RS04745
OG0000536	B5M19_RS00365	DR097_RS03385
OG0000537	B5M19_RS01820	DR097_RS01095
OG0000538	B5M19_RS04340	DR097_RS00500
OG0000539	B5M19_RS00130	DR097_RS00220
OG0000540	B5M19_RS00930	DR097_RS01560
OG0000541	B5M19_RS00855	DR097_RS01485
OG0000542	B5M19_RS00275	DR097_RS00080
OG0000543	B5M19_RS04430	DR097_RS02005
OG0000544	B5M19_RS04410	DR097_RS04515
OG0000545	B5M19_RS00645	DR097_RS02535
OG0000546	B5M19_RS02545	DR097_RS01750
OG0000547	B5M19_RS01355	DR097_RS04935
OG0000548	B5M19_RS03295	DR097_RS03110
