Orthogroup	MHP_MHP653_genes	MHP_ES2L_genes
OG0000222	DR096_RS02745	HZK19_RS00975
OG0000223	DR096_RS02750	HZK19_RS00980
OG0000224	DR096_RS02760	HZK19_RS00990
OG0000225	DR096_RS02770	HZK19_RS01000
OG0000226	DR096_RS02775	HZK19_RS01005
OG0000227	DR096_RS02780	HZK19_RS01010
OG0000228	DR096_RS04885	HZK19_RS03950
OG0000229	DR096_RS02790	HZK19_RS01020
OG0000230	DR096_RS02795	HZK19_RS01025
OG0000231	DR096_RS02805	HZK19_RS01035
OG0000232	DR096_RS02815	HZK19_RS01045
OG0000233	DR096_RS01885	HZK19_RS01070
OG0000234	DR096_RS01920	HZK19_RS01105
OG0000235	DR096_RS01930	HZK19_RS01115
OG0000236	DR096_RS01935	HZK19_RS01120
OG0000237	DR096_RS01940	HZK19_RS01125
OG0000238	DR096_RS01950	HZK19_RS01130
OG0000239	DR096_RS00850	HZK19_RS02905
OG0000240	DR096_RS00845	HZK19_RS02910
OG0000241	DR096_RS00835	HZK19_RS02920
OG0000242	DR096_RS00830	HZK19_RS02925
OG0000243	DR096_RS00825	HZK19_RS02930
OG0000244	DR096_RS00815	HZK19_RS02940
OG0000245	DR096_RS00805	HZK19_RS02950
OG0000246	DR096_RS02525	HZK19_RS00125
OG0000247	DR096_RS00365	HZK19_RS00135
OG0000248	DR096_RS00355	HZK19_RS00145
OG0000249	DR096_RS00350	HZK19_RS00150
OG0000250	DR096_RS00335	HZK19_RS00165
OG0000251	DR096_RS00300	HZK19_RS00195
OG0000252	DR096_RS00290	HZK19_RS00205
OG0000253	DR096_RS00285	HZK19_RS00210
OG0000254	DR096_RS00275	HZK19_RS00220
OG0000255	DR096_RS00265	HZK19_RS00225
OG0000256	DR096_RS00260	HZK19_RS00230
OG0000257	DR096_RS00235	HZK19_RS00255
OG0000258	DR096_RS00225	HZK19_RS00265
OG0000259	DR096_RS00195	HZK19_RS00295
OG0000260	DR096_RS00185	HZK19_RS00305
OG0000261	DR096_RS04485	HZK19_RS00315
OG0000262	DR096_RS00160	HZK19_RS00330
OG0000263	DR096_RS00145	HZK19_RS00345
OG0000264	DR096_RS00130	HZK19_RS00360
OG0000265	DR096_RS00120	HZK19_RS00370
OG0000266	DR096_RS00105	HZK19_RS00385
OG0000267	DR096_RS00090	HZK19_RS00400
OG0000268	DR096_RS00085	HZK19_RS00405
OG0000269	DR096_RS00070	HZK19_RS00420
OG0000270	DR096_RS04570	HZK19_RS03540
OG0000271	DR096_RS01000	HZK19_RS03535
OG0000272	DR096_RS00995	HZK19_RS03530
OG0000273	DR096_RS00990	HZK19_RS03525
OG0000274	DR096_RS00970	HZK19_RS03505
OG0000275	DR096_RS04560	HZK19_RS03500
OG0000276	DR096_RS00960	HZK19_RS03495
OG0000277	DR096_RS00950	HZK19_RS03485
OG0000278	DR096_RS00945	HZK19_RS03480
OG0000279	DR096_RS00935	HZK19_RS03470
OG0000280	DR096_RS00930	HZK19_RS03465
OG0000281	DR096_RS00925	HZK19_RS03460
OG0000282	DR096_RS04550	HZK19_RS03435
OG0000283	DR096_RS00895	HZK19_RS03430
OG0000284	DR096_RS00890	HZK19_RS03425
OG0000285	DR096_RS04545	HZK19_RS03420
OG0000286	DR096_RS03490	HZK19_RS02390
OG0000287	DR096_RS02920	HZK19_RS02485
OG0000288	DR096_RS02930	HZK19_RS02495
OG0000289	DR096_RS02935	HZK19_RS02500
OG0000290	DR096_RS02450	HZK19_RS02610
OG0000291	DR096_RS02460	HZK19_RS02600
OG0000292	DR096_RS02465	HZK19_RS02595
OG0000293	DR096_RS02470	HZK19_RS02590
OG0000294	DR096_RS02480	HZK19_RS02580
OG0000295	DR096_RS02485	HZK19_RS02575
OG0000296	DR096_RS02970	HZK19_RS02535
OG0000297	DR096_RS02965	HZK19_RS02530
OG0000298	DR096_RS00340	HZK19_RS00160
OG0000299	DR096_RS00315	HZK19_RS00180
OG0000300	DR096_RS00135	HZK19_RS00355
OG0000301	DR096_RS00100	HZK19_RS00390
OG0000302	DR096_RS00095	HZK19_RS00395
OG0000303	DR096_RS02630	HZK19_RS00550
OG0000304	DR096_RS02820	HZK19_RS01055
OG0000305	DR096_RS01110	HZK19_RS02845
OG0000306	DR096_RS01185	HZK19_RS02770
OG0000307	DR096_RS01515	HZK19_RS02735
OG0000308	DR096_RS02430	HZK19_RS02635
OG0000309	DR096_RS02495	HZK19_RS02565
OG0000310	DR096_RS02925	HZK19_RS02490
OG0000311	DR096_RS02985	HZK19_RS02450
OG0000312	DR096_RS03000	HZK19_RS02435
OG0000313	DR096_RS01365	HZK19_RS01565
OG0000314	DR096_RS00495	HZK19_RS01920
OG0000315	DR096_RS00525	HZK19_RS01950
OG0000316	DR096_RS00535	HZK19_RS01960
OG0000317	DR096_RS00625	HZK19_RS02055
OG0000318	DR096_RS04510	HZK19_RS01965
OG0000319	DR096_RS02875	HZK19_RS02200
OG0000320	DR096_RS01700	HZK19_RS02330
OG0000321	DR096_RS01630	HZK19_RS01300
OG0000322	DR096_RS01585	HZK19_RS01345
OG0000323	DR096_RS01290	HZK19_RS01475
OG0000324	DR096_RS03180	HZK19_RS02240
OG0000325	DR096_RS02085	HZK19_RS00675
OG0000326	DR096_RS02180	HZK19_RS00770
OG0000327	DR096_RS02185	HZK19_RS00775
OG0000328	DR096_RS02365	HZK19_RS00860
OG0000329	DR096_RS02385	HZK19_RS00880
OG0000330	DR096_RS01895	HZK19_RS01080
OG0000331	DR096_RS00820	HZK19_RS02935
OG0000332	DR096_RS00705	HZK19_RS03150
OG0000333	DR096_RS00695	HZK19_RS03160
OG0000334	DR096_RS03100	HZK19_RS03270
OG0000335	DR096_RS04740	HZK19_RS03280
OG0000336	DR096_RS04555	HZK19_RS03450
OG0000337	DR096_RS01765	HZK19_RS03620
OG0000338	DR096_RS01805	HZK19_RS03660
OG0000339	DR096_RS03250	HZK19_RS02305
OG0000340	DR096_RS01650	HZK19_RS01280
OG0000341	DR096_RS03160	HZK19_RS02260
OG0000342	DR096_RS02115	HZK19_RS00705
OG0000343	DR096_RS00685	HZK19_RS03170
OG0000344	DR096_RS02645	HZK19_RS00565
OG0000345	DR096_RS02765	HZK19_RS00995
OG0000346	DR096_RS04835	HZK19_RS03455
OG0000347	DR096_RS01560	HZK19_RS01370
OG0000348	DR096_RS02190	HZK19_RS00780
OG0000349	DR096_RS04565	HZK19_RS03515
OG0000350	DR096_RS01505	HZK19_RS02725
OG0000351	DR096_RS00010	HZK19_RS00480
OG0000352	DR096_RS00475	HZK19_RS01895
OG0000353	DR096_RS01590	HZK19_RS01340
OG0000354	DR096_RS03290	HZK19_RS00625
OG0000355	DR096_RS04500	HZK19_RS01870
OG0000356	DR096_RS04505	HZK19_RS01955
OG0000357	DR096_RS04530	HZK19_RS03130
OG0000358	DR096_RS00720	HZK19_RS03135
OG0000359	DR096_RS04670	HZK19_RS00750
OG0000360	DR096_RS00230	HZK19_RS00260
OG0000361	DR096_RS00200	HZK19_RS00290
OG0000362	DR096_RS02945	HZK19_RS02510
OG0000363	DR096_RS01225	HZK19_RS03730
OG0000364	DR096_RS00420	HZK19_RS03760
OG0000365	DR096_RS00575	HZK19_RS02000
OG0000366	DR096_RS00595	HZK19_RS02025
OG0000367	DR096_RS00605	HZK19_RS02035
OG0000368	DR096_RS01870	HZK19_RS00060
OG0000369	DR096_RS04650	HZK19_RS00025
OG0000370	DR096_RS01830	HZK19_RS00020
OG0000371	DR096_RS01825	HZK19_RS00015
OG0000372	DR096_RS01820	HZK19_RS00010
OG0000373	DR096_RS01795	HZK19_RS03650
OG0000374	DR096_RS01785	HZK19_RS03640
OG0000375	DR096_RS02880	HZK19_RS02195
OG0000376	DR096_RS01715	HZK19_RS02345
OG0000377	DR096_RS01705	HZK19_RS02335
OG0000378	DR096_RS01670	HZK19_RS01260
OG0000379	DR096_RS01595	HZK19_RS01335
OG0000380	DR096_RS01570	HZK19_RS01360
OG0000381	DR096_RS01215	HZK19_RS01400
OG0000382	DR096_RS01245	HZK19_RS01430
OG0000383	DR096_RS01285	HZK19_RS01470
OG0000384	DR096_RS03380	HZK19_RS00505
OG0000385	DR096_RS03375	HZK19_RS00510
OG0000386	DR096_RS02610	HZK19_RS00530
OG0000387	DR096_RS02635	HZK19_RS00555
OG0000388	DR096_RS04725	HZK19_RS00560
OG0000389	DR096_RS03310	HZK19_RS00605
OG0000390	DR096_RS01090	HZK19_RS02865
OG0000391	DR096_RS01100	HZK19_RS02855
OG0000392	DR096_RS01125	HZK19_RS02830
OG0000393	DR096_RS04585	HZK19_RS02775
OG0000394	DR096_RS01480	HZK19_RS02700
OG0000395	DR096_RS01475	HZK19_RS02695
OG0000396	DR096_RS03045	HZK19_RS02395
OG0000397	DR096_RS00460	HZK19_RS01880
OG0000398	DR096_RS00465	HZK19_RS01885
OG0000399	DR096_RS00510	HZK19_RS01935
OG0000400	DR096_RS00765	HZK19_RS03000
OG0000401	DR096_RS00700	HZK19_RS03155
OG0000402	DR096_RS00690	HZK19_RS03165
OG0000403	DR096_RS00680	HZK19_RS03175
OG0000404	DR096_RS00650	HZK19_RS03205
OG0000405	DR096_RS00635	HZK19_RS03220
OG0000406	DR096_RS03085	HZK19_RS03285
OG0000407	DR096_RS04735	HZK19_RS03290
OG0000408	DR096_RS03075	HZK19_RS03295
OG0000409	DR096_RS03070	HZK19_RS03300
OG0000410	DR096_RS03140	HZK19_RS03360
OG0000411	DR096_RS03130	HZK19_RS03350
OG0000412	DR096_RS03125	HZK19_RS03345
OG0000413	DR096_RS01300	HZK19_RS01485
OG0000414	DR096_RS01310	HZK19_RS01495
OG0000415	DR096_RS01315	HZK19_RS01500
OG0000416	DR096_RS01325	HZK19_RS01510
OG0000417	DR096_RS03165	HZK19_RS02255
OG0000418	DR096_RS03170	HZK19_RS02250
OG0000419	DR096_RS02095	HZK19_RS00685
OG0000420	DR096_RS02130	HZK19_RS00720
OG0000421	DR096_RS02165	HZK19_RS00755
OG0000422	DR096_RS02175	HZK19_RS00765
OG0000423	DR096_RS02325	HZK19_RS00820
OG0000424	DR096_RS02330	HZK19_RS00825
OG0000425	DR096_RS02340	HZK19_RS00835
OG0000426	DR096_RS04695	HZK19_RS00840
OG0000427	DR096_RS04700	HZK19_RS00865
OG0000428	DR096_RS02395	HZK19_RS00890
OG0000429	DR096_RS02755	HZK19_RS00985
OG0000430	DR096_RS02800	HZK19_RS01030
OG0000431	DR096_RS02810	HZK19_RS01040
OG0000432	DR096_RS01890	HZK19_RS01075
OG0000433	DR096_RS01905	HZK19_RS01090
OG0000434	DR096_RS01910	HZK19_RS01095
OG0000435	DR096_RS01925	HZK19_RS01110
OG0000436	DR096_RS01955	HZK19_RS01135
OG0000437	DR096_RS01965	HZK19_RS01145
OG0000438	DR096_RS01970	HZK19_RS01150
OG0000439	DR096_RS01975	HZK19_RS01155
OG0000440	DR096_RS00840	HZK19_RS02915
OG0000441	DR096_RS00800	HZK19_RS02955
OG0000442	DR096_RS02520	HZK19_RS00130
OG0000443	DR096_RS00320	HZK19_RS00175
OG0000444	DR096_RS00305	HZK19_RS00190
OG0000445	DR096_RS00280	HZK19_RS00215
OG0000446	DR096_RS00250	HZK19_RS00240
OG0000447	DR096_RS00245	HZK19_RS00245
OG0000448	DR096_RS00215	HZK19_RS00275
OG0000449	DR096_RS00190	HZK19_RS00300
OG0000450	DR096_RS00180	HZK19_RS00310
OG0000451	DR096_RS00140	HZK19_RS00350
OG0000452	DR096_RS03845	HZK19_RS00375
OG0000453	DR096_RS00080	HZK19_RS00410
OG0000455	DR096_RS01025	HZK19_RS03560
OG0000456	DR096_RS00905	HZK19_RS03440
OG0000457	DR096_RS00880	HZK19_RS03415
OG0000458	DR096_RS02915	HZK19_RS02480
OG0000459	DR096_RS02940	HZK19_RS02505
OG0000460	DR096_RS02950	HZK19_RS02520
OG0000461	DR096_RS02500	HZK19_RS02560
OG0000462	DR096_RS02505	HZK19_RS02555
OG0000463	DR096_RS02510	HZK19_RS02550
OG0000465	DR096_RS02975	HZK19_RS02545
OG0000466	DR096_RS00110	HZK19_RS00380
OG0000467	DR096_RS04620	HZK19_RS02645
OG0000468	DR096_RS00505	HZK19_RS01930
OG0000469	DR096_RS00565	HZK19_RS01990
OG0000470	DR096_RS03815	HZK19_RS00815
OG0000471	DR096_RS02400	HZK19_RS00895
OG0000472	DR096_RS03190	HZK19_RS03370
OG0000473	DR096_RS01010	HZK19_RS03545
OG0000474	DR096_RS01015	HZK19_RS03550
OG0000475	DR096_RS01020	HZK19_RS03555
OG0000476	DR096_RS01335	HZK19_RS01520
OG0000477	DR096_RS02475	HZK19_RS02585
OG0000478	DR096_RS00955	HZK19_RS03490
OG0000479	DR096_RS01635	HZK19_RS01295
OG0000480	DR096_RS03790	HZK19_RS01995
OG0000481	DR096_RS02200	HZK19_RS00790
OG0000483	DR096_RS00610	HZK19_RS02040
OG0000484	DR096_RS04490	HZK19_RS00185
OG0000485	DR096_RS01960	HZK19_RS01140
OG0000486	DR096_RS03145	HZK19_RS02275
OG0000487	DR096_RS04515	HZK19_RS01970
OG0000488	DR096_RS00580	HZK19_RS02010
OG0000489	DR096_RS01860	HZK19_RS00050
OG0000490	DR096_RS01800	HZK19_RS03655
OG0000491	DR096_RS01615	HZK19_RS01315
OG0000492	DR096_RS01540	HZK19_RS01390
OG0000493	DR096_RS02650	HZK19_RS00570
OG0000494	DR096_RS03285	HZK19_RS00630
OG0000495	DR096_RS01155	HZK19_RS02800
OG0000496	DR096_RS01165	HZK19_RS02790
OG0000497	DR096_RS01170	HZK19_RS02785
OG0000498	DR096_RS01485	HZK19_RS02705
OG0000499	DR096_RS01450	HZK19_RS02670
OG0000500	DR096_RS00470	HZK19_RS01890
OG0000501	DR096_RS00755	HZK19_RS03010
OG0000502	DR096_RS02290	HZK19_RS01165
OG0000503	DR096_RS02145	HZK19_RS00735
OG0000504	DR096_RS02375	HZK19_RS00870
OG0000505	DR096_RS02675	HZK19_RS00905
OG0000506	DR096_RS02685	HZK19_RS00915
OG0000507	DR096_RS02720	HZK19_RS00950
OG0000508	DR096_RS00255	HZK19_RS00235
OG0000509	DR096_RS00220	HZK19_RS00270
OG0000510	DR096_RS00210	HZK19_RS00280
OG0000511	DR096_RS00075	HZK19_RS00415
OG0000513	DR096_RS00940	HZK19_RS03475
OG0000514	DR096_RS01130	HZK19_RS02825
OG0000516	DR096_RS04520	HZK19_RS01975
OG0000517	DR096_RS01880	HZK19_RS00065
OG0000518	DR096_RS00710	HZK19_RS03145
OG0000519	DR096_RS02170	HZK19_RS00760
OG0000520	DR096_RS02390	HZK19_RS00885
OG0000521	DR096_RS00240	HZK19_RS00250
OG0000522	DR096_RS00205	HZK19_RS00285
OG0000523	DR096_RS00875	HZK19_RS03410
OG0000524	DR096_RS01420	HZK19_RS02640
OG0000525	DR096_RS04760	HZK19_RS03375
OG0000526	DR096_RS03880	HZK19_RS03755
OG0000527	DR096_RS03455	HZK19_RS01730
OG0000528	DR096_RS00555	HZK19_RS01980
OG0000529	DR096_RS02865	HZK19_RS02210
OG0000530	DR096_RS03260	HZK19_RS02315
OG0000531	DR096_RS01565	HZK19_RS01365
OG0000532	DR096_RS01395	HZK19_RS01590
OG0000533	DR096_RS03320	HZK19_RS00590
OG0000534	DR096_RS00125	HZK19_RS00365
OG0000535	DR096_RS04655	HZK19_RS00045
OG0000537	DR096_RS02110	HZK19_RS00700
OG0000538	DR096_RS01915	HZK19_RS01100
