Orthogroup	MHP_168_genes	MHP_168L_genes
OG0000025	MHP168_RS01755	MHP168L_RS01770
OG0000025	MHP168_RS01715	MHP168L_RS01730
OG0000026	MHP168_RS01450	MHP168L_RS01455
OG0000026	MHP168_RS01735	MHP168L_RS01750
OG0000027	MHP168_RS03845	MHP168L_RS03825
OG0000027	MHP168_RS03330	MHP168L_RS03345
OG0000028	MHP168_RS02415	MHP168L_RS02440
OG0000029	MHP168_RS00575	MHP168L_RS00580
OG0000029	MHP168_RS01050	MHP168L_RS01050
OG0000030	MHP168_RS03310	MHP168L_RS03325
OG0000030	MHP168_RS03325	MHP168L_RS03340
OG0000031	MHP168_RS03565	MHP168L_RS03575
OG0000031	MHP168_RS01210	MHP168L_RS01215
OG0000031	MHP168_RS01815	MHP168L_RS01830
OG0000032	MHP168_RS03320	MHP168L_RS03335
OG0000033	MHP168_RS02410	MHP168L_RS02435
OG0000035	MHP168_RS03185	MHP168L_RS03200
OG0000035	MHP168_RS03170	MHP168L_RS03185
OG0000036	MHP168_RS00105	MHP168L_RS00110
OG0000037	MHP168_RS01830	MHP168L_RS01845
OG0000038	MHP168_RS01840	MHP168L_RS01855
OG0000039	MHP168_RS01800	MHP168L_RS01815
OG0000040	MHP168_RS03260	MHP168L_RS03275
OG0000041	MHP168_RS00980	MHP168L_RS00985
OG0000041	MHP168_RS03920	MHP168L_RS03925
OG0000042	MHP168_RS02950	MHP168L_RS02970
OG0000043	MHP168_RS01985	MHP168L_RS02005
OG0000043	MHP168_RS01205	MHP168L_RS01210
OG0000044	MHP168_RS03745	MHP168L_RS04140
OG0000044	MHP168_RS01880	MHP168L_RS01900
OG0000045	MHP168_RS01795	MHP168L_RS01810
OG0000046	MHP168_RS03265	MHP168L_RS03280
OG0000047	MHP168_RS03530	MHP168L_RS03540
OG0000047	MHP168_RS01230	MHP168L_RS01235
OG0000048	MHP168_RS02190	MHP168L_RS02210
OG0000049	MHP168_RS03035	MHP168L_RS03050
OG0000050	MHP168_RS02450	MHP168L_RS02475
OG0000051	MHP168_RS04010	MHP168L_RS04035
OG0000051	MHP168_RS02660	MHP168L_RS02685
OG0000052	MHP168_RS00070	MHP168L_RS00075
OG0000053	MHP168_RS01535	MHP168L_RS01540
OG0000054	MHP168_RS02475	MHP168L_RS02500
OG0000055	MHP168_RS00110	MHP168L_RS00115
OG0000056	MHP168_RS03500	MHP168L_RS03515
OG0000057	MHP168_RS02935	MHP168L_RS02955
OG0000058	MHP168_RS01190	MHP168L_RS01190
OG0000058	MHP168_RS03570	MHP168L_RS03580
OG0000059	MHP168_RS03925	MHP168L_RS01205
OG0000059	MHP168_RS03560	MHP168L_RS03570
OG0000060	MHP168_RS01270	MHP168L_RS01280
OG0000060	MHP168_RS00075	MHP168L_RS00080
OG0000061	MHP168_RS01940	MHP168L_RS01960
OG0000061	MHP168_RS01655	MHP168L_RS01660
OG0000062	MHP168_RS03625	MHP168L_RS03630
OG0000063	MHP168_RS03620	MHP168L_RS03625
OG0000064	MHP168_RS03610	MHP168L_RS03615
OG0000065	MHP168_RS02125	MHP168L_RS04005
OG0000066	MHP168_RS01440	MHP168L_RS01445
OG0000067	MHP168_RS00505	MHP168L_RS00510
OG0000068	MHP168_RS03810	MHP168L_RS04135
OG0000069	MHP168_RS02825	MHP168L_RS02845
OG0000070	MHP168_RS02480	MHP168L_RS02505
OG0000071	MHP168_RS03250	MHP168L_RS03265
OG0000072	MHP168_RS03255	MHP168L_RS03270
OG0000073	MHP168_RS00950	MHP168L_RS00955
OG0000074	MHP168_RS00760	MHP168L_RS00765
OG0000075	MHP168_RS00315	MHP168L_RS00320
OG0000076	MHP168_RS00330	MHP168L_RS00335
OG0000077	MHP168_RS00420	MHP168L_RS00425
OG0000078	MHP168_RS01745	MHP168L_RS01760
OG0000079	MHP168_RS02565	MHP168L_RS02590
OG0000080	MHP168_RS03900	MHP168L_RS03895
OG0000081	MHP168_RS00310	MHP168L_RS00315
OG0000082	MHP168_RS03995	MHP168L_RS04015
OG0000082	MHP168_RS04000	MHP168L_RS04020
OG0000083	MHP168_RS02095	MHP168L_RS02110
OG0000084	MHP168_RS02245	MHP168L_RS02265
OG0000085	MHP168_RS02240	MHP168L_RS02260
OG0000086	MHP168_RS02230	MHP168L_RS02250
OG0000087	MHP168_RS02215	MHP168L_RS02235
OG0000088	MHP168_RS02210	MHP168L_RS02230
OG0000089	MHP168_RS02195	MHP168L_RS02215
OG0000090	MHP168_RS00065	MHP168L_RS00070
OG0000091	MHP168_RS00055	MHP168L_RS00055
OG0000092	MHP168_RS00040	MHP168L_RS00040
OG0000093	MHP168_RS00035	MHP168L_RS00035
OG0000094	MHP168_RS00030	MHP168L_RS00030
OG0000095	MHP168_RS00005	MHP168L_RS00005
OG0000096	MHP168_RS03660	MHP168L_RS03665
OG0000097	MHP168_RS03640	MHP168L_RS03645
OG0000098	MHP168_RS03630	MHP168L_RS03635
OG0000099	MHP168_RS03510	MHP168L_RS03520
OG0000100	MHP168_RS03490	MHP168L_RS03505
OG0000101	MHP168_RS03485	MHP168L_RS03500
OG0000102	MHP168_RS01720	MHP168L_RS01735
OG0000103	MHP168_RS02160	MHP168L_RS02175
OG0000104	MHP168_RS02155	MHP168L_RS02170
OG0000105	MHP168_RS02140	MHP168L_RS02155
OG0000106	MHP168_RS02130	MHP168L_RS02145
OG0000107	MHP168_RS02120	MHP168L_RS02135
OG0000108	MHP168_RS02115	MHP168L_RS02130
OG0000109	MHP168_RS02110	MHP168L_RS02125
OG0000110	MHP168_RS02385	MHP168L_RS02410
OG0000111	MHP168_RS02380	MHP168L_RS02405
OG0000112	MHP168_RS02370	MHP168L_RS02395
OG0000113	MHP168_RS02350	MHP168L_RS02375
OG0000114	MHP168_RS02340	MHP168L_RS02365
OG0000115	MHP168_RS02325	MHP168L_RS02350
OG0000116	MHP168_RS01380	MHP168L_RS01385
OG0000117	MHP168_RS01385	MHP168L_RS01390
OG0000118	MHP168_RS01425	MHP168L_RS01430
OG0000119	MHP168_RS01430	MHP168L_RS01435
OG0000120	MHP168_RS01445	MHP168L_RS01450
OG0000121	MHP168_RS01470	MHP168L_RS01475
OG0000122	MHP168_RS01475	MHP168L_RS01480
OG0000123	MHP168_RS01495	MHP168L_RS01500
OG0000124	MHP168_RS01500	MHP168L_RS01505
OG0000125	MHP168_RS01505	MHP168L_RS01510
OG0000126	MHP168_RS01515	MHP168L_RS01520
OG0000127	MHP168_RS01525	MHP168L_RS01530
OG0000128	MHP168_RS01540	MHP168L_RS01545
OG0000129	MHP168_RS01545	MHP168L_RS01550
OG0000130	MHP168_RS01555	MHP168L_RS01560
OG0000131	MHP168_RS01585	MHP168L_RS01590
OG0000132	MHP168_RS01600	MHP168L_RS01605
OG0000133	MHP168_RS00510	MHP168L_RS00515
OG0000134	MHP168_RS00515	MHP168L_RS00520
OG0000135	MHP168_RS00530	MHP168L_RS00535
OG0000136	MHP168_RS00535	MHP168L_RS00540
OG0000137	MHP168_RS00570	MHP168L_RS00575
OG0000138	MHP168_RS01030	MHP168L_RS01030
OG0000139	MHP168_RS01000	MHP168L_RS01005
OG0000140	MHP168_RS00995	MHP168L_RS01000
OG0000141	MHP168_RS02945	MHP168L_RS02965
OG0000142	MHP168_RS02940	MHP168L_RS02960
OG0000143	MHP168_RS02915	MHP168L_RS02935
OG0000144	MHP168_RS02905	MHP168L_RS02925
OG0000145	MHP168_RS02895	MHP168L_RS02915
OG0000146	MHP168_RS02885	MHP168L_RS02905
OG0000147	MHP168_RS02880	MHP168L_RS02900
OG0000148	MHP168_RS02865	MHP168L_RS02885
OG0000149	MHP168_RS02855	MHP168L_RS02875
OG0000150	MHP168_RS02840	MHP168L_RS02860
OG0000151	MHP168_RS02790	MHP168L_RS02815
OG0000152	MHP168_RS02785	MHP168L_RS02810
OG0000153	MHP168_RS02780	MHP168L_RS02805
OG0000154	MHP168_RS02770	MHP168L_RS02795
OG0000155	MHP168_RS02730	MHP168L_RS02755
OG0000156	MHP168_RS02720	MHP168L_RS02745
OG0000157	MHP168_RS02715	MHP168L_RS02740
OG0000158	MHP168_RS04090	MHP168L_RS04120
OG0000159	MHP168_RS02465	MHP168L_RS04145
OG0000160	MHP168_RS02460	MHP168L_RS02485
OG0000161	MHP168_RS02455	MHP168L_RS02480
OG0000162	MHP168_RS02445	MHP168L_RS02470
OG0000163	MHP168_RS02440	MHP168L_RS02465
OG0000164	MHP168_RS01810	MHP168L_RS01825
OG0000165	MHP168_RS02010	MHP168L_RS02030
OG0000166	MHP168_RS02035	MHP168L_RS02050
OG0000167	MHP168_RS02050	MHP168L_RS02065
OG0000168	MHP168_RS02055	MHP168L_RS02070
OG0000169	MHP168_RS03030	MHP168L_RS03045
OG0000170	MHP168_RS03045	MHP168L_RS03060
OG0000171	MHP168_RS03055	MHP168L_RS03070
OG0000172	MHP168_RS03060	MHP168L_RS03075
OG0000173	MHP168_RS03065	MHP168L_RS03080
OG0000174	MHP168_RS03070	MHP168L_RS03085
OG0000175	MHP168_RS03085	MHP168L_RS03100
OG0000176	MHP168_RS03135	MHP168L_RS03150
OG0000177	MHP168_RS03140	MHP168L_RS03155
OG0000178	MHP168_RS03145	MHP168L_RS03160
OG0000179	MHP168_RS03155	MHP168L_RS03170
OG0000180	MHP168_RS03160	MHP168L_RS03175
OG0000181	MHP168_RS03200	MHP168L_RS03215
OG0000182	MHP168_RS03210	MHP168L_RS03225
OG0000183	MHP168_RS03245	MHP168L_RS03260
OG0000184	MHP168_RS03285	MHP168L_RS03300
OG0000185	MHP168_RS03270	MHP168L_RS03285
OG0000186	MHP168_RS01610	MHP168L_RS01615
OG0000187	MHP168_RS01625	MHP168L_RS01630
OG0000188	MHP168_RS01635	MHP168L_RS01640
OG0000189	MHP168_RS02300	MHP168L_RS02320
OG0000190	MHP168_RS02295	MHP168L_RS02315
OG0000191	MHP168_RS02275	MHP168L_RS02295
OG0000192	MHP168_RS01290	MHP168L_RS01300
OG0000193	MHP168_RS01280	MHP168L_RS01290
OG0000194	MHP168_RS00965	MHP168L_RS00970
OG0000195	MHP168_RS00960	MHP168L_RS00965
OG0000196	MHP168_RS00940	MHP168L_RS00945
OG0000197	MHP168_RS00935	MHP168L_RS00940
OG0000198	MHP168_RS00920	MHP168L_RS00925
OG0000199	MHP168_RS00915	MHP168L_RS00920
OG0000200	MHP168_RS00905	MHP168L_RS00910
OG0000201	MHP168_RS00895	MHP168L_RS00900
OG0000202	MHP168_RS00840	MHP168L_RS00845
OG0000203	MHP168_RS00835	MHP168L_RS00840
OG0000204	MHP168_RS00830	MHP168L_RS00835
OG0000205	MHP168_RS00825	MHP168L_RS00830
OG0000206	MHP168_RS00805	MHP168L_RS00810
OG0000207	MHP168_RS00790	MHP168L_RS00795
OG0000208	MHP168_RS00785	MHP168L_RS00790
OG0000209	MHP168_RS00780	MHP168L_RS00785
OG0000210	MHP168_RS00730	MHP168L_RS00735
OG0000211	MHP168_RS00715	MHP168L_RS00720
OG0000212	MHP168_RS00705	MHP168L_RS00710
OG0000213	MHP168_RS03705	MHP168L_RS03705
OG0000214	MHP168_RS00700	MHP168L_RS00705
OG0000215	MHP168_RS00695	MHP168L_RS00700
OG0000216	MHP168_RS00690	MHP168L_RS00695
OG0000217	MHP168_RS00685	MHP168L_RS00690
OG0000218	MHP168_RS00675	MHP168L_RS00680
OG0000219	MHP168_RS00670	MHP168L_RS00675
OG0000220	MHP168_RS00665	MHP168L_RS00670
OG0000221	MHP168_RS00660	MHP168L_RS00665
OG0000222	MHP168_RS00655	MHP168L_RS00660
OG0000223	MHP168_RS00650	MHP168L_RS00655
OG0000224	MHP168_RS00640	MHP168L_RS00645
OG0000225	MHP168_RS00630	MHP168L_RS00635
OG0000226	MHP168_RS00625	MHP168L_RS00630
OG0000227	MHP168_RS00620	MHP168L_RS00625
OG0000228	MHP168_RS04100	MHP168L_RS04125
OG0000229	MHP168_RS00610	MHP168L_RS00615
OG0000230	MHP168_RS00605	MHP168L_RS00610
OG0000231	MHP168_RS00595	MHP168L_RS00600
OG0000232	MHP168_RS00585	MHP168L_RS00590
OG0000233	MHP168_RS01075	MHP168L_RS01075
OG0000234	MHP168_RS01110	MHP168L_RS01110
OG0000235	MHP168_RS01120	MHP168L_RS01120
OG0000236	MHP168_RS01125	MHP168L_RS01125
OG0000237	MHP168_RS01130	MHP168L_RS01130
OG0000238	MHP168_RS01140	MHP168L_RS01140
OG0000239	MHP168_RS02955	MHP168L_RS02975
OG0000240	MHP168_RS02960	MHP168L_RS02980
OG0000241	MHP168_RS02970	MHP168L_RS02990
OG0000242	MHP168_RS02975	MHP168L_RS02995
OG0000243	MHP168_RS02980	MHP168L_RS03000
OG0000244	MHP168_RS02990	MHP168L_RS03010
OG0000245	MHP168_RS03000	MHP168L_RS03020
OG0000246	MHP168_RS00115	MHP168L_RS00120
OG0000247	MHP168_RS00125	MHP168L_RS00130
OG0000248	MHP168_RS00135	MHP168L_RS00140
OG0000249	MHP168_RS00140	MHP168L_RS00145
OG0000250	MHP168_RS00155	MHP168L_RS00160
OG0000251	MHP168_RS00180	MHP168L_RS00185
OG0000252	MHP168_RS00190	MHP168L_RS00195
OG0000253	MHP168_RS00195	MHP168L_RS00200
OG0000254	MHP168_RS00205	MHP168L_RS00210
OG0000255	MHP168_RS00215	MHP168L_RS00220
OG0000256	MHP168_RS00220	MHP168L_RS00225
OG0000257	MHP168_RS00245	MHP168L_RS00250
OG0000258	MHP168_RS00255	MHP168L_RS00260
OG0000259	MHP168_RS00285	MHP168L_RS00290
OG0000260	MHP168_RS00295	MHP168L_RS00300
OG0000261	MHP168_RS00305	MHP168L_RS00310
OG0000262	MHP168_RS00320	MHP168L_RS00325
OG0000263	MHP168_RS00335	MHP168L_RS00340
OG0000264	MHP168_RS00350	MHP168L_RS00355
OG0000265	MHP168_RS00360	MHP168L_RS00365
OG0000266	MHP168_RS00375	MHP168L_RS00380
OG0000267	MHP168_RS00390	MHP168L_RS00395
OG0000268	MHP168_RS00395	MHP168L_RS00400
OG0000269	MHP168_RS00410	MHP168L_RS00415
OG0000270	MHP168_RS03460	MHP168L_RS03475
OG0000271	MHP168_RS03455	MHP168L_RS03470
OG0000272	MHP168_RS03450	MHP168L_RS03465
OG0000273	MHP168_RS03445	MHP168L_RS03460
OG0000274	MHP168_RS03425	MHP168L_RS03440
OG0000275	MHP168_RS03420	MHP168L_RS03435
OG0000276	MHP168_RS03415	MHP168L_RS03430
OG0000277	MHP168_RS03405	MHP168L_RS03420
OG0000278	MHP168_RS03400	MHP168L_RS03415
OG0000279	MHP168_RS03390	MHP168L_RS03405
OG0000280	MHP168_RS03385	MHP168L_RS03400
OG0000281	MHP168_RS03790	MHP168L_RS03780
OG0000282	MHP168_RS03360	MHP168L_RS03375
OG0000283	MHP168_RS03355	MHP168L_RS03370
OG0000284	MHP168_RS03350	MHP168L_RS03365
OG0000285	MHP168_RS03345	MHP168L_RS03360
OG0000286	MHP168_RS02425	MHP168L_RS02450
OG0000287	MHP168_RS02525	MHP168L_RS02550
OG0000288	MHP168_RS02535	MHP168L_RS02560
OG0000289	MHP168_RS02540	MHP168L_RS02565
OG0000290	MHP168_RS02650	MHP168L_RS02675
OG0000291	MHP168_RS02640	MHP168L_RS02665
OG0000292	MHP168_RS02635	MHP168L_RS02660
OG0000293	MHP168_RS02630	MHP168L_RS02655
OG0000294	MHP168_RS02620	MHP168L_RS02645
OG0000295	MHP168_RS02615	MHP168L_RS02640
OG0000296	MHP168_RS02575	MHP168L_RS02600
OG0000297	MHP168_RS02570	MHP168L_RS02595
OG0000298	MHP168_RS00150	MHP168L_RS00155
OG0000299	MHP168_RS03690	MHP168L_RS03690
OG0000300	MHP168_RS00345	MHP168L_RS00350
OG0000301	MHP168_RS00380	MHP168L_RS00385
OG0000302	MHP168_RS00385	MHP168L_RS00390
OG0000303	MHP168_RS00540	MHP168L_RS00545
OG0000304	MHP168_RS00580	MHP168L_RS00585
OG0000305	MHP168_RS02890	MHP168L_RS02910
OG0000306	MHP168_RS02810	MHP168L_RS02835
OG0000307	MHP168_RS02775	MHP168L_RS02800
OG0000308	MHP168_RS02675	MHP168L_RS02700
OG0000309	MHP168_RS02605	MHP168L_RS02630
OG0000310	MHP168_RS02530	MHP168L_RS02555
OG0000311	MHP168_RS02485	MHP168L_RS02510
OG0000312	MHP168_RS02470	MHP168L_RS02495
OG0000313	MHP168_RS01820	MHP168L_RS01835
OG0000314	MHP168_RS02030	MHP168L_RS02045
OG0000315	MHP168_RS02060	MHP168L_RS02075
OG0000316	MHP168_RS02070	MHP168L_RS02085
OG0000317	MHP168_RS02205	MHP168L_RS02225
OG0000318	MHP168_RS02075	MHP168L_RS02090
OG0000319	MHP168_RS02145	MHP168L_RS02160
OG0000320	MHP168_RS02360	MHP168L_RS02385
OG0000321	MHP168_RS01420	MHP168L_RS01425
OG0000322	MHP168_RS01465	MHP168L_RS01470
OG0000323	MHP168_RS01595	MHP168L_RS01600
OG0000324	MHP168_RS02270	MHP168L_RS02290
OG0000325	MHP168_RS00955	MHP168L_RS00960
OG0000326	MHP168_RS00865	MHP168L_RS00870
OG0000327	MHP168_RS00860	MHP168L_RS00865
OG0000328	MHP168_RS00775	MHP168L_RS00780
OG0000329	MHP168_RS00750	MHP168L_RS00755
OG0000330	MHP168_RS01085	MHP168L_RS01085
OG0000331	MHP168_RS02985	MHP168L_RS03005
OG0000332	MHP168_RS03095	MHP168L_RS03110
OG0000333	MHP168_RS03105	MHP168L_RS03120
OG0000334	MHP168_RS03205	MHP168L_RS03220
OG0000335	MHP168_RS03215	MHP168L_RS03230
OG0000336	MHP168_RS03375	MHP168L_RS03390
OG0000337	MHP168_RS03615	MHP168L_RS03620
OG0000338	MHP168_RS03655	MHP168L_RS03660
OG0000339	MHP168_RS02330	MHP168L_RS02355
OG0000340	MHP168_RS01395	MHP168L_RS01400
OG0000341	MHP168_RS02290	MHP168L_RS02310
OG0000342	MHP168_RS00925	MHP168L_RS00930
OG0000343	MHP168_RS03115	MHP168L_RS03130
OG0000344	MHP168_RS00555	MHP168L_RS00560
OG0000345	MHP168_RS00635	MHP168L_RS00640
OG0000346	MHP168_RS03380	MHP168L_RS03395
OG0000347	MHP168_RS01490	MHP168L_RS01495
OG0000348	MHP168_RS00855	MHP168L_RS00860
OG0000349	MHP168_RS03435	MHP168L_RS03450
OG0000350	MHP168_RS02765	MHP168L_RS02790
OG0000351	MHP168_RS00475	MHP168L_RS00475
OG0000352	MHP168_RS02005	MHP168L_RS02025
OG0000353	MHP168_RS01460	MHP168L_RS01465
OG0000354	MHP168_RS01015	MHP168L_RS01015
OG0000355	MHP168_RS01975	MHP168L_RS01995
OG0000356	MHP168_RS02065	MHP168L_RS02080
OG0000357	MHP168_RS03075	MHP168L_RS03090
OG0000358	MHP168_RS03080	MHP168L_RS03095
OG0000359	MHP168_RS00885	MHP168L_RS00890
OG0000360	MHP168_RS00250	MHP168L_RS00255
OG0000361	MHP168_RS00280	MHP168L_RS00285
OG0000362	MHP168_RS02550	MHP168L_RS02575
OG0000363	MHP168_RS01530	MHP168L_RS03960
OG0000364	MHP168_RS01955	MHP168L_RS01970
OG0000365	MHP168_RS02260	MHP168L_RS02280
OG0000366	MHP168_RS02235	MHP168L_RS02255
OG0000367	MHP168_RS02225	MHP168L_RS02245
OG0000368	MHP168_RS00060	MHP168L_RS00060
OG0000369	MHP168_RS00025	MHP168L_RS00025
OG0000370	MHP168_RS00020	MHP168L_RS00020
OG0000371	MHP168_RS00015	MHP168L_RS00015
OG0000372	MHP168_RS00010	MHP168L_RS00010
OG0000373	MHP168_RS03645	MHP168L_RS03650
OG0000374	MHP168_RS03635	MHP168L_RS03640
OG0000375	MHP168_RS02150	MHP168L_RS02165
OG0000376	MHP168_RS02375	MHP168L_RS02400
OG0000377	MHP168_RS02365	MHP168L_RS02390
OG0000378	MHP168_RS01375	MHP168L_RS01380
OG0000379	MHP168_RS01455	MHP168L_RS01460
OG0000380	MHP168_RS01480	MHP168L_RS01485
OG0000381	MHP168_RS01520	MHP168L_RS01525
OG0000382	MHP168_RS01550	MHP168L_RS01555
OG0000383	MHP168_RS01590	MHP168L_RS01595
OG0000384	MHP168_RS00495	MHP168L_RS00500
OG0000385	MHP168_RS00500	MHP168L_RS00505
OG0000386	MHP168_RS00520	MHP168L_RS00525
OG0000387	MHP168_RS00545	MHP168L_RS00550
OG0000388	MHP168_RS00550	MHP168L_RS00555
OG0000389	MHP168_RS01035	MHP168L_RS01035
OG0000390	MHP168_RS02910	MHP168L_RS02930
OG0000391	MHP168_RS02900	MHP168L_RS02920
OG0000392	MHP168_RS02875	MHP168L_RS02895
OG0000393	MHP168_RS02815	MHP168L_RS02840
OG0000394	MHP168_RS02740	MHP168L_RS02765
OG0000395	MHP168_RS02735	MHP168L_RS02760
OG0000396	MHP168_RS02430	MHP168L_RS02455
OG0000397	MHP168_RS01990	MHP168L_RS02010
OG0000398	MHP168_RS01995	MHP168L_RS02015
OG0000399	MHP168_RS02045	MHP168L_RS02060
OG0000400	MHP168_RS03040	MHP168L_RS03055
OG0000401	MHP168_RS03100	MHP168L_RS03115
OG0000402	MHP168_RS03110	MHP168L_RS03125
OG0000403	MHP168_RS03120	MHP168L_RS03135
OG0000404	MHP168_RS03150	MHP168L_RS03165
OG0000405	MHP168_RS03165	MHP168L_RS03180
OG0000406	MHP168_RS03220	MHP168L_RS03235
OG0000407	MHP168_RS03225	MHP168L_RS03240
OG0000408	MHP168_RS03230	MHP168L_RS03245
OG0000409	MHP168_RS03235	MHP168L_RS03250
OG0000410	MHP168_RS03290	MHP168L_RS03305
OG0000411	MHP168_RS03280	MHP168L_RS03295
OG0000412	MHP168_RS03275	MHP168L_RS03290
OG0000413	MHP168_RS01605	MHP168L_RS01610
OG0000414	MHP168_RS01615	MHP168L_RS01620
OG0000415	MHP168_RS01620	MHP168L_RS01625
OG0000416	MHP168_RS01630	MHP168L_RS01635
OG0000417	MHP168_RS03990	MHP168L_RS02305
OG0000418	MHP168_RS02280	MHP168L_RS02300
OG0000419	MHP168_RS00945	MHP168L_RS00950
OG0000420	MHP168_RS00910	MHP168L_RS00915
OG0000421	MHP168_RS00880	MHP168L_RS00885
OG0000422	MHP168_RS00870	MHP168L_RS00875
OG0000423	MHP168_RS00815	MHP168L_RS00820
OG0000424	MHP168_RS00810	MHP168L_RS00815
OG0000425	MHP168_RS00800	MHP168L_RS00805
OG0000426	MHP168_RS00795	MHP168L_RS00800
OG0000427	MHP168_RS00770	MHP168L_RS00775
OG0000428	MHP168_RS00740	MHP168L_RS00745
OG0000429	MHP168_RS00645	MHP168L_RS00650
OG0000430	MHP168_RS00600	MHP168L_RS00605
OG0000431	MHP168_RS00590	MHP168L_RS00595
OG0000432	MHP168_RS01080	MHP168L_RS01080
OG0000433	MHP168_RS01095	MHP168L_RS01095
OG0000434	MHP168_RS01100	MHP168L_RS01100
OG0000435	MHP168_RS01115	MHP168L_RS01115
OG0000436	MHP168_RS01145	MHP168L_RS01145
OG0000437	MHP168_RS01155	MHP168L_RS01155
OG0000438	MHP168_RS01160	MHP168L_RS01160
OG0000439	MHP168_RS01165	MHP168L_RS01165
OG0000440	MHP168_RS02965	MHP168L_RS02985
OG0000441	MHP168_RS03010	MHP168L_RS03025
OG0000442	MHP168_RS00120	MHP168L_RS00125
OG0000443	MHP168_RS00165	MHP168L_RS00170
OG0000444	MHP168_RS00175	MHP168L_RS00180
OG0000445	MHP168_RS00200	MHP168L_RS00205
OG0000446	MHP168_RS00230	MHP168L_RS00235
OG0000447	MHP168_RS00235	MHP168L_RS00240
OG0000448	MHP168_RS00265	MHP168L_RS00270
OG0000449	MHP168_RS00290	MHP168L_RS00295
OG0000450	MHP168_RS00300	MHP168L_RS00305
OG0000451	MHP168_RS00340	MHP168L_RS00345
OG0000452	MHP168_RS00365	MHP168L_RS00370
OG0000453	MHP168_RS00400	MHP168L_RS00405
OG0000454	MHP168_RS01785	MHP168L_RS01800
OG0000455	MHP168_RS03480	MHP168L_RS03495
OG0000456	MHP168_RS03365	MHP168L_RS03380
