Orthogroup	MHP_TB1_genes	MHP_1257_genes
OG0000066	B5M19_RS01220	ABKJ22_RS01370
OG0000067	B5M19_RS02375	ABKJ22_RS00525
OG0000068	B5M19_RS04480	ABKJ22_RS01055
OG0000069	B5M19_RS03520	ABKJ22_RS02760
OG0000070	B5M19_RS02795	ABKJ22_RS02425
OG0000071	B5M19_RS02995	ABKJ22_RS03155
OG0000072	B5M19_RS02990	ABKJ22_RS03160
OG0000073	B5M19_RS01840	ABKJ22_RS00995
OG0000074	B5M19_RS01645	ABKJ22_RS00800
OG0000075	B5M19_RS00265	ABKJ22_RS00335
OG0000076	B5M19_RS00280	ABKJ22_RS00350
OG0000077	B5M19_RS03440	ABKJ22_RS00445
OG0000078	B5M19_RS02055	ABKJ22_RS01675
OG0000079	B5M19_RS01010	ABKJ22_RS02505
OG0000080	B5M19_RS03900	ABKJ22_RS02550
OG0000081	B5M19_RS00260	ABKJ22_RS00330
OG0000082	B5M19_RS04415	ABKJ22_RS02350
OG0000083	B5M19_RS00845	ABKJ22_RS01995
OG0000084	B5M19_RS02760	ABKJ22_RS02025
OG0000085	B5M19_RS02755	ABKJ22_RS02030
OG0000086	B5M19_RS02745	ABKJ22_RS02040
OG0000087	B5M19_RS02730	ABKJ22_RS02055
OG0000088	B5M19_RS02725	ABKJ22_RS02060
OG0000089	B5M19_RS03690	ABKJ22_RS02070
OG0000090	B5M19_RS03775	ABKJ22_RS00070
OG0000091	B5M19_RS04280	ABKJ22_RS00055
OG0000092	B5M19_RS01895	ABKJ22_RS00040
OG0000093	B5M19_RS01900	ABKJ22_RS00035
OG0000094	B5M19_RS01905	ABKJ22_RS00030
OG0000095	B5M19_RS04290	ABKJ22_RS00005
OG0000096	B5M19_RS01935	ABKJ22_RS03505
OG0000097	B5M19_RS01955	ABKJ22_RS03485
OG0000098	B5M19_RS04295	ABKJ22_RS03475
OG0000099	B5M19_RS00370	ABKJ22_RS03425
OG0000100	B5M19_RS00385	ABKJ22_RS03405
OG0000101	B5M19_RS00390	ABKJ22_RS03400
OG0000102	B5M19_RS02080	ABKJ22_RS01700
OG0000103	B5M19_RS02960	ABKJ22_RS02195
OG0000104	B5M19_RS04460	ABKJ22_RS02190
OG0000105	B5M19_RS02940	ABKJ22_RS02175
OG0000106	B5M19_RS02930	ABKJ22_RS02165
OG0000107	B5M19_RS04455	ABKJ22_RS02155
OG0000108	B5M19_RS04620	ABKJ22_RS02150
OG0000109	B5M19_RS02910	ABKJ22_RS02145
OG0000110	B5M19_RS02660	ABKJ22_RS02340
OG0000111	B5M19_RS02665	ABKJ22_RS02335
OG0000112	B5M19_RS02675	ABKJ22_RS02325
OG0000113	B5M19_RS02700	ABKJ22_RS02305
OG0000114	B5M19_RS02710	ABKJ22_RS02295
OG0000115	B5M19_RS03610	ABKJ22_RS02285
OG0000116	B5M19_RS02580	ABKJ22_RS01315
OG0000117	B5M19_RS02575	ABKJ22_RS01320
OG0000118	B5M19_RS01235	ABKJ22_RS01355
OG0000119	B5M19_RS01230	ABKJ22_RS01360
OG0000120	B5M19_RS01215	ABKJ22_RS01375
OG0000121	B5M19_RS01190	ABKJ22_RS01400
OG0000122	B5M19_RS01185	ABKJ22_RS01405
OG0000123	B5M19_RS01165	ABKJ22_RS01425
OG0000124	B5M19_RS01160	ABKJ22_RS01430
OG0000125	B5M19_RS01155	ABKJ22_RS01435
OG0000126	B5M19_RS01145	ABKJ22_RS01445
OG0000127	B5M19_RS01135	ABKJ22_RS01455
OG0000128	B5M19_RS01115	ABKJ22_RS01470
OG0000129	B5M19_RS01110	ABKJ22_RS01475
OG0000130	B5M19_RS01100	ABKJ22_RS01485
OG0000131	B5M19_RS01075	ABKJ22_RS01515
OG0000132	B5M19_RS01060	ABKJ22_RS01530
OG0000133	B5M19_RS02380	ABKJ22_RS00530
OG0000134	B5M19_RS02385	ABKJ22_RS00535
OG0000135	B5M19_RS02400	ABKJ22_RS00550
OG0000136	B5M19_RS02405	ABKJ22_RS00555
OG0000137	B5M19_RS02445	ABKJ22_RS00585
OG0000138	B5M19_RS03090	ABKJ22_RS01080
OG0000139	B5M19_RS03070	ABKJ22_RS01050
OG0000140	B5M19_RS03065	ABKJ22_RS01045
OG0000141	B5M19_RS01330	ABKJ22_RS02875
OG0000142	B5M19_RS01335	ABKJ22_RS02870
OG0000143	B5M19_RS01360	ABKJ22_RS02850
OG0000144	B5M19_RS01370	ABKJ22_RS02840
OG0000145	B5M19_RS01380	ABKJ22_RS02830
OG0000146	B5M19_RS01390	ABKJ22_RS02820
OG0000147	B5M19_RS01395	ABKJ22_RS02815
OG0000148	B5M19_RS01410	ABKJ22_RS02800
OG0000149	B5M19_RS01420	ABKJ22_RS02790
OG0000150	B5M19_RS04180	ABKJ22_RS02775
OG0000151	B5M19_RS02540	ABKJ22_RS02720
OG0000152	B5M19_RS02535	ABKJ22_RS02715
OG0000153	B5M19_RS02530	ABKJ22_RS02710
OG0000154	B5M19_RS02520	ABKJ22_RS02700
OG0000155	B5M19_RS02480	ABKJ22_RS02660
OG0000156	B5M19_RS00860	ABKJ22_RS02650
OG0000157	B5M19_RS00865	ABKJ22_RS02645
OG0000158	B5M19_RS04580	ABKJ22_RS02635
OG0000159	B5M19_RS02810	ABKJ22_RS02410
OG0000160	B5M19_RS02815	ABKJ22_RS02405
OG0000161	B5M19_RS02820	ABKJ22_RS02400
OG0000162	B5M19_RS02830	ABKJ22_RS02390
OG0000163	B5M19_RS02835	ABKJ22_RS02385
OG0000164	B5M19_RS04495	ABKJ22_RS01610
OG0000165	B5M19_RS00760	ABKJ22_RS01915
OG0000166	B5M19_RS00785	ABKJ22_RS01935
OG0000167	B5M19_RS00800	ABKJ22_RS01950
OG0000168	B5M19_RS00805	ABKJ22_RS01955
OG0000169	B5M19_RS01450	ABKJ22_RS02950
OG0000170	B5M19_RS01465	ABKJ22_RS02965
OG0000171	B5M19_RS01475	ABKJ22_RS02975
OG0000172	B5M19_RS01480	ABKJ22_RS02980
OG0000173	B5M19_RS01490	ABKJ22_RS02985
OG0000174	B5M19_RS01495	ABKJ22_RS02990
OG0000175	B5M19_RS01510	ABKJ22_RS03005
OG0000176	B5M19_RS01560	ABKJ22_RS03050
OG0000177	B5M19_RS01565	ABKJ22_RS03055
OG0000178	B5M19_RS04200	ABKJ22_RS03060
OG0000179	B5M19_RS01580	ABKJ22_RS03070
OG0000180	B5M19_RS01585	ABKJ22_RS03075
OG0000181	B5M19_RS03045	ABKJ22_RS03105
OG0000182	B5M19_RS03035	ABKJ22_RS03115
OG0000183	B5M19_RS03000	ABKJ22_RS03150
OG0000184	B5M19_RS03105	ABKJ22_RS03190
OG0000185	B5M19_RS03120	ABKJ22_RS03175
OG0000186	B5M19_RS03550	ABKJ22_RS01540
OG0000187	B5M19_RS03535	ABKJ22_RS01555
OG0000188	B5M19_RS03525	ABKJ22_RS01565
OG0000189	B5M19_RS03210	ABKJ22_RS02110
OG0000190	B5M19_RS03215	ABKJ22_RS02115
OG0000191	B5M19_RS03235	ABKJ22_RS02135
OG0000192	B5M19_RS03675	ABKJ22_RS01230
OG0000193	B5M19_RS02360	ABKJ22_RS01220
OG0000194	B5M19_RS01855	ABKJ22_RS01010
OG0000195	B5M19_RS01850	ABKJ22_RS01005
OG0000196	B5M19_RS01830	ABKJ22_RS00985
OG0000197	B5M19_RS01825	ABKJ22_RS00980
OG0000198	B5M19_RS01810	ABKJ22_RS00965
OG0000199	B5M19_RS01805	ABKJ22_RS00960
OG0000200	B5M19_RS01790	ABKJ22_RS00945
OG0000201	B5M19_RS01780	ABKJ22_RS00935
OG0000202	B5M19_RS01725	ABKJ22_RS00880
OG0000203	B5M19_RS01720	ABKJ22_RS00875
OG0000204	B5M19_RS01715	ABKJ22_RS00870
OG0000205	B5M19_RS01710	ABKJ22_RS00865
OG0000206	B5M19_RS01690	ABKJ22_RS00845
OG0000207	B5M19_RS01675	ABKJ22_RS00830
OG0000208	B5M19_RS01670	ABKJ22_RS00825
OG0000209	B5M19_RS01665	ABKJ22_RS00820
OG0000210	B5M19_RS01620	ABKJ22_RS00775
OG0000211	B5M19_RS03415	ABKJ22_RS00745
OG0000212	B5M19_RS03405	ABKJ22_RS00735
OG0000213	B5M19_RS03400	ABKJ22_RS00730
OG0000214	B5M19_RS03395	ABKJ22_RS00725
OG0000215	B5M19_RS03390	ABKJ22_RS00720
OG0000216	B5M19_RS03385	ABKJ22_RS00715
OG0000217	B5M19_RS03380	ABKJ22_RS00710
OG0000218	B5M19_RS03370	ABKJ22_RS00700
OG0000219	B5M19_RS03365	ABKJ22_RS00695
OG0000220	B5M19_RS03360	ABKJ22_RS00690
OG0000221	B5M19_RS03355	ABKJ22_RS00685
OG0000222	B5M19_RS03350	ABKJ22_RS00680
OG0000223	B5M19_RS03345	ABKJ22_RS00675
OG0000224	B5M19_RS03130	ABKJ22_RS00665
OG0000225	B5M19_RS03140	ABKJ22_RS00655
OG0000226	B5M19_RS03145	ABKJ22_RS00650
OG0000227	B5M19_RS03150	ABKJ22_RS00645
OG0000228	B5M19_RS04630	ABKJ22_RS00640
OG0000229	B5M19_RS03160	ABKJ22_RS00635
OG0000230	B5M19_RS03165	ABKJ22_RS00630
OG0000231	B5M19_RS03175	ABKJ22_RS00620
OG0000232	B5M19_RS03185	ABKJ22_RS00610
OG0000233	B5M19_RS02225	ABKJ22_RS01110
OG0000234	B5M19_RS04335	ABKJ22_RS01145
OG0000235	B5M19_RS02175	ABKJ22_RS01155
OG0000236	B5M19_RS02170	ABKJ22_RS01160
OG0000237	B5M19_RS02165	ABKJ22_RS01165
OG0000238	B5M19_RS02155	ABKJ22_RS01170
OG0000239	B5M19_RS01315	ABKJ22_RS02885
OG0000240	B5M19_RS01310	ABKJ22_RS02890
OG0000241	B5M19_RS01300	ABKJ22_RS02900
OG0000242	B5M19_RS04160	ABKJ22_RS02905
OG0000243	B5M19_RS01290	ABKJ22_RS02910
OG0000244	B5M19_RS01280	ABKJ22_RS02920
OG0000245	B5M19_RS01270	ABKJ22_RS02930
OG0000246	B5M19_RS00050	ABKJ22_RS00135
OG0000247	B5M19_RS00060	ABKJ22_RS00145
OG0000248	B5M19_RS00070	ABKJ22_RS00155
OG0000249	B5M19_RS00075	ABKJ22_RS00160
OG0000250	B5M19_RS03880	ABKJ22_RS00175
OG0000251	B5M19_RS00125	ABKJ22_RS00205
OG0000252	B5M19_RS00135	ABKJ22_RS00215
OG0000253	B5M19_RS00140	ABKJ22_RS00220
OG0000254	B5M19_RS00150	ABKJ22_RS00230
OG0000255	B5M19_RS00160	ABKJ22_RS00235
OG0000256	B5M19_RS00165	ABKJ22_RS00240
OG0000257	B5M19_RS00190	ABKJ22_RS00265
OG0000258	B5M19_RS04020	ABKJ22_RS00275
OG0000259	B5M19_RS00230	ABKJ22_RS00305
OG0000260	B5M19_RS00240	ABKJ22_RS00315
OG0000261	B5M19_RS00250	ABKJ22_RS00325
OG0000262	B5M19_RS00270	ABKJ22_RS00340
OG0000263	B5M19_RS00285	ABKJ22_RS00355
OG0000264	B5M19_RS04030	ABKJ22_RS00370
OG0000265	B5M19_RS00315	ABKJ22_RS00380
OG0000266	B5M19_RS00335	ABKJ22_RS00395
OG0000267	B5M19_RS04035	ABKJ22_RS00410
OG0000268	B5M19_RS00355	ABKJ22_RS00415
OG0000269	B5M19_RS03680	ABKJ22_RS00440
OG0000270	B5M19_RS00415	ABKJ22_RS03375
OG0000271	B5M19_RS00420	ABKJ22_RS03370
OG0000272	B5M19_RS00425	ABKJ22_RS03365
OG0000273	B5M19_RS00430	ABKJ22_RS03360
OG0000274	B5M19_RS00450	ABKJ22_RS03340
OG0000275	B5M19_RS00455	ABKJ22_RS03335
OG0000276	B5M19_RS00460	ABKJ22_RS03330
OG0000277	B5M19_RS00470	ABKJ22_RS03320
OG0000278	B5M19_RS00475	ABKJ22_RS03315
OG0000279	B5M19_RS00485	ABKJ22_RS03305
OG0000280	B5M19_RS00490	ABKJ22_RS03300
OG0000281	B5M19_RS00495	ABKJ22_RS03295
OG0000282	B5M19_RS00520	ABKJ22_RS03270
OG0000283	B5M19_RS00525	ABKJ22_RS03265
OG0000284	B5M19_RS00530	ABKJ22_RS03260
OG0000285	B5M19_RS00535	ABKJ22_RS03255
OG0000286	B5M19_RS02850	ABKJ22_RS02370
OG0000287	B5M19_RS01050	ABKJ22_RS02465
OG0000288	B5M19_RS01040	ABKJ22_RS02475
OG0000289	B5M19_RS01035	ABKJ22_RS02480
OG0000290	B5M19_RS04120	ABKJ22_RS02590
OG0000291	B5M19_RS00935	ABKJ22_RS02580
OG0000292	B5M19_RS00940	ABKJ22_RS02575
OG0000293	B5M19_RS00945	ABKJ22_RS02570
OG0000294	B5M19_RS00955	ABKJ22_RS02560
OG0000295	B5M19_RS00960	ABKJ22_RS02555
OG0000296	B5M19_RS01000	ABKJ22_RS02515
OG0000297	B5M19_RS01005	ABKJ22_RS02510
OG0000298	B5M19_RS00085	ABKJ22_RS00170
OG0000299	B5M19_RS00110	ABKJ22_RS00190
OG0000300	B5M19_RS00300	ABKJ22_RS00365
OG0000301	B5M19_RS00340	ABKJ22_RS00400
OG0000302	B5M19_RS00345	ABKJ22_RS00405
OG0000303	B5M19_RS02410	ABKJ22_RS00560
OG0000304	B5M19_RS03190	ABKJ22_RS00605
OG0000305	B5M19_RS01385	ABKJ22_RS02825
OG0000306	B5M19_RS02560	ABKJ22_RS02745
OG0000307	B5M19_RS02525	ABKJ22_RS02705
OG0000308	B5M19_RS00905	ABKJ22_RS02610
OG0000309	B5M19_RS00970	ABKJ22_RS02545
OG0000310	B5M19_RS01045	ABKJ22_RS02470
OG0000311	B5M19_RS02790	ABKJ22_RS02430
OG0000312	B5M19_RS02805	ABKJ22_RS02415
OG0000313	B5M19_RS03300	ABKJ22_RS01600
OG0000314	B5M19_RS00780	ABKJ22_RS01930
OG0000315	B5M19_RS00810	ABKJ22_RS01960
OG0000316	B5M19_RS00820	ABKJ22_RS01970
OG0000317	B5M19_RS02720	ABKJ22_RS02065
OG0000318	B5M19_RS00825	ABKJ22_RS01975
OG0000319	B5M19_RS02945	ABKJ22_RS02180
OG0000320	B5M19_RS04425	ABKJ22_RS02315
OG0000321	B5M19_RS01240	ABKJ22_RS01350
OG0000322	B5M19_RS01195	ABKJ22_RS01395
OG0000323	B5M19_RS01065	ABKJ22_RS01525
OG0000324	B5M19_RS03240	ABKJ22_RS02140
OG0000325	B5M19_RS01845	ABKJ22_RS01000
OG0000326	B5M19_RS01750	ABKJ22_RS00905
OG0000327	B5M19_RS01745	ABKJ22_RS00900
OG0000328	B5M19_RS01660	ABKJ22_RS00815
OG0000329	B5M19_RS01640	ABKJ22_RS00795
OG0000330	B5M19_RS02210	ABKJ22_RS01120
OG0000331	B5M19_RS01285	ABKJ22_RS02915
OG0000332	B5M19_RS01520	ABKJ22_RS03015
OG0000333	B5M19_RS01530	ABKJ22_RS03025
OG0000334	B5M19_RS03040	ABKJ22_RS03110
OG0000335	B5M19_RS03030	ABKJ22_RS03120
OG0000336	B5M19_RS00505	ABKJ22_RS03285
OG0000337	B5M19_RS01985	ABKJ22_RS03460
OG0000338	B5M19_RS01940	ABKJ22_RS03500
OG0000339	B5M19_RS03615	ABKJ22_RS02290
OG0000340	B5M19_RS02565	ABKJ22_RS01330
OG0000341	B5M19_RS03220	ABKJ22_RS02120
OG0000342	B5M19_RS01815	ABKJ22_RS00970
OG0000343	B5M19_RS04195	ABKJ22_RS03035
OG0000344	B5M19_RS02425	ABKJ22_RS00575
OG0000345	B5M19_RS03135	ABKJ22_RS00660
OG0000346	B5M19_RS04590	ABKJ22_RS03290
OG0000347	B5M19_RS01170	ABKJ22_RS01420
OG0000348	B5M19_RS01740	ABKJ22_RS00895
OG0000349	B5M19_RS00440	ABKJ22_RS03350
OG0000350	B5M19_RS02515	ABKJ22_RS02695
OG0000351	B5M19_RS03490	ABKJ22_RS00495
OG0000352	B5M19_RS00755	ABKJ22_RS01910
OG0000353	B5M19_RS01200	ABKJ22_RS01390
OG0000354	B5M19_RS03080	ABKJ22_RS01065
OG0000355	B5M19_RS00725	ABKJ22_RS01885
OG0000356	B5M19_RS00815	ABKJ22_RS01965
OG0000357	B5M19_RS01500	ABKJ22_RS02995
OG0000358	B5M19_RS01505	ABKJ22_RS03000
OG0000359	B5M19_RS01770	ABKJ22_RS00925
OG0000360	B5M19_RS00195	ABKJ22_RS00270
OG0000361	B5M19_RS00225	ABKJ22_RS00300
OG0000362	B5M19_RS01025	ABKJ22_RS02490
OG0000363	B5M19_RS01125	ABKJ22_RS01460
OG0000364	B5M19_RS00700	ABKJ22_RS01860
OG0000365	B5M19_RS02775	ABKJ22_RS02015
OG0000366	B5M19_RS02750	ABKJ22_RS02035
OG0000367	B5M19_RS02740	ABKJ22_RS02045
OG0000368	B5M19_RS04270	ABKJ22_RS00060
OG0000369	B5M19_RS01910	ABKJ22_RS00025
OG0000370	B5M19_RS01915	ABKJ22_RS00020
OG0000371	B5M19_RS01920	ABKJ22_RS00015
OG0000372	B5M19_RS01925	ABKJ22_RS00010
OG0000373	B5M19_RS01950	ABKJ22_RS03490
OG0000374	B5M19_RS01960	ABKJ22_RS03480
OG0000375	B5M19_RS02950	ABKJ22_RS02185
OG0000376	B5M19_RS02670	ABKJ22_RS02330
OG0000377	B5M19_RS02680	ABKJ22_RS02320
OG0000378	B5M19_RS02585	ABKJ22_RS01310
OG0000379	B5M19_RS01205	ABKJ22_RS01385
OG0000380	B5M19_RS01180	ABKJ22_RS01410
OG0000381	B5M19_RS01140	ABKJ22_RS01450
OG0000382	B5M19_RS01105	ABKJ22_RS01480
OG0000383	B5M19_RS01070	ABKJ22_RS01520
OG0000384	B5M19_RS02365	ABKJ22_RS00515
OG0000385	B5M19_RS02370	ABKJ22_RS00520
OG0000386	B5M19_RS02390	ABKJ22_RS00540
OG0000387	B5M19_RS02415	ABKJ22_RS00565
OG0000388	B5M19_RS02420	ABKJ22_RS00570
OG0000389	B5M19_RS03095	ABKJ22_RS01085
OG0000390	B5M19_RS01365	ABKJ22_RS02845
OG0000391	B5M19_RS01375	ABKJ22_RS02835
OG0000392	B5M19_RS01400	ABKJ22_RS02810
OG0000393	B5M19_RS03515	ABKJ22_RS02755
OG0000394	B5M19_RS02490	ABKJ22_RS02670
OG0000395	B5M19_RS02485	ABKJ22_RS02665
OG0000396	B5M19_RS02845	ABKJ22_RS02375
OG0000397	B5M19_RS00740	ABKJ22_RS01895
OG0000398	B5M19_RS00745	ABKJ22_RS01900
OG0000399	B5M19_RS00795	ABKJ22_RS01945
OG0000400	B5M19_RS01460	ABKJ22_RS02960
OG0000401	B5M19_RS01525	ABKJ22_RS03020
OG0000402	B5M19_RS01535	ABKJ22_RS03030
OG0000404	B5M19_RS04205	ABKJ22_RS03065
OG0000405	B5M19_RS01590	ABKJ22_RS03080
OG0000406	B5M19_RS03025	ABKJ22_RS03125
OG0000407	B5M19_RS03020	ABKJ22_RS03130
OG0000408	B5M19_RS03015	ABKJ22_RS03135
OG0000409	B5M19_RS03010	ABKJ22_RS03140
OG0000410	B5M19_RS03100	ABKJ22_RS03195
OG0000411	B5M19_RS03110	ABKJ22_RS03185
OG0000412	B5M19_RS03115	ABKJ22_RS03180
OG0000413	B5M19_RS03555	ABKJ22_RS01535
OG0000414	B5M19_RS03545	ABKJ22_RS01545
OG0000415	B5M19_RS03540	ABKJ22_RS01550
OG0000416	B5M19_RS03530	ABKJ22_RS01560
OG0000417	B5M19_RS03225	ABKJ22_RS02125
OG0000418	B5M19_RS03230	ABKJ22_RS02130
OG0000419	B5M19_RS01835	ABKJ22_RS00990
OG0000420	B5M19_RS01800	ABKJ22_RS00955
OG0000421	B5M19_RS01765	ABKJ22_RS00920
OG0000422	B5M19_RS01755	ABKJ22_RS00910
OG0000423	B5M19_RS01700	ABKJ22_RS00855
OG0000424	B5M19_RS01695	ABKJ22_RS00850
OG0000425	B5M19_RS01685	ABKJ22_RS00840
OG0000426	B5M19_RS01680	ABKJ22_RS00835
OG0000427	B5M19_RS01655	ABKJ22_RS00810
OG0000428	B5M19_RS01630	ABKJ22_RS00785
OG0000430	B5M19_RS03170	ABKJ22_RS00625
OG0000431	B5M19_RS03180	ABKJ22_RS00615
OG0000432	B5M19_RS04345	ABKJ22_RS01115
OG0000433	B5M19_RS02200	ABKJ22_RS01130
OG0000434	B5M19_RS02195	ABKJ22_RS01135
OG0000435	B5M19_RS02180	ABKJ22_RS01150
OG0000436	B5M19_RS02150	ABKJ22_RS01175
OG0000437	B5M19_RS02140	ABKJ22_RS01185
OG0000438	B5M19_RS02135	ABKJ22_RS01190
OG0000439	B5M19_RS02130	ABKJ22_RS01195
OG0000440	B5M19_RS04165	ABKJ22_RS02895
OG0000441	B5M19_RS01265	ABKJ22_RS02935
OG0000442	B5M19_RS00055	ABKJ22_RS00140
OG0000443	B5M19_RS00105	ABKJ22_RS00185
OG0000444	B5M19_RS00120	ABKJ22_RS00200
OG0000445	B5M19_RS00145	ABKJ22_RS00225
OG0000446	B5M19_RS00175	ABKJ22_RS00250
OG0000447	B5M19_RS00180	ABKJ22_RS00255
OG0000448	B5M19_RS00210	ABKJ22_RS00285
OG0000449	B5M19_RS00235	ABKJ22_RS00310
OG0000450	B5M19_RS00245	ABKJ22_RS00320
OG0000451	B5M19_RS00295	ABKJ22_RS00360
OG0000452	B5M19_RS00330	ABKJ22_RS00385
OG0000453	B5M19_RS04040	ABKJ22_RS00420
OG0000454	B5M19_RS03255	ABKJ22_RS01580
OG0000455	B5M19_RS00395	ABKJ22_RS03395
OG0000456	B5M19_RS00515	ABKJ22_RS03275
OG0000457	B5M19_RS00540	ABKJ22_RS03250
OG0000458	B5M19_RS01055	ABKJ22_RS02460
OG0000459	B5M19_RS01030	ABKJ22_RS02485
OG0000460	B5M19_RS01020	ABKJ22_RS02495
OG0000461	B5M19_RS04125	ABKJ22_RS02540
OG0000462	B5M19_RS00980	ABKJ22_RS02535
OG0000463	B5M19_RS04130	ABKJ22_RS02530
OG0000464	B5M19_RS00990	ABKJ22_RS02525
OG0000465	B5M19_RS00995	ABKJ22_RS02520
OG0000467	B5M19_RS00895	ABKJ22_RS02620
OG0000468	B5M19_RS00790	ABKJ22_RS01940
OG0000469	B5M19_RS00850	ABKJ22_RS02000
OG0000470	B5M19_RS03910	ABKJ22_RS00860
OG0000471	B5M19_RS01625	ABKJ22_RS00780
OG0000472	B5M19_RS00580	ABKJ22_RS03205
OG0000473	B5M19_RS00410	ABKJ22_RS03380
OG0000474	B5M19_RS00405	ABKJ22_RS03385
OG0000475	B5M19_RS00400	ABKJ22_RS03390
OG0000476	B5M19_RS03280	ABKJ22_RS01570
OG0000477	B5M19_RS00950	ABKJ22_RS02565
OG0000478	B5M19_RS00465	ABKJ22_RS03325
OG0000479	B5M19_RS04145	ABKJ22_RS01345
OG0000480	B5M19_RS03895	ABKJ22_RS02005
OG0000481	B5M19_RS01730	ABKJ22_RS00885
OG0000482	B5M19_RS03730	ABKJ22_RS01225
OG0000483	B5M19_RS02735	ABKJ22_RS02050
OG0000484	B5M19_RS00115	ABKJ22_RS00195
OG0000485	B5M19_RS02145	ABKJ22_RS01180
OG0000486	B5M19_RS03205	ABKJ22_RS02105
