Orthogroup	MHP_TB1_genes	MHP_F72C_genes
OG0000062	B5M19_RS01970	EHI52_RS03585
OG0000063	B5M19_RS01975	EHI52_RS03580
OG0000064	B5M19_RS01990	EHI52_RS03570
OG0000065	B5M19_RS02925	EHI52_RS02260
OG0000066	B5M19_RS01220	EHI52_RS01415
OG0000067	B5M19_RS02375	EHI52_RS00540
OG0000068	B5M19_RS04480	EHI52_RS00660
OG0000069	B5M19_RS03520	EHI52_RS02805
OG0000070	B5M19_RS02795	EHI52_RS02480
OG0000071	B5M19_RS02995	EHI52_RS03285
OG0000072	B5M19_RS02990	EHI52_RS03290
OG0000073	B5M19_RS01840	EHI52_RS00705
OG0000074	B5M19_RS01645	EHI52_RS00900
OG0000075	B5M19_RS00265	EHI52_RS00355
OG0000076	B5M19_RS00280	EHI52_RS00370
OG0000077	B5M19_RS03440	EHI52_RS00460
OG0000078	B5M19_RS02055	EHI52_RS01735
OG0000079	B5M19_RS01010	EHI52_RS02555
OG0000080	B5M19_RS03900	EHI52_RS03675
OG0000081	B5M19_RS00260	EHI52_RS00350
OG0000082	B5M19_RS04420, B5M19_RS04415	EHI52_RS02405
OG0000083	B5M19_RS00845	EHI52_RS01915
OG0000084	B5M19_RS02760	EHI52_RS01890
OG0000085	B5M19_RS02755	EHI52_RS01885
OG0000086	B5M19_RS02745	EHI52_RS01875
OG0000087	B5M19_RS02730	EHI52_RS01860
OG0000088	B5M19_RS02725	EHI52_RS01855
OG0000089	B5M19_RS03690	EHI52_RS01845
OG0000090	B5M19_RS03775	EHI52_RS00070
OG0000091	B5M19_RS04280	EHI52_RS00055
OG0000092	B5M19_RS01895	EHI52_RS00040
OG0000093	B5M19_RS01900	EHI52_RS00035
OG0000094	B5M19_RS01905	EHI52_RS00030
OG0000095	B5M19_RS04290	EHI52_RS00005
OG0000096	B5M19_RS01935	EHI52_RS03620
OG0000097	B5M19_RS01955	EHI52_RS03600
OG0000098	B5M19_RS04295	EHI52_RS03590
OG0000099	B5M19_RS00370	EHI52_RS03540
OG0000100	B5M19_RS00385	EHI52_RS03520
OG0000101	B5M19_RS00390	EHI52_RS03515
OG0000102	B5M19_RS02080	EHI52_RS01760
OG0000103	B5M19_RS02960	EHI52_RS02225
OG0000104	B5M19_RS04460	EHI52_RS02230
OG0000105	B5M19_RS02940	EHI52_RS02245
OG0000106	B5M19_RS02930	EHI52_RS02255
OG0000107	B5M19_RS04455	EHI52_RS02265
OG0000108	B5M19_RS04620	EHI52_RS02270
OG0000109	B5M19_RS02910	EHI52_RS02275
OG0000110	B5M19_RS02660	EHI52_RS02395
OG0000111	B5M19_RS02665	EHI52_RS02390
OG0000112	B5M19_RS02675	EHI52_RS02380
OG0000113	B5M19_RS02700	EHI52_RS02360
OG0000114	B5M19_RS02710	EHI52_RS02350
OG0000115	B5M19_RS03610	EHI52_RS02335
OG0000116	B5M19_RS02580	EHI52_RS01360
OG0000117	B5M19_RS02575	EHI52_RS01365
OG0000118	B5M19_RS01235	EHI52_RS01400
OG0000119	B5M19_RS01230	EHI52_RS01405
OG0000120	B5M19_RS01215	EHI52_RS01420
OG0000121	B5M19_RS01190	EHI52_RS01445
OG0000122	B5M19_RS01185	EHI52_RS01450
OG0000123	B5M19_RS01165	EHI52_RS01470
OG0000124	B5M19_RS01160	EHI52_RS01475
OG0000125	B5M19_RS01155	EHI52_RS01480
OG0000126	B5M19_RS01145	EHI52_RS01490
OG0000127	B5M19_RS01135	EHI52_RS01500
OG0000128	B5M19_RS01115	EHI52_RS01515
OG0000129	B5M19_RS01110	EHI52_RS01520
OG0000130	B5M19_RS01100	EHI52_RS01530
OG0000131	B5M19_RS01075	EHI52_RS01560
OG0000132	B5M19_RS01060	EHI52_RS01575
OG0000133	B5M19_RS02380	EHI52_RS00545
OG0000134	B5M19_RS02385	EHI52_RS00550
OG0000135	B5M19_RS02400	EHI52_RS00565
OG0000136	B5M19_RS02405	EHI52_RS00570
OG0000137	B5M19_RS02445	EHI52_RS00600
OG0000138	B5M19_RS03090	EHI52_RS00635
OG0000139	B5M19_RS03070	EHI52_RS00665
OG0000140	B5M19_RS03065	EHI52_RS00670
OG0000141	B5M19_RS01330	EHI52_RS02925
OG0000142	B5M19_RS01335	EHI52_RS02920
OG0000143	B5M19_RS01360	EHI52_RS02895
OG0000144	B5M19_RS01370	EHI52_RS02885
OG0000145	B5M19_RS01380	EHI52_RS02875
OG0000146	B5M19_RS01390	EHI52_RS02865
OG0000147	B5M19_RS01395	EHI52_RS02860
OG0000148	B5M19_RS01410	EHI52_RS02845
OG0000149	B5M19_RS01420	EHI52_RS02835
OG0000150	B5M19_RS04180	EHI52_RS02820
OG0000151	B5M19_RS02540	EHI52_RS02775
OG0000152	B5M19_RS02535	EHI52_RS02770
OG0000153	B5M19_RS02530	EHI52_RS02765
OG0000154	B5M19_RS02520	EHI52_RS02755
OG0000155	B5M19_RS02480	EHI52_RS02715
OG0000156	B5M19_RS00860	EHI52_RS02705
OG0000157	B5M19_RS00865	EHI52_RS02700
OG0000158	B5M19_RS04580	EHI52_RS03885
OG0000159	B5M19_RS02810	EHI52_RS03925
OG0000160	B5M19_RS02815	EHI52_RS02460
OG0000161	B5M19_RS02820	EHI52_RS02455
OG0000162	B5M19_RS02830	EHI52_RS02445
OG0000163	B5M19_RS02835	EHI52_RS02440
OG0000164	B5M19_RS04495	EHI52_RS01665
OG0000165	B5M19_RS00760	EHI52_RS01995
OG0000166	B5M19_RS00785	EHI52_RS01975
OG0000167	B5M19_RS00800	EHI52_RS01960
OG0000168	B5M19_RS00805	EHI52_RS01955
OG0000169	B5M19_RS01450	EHI52_RS03055
OG0000170	B5M19_RS01465	EHI52_RS03075
OG0000171	B5M19_RS01475	EHI52_RS03085
OG0000172	B5M19_RS01480	EHI52_RS03095
OG0000173	B5M19_RS01490	EHI52_RS03100
OG0000174	B5M19_RS01495	EHI52_RS03105
OG0000175	B5M19_RS01510	EHI52_RS03120
OG0000176	B5M19_RS01560	EHI52_RS03170
OG0000177	B5M19_RS01565	EHI52_RS03175
OG0000178	B5M19_RS04200	EHI52_RS03180
OG0000179	B5M19_RS01580	EHI52_RS03190
OG0000180	B5M19_RS01585	EHI52_RS03195
OG0000181	B5M19_RS03045	EHI52_RS03235
OG0000182	B5M19_RS03035	EHI52_RS03245
OG0000183	B5M19_RS03000	EHI52_RS03280
OG0000184	B5M19_RS03105	EHI52_RS03325
OG0000185	B5M19_RS03120	EHI52_RS03310
OG0000186	B5M19_RS03550	EHI52_RS01585
OG0000187	B5M19_RS03535	EHI52_RS01600
OG0000188	B5M19_RS03525	EHI52_RS01610
OG0000189	B5M19_RS03210	EHI52_RS02310
OG0000190	B5M19_RS03215	EHI52_RS02305
OG0000191	B5M19_RS03235	EHI52_RS02285
OG0000192	B5M19_RS03675	EHI52_RS01280
OG0000193	B5M19_RS02360	EHI52_RS01270
OG0000194	B5M19_RS01855	EHI52_RS00690
OG0000195	B5M19_RS01850	EHI52_RS00695
OG0000196	B5M19_RS01830	EHI52_RS00715
OG0000197	B5M19_RS01825	EHI52_RS00720
OG0000198	B5M19_RS01810	EHI52_RS00735
OG0000199	B5M19_RS01805	EHI52_RS00740
OG0000200	B5M19_RS01790	EHI52_RS00755
OG0000201	B5M19_RS01780	EHI52_RS00765
OG0000202	B5M19_RS01725	EHI52_RS00820
OG0000203	B5M19_RS01720	EHI52_RS00825
OG0000204	B5M19_RS01715	EHI52_RS00830
OG0000205	B5M19_RS01710	EHI52_RS00835
OG0000206	B5M19_RS01690	EHI52_RS00855
OG0000207	B5M19_RS01675	EHI52_RS00870
OG0000208	B5M19_RS01670	EHI52_RS00875
OG0000209	B5M19_RS01665	EHI52_RS00880
OG0000210	B5M19_RS01620	EHI52_RS00925
OG0000211	B5M19_RS03415	EHI52_RS01005
OG0000212	B5M19_RS03405	EHI52_RS01015
OG0000213	B5M19_RS03400	EHI52_RS01020
OG0000214	B5M19_RS03395	EHI52_RS01025
OG0000215	B5M19_RS03390	EHI52_RS01030
OG0000216	B5M19_RS03385	EHI52_RS01035
OG0000217	B5M19_RS03380	EHI52_RS01040
OG0000218	B5M19_RS03370	EHI52_RS01050
OG0000219	B5M19_RS03365	EHI52_RS01055
OG0000220	B5M19_RS03360	EHI52_RS01060
OG0000221	B5M19_RS03355	EHI52_RS01065
OG0000222	B5M19_RS03350	EHI52_RS01070
OG0000223	B5M19_RS03345	EHI52_RS01075
OG0000224	B5M19_RS03130	EHI52_RS01085
OG0000225	B5M19_RS03140	EHI52_RS01095
OG0000226	B5M19_RS03145	EHI52_RS01100
OG0000227	B5M19_RS03150	EHI52_RS01105
OG0000228	B5M19_RS04630	EHI52_RS03905
OG0000229	B5M19_RS03160	EHI52_RS01115
OG0000230	B5M19_RS03165	EHI52_RS01120
OG0000231	B5M19_RS03175	EHI52_RS01130
OG0000232	B5M19_RS03185	EHI52_RS01140
OG0000233	B5M19_RS02225	EHI52_RS01165
OG0000234	B5M19_RS04335	EHI52_RS01200
OG0000235	B5M19_RS02175	EHI52_RS01210
OG0000236	B5M19_RS02170	EHI52_RS01215
OG0000237	B5M19_RS02165	EHI52_RS01220
OG0000238	B5M19_RS02155	EHI52_RS01230
OG0000239	B5M19_RS01315	EHI52_RS02935
OG0000240	B5M19_RS01310	EHI52_RS02940
OG0000241	B5M19_RS01300	EHI52_RS02950
OG0000242	B5M19_RS04160	EHI52_RS02955
OG0000243	B5M19_RS01290	EHI52_RS02960
OG0000244	B5M19_RS01280	EHI52_RS02970
OG0000245	B5M19_RS01270	EHI52_RS02980
OG0000246	B5M19_RS00050	EHI52_RS00140
OG0000247	B5M19_RS00060	EHI52_RS00150
OG0000248	B5M19_RS00070	EHI52_RS00160
OG0000249	B5M19_RS00075	EHI52_RS00165
OG0000250	B5M19_RS03880	EHI52_RS00180
OG0000251	B5M19_RS00125	EHI52_RS00215
OG0000252	B5M19_RS00135	EHI52_RS00225
OG0000253	B5M19_RS00140	EHI52_RS00230
OG0000254	B5M19_RS00150	EHI52_RS00240
OG0000255	B5M19_RS00160	EHI52_RS00250
OG0000256	B5M19_RS00165	EHI52_RS00255
OG0000257	B5M19_RS00190	EHI52_RS00280
OG0000258	B5M19_RS04020	EHI52_RS00290
OG0000259	B5M19_RS00230	EHI52_RS00320
OG0000260	B5M19_RS00240	EHI52_RS00330
OG0000261	B5M19_RS00250	EHI52_RS00340
OG0000262	B5M19_RS00270	EHI52_RS00360
OG0000263	B5M19_RS00285	EHI52_RS00375
OG0000264	B5M19_RS04030	EHI52_RS00390
OG0000265	B5M19_RS00315	EHI52_RS00400
OG0000266	B5M19_RS00335	EHI52_RS00415
OG0000267	B5M19_RS04035	EHI52_RS00430
OG0000268	B5M19_RS00355	EHI52_RS00435
OG0000269	B5M19_RS03680	EHI52_RS00450
OG0000270	B5M19_RS00415	EHI52_RS03490
OG0000271	B5M19_RS00420	EHI52_RS03485
OG0000272	B5M19_RS00425	EHI52_RS03480
OG0000273	B5M19_RS00430	EHI52_RS03475
OG0000274	B5M19_RS00450	EHI52_RS03455
OG0000275	B5M19_RS00455	EHI52_RS03450
OG0000276	B5M19_RS00460	EHI52_RS03445
OG0000277	B5M19_RS00470	EHI52_RS03435
OG0000278	B5M19_RS00475	EHI52_RS03430
OG0000279	B5M19_RS00485	EHI52_RS03420
OG0000280	B5M19_RS00490	EHI52_RS03415
OG0000281	B5M19_RS00495	EHI52_RS03410
OG0000282	B5M19_RS00520	EHI52_RS03385
OG0000283	B5M19_RS00525	EHI52_RS03380
OG0000284	B5M19_RS00530	EHI52_RS03375
OG0000285	B5M19_RS00535	EHI52_RS03370
OG0000286	B5M19_RS02850	EHI52_RS02425
OG0000287	B5M19_RS01050	EHI52_RS02515
OG0000288	B5M19_RS01040	EHI52_RS02525
OG0000289	B5M19_RS01035	EHI52_RS02530
OG0000290	B5M19_RS04120	EHI52_RS02640
OG0000291	B5M19_RS00935	EHI52_RS02630
OG0000292	B5M19_RS00940	EHI52_RS02625
OG0000293	B5M19_RS00945	EHI52_RS02620
OG0000294	B5M19_RS00955	EHI52_RS02610
OG0000295	B5M19_RS00960	EHI52_RS02605
OG0000296	B5M19_RS01000	EHI52_RS02565
OG0000297	B5M19_RS01005	EHI52_RS02560
OG0000298	B5M19_RS00085	EHI52_RS00175
OG0000299	B5M19_RS00110	EHI52_RS00200
OG0000300	B5M19_RS00300	EHI52_RS00385
OG0000301	B5M19_RS00340	EHI52_RS00420
OG0000302	B5M19_RS00345	EHI52_RS00425
OG0000303	B5M19_RS02410	EHI52_RS00575
OG0000304	B5M19_RS03190	EHI52_RS01145
OG0000305	B5M19_RS01385	EHI52_RS02870
OG0000306	B5M19_RS02560	EHI52_RS02795
OG0000307	B5M19_RS02525	EHI52_RS02760
OG0000308	B5M19_RS00905	EHI52_RS02660
OG0000309	B5M19_RS00970	EHI52_RS02595
OG0000310	B5M19_RS01045	EHI52_RS02520
OG0000311	B5M19_RS02790	EHI52_RS02485
OG0000312	B5M19_RS02805	EHI52_RS02470
OG0000313	B5M19_RS03300	EHI52_RS01655
OG0000314	B5M19_RS00780	EHI52_RS01980
OG0000315	B5M19_RS00810	EHI52_RS01950
OG0000316	B5M19_RS00820	EHI52_RS01940
OG0000317	B5M19_RS02720	EHI52_RS01850
OG0000318	B5M19_RS00825	EHI52_RS01935
OG0000319	B5M19_RS02945	EHI52_RS02240
OG0000320	B5M19_RS04425	EHI52_RS02370
OG0000321	B5M19_RS01240	EHI52_RS01395
OG0000322	B5M19_RS01195	EHI52_RS01440
OG0000323	B5M19_RS01065	EHI52_RS01570
OG0000324	B5M19_RS03240	EHI52_RS02280
OG0000325	B5M19_RS01845	EHI52_RS00700
OG0000326	B5M19_RS01750	EHI52_RS00795
OG0000327	B5M19_RS01745	EHI52_RS00800
OG0000328	B5M19_RS01660	EHI52_RS00885
OG0000329	B5M19_RS01640	EHI52_RS00905
OG0000330	B5M19_RS02210	EHI52_RS01175
OG0000331	B5M19_RS01285	EHI52_RS02965
OG0000332	B5M19_RS01520	EHI52_RS03130
OG0000333	B5M19_RS01530	EHI52_RS03140
OG0000334	B5M19_RS03040	EHI52_RS03240
OG0000335	B5M19_RS03030	EHI52_RS03250
OG0000336	B5M19_RS00505	EHI52_RS03400
OG0000337	B5M19_RS01985	EHI52_RS03575
OG0000338	B5M19_RS01940	EHI52_RS03615
OG0000339	B5M19_RS03615	EHI52_RS02340
OG0000340	B5M19_RS02565	EHI52_RS01375
OG0000341	B5M19_RS03220	EHI52_RS02300
OG0000342	B5M19_RS01815	EHI52_RS00730
OG0000343	B5M19_RS04195	EHI52_RS03150
OG0000344	B5M19_RS02425	EHI52_RS00590
OG0000345	B5M19_RS03135	EHI52_RS01090
OG0000346	B5M19_RS04590	EHI52_RS03405
OG0000347	B5M19_RS01170	EHI52_RS01465
OG0000348	B5M19_RS01740	EHI52_RS00805
OG0000349	B5M19_RS00440	EHI52_RS03465
OG0000350	B5M19_RS02515	EHI52_RS02750
OG0000351	B5M19_RS03490	EHI52_RS00510
OG0000352	B5M19_RS00755	EHI52_RS02000
OG0000353	B5M19_RS01200	EHI52_RS01435
OG0000354	B5M19_RS03080	EHI52_RS00650
OG0000355	B5M19_RS00725	EHI52_RS02030
OG0000356	B5M19_RS00815	EHI52_RS01945
OG0000357	B5M19_RS01500	EHI52_RS03110
OG0000358	B5M19_RS01505	EHI52_RS03115
OG0000359	B5M19_RS01770	EHI52_RS00775
OG0000360	B5M19_RS00195	EHI52_RS00285
OG0000361	B5M19_RS00225	EHI52_RS00315
OG0000362	B5M19_RS01025	EHI52_RS02540
OG0000363	B5M19_RS01125	EHI52_RS01505
OG0000364	B5M19_RS00700	EHI52_RS03790, EHI52_RS02055
OG0000365	B5M19_RS02775	EHI52_RS01905
OG0000366	B5M19_RS02750	EHI52_RS01880
OG0000367	B5M19_RS02740	EHI52_RS01870
OG0000368	B5M19_RS04270	EHI52_RS00060
OG0000369	B5M19_RS01910	EHI52_RS00025
OG0000370	B5M19_RS01915	EHI52_RS00020
OG0000371	B5M19_RS01920	EHI52_RS00015
OG0000372	B5M19_RS01925	EHI52_RS00010
OG0000373	B5M19_RS01950	EHI52_RS03605
OG0000374	B5M19_RS01960	EHI52_RS03595
OG0000375	B5M19_RS02950	EHI52_RS02235
OG0000376	B5M19_RS02670	EHI52_RS02385
OG0000377	B5M19_RS02680	EHI52_RS02375
OG0000378	B5M19_RS02585	EHI52_RS01355
OG0000379	B5M19_RS01205	EHI52_RS01430
OG0000380	B5M19_RS01180	EHI52_RS01455
OG0000381	B5M19_RS01140	EHI52_RS01495
OG0000382	B5M19_RS01105	EHI52_RS01525
OG0000383	B5M19_RS01070	EHI52_RS01565
OG0000384	B5M19_RS02365	EHI52_RS00530
OG0000385	B5M19_RS02370	EHI52_RS00535
OG0000386	B5M19_RS02390	EHI52_RS00555
OG0000387	B5M19_RS02415	EHI52_RS00580
OG0000388	B5M19_RS02420	EHI52_RS00585
OG0000389	B5M19_RS03095	EHI52_RS00630
OG0000390	B5M19_RS01365	EHI52_RS02890
OG0000391	B5M19_RS01375	EHI52_RS02880
OG0000392	B5M19_RS01400	EHI52_RS02855
OG0000393	B5M19_RS03515	EHI52_RS02800
OG0000394	B5M19_RS02490	EHI52_RS02725
OG0000395	B5M19_RS02485	EHI52_RS02720
OG0000396	B5M19_RS02845	EHI52_RS02430
OG0000397	B5M19_RS00740	EHI52_RS02015
OG0000398	B5M19_RS00745	EHI52_RS02010
OG0000399	B5M19_RS00795	EHI52_RS01965
OG0000400	B5M19_RS01460	EHI52_RS03070
OG0000401	B5M19_RS01525	EHI52_RS03135
OG0000402	B5M19_RS01535	EHI52_RS03145
OG0000404	B5M19_RS04205	EHI52_RS03185
OG0000405	B5M19_RS01590	EHI52_RS03200
OG0000406	B5M19_RS03025	EHI52_RS03255
OG0000407	B5M19_RS03020	EHI52_RS03260
OG0000408	B5M19_RS03015	EHI52_RS03265
OG0000409	B5M19_RS03010	EHI52_RS03270
OG0000410	B5M19_RS03100	EHI52_RS03330
OG0000411	B5M19_RS03110	EHI52_RS03320
OG0000412	B5M19_RS03115	EHI52_RS03315
OG0000413	B5M19_RS03555	EHI52_RS01580
OG0000414	B5M19_RS03545	EHI52_RS01590
OG0000415	B5M19_RS03540	EHI52_RS01595
OG0000416	B5M19_RS03530	EHI52_RS01605
OG0000417	B5M19_RS03225	EHI52_RS02295
OG0000418	B5M19_RS03230	EHI52_RS02290
OG0000419	B5M19_RS01835	EHI52_RS00710
OG0000420	B5M19_RS01800	EHI52_RS00745
OG0000421	B5M19_RS01765	EHI52_RS00780
OG0000422	B5M19_RS01755	EHI52_RS00790
OG0000423	B5M19_RS01700	EHI52_RS00845
OG0000424	B5M19_RS01695	EHI52_RS00850
OG0000425	B5M19_RS01685	EHI52_RS00860
OG0000426	B5M19_RS01680	EHI52_RS00865
OG0000427	B5M19_RS01655	EHI52_RS00890
OG0000428	B5M19_RS01630	EHI52_RS00915
OG0000430	B5M19_RS03170	EHI52_RS01125
OG0000431	B5M19_RS03180	EHI52_RS01135
OG0000432	B5M19_RS04345	EHI52_RS01170
OG0000433	B5M19_RS02200	EHI52_RS01185
OG0000434	B5M19_RS02195	EHI52_RS01190
OG0000435	B5M19_RS02180	EHI52_RS01205
OG0000436	B5M19_RS02150	EHI52_RS01235
OG0000437	B5M19_RS02140	EHI52_RS01245
OG0000438	B5M19_RS02135	EHI52_RS01250
OG0000439	B5M19_RS02130	EHI52_RS01255
OG0000440	B5M19_RS04165	EHI52_RS02945
OG0000441	B5M19_RS01265	EHI52_RS02985
OG0000442	B5M19_RS00055	EHI52_RS00145
OG0000443	B5M19_RS00105	EHI52_RS00195
OG0000444	B5M19_RS00120	EHI52_RS00210
OG0000445	B5M19_RS00145	EHI52_RS00235
OG0000446	B5M19_RS00175	EHI52_RS00265
OG0000447	B5M19_RS00180	EHI52_RS00270
OG0000448	B5M19_RS00210	EHI52_RS00300
OG0000449	B5M19_RS00235	EHI52_RS00325
OG0000450	B5M19_RS00245	EHI52_RS00335
OG0000451	B5M19_RS00295	EHI52_RS00380
OG0000452	B5M19_RS00330	EHI52_RS00405
OG0000453	B5M19_RS04040	EHI52_RS00440
OG0000455	B5M19_RS00395	EHI52_RS03510
OG0000456	B5M19_RS00515	EHI52_RS03390
OG0000457	B5M19_RS00540	EHI52_RS03365
OG0000458	B5M19_RS01055	EHI52_RS02510
OG0000459	B5M19_RS01030	EHI52_RS02535
OG0000460	B5M19_RS01020	EHI52_RS02545
OG0000461	B5M19_RS04125	EHI52_RS02590
OG0000462	B5M19_RS00980	EHI52_RS02585
OG0000463	B5M19_RS04130	EHI52_RS02580
OG0000464	B5M19_RS00990	EHI52_RS02575
OG0000465	B5M19_RS00995	EHI52_RS02570
OG0000467	B5M19_RS00895	EHI52_RS02670
OG0000468	B5M19_RS00790	EHI52_RS01970
OG0000469	B5M19_RS00850	EHI52_RS01910
OG0000470	B5M19_RS03910	EHI52_RS03650
OG0000471	B5M19_RS01625	EHI52_RS00920
OG0000472	B5M19_RS00580	EHI52_RS03340
OG0000473	B5M19_RS00410	EHI52_RS03495
OG0000474	B5M19_RS00405	EHI52_RS03500
OG0000475	B5M19_RS00400	EHI52_RS03505
OG0000476	B5M19_RS03280	EHI52_RS01615
OG0000477	B5M19_RS00950	EHI52_RS02615
OG0000478	B5M19_RS00465	EHI52_RS03440
OG0000479	B5M19_RS04145	EHI52_RS01390
OG0000480	B5M19_RS03895	EHI52_RS03665
OG0000481	B5M19_RS01730	EHI52_RS00815
OG0000482	B5M19_RS03730	EHI52_RS01275
OG0000483	B5M19_RS02735	EHI52_RS01865
OG0000484	B5M19_RS00115	EHI52_RS00205
OG0000485	B5M19_RS02145	EHI52_RS01240
OG0000486	B5M19_RS03205	EHI52_RS02315
OG0000487	B5M19_RS00830	EHI52_RS01930
OG0000488	B5M19_RS02770	EHI52_RS01895
OG0000489	B5M19_RS01885	EHI52_RS00050
OG0000490	B5M19_RS01945	EHI52_RS03610
OG0000491	B5M19_RS01225	EHI52_RS01410
OG0000492	B5M19_RS04140	EHI52_RS01485
OG0000493	B5M19_RS02430	EHI52_RS00595
OG0000494	B5M19_RS03075	EHI52_RS00655
OG0000495	B5M19_RS01430	EHI52_RS02825
OG0000497	B5M19_RS01445	EHI52_RS02810
OG0000498	B5M19_RS02495	EHI52_RS02730
OG0000499	B5M19_RS00870	EHI52_RS02695
OG0000500	B5M19_RS00750	EHI52_RS02005
OG0000501	B5M19_RS01470	EHI52_RS03080
OG0000502	B5M19_RS02350	EHI52_RS01265
OG0000503	B5M19_RS04250	EHI52_RS00760
OG0000504	B5M19_RS01650	EHI52_RS00895
OG0000505	B5M19_RS03420	EHI52_RS01000
OG0000506	B5M19_RS03410	EHI52_RS01010
OG0000507	B5M19_RS03375	EHI52_RS01045
OG0000508	B5M19_RS00170	EHI52_RS00260
OG0000509	B5M19_RS00205	EHI52_RS00295
OG0000510	B5M19_RS00215	EHI52_RS00305
OG0000511	B5M19_RS03685	EHI52_RS00445
OG0000512	B5M19_RS01015	EHI52_RS02550
OG0000513	B5M19_RS00480	EHI52_RS03425
OG0000514	B5M19_RS01405	EHI52_RS02850
OG0000515	B5M19_RS04075	EHI52_RS02090
OG0000515	B5M19_RS03270	EHI52_RS02090
OG0000516	B5M19_RS00835	EHI52_RS01925
OG0000517	B5M19_RS01870	EHI52_RS00065
OG0000518	B5M19_RS01515	EHI52_RS03125
OG0000519	B5M19_RS01760	EHI52_RS00785
OG0000520	B5M19_RS01635	EHI52_RS00910
OG0000521	B5M19_RS00185	EHI52_RS00275
OG0000522	B5M19_RS00220	EHI52_RS00310
OG0000523	B5M19_RS00545	EHI52_RS03360
OG0000524	B5M19_RS00900	EHI52_RS02665
OG0000525	B5M19_RS00575	EHI52_RS03345
