Orthogroup	MHP_112B_genes	MHP_NCTC10127_genes
OG0000153	NBX26_RS02945	EXC50_RS01615
OG0000154	NBX26_RS02935	EXC50_RS01605
OG0000155	NBX26_RS02895	EXC50_RS01565
OG0000156	NBX26_RS02890	EXC50_RS01555
OG0000157	NBX26_RS02880	EXC50_RS01550
OG0000158	NBX26_RS02870	EXC50_RS04235
OG0000159	NBX26_RS02625	EXC50_RS03825
OG0000160	NBX26_RS02620	EXC50_RS03820
OG0000161	NBX26_RS02615	EXC50_RS03815
OG0000162	NBX26_RS02605	EXC50_RS01290
OG0000163	NBX26_RS02600	EXC50_RS01285
OG0000164	NBX26_RS01730	EXC50_RS00550
OG0000165	NBX26_RS02160	EXC50_RS00885
OG0000166	NBX26_RS02140	EXC50_RS00905
OG0000167	NBX26_RS02125	EXC50_RS00920
OG0000168	NBX26_RS02120	EXC50_RS00925
OG0000169	NBX26_RS03215	EXC50_RS01885
OG0000170	NBX26_RS03230	EXC50_RS01900
OG0000171	NBX26_RS03240	EXC50_RS01910
OG0000172	NBX26_RS03245	EXC50_RS01915
OG0000173	NBX26_RS03250	EXC50_RS01920
OG0000174	NBX26_RS03255	EXC50_RS01925
OG0000175	NBX26_RS03270	EXC50_RS01940
OG0000176	NBX26_RS03330	EXC50_RS01990
OG0000177	NBX26_RS03335	EXC50_RS01995
OG0000178	NBX26_RS03340	EXC50_RS02000
OG0000179	NBX26_RS03350	EXC50_RS02010
OG0000180	NBX26_RS03355	EXC50_RS02015
OG0000181	NBX26_RS03395	EXC50_RS02060
OG0000182	NBX26_RS03405	EXC50_RS02070
OG0000183	NBX26_RS03440	EXC50_RS02105
OG0000184	NBX26_RS03495	EXC50_RS02150
OG0000185	NBX26_RS03480	EXC50_RS02135
OG0000186	NBX26_RS01655	EXC50_RS02565
OG0000187	NBX26_RS01670	EXC50_RS02550
OG0000188	NBX26_RS01680	EXC50_RS02540
OG0000189	NBX26_RS02455	EXC50_RS01150
OG0000190	NBX26_RS02450	EXC50_RS01145
OG0000191	NBX26_RS02425	EXC50_RS01125
OG0000192	NBX26_RS01345	EXC50_RS02870
OG0000193	NBX26_RS01330	EXC50_RS02880
OG0000194	NBX26_RS00695	EXC50_RS03395
OG0000195	NBX26_RS00700	EXC50_RS03390
OG0000196	NBX26_RS00725	EXC50_RS03370
OG0000197	NBX26_RS00735	EXC50_RS03365
OG0000198	NBX26_RS00745	EXC50_RS03350
OG0000199	NBX26_RS00750	EXC50_RS03345
OG0000200	NBX26_RS00765	EXC50_RS03330
OG0000201	NBX26_RS00775	EXC50_RS03320
OG0000202	NBX26_RS00830	EXC50_RS03265
OG0000203	NBX26_RS00835	EXC50_RS03260
OG0000204	NBX26_RS00840	EXC50_RS03255
OG0000205	NBX26_RS00845	EXC50_RS03250
OG0000206	NBX26_RS00865	EXC50_RS03230
OG0000207	NBX26_RS00880	EXC50_RS03215
OG0000208	NBX26_RS00885	EXC50_RS03210
OG0000209	NBX26_RS00890	EXC50_RS03205
OG0000210	NBX26_RS00935	EXC50_RS03160
OG0000211	NBX26_RS01080	EXC50_RS03150
OG0000212	NBX26_RS01085	EXC50_RS03140
OG0000213	NBX26_RS01090	EXC50_RS03135
OG0000214	NBX26_RS01095	EXC50_RS03130
OG0000215	NBX26_RS01100	EXC50_RS03125
OG0000216	NBX26_RS01105	EXC50_RS03120
OG0000217	NBX26_RS01110	EXC50_RS03115
OG0000218	NBX26_RS01120	EXC50_RS03105
OG0000219	NBX26_RS01125	EXC50_RS03100
OG0000220	NBX26_RS01130	EXC50_RS03095
OG0000221	NBX26_RS01135	EXC50_RS03090
OG0000222	NBX26_RS01140	EXC50_RS03085
OG0000223	NBX26_RS01145	EXC50_RS03080
OG0000224	NBX26_RS01155	EXC50_RS03070
OG0000225	NBX26_RS01165	EXC50_RS03060
OG0000226	NBX26_RS01170	EXC50_RS03055
OG0000227	NBX26_RS01175	EXC50_RS03050
OG0000228	NBX26_RS01180	EXC50_RS03045
OG0000229	NBX26_RS01185	EXC50_RS03040
OG0000230	NBX26_RS01190	EXC50_RS03035
OG0000231	NBX26_RS01200	EXC50_RS03025
OG0000232	NBX26_RS01210	EXC50_RS03015
OG0000233	NBX26_RS01230	EXC50_RS02995
OG0000234	NBX26_RS01265	EXC50_RS02960
OG0000235	NBX26_RS01275	EXC50_RS02950
OG0000236	NBX26_RS01280	EXC50_RS02945
OG0000237	NBX26_RS01285	EXC50_RS02940
OG0000238	NBX26_RS01295	EXC50_RS02930
OG0000239	NBX26_RS03115	EXC50_RS01785
OG0000240	NBX26_RS03120	EXC50_RS01790
OG0000241	NBX26_RS03130	EXC50_RS01800
OG0000242	NBX26_RS03135	EXC50_RS01805
OG0000243	NBX26_RS03140	EXC50_RS01810
OG0000244	NBX26_RS03150	EXC50_RS01820
OG0000245	NBX26_RS03160	EXC50_RS01830
OG0000246	NBX26_RS00130	EXC50_RS00140
OG0000247	NBX26_RS00140	EXC50_RS00150
OG0000248	NBX26_RS00150	EXC50_RS00160
OG0000249	NBX26_RS00155	EXC50_RS00165
OG0000250	NBX26_RS00180	EXC50_RS00180
OG0000251	NBX26_RS00210	EXC50_RS00215
OG0000252	NBX26_RS00215	EXC50_RS00225
OG0000253	NBX26_RS00220	EXC50_RS00230
OG0000254	NBX26_RS00230	EXC50_RS00240
OG0000255	NBX26_RS00235	EXC50_RS00250
OG0000256	NBX26_RS00240	EXC50_RS00255
OG0000257	NBX26_RS00265	EXC50_RS00280
OG0000258	NBX26_RS00280	EXC50_RS00290
OG0000259	NBX26_RS00305	EXC50_RS00320
OG0000260	NBX26_RS00315	EXC50_RS00330
OG0000261	NBX26_RS00325	EXC50_RS00340
OG0000262	NBX26_RS00340	EXC50_RS00360
OG0000263	NBX26_RS00355	EXC50_RS00375
OG0000264	NBX26_RS00370	EXC50_RS00390
OG0000265	NBX26_RS00380	EXC50_RS00400
OG0000266	NBX26_RS00395	EXC50_RS00420
OG0000267	NBX26_RS00410	EXC50_RS00435
OG0000268	NBX26_RS00415	EXC50_RS03665
OG0000269	NBX26_RS00430	EXC50_RS03650
OG0000270	NBX26_RS03690	EXC50_RS02335
OG0000271	NBX26_RS03685	EXC50_RS02330
OG0000272	NBX26_RS03680	EXC50_RS02325
OG0000273	NBX26_RS03675	EXC50_RS02320
OG0000274	NBX26_RS03660	EXC50_RS02300
OG0000275	NBX26_RS03650	EXC50_RS02295
OG0000276	NBX26_RS03645	EXC50_RS02290
OG0000277	NBX26_RS03635	EXC50_RS02280
OG0000278	NBX26_RS03630	EXC50_RS02275
OG0000279	NBX26_RS03620	EXC50_RS02265
OG0000280	NBX26_RS03615	EXC50_RS02260
OG0000281	NBX26_RS03610	EXC50_RS02255
OG0000282	NBX26_RS03585	EXC50_RS02230
OG0000283	NBX26_RS03580	EXC50_RS02225
OG0000284	NBX26_RS03575	EXC50_RS02220
OG0000285	NBX26_RS03570	EXC50_RS02215
OG0000286	NBX26_RS02585	EXC50_RS01270
OG0000287	NBX26_RS02680	EXC50_RS01365
OG0000288	NBX26_RS02690	EXC50_RS01375
OG0000289	NBX26_RS02695	EXC50_RS01380
OG0000290	NBX26_RS02815	EXC50_RS01490
OG0000291	NBX26_RS02800	EXC50_RS01480
OG0000292	NBX26_RS02795	EXC50_RS01475
OG0000293	NBX26_RS02785	EXC50_RS01470
OG0000294	NBX26_RS02775	EXC50_RS01460
OG0000295	NBX26_RS02770	EXC50_RS01455
OG0000296	NBX26_RS02730	EXC50_RS01415
OG0000297	NBX26_RS02725	EXC50_RS01410
OG0000298	NBX26_RS00165	EXC50_RS00175
OG0000299	NBX26_RS00190	EXC50_RS00200
OG0000300	NBX26_RS00365	EXC50_RS00385
OG0000301	NBX26_RS00400	EXC50_RS00425
OG0000302	NBX26_RS00405	EXC50_RS00430
OG0000303	NBX26_RS00560	EXC50_RS03525
OG0000304	NBX26_RS01215	EXC50_RS03010
OG0000305	NBX26_RS03055	EXC50_RS01720
OG0000306	NBX26_RS02980	EXC50_RS01645
OG0000307	NBX26_RS02940	EXC50_RS01610
OG0000308	NBX26_RS02850	EXC50_RS01510
OG0000309	NBX26_RS02760	EXC50_RS01445
OG0000310	NBX26_RS02685	EXC50_RS01370
OG0000311	NBX26_RS02645	EXC50_RS01330
OG0000312	NBX26_RS02630	EXC50_RS01315
OG0000313	NBX26_RS01720	EXC50_RS00540
OG0000314	NBX26_RS02145	EXC50_RS00900
OG0000315	NBX26_RS02115	EXC50_RS00930
OG0000316	NBX26_RS02105	EXC50_RS00940
OG0000317	NBX26_RS02005	EXC50_RS01030
OG0000318	NBX26_RS02100	EXC50_RS00945
OG0000319	NBX26_RS02380	EXC50_RS01080
OG0000320	NBX26_RS02510	EXC50_RS01215
OG0000321	NBX26_RS01455	EXC50_RS02755
OG0000322	NBX26_RS01510	EXC50_RS02710
OG0000323	NBX26_RS01640	EXC50_RS02580
OG0000324	NBX26_RS02420	EXC50_RS01120
OG0000325	NBX26_RS00710	EXC50_RS03385
OG0000326	NBX26_RS00805	EXC50_RS03290
OG0000327	NBX26_RS00810	EXC50_RS03285
OG0000328	NBX26_RS00895	EXC50_RS03200
OG0000329	NBX26_RS00920	EXC50_RS03180
OG0000330	NBX26_RS01240	EXC50_RS02985
OG0000331	NBX26_RS03145	EXC50_RS01815
OG0000332	NBX26_RS03285	EXC50_RS01950
OG0000333	NBX26_RS03295	EXC50_RS01960
OG0000334	NBX26_RS03400	EXC50_RS02065
OG0000335	NBX26_RS03410	EXC50_RS02075
OG0000336	NBX26_RS03600	EXC50_RS02245
OG0000337	NBX26_RS03765	EXC50_RS02415
OG0000338	NBX26_RS03805	EXC50_RS02455
OG0000339	NBX26_RS02485	EXC50_RS01185
OG0000340	NBX26_RS01435	EXC50_RS02775
OG0000341	NBX26_RS02445	EXC50_RS01140
OG0000342	NBX26_RS00740	EXC50_RS03355
OG0000343	NBX26_RS03305	EXC50_RS01970
OG0000344	NBX26_RS00575	EXC50_RS03510
OG0000345	NBX26_RS01160	EXC50_RS03065
OG0000346	NBX26_RS03605	EXC50_RS02250
OG0000347	NBX26_RS01535	EXC50_RS02685
OG0000348	NBX26_RS00815	EXC50_RS03280
OG0000349	NBX26_RS03665	EXC50_RS02310
OG0000350	NBX26_RS02930	EXC50_RS01600
OG0000351	NBX26_RS00485	EXC50_RS03590
OG0000352	NBX26_RS02165	EXC50_RS00880
OG0000353	NBX26_RS01500	EXC50_RS02715
OG0000354	NBX26_RS00635	EXC50_RS03450
OG0000355	NBX26_RS02190	EXC50_RS00850
OG0000356	NBX26_RS02110	EXC50_RS00935
OG0000357	NBX26_RS03260	EXC50_RS01930
OG0000358	NBX26_RS03265	EXC50_RS01935
OG0000359	NBX26_RS00785	EXC50_RS03310
OG0000360	NBX26_RS00270	EXC50_RS00285
OG0000361	NBX26_RS00300	EXC50_RS00315
OG0000362	NBX26_RS02705	EXC50_RS01390
OG0000363	NBX26_RS01575	EXC50_RS02645
OG0000364	NBX26_RS02215	EXC50_RS03915
OG0000365	NBX26_RS02065	EXC50_RS00975
OG0000366	NBX26_RS02040	EXC50_RS01000
OG0000367	NBX26_RS02025	EXC50_RS01010
OG0000368	NBX26_RS00060	EXC50_RS00060
OG0000369	NBX26_RS00025	EXC50_RS00025
OG0000370	NBX26_RS00020	EXC50_RS00020
OG0000371	NBX26_RS00015	EXC50_RS00015
OG0000372	NBX26_RS00010	EXC50_RS00010
OG0000373	NBX26_RS03795	EXC50_RS02445
OG0000374	NBX26_RS03785	EXC50_RS02435
OG0000375	NBX26_RS02375	EXC50_RS01075
OG0000376	NBX26_RS02525	EXC50_RS01230
OG0000377	NBX26_RS02515	EXC50_RS01220
OG0000378	NBX26_RS01415	EXC50_RS02795
OG0000379	NBX26_RS01495	EXC50_RS02720
OG0000380	NBX26_RS01530	EXC50_RS02695
OG0000381	NBX26_RS01565	EXC50_RS02655
OG0000382	NBX26_RS01595	EXC50_RS02625
OG0000383	NBX26_RS01635	EXC50_RS02585
OG0000384	NBX26_RS00515	EXC50_RS03570
OG0000385	NBX26_RS00525	EXC50_RS03565
OG0000386	NBX26_RS00540	EXC50_RS03545
OG0000387	NBX26_RS00565	EXC50_RS03520
OG0000388	NBX26_RS00570	EXC50_RS03515
OG0000389	NBX26_RS00615	EXC50_RS03470
OG0000390	NBX26_RS03075	EXC50_RS01740
OG0000391	NBX26_RS03065	EXC50_RS01730
OG0000392	NBX26_RS03040	EXC50_RS01705
OG0000393	NBX26_RS02985	EXC50_RS01650
OG0000394	NBX26_RS02905	EXC50_RS01575
OG0000395	NBX26_RS02900	EXC50_RS01570
OG0000396	NBX26_RS02590	EXC50_RS01275
OG0000397	NBX26_RS02180	EXC50_RS00865
OG0000398	NBX26_RS02175	EXC50_RS00870
OG0000399	NBX26_RS02130	EXC50_RS00915
OG0000400	NBX26_RS03225	EXC50_RS01895
OG0000401	NBX26_RS03290	EXC50_RS01955
OG0000402	NBX26_RS03300	EXC50_RS01965
OG0000403	NBX26_RS03310	EXC50_RS01975
OG0000404	NBX26_RS03345	EXC50_RS02005
OG0000405	NBX26_RS03360	EXC50_RS02020
OG0000406	NBX26_RS03415	EXC50_RS02080
OG0000407	NBX26_RS03420	EXC50_RS02085
OG0000408	NBX26_RS03425	EXC50_RS02090
OG0000409	NBX26_RS03430	EXC50_RS02095
OG0000410	NBX26_RS03505	EXC50_RS02155
OG0000411	NBX26_RS03490	EXC50_RS02145
OG0000412	NBX26_RS03485	EXC50_RS02140
OG0000413	NBX26_RS01650	EXC50_RS02570
OG0000414	NBX26_RS01660	EXC50_RS02560
OG0000415	NBX26_RS01665	EXC50_RS02555
OG0000416	NBX26_RS01675	EXC50_RS02545
OG0000417	NBX26_RS02440	EXC50_RS01135
OG0000418	NBX26_RS02430	EXC50_RS01130
OG0000419	NBX26_RS00720	EXC50_RS03375
OG0000420	NBX26_RS00755	EXC50_RS03340
OG0000421	NBX26_RS00795	EXC50_RS03305
OG0000422	NBX26_RS00800	EXC50_RS03295
OG0000423	NBX26_RS00855	EXC50_RS03240
OG0000424	NBX26_RS00860	EXC50_RS03235
OG0000425	NBX26_RS00870	EXC50_RS03225
OG0000426	NBX26_RS00875	EXC50_RS03220
OG0000427	NBX26_RS00900	EXC50_RS03195
OG0000428	NBX26_RS00925	EXC50_RS03170
OG0000429	NBX26_RS01150	EXC50_RS03075
OG0000430	NBX26_RS01195	EXC50_RS03030
OG0000431	NBX26_RS01205	EXC50_RS03020
OG0000432	NBX26_RS01235	EXC50_RS02990
OG0000433	NBX26_RS01260	EXC50_RS02975
OG0000435	NBX26_RS01270	EXC50_RS02955
OG0000437	NBX26_RS01305	EXC50_RS02915
OG0000438	NBX26_RS01310	EXC50_RS02910
OG0000439	NBX26_RS01315	EXC50_RS02905
OG0000440	NBX26_RS03125	EXC50_RS01795
OG0000441	NBX26_RS03165	EXC50_RS01835
OG0000442	NBX26_RS00135	EXC50_RS00145
OG0000443	NBX26_RS00185	EXC50_RS00195
OG0000444	NBX26_RS00200	EXC50_RS00210
OG0000445	NBX26_RS00225	EXC50_RS00235
OG0000446	NBX26_RS00250	EXC50_RS00265
OG0000447	NBX26_RS00255	EXC50_RS00270
OG0000448	NBX26_RS00290	EXC50_RS00300
OG0000449	NBX26_RS00310	EXC50_RS00325
OG0000450	NBX26_RS00320	EXC50_RS00335
OG0000451	NBX26_RS00360	EXC50_RS00380
OG0000452	NBX26_RS00385	EXC50_RS00410
OG0000453	NBX26_RS00420	EXC50_RS03660
OG0000454	NBX26_RS01695	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	NBX26_RS03710	EXC50_RS02355
OG0000456	NBX26_RS03590	EXC50_RS02235
OG0000457	NBX26_RS03565	EXC50_RS02210
OG0000458	NBX26_RS02675	EXC50_RS01360
OG0000459	NBX26_RS02700	EXC50_RS01385
OG0000460	NBX26_RS02710	EXC50_RS01395
OG0000461	NBX26_RS02755	EXC50_RS01440
OG0000462	NBX26_RS02750	EXC50_RS01435
OG0000463	NBX26_RS02745	EXC50_RS01430
OG0000464	NBX26_RS02740	EXC50_RS01425
OG0000465	NBX26_RS02735	EXC50_RS01420
OG0000466	NBX26_RS00390	EXC50_RS00415
OG0000467	NBX26_RS02855	EXC50_RS01520
OG0000468	NBX26_RS02135	EXC50_RS00910
OG0000469	NBX26_RS02075	EXC50_RS00970
OG0000470	NBX26_RS00850	EXC50_RS03950
OG0000471	NBX26_RS00930	EXC50_RS03165
OG0000472	NBX26_RS03515	EXC50_RS02165
OG0000473	NBX26_RS03695	EXC50_RS02340
OG0000474	NBX26_RS03700	EXC50_RS02345
OG0000475	NBX26_RS03705	EXC50_RS02350
OG0000476	NBX26_RS01685	EXC50_RS02535
OG0000477	NBX26_RS02780	EXC50_RS01465
OG0000478	NBX26_RS03640	EXC50_RS02285
OG0000479	NBX26_RS01450	EXC50_RS02760
OG0000480	NBX26_RS02070	EXC50_RS03895
OG0000481	NBX26_RS00825	EXC50_RS03270
OG0000482	NBX26_RS01335	EXC50_RS02875
OG0000483	NBX26_RS02020	EXC50_RS01015
OG0000484	NBX26_RS00195	EXC50_RS00205
OG0000485	NBX26_RS01300	EXC50_RS02920
OG0000486	NBX26_RS02460	EXC50_RS01155
OG0000487	NBX26_RS02095	EXC50_RS00950
OG0000488	NBX26_RS02055	EXC50_RS00985
OG0000489	NBX26_RS00050	EXC50_RS00050
OG0000490	NBX26_RS03800	EXC50_RS02450
OG0000492	NBX26_RS01555	EXC50_RS02665
OG0000493	NBX26_RS00580	EXC50_RS03505
OG0000494	NBX26_RS00640	EXC50_RS03445
OG0000495	NBX26_RS03015	EXC50_RS01675
OG0000496	NBX26_RS03000	EXC50_RS01665
OG0000497	NBX26_RS02995	EXC50_RS01660
OG0000498	NBX26_RS02910	EXC50_RS01580
OG0000499	NBX26_RS02875	EXC50_RS01545
OG0000500	NBX26_RS02170	EXC50_RS00875
OG0000501	NBX26_RS03235	EXC50_RS01905
OG0000502	NBX26_RS01325	EXC50_RS02885
OG0000503	NBX26_RS00770	EXC50_RS03325
OG0000504	NBX26_RS00905	EXC50_RS03190
OG0000505	NBX26_RS01070	EXC50_RS03155
OG0000507	NBX26_RS01115	EXC50_RS03110
OG0000508	NBX26_RS00245	EXC50_RS00260
OG0000511	NBX26_RS00425	EXC50_RS03655
OG0000512	NBX26_RS02715	EXC50_RS01400
OG0000513	NBX26_RS03625	EXC50_RS02270
OG0000514	NBX26_RS03035	EXC50_RS01700
OG0000515	NBX26_RS02255	EXC50_RS02525, EXC50_RS00520
OG0000516	NBX26_RS02090	EXC50_RS00955
OG0000517	NBX26_RS00065	EXC50_RS00065
OG0000518	NBX26_RS03275	EXC50_RS01945
OG0000521	NBX26_RS00260	EXC50_RS00275
