Orthogroup	MHP_112B_genes	MHP_ES2_genes
OG0000012	NBX26_RS02350	E5E95_RS03230
OG0000013	NBX26_RS02550	E5E95_RS02610
OG0000014	NBX26_RS00605	E5E95_RS00605
OG0000015	NBX26_RS01690	E5E95_RS01745
OG0000016	NBX26_RS00160	E5E95_RS00160
OG0000017	NBX26_RS00145	E5E95_RS00145
OG0000017	NBX26_RS03025	E5E95_RS03050
OG0000019	NBX26_RS03190	E5E95_RS04175
OG0000021	NBX26_RS02335	E5E95_RS03845, E5E95_RS03755
OG0000022	NBX26_RS01790	E5E95_RS01770
OG0000022	NBX26_RS01845	E5E95_RS01825
OG0000024	NBX26_RS02915	E5E95_RS02945
OG0000024	NBX26_RS01400	E5E95_RS01290
OG0000025	NBX26_RS01795	E5E95_RS01775
OG0000025	NBX26_RS01840	E5E95_RS01820
OG0000026	NBX26_RS01490	E5E95_RS01380
OG0000026	NBX26_RS01820	E5E95_RS01800
OG0000027	NBX26_RS03535	E5E95_RS03560
OG0000027	NBX26_RS03555	E5E95_RS03575
OG0000028	NBX26_RS02575, NBX26_RS02580	E5E95_RS02620
OG0000029	NBX26_RS01225	E5E95_RS01100
OG0000029	NBX26_RS00610	E5E95_RS00610
OG0000030	NBX26_RS03525	E5E95_RS03550
OG0000030	NBX26_RS03550	E5E95_RS03570
OG0000032	NBX26_RS01700	E5E95_RS03995
OG0000032	NBX26_RS03540, NBX26_RS03545	E5E95_RS03565
OG0000034	NBX26_RS00985	E5E95_RS04045
OG0000034	NBX26_RS00975	E5E95_RS04050
OG0000035	NBX26_RS03375	E5E95_RS03405, E5E95_RS03420
OG0000035	NBX26_RS03365	E5E95_RS03395
OG0000038	NBX26_RS00490	E5E95_RS00500
OG0000039	NBX26_RS01735	E5E95_RS01650, E5E95_RS01645
OG0000041	NBX26_RS00670	E5E95_RS00670
OG0000042	NBX26_RS03110	E5E95_RS03140
OG0000043	NBX26_RS02185	E5E95_RS02030
OG0000044	NBX26_RS01805	E5E95_RS04290
OG0000045	NBX26_RS01745	E5E95_RS01655
OG0000046	NBX26_RS03470	E5E95_RS03505
OG0000047	NBX26_RS01935	E5E95_RS01725
OG0000048	NBX26_RS01920	E5E95_RS02215
OG0000049	NBX26_RS03220	E5E95_RS03260
OG0000050	NBX26_RS02610	E5E95_RS02655
OG0000051	NBX26_RS02825	E5E95_RS02855
OG0000052	NBX26_RS00080	E5E95_RS00075
OG0000053	NBX26_RS01580	E5E95_RS01465
OG0000054	NBX26_RS02635	E5E95_RS02680
OG0000055	NBX26_RS00125	E5E95_RS00125
OG0000056	NBX26_RS03730	E5E95_RS03750
OG0000057	NBX26_RS03095	E5E95_RS03125
OG0000058	NBX26_RS01995	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000060	NBX26_RS00085	E5E95_RS00080
OG0000061	NBX26_RS02240	E5E95_RS01980
OG0000062	NBX26_RS03775	E5E95_RS03805
OG0000063	NBX26_RS03770	E5E95_RS03800
OG0000064	NBX26_RS03760	E5E95_RS03790
OG0000065	NBX26_RS02400	E5E95_RS02365
OG0000066	NBX26_RS01480	E5E95_RS01370
OG0000068	NBX26_RS00645	E5E95_RS00645
OG0000069	NBX26_RS02990	E5E95_RS03015
OG0000070	NBX26_RS02640	E5E95_RS02685
OG0000071	NBX26_RS03445	E5E95_RS03485
OG0000072	NBX26_RS03450	E5E95_RS03490
OG0000073	NBX26_RS00715	E5E95_RS00705
OG0000074	NBX26_RS00910	E5E95_RS00900
OG0000075	NBX26_RS00335	E5E95_RS00340
OG0000077	NBX26_RS00435	E5E95_RS00445
OG0000079	NBX26_RS02720	E5E95_RS02760
OG0000080	NBX26_RS02765	E5E95_RS03935
OG0000081	NBX26_RS00330	E5E95_RS00335
OG0000083	NBX26_RS02080	E5E95_RS02140
OG0000084	NBX26_RS02050	E5E95_RS02165
OG0000085	NBX26_RS02045	E5E95_RS02170
OG0000086	NBX26_RS02030	E5E95_RS02180
OG0000087	NBX26_RS02015	E5E95_RS02195
OG0000088	NBX26_RS02010	E5E95_RS02200
OG0000089	NBX26_RS02000	E5E95_RS02210
OG0000090	NBX26_RS00070	E5E95_RS00070
OG0000091	NBX26_RS00055	E5E95_RS00055
OG0000092	NBX26_RS00040	E5E95_RS00040
OG0000093	NBX26_RS00035	E5E95_RS00035
OG0000094	NBX26_RS00030	E5E95_RS00030
OG0000095	NBX26_RS00005	E5E95_RS00005
OG0000096	NBX26_RS03810	E5E95_RS03840
OG0000097	NBX26_RS03790	E5E95_RS03820
OG0000098	NBX26_RS03780	E5E95_RS03810
OG0000099	NBX26_RS03735	E5E95_RS03760
OG0000100	NBX26_RS03720	E5E95_RS03740
OG0000101	NBX26_RS03715	E5E95_RS03735
OG0000102	NBX26_RS01835	E5E95_RS01815
OG0000103	NBX26_RS02365	E5E95_RS02330
OG0000104	NBX26_RS02370	E5E95_RS02335
OG0000105	NBX26_RS02390	E5E95_RS02350
OG0000106	NBX26_RS02395	E5E95_RS02360
OG0000107	NBX26_RS02405	E5E95_RS02370
OG0000108	NBX26_RS02410	E5E95_RS02375
OG0000109	NBX26_RS02415	E5E95_RS02380
OG0000110	NBX26_RS02535	E5E95_RS02595
OG0000111	NBX26_RS02530	E5E95_RS02590
OG0000112	NBX26_RS02520	E5E95_RS02580
OG0000113	NBX26_RS02500	E5E95_RS02560
OG0000114	NBX26_RS02490	E5E95_RS04300
OG0000115	NBX26_RS02480	E5E95_RS02535
OG0000116	NBX26_RS01420	E5E95_RS01315
OG0000117	NBX26_RS01425	E5E95_RS01320
OG0000118	NBX26_RS01460	E5E95_RS01355
OG0000119	NBX26_RS01470	E5E95_RS01360
OG0000120	NBX26_RS01485	E5E95_RS01375
OG0000121	NBX26_RS01515	E5E95_RS01400
OG0000122	NBX26_RS01520	E5E95_RS01405
OG0000123	NBX26_RS01540	E5E95_RS01425
OG0000124	NBX26_RS01545	E5E95_RS01430
OG0000125	NBX26_RS01550	E5E95_RS01435
OG0000126	NBX26_RS01560	E5E95_RS01445
OG0000127	NBX26_RS01570	E5E95_RS01455
OG0000128	NBX26_RS01585	E5E95_RS01470
OG0000129	NBX26_RS01590	E5E95_RS01475
OG0000130	NBX26_RS01600	E5E95_RS01485
OG0000131	NBX26_RS01630	E5E95_RS01515
OG0000132	NBX26_RS01645	E5E95_RS01530
OG0000133	NBX26_RS00530	E5E95_RS00530
OG0000134	NBX26_RS00535	E5E95_RS00535
OG0000135	NBX26_RS00550	E5E95_RS00550
OG0000136	NBX26_RS00555	E5E95_RS00555
OG0000137	NBX26_RS00595	E5E95_RS00585
OG0000138	NBX26_RS00620	E5E95_RS00620
OG0000139	NBX26_RS00650	E5E95_RS00650
OG0000140	NBX26_RS00655	E5E95_RS00655
OG0000141	NBX26_RS03105	E5E95_RS03135
OG0000142	NBX26_RS03100	E5E95_RS03130
OG0000143	NBX26_RS03085	E5E95_RS03105
OG0000144	NBX26_RS03070	E5E95_RS03095
OG0000145	NBX26_RS03060	E5E95_RS03085
OG0000146	NBX26_RS03050	E5E95_RS03075
OG0000147	NBX26_RS03045	E5E95_RS03070
OG0000148	NBX26_RS03030	E5E95_RS03055
OG0000149	NBX26_RS03020	E5E95_RS03045
OG0000150	NBX26_RS03005	E5E95_RS03030
OG0000151	NBX26_RS02955	E5E95_RS02985
OG0000152	NBX26_RS02950	E5E95_RS02980
OG0000153	NBX26_RS02945	E5E95_RS02975
OG0000154	NBX26_RS02935	E5E95_RS02965
OG0000155	NBX26_RS02895	E5E95_RS02925
OG0000156	NBX26_RS02890	E5E95_RS02915
OG0000157	NBX26_RS02880	E5E95_RS02910
OG0000158	NBX26_RS02870	E5E95_RS02905
OG0000159	NBX26_RS02625	E5E95_RS04310
OG0000160	NBX26_RS02620	E5E95_RS02665
OG0000161	NBX26_RS02615	E5E95_RS02660
OG0000162	NBX26_RS02605	E5E95_RS02650
OG0000163	NBX26_RS02600	E5E95_RS02645
OG0000164	NBX26_RS01730	E5E95_RS01630
OG0000165	NBX26_RS02160	E5E95_RS02055
OG0000166	NBX26_RS02140	E5E95_RS02080
OG0000167	NBX26_RS02125	E5E95_RS02095
OG0000168	NBX26_RS02120	E5E95_RS02100
OG0000169	NBX26_RS03215	E5E95_RS03255
OG0000170	NBX26_RS03230	E5E95_RS03270
OG0000171	NBX26_RS03240	E5E95_RS03280
OG0000172	NBX26_RS03245	E5E95_RS03285
OG0000173	NBX26_RS03250	E5E95_RS03290
OG0000174	NBX26_RS03255	E5E95_RS03295
OG0000175	NBX26_RS03270	E5E95_RS03310
OG0000176	NBX26_RS03330	E5E95_RS03360
OG0000177	NBX26_RS03335	E5E95_RS03365
OG0000178	NBX26_RS03340	E5E95_RS03370
OG0000179	NBX26_RS03350	E5E95_RS03380
OG0000180	NBX26_RS03355	E5E95_RS03385
OG0000181	NBX26_RS03395	E5E95_RS03435
OG0000182	NBX26_RS03405	E5E95_RS03445
OG0000183	NBX26_RS03440	E5E95_RS03480
OG0000184	NBX26_RS03495	E5E95_RS03525
OG0000185	NBX26_RS03480	E5E95_RS03510
OG0000186	NBX26_RS01655	E5E95_RS01540
OG0000187	NBX26_RS01670	E5E95_RS01555
OG0000188	NBX26_RS01680	E5E95_RS01565
OG0000189	NBX26_RS02455	E5E95_RS02415
OG0000190	NBX26_RS02450	E5E95_RS02410
OG0000191	NBX26_RS02425	E5E95_RS02390
OG0000192	NBX26_RS01345	E5E95_RS01235
OG0000193	NBX26_RS01330	E5E95_RS01225
OG0000194	NBX26_RS00695	E5E95_RS00690
OG0000195	NBX26_RS00700	E5E95_RS00695
OG0000196	NBX26_RS00725	E5E95_RS00715
OG0000197	NBX26_RS00735	E5E95_RS00720
OG0000198	NBX26_RS00745	E5E95_RS00735
OG0000199	NBX26_RS00750	E5E95_RS00740
OG0000200	NBX26_RS00765	E5E95_RS00755
OG0000201	NBX26_RS00775	E5E95_RS00765
OG0000202	NBX26_RS00830	E5E95_RS00820
OG0000203	NBX26_RS00835	E5E95_RS00825
OG0000204	NBX26_RS00840	E5E95_RS00830
OG0000205	NBX26_RS00845	E5E95_RS00835
OG0000206	NBX26_RS00865	E5E95_RS00855
OG0000207	NBX26_RS00880	E5E95_RS00870
OG0000208	NBX26_RS00885	E5E95_RS00875
OG0000209	NBX26_RS00890	E5E95_RS00880
OG0000210	NBX26_RS00935	E5E95_RS00925
OG0000211	NBX26_RS01080	E5E95_RS00955
OG0000212	NBX26_RS01085	E5E95_RS00965
OG0000213	NBX26_RS01090	E5E95_RS00970
OG0000214	NBX26_RS01095	E5E95_RS00975
OG0000215	NBX26_RS01100	E5E95_RS00980
OG0000216	NBX26_RS01105	E5E95_RS00985
OG0000217	NBX26_RS01110	E5E95_RS00995
OG0000218	NBX26_RS01120	E5E95_RS01000
OG0000219	NBX26_RS01125	E5E95_RS01005
OG0000220	NBX26_RS01130	E5E95_RS01010
OG0000221	NBX26_RS01135	E5E95_RS01015
OG0000222	NBX26_RS01140	E5E95_RS01020
OG0000223	NBX26_RS01145	E5E95_RS01025
OG0000224	NBX26_RS01155	E5E95_RS01035
OG0000225	NBX26_RS01165	E5E95_RS01045
OG0000226	NBX26_RS01170	E5E95_RS01050
OG0000227	NBX26_RS01175	E5E95_RS01055
OG0000228	NBX26_RS01180	E5E95_RS04285
OG0000229	NBX26_RS01185	E5E95_RS01065
OG0000230	NBX26_RS01190	E5E95_RS01070
OG0000231	NBX26_RS01200	E5E95_RS01080
OG0000232	NBX26_RS01210	E5E95_RS01090
OG0000233	NBX26_RS01230	E5E95_RS01110
OG0000234	NBX26_RS01265	E5E95_RS01145
OG0000235	NBX26_RS01275	E5E95_RS01155
OG0000236	NBX26_RS01280	E5E95_RS01160
OG0000237	NBX26_RS01285	E5E95_RS01165
OG0000238	NBX26_RS01295	E5E95_RS01175
OG0000239	NBX26_RS03115	E5E95_RS03145
OG0000240	NBX26_RS03120	E5E95_RS03150
OG0000241	NBX26_RS03130	E5E95_RS03160
OG0000242	NBX26_RS03135	E5E95_RS03165
OG0000243	NBX26_RS03140	E5E95_RS03170
OG0000244	NBX26_RS03150	E5E95_RS03180
OG0000245	NBX26_RS03160	E5E95_RS03190
OG0000246	NBX26_RS00130	E5E95_RS00130
OG0000247	NBX26_RS00140	E5E95_RS00140
OG0000248	NBX26_RS00150	E5E95_RS00150
OG0000249	NBX26_RS00155	E5E95_RS00155
OG0000250	NBX26_RS00180	E5E95_RS00170
OG0000251	NBX26_RS00210	E5E95_RS00205
OG0000252	NBX26_RS00215	E5E95_RS00215
OG0000253	NBX26_RS00220	E5E95_RS00220
OG0000254	NBX26_RS00230	E5E95_RS00230
OG0000255	NBX26_RS00235	E5E95_RS00240
OG0000256	NBX26_RS00240	E5E95_RS00245
OG0000257	NBX26_RS00265	E5E95_RS00270
OG0000258	NBX26_RS00280	E5E95_RS00280
OG0000259	NBX26_RS00305	E5E95_RS00310
OG0000260	NBX26_RS00315	E5E95_RS00320
OG0000261	NBX26_RS00325	E5E95_RS00330
OG0000262	NBX26_RS00340	E5E95_RS00350
OG0000263	NBX26_RS00355	E5E95_RS00360
OG0000264	NBX26_RS00370	E5E95_RS00375
OG0000265	NBX26_RS00380	E5E95_RS00385
OG0000266	NBX26_RS00395	E5E95_RS00400
OG0000267	NBX26_RS00410	E5E95_RS00415
OG0000268	NBX26_RS00415	E5E95_RS00420
OG0000269	NBX26_RS00430	E5E95_RS00435
OG0000270	NBX26_RS03690	E5E95_RS03710
OG0000271	NBX26_RS03685	E5E95_RS03705
OG0000272	NBX26_RS03680	E5E95_RS03700
OG0000273	NBX26_RS03675	E5E95_RS03695
OG0000274	NBX26_RS03660	E5E95_RS03675
OG0000275	NBX26_RS03650	E5E95_RS03670
OG0000276	NBX26_RS03645	E5E95_RS03665
OG0000277	NBX26_RS03635	E5E95_RS03655
OG0000278	NBX26_RS03630	E5E95_RS03650
OG0000279	NBX26_RS03620	E5E95_RS03640
OG0000280	NBX26_RS03615	E5E95_RS03635
OG0000281	NBX26_RS03610	E5E95_RS03630
OG0000282	NBX26_RS03585	E5E95_RS03605
OG0000283	NBX26_RS03580	E5E95_RS03600
OG0000284	NBX26_RS03575	E5E95_RS03595
OG0000285	NBX26_RS03570	E5E95_RS03590
OG0000286	NBX26_RS02585	E5E95_RS04305
OG0000287	NBX26_RS02680	E5E95_RS02720
OG0000288	NBX26_RS02690	E5E95_RS02730
OG0000289	NBX26_RS02695	E5E95_RS02735
OG0000290	NBX26_RS02815	E5E95_RS02845
OG0000291	NBX26_RS02800	E5E95_RS02835
OG0000292	NBX26_RS02795	E5E95_RS02830
OG0000293	NBX26_RS02785	E5E95_RS02825
OG0000294	NBX26_RS02775	E5E95_RS02815
OG0000295	NBX26_RS02770	E5E95_RS02810
OG0000296	NBX26_RS02730	E5E95_RS02770
OG0000297	NBX26_RS02725	E5E95_RS02765
OG0000298	NBX26_RS00165	E5E95_RS00165
OG0000299	NBX26_RS00190	E5E95_RS00190
OG0000300	NBX26_RS00365	E5E95_RS00370
OG0000301	NBX26_RS00400	E5E95_RS00405
OG0000302	NBX26_RS00405	E5E95_RS00410
OG0000303	NBX26_RS00560	E5E95_RS00560
OG0000304	NBX26_RS01215	E5E95_RS01095
OG0000305	NBX26_RS03055	E5E95_RS03080
OG0000306	NBX26_RS02980	E5E95_RS03005
OG0000307	NBX26_RS02940	E5E95_RS02970
OG0000308	NBX26_RS02850	E5E95_RS02875
OG0000309	NBX26_RS02760	E5E95_RS02800
OG0000310	NBX26_RS02685	E5E95_RS02725
OG0000311	NBX26_RS02645	E5E95_RS02690
OG0000312	NBX26_RS02630	E5E95_RS02675
OG0000313	NBX26_RS01720	E5E95_RS01620
OG0000314	NBX26_RS02145	E5E95_RS02075
OG0000315	NBX26_RS02115	E5E95_RS02105
OG0000316	NBX26_RS02105	E5E95_RS02115
OG0000317	NBX26_RS02005	E5E95_RS02205
OG0000318	NBX26_RS02100	E5E95_RS02120
OG0000319	NBX26_RS02380	E5E95_RS02345
OG0000320	NBX26_RS02510	E5E95_RS02570
OG0000321	NBX26_RS01455	E5E95_RS01350
OG0000322	NBX26_RS01510	E5E95_RS01395
OG0000323	NBX26_RS01640	E5E95_RS01525
OG0000324	NBX26_RS02420	E5E95_RS02385
OG0000325	NBX26_RS00710	E5E95_RS00700
OG0000326	NBX26_RS00805	E5E95_RS00795
OG0000327	NBX26_RS00810	E5E95_RS00800
OG0000328	NBX26_RS00895	E5E95_RS00885
OG0000329	NBX26_RS00920	E5E95_RS00905
OG0000330	NBX26_RS01240	E5E95_RS01120
OG0000331	NBX26_RS03145	E5E95_RS03175
OG0000332	NBX26_RS03285	E5E95_RS03320
OG0000333	NBX26_RS03295	E5E95_RS03330
OG0000334	NBX26_RS03400	E5E95_RS03440
OG0000335	NBX26_RS03410	E5E95_RS03450
OG0000336	NBX26_RS03600	E5E95_RS03620
OG0000337	NBX26_RS03765	E5E95_RS03795
OG0000338	NBX26_RS03805	E5E95_RS03835
OG0000339	NBX26_RS02485	E5E95_RS02540
OG0000340	NBX26_RS01435	E5E95_RS01330
OG0000341	NBX26_RS02445	E5E95_RS02405
OG0000342	NBX26_RS00740	E5E95_RS00730
OG0000343	NBX26_RS03305	E5E95_RS03340
OG0000344	NBX26_RS00575	E5E95_RS00575
OG0000345	NBX26_RS01160	E5E95_RS01040
OG0000346	NBX26_RS03605	E5E95_RS03625
OG0000347	NBX26_RS01535	E5E95_RS01420
OG0000348	NBX26_RS00815	E5E95_RS00805
OG0000349	NBX26_RS03665	E5E95_RS03685
OG0000350	NBX26_RS02930	E5E95_RS02960
OG0000351	NBX26_RS00485	E5E95_RS00495
OG0000352	NBX26_RS02165	E5E95_RS02050
OG0000353	NBX26_RS01500	E5E95_RS01390
OG0000354	NBX26_RS00635	E5E95_RS00635
OG0000355	NBX26_RS02190	E5E95_RS02020
OG0000356	NBX26_RS02110	E5E95_RS02110
OG0000357	NBX26_RS03260	E5E95_RS03300
OG0000358	NBX26_RS03265	E5E95_RS03305
OG0000359	NBX26_RS00785	E5E95_RS00775
OG0000360	NBX26_RS00270	E5E95_RS00275
OG0000361	NBX26_RS00300	E5E95_RS00305
OG0000362	NBX26_RS02705	E5E95_RS02745
OG0000363	NBX26_RS01575	E5E95_RS03985
OG0000364	NBX26_RS02215	E5E95_RS01995
OG0000365	NBX26_RS02065	E5E95_RS02150
OG0000366	NBX26_RS02040	E5E95_RS02175
OG0000367	NBX26_RS02025	E5E95_RS02185
OG0000368	NBX26_RS00060	E5E95_RS00060
OG0000369	NBX26_RS00025	E5E95_RS00025
OG0000370	NBX26_RS00020	E5E95_RS00020
OG0000371	NBX26_RS00015	E5E95_RS00015
OG0000372	NBX26_RS00010	E5E95_RS00010
OG0000373	NBX26_RS03795	E5E95_RS03825
OG0000374	NBX26_RS03785	E5E95_RS03815
OG0000375	NBX26_RS02375	E5E95_RS02340
OG0000376	NBX26_RS02525	E5E95_RS02585
OG0000377	NBX26_RS02515	E5E95_RS02575
OG0000378	NBX26_RS01415	E5E95_RS01310
OG0000379	NBX26_RS01495	E5E95_RS01385
OG0000380	NBX26_RS01530	E5E95_RS01410
OG0000381	NBX26_RS01565	E5E95_RS01450
OG0000382	NBX26_RS01595	E5E95_RS01480
OG0000383	NBX26_RS01635	E5E95_RS01520
OG0000384	NBX26_RS00515	E5E95_RS00515
OG0000385	NBX26_RS00525	E5E95_RS00520
OG0000386	NBX26_RS00540	E5E95_RS00540
OG0000387	NBX26_RS00565	E5E95_RS00565
OG0000388	NBX26_RS00570	E5E95_RS00570
OG0000389	NBX26_RS00615	E5E95_RS00615
OG0000390	NBX26_RS03075	E5E95_RS03100
OG0000391	NBX26_RS03065	E5E95_RS03090
OG0000392	NBX26_RS03040	E5E95_RS03065
OG0000393	NBX26_RS02985	E5E95_RS03010
OG0000394	NBX26_RS02905	E5E95_RS02940
OG0000395	NBX26_RS02900	E5E95_RS02930
OG0000397	NBX26_RS02180	E5E95_RS02035
OG0000398	NBX26_RS02175	E5E95_RS02040
OG0000399	NBX26_RS02130	E5E95_RS02090
OG0000400	NBX26_RS03225	E5E95_RS03265
OG0000401	NBX26_RS03290	E5E95_RS03325
OG0000402	NBX26_RS03300	E5E95_RS03335
OG0000403	NBX26_RS03310	E5E95_RS03345
OG0000404	NBX26_RS03345	E5E95_RS03375
OG0000405	NBX26_RS03360	E5E95_RS03390
OG0000406	NBX26_RS03415	E5E95_RS03455
OG0000407	NBX26_RS03420	E5E95_RS03460
OG0000408	NBX26_RS03425	E5E95_RS03465
OG0000409	NBX26_RS03430	E5E95_RS03470
OG0000410	NBX26_RS03505	E5E95_RS03530
OG0000411	NBX26_RS03490	E5E95_RS03520
OG0000412	NBX26_RS03485	E5E95_RS03515
OG0000413	NBX26_RS01650	E5E95_RS01535
OG0000414	NBX26_RS01660	E5E95_RS01545
OG0000415	NBX26_RS01665	E5E95_RS01550
OG0000416	NBX26_RS01675	E5E95_RS01560
OG0000417	NBX26_RS02440	E5E95_RS02400
OG0000418	NBX26_RS02430	E5E95_RS02395
OG0000419	NBX26_RS00720	E5E95_RS00710
OG0000420	NBX26_RS00755	E5E95_RS00745
OG0000421	NBX26_RS00795	E5E95_RS00780
OG0000422	NBX26_RS00800	E5E95_RS00790
OG0000423	NBX26_RS00855	E5E95_RS00845
OG0000424	NBX26_RS00860	E5E95_RS00850
OG0000425	NBX26_RS00870	E5E95_RS00860
OG0000426	NBX26_RS00875	E5E95_RS00865
OG0000427	NBX26_RS00900	E5E95_RS00890
OG0000428	NBX26_RS00925	E5E95_RS00915
OG0000429	NBX26_RS01150	E5E95_RS01030
OG0000430	NBX26_RS01195	E5E95_RS01075
OG0000431	NBX26_RS01205	E5E95_RS01085
OG0000432	NBX26_RS01235	E5E95_RS01115
OG0000433	NBX26_RS01260	E5E95_RS01130
OG0000435	NBX26_RS01270	E5E95_RS01150
OG0000437	NBX26_RS01305	E5E95_RS01190
OG0000438	NBX26_RS01310	E5E95_RS01195
OG0000439	NBX26_RS01315	E5E95_RS01200
OG0000440	NBX26_RS03125	E5E95_RS03155
OG0000441	NBX26_RS03165	E5E95_RS03195
OG0000442	NBX26_RS00135	E5E95_RS00135
OG0000443	NBX26_RS00185	E5E95_RS00185
OG0000444	NBX26_RS00200	E5E95_RS00200
OG0000445	NBX26_RS00225	E5E95_RS00225
OG0000446	NBX26_RS00250	E5E95_RS00255
OG0000447	NBX26_RS00255	E5E95_RS00260
OG0000448	NBX26_RS00290	E5E95_RS00290
OG0000449	NBX26_RS00310	E5E95_RS00315
OG0000450	NBX26_RS00320	E5E95_RS00325
OG0000451	NBX26_RS00360	E5E95_RS00365
OG0000452	NBX26_RS00385	E5E95_RS00390
OG0000453	NBX26_RS00420	E5E95_RS00425
OG0000454	NBX26_RS01695	E5E95_RS01735, E5E95_RS02455
OG0000455	NBX26_RS03710	E5E95_RS03730
OG0000456	NBX26_RS03590	E5E95_RS03610
OG0000457	NBX26_RS03565	E5E95_RS03585
OG0000458	NBX26_RS02675	E5E95_RS02715
OG0000459	NBX26_RS02700	E5E95_RS02740
OG0000460	NBX26_RS02710	E5E95_RS02750
OG0000461	NBX26_RS02755	E5E95_RS02795
OG0000462	NBX26_RS02750	E5E95_RS02790
OG0000463	NBX26_RS02745	E5E95_RS02785
OG0000464	NBX26_RS02740	E5E95_RS02780
OG0000465	NBX26_RS02735	E5E95_RS02775
OG0000466	NBX26_RS00390	E5E95_RS00395
OG0000467	NBX26_RS02855	E5E95_RS02880
OG0000468	NBX26_RS02135	E5E95_RS02085
OG0000469	NBX26_RS02075	E5E95_RS02145
OG0000470	NBX26_RS00850	E5E95_RS03895
OG0000471	NBX26_RS00930	E5E95_RS00920
OG0000472	NBX26_RS03515	E5E95_RS03540
OG0000473	NBX26_RS03695	E5E95_RS03715
OG0000474	NBX26_RS03700	E5E95_RS03720
OG0000475	NBX26_RS03705	E5E95_RS03725
OG0000476	NBX26_RS01685	E5E95_RS01570
OG0000477	NBX26_RS02780	E5E95_RS02820
OG0000478	NBX26_RS03640	E5E95_RS03660
OG0000479	NBX26_RS01450	E5E95_RS01345
OG0000480	NBX26_RS02070	E5E95_RS03865
OG0000481	NBX26_RS00825	E5E95_RS00815
OG0000482	NBX26_RS01335	E5E95_RS01230
OG0000483	NBX26_RS02020	E5E95_RS02190
OG0000484	NBX26_RS00195	E5E95_RS00195
OG0000485	NBX26_RS01300	E5E95_RS01185
OG0000486	NBX26_RS02460	E5E95_RS02420
OG0000487	NBX26_RS02095	E5E95_RS02125
OG0000488	NBX26_RS02055	E5E95_RS02160
OG0000489	NBX26_RS00050	E5E95_RS00050
OG0000490	NBX26_RS03800	E5E95_RS03830
OG0000492	NBX26_RS01555	E5E95_RS01440
OG0000493	NBX26_RS00580	E5E95_RS00580
OG0000494	NBX26_RS00640	E5E95_RS00640
OG0000495	NBX26_RS03015	E5E95_RS03035
OG0000496	NBX26_RS03000	E5E95_RS03025
OG0000497	NBX26_RS02995	E5E95_RS03020
OG0000500	NBX26_RS02170	E5E95_RS02045
OG0000501	NBX26_RS03235	E5E95_RS04280, E5E95_RS04275
OG0000502	NBX26_RS01325	E5E95_RS01220
OG0000503	NBX26_RS00770	E5E95_RS00760
OG0000504	NBX26_RS00905	E5E95_RS00895
OG0000508	NBX26_RS00245	E5E95_RS00250
OG0000511	NBX26_RS00425	E5E95_RS00430
OG0000512	NBX26_RS02715	E5E95_RS02755
OG0000513	NBX26_RS03625	E5E95_RS03645
OG0000514	NBX26_RS03035	E5E95_RS03060
OG0000515	NBX26_RS02255	E5E95_RS01580
OG0000516	NBX26_RS02090	E5E95_RS02130
OG0000517	NBX26_RS00065	E5E95_RS00065
