Orthogroup	MHP_112B_genes	MHP_LH_genes
OG0000026	NBX26_RS01490	KUD10_RS01435
OG0000026	NBX26_RS01820	KUD10_RS01750
OG0000027	NBX26_RS03535	KUD10_RS03410
OG0000027	NBX26_RS03555	KUD10_RS03425
OG0000029	NBX26_RS01225	KUD10_RS01075
OG0000029	NBX26_RS00610	KUD10_RS00620
OG0000030	NBX26_RS03525	KUD10_RS03400
OG0000030	NBX26_RS03550	KUD10_RS03420
OG0000031	NBX26_RS01990	KUD10_RS01150
OG0000032	NBX26_RS01700	KUD10_RS01640
OG0000033	NBX26_RS02570	KUD10_RS02495, KUD10_RS02480
OG0000033	NBX26_RS02555, NBX26_RS02560	KUD10_RS02490
OG0000034	NBX26_RS00985	KUD10_RS02225
OG0000034	NBX26_RS00975	KUD10_RS02230
OG0000035	NBX26_RS03375	KUD10_RS03270
OG0000035	NBX26_RS03365	KUD10_RS03250
OG0000036	NBX26_RS00120	KUD10_RS00115
OG0000037	NBX26_RS01705	KUD10_RS01645
OG0000039	NBX26_RS01735	KUD10_RS01675
OG0000042	NBX26_RS03110	KUD10_RS03010
OG0000043	NBX26_RS02185	KUD10_RS01965
OG0000044	NBX26_RS02310	KUD10_RS01860
OG0000045	NBX26_RS01745, NBX26_RS01740	KUD10_RS01680
OG0000046	NBX26_RS03470	KUD10_RS03355
OG0000047	NBX26_RS01935	KUD10_RS01210
OG0000048	NBX26_RS01920	KUD10_RS02150
OG0000049	NBX26_RS03220	KUD10_RS03120
OG0000050	NBX26_RS02610	KUD10_RS02530
OG0000051	NBX26_RS02825	KUD10_RS02740
OG0000052	NBX26_RS00080	KUD10_RS00075
OG0000053	NBX26_RS01580	KUD10_RS01520
OG0000054	NBX26_RS02635	KUD10_RS02555
OG0000055	NBX26_RS00125	KUD10_RS00135
OG0000056	NBX26_RS03730	KUD10_RS03605, KUD10_RS03600
OG0000057	NBX26_RS03095	KUD10_RS02995
OG0000058	NBX26_RS01995	KUD10_RS01145
OG0000059	NBX26_RS01985	KUD10_RS01165
OG0000061	NBX26_RS02240	KUD10_RS01920
OG0000062	NBX26_RS03775	KUD10_RS03655
OG0000063	NBX26_RS03770	KUD10_RS03650
OG0000064	NBX26_RS03760	KUD10_RS03640
OG0000065	NBX26_RS02400	KUD10_RS02315
OG0000066	NBX26_RS01480	KUD10_RS01425
OG0000068	NBX26_RS00645	KUD10_RS00655
OG0000069	NBX26_RS02990	KUD10_RS02890
OG0000070	NBX26_RS02640	KUD10_RS02560
OG0000071	NBX26_RS03445	KUD10_RS03335
OG0000072	NBX26_RS03450	KUD10_RS03340
OG0000073	NBX26_RS00715	KUD10_RS00700
OG0000074	NBX26_RS00910	KUD10_RS00895
OG0000075	NBX26_RS00335	KUD10_RS00340
OG0000077	NBX26_RS00435	KUD10_RS00440
OG0000079	NBX26_RS02720	KUD10_RS02640
OG0000080	NBX26_RS02765	KUD10_RS02690
OG0000081	NBX26_RS00330	KUD10_RS00335
OG0000083	NBX26_RS02080	KUD10_RS02070
OG0000084	NBX26_RS02050	KUD10_RS02100
OG0000085	NBX26_RS02045	KUD10_RS02105
OG0000086	NBX26_RS02030	KUD10_RS02115
OG0000087	NBX26_RS02015	KUD10_RS02130
OG0000088	NBX26_RS02010	KUD10_RS02135
OG0000089	NBX26_RS02000	KUD10_RS02145
OG0000090	NBX26_RS00070	KUD10_RS00070
OG0000091	NBX26_RS00055	KUD10_RS00055
OG0000092	NBX26_RS00040	KUD10_RS00040
OG0000093	NBX26_RS00035	KUD10_RS00035
OG0000094	NBX26_RS00030	KUD10_RS00030
OG0000095	NBX26_RS00005	KUD10_RS00005
OG0000096	NBX26_RS03810	KUD10_RS03690
OG0000097	NBX26_RS03790	KUD10_RS03670
OG0000099	NBX26_RS03735	KUD10_RS03610
OG0000100	NBX26_RS03720	KUD10_RS03590
OG0000101	NBX26_RS03715	KUD10_RS03585
OG0000102	NBX26_RS01835	KUD10_RS01765
OG0000103	NBX26_RS02365	KUD10_RS02280
OG0000104	NBX26_RS02370	KUD10_RS02285
OG0000105	NBX26_RS02390	KUD10_RS02300
OG0000106	NBX26_RS02395	KUD10_RS02310
OG0000107	NBX26_RS02405	KUD10_RS02320
OG0000108	NBX26_RS02410	KUD10_RS02325
OG0000109	NBX26_RS02415	KUD10_RS02330
OG0000110	NBX26_RS02535	KUD10_RS02450
OG0000111	NBX26_RS02530	KUD10_RS02445
OG0000112	NBX26_RS02520	KUD10_RS02435
OG0000113	NBX26_RS02500	KUD10_RS02415
OG0000114	NBX26_RS02490	KUD10_RS02405
OG0000115	NBX26_RS02480	KUD10_RS02395
OG0000116	NBX26_RS01420	KUD10_RS01370
OG0000117	NBX26_RS01425	KUD10_RS01375
OG0000118	NBX26_RS01460	KUD10_RS01410
OG0000119	NBX26_RS01470	KUD10_RS01415
OG0000120	NBX26_RS01485	KUD10_RS01430
OG0000121	NBX26_RS01515	KUD10_RS01455
OG0000122	NBX26_RS01520	KUD10_RS01460
OG0000123	NBX26_RS01540	KUD10_RS01480
OG0000124	NBX26_RS01545	KUD10_RS01485
OG0000125	NBX26_RS01550	KUD10_RS01490
OG0000126	NBX26_RS01560	KUD10_RS01500
OG0000127	NBX26_RS01570	KUD10_RS01510
OG0000128	NBX26_RS01585	KUD10_RS01525
OG0000129	NBX26_RS01590	KUD10_RS01530
OG0000130	NBX26_RS01600	KUD10_RS01540
OG0000131	NBX26_RS01630	KUD10_RS01570
OG0000132	NBX26_RS01645	KUD10_RS01585
OG0000133	NBX26_RS00530	KUD10_RS00535
OG0000134	NBX26_RS00535	KUD10_RS00540
OG0000135	NBX26_RS00550	KUD10_RS00555
OG0000136	NBX26_RS00555	KUD10_RS00560
OG0000137	NBX26_RS00595	KUD10_RS00600
OG0000138	NBX26_RS00620	KUD10_RS00630
OG0000139	NBX26_RS00650	KUD10_RS00660
OG0000140	NBX26_RS00655	KUD10_RS00665
OG0000141	NBX26_RS03105	KUD10_RS03005
OG0000142	NBX26_RS03100	KUD10_RS03000
OG0000143	NBX26_RS03085	KUD10_RS02980
OG0000144	NBX26_RS03070	KUD10_RS02970
OG0000145	NBX26_RS03060	KUD10_RS02960
OG0000146	NBX26_RS03050	KUD10_RS02950
OG0000147	NBX26_RS03045	KUD10_RS02945
OG0000148	NBX26_RS03030	KUD10_RS02930
OG0000149	NBX26_RS03020	KUD10_RS02920
OG0000150	NBX26_RS03005	KUD10_RS02905
OG0000151	NBX26_RS02955	KUD10_RS02860
OG0000152	NBX26_RS02950	KUD10_RS02855
OG0000153	NBX26_RS02945	KUD10_RS02850
OG0000154	NBX26_RS02935	KUD10_RS02840
OG0000155	NBX26_RS02895	KUD10_RS02805
OG0000156	NBX26_RS02890	KUD10_RS02795
OG0000157	NBX26_RS02880	KUD10_RS02790
OG0000158	NBX26_RS02870	KUD10_RS03710
OG0000159	NBX26_RS02625	KUD10_RS02545
OG0000160	NBX26_RS02620	KUD10_RS02540
OG0000161	NBX26_RS02615	KUD10_RS02535
OG0000162	NBX26_RS02605	KUD10_RS02525
OG0000163	NBX26_RS02600	KUD10_RS02520
OG0000164	NBX26_RS01730	KUD10_RS01670
OG0000165	NBX26_RS02160	KUD10_RS01990
OG0000166	NBX26_RS02140	KUD10_RS02010
OG0000167	NBX26_RS02125	KUD10_RS02025
OG0000168	NBX26_RS02120	KUD10_RS02030
OG0000169	NBX26_RS03215	KUD10_RS03115
OG0000170	NBX26_RS03230	KUD10_RS03130
OG0000171	NBX26_RS03240	KUD10_RS03140
OG0000172	NBX26_RS03245	KUD10_RS03145
OG0000173	NBX26_RS03250	KUD10_RS03150
OG0000174	NBX26_RS03255	KUD10_RS03155
OG0000175	NBX26_RS03270	KUD10_RS03170
OG0000176	NBX26_RS03330	KUD10_RS03215
OG0000177	NBX26_RS03335	KUD10_RS03220
OG0000178	NBX26_RS03340	KUD10_RS03225
OG0000179	NBX26_RS03350	KUD10_RS03235
OG0000180	NBX26_RS03355	KUD10_RS03240
OG0000181	NBX26_RS03395	KUD10_RS03285
OG0000182	NBX26_RS03405	KUD10_RS03295
OG0000183	NBX26_RS03440	KUD10_RS03330
OG0000184	NBX26_RS03495	KUD10_RS03375
OG0000185	NBX26_RS03480	KUD10_RS03360
OG0000186	NBX26_RS01655	KUD10_RS01595
OG0000187	NBX26_RS01670	KUD10_RS01610
OG0000188	NBX26_RS01680	KUD10_RS01620
OG0000189	NBX26_RS02455	KUD10_RS02365
OG0000190	NBX26_RS02450	KUD10_RS02360
OG0000191	NBX26_RS02425	KUD10_RS02340
OG0000192	NBX26_RS01345	KUD10_RS01290
OG0000193	NBX26_RS01330	KUD10_RS01275
OG0000194	NBX26_RS00695	KUD10_RS00685
OG0000195	NBX26_RS00700	KUD10_RS00690
OG0000196	NBX26_RS00725	KUD10_RS00710
OG0000197	NBX26_RS00735	KUD10_RS00715
OG0000198	NBX26_RS00745	KUD10_RS00730
OG0000199	NBX26_RS00750	KUD10_RS00735
OG0000200	NBX26_RS00765	KUD10_RS00750
OG0000201	NBX26_RS00775	KUD10_RS00760
OG0000202	NBX26_RS00830	KUD10_RS00815
OG0000203	NBX26_RS00835	KUD10_RS00820
OG0000204	NBX26_RS00840	KUD10_RS00825
OG0000205	NBX26_RS00845	KUD10_RS00830
OG0000206	NBX26_RS00865	KUD10_RS00850
OG0000207	NBX26_RS00880	KUD10_RS00865
OG0000208	NBX26_RS00885	KUD10_RS00870
OG0000209	NBX26_RS00890	KUD10_RS00875
OG0000210	NBX26_RS00935	KUD10_RS00920
OG0000211	NBX26_RS01080	KUD10_RS00930
OG0000212	NBX26_RS01085	KUD10_RS00940
OG0000213	NBX26_RS01090	KUD10_RS00945
OG0000214	NBX26_RS01095	KUD10_RS00950
OG0000215	NBX26_RS01100	KUD10_RS00955
OG0000216	NBX26_RS01105	KUD10_RS00960
OG0000217	NBX26_RS01110	KUD10_RS00965
OG0000218	NBX26_RS01120	KUD10_RS00975
OG0000219	NBX26_RS01125	KUD10_RS00980
OG0000220	NBX26_RS01130	KUD10_RS00985
OG0000221	NBX26_RS01135	KUD10_RS00990
OG0000222	NBX26_RS01140	KUD10_RS00995
OG0000223	NBX26_RS01145	KUD10_RS01000
OG0000224	NBX26_RS01155	KUD10_RS01010
OG0000225	NBX26_RS01165	KUD10_RS01020
OG0000226	NBX26_RS01170	KUD10_RS01025
OG0000227	NBX26_RS01175	KUD10_RS01030
OG0000228	NBX26_RS01180	KUD10_RS03740
OG0000229	NBX26_RS01185	KUD10_RS01040
OG0000230	NBX26_RS01190	KUD10_RS01045
OG0000231	NBX26_RS01200	KUD10_RS01055
OG0000232	NBX26_RS01210	KUD10_RS01065
OG0000233	NBX26_RS01230	KUD10_RS01090
OG0000234	NBX26_RS01265	KUD10_RS01125
OG0000235	NBX26_RS01275	KUD10_RS01135
OG0000236	NBX26_RS01280	KUD10_RS01140
OG0000237	NBX26_RS01285	KUD10_RS01230
OG0000238	NBX26_RS01295	KUD10_RS01235
OG0000239	NBX26_RS03115	KUD10_RS03015
OG0000240	NBX26_RS03120	KUD10_RS03020
OG0000241	NBX26_RS03130	KUD10_RS03030
OG0000242	NBX26_RS03135	KUD10_RS03035
OG0000243	NBX26_RS03140	KUD10_RS03040
OG0000244	NBX26_RS03150	KUD10_RS03050
OG0000245	NBX26_RS03160	KUD10_RS03055
OG0000246	NBX26_RS00130	KUD10_RS00140
OG0000247	NBX26_RS00140	KUD10_RS00150
OG0000248	NBX26_RS00150	KUD10_RS00160
OG0000249	NBX26_RS00155	KUD10_RS00165
OG0000250	NBX26_RS00180	KUD10_RS00180
OG0000251	NBX26_RS00210	KUD10_RS00210
OG0000252	NBX26_RS00215	KUD10_RS00220
OG0000253	NBX26_RS00220	KUD10_RS00225
OG0000254	NBX26_RS00230	KUD10_RS00235
OG0000255	NBX26_RS00235	KUD10_RS00240
OG0000256	NBX26_RS00240	KUD10_RS00245
OG0000257	NBX26_RS00265	KUD10_RS00270
OG0000258	NBX26_RS00280	KUD10_RS00280
OG0000259	NBX26_RS00305	KUD10_RS00310
OG0000260	NBX26_RS00315	KUD10_RS00320
OG0000261	NBX26_RS00325	KUD10_RS00330
OG0000262	NBX26_RS00340	KUD10_RS00345
OG0000263	NBX26_RS00355	KUD10_RS00360
OG0000264	NBX26_RS00370	KUD10_RS00375
OG0000265	NBX26_RS00380	KUD10_RS00385
OG0000266	NBX26_RS00395	KUD10_RS00400
OG0000267	NBX26_RS00410	KUD10_RS00415
OG0000268	NBX26_RS00415	KUD10_RS00420
OG0000269	NBX26_RS00430	KUD10_RS00435
OG0000270	NBX26_RS03690	KUD10_RS03560
OG0000271	NBX26_RS03685	KUD10_RS03555
OG0000272	NBX26_RS03680	KUD10_RS03550
OG0000273	NBX26_RS03675	KUD10_RS03545
OG0000274	NBX26_RS03660	KUD10_RS03525
OG0000275	NBX26_RS03650	KUD10_RS03520
OG0000276	NBX26_RS03645	KUD10_RS03515
OG0000277	NBX26_RS03635	KUD10_RS03505
OG0000278	NBX26_RS03630	KUD10_RS03500
OG0000279	NBX26_RS03620	KUD10_RS03490
OG0000280	NBX26_RS03615	KUD10_RS03485
OG0000281	NBX26_RS03610	KUD10_RS03480
OG0000282	NBX26_RS03585	KUD10_RS03455
OG0000283	NBX26_RS03580	KUD10_RS03450
OG0000284	NBX26_RS03575	KUD10_RS03445
OG0000285	NBX26_RS03570	KUD10_RS03440
OG0000286	NBX26_RS02585	KUD10_RS02505
OG0000287	NBX26_RS02680	KUD10_RS02600
OG0000288	NBX26_RS02690	KUD10_RS02610
OG0000289	NBX26_RS02695	KUD10_RS02615
OG0000290	NBX26_RS02815	KUD10_RS02730
OG0000291	NBX26_RS02800	KUD10_RS02720
OG0000292	NBX26_RS02795	KUD10_RS02715
OG0000293	NBX26_RS02785	KUD10_RS02710
OG0000294	NBX26_RS02775	KUD10_RS02700
OG0000295	NBX26_RS02770	KUD10_RS02695
OG0000296	NBX26_RS02730	KUD10_RS02650
OG0000297	NBX26_RS02725	KUD10_RS02645
OG0000298	NBX26_RS00165	KUD10_RS00175
OG0000299	NBX26_RS00190	KUD10_RS00195
OG0000300	NBX26_RS00365	KUD10_RS00370
OG0000301	NBX26_RS00400	KUD10_RS00405
OG0000302	NBX26_RS00405	KUD10_RS00410
OG0000303	NBX26_RS00560	KUD10_RS00565
OG0000304	NBX26_RS01215	KUD10_RS01070
OG0000305	NBX26_RS03055	KUD10_RS02955
OG0000306	NBX26_RS02980	KUD10_RS02880
OG0000307	NBX26_RS02940	KUD10_RS02845
OG0000308	NBX26_RS02850	KUD10_RS02750
OG0000309	NBX26_RS02760	KUD10_RS02685
OG0000310	NBX26_RS02685	KUD10_RS02605
OG0000311	NBX26_RS02645	KUD10_RS02565
OG0000312	NBX26_RS02630	KUD10_RS02550
OG0000313	NBX26_RS01720	KUD10_RS01660
OG0000314	NBX26_RS02145	KUD10_RS02005
OG0000315	NBX26_RS02115	KUD10_RS02035
OG0000316	NBX26_RS02105	KUD10_RS02045
OG0000317	NBX26_RS02005	KUD10_RS02140
OG0000318	NBX26_RS02100	KUD10_RS02050
OG0000319	NBX26_RS02380	KUD10_RS02295
OG0000320	NBX26_RS02510	KUD10_RS02425
OG0000321	NBX26_RS01455	KUD10_RS01405
OG0000322	NBX26_RS01510	KUD10_RS01450
OG0000323	NBX26_RS01640	KUD10_RS01580
OG0000324	NBX26_RS02420	KUD10_RS02335
OG0000325	NBX26_RS00710	KUD10_RS00695
OG0000326	NBX26_RS00805	KUD10_RS00790
OG0000327	NBX26_RS00810	KUD10_RS00795
OG0000328	NBX26_RS00895	KUD10_RS00880
OG0000329	NBX26_RS00920	KUD10_RS00900
OG0000330	NBX26_RS01240	KUD10_RS01100
OG0000331	NBX26_RS03145	KUD10_RS03045
OG0000332	NBX26_RS03285	KUD10_RS03180
OG0000333	NBX26_RS03295	KUD10_RS03190
OG0000334	NBX26_RS03400	KUD10_RS03290
OG0000335	NBX26_RS03410	KUD10_RS03300
OG0000336	NBX26_RS03600	KUD10_RS03470
OG0000337	NBX26_RS03765	KUD10_RS03645
OG0000338	NBX26_RS03805	KUD10_RS03685
OG0000339	NBX26_RS02485	KUD10_RS02400
OG0000340	NBX26_RS01435	KUD10_RS01385
OG0000341	NBX26_RS02445	KUD10_RS02355
OG0000342	NBX26_RS00740	KUD10_RS00725
OG0000343	NBX26_RS03305	KUD10_RS03200
OG0000344	NBX26_RS00575	KUD10_RS00580
OG0000345	NBX26_RS01160	KUD10_RS01015
OG0000346	NBX26_RS03605	KUD10_RS03475
OG0000347	NBX26_RS01535	KUD10_RS01475
OG0000348	NBX26_RS00815	KUD10_RS00800
OG0000349	NBX26_RS03665	KUD10_RS03535
OG0000350	NBX26_RS02930	KUD10_RS02835
OG0000351	NBX26_RS00485	KUD10_RS00490
OG0000352	NBX26_RS02165	KUD10_RS01985
OG0000353	NBX26_RS01500	KUD10_RS01445
OG0000354	NBX26_RS00635	KUD10_RS00645
OG0000355	NBX26_RS02190	KUD10_RS01960
OG0000356	NBX26_RS02110	KUD10_RS02040
OG0000357	NBX26_RS03260	KUD10_RS03160
OG0000358	NBX26_RS03265	KUD10_RS03165
OG0000359	NBX26_RS00785	KUD10_RS00770
OG0000360	NBX26_RS00270	KUD10_RS00275
OG0000361	NBX26_RS00300	KUD10_RS00305
OG0000362	NBX26_RS02705	KUD10_RS02625
OG0000363	NBX26_RS01575	KUD10_RS01515
OG0000365	NBX26_RS02065	KUD10_RS02085
OG0000366	NBX26_RS02040	KUD10_RS02110
OG0000367	NBX26_RS02025	KUD10_RS02120
OG0000368	NBX26_RS00060	KUD10_RS00060
OG0000369	NBX26_RS00025	KUD10_RS00025
OG0000370	NBX26_RS00020	KUD10_RS00020
OG0000371	NBX26_RS00015	KUD10_RS00015
OG0000372	NBX26_RS00010	KUD10_RS00010
OG0000373	NBX26_RS03795	KUD10_RS03675
OG0000374	NBX26_RS03785	KUD10_RS03665
OG0000375	NBX26_RS02375	KUD10_RS02290
OG0000376	NBX26_RS02525	KUD10_RS02440
OG0000377	NBX26_RS02515	KUD10_RS02430
OG0000378	NBX26_RS01415	KUD10_RS01365
OG0000379	NBX26_RS01495	KUD10_RS01440
OG0000380	NBX26_RS01530	KUD10_RS01465
OG0000381	NBX26_RS01565	KUD10_RS01505
OG0000382	NBX26_RS01595	KUD10_RS01535
OG0000383	NBX26_RS01635	KUD10_RS01575
OG0000384	NBX26_RS00515	KUD10_RS00520
OG0000385	NBX26_RS00525	KUD10_RS00525
OG0000386	NBX26_RS00540	KUD10_RS00545
OG0000387	NBX26_RS00565	KUD10_RS00570
OG0000388	NBX26_RS00570	KUD10_RS00575
OG0000389	NBX26_RS00615	KUD10_RS00625
OG0000390	NBX26_RS03075	KUD10_RS02975
OG0000391	NBX26_RS03065	KUD10_RS02965
OG0000392	NBX26_RS03040	KUD10_RS02940
OG0000393	NBX26_RS02985	KUD10_RS02885
OG0000394	NBX26_RS02905	KUD10_RS02815
OG0000395	NBX26_RS02900	KUD10_RS02810
OG0000396	NBX26_RS02590	KUD10_RS02510
OG0000397	NBX26_RS02180	KUD10_RS01970
OG0000398	NBX26_RS02175	KUD10_RS01975
OG0000399	NBX26_RS02130	KUD10_RS02020
OG0000400	NBX26_RS03225	KUD10_RS03125
OG0000401	NBX26_RS03290	KUD10_RS03185
OG0000402	NBX26_RS03300	KUD10_RS03195
OG0000403	NBX26_RS03310	KUD10_RS03205
OG0000404	NBX26_RS03345	KUD10_RS03230
OG0000405	NBX26_RS03360	KUD10_RS03245
OG0000406	NBX26_RS03415	KUD10_RS03305
OG0000407	NBX26_RS03420	KUD10_RS03310
OG0000408	NBX26_RS03425	KUD10_RS03315
OG0000409	NBX26_RS03430	KUD10_RS03320
OG0000410	NBX26_RS03505	KUD10_RS03380
OG0000411	NBX26_RS03490	KUD10_RS03370
OG0000412	NBX26_RS03485	KUD10_RS03365
OG0000413	NBX26_RS01650	KUD10_RS01590
OG0000414	NBX26_RS01660	KUD10_RS01600
OG0000415	NBX26_RS01665	KUD10_RS01605
OG0000416	NBX26_RS01675	KUD10_RS01615
OG0000417	NBX26_RS02440	KUD10_RS02350
OG0000418	NBX26_RS02430	KUD10_RS02345
OG0000419	NBX26_RS00720	KUD10_RS00705
OG0000420	NBX26_RS00755	KUD10_RS00740
OG0000421	NBX26_RS00795	KUD10_RS00775
OG0000422	NBX26_RS00800	KUD10_RS00785
OG0000423	NBX26_RS00855	KUD10_RS00840
OG0000424	NBX26_RS00860	KUD10_RS00845
OG0000425	NBX26_RS00870	KUD10_RS00855
OG0000426	NBX26_RS00875	KUD10_RS00860
OG0000427	NBX26_RS00900	KUD10_RS00885
OG0000428	NBX26_RS00925	KUD10_RS00910
OG0000429	NBX26_RS01150	KUD10_RS01005
OG0000430	NBX26_RS01195	KUD10_RS01050
OG0000431	NBX26_RS01205	KUD10_RS01060
OG0000432	NBX26_RS01235	KUD10_RS01095
OG0000433	NBX26_RS01260	KUD10_RS01110
OG0000435	NBX26_RS01270	KUD10_RS01130
OG0000437	NBX26_RS01305	KUD10_RS01250
OG0000438	NBX26_RS01310	KUD10_RS01255
OG0000439	NBX26_RS01315	KUD10_RS01260
OG0000440	NBX26_RS03125	KUD10_RS03025
OG0000441	NBX26_RS03165	KUD10_RS03060
OG0000442	NBX26_RS00135	KUD10_RS00145
OG0000443	NBX26_RS00185	KUD10_RS00190
OG0000444	NBX26_RS00200	KUD10_RS00205
OG0000445	NBX26_RS00225	KUD10_RS00230
OG0000446	NBX26_RS00250	KUD10_RS00255
OG0000447	NBX26_RS00255	KUD10_RS00260
OG0000448	NBX26_RS00290	KUD10_RS00290
OG0000449	NBX26_RS00310	KUD10_RS00315
OG0000450	NBX26_RS00320	KUD10_RS00325
OG0000451	NBX26_RS00360	KUD10_RS00365
OG0000452	NBX26_RS00385	KUD10_RS00390
OG0000453	NBX26_RS00420	KUD10_RS00425
OG0000454	NBX26_RS01695	KUD10_RS01220
OG0000454	NBX26_RS01760	KUD10_RS01690
OG0000455	NBX26_RS03710	KUD10_RS03580
OG0000456	NBX26_RS03590	KUD10_RS03460
OG0000457	NBX26_RS03565	KUD10_RS03435
OG0000458	NBX26_RS02675	KUD10_RS02595
OG0000459	NBX26_RS02700	KUD10_RS02620
OG0000460	NBX26_RS02710	KUD10_RS02630
OG0000461	NBX26_RS02755	KUD10_RS02680
OG0000462	NBX26_RS02750	KUD10_RS02670
OG0000463	NBX26_RS02745	KUD10_RS02665
OG0000464	NBX26_RS02740	KUD10_RS02660
OG0000465	NBX26_RS02735	KUD10_RS02655
OG0000466	NBX26_RS00390	KUD10_RS00395
OG0000467	NBX26_RS02855	KUD10_RS02760
OG0000468	NBX26_RS02135	KUD10_RS02015
OG0000469	NBX26_RS02075	KUD10_RS02075
OG0000470	NBX26_RS00850	KUD10_RS00835
OG0000471	NBX26_RS00930	KUD10_RS00915
OG0000472	NBX26_RS03515	KUD10_RS03390
OG0000473	NBX26_RS03695	KUD10_RS03565
OG0000474	NBX26_RS03700	KUD10_RS03570
OG0000475	NBX26_RS03705	KUD10_RS03575
OG0000476	NBX26_RS01685	KUD10_RS01625
OG0000477	NBX26_RS02780	KUD10_RS02705
OG0000478	NBX26_RS03640	KUD10_RS03510
OG0000479	NBX26_RS01450	KUD10_RS01400
OG0000480	NBX26_RS02070	KUD10_RS02080
OG0000481	NBX26_RS00825	KUD10_RS00810
OG0000482	NBX26_RS01335	KUD10_RS01280
OG0000483	NBX26_RS02020	KUD10_RS02125
OG0000484	NBX26_RS00195	KUD10_RS00200
OG0000485	NBX26_RS01300	KUD10_RS01245
OG0000486	NBX26_RS02460	KUD10_RS02370
OG0000487	NBX26_RS02095	KUD10_RS02055
OG0000488	NBX26_RS02055	KUD10_RS02095
OG0000489	NBX26_RS00050	KUD10_RS00050
OG0000490	NBX26_RS03800	KUD10_RS03680
OG0000492	NBX26_RS01555	KUD10_RS01495
OG0000493	NBX26_RS00580	KUD10_RS00585
OG0000494	NBX26_RS00640	KUD10_RS00650
OG0000495	NBX26_RS03015	KUD10_RS02910
OG0000496	NBX26_RS03000	KUD10_RS02900
OG0000497	NBX26_RS02995	KUD10_RS02895
OG0000498	NBX26_RS02910	KUD10_RS02820
OG0000499	NBX26_RS02875	KUD10_RS02785
OG0000500	NBX26_RS02170	KUD10_RS01980
OG0000501	NBX26_RS03235	KUD10_RS03135
OG0000502	NBX26_RS01325	KUD10_RS01270
OG0000503	NBX26_RS00770	KUD10_RS00755
OG0000504	NBX26_RS00905	KUD10_RS00890
OG0000505	NBX26_RS01070	KUD10_RS00925
OG0000507	NBX26_RS01115	KUD10_RS00970
OG0000508	NBX26_RS00245	KUD10_RS00250
OG0000511	NBX26_RS00425	KUD10_RS00430
OG0000512	NBX26_RS02715	KUD10_RS02635
OG0000513	NBX26_RS03625	KUD10_RS03495
OG0000514	NBX26_RS03035	KUD10_RS02935
OG0000516	NBX26_RS02090	KUD10_RS02060
OG0000517	NBX26_RS00065	KUD10_RS00065
OG0000518	NBX26_RS03275	KUD10_RS03175
OG0000521	NBX26_RS00260	KUD10_RS00265
OG0000522	NBX26_RS00295	KUD10_RS00300
