Orthogroup	MHP_112B_genes	MHP_Ue273_genes
OG0000046	NBX26_RS03470	VQY17_RS03280
OG0000046	NBX26_RS03475, NBX26_RS03465, NBX26_RS03460	VQY17_RS03285
OG0000048	NBX26_RS01920	VQY17_RS02180
OG0000049	NBX26_RS03220	VQY17_RS03040
OG0000050	NBX26_RS02610	VQY17_RS02445
OG0000051	NBX26_RS02825	VQY17_RS02645
OG0000052	NBX26_RS00080, NBX26_RS00075	VQY17_RS00075
OG0000053	NBX26_RS01580	VQY17_RS01470
OG0000054	NBX26_RS02635	VQY17_RS02470
OG0000055	NBX26_RS00125	VQY17_RS00135
OG0000056	NBX26_RS03730	VQY17_RS03535
OG0000057	NBX26_RS03095	VQY17_RS02900, VQY17_RS02905
OG0000060	NBX26_RS00085	VQY17_RS00080
OG0000061	NBX26_RS02240	VQY17_RS01930
OG0000062	NBX26_RS03775	VQY17_RS03585
OG0000063	NBX26_RS03770	VQY17_RS03580
OG0000064	NBX26_RS03760	VQY17_RS03570
OG0000065	NBX26_RS02400	VQY17_RS02255
OG0000066	NBX26_RS01480	VQY17_RS01370
OG0000068	NBX26_RS00645	VQY17_RS00645
OG0000069	NBX26_RS02990	VQY17_RS02795
OG0000070	NBX26_RS02640	VQY17_RS02475
OG0000071	NBX26_RS03445	VQY17_RS03260
OG0000072	NBX26_RS03450	VQY17_RS03265
OG0000073	NBX26_RS00715	VQY17_RS00705
OG0000074	NBX26_RS00910	VQY17_RS00910
OG0000075	NBX26_RS00335	VQY17_RS00345
OG0000076	NBX26_RS00350	VQY17_RS00360
OG0000077	NBX26_RS00435	VQY17_RS00445
OG0000078	NBX26_RS01810	VQY17_RS01715
OG0000079	NBX26_RS02720	VQY17_RS02550
OG0000080	NBX26_RS02765	VQY17_RS02595
OG0000081	NBX26_RS00330	VQY17_RS00340
OG0000083	NBX26_RS02080	VQY17_RS02095
OG0000084	NBX26_RS02050	VQY17_RS02125
OG0000085	NBX26_RS02045	VQY17_RS02135
OG0000086	NBX26_RS02030	VQY17_RS02145
OG0000087	NBX26_RS02015	VQY17_RS02160
OG0000088	NBX26_RS02010	VQY17_RS02165
OG0000089	NBX26_RS02000	VQY17_RS02175
OG0000090	NBX26_RS00070	VQY17_RS00070
OG0000091	NBX26_RS00055	VQY17_RS00055
OG0000092	NBX26_RS00040	VQY17_RS00040
OG0000093	NBX26_RS00035	VQY17_RS00035
OG0000094	NBX26_RS00030	VQY17_RS00030
OG0000095	NBX26_RS00005	VQY17_RS00005
OG0000096	NBX26_RS03810	VQY17_RS03620
OG0000097	NBX26_RS03790	VQY17_RS03600
OG0000098	NBX26_RS03780	VQY17_RS03590
OG0000099	NBX26_RS03735	VQY17_RS03540
OG0000100	NBX26_RS03720	VQY17_RS03525
OG0000101	NBX26_RS03715	VQY17_RS03520
OG0000102	NBX26_RS01835	VQY17_RS01750
OG0000103	NBX26_RS02365	VQY17_RS02220
OG0000104	NBX26_RS02370	VQY17_RS02225
OG0000105	NBX26_RS02390	VQY17_RS02240
OG0000106	NBX26_RS02395	VQY17_RS02250
OG0000107	NBX26_RS02405	VQY17_RS02260
OG0000108	NBX26_RS02410	VQY17_RS02265
OG0000109	NBX26_RS02415	VQY17_RS02270
OG0000110	NBX26_RS02535	VQY17_RS02390
OG0000111	NBX26_RS02530	VQY17_RS02385
OG0000112	NBX26_RS02520	VQY17_RS02375
OG0000113	NBX26_RS02500	VQY17_RS02355
OG0000114	NBX26_RS02490	VQY17_RS02345
OG0000115	NBX26_RS02480	VQY17_RS02335
OG0000116	NBX26_RS01420	VQY17_RS01315
OG0000117	NBX26_RS01425	VQY17_RS01320
OG0000118	NBX26_RS01460	VQY17_RS01355
OG0000119	NBX26_RS01470	VQY17_RS01360
OG0000120	NBX26_RS01485	VQY17_RS01375
OG0000121	NBX26_RS01515	VQY17_RS01405
OG0000122	NBX26_RS01520	VQY17_RS01410
OG0000123	NBX26_RS01540	VQY17_RS01430
OG0000124	NBX26_RS01545	VQY17_RS01435
OG0000125	NBX26_RS01550	VQY17_RS01440
OG0000126	NBX26_RS01560	VQY17_RS01455
OG0000127	NBX26_RS01570	VQY17_RS01460
OG0000128	NBX26_RS01585	VQY17_RS01475
OG0000129	NBX26_RS01590	VQY17_RS01480
OG0000130	NBX26_RS01600	VQY17_RS01490
OG0000131	NBX26_RS01630	VQY17_RS01520
OG0000132	NBX26_RS01645	VQY17_RS01535
OG0000133	NBX26_RS00530	VQY17_RS00530
OG0000134	NBX26_RS00535	VQY17_RS00535
OG0000135	NBX26_RS00550	VQY17_RS00550
OG0000136	NBX26_RS00555	VQY17_RS00555
OG0000137	NBX26_RS00595	VQY17_RS00595
OG0000138	NBX26_RS00620	VQY17_RS00620
OG0000139	NBX26_RS00650	VQY17_RS00650
OG0000140	NBX26_RS00655	VQY17_RS00655
OG0000141	NBX26_RS03105	VQY17_RS02915
OG0000142	NBX26_RS03100	VQY17_RS02910
OG0000143	NBX26_RS03085	VQY17_RS02885
OG0000144	NBX26_RS03070	VQY17_RS02875
OG0000145	NBX26_RS03060	VQY17_RS02865
OG0000146	NBX26_RS03050	VQY17_RS02855
OG0000147	NBX26_RS03045	VQY17_RS02850
OG0000148	NBX26_RS03030	VQY17_RS02835
OG0000149	NBX26_RS03020	VQY17_RS02825
OG0000150	NBX26_RS03005	VQY17_RS02810
OG0000151	NBX26_RS02955	VQY17_RS02760
OG0000152	NBX26_RS02950	VQY17_RS02755
OG0000153	NBX26_RS02945	VQY17_RS02750
OG0000154	NBX26_RS02935	VQY17_RS02740
OG0000155	NBX26_RS02895	VQY17_RS02705
OG0000156	NBX26_RS02890	VQY17_RS02695
OG0000157	NBX26_RS02880	VQY17_RS02690
OG0000158	NBX26_RS02870	VQY17_RS02680
OG0000159	NBX26_RS02625	VQY17_RS02460
OG0000160	NBX26_RS02620	VQY17_RS02455
OG0000161	NBX26_RS02615	VQY17_RS02450
OG0000162	NBX26_RS02605	VQY17_RS02440
OG0000163	NBX26_RS02600	VQY17_RS02435
OG0000164	NBX26_RS01730	VQY17_RS01640
OG0000165	NBX26_RS02160	VQY17_RS02015
OG0000166	NBX26_RS02140	VQY17_RS02035
OG0000167	NBX26_RS02125	VQY17_RS02050
OG0000168	NBX26_RS02120	VQY17_RS02055
OG0000169	NBX26_RS03215	VQY17_RS03035
OG0000170	NBX26_RS03230	VQY17_RS03050
OG0000171	NBX26_RS03240	VQY17_RS03060
OG0000172	NBX26_RS03245	VQY17_RS03065
OG0000173	NBX26_RS03250	VQY17_RS03070
OG0000174	NBX26_RS03255	VQY17_RS03075
OG0000175	NBX26_RS03270	VQY17_RS03090
OG0000176	NBX26_RS03330	VQY17_RS03135
OG0000177	NBX26_RS03335	VQY17_RS03140
OG0000178	NBX26_RS03340	VQY17_RS03145
OG0000179	NBX26_RS03350	VQY17_RS03155
OG0000180	NBX26_RS03355	VQY17_RS03160
OG0000181	NBX26_RS03395	VQY17_RS03210
OG0000182	NBX26_RS03405	VQY17_RS03220
OG0000183	NBX26_RS03440	VQY17_RS03255
OG0000184	NBX26_RS03495	VQY17_RS03305
OG0000185	NBX26_RS03480	VQY17_RS03290
OG0000186	NBX26_RS01655	VQY17_RS01545
OG0000187	NBX26_RS01670	VQY17_RS01560
OG0000188	NBX26_RS01680	VQY17_RS01570
OG0000189	NBX26_RS02455	VQY17_RS02305
OG0000190	NBX26_RS02450	VQY17_RS02300
OG0000191	NBX26_RS02425	VQY17_RS02280
OG0000192	NBX26_RS01345	VQY17_RS01240
OG0000193	NBX26_RS01330	VQY17_RS01230
OG0000194	NBX26_RS00695	VQY17_RS00690
OG0000195	NBX26_RS00700	VQY17_RS00695
OG0000196	NBX26_RS00725	VQY17_RS00715
OG0000197	NBX26_RS00735	VQY17_RS00720
OG0000198	NBX26_RS00745	VQY17_RS00735
OG0000199	NBX26_RS00750	VQY17_RS00740
OG0000200	NBX26_RS00765	VQY17_RS00755
OG0000201	NBX26_RS00775	VQY17_RS00765
OG0000202	NBX26_RS00830	VQY17_RS00825
OG0000203	NBX26_RS00835	VQY17_RS00830
OG0000204	NBX26_RS00840	VQY17_RS00835
OG0000205	NBX26_RS00845	VQY17_RS00840
OG0000206	NBX26_RS00865	VQY17_RS00860
OG0000207	NBX26_RS00880	VQY17_RS00875
OG0000208	NBX26_RS00885	VQY17_RS00880
OG0000209	NBX26_RS00890	VQY17_RS00885
OG0000210	NBX26_RS00935	VQY17_RS00935
OG0000211	NBX26_RS01080	VQY17_RS00970
OG0000212	NBX26_RS01085	VQY17_RS00980
OG0000213	NBX26_RS01090	VQY17_RS00985
OG0000214	NBX26_RS01095	VQY17_RS00990
OG0000215	NBX26_RS01100	VQY17_RS00995
OG0000216	NBX26_RS01105	VQY17_RS01000
OG0000217	NBX26_RS01110	VQY17_RS01005
OG0000218	NBX26_RS01120	VQY17_RS01015
OG0000219	NBX26_RS01125	VQY17_RS01020
OG0000220	NBX26_RS01130	VQY17_RS01025
OG0000221	NBX26_RS01135	VQY17_RS01030
OG0000222	NBX26_RS01140	VQY17_RS01035
OG0000223	NBX26_RS01145	VQY17_RS01040
OG0000224	NBX26_RS01155	VQY17_RS01050
OG0000225	NBX26_RS01165	VQY17_RS01060
OG0000226	NBX26_RS01170	VQY17_RS01065
OG0000227	NBX26_RS01175	VQY17_RS01070
OG0000228	NBX26_RS01180	VQY17_RS01075
OG0000229	NBX26_RS01185	VQY17_RS01080
OG0000230	NBX26_RS01190	VQY17_RS01085
OG0000231	NBX26_RS01200	VQY17_RS01095
OG0000232	NBX26_RS01210	VQY17_RS01105
OG0000233	NBX26_RS01230	VQY17_RS01125
OG0000234	NBX26_RS01265	VQY17_RS01165
OG0000235	NBX26_RS01275	VQY17_RS01175
OG0000236	NBX26_RS01280	VQY17_RS01180
OG0000237	NBX26_RS01285	VQY17_RS01185
OG0000238	NBX26_RS01295	VQY17_RS01190
OG0000239	NBX26_RS03115	VQY17_RS02930
OG0000240	NBX26_RS03120	VQY17_RS02935
OG0000241	NBX26_RS03130	VQY17_RS02945
OG0000242	NBX26_RS03135	VQY17_RS02950
OG0000243	NBX26_RS03140	VQY17_RS02955
OG0000244	NBX26_RS03150	VQY17_RS02965
OG0000245	NBX26_RS03160	VQY17_RS02970
OG0000246	NBX26_RS00130	VQY17_RS00140
OG0000247	NBX26_RS00140	VQY17_RS00150
OG0000248	NBX26_RS00150	VQY17_RS00160
OG0000249	NBX26_RS00155	VQY17_RS00165
OG0000250	NBX26_RS00180	VQY17_RS00180
OG0000251	NBX26_RS00210	VQY17_RS00210
OG0000252	NBX26_RS00215	VQY17_RS00220
OG0000253	NBX26_RS00220	VQY17_RS00225
OG0000254	NBX26_RS00230	VQY17_RS00235
OG0000255	NBX26_RS00235	VQY17_RS00245
OG0000256	NBX26_RS00240	VQY17_RS00250
OG0000257	NBX26_RS00265	VQY17_RS00275
OG0000258	NBX26_RS00280	VQY17_RS00285
OG0000259	NBX26_RS00305	VQY17_RS00315
OG0000260	NBX26_RS00315	VQY17_RS00325
OG0000261	NBX26_RS00325	VQY17_RS00335
OG0000262	NBX26_RS00340	VQY17_RS00350
OG0000263	NBX26_RS00355	VQY17_RS00365
OG0000264	NBX26_RS00370	VQY17_RS00380
OG0000265	NBX26_RS00380	VQY17_RS00390
OG0000266	NBX26_RS00395	VQY17_RS00405
OG0000267	NBX26_RS00410	VQY17_RS00420
OG0000268	NBX26_RS00415	VQY17_RS00425
OG0000269	NBX26_RS00430	VQY17_RS00440
OG0000270	NBX26_RS03690	VQY17_RS03495
OG0000271	NBX26_RS03685	VQY17_RS03490
OG0000272	NBX26_RS03680	VQY17_RS03485
OG0000273	NBX26_RS03675	VQY17_RS03480
OG0000274	NBX26_RS03660	VQY17_RS03460
OG0000275	NBX26_RS03650	VQY17_RS03455
OG0000276	NBX26_RS03645	VQY17_RS03450
OG0000277	NBX26_RS03635	VQY17_RS03435
OG0000278	NBX26_RS03630	VQY17_RS03430
OG0000279	NBX26_RS03620	VQY17_RS03420
OG0000280	NBX26_RS03615	VQY17_RS03415
OG0000281	NBX26_RS03610	VQY17_RS03410
OG0000282	NBX26_RS03585	VQY17_RS03380
OG0000283	NBX26_RS03580	VQY17_RS03375
OG0000284	NBX26_RS03575	VQY17_RS03370
OG0000285	NBX26_RS03570	VQY17_RS03365
OG0000286	NBX26_RS02585	VQY17_RS02420
OG0000287	NBX26_RS02680	VQY17_RS02510
OG0000288	NBX26_RS02690	VQY17_RS02520
OG0000289	NBX26_RS02695	VQY17_RS02525
OG0000290	NBX26_RS02815	VQY17_RS02635
OG0000291	NBX26_RS02800	VQY17_RS02625
OG0000292	NBX26_RS02795	VQY17_RS02620
OG0000293	NBX26_RS02785	VQY17_RS02615
OG0000294	NBX26_RS02775	VQY17_RS02605
OG0000295	NBX26_RS02770	VQY17_RS02600
OG0000296	NBX26_RS02730	VQY17_RS02560
OG0000297	NBX26_RS02725	VQY17_RS02555
OG0000298	NBX26_RS00165	VQY17_RS00175
OG0000299	NBX26_RS00190	VQY17_RS00195
OG0000300	NBX26_RS00365	VQY17_RS00375
OG0000301	NBX26_RS00400	VQY17_RS00410
OG0000302	NBX26_RS00405	VQY17_RS00415
OG0000303	NBX26_RS00560	VQY17_RS00560
OG0000304	NBX26_RS01215	VQY17_RS01110
OG0000305	NBX26_RS03055	VQY17_RS02860
OG0000306	NBX26_RS02980	VQY17_RS02785
OG0000307	NBX26_RS02940	VQY17_RS02745
OG0000308	NBX26_RS02850	VQY17_RS02655
OG0000309	NBX26_RS02760	VQY17_RS02590
OG0000310	NBX26_RS02685	VQY17_RS02515
OG0000311	NBX26_RS02645	VQY17_RS02480
OG0000312	NBX26_RS02630	VQY17_RS02465
OG0000313	NBX26_RS01720	VQY17_RS01630
OG0000314	NBX26_RS02145	VQY17_RS02030
OG0000315	NBX26_RS02115	VQY17_RS02060
OG0000316	NBX26_RS02105	VQY17_RS02070
OG0000317	NBX26_RS02005	VQY17_RS02170
OG0000318	NBX26_RS02100	VQY17_RS02075
OG0000319	NBX26_RS02380	VQY17_RS02235
OG0000320	NBX26_RS02510	VQY17_RS02365
OG0000321	NBX26_RS01455	VQY17_RS01350
OG0000322	NBX26_RS01510	VQY17_RS01400
OG0000323	NBX26_RS01640	VQY17_RS01530
OG0000324	NBX26_RS02420	VQY17_RS02275
OG0000325	NBX26_RS00710	VQY17_RS00700
OG0000326	NBX26_RS00805	VQY17_RS00800
OG0000327	NBX26_RS00810	VQY17_RS00805
OG0000328	NBX26_RS00895	VQY17_RS00890
OG0000329	NBX26_RS00920	VQY17_RS00915
OG0000330	NBX26_RS01240	VQY17_RS01135
OG0000331	NBX26_RS03145	VQY17_RS02960
OG0000332	NBX26_RS03285	VQY17_RS03100
OG0000333	NBX26_RS03295	VQY17_RS03110
OG0000334	NBX26_RS03400	VQY17_RS03215
OG0000335	NBX26_RS03410	VQY17_RS03225
OG0000336	NBX26_RS03600	VQY17_RS03400
OG0000337	NBX26_RS03765	VQY17_RS03575
OG0000338	NBX26_RS03805	VQY17_RS03615
OG0000339	NBX26_RS02485	VQY17_RS02340
OG0000340	NBX26_RS01435	VQY17_RS01330
OG0000341	NBX26_RS02445	VQY17_RS02295
OG0000342	NBX26_RS00740	VQY17_RS00730
OG0000343	NBX26_RS03305	VQY17_RS03120
OG0000344	NBX26_RS00575	VQY17_RS00575
OG0000345	NBX26_RS01160	VQY17_RS01055
OG0000346	NBX26_RS03605	VQY17_RS03405
OG0000347	NBX26_RS01535	VQY17_RS01425
OG0000348	NBX26_RS00815	VQY17_RS00810
OG0000349	NBX26_RS03665	VQY17_RS03470
OG0000350	NBX26_RS02930	VQY17_RS02735
OG0000351	NBX26_RS00485	VQY17_RS00495
OG0000352	NBX26_RS02165	VQY17_RS02010
OG0000353	NBX26_RS01500	VQY17_RS01390
OG0000354	NBX26_RS00635	VQY17_RS00635
OG0000355	NBX26_RS02190	VQY17_RS01985
OG0000356	NBX26_RS02110	VQY17_RS02065
OG0000357	NBX26_RS03260	VQY17_RS03080
OG0000358	NBX26_RS03265	VQY17_RS03085
OG0000359	NBX26_RS00785	VQY17_RS00780
OG0000360	NBX26_RS00270	VQY17_RS00280
OG0000361	NBX26_RS00300	VQY17_RS00310
OG0000362	NBX26_RS02705	VQY17_RS02535
OG0000363	NBX26_RS01575	VQY17_RS01465
OG0000364	NBX26_RS02215	VQY17_RS01955
OG0000365	NBX26_RS02065	VQY17_RS02110
OG0000366	NBX26_RS02040	VQY17_RS02140
OG0000367	NBX26_RS02025	VQY17_RS02150
OG0000368	NBX26_RS00060	VQY17_RS00060
OG0000369	NBX26_RS00025	VQY17_RS00025
OG0000370	NBX26_RS00020	VQY17_RS00020
OG0000371	NBX26_RS00015	VQY17_RS00015
OG0000372	NBX26_RS00010	VQY17_RS00010
OG0000373	NBX26_RS03795	VQY17_RS03605
OG0000374	NBX26_RS03785	VQY17_RS03595
OG0000375	NBX26_RS02375	VQY17_RS02230
OG0000376	NBX26_RS02525	VQY17_RS02380
OG0000377	NBX26_RS02515	VQY17_RS02370
OG0000378	NBX26_RS01415	VQY17_RS01310
OG0000379	NBX26_RS01495	VQY17_RS01385
OG0000380	NBX26_RS01530	VQY17_RS01415
OG0000382	NBX26_RS01595	VQY17_RS01485
OG0000383	NBX26_RS01635	VQY17_RS01525
OG0000384	NBX26_RS00515	VQY17_RS00515
OG0000385	NBX26_RS00525	VQY17_RS00520
OG0000386	NBX26_RS00540	VQY17_RS00540
OG0000387	NBX26_RS00565	VQY17_RS00565
OG0000388	NBX26_RS00570	VQY17_RS00570
OG0000389	NBX26_RS00615	VQY17_RS00615
OG0000390	NBX26_RS03075	VQY17_RS02880
OG0000391	NBX26_RS03065	VQY17_RS02870
OG0000392	NBX26_RS03040	VQY17_RS02845
OG0000393	NBX26_RS02985	VQY17_RS02790
OG0000394	NBX26_RS02905	VQY17_RS02715
OG0000395	NBX26_RS02900	VQY17_RS02710
OG0000396	NBX26_RS02590	VQY17_RS02425
OG0000397	NBX26_RS02180	VQY17_RS01995
OG0000398	NBX26_RS02175	VQY17_RS02000
OG0000399	NBX26_RS02130	VQY17_RS02045
OG0000400	NBX26_RS03225	VQY17_RS03045
OG0000401	NBX26_RS03290	VQY17_RS03105
OG0000402	NBX26_RS03300	VQY17_RS03115
OG0000403	NBX26_RS03310	VQY17_RS03125
OG0000404	NBX26_RS03345	VQY17_RS03150
OG0000405	NBX26_RS03360	VQY17_RS03165
OG0000406	NBX26_RS03415	VQY17_RS03230
OG0000407	NBX26_RS03420	VQY17_RS03235
OG0000408	NBX26_RS03425	VQY17_RS03240
OG0000409	NBX26_RS03430	VQY17_RS03245
OG0000410	NBX26_RS03505	VQY17_RS03310
OG0000411	NBX26_RS03490	VQY17_RS03300
OG0000412	NBX26_RS03485	VQY17_RS03295
OG0000413	NBX26_RS01650	VQY17_RS01540
OG0000414	NBX26_RS01660	VQY17_RS01550
OG0000415	NBX26_RS01665	VQY17_RS01555
OG0000416	NBX26_RS01675	VQY17_RS01565
OG0000417	NBX26_RS02440	VQY17_RS02290
OG0000418	NBX26_RS02430	VQY17_RS02285
OG0000419	NBX26_RS00720	VQY17_RS00710
OG0000420	NBX26_RS00755	VQY17_RS00745
OG0000421	NBX26_RS00795	VQY17_RS00785
OG0000422	NBX26_RS00800	VQY17_RS00795
OG0000423	NBX26_RS00855	VQY17_RS00850
OG0000424	NBX26_RS00860	VQY17_RS00855
OG0000425	NBX26_RS00870	VQY17_RS00865
OG0000426	NBX26_RS00875	VQY17_RS00870
OG0000427	NBX26_RS00900	VQY17_RS00900
OG0000428	NBX26_RS00925	VQY17_RS00925
OG0000429	NBX26_RS01150	VQY17_RS01045
OG0000430	NBX26_RS01195	VQY17_RS01090
OG0000431	NBX26_RS01205	VQY17_RS01100
OG0000432	NBX26_RS01235	VQY17_RS01130
OG0000433	NBX26_RS01260	VQY17_RS01145
OG0000435	NBX26_RS01270	VQY17_RS01170
OG0000438	NBX26_RS01310	VQY17_RS01210
OG0000439	NBX26_RS01315	VQY17_RS01215
OG0000440	NBX26_RS03125	VQY17_RS02940
OG0000441	NBX26_RS03165	VQY17_RS02975
OG0000442	NBX26_RS00135	VQY17_RS00145
OG0000443	NBX26_RS00185	VQY17_RS00190
OG0000444	NBX26_RS00200	VQY17_RS00205
OG0000445	NBX26_RS00225	VQY17_RS00230
OG0000446	NBX26_RS00250	VQY17_RS00260
OG0000447	NBX26_RS00255	VQY17_RS00265
OG0000448	NBX26_RS00290	VQY17_RS00295
OG0000449	NBX26_RS00310	VQY17_RS00320
OG0000450	NBX26_RS00320	VQY17_RS00330
OG0000451	NBX26_RS00360	VQY17_RS00370
OG0000452	NBX26_RS00385	VQY17_RS00395
OG0000453	NBX26_RS00420	VQY17_RS00430
OG0000454	NBX26_RS01695	VQY17_RS01595
OG0000455	NBX26_RS03710	VQY17_RS03515
OG0000456	NBX26_RS03590	VQY17_RS03390
OG0000458	NBX26_RS02675	VQY17_RS02505
OG0000459	NBX26_RS02700	VQY17_RS02530
OG0000460	NBX26_RS02710	VQY17_RS02540
OG0000461	NBX26_RS02755	VQY17_RS02585
OG0000462	NBX26_RS02750	VQY17_RS02580
OG0000463	NBX26_RS02745	VQY17_RS02575
OG0000464	NBX26_RS02740	VQY17_RS02570
OG0000465	NBX26_RS02735	VQY17_RS02565
OG0000466	NBX26_RS00390	VQY17_RS00400
OG0000467	NBX26_RS02855	VQY17_RS02665
OG0000468	NBX26_RS02135	VQY17_RS02040
OG0000469	NBX26_RS02075	VQY17_RS02100
OG0000470	NBX26_RS00850	VQY17_RS00845
OG0000471	NBX26_RS00930	VQY17_RS00930
OG0000472	NBX26_RS03515	VQY17_RS03320
OG0000473	NBX26_RS03695	VQY17_RS03500
OG0000474	NBX26_RS03700	VQY17_RS03505
OG0000475	NBX26_RS03705	VQY17_RS03510
OG0000476	NBX26_RS01685	VQY17_RS01575
OG0000477	NBX26_RS02780	VQY17_RS02610
OG0000478	NBX26_RS03640	VQY17_RS03445
OG0000479	NBX26_RS01450	VQY17_RS01345
OG0000480	NBX26_RS02070	VQY17_RS02105
OG0000481	NBX26_RS00825	VQY17_RS00820
OG0000482	NBX26_RS01335	VQY17_RS01235
OG0000483	NBX26_RS02020	VQY17_RS02155
OG0000484	NBX26_RS00195	VQY17_RS00200
OG0000485	NBX26_RS01300	VQY17_RS01205
OG0000486	NBX26_RS02460	VQY17_RS02310
OG0000487	NBX26_RS02095	VQY17_RS02080
OG0000488	NBX26_RS02055	VQY17_RS02120
OG0000489	NBX26_RS00050	VQY17_RS00050
OG0000490	NBX26_RS03800	VQY17_RS03610
OG0000492	NBX26_RS01555	VQY17_RS01445
OG0000493	NBX26_RS00580	VQY17_RS00580
OG0000494	NBX26_RS00640	VQY17_RS00640
OG0000495	NBX26_RS03015	VQY17_RS02815
OG0000496	NBX26_RS03000	VQY17_RS02805
OG0000497	NBX26_RS02995	VQY17_RS02800
OG0000498	NBX26_RS02910	VQY17_RS02720
OG0000499	NBX26_RS02875	VQY17_RS02685
OG0000500	NBX26_RS02170	VQY17_RS02005
OG0000501	NBX26_RS03235	VQY17_RS03055
OG0000502	NBX26_RS01325	VQY17_RS01225
OG0000503	NBX26_RS00770	VQY17_RS00760
OG0000504	NBX26_RS00905	VQY17_RS00905
OG0000505	NBX26_RS01070	VQY17_RS00965
OG0000507	NBX26_RS01115	VQY17_RS01010
OG0000508	NBX26_RS00245	VQY17_RS00255
OG0000511	NBX26_RS00425	VQY17_RS00435
OG0000512	NBX26_RS02715	VQY17_RS02545
OG0000513	NBX26_RS03625	VQY17_RS03425
OG0000514	NBX26_RS03035	VQY17_RS02840
OG0000515	NBX26_RS02255	VQY17_RS01590
OG0000516	NBX26_RS02090	VQY17_RS02085
OG0000517	NBX26_RS00065	VQY17_RS00065
OG0000518	NBX26_RS03275	VQY17_RS03095
OG0000521	NBX26_RS00260	VQY17_RS00270
OG0000523	NBX26_RS03560	VQY17_RS03360
