Orthogroup	MHP_112B_genes	MFC_ATCC27716_genes
OG0000073	NBX26_RS00715	MFC_RS03395, MFC_RS03390
OG0000075	NBX26_RS00335	MFC_RS02565
OG0000077	NBX26_RS00435	MFC_RS02670
OG0000079	NBX26_RS02720	MFC_RS02930, MFC_RS03120
OG0000080	NBX26_RS02765	MFC_RS03315
OG0000081	NBX26_RS00330	MFC_RS03430, MFC_RS02560
OG0000083	NBX26_RS02080	MFC_RS00040
OG0000084	NBX26_RS02050	MFC_RS00070
OG0000085	NBX26_RS02045	MFC_RS00075
OG0000086	NBX26_RS02030	MFC_RS00085
OG0000087	NBX26_RS02015	MFC_RS03320
OG0000088	NBX26_RS02010	MFC_RS00105
OG0000089	NBX26_RS02000	MFC_RS00115
OG0000090	NBX26_RS00070	MFC_RS00165
OG0000091	NBX26_RS00055	MFC_RS00180
OG0000092	NBX26_RS00040	MFC_RS00195
OG0000093	NBX26_RS00035	MFC_RS00200
OG0000094	NBX26_RS00030	MFC_RS00205
OG0000095	NBX26_RS00005	MFC_RS00230
OG0000096	NBX26_RS03810	MFC_RS00235
OG0000097	NBX26_RS03790	MFC_RS00255
OG0000098	NBX26_RS03780	MFC_RS00265
OG0000099	NBX26_RS03735	MFC_RS00320
OG0000100	NBX26_RS03720	MFC_RS00335
OG0000101	NBX26_RS03715	MFC_RS00340
OG0000102	NBX26_RS01835	MFC_RS00350
OG0000103	NBX26_RS02365	MFC_RS00405
OG0000104	NBX26_RS02370	MFC_RS00410
OG0000105	NBX26_RS02390	MFC_RS00425
OG0000106	NBX26_RS02395	MFC_RS00435
OG0000107	NBX26_RS02405	MFC_RS00445
OG0000108	NBX26_RS02410	MFC_RS00450
OG0000109	NBX26_RS02415	MFC_RS00455
OG0000110	NBX26_RS02535	MFC_RS00460
OG0000111	NBX26_RS02530	MFC_RS00465
OG0000112	NBX26_RS02520	MFC_RS00475
OG0000113	NBX26_RS02500	MFC_RS00490
OG0000114	NBX26_RS02490	MFC_RS00500
OG0000115	NBX26_RS02480	MFC_RS00510
OG0000116	NBX26_RS01420	MFC_RS00520
OG0000117	NBX26_RS01425	MFC_RS00525
OG0000118	NBX26_RS01460	MFC_RS00555
OG0000119	NBX26_RS01470	MFC_RS00560
OG0000120	NBX26_RS01485	MFC_RS00575
OG0000121	NBX26_RS01515	MFC_RS00600
OG0000122	NBX26_RS01520	MFC_RS00605
OG0000123	NBX26_RS01540	MFC_RS00625
OG0000124	NBX26_RS01545	MFC_RS00630
OG0000125	NBX26_RS01550	MFC_RS00635
OG0000126	NBX26_RS01560	MFC_RS00645
OG0000127	NBX26_RS01570	MFC_RS00655
OG0000128	NBX26_RS01585	MFC_RS00670
OG0000129	NBX26_RS01590	MFC_RS00675
OG0000130	NBX26_RS01600	MFC_RS00685
OG0000131	NBX26_RS01630	MFC_RS00715
OG0000132	NBX26_RS01645	MFC_RS00735
OG0000133	NBX26_RS00530	MFC_RS00805
OG0000134	NBX26_RS00535	MFC_RS00810
OG0000135	NBX26_RS00550	MFC_RS00825
OG0000136	NBX26_RS00555	MFC_RS00830
OG0000137	NBX26_RS00595	MFC_RS00860
OG0000138	NBX26_RS00620	MFC_RS00885
OG0000139	NBX26_RS00650	MFC_RS00915
OG0000140	NBX26_RS00655	MFC_RS00920
OG0000141	NBX26_RS03105	MFC_RS00955
OG0000142	NBX26_RS03100	MFC_RS00960
OG0000143	NBX26_RS03085	MFC_RS00985
OG0000144	NBX26_RS03070	MFC_RS00995
OG0000145	NBX26_RS03060	MFC_RS01005
OG0000146	NBX26_RS03050	MFC_RS01015
OG0000147	NBX26_RS03045	MFC_RS01020
OG0000148	NBX26_RS03030	MFC_RS01035
OG0000149	NBX26_RS03020	MFC_RS01045
OG0000150	NBX26_RS03005	MFC_RS01060
OG0000151	NBX26_RS02955	MFC_RS01115
OG0000152	NBX26_RS02950	MFC_RS01120
OG0000153	NBX26_RS02945	MFC_RS01125
OG0000154	NBX26_RS02935	MFC_RS01135
OG0000155	NBX26_RS02895	MFC_RS01155
OG0000156	NBX26_RS02890	MFC_RS01175
OG0000157	NBX26_RS02880	MFC_RS01180
OG0000158	NBX26_RS02870	MFC_RS01190
OG0000159	NBX26_RS02625	MFC_RS01245
OG0000160	NBX26_RS02620	MFC_RS01250
OG0000161	NBX26_RS02615	MFC_RS01255
OG0000162	NBX26_RS02605	MFC_RS01265
OG0000163	NBX26_RS02600	MFC_RS01270
OG0000164	NBX26_RS01730	MFC_RS01300
OG0000165	NBX26_RS02160	MFC_RS01345
OG0000166	NBX26_RS02140	MFC_RS01365
OG0000167	NBX26_RS02125	MFC_RS01380
OG0000168	NBX26_RS02120	MFC_RS01385
OG0000169	NBX26_RS03215	MFC_RS01430
OG0000170	NBX26_RS03230	MFC_RS01455
OG0000171	NBX26_RS03240	MFC_RS01465
OG0000172	NBX26_RS03245	MFC_RS01470
OG0000173	NBX26_RS03250	MFC_RS01475
OG0000174	NBX26_RS03255	MFC_RS01480
OG0000175	NBX26_RS03270	MFC_RS01495
OG0000176	NBX26_RS03330	MFC_RS01540
OG0000177	NBX26_RS03335	MFC_RS01545
OG0000178	NBX26_RS03340	MFC_RS01550
OG0000179	NBX26_RS03350	MFC_RS01560
OG0000180	NBX26_RS03355	MFC_RS01565
OG0000181	NBX26_RS03395	MFC_RS01580
OG0000182	NBX26_RS03405	MFC_RS01590
OG0000183	NBX26_RS03440	MFC_RS01625
OG0000184	NBX26_RS03495	MFC_RS01655
OG0000185	NBX26_RS03480	MFC_RS01670
OG0000186	NBX26_RS01655	MFC_RS01710
OG0000187	NBX26_RS01670	MFC_RS01725
OG0000188	NBX26_RS01680	MFC_RS01735
OG0000189	NBX26_RS02455	MFC_RS03385
OG0000190	NBX26_RS02450	MFC_RS01750
OG0000191	NBX26_RS02425	MFC_RS01770
OG0000192	NBX26_RS01345	MFC_RS01780
OG0000193	NBX26_RS01330	MFC_RS01795
OG0000194	NBX26_RS00695	MFC_RS01805
OG0000195	NBX26_RS00700	MFC_RS01810
OG0000196	NBX26_RS00725	MFC_RS01830
OG0000197	NBX26_RS00735	MFC_RS01835
OG0000198	NBX26_RS00745	MFC_RS01850
OG0000199	NBX26_RS00750	MFC_RS01855
OG0000200	NBX26_RS00765	MFC_RS01865
OG0000201	NBX26_RS00775	MFC_RS01875
OG0000202	NBX26_RS00830	MFC_RS01930
OG0000203	NBX26_RS00835	MFC_RS01935
OG0000204	NBX26_RS00840	MFC_RS01940
OG0000205	NBX26_RS00845	MFC_RS01945
OG0000206	NBX26_RS00865	MFC_RS01965
OG0000207	NBX26_RS00880	MFC_RS01980
OG0000208	NBX26_RS00885	MFC_RS01985
OG0000209	NBX26_RS00890	MFC_RS01990
OG0000210	NBX26_RS00935	MFC_RS02040
OG0000211	NBX26_RS01080	MFC_RS02050
OG0000212	NBX26_RS01085	MFC_RS02060
OG0000213	NBX26_RS01090	MFC_RS02065
OG0000214	NBX26_RS01095	MFC_RS02070
OG0000215	NBX26_RS01100	MFC_RS02075
OG0000216	NBX26_RS01105	MFC_RS02080
OG0000217	NBX26_RS01110	MFC_RS02085
OG0000218	NBX26_RS01120	MFC_RS02095
OG0000219	NBX26_RS01125	MFC_RS02100
OG0000220	NBX26_RS01130	MFC_RS02105
OG0000221	NBX26_RS01135	MFC_RS02110
OG0000222	NBX26_RS01140	MFC_RS03235
OG0000223	NBX26_RS01145	MFC_RS02115
OG0000224	NBX26_RS01155	MFC_RS02125
OG0000225	NBX26_RS01165	MFC_RS02135
OG0000226	NBX26_RS01170	MFC_RS02140
OG0000227	NBX26_RS01175	MFC_RS02145
OG0000228	NBX26_RS01180	MFC_RS03530
OG0000229	NBX26_RS01185	MFC_RS02155
OG0000230	NBX26_RS01190	MFC_RS02160
OG0000231	NBX26_RS01200	MFC_RS02170
OG0000232	NBX26_RS01210	MFC_RS02180
OG0000233	NBX26_RS01230	MFC_RS02190
OG0000234	NBX26_RS01265	MFC_RS02220
OG0000235	NBX26_RS01275	MFC_RS02230
OG0000236	NBX26_RS01280	MFC_RS02235
OG0000237	NBX26_RS01285	MFC_RS02250
OG0000238	NBX26_RS01295	MFC_RS02255
OG0000239	NBX26_RS03115	MFC_RS02285
OG0000240	NBX26_RS03120	MFC_RS02290
OG0000241	NBX26_RS03130	MFC_RS02300
OG0000242	NBX26_RS03135	MFC_RS02305
OG0000243	NBX26_RS03140	MFC_RS02310
OG0000244	NBX26_RS03150	MFC_RS02320
OG0000245	NBX26_RS03160	MFC_RS02330
OG0000246	NBX26_RS00130	MFC_RS02345
OG0000247	NBX26_RS00140	MFC_RS02355
OG0000248	NBX26_RS00150	MFC_RS02380
OG0000249	NBX26_RS00155	MFC_RS02385
OG0000250	NBX26_RS00180	MFC_RS02400
OG0000251	NBX26_RS00210	MFC_RS02430
OG0000252	NBX26_RS00215	MFC_RS02440
OG0000253	NBX26_RS00220	MFC_RS02445
OG0000254	NBX26_RS00230	MFC_RS02455
OG0000255	NBX26_RS00235	MFC_RS02465
OG0000256	NBX26_RS00240	MFC_RS02470
OG0000257	NBX26_RS00265	MFC_RS02495
OG0000258	NBX26_RS00280	MFC_RS02505
OG0000259	NBX26_RS00305	MFC_RS02535
OG0000260	NBX26_RS00315	MFC_RS02545
OG0000261	NBX26_RS00325	MFC_RS02555
OG0000262	NBX26_RS00340	MFC_RS02570
OG0000263	NBX26_RS00355	MFC_RS02585
OG0000264	NBX26_RS00370	MFC_RS02600
OG0000265	NBX26_RS00380	MFC_RS02610
OG0000266	NBX26_RS00395	MFC_RS02625
OG0000267	NBX26_RS00410	MFC_RS02640
OG0000268	NBX26_RS00415	MFC_RS02645
OG0000269	NBX26_RS00430	MFC_RS02660
OG0000270	NBX26_RS03690	MFC_RS02720
OG0000271	NBX26_RS03685	MFC_RS02725
OG0000272	NBX26_RS03680	MFC_RS02730
OG0000273	NBX26_RS03675	MFC_RS02735
OG0000274	NBX26_RS03660	MFC_RS02755
OG0000275	NBX26_RS03650	MFC_RS03455
OG0000276	NBX26_RS03645	MFC_RS02765
OG0000277	NBX26_RS03635	MFC_RS02775
OG0000278	NBX26_RS03630	MFC_RS02780
OG0000279	NBX26_RS03620	MFC_RS02790
OG0000280	NBX26_RS03615	MFC_RS02795
OG0000281	NBX26_RS03610	MFC_RS03255
OG0000282	NBX26_RS03585	MFC_RS02820
OG0000283	NBX26_RS03580	MFC_RS02825
OG0000284	NBX26_RS03575	MFC_RS02830
OG0000285	NBX26_RS03570	MFC_RS02835
OG0000286	NBX26_RS02585	MFC_RS02865
OG0000287	NBX26_RS02680	MFC_RS02890
OG0000288	NBX26_RS02690	MFC_RS02900
OG0000289	NBX26_RS02695	MFC_RS02905
OG0000290	NBX26_RS02815	MFC_RS03030
OG0000291	NBX26_RS02800	MFC_RS03040
OG0000292	NBX26_RS02795	MFC_RS03045
OG0000293	NBX26_RS02785	MFC_RS03050
OG0000294	NBX26_RS02775	MFC_RS03060
OG0000295	NBX26_RS02770	MFC_RS03065
OG0000296	NBX26_RS02730	MFC_RS03110
OG0000297	NBX26_RS02725	MFC_RS03115
OG0000298	NBX26_RS00165	MFC_RS02395
OG0000299	NBX26_RS00190	MFC_RS02415
OG0000300	NBX26_RS00365	MFC_RS02595
OG0000301	NBX26_RS00400	MFC_RS02630
OG0000302	NBX26_RS00405	MFC_RS02635
OG0000303	NBX26_RS00560	MFC_RS00835
OG0000304	NBX26_RS01215	MFC_RS00865
OG0000305	NBX26_RS03055	MFC_RS01010
OG0000306	NBX26_RS02980	MFC_RS01090
OG0000307	NBX26_RS02940	MFC_RS01130
OG0000308	NBX26_RS02850	MFC_RS03020
OG0000309	NBX26_RS02760	MFC_RS03075
OG0000310	NBX26_RS02685	MFC_RS02895
OG0000311	NBX26_RS02645	MFC_RS01220
OG0000312	NBX26_RS02630	MFC_RS01240
OG0000313	NBX26_RS01720	MFC_RS01290
OG0000314	NBX26_RS02145	MFC_RS01360
OG0000315	NBX26_RS02115	MFC_RS01390
OG0000316	NBX26_RS02105	MFC_RS01400
OG0000317	NBX26_RS02005	MFC_RS00110
OG0000318	NBX26_RS02100	MFC_RS00020
OG0000319	NBX26_RS02380	MFC_RS00420
OG0000320	NBX26_RS02510	MFC_RS00485
OG0000321	NBX26_RS01455	MFC_RS00550
OG0000322	NBX26_RS01510	MFC_RS00595
OG0000323	NBX26_RS01640	MFC_RS00725
OG0000324	NBX26_RS02420	MFC_RS01775
OG0000325	NBX26_RS00710	MFC_RS01815
OG0000326	NBX26_RS00805	MFC_RS01905
OG0000327	NBX26_RS00810	MFC_RS01910
OG0000328	NBX26_RS00895	MFC_RS01995
OG0000329	NBX26_RS00920	MFC_RS02020
OG0000330	NBX26_RS01240	MFC_RS02200
OG0000331	NBX26_RS03145	MFC_RS02315
OG0000332	NBX26_RS03285	MFC_RS01505
OG0000333	NBX26_RS03295	MFC_RS01515
OG0000334	NBX26_RS03400	MFC_RS01585
OG0000335	NBX26_RS03410	MFC_RS01595
OG0000336	NBX26_RS03600	MFC_RS02805
OG0000337	NBX26_RS03765	MFC_RS00280
OG0000338	NBX26_RS03805	MFC_RS00240
OG0000339	NBX26_RS02485	MFC_RS00505
OG0000340	NBX26_RS01435	MFC_RS00530
OG0000341	NBX26_RS02445	MFC_RS01755
OG0000342	NBX26_RS00740	MFC_RS01845
OG0000343	NBX26_RS03305	MFC_RS01525
OG0000344	NBX26_RS00575	MFC_RS00850
OG0000345	NBX26_RS01160	MFC_RS02130
OG0000346	NBX26_RS03605	MFC_RS02800
OG0000347	NBX26_RS01535	MFC_RS00620
OG0000348	NBX26_RS00815	MFC_RS01915
OG0000349	NBX26_RS03665	MFC_RS02745
OG0000350	NBX26_RS02930	MFC_RS03345
OG0000351	NBX26_RS00485	MFC_RS00785
OG0000352	NBX26_RS02165	MFC_RS01340
OG0000353	NBX26_RS01500	MFC_RS00590
OG0000354	NBX26_RS00635	MFC_RS00900
OG0000355	NBX26_RS02190	MFC_RS01315
OG0000356	NBX26_RS02110	MFC_RS01395
OG0000357	NBX26_RS03260	MFC_RS01485
OG0000358	NBX26_RS03265	MFC_RS01490
OG0000359	NBX26_RS00785	MFC_RS01885
OG0000360	NBX26_RS00270	MFC_RS02500
OG0000361	NBX26_RS00300	MFC_RS02530
OG0000362	NBX26_RS02705	MFC_RS02915
OG0000363	NBX26_RS01575	MFC_RS00660
OG0000365	NBX26_RS02065	MFC_RS00050
OG0000366	NBX26_RS02040	MFC_RS00080
OG0000367	NBX26_RS02025	MFC_RS00090
OG0000368	NBX26_RS00060	MFC_RS00175
OG0000369	NBX26_RS00025	MFC_RS00210
OG0000370	NBX26_RS00020	MFC_RS00215
OG0000371	NBX26_RS00015	MFC_RS00220
OG0000372	NBX26_RS00010	MFC_RS00225
OG0000373	NBX26_RS03795	MFC_RS00250
OG0000374	NBX26_RS03785	MFC_RS00260
OG0000375	NBX26_RS02375	MFC_RS00415
OG0000376	NBX26_RS02525	MFC_RS00470
OG0000377	NBX26_RS02515	MFC_RS00480
OG0000378	NBX26_RS01415	MFC_RS00515
OG0000379	NBX26_RS01495	MFC_RS00585
OG0000380	NBX26_RS01530	MFC_RS00610
OG0000381	NBX26_RS01565	MFC_RS00650
OG0000382	NBX26_RS01595	MFC_RS00680
OG0000383	NBX26_RS01635	MFC_RS00720
OG0000384	NBX26_RS00515	MFC_RS00790
OG0000385	NBX26_RS00525	MFC_RS00795
OG0000386	NBX26_RS00540	MFC_RS00815
OG0000387	NBX26_RS00565	MFC_RS00840
OG0000388	NBX26_RS00570	MFC_RS00845
OG0000389	NBX26_RS00615	MFC_RS00880
OG0000390	NBX26_RS03075	MFC_RS00990
OG0000391	NBX26_RS03065	MFC_RS01000
OG0000392	NBX26_RS03040	MFC_RS01030
OG0000393	NBX26_RS02985	MFC_RS01080
OG0000394	NBX26_RS02905	MFC_RS01145
OG0000395	NBX26_RS02900	MFC_RS01150
OG0000396	NBX26_RS02590	MFC_RS01280
OG0000397	NBX26_RS02180	MFC_RS01325
OG0000398	NBX26_RS02175	MFC_RS01330
OG0000399	NBX26_RS02130	MFC_RS01375
OG0000400	NBX26_RS03225	MFC_RS01450
OG0000401	NBX26_RS03290	MFC_RS01510
OG0000402	NBX26_RS03300	MFC_RS01520
OG0000403	NBX26_RS03310	MFC_RS01530
OG0000404	NBX26_RS03345	MFC_RS03375, MFC_RS01555
OG0000405	NBX26_RS03360	MFC_RS01570
OG0000406	NBX26_RS03415	MFC_RS01600
OG0000407	NBX26_RS03420	MFC_RS01605
OG0000408	NBX26_RS03425	MFC_RS01610
OG0000409	NBX26_RS03430	MFC_RS01615
OG0000410	NBX26_RS03505	MFC_RS01650
OG0000411	NBX26_RS03490	MFC_RS01660
OG0000412	NBX26_RS03485	MFC_RS01665
OG0000413	NBX26_RS01650	MFC_RS01705
OG0000414	NBX26_RS01660	MFC_RS01715
OG0000415	NBX26_RS01665	MFC_RS01720
OG0000416	NBX26_RS01675	MFC_RS01730
OG0000417	NBX26_RS02440	MFC_RS01760
OG0000418	NBX26_RS02430	MFC_RS01765
OG0000419	NBX26_RS00720	MFC_RS01825
OG0000420	NBX26_RS00755	MFC_RS01860
OG0000421	NBX26_RS00795	MFC_RS01890
OG0000422	NBX26_RS00800	MFC_RS01900
OG0000423	NBX26_RS00855	MFC_RS01955
OG0000424	NBX26_RS00860	MFC_RS01960
OG0000425	NBX26_RS00870	MFC_RS01970
OG0000426	NBX26_RS00875	MFC_RS01975
OG0000427	NBX26_RS00900	MFC_RS02000
OG0000428	NBX26_RS00925	MFC_RS02030
OG0000429	NBX26_RS01150	MFC_RS02120
OG0000430	NBX26_RS01195	MFC_RS02165
OG0000431	NBX26_RS01205	MFC_RS02175
OG0000432	NBX26_RS01235	MFC_RS02195
OG0000433	NBX26_RS01260	MFC_RS02205
OG0000435	NBX26_RS01270	MFC_RS02225
OG0000437	NBX26_RS01305	MFC_RS02270
OG0000438	NBX26_RS01310	MFC_RS02275
OG0000439	NBX26_RS01315	MFC_RS02280
OG0000440	NBX26_RS03125	MFC_RS02295
OG0000441	NBX26_RS03165	MFC_RS02335
OG0000442	NBX26_RS00135	MFC_RS02350
OG0000443	NBX26_RS00185	MFC_RS02410
OG0000444	NBX26_RS00200	MFC_RS02425
OG0000445	NBX26_RS00225	MFC_RS02450
OG0000446	NBX26_RS00250	MFC_RS02480
OG0000447	NBX26_RS00255	MFC_RS02485
OG0000448	NBX26_RS00290	MFC_RS02515
OG0000449	NBX26_RS00310	MFC_RS02540
OG0000450	NBX26_RS00320	MFC_RS02550
OG0000451	NBX26_RS00360	MFC_RS02590
OG0000452	NBX26_RS00385	MFC_RS02615
OG0000453	NBX26_RS00420	MFC_RS02650
OG0000454	NBX26_RS01695	MFC_RS03440, MFC_RS03435
OG0000455	NBX26_RS03710	MFC_RS02700
OG0000456	NBX26_RS03590	MFC_RS02815
OG0000457	NBX26_RS03565	MFC_RS02840
OG0000458	NBX26_RS02675	MFC_RS02885
OG0000459	NBX26_RS02700	MFC_RS02910
OG0000460	NBX26_RS02710	MFC_RS02920
OG0000461	NBX26_RS02755	MFC_RS03080
OG0000462	NBX26_RS02750	MFC_RS03085
OG0000463	NBX26_RS02745	MFC_RS03090
OG0000464	NBX26_RS02740	MFC_RS03100
OG0000465	NBX26_RS02735	MFC_RS03105
OG0000466	NBX26_RS00390	MFC_RS02620
OG0000467	NBX26_RS02855	MFC_RS03500
OG0000468	NBX26_RS02135	MFC_RS01370
OG0000469	NBX26_RS02075	MFC_RS00045
OG0000470	NBX26_RS00850	MFC_RS01950
OG0000471	NBX26_RS00930	MFC_RS02035
OG0000472	NBX26_RS03515	MFC_RS01680
OG0000473	NBX26_RS03695	MFC_RS02715
OG0000474	NBX26_RS03700	MFC_RS02710
OG0000475	NBX26_RS03705	MFC_RS02705
OG0000476	NBX26_RS01685	MFC_RS00345
OG0000477	NBX26_RS02780	MFC_RS03055
OG0000478	NBX26_RS03640	MFC_RS02770
OG0000479	NBX26_RS01450	MFC_RS00545
OG0000480	NBX26_RS02070	MFC_RS03300
OG0000481	NBX26_RS00825	MFC_RS01925
OG0000482	NBX26_RS01335	MFC_RS01790
OG0000483	NBX26_RS02020	MFC_RS00095
OG0000484	NBX26_RS00195	MFC_RS02420
OG0000487	NBX26_RS02095	MFC_RS00025
OG0000488	NBX26_RS02055	MFC_RS00065
OG0000489	NBX26_RS00050	MFC_RS00185
OG0000490	NBX26_RS03800	MFC_RS00245
OG0000492	NBX26_RS01555	MFC_RS00640
OG0000493	NBX26_RS00580	MFC_RS00855
OG0000494	NBX26_RS00640	MFC_RS00905
OG0000495	NBX26_RS03015	MFC_RS01055
OG0000496	NBX26_RS03000	MFC_RS01065
OG0000497	NBX26_RS02995	MFC_RS01070
OG0000498	NBX26_RS02910	MFC_RS01140
OG0000499	NBX26_RS02875	MFC_RS01185
OG0000500	NBX26_RS02170	MFC_RS01335
OG0000501	NBX26_RS03235	MFC_RS01460
OG0000502	NBX26_RS01325	MFC_RS01800
OG0000503	NBX26_RS00770	MFC_RS01870
OG0000504	NBX26_RS00905	MFC_RS02005
OG0000505	NBX26_RS01070	MFC_RS02045
OG0000507	NBX26_RS01115	MFC_RS02090
OG0000508	NBX26_RS00245	MFC_RS02475
OG0000511	NBX26_RS00425	MFC_RS02655
OG0000512	NBX26_RS02715	MFC_RS02925
OG0000513	NBX26_RS03625	MFC_RS02785
OG0000516	NBX26_RS02090	MFC_RS00030
OG0000517	NBX26_RS00065	MFC_RS00170
OG0000518	NBX26_RS03275	MFC_RS01500
OG0000521	NBX26_RS00260	MFC_RS02490
OG0000522	NBX26_RS00295	MFC_RS02525
OG0000523	NBX26_RS03560	MFC_RS02845
OG0000525	NBX26_RS03520	MFC_RS01685
OG0000528	NBX26_RS02085	MFC_RS00035
OG0000530	NBX26_RS02495	MFC_RS00495
OG0000532	NBX26_RS01750	MFC_RS00940
OG0000533	NBX26_RS00600	MFC_RS02185
OG0000534	NBX26_RS00375	MFC_RS02605
OG0000535	NBX26_RS00045	MFC_RS00190
OG0000536	NBX26_RS03740	MFC_RS00315
OG0000540	NBX26_RS02805	MFC_RS03035
OG0000542	NBX26_RS00345	MFC_RS02575
OG0000551	NBX26_RS03155	MFC_RS02325
OG0000555	NBX26_RS03090	MFC_RS03340
OG0000589	NBX26_RS01005	MFC_RS03260
OG0000596	NBX26_RS01865	MFC_RS02370
OG0000598	NBX26_RS01870	MFC_RS02365
OG0000599	NBX26_RS01875	MFC_RS02360
OG0000602	NBX26_RS02060	MFC_RS00055
