Orthogroup	MHP_MHP694_genes	MHP_168L_genes
OG0000135	DR099_RS02720	MHP168L_RS00535
OG0000136	DR099_RS02725	MHP168L_RS00540
OG0000137	DR099_RS02765	MHP168L_RS00575
OG0000138	DR099_RS01715	MHP168L_RS01030
OG0000139	DR099_RS01685	MHP168L_RS01005
OG0000140	DR099_RS01680	MHP168L_RS01000
OG0000141	DR099_RS01035	MHP168L_RS02965
OG0000142	DR099_RS04350	MHP168L_RS02960
OG0000143	DR099_RS01060	MHP168L_RS02935
OG0000144	DR099_RS01070	MHP168L_RS02925
OG0000145	DR099_RS01080	MHP168L_RS02915
OG0000146	DR099_RS01090	MHP168L_RS02905
OG0000147	DR099_RS01095	MHP168L_RS02900
OG0000148	DR099_RS01110	MHP168L_RS02885
OG0000149	DR099_RS01120	MHP168L_RS02875
OG0000150	DR099_RS01135	MHP168L_RS02860
OG0000151	DR099_RS00010	MHP168L_RS02815
OG0000152	DR099_RS00015	MHP168L_RS02810
OG0000153	DR099_RS00020	MHP168L_RS02805
OG0000154	DR099_RS00030	MHP168L_RS02795
OG0000155	DR099_RS00070	MHP168L_RS02755
OG0000156	DR099_RS00080	MHP168L_RS02745
OG0000157	DR099_RS04275	MHP168L_RS02740
OG0000158	DR099_RS04280	MHP168L_RS04120
OG0000159	DR099_RS02635	MHP168L_RS04145
OG0000160	DR099_RS02640	MHP168L_RS02485
OG0000161	DR099_RS02645	MHP168L_RS02480
OG0000162	DR099_RS02655	MHP168L_RS02470
OG0000163	DR099_RS02660	MHP168L_RS02465
OG0000164	DR099_RS01350	MHP168L_RS01825
OG0000165	DR099_RS00435	MHP168L_RS02030
OG0000166	DR099_RS01185	MHP168L_RS02050
OG0000167	DR099_RS01195	MHP168L_RS02065
OG0000168	DR099_RS01200	MHP168L_RS02070
OG0000169	DR099_RS03360	MHP168L_RS03045
OG0000170	DR099_RS02110	MHP168L_RS03060
OG0000171	DR099_RS02100	MHP168L_RS03070
OG0000172	DR099_RS02095	MHP168L_RS03075
OG0000173	DR099_RS02090	MHP168L_RS03080
OG0000174	DR099_RS02085	MHP168L_RS03085
OG0000175	DR099_RS02070	MHP168L_RS03100
OG0000176	DR099_RS02020	MHP168L_RS03150
OG0000177	DR099_RS02015	MHP168L_RS03155
OG0000178	DR099_RS02010	MHP168L_RS03160
OG0000179	DR099_RS02000	MHP168L_RS03170
OG0000180	DR099_RS01995	MHP168L_RS03175
OG0000181	DR099_RS04545	MHP168L_RS03215
OG0000182	DR099_RS02895	MHP168L_RS03225
OG0000183	DR099_RS02930	MHP168L_RS03260
OG0000184	DR099_RS02550	MHP168L_RS03300
OG0000185	DR099_RS02565	MHP168L_RS03285
OG0000186	DR099_RS04400	MHP168L_RS01615
OG0000187	DR099_RS01405	MHP168L_RS01630
OG0000188	DR099_RS01395	MHP168L_RS01640
OG0000189	DR099_RS04540	MHP168L_RS02320
OG0000190	DR099_RS02780	MHP168L_RS02315
OG0000191	DR099_RS02800	MHP168L_RS02295
OG0000192	DR099_RS03285	MHP168L_RS01300
OG0000193	DR099_RS03270	MHP168L_RS01290
OG0000194	DR099_RS01660	MHP168L_RS00970
OG0000195	DR099_RS01655	MHP168L_RS00965
OG0000196	DR099_RS01635	MHP168L_RS00945
OG0000197	DR099_RS01630	MHP168L_RS00940
OG0000198	DR099_RS01615	MHP168L_RS00925
OG0000199	DR099_RS01610	MHP168L_RS00920
OG0000200	DR099_RS01595	MHP168L_RS00910
OG0000201	DR099_RS01585	MHP168L_RS00900
OG0000202	DR099_RS01530	MHP168L_RS00845
OG0000203	DR099_RS01525	MHP168L_RS00840
OG0000204	DR099_RS04445	MHP168L_RS00835
OG0000205	DR099_RS01975	MHP168L_RS00830
OG0000206	DR099_RS01955	MHP168L_RS00810
OG0000207	DR099_RS01940	MHP168L_RS00795
OG0000208	DR099_RS01935	MHP168L_RS00790
OG0000209	DR099_RS01930	MHP168L_RS00785
OG0000210	DR099_RS01885	MHP168L_RS00735
OG0000211	DR099_RS01875	MHP168L_RS00720
OG0000212	DR099_RS01865	MHP168L_RS00710
OG0000213	DR099_RS01860	MHP168L_RS03705
OG0000214	DR099_RS01855	MHP168L_RS00705
OG0000215	DR099_RS01850	MHP168L_RS00700
OG0000216	DR099_RS01845	MHP168L_RS00695
OG0000217	DR099_RS01840	MHP168L_RS00690
OG0000218	DR099_RS01830	MHP168L_RS00680
OG0000219	DR099_RS01825	MHP168L_RS00675
OG0000220	DR099_RS01820	MHP168L_RS00670
OG0000221	DR099_RS01815	MHP168L_RS00665
OG0000222	DR099_RS01810	MHP168L_RS00660
OG0000223	DR099_RS01805	MHP168L_RS00655
OG0000224	DR099_RS01795	MHP168L_RS00645
OG0000225	DR099_RS01785	MHP168L_RS00635
OG0000226	DR099_RS01780	MHP168L_RS00630
OG0000227	DR099_RS01775	MHP168L_RS00625
OG0000228	DR099_RS04635	MHP168L_RS04125
OG0000229	DR099_RS01765	MHP168L_RS00615
OG0000230	DR099_RS01760	MHP168L_RS00610
OG0000231	DR099_RS01750	MHP168L_RS00600
OG0000232	DR099_RS01740	MHP168L_RS00590
OG0000233	DR099_RS02310	MHP168L_RS01075
OG0000234	DR099_RS02345	MHP168L_RS01110
OG0000235	DR099_RS02355	MHP168L_RS01120
OG0000236	DR099_RS02360	MHP168L_RS01125
OG0000237	DR099_RS02365	MHP168L_RS01130
OG0000238	DR099_RS02375	MHP168L_RS01140
OG0000239	DR099_RS03120	MHP168L_RS02975
OG0000240	DR099_RS03115	MHP168L_RS02980
OG0000241	DR099_RS03105	MHP168L_RS02990
OG0000242	DR099_RS03100	MHP168L_RS02995
OG0000243	DR099_RS03095	MHP168L_RS03000
OG0000244	DR099_RS04150	MHP168L_RS03010
OG0000245	DR099_RS03075	MHP168L_RS03020
OG0000246	DR099_RS03135	MHP168L_RS00120
OG0000247	DR099_RS00845	MHP168L_RS00130
OG0000248	DR099_RS00835	MHP168L_RS00140
OG0000249	DR099_RS00830	MHP168L_RS00145
OG0000250	DR099_RS00815	MHP168L_RS00160
OG0000251	DR099_RS00780	MHP168L_RS00185
OG0000252	DR099_RS00770	MHP168L_RS00195
OG0000253	DR099_RS00765	MHP168L_RS00200
OG0000254	DR099_RS00755	MHP168L_RS00210
OG0000255	DR099_RS00745	MHP168L_RS00220
OG0000256	DR099_RS00740	MHP168L_RS00225
OG0000257	DR099_RS00715	MHP168L_RS00250
OG0000258	DR099_RS00705	MHP168L_RS00260
OG0000259	DR099_RS00675	MHP168L_RS00290
OG0000260	DR099_RS00665	MHP168L_RS00300
OG0000261	DR099_RS04325	MHP168L_RS00310
OG0000262	DR099_RS00640	MHP168L_RS00325
OG0000263	DR099_RS00625	MHP168L_RS00340
OG0000264	DR099_RS00610	MHP168L_RS00355
OG0000265	DR099_RS00600	MHP168L_RS00365
OG0000266	DR099_RS02955	MHP168L_RS00380
OG0000267	DR099_RS02970	MHP168L_RS00395
OG0000268	DR099_RS02975	MHP168L_RS00400
OG0000269	DR099_RS02990	MHP168L_RS00415
OG0000270	DR099_RS04575	MHP168L_RS03475
OG0000271	DR099_RS03245	MHP168L_RS03470
OG0000272	DR099_RS03250	MHP168L_RS03465
OG0000273	DR099_RS03255	MHP168L_RS03460
OG0000274	DR099_RS02295	MHP168L_RS03440
OG0000275	DR099_RS04485	MHP168L_RS03435
OG0000276	DR099_RS02285	MHP168L_RS03430
OG0000277	DR099_RS02275	MHP168L_RS03420
OG0000278	DR099_RS02270	MHP168L_RS03415
OG0000279	DR099_RS02260	MHP168L_RS03405
OG0000280	DR099_RS02255	MHP168L_RS03400
OG0000281	DR099_RS02250	MHP168L_RS03780
OG0000282	DR099_RS04475	MHP168L_RS03375
OG0000283	DR099_RS02220	MHP168L_RS03370
OG0000284	DR099_RS02215	MHP168L_RS03365
OG0000285	DR099_RS04470	MHP168L_RS03360
OG0000286	DR099_RS02675	MHP168L_RS02450
OG0000287	DR099_RS00270	MHP168L_RS02550
OG0000288	DR099_RS00260	MHP168L_RS02560
OG0000289	DR099_RS00255	MHP168L_RS02565
OG0000290	DR099_RS00145	MHP168L_RS02675
OG0000291	DR099_RS00155	MHP168L_RS02665
OG0000292	DR099_RS00160	MHP168L_RS02660
OG0000293	DR099_RS00165	MHP168L_RS02655
OG0000294	DR099_RS00175	MHP168L_RS02645
OG0000295	DR099_RS00180	MHP168L_RS02640
OG0000296	DR099_RS00220	MHP168L_RS02600
OG0000297	DR099_RS00225	MHP168L_RS02595
OG0000298	DR099_RS00820	MHP168L_RS00155
OG0000299	DR099_RS00795	MHP168L_RS03690
OG0000300	DR099_RS00615	MHP168L_RS00350
OG0000301	DR099_RS02960	MHP168L_RS00385
OG0000302	DR099_RS02965	MHP168L_RS00390
OG0000303	DR099_RS02730	MHP168L_RS00545
OG0000304	DR099_RS01735	MHP168L_RS00585
OG0000305	DR099_RS01085	MHP168L_RS02910
OG0000306	DR099_RS01160	MHP168L_RS02835
OG0000307	DR099_RS00025	MHP168L_RS02800
OG0000308	DR099_RS00125	MHP168L_RS02700
OG0000309	DR099_RS00190	MHP168L_RS02630
OG0000310	DR099_RS00265	MHP168L_RS02555
OG0000311	DR099_RS02615	MHP168L_RS02510
OG0000312	DR099_RS02630	MHP168L_RS02495
OG0000313	DR099_RS01360	MHP168L_RS01835
OG0000314	DR099_RS00455	MHP168L_RS02045
OG0000315	DR099_RS01205	MHP168L_RS02075
OG0000316	DR099_RS01215	MHP168L_RS02085
OG0000317	DR099_RS01305	MHP168L_RS02225
OG0000318	DR099_RS04365	MHP168L_RS02090
OG0000319	DR099_RS02845	MHP168L_RS02160
OG0000320	DR099_RS02180	MHP168L_RS02385
OG0000321	DR099_RS00940	MHP168L_RS01425
OG0000322	DR099_RS00985	MHP168L_RS01470
OG0000323	DR099_RS01435	MHP168L_RS01600
OG0000324	DR099_RS02805	MHP168L_RS02290
OG0000325	DR099_RS01650	MHP168L_RS00960
OG0000326	DR099_RS01555	MHP168L_RS00870
OG0000327	DR099_RS01550	MHP168L_RS00865
OG0000328	DR099_RS01925	MHP168L_RS00780
OG0000329	DR099_RS01905	MHP168L_RS00755
OG0000330	DR099_RS02320	MHP168L_RS01085
OG0000331	DR099_RS03090	MHP168L_RS03005
OG0000332	DR099_RS02060	MHP168L_RS03110
OG0000333	DR099_RS02050	MHP168L_RS03120
OG0000334	DR099_RS02890	MHP168L_RS03220
OG0000335	DR099_RS02900	MHP168L_RS03230
OG0000336	DR099_RS04480	MHP168L_RS03390
OG0000337	DR099_RS00570	MHP168L_RS03620
OG0000338	DR099_RS00530	MHP168L_RS03660
OG0000339	DR099_RS03470	MHP168L_RS02355
OG0000340	DR099_RS00920	MHP168L_RS01400
OG0000341	DR099_RS02785	MHP168L_RS02310
OG0000342	DR099_RS01620	MHP168L_RS00930
OG0000343	DR099_RS02040	MHP168L_RS03130
OG0000344	DR099_RS02745	MHP168L_RS00560
OG0000345	DR099_RS01790	MHP168L_RS00640
OG0000346	DR099_RS04645	MHP168L_RS03395
OG0000347	DR099_RS01010	MHP168L_RS01495
OG0000348	DR099_RS01545	MHP168L_RS00860
OG0000349	DR099_RS04490	MHP168L_RS03450
OG0000350	DR099_RS00035	MHP168L_RS02790
OG0000351	DR099_RS04140	MHP168L_RS00475
OG0000352	DR099_RS00430	MHP168L_RS02025
OG0000353	DR099_RS00980	MHP168L_RS01465
OG0000354	DR099_RS01700	MHP168L_RS01015
OG0000355	DR099_RS04300	MHP168L_RS01995
OG0000356	DR099_RS04360	MHP168L_RS02080
OG0000357	DR099_RS04450	MHP168L_RS03090
OG0000358	DR099_RS02075	MHP168L_RS03095
OG0000359	DR099_RS04425	MHP168L_RS00890
OG0000360	DR099_RS00710	MHP168L_RS00255
OG0000361	DR099_RS00680	MHP168L_RS00285
OG0000362	DR099_RS00245	MHP168L_RS02575
OG0000363	DR099_RS04420	MHP168L_RS03960
OG0000364	DR099_RS00375	MHP168L_RS01970
OG0000365	DR099_RS04385	MHP168L_RS02280
OG0000366	DR099_RS01275	MHP168L_RS02255
OG0000367	DR099_RS01285	MHP168L_RS02245
OG0000368	DR099_RS00465	MHP168L_RS00060
OG0000369	DR099_RS04315	MHP168L_RS00025
OG0000370	DR099_RS00505	MHP168L_RS00020
OG0000371	DR099_RS00510	MHP168L_RS00015
OG0000372	DR099_RS00515	MHP168L_RS00010
OG0000373	DR099_RS00540	MHP168L_RS03650
OG0000374	DR099_RS00550	MHP168L_RS03640
OG0000375	DR099_RS02850	MHP168L_RS02165
OG0000376	DR099_RS02165	MHP168L_RS02400
OG0000377	DR099_RS02175	MHP168L_RS02390
OG0000378	DR099_RS00900	MHP168L_RS01380
OG0000379	DR099_RS00975	MHP168L_RS01460
OG0000380	DR099_RS01000	MHP168L_RS01485
OG0000381	DR099_RS01510	MHP168L_RS01525
OG0000382	DR099_RS01480	MHP168L_RS01555
OG0000383	DR099_RS01440	MHP168L_RS01595
OG0000384	DR099_RS02685	MHP168L_RS00500
OG0000385	DR099_RS02690	MHP168L_RS00505
OG0000386	DR099_RS02710	MHP168L_RS00525
OG0000387	DR099_RS02735	MHP168L_RS00550
OG0000388	DR099_RS04535	MHP168L_RS00555
OG0000389	DR099_RS01720	MHP168L_RS01035
OG0000390	DR099_RS01065	MHP168L_RS02930
OG0000391	DR099_RS01075	MHP168L_RS02920
OG0000392	DR099_RS01100	MHP168L_RS02895
OG0000393	DR099_RS04355	MHP168L_RS02840
OG0000394	DR099_RS00060	MHP168L_RS02765
OG0000395	DR099_RS00065	MHP168L_RS02760
OG0000396	DR099_RS02670	MHP168L_RS02455
OG0000397	DR099_RS00415	MHP168L_RS02010
OG0000398	DR099_RS00420	MHP168L_RS02015
OG0000399	DR099_RS01190	MHP168L_RS02060
OG0000400	DR099_RS02115	MHP168L_RS03055
OG0000401	DR099_RS02055	MHP168L_RS03115
OG0000402	DR099_RS02045	MHP168L_RS03125
OG0000403	DR099_RS02035	MHP168L_RS03135
OG0000404	DR099_RS02005	MHP168L_RS03165
OG0000405	DR099_RS01990	MHP168L_RS03180
OG0000406	DR099_RS02905	MHP168L_RS03235
OG0000407	DR099_RS04550	MHP168L_RS03240
OG0000408	DR099_RS02915	MHP168L_RS03245
OG0000409	DR099_RS02920	MHP168L_RS03250
OG0000410	DR099_RS02545	MHP168L_RS03305
OG0000411	DR099_RS02555	MHP168L_RS03295
OG0000412	DR099_RS02560	MHP168L_RS03290
OG0000413	DR099_RS01425	MHP168L_RS01610
OG0000414	DR099_RS01415	MHP168L_RS01620
OG0000415	DR099_RS01410	MHP168L_RS01625
OG0000416	DR099_RS01400	MHP168L_RS01635
OG0000417	DR099_RS02790	MHP168L_RS02305
OG0000418	DR099_RS02795	MHP168L_RS02300
OG0000419	DR099_RS01640	MHP168L_RS00950
OG0000420	DR099_RS01605	MHP168L_RS00915
OG0000421	DR099_RS01570	MHP168L_RS00885
OG0000422	DR099_RS01560	MHP168L_RS00875
OG0000423	DR099_RS01965	MHP168L_RS00820
OG0000424	DR099_RS01960	MHP168L_RS00815
OG0000425	DR099_RS01950	MHP168L_RS00805
OG0000426	DR099_RS04440	MHP168L_RS00800
OG0000427	DR099_RS04435	MHP168L_RS00775
OG0000428	DR099_RS01895	MHP168L_RS00745
OG0000429	DR099_RS01800	MHP168L_RS00650
OG0000430	DR099_RS01755	MHP168L_RS00605
OG0000431	DR099_RS01745	MHP168L_RS00595
OG0000432	DR099_RS02315	MHP168L_RS01080
OG0000433	DR099_RS02330	MHP168L_RS01095
OG0000434	DR099_RS02335	MHP168L_RS01100
OG0000435	DR099_RS02350	MHP168L_RS01115
OG0000436	DR099_RS02380	MHP168L_RS01145
OG0000437	DR099_RS02390	MHP168L_RS01155
OG0000438	DR099_RS02395	MHP168L_RS01160
OG0000439	DR099_RS04495	MHP168L_RS01165
OG0000440	DR099_RS04560	MHP168L_RS02985
OG0000441	DR099_RS03070	MHP168L_RS03025
OG0000442	DR099_RS03130	MHP168L_RS00125
OG0000443	DR099_RS00800	MHP168L_RS00170
OG0000444	DR099_RS00785	MHP168L_RS00180
OG0000445	DR099_RS00760	MHP168L_RS00205
OG0000446	DR099_RS00730	MHP168L_RS00235
OG0000447	DR099_RS00725	MHP168L_RS00240
OG0000448	DR099_RS00695	MHP168L_RS00270
OG0000449	DR099_RS00670	MHP168L_RS00295
OG0000450	DR099_RS00660	MHP168L_RS00305
OG0000451	DR099_RS00620	MHP168L_RS00345
OG0000452	DR099_RS02945	MHP168L_RS00370
OG0000453	DR099_RS02980	MHP168L_RS00405
OG0000454	DR099_RS02505	MHP168L_RS01800
OG0000455	DR099_RS03220	MHP168L_RS03495
OG0000456	DR099_RS02230	MHP168L_RS03380
OG0000457	DR099_RS02205	MHP168L_RS03355
OG0000458	DR099_RS00275	MHP168L_RS02545
OG0000459	DR099_RS00250	MHP168L_RS02570
OG0000460	DR099_RS00240	MHP168L_RS02580
OG0000461	DR099_RS00195	MHP168L_RS02625
OG0000462	DR099_RS00200	MHP168L_RS02620
OG0000463	DR099_RS00205	MHP168L_RS02615
OG0000464	DR099_RS00210	MHP168L_RS02610
OG0000465	DR099_RS00215	MHP168L_RS02605
OG0000466	DR099_RS02950	MHP168L_RS00375
OG0000467	DR099_RS04290	MHP168L_RS02710
OG0000469	DR099_RS01245	MHP168L_RS02115
OG0000470	DR099_RS03645	MHP168L_RS03850
OG0000471	DR099_RS01890	MHP168L_RS00740
OG0000472	DR099_RS02535	MHP168L_RS03315
OG0000473	DR099_RS03235	MHP168L_RS03485
OG0000475	DR099_RS03225	MHP168L_RS03490
OG0000476	DR099_RS01390	MHP168L_RS01645
OG0000477	DR099_RS00170	MHP168L_RS02650
OG0000478	DR099_RS02280	MHP168L_RS03425
OG0000479	DR099_RS00935	MHP168L_RS01420
OG0000480	DR099_RS03640	MHP168L_RS03885
OG0000481	DR099_RS01535	MHP168L_RS00850
OG0000482	DR099_RS03275	MHP168L_RS01295
OG0000483	DR099_RS01290	MHP168L_RS02240
OG0000484	DR099_RS04330	MHP168L_RS00175
OG0000485	DR099_RS02385	MHP168L_RS01150
OG0000486	DR099_RS02770	MHP168L_RS02325
OG0000487	DR099_RS04370	MHP168L_RS02095
OG0000488	DR099_RS01260	MHP168L_RS02270
OG0000489	DR099_RS00475	MHP168L_RS00050
OG0000490	DR099_RS00535	MHP168L_RS03655
OG0000491	DR099_RS00955	MHP168L_RS01440
OG0000492	DR099_RS01030	MHP168L_RS01515
OG0000493	DR099_RS02750	MHP168L_RS00565
OG0000495	DR099_RS01130	MHP168L_RS02865
OG0000496	DR099_RS01140	MHP168L_RS02855
OG0000497	DR099_RS01145	MHP168L_RS02850
OG0000498	DR099_RS00055	MHP168L_RS02770
OG0000499	DR099_RS00090	MHP168L_RS02735
OG0000500	DR099_RS00425	MHP168L_RS02020
OG0000501	DR099_RS02105	MHP168L_RS03065
OG0000502	DR099_RS03265	MHP168L_RS01285
OG0000503	DR099_RS01590	MHP168L_RS00905
OG0000505	DR099_RS01880	MHP168L_RS00725
OG0000506	DR099_RS01870	MHP168L_RS00715
OG0000507	DR099_RS01835	MHP168L_RS00685
OG0000508	DR099_RS00735	MHP168L_RS00230
OG0000509	DR099_RS00700	MHP168L_RS00265
OG0000510	DR099_RS00690	MHP168L_RS00275
OG0000511	DR099_RS02985	MHP168L_RS00410
OG0000512	DR099_RS00235	MHP168L_RS02585
OG0000513	DR099_RS02265	MHP168L_RS03410
OG0000514	DR099_RS01105	MHP168L_RS02890
OG0000515	DR099_RS03890, DR099_RS01380	MHP168L_RS01655
OG0000516	DR099_RS04375	MHP168L_RS02100
OG0000517	DR099_RS00460	MHP168L_RS00065
OG0000518	DR099_RS02065	MHP168L_RS03105
OG0000519	DR099_RS01565	MHP168L_RS00880
