Orthogroup	MHP_MHP694_genes	MHP_F72C_genes
OG0000328	DR099_RS01925	EHI52_RS00885
OG0000329	DR099_RS01905	EHI52_RS00905
OG0000330	DR099_RS02320	EHI52_RS01175
OG0000331	DR099_RS03090	EHI52_RS02965
OG0000332	DR099_RS02060	EHI52_RS03130
OG0000333	DR099_RS02050	EHI52_RS03140
OG0000334	DR099_RS02890	EHI52_RS03240
OG0000335	DR099_RS02900	EHI52_RS03250
OG0000336	DR099_RS04480	EHI52_RS03400
OG0000337	DR099_RS00570	EHI52_RS03575
OG0000338	DR099_RS00530	EHI52_RS03615
OG0000339	DR099_RS03470	EHI52_RS02340
OG0000340	DR099_RS00920	EHI52_RS01375
OG0000341	DR099_RS02785	EHI52_RS02300
OG0000342	DR099_RS01620	EHI52_RS00730
OG0000343	DR099_RS02040	EHI52_RS03150
OG0000344	DR099_RS02745	EHI52_RS00590
OG0000345	DR099_RS01790	EHI52_RS01090
OG0000346	DR099_RS04645	EHI52_RS03405
OG0000347	DR099_RS01010	EHI52_RS01465
OG0000348	DR099_RS01545	EHI52_RS00805
OG0000349	DR099_RS04490	EHI52_RS03465
OG0000350	DR099_RS00035	EHI52_RS02750
OG0000351	DR099_RS04140	EHI52_RS00510
OG0000352	DR099_RS00430	EHI52_RS02000
OG0000353	DR099_RS00980	EHI52_RS01435
OG0000354	DR099_RS01700	EHI52_RS00650
OG0000355	DR099_RS04300	EHI52_RS02030
OG0000356	DR099_RS04360	EHI52_RS01945
OG0000357	DR099_RS04450	EHI52_RS03110
OG0000358	DR099_RS02075	EHI52_RS03115
OG0000359	DR099_RS04425	EHI52_RS00775
OG0000360	DR099_RS00710	EHI52_RS00285
OG0000361	DR099_RS00680	EHI52_RS00315
OG0000362	DR099_RS00245	EHI52_RS02540
OG0000363	DR099_RS04420	EHI52_RS01505
OG0000364	DR099_RS00375	EHI52_RS03790, EHI52_RS02055
OG0000365	DR099_RS04385	EHI52_RS01905
OG0000366	DR099_RS01275	EHI52_RS01880
OG0000367	DR099_RS01285	EHI52_RS01870
OG0000368	DR099_RS00465	EHI52_RS00060
OG0000369	DR099_RS04315	EHI52_RS00025
OG0000370	DR099_RS00505	EHI52_RS00020
OG0000371	DR099_RS00510	EHI52_RS00015
OG0000372	DR099_RS00515	EHI52_RS00010
OG0000373	DR099_RS00540	EHI52_RS03605
OG0000374	DR099_RS00550	EHI52_RS03595
OG0000375	DR099_RS02850	EHI52_RS02235
OG0000376	DR099_RS02165	EHI52_RS02385
OG0000377	DR099_RS02175	EHI52_RS02375
OG0000378	DR099_RS00900	EHI52_RS01355
OG0000379	DR099_RS00975	EHI52_RS01430
OG0000380	DR099_RS01000	EHI52_RS01455
OG0000381	DR099_RS01510	EHI52_RS01495
OG0000382	DR099_RS01480	EHI52_RS01525
OG0000383	DR099_RS01440	EHI52_RS01565
OG0000384	DR099_RS02685	EHI52_RS00530
OG0000385	DR099_RS02690	EHI52_RS00535
OG0000386	DR099_RS02710	EHI52_RS00555
OG0000387	DR099_RS02735	EHI52_RS00580
OG0000388	DR099_RS04535	EHI52_RS00585
OG0000389	DR099_RS01720	EHI52_RS00630
OG0000390	DR099_RS01065	EHI52_RS02890
OG0000391	DR099_RS01075	EHI52_RS02880
OG0000392	DR099_RS01100	EHI52_RS02855
OG0000393	DR099_RS04355	EHI52_RS02800
OG0000394	DR099_RS00060	EHI52_RS02725
OG0000395	DR099_RS00065	EHI52_RS02720
OG0000396	DR099_RS02670	EHI52_RS02430
OG0000397	DR099_RS00415	EHI52_RS02015
OG0000398	DR099_RS00420	EHI52_RS02010
OG0000399	DR099_RS01190	EHI52_RS01965
OG0000400	DR099_RS02115	EHI52_RS03070
OG0000401	DR099_RS02055	EHI52_RS03135
OG0000402	DR099_RS02045	EHI52_RS03145
OG0000403	DR099_RS02035	EHI52_RS03155
OG0000404	DR099_RS02005	EHI52_RS03185
OG0000405	DR099_RS01990	EHI52_RS03200
OG0000406	DR099_RS02905	EHI52_RS03255
OG0000407	DR099_RS04550	EHI52_RS03260
OG0000408	DR099_RS02915	EHI52_RS03265
OG0000409	DR099_RS02920	EHI52_RS03270
OG0000410	DR099_RS02545	EHI52_RS03330
OG0000411	DR099_RS02555	EHI52_RS03320
OG0000412	DR099_RS02560	EHI52_RS03315
OG0000413	DR099_RS01425	EHI52_RS01580
OG0000414	DR099_RS01415	EHI52_RS01590
OG0000415	DR099_RS01410	EHI52_RS01595
OG0000416	DR099_RS01400	EHI52_RS01605
OG0000417	DR099_RS02790	EHI52_RS02295
OG0000418	DR099_RS02795	EHI52_RS02290
OG0000419	DR099_RS01640	EHI52_RS00710
OG0000420	DR099_RS01605	EHI52_RS00745
OG0000421	DR099_RS01570	EHI52_RS00780
OG0000422	DR099_RS01560	EHI52_RS00790
OG0000423	DR099_RS01965	EHI52_RS00845
OG0000424	DR099_RS01960	EHI52_RS00850
OG0000425	DR099_RS01950	EHI52_RS00860
OG0000426	DR099_RS04440	EHI52_RS00865
OG0000427	DR099_RS04435	EHI52_RS00890
OG0000428	DR099_RS01895	EHI52_RS00915
OG0000429	DR099_RS01800	EHI52_RS01080
OG0000430	DR099_RS01755	EHI52_RS01125
OG0000431	DR099_RS01745	EHI52_RS01135
OG0000432	DR099_RS02315	EHI52_RS01170
OG0000433	DR099_RS02330	EHI52_RS01185
OG0000434	DR099_RS02335	EHI52_RS01190
OG0000435	DR099_RS02350	EHI52_RS01205
OG0000436	DR099_RS02380	EHI52_RS01235
OG0000437	DR099_RS02390	EHI52_RS01245
OG0000438	DR099_RS02395	EHI52_RS01250
OG0000439	DR099_RS04495	EHI52_RS01255
OG0000440	DR099_RS04560	EHI52_RS02945
OG0000441	DR099_RS03070	EHI52_RS02985
OG0000442	DR099_RS03130	EHI52_RS00145
OG0000443	DR099_RS00800	EHI52_RS00195
OG0000444	DR099_RS00785	EHI52_RS00210
OG0000445	DR099_RS00760	EHI52_RS00235
OG0000446	DR099_RS00730	EHI52_RS00265
OG0000447	DR099_RS00725	EHI52_RS00270
OG0000448	DR099_RS00695	EHI52_RS00300
OG0000449	DR099_RS00670	EHI52_RS00325
OG0000450	DR099_RS00660	EHI52_RS00335
OG0000451	DR099_RS00620	EHI52_RS00380
OG0000452	DR099_RS02945	EHI52_RS00405
OG0000453	DR099_RS02980	EHI52_RS00440
OG0000455	DR099_RS03220	EHI52_RS03510
OG0000456	DR099_RS02230	EHI52_RS03390
OG0000457	DR099_RS02205	EHI52_RS03365
OG0000458	DR099_RS00275	EHI52_RS02510
OG0000459	DR099_RS00250	EHI52_RS02535
OG0000460	DR099_RS00240	EHI52_RS02545
OG0000461	DR099_RS00195	EHI52_RS02590
OG0000462	DR099_RS00200	EHI52_RS02585
OG0000463	DR099_RS00205	EHI52_RS02580
OG0000464	DR099_RS00210	EHI52_RS02575
OG0000465	DR099_RS00215	EHI52_RS02570
OG0000466	DR099_RS02950	EHI52_RS00410
OG0000467	DR099_RS04290	EHI52_RS02670
OG0000469	DR099_RS01245	EHI52_RS01910
OG0000470	DR099_RS03645	EHI52_RS03650
OG0000471	DR099_RS01890	EHI52_RS00920
OG0000472	DR099_RS02535	EHI52_RS03340
OG0000473	DR099_RS03235	EHI52_RS03495
OG0000474	DR099_RS03230	EHI52_RS03500
OG0000475	DR099_RS03225	EHI52_RS03505
OG0000476	DR099_RS01390	EHI52_RS01615
OG0000477	DR099_RS00170	EHI52_RS02615
OG0000478	DR099_RS02280	EHI52_RS03440
OG0000479	DR099_RS00935	EHI52_RS01390
OG0000480	DR099_RS03640	EHI52_RS03665
OG0000481	DR099_RS01535	EHI52_RS00815
OG0000482	DR099_RS03275	EHI52_RS01275
OG0000483	DR099_RS01290	EHI52_RS01865
OG0000484	DR099_RS04330	EHI52_RS00205
OG0000485	DR099_RS02385	EHI52_RS01240
OG0000486	DR099_RS02770	EHI52_RS02315
OG0000487	DR099_RS04370	EHI52_RS01930
OG0000488	DR099_RS01260	EHI52_RS01895
OG0000489	DR099_RS00475	EHI52_RS00050
OG0000490	DR099_RS00535	EHI52_RS03610
OG0000491	DR099_RS00955	EHI52_RS01410
OG0000492	DR099_RS01030	EHI52_RS01485
OG0000493	DR099_RS02750	EHI52_RS00595
OG0000494	DR099_RS01695	EHI52_RS00655
OG0000495	DR099_RS01130	EHI52_RS02825
OG0000496	DR099_RS01140	EHI52_RS02815
OG0000497	DR099_RS01145	EHI52_RS02810
OG0000498	DR099_RS00055	EHI52_RS02730
OG0000499	DR099_RS00090	EHI52_RS02695
OG0000500	DR099_RS00425	EHI52_RS02005
OG0000501	DR099_RS02105	EHI52_RS03080
OG0000502	DR099_RS03265	EHI52_RS01265
OG0000503	DR099_RS01590	EHI52_RS00760
OG0000504	DR099_RS01915	EHI52_RS00895
OG0000505	DR099_RS01880	EHI52_RS01000
OG0000506	DR099_RS01870	EHI52_RS01010
OG0000507	DR099_RS01835	EHI52_RS01045
OG0000508	DR099_RS00735	EHI52_RS00260
OG0000509	DR099_RS00700	EHI52_RS00295
OG0000510	DR099_RS00690	EHI52_RS00305
OG0000511	DR099_RS02985	EHI52_RS00445
OG0000512	DR099_RS00235	EHI52_RS02550
OG0000513	DR099_RS02265	EHI52_RS03425
OG0000514	DR099_RS01105	EHI52_RS02850
OG0000515	DR099_RS03890, DR099_RS01380	EHI52_RS02090
OG0000516	DR099_RS04375	EHI52_RS01925
OG0000517	DR099_RS00460	EHI52_RS00065
OG0000518	DR099_RS02065	EHI52_RS03125
OG0000519	DR099_RS01565	EHI52_RS00785
OG0000520	DR099_RS01900	EHI52_RS00910
OG0000521	DR099_RS00720	EHI52_RS00275
OG0000522	DR099_RS00685	EHI52_RS00310
OG0000523	DR099_RS02200	EHI52_RS03360
OG0000524	DR099_RS00120	EHI52_RS02665
OG0000525	DR099_RS04520	EHI52_RS03345
OG0000526	DR099_RS03715	EHI52_RS03800
OG0000527	DR099_RS03420	EHI52_RS02185
OG0000528	DR099_RS04380	EHI52_RS01920
OG0000529	DR099_RS02835	EHI52_RS02250
OG0000530	DR099_RS03455	EHI52_RS02355
OG0000531	DR099_RS01005	EHI52_RS01460
OG0000532	DR099_RS04390	EHI52_RS01685
OG0000534	DR099_RS00605	EHI52_RS00395
OG0000535	DR099_RS04310	EHI52_RS00045
OG0000536	DR099_RS03325	EHI52_RS03545
OG0000537	DR099_RS01625	EHI52_RS00725
OG0000538	DR099_RS02340	EHI52_RS01195
OG0000539	DR099_RS00775	EHI52_RS00220
OG0000540	DR099_RS00150	EHI52_RS02635
OG0000541	DR099_RS00075	EHI52_RS02710
OG0000542	DR099_RS00635	EHI52_RS00365
OG0000544	DR099_RS04335	EHI52_RS01315
OG0000545	DR099_RS00315	EHI52_RS02110
OG0000546	DR099_RS03670	EHI52_RS02780
