Orthogroup	MHP_MHP699_protein	MHP_TB1_protein
OG0000047	WP_225972996.1	WP_044278029.1
OG0000048	WP_011206374.1	WP_252862148.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_160585161.1	WP_014579884.1
OG0000051	WP_160585163.1	WP_081450704.1
OG0000052	WP_160585155.1	WP_014579877.1
OG0000053	WP_160584919.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_014579964.1
OG0000055	WP_160584931.1	WP_014579969.1
OG0000056	WP_160585219.1	WP_014579991.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_014579626.1
OG0000059	WP_044284596.1	WP_014579624.1
OG0000060	WP_020835589.1	WP_014579617.1
OG0000061	WP_220190746.1, WP_011206035.1	WP_011206035.1
OG0000062	WP_146379532.1	WP_252862167.1
OG0000063	WP_052259122.1	WP_014579535.1
OG0000064	WP_160584778.1	WP_014579536.1
OG0000065	WP_014579568.1	WP_014579568.1
OG0000066	WP_146379479.1	WP_088764617.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_160584913.1	WP_088764582.1
OG0000069	WP_020835790.1	WP_014579888.1
OG0000070	WP_011206305.1	WP_011206305.1
OG0000071	WP_044272563.1	WP_014579934.1
OG0000072	WP_160585257.1	WP_044278039.1
OG0000073	WP_280996592.1	WP_179695988.1
OG0000074	WP_280996564.1	WP_228365395.1
OG0000075	WP_160584710.1	WP_044277983.1
OG0000076	WP_308506986.1	WP_228365410.1
OG0000077	WP_160584758.1	WP_252862124.1
OG0000078	WP_308506987.1	WP_252862131.1
OG0000079	WP_220190710.1	WP_233417346.1
OG0000080	WP_160585165.1	WP_014579822.1
OG0000081	WP_011206216.1	WP_014579823.1
OG0000082	WP_160585132.1	WP_014579848.1
OG0000083	WP_011284141.1	WP_014579846.1
OG0000084	WP_011284142.1	WP_014579845.1
OG0000085	WP_011206224.1	WP_011206224.1
OG0000086	WP_160585130.1	WP_014579843.1
OG0000087	WP_220190703.1	WP_044278006.1
OG0000088	WP_044272477.1	WP_014579840.1
OG0000089	WP_044272480.1	WP_014579839.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_160584845.1	WP_088764574.1
OG0000092	WP_011283835.1	WP_088764627.1
OG0000093	WP_160584847.1	WP_252862155.1
OG0000094	WP_160584849.1	WP_252862156.1
OG0000095	WP_160584852.1	WP_011205849.1
OG0000096	WP_160584854.1	WP_252862157.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_160584856.1	WP_252862158.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_160584858.1	WP_014579518.1
OG0000101	WP_160584860.1	WP_252862159.1
OG0000102	WP_044272251.1	WP_252862160.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160584865.1	WP_014580049.1
OG0000105	WP_258555934.1	WP_228365398.1
OG0000106	WP_160584866.1	WP_014580047.1
OG0000107	WP_160584867.1	WP_014580046.1
OG0000108	WP_094521530.1	WP_252862161.1
OG0000109	WP_160584870.1	WP_252862162.1
OG0000110	WP_160584872.1	WP_014580043.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_160585050.1	WP_044277991.1
OG0000113	WP_160585048.1	WP_143826161.1
OG0000114	WP_160585046.1	WP_014579755.1
OG0000115	WP_160585202.1	WP_252862190.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_146379628.1	WP_014579834.1
OG0000118	WP_146379630.1	WP_014579832.1
OG0000119	WP_014579831.1	WP_014579831.1
OG0000120	WP_160585203.1	WP_014579830.1
OG0000121	WP_011284169.1	WP_252862188.1
OG0000122	WP_308506995.1	WP_011206247.1
OG0000123	WP_146379648.1	WP_014579870.1
OG0000124	WP_280996668.1	WP_044278012.1
OG0000125	WP_160585080.1	WP_014579868.1
OG0000126	WP_280996666.1	WP_228365385.1
OG0000127	WP_041361661.1	WP_011206271.1
OG0000128	WP_160585296.1	WP_014579864.1
OG0000129	WP_243216202.1	WP_044278010.1
OG0000130	WP_160585302.1	WP_014579859.1
OG0000131	WP_160584712.1	WP_014579711.1
OG0000132	WP_135618674.1	WP_014579712.1
OG0000133	WP_160584714.1	WP_014579713.1
OG0000134	WP_160584718.1	WP_014579716.1
OG0000135	WP_160584720.1	WP_252862144.1
OG0000136	WP_011290108.1	WP_011284023.1
OG0000137	WP_135618686.1	WP_044277984.1
OG0000138	WP_020835639.1	WP_014579721.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_020835640.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011290114.1
OG0000143	WP_020835643.1	WP_014579725.1
OG0000144	WP_020835645.1	WP_011205956.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_014579726.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_160585089.1	WP_011290120.1
OG0000149	WP_160585091.1	WP_014579728.1
OG0000150	WP_011290122.1	WP_011284040.1
OG0000151	WP_160585093.1	WP_014579730.1
OG0000152	WP_160585095.1	WP_014579731.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_160585097.1	WP_014579733.1
OG0000155	WP_011284046.1	WP_088764591.1
OG0000156	WP_160585099.1	WP_252862142.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_094521636.1	WP_014579737.1
OG0000159	WP_041361727.1	WP_014579586.1
OG0000160	WP_160585150.1	WP_014579588.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_228365407.1	WP_228365407.1
OG0000163	WP_011290004.1	WP_014579591.1
OG0000164	WP_160585148.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_014579592.1
OG0000166	WP_160585144.1	WP_014579594.1
OG0000167	WP_160585142.1	WP_014579595.1
OG0000168	WP_011206113.1	WP_014579598.1
OG0000169	WP_160584791.1	WP_014579657.1
OG0000170	WP_160584793.1	WP_014579656.1
OG0000171	WP_011290017.1	WP_011206102.1
OG0000172	WP_160584795.1	WP_011206101.1
OG0000173	WP_160584965.1	WP_088764593.1
OG0000174	WP_011284289.1	WP_011206395.1
OG0000175	WP_020835845.1	WP_014579948.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_160584967.1	WP_011206390.1
OG0000178	WP_160584969.1	WP_014579946.1
OG0000179	WP_020835843.1	WP_014579945.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_160584971.1	WP_014579942.1
OG0000183	WP_135619012.1	WP_016340240.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_160584976.1	WP_014579937.1
OG0000186	WP_135619008.1	WP_011284272.1
OG0000187	WP_160584978.1	WP_011206376.1
OG0000188	WP_160584982.1	WP_252862206.1
OG0000189	WP_135618994.1	WP_014579931.1
OG0000190	WP_280996773.1	WP_014579930.1
OG0000191	WP_160585267.1	WP_014579929.1
OG0000192	WP_160585263.1	WP_044278028.1
OG0000193	WP_160585121.1	WP_014579920.1
OG0000194	WP_160585119.1	WP_011206337.1
OG0000195	WP_146379681.1	WP_088764588.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_020835818.1	WP_252862135.1
OG0000198	WP_160585117.1	WP_014579917.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_179221158.1	WP_044278019.1
OG0000201	WP_011206287.1	WP_014579880.1
OG0000202	WP_160585290.1	WP_014579777.1
OG0000203	WP_011284063.1	WP_011284063.1
OG0000204	WP_135618732.1	WP_014579775.1
OG0000205	WP_160585024.1	WP_014579804.1
OG0000206	WP_160585022.1	WP_014579805.1
OG0000207	WP_146379611.1	WP_011206197.1
OG0000208	WP_146379610.1	WP_014579806.1
OG0000209	WP_011206200.1	WP_014579808.1
OG0000210	WP_160585013.1	WP_014579811.1
OG0000211	WP_160585175.1	WP_014579813.1
OG0000212	WP_011206207.1	WP_088764587.1
OG0000213	WP_160585173.1	WP_014579815.1
OG0000214	WP_044272610.1	WP_014579962.1
OG0000215	WP_160584923.1	WP_014579966.1
OG0000216	WP_160584925.1	WP_088764594.1
OG0000217	WP_011290368.1	WP_011206425.1
OG0000218	WP_160584927.1	WP_014579967.1
OG0000219	WP_160584933.1	WP_014579970.1
OG0000220	WP_135619070.1	WP_014579971.1
OG0000221	WP_020835872.1	WP_014579972.1
OG0000222	WP_160585271.1	WP_014579976.1
OG0000223	WP_160585273.1	WP_014579977.1
OG0000224	WP_160585275.1	WP_011206441.1
OG0000225	WP_160585277.1	WP_252862149.1
OG0000226	WP_020835880.1	WP_252862150.1
OG0000227	WP_081642895.1	WP_011206445.1
OG0000228	WP_160585278.1	WP_014579980.1
OG0000229	WP_020835888.1	WP_014579985.1
OG0000230	WP_160585211.1	WP_014579987.1
OG0000231	WP_160585215.1	WP_014579989.1
OG0000232	WP_160585217.1	WP_014579990.1
OG0000233	WP_011206457.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_252862192.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160585221.1	WP_014579992.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_160585238.1	WP_011206468.1
OG0000239	WP_011290400.1	WP_014579996.1
OG0000240	WP_011290399.1	WP_014579995.1
OG0000241	WP_020835897.1	WP_011206465.1
OG0000242	WP_160585258.1	WP_088764583.1
OG0000243	WP_160585101.1	WP_014579738.1
OG0000244	WP_160585103.1	WP_014579739.1
OG0000245	WP_011284053.1	WP_011284053.1
OG0000246	WP_160585105.1	WP_014579740.1
OG0000247	WP_011284055.1	WP_014579741.1
OG0000248	WP_160585107.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160585247.1	WP_014579854.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_160585242.1	WP_228365384.1
OG0000253	WP_020835755.1	WP_014579850.1
OG0000254	WP_160584698.1	WP_088764622.1
OG0000255	WP_160584694.1	WP_011283999.1
OG0000256	WP_160584692.1	WP_014579694.1
OG0000257	WP_011290023.1	WP_011283923.1
OG0000258	WP_094521583.1	WP_011283924.1
OG0000259	WP_160584799.1	WP_088764597.1
OG0000260	WP_020835572.1	WP_014579649.1
OG0000261	WP_228729168.1	WP_014579648.1
OG0000262	WP_160584800.1	WP_014579647.1
OG0000263	WP_011283930.1	WP_014579645.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_011206085.1
OG0000266	WP_020835575.1	WP_088764596.1
OG0000267	WP_020835576.1	WP_252862154.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_044277971.1
OG0000270	WP_160584803.1	WP_014579639.1
OG0000271	WP_146379504.1	WP_014579638.1
OG0000272	WP_160584809.1	WP_014579634.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_252862153.1
OG0000275	WP_160584811.1	WP_014579632.1
OG0000276	WP_160584813.1	WP_014579631.1
OG0000277	WP_160584816.1	WP_011206067.1
OG0000278	WP_011290044.1	WP_011206066.1
OG0000279	WP_011206065.1	WP_044277967.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_011206063.1	WP_014579629.1
OG0000282	WP_160584818.1	WP_011206062.1
OG0000283	WP_011206061.1	WP_014579628.1
OG0000284	WP_011206054.1	WP_014579623.1
OG0000285	WP_160584820.1	WP_014579621.1
OG0000286	WP_011290054.1	WP_088764616.1
OG0000287	WP_011206049.1	WP_088764615.1
OG0000288	WP_011206048.1	WP_014579618.1
OG0000289	WP_160585195.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_160585193.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_014579615.1
OG0000294	WP_220190714.1	WP_020835591.1
OG0000295	WP_135618616.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_044284599.1	WP_014579610.1
OG0000300	WP_011206032.1	WP_014579609.1
OG0000301	WP_160585189.1	WP_088764611.1
OG0000302	WP_160585187.1	WP_014579607.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_160585185.1	WP_014579605.1
OG0000305	WP_011290066.1	WP_014579604.1
OG0000306	WP_160585183.1	WP_014579603.1
OG0000307	WP_011283976.1	WP_014579602.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_160584666.1	WP_011290071.1
OG0000310	WP_160584668.1	WP_252862168.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160584674.1	WP_011206013.1
OG0000313	WP_160584676.1	WP_252862166.1
OG0000314	WP_160584678.1	WP_011283987.1
OG0000315	WP_160584680.1	WP_014579665.1
OG0000316	WP_011283989.1	WP_014579666.1
OG0000317	WP_160584682.1	WP_014579667.1
OG0000318	WP_011206006.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160584684.1	WP_014579672.1
OG0000321	WP_160584686.1	WP_014579673.1
OG0000322	WP_160584688.1	WP_088764600.1
OG0000323	WP_011290347.1	WP_011206399.1
OG0000324	WP_160585227.1	WP_011206400.1
OG0000325	WP_160585229.1	WP_252862146.1
OG0000326	WP_160585231.1	WP_011206402.1
OG0000327	WP_160585233.1	WP_290124226.1
OG0000328	WP_011290352.1	WP_014579955.1
OG0000329	WP_041361690.1	WP_014579956.1
OG0000330	WP_011206408.1	WP_011206408.1
OG0000331	WP_011284299.1	WP_252862145.1
OG0000332	WP_258555948.1	WP_014579532.1
OG0000333	WP_280996517.1	WP_014579533.1
OG0000334	WP_160584780.1	WP_014579534.1
OG0000335	WP_020835500.1	WP_011205870.1
OG0000336	WP_160584776.1	WP_252862121.1
OG0000337	WP_160584772.1	WP_011289957.1
OG0000338	WP_044272282.1	WP_014579542.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_020835507.1	WP_014579544.1
OG0000341	WP_011289963.1	WP_011205882.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160584769.1	WP_014579546.1
OG0000344	WP_044284571.1	WP_014579547.1
OG0000345	WP_160584767.1	WP_014579548.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011283865.1
OG0000348	WP_044272682.1	WP_044277952.1
OG0000349	WP_135618497.1	WP_014579552.1
OG0000350	WP_160584765.1	WP_014579553.1
OG0000351	WP_020835515.1	WP_014579554.1
OG0000352	WP_011289973.1	WP_014579555.1
OG0000353	WP_011289974.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_252862123.1
OG0000355	WP_011289976.1	WP_044277955.1
OG0000356	WP_011289977.1	WP_014579560.1
OG0000357	WP_135618505.1	WP_011205899.1
OG0000358	WP_020835520.1	WP_014579562.1
OG0000359	WP_160584763.1	WP_014579563.1
OG0000360	WP_011289982.1	WP_011205903.1
OG0000361	WP_160584761.1	WP_044277956.1
OG0000362	WP_160584760.1	WP_014579565.1
OG0000363	WP_135618519.1	WP_014579569.1
OG0000364	WP_160584756.1	WP_011289987.1
OG0000365	WP_160584754.1	WP_088764575.1
OG0000366	WP_160584751.1	WP_011283887.1
OG0000367	WP_044284579.1	WP_088764577.1
OG0000368	WP_160584747.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_044277957.1
OG0000370	WP_044284773.1	WP_014579577.1
OG0000371	WP_160584745.1	WP_252862126.1
OG0000372	WP_011206135.1	WP_011206135.1
OG0000373	WP_160584741.1	WP_014579579.1
OG0000374	WP_160584890.1	WP_088764580.1
OG0000375	WP_020835916.1	WP_252862128.1
OG0000376	WP_160584898.1	WP_014580021.1
OG0000377	WP_011284373.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220190660.1	WP_252862133.1
OG0000380	WP_160584902.1	WP_014580018.1
OG0000381	WP_228366117.1	WP_044278043.1
OG0000382	WP_011290421.1	WP_011284368.1
OG0000383	WP_011206494.1	WP_088764581.1
OG0000384	WP_011290418.1	WP_014580014.1
OG0000385	WP_094521520.1	WP_014580013.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160584906.1	WP_014580010.1
OG0000389	WP_160584907.1	WP_014580009.1
OG0000390	WP_011206484.1	WP_014580008.1
OG0000391	WP_160584909.1	WP_014580007.1
OG0000392	WP_160584911.1	WP_014580006.1
OG0000393	WP_044272526.1	WP_014579875.1
OG0000394	WP_160585011.1	WP_011206297.1
OG0000395	WP_160585009.1	WP_011284218.1
OG0000396	WP_160585008.1	WP_252862141.1
OG0000397	WP_044272549.1	WP_014579891.1
OG0000398	WP_160584996.1	WP_014579908.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044272553.1	WP_014579905.1
OG0000401	WP_160584999.1	WP_014579904.1
OG0000402	WP_160585001.1	WP_014579902.1
OG0000403	WP_011206315.1	WP_014579901.1
OG0000404	WP_160585002.1	WP_016340234.1
OG0000405	WP_011284228.1	WP_014579898.1
OG0000406	WP_160585004.1	WP_014579895.1
OG0000407	WP_041361673.1	WP_014579894.1
OG0000408	WP_160585005.1	WP_014579893.1
OG0000409	WP_160584774.1	WP_014579538.1
OG0000410	WP_094521545.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_014579572.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_160585146.1	WP_014579593.1
OG0000415	WP_220190741.1	WP_044277963.1
OG0000416	WP_135619020.1	WP_014579943.1
OG0000417	WP_160585265.1	WP_014579928.1
OG0000418	WP_160585113.1	WP_088764589.1
OG0000419	WP_160584992.1	WP_014579911.1
OG0000420	WP_011206313.1	WP_011206313.1
OG0000421	WP_011206298.1	WP_011206298.1
OG0000422	WP_011206293.1	WP_014579885.1
OG0000423	WP_011206141.1	WP_014579776.1
OG0000424	WP_160585015.1	WP_014579810.1
OG0000425	WP_160585171.1	WP_014579816.1
OG0000426	WP_160585167.1	WP_014579818.1
OG0000427	WP_160585126.1	WP_011290211.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220190711.1	WP_228365380.1
OG0000430	WP_135618880.1	WP_014579833.1
OG0000431	WP_160585076.1	WP_252862186.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_160584725.1	WP_014579724.1
OG0000434	WP_041361746.1	WP_014579736.1
OG0000435	WP_094521693.1	WP_014579849.1
OG0000436	WP_011206094.1	WP_088764598.1
OG0000437	WP_160584805.1	WP_014579637.1
OG0000438	WP_160584807.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_014579627.1
OG0000441	WP_225973017.1	WP_011206056.1
OG0000442	WP_135618603.1	WP_014579622.1
OG0000443	WP_160584670.1	WP_011206016.1
OG0000444	WP_160585235.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160585209.1	WP_014579986.1
OG0000448	WP_160585213.1	WP_088764610.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_041361708.1	WP_014580015.1
OG0000451	WP_160584896.1	WP_014580023.1
OG0000452	WP_160585109.1	WP_014579742.1
OG0000453	WP_011290441.1	WP_011206520.1
OG0000454	WP_160584861.1	WP_014580051.1
OG0000455	WP_160585000.1	WP_014579903.1
OG0000456	WP_011284150.1	WP_014579838.1
OG0000457	WP_160585300.1	WP_014579860.1
OG0000458	WP_146379551.1	WP_011205973.1
OG0000459	WP_160585246.1	WP_014579853.1
OG0000460	WP_011290029.1	WP_014579646.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_011284367.1
OG0000463	WP_160584722.1	WP_014579718.1
OG0000464	WP_160585140.1	WP_014579596.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_160584884.1	WP_143826159.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_240536364.1	WP_225973015.1
OG0000470	WP_160584974.1	WP_014579938.1
OG0000471	WP_094521522.1	WP_014580020.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_228729169.1	WP_044277969.1
OG0000474	WP_146379684.1	WP_228365390.1
OG0000475	WP_160584739.1	WP_044277958.1
OG0000476	WP_160585020.1	WP_014579807.1
OG0000477	WP_160585128.1	WP_014579841.1
OG0000478	WP_160584724.1	WP_014579723.1
OG0000479	WP_225973014.1	WP_233417361.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_308506994.1	WP_228365379.1
OG0000482	WP_011206427.1	WP_011206427.1
OG0000483	WP_160584929.1	WP_014579968.1
OG0000484	WP_225973007.1	WP_228365405.1
OG0000485	WP_225973008.1	WP_228365406.1
OG0000486	WP_011289979.1	WP_014579561.1
OG0000487	WP_011290282.1	WP_011206302.1
OG0000488	WP_160584921.1	WP_014579961.1
OG0000489	WP_269076322.1	WP_088764590.1
OG0000490	WP_160584842.1	WP_252862118.1
OG0000490	WP_240536367.1	WP_252862172.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011289930.1	WP_011205844.1
OG0000493	WP_044272260.1	WP_011205843.1
OG0000494	WP_160584863.1	WP_014580050.1
OG0000495	WP_160584874.1	WP_014580041.1
OG0000496	WP_160585298.1	WP_011284186.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160584727.1	WP_011205957.1
OG0000500	WP_044272311.1	WP_014579587.1
OG0000501	WP_160585138.1	WP_044277961.1
OG0000502	WP_052269169.1	WP_252862194.1
OG0000503	WP_225972997.1	WP_014579949.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_160585123.1	WP_014579921.1
OG0000507	WP_020835817.1	WP_011206333.1
OG0000508	WP_160585153.1	WP_014579876.1
OG0000509	WP_220190663.1	WP_014579965.1
OG0000512	WP_160585244.1	WP_044889038.1
OG0000513	WP_146379514.1	WP_011283957.1
OG0000514	WP_011290053.1	WP_044277964.1
OG0000515	WP_160585191.1	WP_011206043.1
OG0000517	WP_011289986.1	WP_011289986.1
OG0000518	WP_160584753.1	WP_088764576.1
OG0000520	WP_160584743.1	WP_252862127.1
OG0000521	WP_160584957.1	WP_252862196.1
OG0000522	WP_160584915.1	WP_014580004.1
OG0000523	WP_160584917.1	WP_014580003.1
OG0000524	WP_160585007.1	WP_014579890.1
OG0000525	WP_160585006.1	WP_014579892.1
OG0000526	WP_160585003.1	WP_252862140.1
OG0000527	WP_011206309.1	WP_044278026.1
OG0000529	WP_160585111.1	WP_252862136.1
OG0000530	WP_160585177.1	WP_014579812.1
OG0000531	WP_160584894.1	WP_252862132.1
OG0000532	WP_160584892.1	WP_044889046.1
OG0000533	WP_160584696.1	WP_088764624.1
OG0000534	WP_020835615.1	WP_014579671.1
OG0000535	WP_160584973.1	WP_014579941.1
OG0000536	WP_160585249.1	WP_044278009.1
OG0000537	WP_160584789.1	WP_252862203.1
OG0000539	WP_011283955.1	WP_088764595.1
OG0000540	WP_160585255.1	WP_014579999.1
OG0000541	WP_160584937.1, WP_160601093.1	WP_014579678.1, WP_014580039.1
OG0000543	WP_160584784.1	WP_011206110.1
OG0000544	WP_160585240.1	WP_014579994.1
OG0000545	WP_280996806.1	WP_014579771.1
OG0000546	WP_160585237.1	WP_011206407.1
OG0000547	WP_094521762.1	WP_014580033.1
OG0000548	WP_160584998.1	WP_252862139.1
OG0000551	WP_240536641.1	WP_252862119.1
OG0000554	WP_280996623.1	WP_228365426.1
OG0000555	WP_160585040.1	WP_014579752.1
OG0000556	WP_011206170.1	WP_014579750.1
OG0000557	WP_220190649.1	WP_252862120.1
OG0000558	WP_160585081.1	WP_252862185.1
OG0000559	WP_020835815.1	WP_014579915.1
OG0000560	WP_258555624.1	WP_143826165.1
OG0000561	WP_160584935.1	WP_016340246.1
OG0000562	WP_258555849.1, WP_258555848.1	WP_252862198.1
OG0000563	WP_280996637.1	WP_020835684.1
OG0000564	WP_160584949.1	WP_228365397.1
OG0000565	WP_160584840.1	WP_014579527.1
OG0000566	WP_160584838.1	WP_014579529.1
OG0000567	WP_160584708.1	WP_014579705.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308506985.1	WP_228365416.1
OG0000570	WP_160584706.1	WP_014579702.1
OG0000571	WP_160584704.1	WP_088764605.1
OG0000572	WP_160584703.1	WP_014579700.1
OG0000573	WP_160584701.1	WP_014579699.1
OG0000574	WP_160584699.1	WP_088764621.1
OG0000575	WP_160584672.1	WP_011206015.1
OG0000576	WP_044272325.1	WP_011206097.1
OG0000577	WP_160585066.1	WP_014579765.1
OG0000578	WP_160585064.1	WP_044277993.1
OG0000579	WP_160585062.1	WP_011284074.1
OG0000580	WP_160585056.1	WP_014579761.1
OG0000581	WP_160585052.1	WP_014579759.1
OG0000582	WP_011206161.1	WP_014579758.1
OG0000583	WP_160585033.1	WP_014579786.1
OG0000584	WP_011284100.1	WP_011206182.1
OG0000585	WP_146379618.1	WP_014579789.1
