Orthogroup	MHP_MHP699_protein	MHP_ES2_protein
OG0000236	WP_160585221.1	WP_135619105.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_160585238.1	WP_135619119.1
OG0000239	WP_011290400.1	WP_011290400.1
OG0000240	WP_011290399.1	WP_135619118.1
OG0000241	WP_020835897.1	WP_135619116.1
OG0000242	WP_160585258.1	WP_135619122.1
OG0000243	WP_160585101.1	WP_135618716.1
OG0000244	WP_160585103.1	WP_135618718.1
OG0000245	WP_011284053.1	WP_011290131.1
OG0000246	WP_160585105.1	WP_135618720.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_160585107.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160585247.1	WP_135618893.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_160585242.1	WP_240536314.1
OG0000253	WP_020835755.1	WP_135619204.1
OG0000254	WP_160584698.1	WP_011205992.1
OG0000255	WP_160584694.1	WP_011283999.1
OG0000256	WP_160584692.1	WP_135618652.1
OG0000257	WP_011290023.1	WP_011283923.1
OG0000258	WP_094521583.1	WP_094521583.1
OG0000259	WP_160584799.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_020835572.1
OG0000261	WP_228729168.1	WP_228729168.1
OG0000262	WP_160584800.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_020835574.1
OG0000266	WP_020835575.1	WP_014579644.1
OG0000267	WP_020835576.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_011290034.1
OG0000270	WP_160584803.1	WP_135618573.1
OG0000271	WP_146379504.1	WP_135618575.1
OG0000272	WP_160584809.1	WP_011290039.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_011206071.1
OG0000275	WP_160584811.1	WP_135618583.1
OG0000276	WP_160584813.1	WP_135618585.1
OG0000277	WP_160584816.1	WP_135618587.1
OG0000278	WP_011290044.1	WP_135618589.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_011206063.1	WP_011206063.1
OG0000282	WP_160584818.1	WP_135618591.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_135618601.1
OG0000285	WP_160584820.1	WP_135618604.1
OG0000286	WP_011290054.1	WP_135618610.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_160585195.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_160585193.1	WP_011283965.1
OG0000292	WP_011206044.1	WP_135618612.1
OG0000293	WP_011290058.1	WP_011206042.1
OG0000294	WP_220190714.1	WP_228729170.1
OG0000295	WP_135618616.1	WP_135618616.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_044284599.1	WP_135618620.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_160585189.1	WP_011290064.1
OG0000302	WP_160585187.1	WP_135618622.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_160585185.1	WP_014579605.1
OG0000305	WP_011290066.1	WP_014579604.1
OG0000306	WP_160585183.1	WP_011206025.1
OG0000307	WP_011283976.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_160584666.1	WP_011290071.1
OG0000310	WP_160584668.1	WP_135618631.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160584674.1	WP_020835607.1
OG0000313	WP_160584676.1	WP_135618635.1
OG0000314	WP_160584678.1	WP_020835610.1
OG0000315	WP_160584680.1	WP_135618637.1
OG0000316	WP_011283989.1	WP_135618639.1
OG0000317	WP_160584682.1	WP_135618641.1
OG0000318	WP_011206006.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160584684.1	WP_014579672.1
OG0000321	WP_160584686.1	WP_135618644.1
OG0000322	WP_160584688.1	WP_020835619.1
OG0000323	WP_011290347.1	WP_011206399.1
OG0000324	WP_160585227.1	WP_135619034.1
OG0000325	WP_160585229.1	WP_020835852.1
OG0000326	WP_160585231.1	WP_135619036.1
OG0000327	WP_160585233.1	WP_135619038.1
OG0000328	WP_011290352.1	WP_011290352.1
OG0000329	WP_041361690.1	WP_011206406.1
OG0000330	WP_011206408.1	WP_135619044.1
OG0000331	WP_011284299.1	WP_135619046.1
OG0000332	WP_258555948.1	WP_050195463.1
OG0000333	WP_280996517.1	WP_135618466.1
OG0000334	WP_160584780.1	WP_135618468.1
OG0000335	WP_020835500.1	WP_020835500.1
OG0000336	WP_160584776.1	WP_135618472.1
OG0000337	WP_160584772.1	WP_135618476.1
OG0000338	WP_044272282.1	WP_135618480.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_020835507.1	WP_014579544.1
OG0000341	WP_011289963.1	WP_135618487.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160584769.1	WP_135618489.1
OG0000344	WP_044284571.1	WP_135618491.1
OG0000345	WP_160584767.1	WP_020835510.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_044272682.1	WP_135618495.1
OG0000349	WP_135618497.1	WP_135618497.1
OG0000350	WP_160584765.1	WP_014579553.1
OG0000351	WP_020835515.1	WP_135618499.1
OG0000352	WP_011289973.1	WP_135618501.1
OG0000353	WP_011289974.1	WP_135618503.1
OG0000354	WP_020835518.1	WP_020835518.1
OG0000355	WP_011289976.1	WP_011289976.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_020835520.1	WP_020835520.1
OG0000359	WP_160584763.1	WP_135618507.1
OG0000360	WP_011289982.1	WP_135618509.1
OG0000361	WP_160584761.1	WP_135618511.1
OG0000362	WP_160584760.1	WP_135618513.1
OG0000363	WP_135618519.1	WP_135618519.1
OG0000364	WP_160584756.1	WP_135618521.1
OG0000365	WP_160584754.1	WP_011283885.1
OG0000366	WP_160584751.1	WP_011283887.1
OG0000367	WP_044284579.1	WP_135618527.1
OG0000368	WP_160584747.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_044284773.1	WP_014579577.1
OG0000371	WP_160584745.1	WP_011283894.1
OG0000372	WP_011206135.1	WP_011206135.1
OG0000373	WP_160584741.1	WP_014579579.1
OG0000374	WP_160584890.1	WP_135619156.1
OG0000375	WP_020835916.1	WP_011206505.1
OG0000376	WP_160584898.1	WP_135619152.1
OG0000377	WP_011284373.1	WP_011206503.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220190660.1	WP_228729166.1
OG0000380	WP_160584902.1	WP_135619148.1
OG0000381	WP_228366117.1	WP_238374142.1
OG0000382	WP_011290421.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_014580014.1
OG0000385	WP_094521520.1	WP_135619140.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160584906.1	WP_240536356.1
OG0000389	WP_160584907.1	WP_044272663.1
OG0000390	WP_011206484.1	WP_011206484.1
OG0000391	WP_160584909.1	WP_011290413.1
OG0000392	WP_160584911.1	WP_135619136.1
OG0000393	WP_044272526.1	WP_135618934.1
OG0000394	WP_160585011.1	WP_135618946.1
OG0000395	WP_160585009.1	WP_011284218.1
OG0000396	WP_160585008.1	WP_020835793.1
OG0000397	WP_044272549.1	WP_011206303.1
OG0000398	WP_160584996.1	WP_135618967.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044272553.1	WP_011206319.1
OG0000401	WP_160584999.1	WP_135618964.1
OG0000402	WP_160585001.1	WP_135618960.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_160585002.1	WP_135618956.1
OG0000405	WP_011284228.1	WP_011284228.1
OG0000406	WP_160585004.1	WP_135618953.1
OG0000407	WP_041361673.1	WP_041361673.1
OG0000408	WP_160585005.1	WP_020835798.1
OG0000409	WP_160584774.1	WP_135618474.1
OG0000410	WP_094521545.1	WP_135618482.1
OG0000411	WP_041361533.1	WP_014579572.1
OG0000412	WP_011283891.1	WP_135618529.1
OG0000413	WP_011205925.1	WP_011205925.1
OG0000414	WP_160585146.1	WP_011206118.1
OG0000415	WP_220190741.1	WP_011283978.1
OG0000416	WP_135619020.1	WP_135619020.1
OG0000417	WP_160585265.1	WP_135618990.1
OG0000418	WP_160585113.1	WP_135618974.1
OG0000419	WP_160584992.1	WP_020835811.1
OG0000420	WP_011206313.1	WP_135618958.1
OG0000421	WP_011206298.1	WP_135618948.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160585015.1	WP_135618838.1
OG0000425	WP_160585171.1	WP_135618850.1
OG0000426	WP_160585167.1	WP_014579818.1
OG0000427	WP_160585126.1	WP_135618864.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220190711.1	WP_240536307.1
OG0000430	WP_135618880.1	WP_135618880.1
OG0000431	WP_160585076.1	WP_135618919.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_160584725.1	WP_020835642.1
OG0000434	WP_041361746.1	WP_135618712.1
OG0000435	WP_094521693.1	WP_135618886.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_160584805.1	WP_135618577.1
OG0000438	WP_160584807.1	WP_135618579.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_041361583.1
OG0000441	WP_225973017.1	WP_135618597.1
OG0000442	WP_135618603.1	WP_135618603.1
OG0000443	WP_160584670.1	WP_011206016.1
OG0000444	WP_160585235.1	WP_135619040.1
OG0000445	WP_011290372.1	WP_135619068.1
OG0000446	WP_011206433.1	WP_135619072.1
OG0000447	WP_160585209.1	WP_135619225.1
OG0000448	WP_160585213.1	WP_135619096.1
OG0000449	WP_011206488.1	WP_135619138.1
OG0000450	WP_041361708.1	WP_135619142.1
OG0000451	WP_160584896.1	WP_011206506.1
OG0000452	WP_160585109.1	WP_135618722.1
OG0000453	WP_011290441.1	WP_050195472.1
OG0000454	WP_160584861.1	WP_011284394.1
OG0000455	WP_160585000.1	WP_135618962.1
OG0000456	WP_011284150.1	WP_135618866.1
OG0000457	WP_160585300.1	WP_135618913.1
OG0000458	WP_146379551.1	WP_011205973.1
OG0000459	WP_160585246.1	WP_135618892.1
OG0000460	WP_011290029.1	WP_135618571.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_135619146.1
OG0000463	WP_160584722.1	WP_135618682.1
OG0000464	WP_160585140.1	WP_052269168.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_014580011.1
OG0000467	WP_160584884.1	WP_135619162.1
OG0000468	WP_011205955.1	WP_135618695.1
OG0000469	WP_240536364.1	WP_240536364.1
OG0000470	WP_160584974.1	WP_020835837.1
OG0000471	WP_094521522.1	WP_135619151.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_228729169.1	WP_228729169.1
OG0000474	WP_146379684.1	WP_044284839.1
OG0000475	WP_160584739.1	WP_240536362.1
OG0000476	WP_160585020.1	WP_135618830.1
OG0000477	WP_160585128.1	WP_011206227.1
OG0000478	WP_160584724.1	WP_135618688.1
OG0000479	WP_225973014.1	WP_233417361.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_308506994.1	WP_240536306.1
OG0000482	WP_011206427.1	WP_240536352.1
OG0000483	WP_160584929.1	WP_135619062.1
OG0000484	WP_225973007.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_011289979.1
OG0000487	WP_011290282.1	WP_094521719.1
OG0000488	WP_160584921.1	WP_240536351.1
OG0000489	WP_269076322.1	WP_276310470.1
OG0000490	WP_240536367.1	WP_240536367.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011289930.1	WP_011205844.1
OG0000493	WP_044272260.1	WP_135618444.1
OG0000494	WP_160584863.1	WP_011206527.1
OG0000495	WP_160584874.1	WP_240536358.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160584727.1	WP_135618693.1
OG0000500	WP_044272311.1	WP_135618542.1
OG0000501	WP_160585138.1	WP_135618552.1
OG0000502	WP_052269169.1	WP_052259108.1
OG0000503	WP_225972997.1	WP_228366107.1
OG0000504	WP_160584980.1	WP_011206375.1
OG0000506	WP_160585123.1	WP_011290313.1
OG0000509	WP_220190663.1	WP_318026019.1
OG0000510	WP_187145658.1	WP_187145658.1
OG0000511	WP_160584951.1	WP_135618754.1, WP_240536323.1
OG0000512	WP_160585244.1	WP_135618890.1
OG0000513	WP_146379514.1	WP_135618599.1
OG0000516	WP_011290062.1	WP_135618618.1
OG0000518	WP_160584753.1	WP_135618523.1
OG0000519	WP_160584749.1	WP_135618525.1
OG0000520	WP_160584743.1	WP_135618531.1
OG0000521	WP_160584957.1	WP_135618759.1, WP_135618904.1
OG0000522	WP_160584915.1	WP_135619132.1
OG0000523	WP_160584917.1	WP_020835904.1
OG0000524	WP_160585007.1	WP_011206301.1
OG0000525	WP_160585006.1	WP_135618950.1
OG0000526	WP_160585003.1	WP_135618955.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000530	WP_160585177.1	WP_135618841.1
OG0000531	WP_160584894.1	WP_011284377.1
OG0000532	WP_160584892.1	WP_135619154.1
OG0000533	WP_160584696.1	WP_014579695.1
OG0000534	WP_020835615.1	WP_135618643.1
OG0000535	WP_160584973.1	WP_135619014.1
OG0000536	WP_160585249.1	WP_135618895.1
OG0000537	WP_160584789.1	WP_135618559.1
OG0000539	WP_011283955.1	WP_135618595.1
OG0000540	WP_160585255.1	WP_135619126.1
OG0000541	WP_160584937.1	WP_135618911.1
OG0000541	WP_160601093.1	WP_135618741.1
OG0000543	WP_160584784.1	WP_011206110.1
OG0000544	WP_160585240.1	WP_135619114.1
OG0000545	WP_280996806.1	WP_135618761.1
OG0000547	WP_094521762.1	WP_135618906.1
OG0000548	WP_160584998.1	WP_135618965.1
OG0000551	WP_240536641.1	WP_240536381.1
OG0000553	WP_280996663.1	WP_240536328.1
OG0000554	WP_280996623.1	WP_240536396.1
OG0000555	WP_160585040.1	WP_135618789.1
OG0000556	WP_011206170.1	WP_011206170.1
OG0000557	WP_220190649.1	WP_240536359.1
OG0000558	WP_160585081.1	WP_135618928.1
OG0000559	WP_020835815.1	WP_135618976.1
OG0000561	WP_160584935.1	WP_094521504.1
OG0000562	WP_258555849.1	WP_240536382.1
OG0000563	WP_280996637.1	WP_228729173.1
OG0000564	WP_160584949.1	WP_135618908.1, WP_135618753.1
OG0000565	WP_160584840.1	WP_135618450.1
OG0000566	WP_160584838.1	WP_135618452.1
OG0000567	WP_160584708.1	WP_135618666.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308506985.1	WP_240536369.1
OG0000570	WP_160584706.1	WP_135618664.1
OG0000571	WP_160584704.1	WP_135618662.1
OG0000572	WP_160584703.1	WP_135618660.1
OG0000573	WP_160584701.1	WP_135618658.1
OG0000574	WP_160584699.1	WP_135618654.1
OG0000575	WP_160584672.1	WP_240536365.1
OG0000576	WP_044272325.1	WP_135618569.1
OG0000577	WP_160585066.1	WP_011206153.1
OG0000578	WP_160585064.1	WP_135618767.1
OG0000579	WP_160585062.1	WP_135618769.1
OG0000580	WP_160585056.1	WP_135618773.1
OG0000581	WP_160585052.1	WP_135618777.1
OG0000582	WP_011206161.1	WP_011206161.1
