Orthogroup	MHP_7448_genes	MHP_ES2L_genes
OG0000099	MHP7448_RS03570	HZK19_RS03585
OG0000100	MHP7448_RS03555	HZK19_RS03570
OG0000101	MHP7448_RS03550	HZK19_RS03565
OG0000102	MHP7448_RS01720	HZK19_RS01675
OG0000103	MHP7448_RS02145	HZK19_RS02185
OG0000104	MHP7448_RS02150	HZK19_RS02190
OG0000105	MHP7448_RS02165	HZK19_RS02205
OG0000106	MHP7448_RS02175	HZK19_RS02215
OG0000107	MHP7448_RS02185	HZK19_RS02225
OG0000108	MHP7448_RS02190	HZK19_RS02230
OG0000109	MHP7448_RS02195	HZK19_RS02235
OG0000110	MHP7448_RS02410	HZK19_RS02355
OG0000111	MHP7448_RS02405	HZK19_RS02350
OG0000112	MHP7448_RS02395	HZK19_RS02340
OG0000113	MHP7448_RS02375	HZK19_RS02320
OG0000114	MHP7448_RS02365	HZK19_RS02310
OG0000115	MHP7448_RS02355	HZK19_RS02300
OG0000116	MHP7448_RS01315	HZK19_RS01265
OG0000117	MHP7448_RS01320	HZK19_RS01270
OG0000118	MHP7448_RS01355	HZK19_RS01305
OG0000119	MHP7448_RS01360	HZK19_RS01310
OG0000120	MHP7448_RS01375	HZK19_RS01325
OG0000121	MHP7448_RS01400	HZK19_RS01350
OG0000122	MHP7448_RS01405	HZK19_RS01355
OG0000123	MHP7448_RS01425	HZK19_RS01375
OG0000124	MHP7448_RS01430	HZK19_RS01380
OG0000125	MHP7448_RS01435	HZK19_RS01385
OG0000126	MHP7448_RS01445	HZK19_RS01395
OG0000127	MHP7448_RS01455	HZK19_RS01405
OG0000128	MHP7448_RS01470	HZK19_RS01420
OG0000129	MHP7448_RS01475	HZK19_RS01425
OG0000130	MHP7448_RS01485	HZK19_RS01435
OG0000131	MHP7448_RS01515	HZK19_RS01465
OG0000132	MHP7448_RS01530	HZK19_RS01480
OG0000133	MHP7448_RS00530	HZK19_RS00520
OG0000134	MHP7448_RS00535	HZK19_RS00525
OG0000135	MHP7448_RS00550	HZK19_RS00540
OG0000136	MHP7448_RS00555	HZK19_RS00545
OG0000137	MHP7448_RS00590	HZK19_RS00575
OG0000138	MHP7448_RS00630	HZK19_RS00610
OG0000139	MHP7448_RS00660	HZK19_RS00640
OG0000140	MHP7448_RS00665	HZK19_RS00645
OG0000141	MHP7448_RS02960	HZK19_RS02895
OG0000142	MHP7448_RS02955	HZK19_RS02890
OG0000143	MHP7448_RS02930	HZK19_RS02870
OG0000144	MHP7448_RS02920	HZK19_RS02860
OG0000145	MHP7448_RS02910	HZK19_RS02850
OG0000146	MHP7448_RS02900	HZK19_RS02840
OG0000147	MHP7448_RS02895	HZK19_RS02835
OG0000148	MHP7448_RS02880	HZK19_RS02820
OG0000149	MHP7448_RS02870	HZK19_RS02810
OG0000150	MHP7448_RS02850	HZK19_RS02795
OG0000151	MHP7448_RS02805	HZK19_RS02750
OG0000152	MHP7448_RS02800	HZK19_RS02745
OG0000153	MHP7448_RS02795	HZK19_RS02740
OG0000154	MHP7448_RS02785	HZK19_RS02730
OG0000155	MHP7448_RS02745	HZK19_RS02690
OG0000156	MHP7448_RS02735	HZK19_RS02680
OG0000157	MHP7448_RS02730	HZK19_RS02675
OG0000158	MHP7448_RS04110	HZK19_RS03895
OG0000159	MHP7448_RS02485	HZK19_RS03970
OG0000160	MHP7448_RS02480	HZK19_RS02425
OG0000161	MHP7448_RS02475	HZK19_RS02420
OG0000162	MHP7448_RS02465	HZK19_RS02410
OG0000163	MHP7448_RS02460	HZK19_RS02405
OG0000164	MHP7448_RS01625	HZK19_RS01575
OG0000165	MHP7448_RS01960	HZK19_RS01905
OG0000166	MHP7448_RS01980	HZK19_RS01925
OG0000167	MHP7448_RS01995	HZK19_RS01940
OG0000168	MHP7448_RS02000	HZK19_RS01945
OG0000169	MHP7448_RS03080	HZK19_RS02990
OG0000170	MHP7448_RS03095	HZK19_RS03005
OG0000171	MHP7448_RS03105	HZK19_RS03110
OG0000172	MHP7448_RS03115	HZK19_RS03115
OG0000173	MHP7448_RS03120	HZK19_RS03120
OG0000174	MHP7448_RS03125	HZK19_RS03125
OG0000175	MHP7448_RS03140	HZK19_RS03140
OG0000176	MHP7448_RS03190	HZK19_RS03190
OG0000177	MHP7448_RS03195	HZK19_RS03195
OG0000178	MHP7448_RS03200	HZK19_RS03200
OG0000179	MHP7448_RS03210	HZK19_RS03210
OG0000180	MHP7448_RS03215	HZK19_RS03215
OG0000181	MHP7448_RS03255	HZK19_RS03265
OG0000182	MHP7448_RS03265	HZK19_RS03275
OG0000183	MHP7448_RS03300	HZK19_RS03310
OG0000184	MHP7448_RS03345	HZK19_RS03355
OG0000185	MHP7448_RS03330	HZK19_RS03340
OG0000186	MHP7448_RS01540	HZK19_RS01490
OG0000187	MHP7448_RS01555	HZK19_RS01505
OG0000188	MHP7448_RS01565	HZK19_RS01515
OG0000189	MHP7448_RS02230	HZK19_RS02270
OG0000190	MHP7448_RS02225	HZK19_RS02265
OG0000191	MHP7448_RS02205	HZK19_RS02245
OG0000192	MHP7448_RS01230	HZK19_RS01180
OG0000193	MHP7448_RS01210	HZK19_RS01175
OG0000194	MHP7448_RS00700	HZK19_RS00665
OG0000195	MHP7448_RS00705	HZK19_RS00670
OG0000196	MHP7448_RS00725	HZK19_RS00690
OG0000197	MHP7448_RS00730	HZK19_RS00695
OG0000198	MHP7448_RS00745	HZK19_RS00710
OG0000199	MHP7448_RS00750	HZK19_RS00715
OG0000200	MHP7448_RS00760	HZK19_RS00730
OG0000201	MHP7448_RS00770	HZK19_RS00740
OG0000202	MHP7448_RS00825	HZK19_RS00795
OG0000203	MHP7448_RS00830	HZK19_RS00800
OG0000204	MHP7448_RS00835	HZK19_RS00805
OG0000205	MHP7448_RS00840	HZK19_RS00810
OG0000206	MHP7448_RS00860	HZK19_RS00830
OG0000207	MHP7448_RS00875	HZK19_RS00845
OG0000208	MHP7448_RS00880	HZK19_RS00850
OG0000209	MHP7448_RS00885	HZK19_RS00855
OG0000210	MHP7448_RS00930	HZK19_RS00900
OG0000211	MHP7448_RS00940	HZK19_RS00910
OG0000212	MHP7448_RS00950	HZK19_RS00920
OG0000213	MHP7448_RS00955	HZK19_RS00925
OG0000214	MHP7448_RS00960	HZK19_RS00930
OG0000215	MHP7448_RS00965	HZK19_RS00935
OG0000216	MHP7448_RS00970	HZK19_RS00940
OG0000217	MHP7448_RS00975	HZK19_RS00945
OG0000218	MHP7448_RS00985	HZK19_RS00955
OG0000219	MHP7448_RS00990	HZK19_RS00960
OG0000220	MHP7448_RS00995	HZK19_RS00965
OG0000221	MHP7448_RS01000	HZK19_RS00970
OG0000222	MHP7448_RS01005	HZK19_RS00975
OG0000223	MHP7448_RS01010	HZK19_RS00980
OG0000224	MHP7448_RS01020	HZK19_RS00990
OG0000225	MHP7448_RS01030	HZK19_RS01000
OG0000226	MHP7448_RS01035	HZK19_RS01005
OG0000227	MHP7448_RS01040	HZK19_RS01010
OG0000228	MHP7448_RS04115	HZK19_RS03950
OG0000229	MHP7448_RS01050	HZK19_RS01020
OG0000230	MHP7448_RS01055	HZK19_RS01025
OG0000231	MHP7448_RS01065	HZK19_RS01035
OG0000232	MHP7448_RS01075	HZK19_RS01045
OG0000233	MHP7448_RS01095	HZK19_RS01070
OG0000234	MHP7448_RS01130	HZK19_RS01105
OG0000235	MHP7448_RS01140	HZK19_RS01115
OG0000236	MHP7448_RS01145	HZK19_RS01120
OG0000237	MHP7448_RS01150	HZK19_RS01125
OG0000238	MHP7448_RS01160	HZK19_RS01130
OG0000239	MHP7448_RS02970	HZK19_RS02905
OG0000240	MHP7448_RS02975	HZK19_RS02910
OG0000241	MHP7448_RS02985	HZK19_RS02920
OG0000242	MHP7448_RS02990	HZK19_RS02925
OG0000243	MHP7448_RS02995	HZK19_RS02930
OG0000244	MHP7448_RS03005	HZK19_RS02940
OG0000245	MHP7448_RS04055	HZK19_RS02950
OG0000246	MHP7448_RS00140	HZK19_RS00125
OG0000247	MHP7448_RS00150	HZK19_RS00135
OG0000248	MHP7448_RS00160	HZK19_RS00145
OG0000249	MHP7448_RS00165	HZK19_RS00150
OG0000250	MHP7448_RS00180	HZK19_RS00165
OG0000251	MHP7448_RS00205	HZK19_RS00195
OG0000252	MHP7448_RS00215	HZK19_RS00205
OG0000253	MHP7448_RS00220	HZK19_RS00210
OG0000254	MHP7448_RS00230	HZK19_RS00220
OG0000255	MHP7448_RS00240	HZK19_RS00225
OG0000256	MHP7448_RS00245	HZK19_RS00230
OG0000257	MHP7448_RS00270	HZK19_RS00255
OG0000258	MHP7448_RS00280	HZK19_RS00265
OG0000259	MHP7448_RS00310	HZK19_RS00295
OG0000260	MHP7448_RS00320	HZK19_RS00305
OG0000261	MHP7448_RS00330	HZK19_RS00315
OG0000262	MHP7448_RS00345	HZK19_RS00330
OG0000263	MHP7448_RS00360	HZK19_RS00345
OG0000264	MHP7448_RS00375	HZK19_RS00360
OG0000265	MHP7448_RS00385	HZK19_RS00370
OG0000266	MHP7448_RS00400	HZK19_RS00385
OG0000267	MHP7448_RS00415	HZK19_RS00400
OG0000268	MHP7448_RS00420	HZK19_RS00405
OG0000269	MHP7448_RS00435	HZK19_RS00420
OG0000270	MHP7448_RS03525	HZK19_RS03540
OG0000271	MHP7448_RS03520	HZK19_RS03535
OG0000272	MHP7448_RS03515	HZK19_RS03530
OG0000273	MHP7448_RS03510	HZK19_RS03525
OG0000274	MHP7448_RS03490	HZK19_RS03505
OG0000275	MHP7448_RS03485	HZK19_RS03500
OG0000276	MHP7448_RS03480	HZK19_RS03495
OG0000277	MHP7448_RS03470	HZK19_RS03485
OG0000278	MHP7448_RS03465	HZK19_RS03480
OG0000279	MHP7448_RS03455	HZK19_RS03470
OG0000280	MHP7448_RS03450	HZK19_RS03465
OG0000281	MHP7448_RS03795	HZK19_RS03460
OG0000282	MHP7448_RS03420	HZK19_RS03435
OG0000283	MHP7448_RS03415	HZK19_RS03430
OG0000284	MHP7448_RS03410	HZK19_RS03425
OG0000285	MHP7448_RS03405	HZK19_RS03420
OG0000286	MHP7448_RS02445	HZK19_RS02390
OG0000287	MHP7448_RS02540	HZK19_RS02485
OG0000288	MHP7448_RS02550	HZK19_RS02495
OG0000289	MHP7448_RS02555	HZK19_RS02500
OG0000290	MHP7448_RS02665	HZK19_RS02610
OG0000291	MHP7448_RS02655	HZK19_RS02600
OG0000292	MHP7448_RS02650	HZK19_RS02595
OG0000293	MHP7448_RS02645	HZK19_RS02590
OG0000294	MHP7448_RS02635	HZK19_RS02580
OG0000295	MHP7448_RS02630	HZK19_RS02575
OG0000296	MHP7448_RS02590	HZK19_RS02535
OG0000297	MHP7448_RS02585	HZK19_RS02530
OG0000298	MHP7448_RS00175	HZK19_RS00160
OG0000299	MHP7448_RS03685	HZK19_RS00180
OG0000300	MHP7448_RS00370	HZK19_RS00355
OG0000301	MHP7448_RS00405	HZK19_RS00390
OG0000302	MHP7448_RS00410	HZK19_RS00395
OG0000303	MHP7448_RS00560	HZK19_RS00550
OG0000304	MHP7448_RS01080	HZK19_RS01055
OG0000305	MHP7448_RS02905	HZK19_RS02845
OG0000306	MHP7448_RS02825	HZK19_RS02770
OG0000307	MHP7448_RS02790	HZK19_RS02735
OG0000308	MHP7448_RS02685	HZK19_RS02635
OG0000309	MHP7448_RS02620	HZK19_RS02565
OG0000310	MHP7448_RS02545	HZK19_RS02490
OG0000311	MHP7448_RS02505	HZK19_RS02450
OG0000312	MHP7448_RS02490	HZK19_RS02435
OG0000313	MHP7448_RS01615	HZK19_RS01565
OG0000314	MHP7448_RS01975	HZK19_RS01920
OG0000315	MHP7448_RS02005	HZK19_RS01950
OG0000316	MHP7448_RS02015	HZK19_RS01960
OG0000317	MHP7448_RS02105	HZK19_RS02055
OG0000318	MHP7448_RS02020	HZK19_RS01965
OG0000319	MHP7448_RS02160	HZK19_RS02200
OG0000320	MHP7448_RS02385	HZK19_RS02330
OG0000321	MHP7448_RS01350	HZK19_RS01300
OG0000322	MHP7448_RS01395	HZK19_RS01345
OG0000323	MHP7448_RS01525	HZK19_RS01475
OG0000324	MHP7448_RS02200	HZK19_RS02240
OG0000325	MHP7448_RS00710	HZK19_RS00675
OG0000326	MHP7448_RS00800	HZK19_RS00770
OG0000327	MHP7448_RS00805	HZK19_RS00775
OG0000328	MHP7448_RS00890	HZK19_RS00860
OG0000329	MHP7448_RS00910	HZK19_RS00880
OG0000330	MHP7448_RS01105	HZK19_RS01080
OG0000331	MHP7448_RS03000	HZK19_RS02935
OG0000332	MHP7448_RS03150	HZK19_RS03150
OG0000333	MHP7448_RS03160	HZK19_RS03160
OG0000334	MHP7448_RS03260	HZK19_RS03270
OG0000335	MHP7448_RS03270	HZK19_RS03280
OG0000336	MHP7448_RS03440	HZK19_RS03450
OG0000337	MHP7448_RS03605	HZK19_RS03620
OG0000338	MHP7448_RS03650	HZK19_RS03660
OG0000339	MHP7448_RS02360	HZK19_RS02305
OG0000340	MHP7448_RS01330	HZK19_RS01280
OG0000341	MHP7448_RS02220	HZK19_RS02260
OG0000342	MHP7448_RS00740	HZK19_RS00705
OG0000343	MHP7448_RS03170	HZK19_RS03170
OG0000344	MHP7448_RS00575	HZK19_RS00565
OG0000345	MHP7448_RS01025	HZK19_RS00995
OG0000346	MHP7448_RS04140	HZK19_RS03455
OG0000347	MHP7448_RS01420	HZK19_RS01370
OG0000348	MHP7448_RS00810	HZK19_RS00780
OG0000349	MHP7448_RS03500	HZK19_RS03515
OG0000350	MHP7448_RS03675	HZK19_RS02725
OG0000351	MHP7448_RS00495	HZK19_RS00480
OG0000352	MHP7448_RS01955	HZK19_RS01895
OG0000353	MHP7448_RS01390	HZK19_RS01340
OG0000354	MHP7448_RS00645	HZK19_RS00625
OG0000355	MHP7448_RS01925	HZK19_RS01870
OG0000356	MHP7448_RS02010	HZK19_RS01955
OG0000357	MHP7448_RS03130	HZK19_RS03130
OG0000358	MHP7448_RS03135	HZK19_RS03135
OG0000359	MHP7448_RS00780	HZK19_RS00750
OG0000360	MHP7448_RS00275	HZK19_RS00260
OG0000361	MHP7448_RS00305	HZK19_RS00290
OG0000362	MHP7448_RS02565	HZK19_RS02510
OG0000363	MHP7448_RS01460	HZK19_RS03730
OG0000364	MHP7448_RS01905	HZK19_RS03760, HZK19_RS01855
OG0000365	MHP7448_RS02050	HZK19_RS02000
OG0000366	MHP7448_RS02075	HZK19_RS02025
OG0000367	MHP7448_RS02085	HZK19_RS02035
OG0000368	MHP7448_RS00060	HZK19_RS00060
OG0000369	MHP7448_RS00025	HZK19_RS00025
OG0000370	MHP7448_RS00020	HZK19_RS00020
OG0000371	MHP7448_RS00015	HZK19_RS00015
OG0000372	MHP7448_RS00010	HZK19_RS00010
OG0000373	MHP7448_RS03640	HZK19_RS03650
OG0000374	MHP7448_RS03625	HZK19_RS03640
OG0000375	MHP7448_RS02155	HZK19_RS02195
OG0000376	MHP7448_RS02400	HZK19_RS02345
OG0000377	MHP7448_RS02390	HZK19_RS02335
OG0000378	MHP7448_RS01310	HZK19_RS01260
OG0000379	MHP7448_RS01385	HZK19_RS01335
OG0000380	MHP7448_RS01410	HZK19_RS01360
OG0000381	MHP7448_RS01450	HZK19_RS01400
OG0000382	MHP7448_RS01480	HZK19_RS01430
OG0000383	MHP7448_RS01520	HZK19_RS01470
OG0000384	MHP7448_RS00515	HZK19_RS00505
OG0000385	MHP7448_RS00520	HZK19_RS00510
OG0000386	MHP7448_RS00540	HZK19_RS00530
OG0000387	MHP7448_RS00565	HZK19_RS00555
OG0000388	MHP7448_RS00570	HZK19_RS00560
OG0000389	MHP7448_RS00615	HZK19_RS00605
OG0000390	MHP7448_RS02925	HZK19_RS02865
OG0000391	MHP7448_RS02915	HZK19_RS02855
OG0000392	MHP7448_RS02890	HZK19_RS02830
OG0000393	MHP7448_RS02830	HZK19_RS02775
OG0000394	MHP7448_RS02755	HZK19_RS02700
OG0000395	MHP7448_RS02750	HZK19_RS02695
OG0000396	MHP7448_RS02450	HZK19_RS02395
OG0000397	MHP7448_RS01940	HZK19_RS01880
OG0000398	MHP7448_RS01945	HZK19_RS01885
OG0000399	MHP7448_RS01990	HZK19_RS01935
OG0000400	MHP7448_RS03090	HZK19_RS03000
OG0000401	MHP7448_RS03155	HZK19_RS03155
OG0000402	MHP7448_RS03165	HZK19_RS03165
OG0000403	MHP7448_RS03175	HZK19_RS03175
OG0000404	MHP7448_RS03205	HZK19_RS03205
OG0000405	MHP7448_RS03220	HZK19_RS03220
OG0000406	MHP7448_RS03275	HZK19_RS03285
OG0000407	MHP7448_RS03280	HZK19_RS03290
OG0000408	MHP7448_RS03285	HZK19_RS03295
OG0000409	MHP7448_RS03290	HZK19_RS03300
OG0000410	MHP7448_RS03350	HZK19_RS03360
OG0000411	MHP7448_RS03340	HZK19_RS03350
OG0000412	MHP7448_RS03335	HZK19_RS03345
OG0000413	MHP7448_RS01535	HZK19_RS01485
OG0000414	MHP7448_RS01545	HZK19_RS01495
OG0000415	MHP7448_RS01550	HZK19_RS01500
OG0000416	MHP7448_RS01560	HZK19_RS01510
OG0000417	MHP7448_RS02215	HZK19_RS02255
OG0000418	MHP7448_RS02210	HZK19_RS02250
OG0000419	MHP7448_RS00720	HZK19_RS00685
OG0000420	MHP7448_RS00755	HZK19_RS00720
OG0000421	MHP7448_RS00785	HZK19_RS00755
OG0000422	MHP7448_RS00795	HZK19_RS00765
OG0000423	MHP7448_RS00850	HZK19_RS00820
OG0000424	MHP7448_RS00855	HZK19_RS00825
OG0000425	MHP7448_RS00865	HZK19_RS00835
OG0000426	MHP7448_RS00870	HZK19_RS00840
OG0000427	MHP7448_RS00895	HZK19_RS00865
OG0000428	MHP7448_RS00920	HZK19_RS00890
OG0000429	MHP7448_RS01015	HZK19_RS00985
OG0000430	MHP7448_RS01060	HZK19_RS01030
OG0000431	MHP7448_RS01070	HZK19_RS01040
OG0000432	MHP7448_RS01100	HZK19_RS01075
OG0000433	MHP7448_RS01115	HZK19_RS01090
OG0000434	MHP7448_RS01120	HZK19_RS01095
OG0000435	MHP7448_RS01135	HZK19_RS01110
OG0000436	MHP7448_RS01165	HZK19_RS01135
OG0000437	MHP7448_RS01175	HZK19_RS01145
OG0000438	MHP7448_RS01180	HZK19_RS01150
OG0000439	MHP7448_RS01185	HZK19_RS01155
OG0000440	MHP7448_RS02980	HZK19_RS02915
OG0000441	MHP7448_RS03020	HZK19_RS02955
OG0000442	MHP7448_RS00145	HZK19_RS00130
OG0000443	MHP7448_RS00190	HZK19_RS00175
OG0000444	MHP7448_RS00200	HZK19_RS00190
OG0000445	MHP7448_RS00225	HZK19_RS00215
OG0000446	MHP7448_RS00255	HZK19_RS00240
OG0000447	MHP7448_RS00260	HZK19_RS00245
OG0000448	MHP7448_RS00290	HZK19_RS00275
OG0000449	MHP7448_RS00315	HZK19_RS00300
OG0000450	MHP7448_RS00325	HZK19_RS00310
OG0000451	MHP7448_RS00365	HZK19_RS00350
OG0000452	MHP7448_RS00390	HZK19_RS00375
OG0000453	MHP7448_RS00425	HZK19_RS00410
OG0000454	MHP7448_RS01580	HZK19_RS03100
OG0000455	MHP7448_RS03545	HZK19_RS03560
OG0000456	MHP7448_RS03425	HZK19_RS03440
OG0000457	MHP7448_RS03400	HZK19_RS03415
OG0000458	MHP7448_RS02535	HZK19_RS02480
OG0000459	MHP7448_RS02560	HZK19_RS02505
OG0000460	MHP7448_RS02570	HZK19_RS02520
OG0000461	MHP7448_RS02615	HZK19_RS02560
OG0000462	MHP7448_RS02610	HZK19_RS02555
OG0000465	MHP7448_RS02595	HZK19_RS02545
OG0000466	MHP7448_RS00395	HZK19_RS00380
OG0000467	MHP7448_RS02700	HZK19_RS02645
OG0000468	MHP7448_RS01985	HZK19_RS01930
OG0000469	MHP7448_RS02045	HZK19_RS01990
OG0000470	MHP7448_RS03850	HZK19_RS00815
OG0000471	MHP7448_RS00925	HZK19_RS00895
OG0000472	MHP7448_RS03360	HZK19_RS03370
OG0000473	MHP7448_RS03530	HZK19_RS03545
OG0000474	MHP7448_RS03535	HZK19_RS03550
OG0000475	MHP7448_RS03540	HZK19_RS03555
OG0000476	MHP7448_RS01570	HZK19_RS01520
OG0000477	MHP7448_RS02640	HZK19_RS02585
OG0000478	MHP7448_RS03475	HZK19_RS03490
OG0000479	MHP7448_RS01345	HZK19_RS01295
OG0000480	MHP7448_RS03895	HZK19_RS01995
OG0000481	MHP7448_RS00820	HZK19_RS00790
OG0000483	MHP7448_RS02090	HZK19_RS02040
OG0000484	MHP7448_RS00195	HZK19_RS00185
OG0000485	MHP7448_RS01170	HZK19_RS01140
OG0000486	MHP7448_RS02235	HZK19_RS02275
OG0000487	MHP7448_RS02025	HZK19_RS01970
OG0000488	MHP7448_RS02060	HZK19_RS02010
