Orthogroup	MFC_ATCC27716_proteins	MHP_111A_proteins
OG0000077	WP_002557937.1	WP_404912169.1
OG0000079	WP_040538387.1, WP_002558020.1	WP_404911913.1
OG0000080	WP_196792423.1	WP_011206314.1
OG0000081	WP_231237881.1, WP_231237882.1	WP_160615521.1
OG0000083	WP_002557446.1	WP_011206216.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_002557452.1	WP_011206223.1
OG0000086	WP_002557454.1	WP_404912428.1
OG0000087	WP_002557457.1	WP_404912425.1
OG0000088	WP_002557458.1	WP_020835733.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_002557465.1	WP_020835488.1
OG0000091	WP_002557468.1	WP_020835487.1
OG0000092	WP_002557471.1	WP_404912119.1
OG0000093	WP_002557472.1	WP_011205846.1
OG0000094	WP_002557473.1	WP_014579519.1
OG0000095	WP_002557479.1	WP_044272251.1
OG0000096	WP_002557480.1	WP_404912113.1
OG0000097	WP_002557483.1	WP_404912105.1
OG0000098	WP_002557485.1	WP_011290444.1
OG0000099	WP_002557494.1	WP_404912092.1
OG0000100	WP_002557496.1	WP_011290432.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_002557499.1	WP_404912445.1
OG0000103	WP_002557509.1	WP_146379627.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_146379630.1
OG0000106	WP_002557516.1	WP_146379631.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_002557519.1	WP_404911836.1
OG0000109	WP_002557520.1	WP_146379632.1
OG0000110	WP_002557522.1	WP_020835772.1
OG0000111	WP_002557523.1	WP_020835771.1
OG0000112	WP_002557525.1	WP_404911866.1
OG0000113	WP_002557528.1	WP_404911858.1
OG0000114	WP_002557530.1	WP_404911856.1
OG0000115	WP_002557532.1	WP_011290245.1
OG0000116	WP_002557534.1	WP_404912315.1
OG0000117	WP_002557535.1	WP_160615714.1
OG0000118	WP_002557540.1	WP_404912325.1
OG0000119	WP_002557541.1	WP_160585678.1
OG0000120	WP_002557544.1	WP_011284027.1
OG0000121	WP_002557548.1	WP_011284032.1
OG0000122	WP_002557549.1	WP_020835643.1
OG0000123	WP_002557553.1	WP_011205954.1
OG0000124	WP_002557554.1	WP_011290118.1
OG0000125	WP_002557555.1	WP_011205952.1
OG0000126	WP_002557557.1	WP_160606641.1
OG0000127	WP_002557559.1	WP_011290122.1
OG0000128	WP_002557562.1	WP_404912339.1
OG0000129	WP_002557563.1	WP_020835651.1
OG0000130	WP_002557565.1	WP_011284046.1
OG0000131	WP_002557566.1	WP_094521635.1
OG0000132	WP_002557569.1	WP_404912347.1
OG0000133	WP_002557574.1	WP_014579589.1
OG0000134	WP_002557575.1	WP_404912178.1
OG0000135	WP_002557577.1	WP_011206120.1
OG0000136	WP_002557578.1	WP_179695961.1
OG0000137	WP_002557585.1	WP_011206113.1
OG0000138	WP_002557590.1	WP_160584793.1
OG0000139	WP_002557594.1	WP_011290017.1
OG0000140	WP_002557595.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_011284290.1
OG0000142	WP_002557603.1	WP_011284289.1
OG0000143	WP_002557607.1	WP_135619026.1
OG0000144	WP_002557609.1	WP_404911973.1
OG0000145	WP_002557611.1	WP_225972996.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_002557618.1	WP_404911967.1
OG0000149	WP_002557620.1	WP_011290331.1
OG0000150	WP_002557623.1	WP_011206376.1
OG0000151	WP_002557634.1	WP_020835828.1
OG0000152	WP_002557635.1	WP_020835827.1
OG0000153	WP_002557636.1	WP_011206347.1
OG0000154	WP_002557638.1	WP_160587842.1
OG0000155	WP_002557642.1	WP_020835820.1
OG0000156	WP_002557647.1	WP_011206335.1
OG0000157	WP_002557648.1	WP_011290309.1
OG0000158	WP_002557650.1	WP_404911941.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_179221158.1
OG0000161	WP_002557669.1	WP_014579880.1
OG0000162	WP_002557671.1	WP_044272532.1
OG0000163	WP_002557672.1	WP_404911888.1
OG0000164	WP_002557677.1	WP_160601269.1
OG0000165	WP_002557684.1	WP_011206200.1
OG0000166	WP_002557689.1	WP_404911786.1
OG0000167	WP_002557692.1	WP_011206207.1
OG0000168	WP_002557693.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_002557704.1	WP_020835862.1
OG0000171	WP_002557706.1	WP_404911998.1
OG0000172	WP_002557707.1	WP_011206424.1
OG0000173	WP_002557708.1	WP_011206425.1
OG0000174	WP_002557709.1	WP_404912001.1
OG0000175	WP_002557712.1	WP_404912008.1
OG0000176	WP_002557719.1	WP_160607777.1
OG0000177	WP_002557720.1	WP_160585273.1
OG0000178	WP_002557721.1	WP_020835878.1
OG0000179	WP_002557724.1	WP_160585639.1
OG0000180	WP_002557725.1	WP_160585638.1
OG0000181	WP_002557727.1	WP_020835888.1
OG0000182	WP_002557729.1	WP_011284337.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_002557740.1	WP_011206468.1
OG0000185	WP_002557743.1	WP_020835897.1
OG0000186	WP_002557750.1	WP_404912349.1
OG0000187	WP_002557753.1	WP_011284055.1
OG0000188	WP_002557755.1	WP_011205932.1
OG0000189	WP_002557756.1	WP_404911845.1
OG0000190	WP_002557757.1	WP_011206256.1
OG0000191	WP_002557761.1	WP_146379633.1
OG0000192	WP_002557763.1	WP_404912441.1
OG0000193	WP_002557766.1	WP_404912294.1
OG0000194	WP_002557768.1	WP_011290023.1
OG0000195	WP_002557769.1	WP_094521583.1
OG0000196	WP_002557774.1	WP_179221025.1
OG0000197	WP_002557775.1	WP_041361572.1
OG0000198	WP_002557778.1	WP_011283930.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_020835575.1
OG0000201	WP_002557783.1	WP_011283934.1
OG0000202	WP_002557791.1	WP_011290039.1
OG0000203	WP_002557792.1	WP_011206072.1
OG0000204	WP_002557793.1	WP_146379508.1
OG0000205	WP_002557794.1	WP_160606691.1
OG0000206	WP_002557798.1	WP_011290044.1
OG0000207	WP_002557801.1	WP_011206063.1
OG0000208	WP_002557802.1	WP_135618591.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_002557811.1	WP_146379515.1
OG0000211	WP_002557813.1	WP_011290054.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_160585195.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_020835589.1
OG0000216	WP_002557819.1	WP_160585193.1
OG0000217	WP_002557820.1	WP_011206044.1
OG0000218	WP_002557822.1	WP_404912251.1
OG0000219	WP_002557823.1	WP_220190714.1
OG0000220	WP_002557824.1	WP_011206040.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_404912255.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_404912259.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011206031.1
OG0000228	WP_002557834.1	WP_041361593.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_404912263.1
OG0000231	WP_002557838.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_002557842.1	WP_011290071.1
OG0000234	WP_002557848.1	WP_404912276.1
OG0000235	WP_002557850.1	WP_094521605.1
OG0000236	WP_002557851.1	WP_011283989.1
OG0000237	WP_002557855.1	WP_404912280.1
OG0000238	WP_002557856.1	WP_011206006.1
OG0000239	WP_002557863.1	WP_011290347.1
OG0000240	WP_002557864.1	WP_404911978.1
OG0000241	WP_002557866.1	WP_044272588.1
OG0000242	WP_002557867.1	WP_404911981.1
OG0000243	WP_002557868.1	WP_146379703.1
OG0000244	WP_002557870.1	WP_041361690.1
OG0000245	WP_002557872.1	WP_146379707.1
OG0000246	WP_002557875.1	WP_404912139.1
OG0000247	WP_002557877.1	WP_404912141.1
OG0000248	WP_002557882.1	WP_052259122.1
OG0000249	WP_002557883.1	WP_160588044.1
OG0000250	WP_002557886.1	WP_011289957.1
OG0000251	WP_002557891.1	WP_318023737.1
OG0000252	WP_002557893.1	WP_011205883.1
OG0000253	WP_002557894.1	WP_011289964.1
OG0000254	WP_002557896.1	WP_160584767.1
OG0000255	WP_002557898.1	WP_014579550.1
OG0000256	WP_002557899.1	WP_011205889.1
OG0000257	WP_002557904.1	WP_011289973.1
OG0000258	WP_002557905.1	WP_011289974.1
OG0000259	WP_002557911.1	WP_041361723.1
OG0000260	WP_002557913.1	WP_094521550.1
OG0000261	WP_002557915.1	WP_044272293.1
OG0000262	WP_002557919.1	WP_041361531.1
OG0000263	WP_002557922.1	WP_011283885.1
OG0000264	WP_002557925.1	WP_011283887.1
OG0000265	WP_002557927.1	WP_044284579.1
OG0000266	WP_002557930.1	WP_011205923.1
OG0000267	WP_002557932.1	WP_020835532.1
OG0000268	WP_002557933.1	WP_179695950.1
OG0000269	WP_002557936.1	WP_011206134.1
OG0000270	WP_002557945.1	WP_404912080.1
OG0000271	WP_002557946.1	WP_404912076.1
OG0000272	WP_002557947.1	WP_404912074.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_002557951.1	WP_011290423.1
OG0000275	WP_002557952.1	WP_404912071.1
OG0000276	WP_002557954.1	WP_011290421.1
OG0000277	WP_002557956.1	WP_011206494.1
OG0000278	WP_002557957.1	WP_011206493.1
OG0000279	WP_002557959.1	WP_011290418.1
OG0000280	WP_002557960.1	WP_404912067.1
OG0000281	WP_002557961.1	WP_011290416.1
OG0000282	WP_002557964.1	WP_404912062.1
OG0000283	WP_002557965.1	WP_044272663.1
OG0000284	WP_002557966.1	WP_160585585.1
OG0000285	WP_002557967.1	WP_404912060.1
OG0000286	WP_002557972.1	WP_160615969.1
OG0000287	WP_002557978.1	WP_404911902.1
OG0000288	WP_002557980.1	WP_404911904.1
OG0000289	WP_002557981.1	WP_404911906.1
OG0000290	WP_002558003.1	WP_011290297.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_044272553.1
OG0000293	WP_002558007.1	WP_135618964.1
OG0000294	WP_002558009.1	WP_404911922.1
OG0000295	WP_002558010.1	WP_011206315.1
OG0000296	WP_002558018.1	WP_041361673.1
OG0000297	WP_002558019.1	WP_146379664.1
OG0000298	WP_039387485.1	WP_404912146.1
OG0000299	WP_039387487.1	WP_160606529.1
OG0000300	WP_039387496.1	WP_041361533.1
OG0000301	WP_039387501.1	WP_011289991.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_039387509.1	WP_404912180.1
OG0000304	WP_039387510.1	WP_220190741.1
OG0000305	WP_039387514.1	WP_020835841.1
OG0000306	WP_039387523.1	WP_044272563.1
OG0000307	WP_039387525.1	WP_160585265.1
OG0000308	WP_039387535.1	WP_404911934.1
OG0000309	WP_039387539.1	WP_146379668.1
OG0000310	WP_039387544.1	WP_011206298.1
OG0000311	WP_039387548.1	WP_011206293.1
OG0000312	WP_039387550.1	WP_041361671.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_039387562.1	WP_404911788.1
OG0000315	WP_039387569.1	WP_014579816.1
OG0000316	WP_039387574.1	WP_404911774.1
OG0000317	WP_039387578.1	WP_404912423.1
OG0000318	WP_039387594.1	WP_404911772.1
OG0000319	WP_039387606.1	WP_404911833.1
OG0000320	WP_039387609.1	WP_404911862.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_020835642.1
OG0000323	WP_039387619.1	WP_011290127.1
OG0000324	WP_039387626.1	WP_011290222.1
OG0000325	WP_039387628.1	WP_011206094.1
OG0000326	WP_039387636.1	WP_404912219.1
OG0000327	WP_039387638.1	WP_146379506.1
OG0000328	WP_039387644.1	WP_041361583.1
OG0000329	WP_039387648.1	WP_011206056.1
OG0000330	WP_039387658.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_146379704.1
OG0000332	WP_039387681.1	WP_011290372.1
OG0000333	WP_039387683.1	WP_011206433.1
OG0000334	WP_039387693.1	WP_020835889.1
OG0000335	WP_039387695.1	WP_160606864.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_039387722.1	WP_011284387.1
OG0000338	WP_039387723.1	WP_404912111.1
OG0000339	WP_039387775.1	WP_404911854.1
OG0000340	WP_039387777.1	WP_011205973.1
OG0000341	WP_039387782.1	WP_011290226.1
OG0000342	WP_039387785.1	WP_011290029.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_052269168.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_051054328.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_081605285.1	WP_014579636.1
OG0000349	WP_155897264.1	WP_094521522.1
OG0000350	WP_201771011.1	WP_404911952.1
OG0000351	WP_220189978.1	WP_404912171.1
OG0000352	WP_220190833.1	WP_404911795.1
OG0000353	WP_231237861.1	WP_404912328.1
OG0000354	WP_231237863.1	WP_404912194.1
OG0000355	WP_231237866.1	WP_011206194.1
OG0000356	WP_231237867.1	WP_404911776.1
OG0000357	WP_231237871.1	WP_404912003.1
OG0000358	WP_231237872.1	WP_404912004.1
OG0000359	WP_231237874.1	WP_404912214.1
OG0000360	WP_231237879.1	WP_404912153.1
OG0000361	WP_231237880.1	WP_011289979.1
OG0000362	WP_231237889.1	WP_160600961.1
OG0000363	WP_334199004.1	WP_232039606.1
OG0000365	WP_002557448.1	WP_404912433.1
OG0000366	WP_002557453.1	WP_404912430.1
OG0000367	WP_002557455.1	WP_225973040.1
OG0000368	WP_002557467.1	WP_404912121.1
OG0000369	WP_002557475.1	WP_011205844.1
OG0000370	WP_002557476.1	WP_044272260.1
OG0000371	WP_002557477.1	WP_044272256.1
OG0000372	WP_002557478.1	WP_404912115.1
OG0000373	WP_002557482.1	WP_404912107.1
OG0000374	WP_002557484.1	WP_404912104.1
OG0000375	WP_002557511.1	WP_404911831.1
OG0000376	WP_002557524.1	WP_404911868.1
OG0000377	WP_002557526.1	WP_404911864.1
OG0000378	WP_002557533.1	WP_011205977.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_002557550.1	WP_160588252.1
OG0000381	WP_002557558.1	WP_404912336.1
OG0000382	WP_002557564.1	WP_404912342.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_002557571.1	WP_041361727.1
OG0000385	WP_002557572.1	WP_044272311.1
OG0000386	WP_002557576.1	WP_011290004.1
OG0000387	WP_002557580.1	WP_404912182.1
OG0000388	WP_002557581.1	WP_179221014.1
OG0000389	WP_002557589.1	WP_404912192.1
OG0000390	WP_002557608.1	WP_011290340.1
OG0000391	WP_002557610.1	WP_020835843.1
OG0000392	WP_002557615.1	WP_160607852.1
OG0000393	WP_002557627.1	WP_404911961.1
OG0000394	WP_002557640.1	WP_011290313.1
OG0000395	WP_002557641.1	WP_404911946.1
OG0000396	WP_002557673.1	WP_020835781.1
OG0000397	WP_002557680.1	WP_011206196.1
OG0000398	WP_002557681.1	WP_020835709.1
OG0000399	WP_002557691.1	WP_404911782.1
OG0000400	WP_002557703.1	WP_044272610.1
OG0000401	WP_002557714.1	WP_135619070.1
OG0000402	WP_002557715.1	WP_020835872.1
OG0000403	WP_002557717.1	WP_020835873.1
OG0000404	WP_002557722.1, WP_002557723.1	WP_404912014.1
OG0000405	WP_002557726.1	WP_404912460.1
OG0000406	WP_002557731.1	WP_404912025.1
OG0000407	WP_002557732.1	WP_404912027.1
OG0000408	WP_002557733.1	WP_011206457.1
OG0000409	WP_002557734.1	WP_011206458.1
OG0000410	WP_002557739.1	WP_011206469.1
OG0000411	WP_002557741.1	WP_146379742.1
OG0000413	WP_002557749.1	WP_146379568.1
OG0000414	WP_002557751.1	WP_011290131.1
OG0000415	WP_002557752.1	WP_404912351.1
OG0000416	WP_002557754.1	WP_011284056.1
OG0000417	WP_002557759.1	WP_404911842.1
OG0000418	WP_002557760.1	WP_160588285.1
OG0000419	WP_002557773.1	WP_020835572.1
OG0000420	WP_002557780.1	WP_020835574.1
OG0000421	WP_002557784.1	WP_011206080.1
OG0000422	WP_002557786.1	WP_146379504.1
OG0000423	WP_002557796.1	WP_404912224.1
OG0000424	WP_002557797.1	WP_011290043.1
OG0000425	WP_002557799.1	WP_044277967.1
OG0000426	WP_002557800.1	WP_011206064.1
OG0000427	WP_002557805.1	WP_135618593.1
OG0000428	WP_002557810.1	WP_011206054.1
OG0000429	WP_002557828.1	WP_404912257.1
OG0000430	WP_002557837.1	WP_404912265.1
OG0000431	WP_002557839.1	WP_011290067.1
OG0000432	WP_002557843.1	WP_404912272.1
OG0000433	WP_002557845.1	WP_011206014.1
OG0000434	WP_002557846.1	WP_020835607.1
OG0000435	WP_002557849.1	WP_404912278.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_002557860.1	WP_404912284.1
OG0000438	WP_002557861.1	WP_404912286.1
OG0000439	WP_002557862.1	WP_404912288.1
OG0000440	WP_002557865.1	WP_011290349.1
OG0000441	WP_002557873.1	WP_011284299.1
OG0000442	WP_002557876.1	WP_160607726.1
OG0000443	WP_002557888.1	WP_044272282.1
OG0000444	WP_002557890.1	WP_011205880.1
OG0000445	WP_002557895.1	WP_160585544.1
OG0000446	WP_002557901.1	WP_348602689.1
OG0000447	WP_002557902.1	WP_014579553.1
OG0000448	WP_002557907.1	WP_011289976.1
OG0000449	WP_002557912.1	WP_348571941.1
OG0000450	WP_002557914.1	WP_160588027.1
OG0000451	WP_002557923.1	WP_160585531.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_002557934.1	WP_011283895.1
OG0000455	WP_002557941.1	WP_404912085.1
OG0000456	WP_002557963.1	WP_011206487.1
OG0000457	WP_002557968.1	WP_404912464.1
OG0000458	WP_002557977.1	WP_020835790.1
OG0000459	WP_002557982.1	WP_014579890.1
OG0000460	WP_002557984.1	WP_044272549.1
OG0000461	WP_002558012.1	WP_404912452.1
OG0000462	WP_002558013.1	WP_404911917.1
OG0000463	WP_002558014.1	WP_011206310.1
OG0000464	WP_002558016.1	WP_011206309.1
OG0000465	WP_002558017.1	WP_135618953.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000467	WP_039387531.1	WP_404911938.1
OG0000468	WP_039387564.1	WP_404911784.1
OG0000469	WP_039387592.1	WP_011290203.1
OG0000470	WP_039387641.1	WP_011206069.1
OG0000471	WP_039387651.1	WP_044272348.1
OG0000472	WP_039387700.1	WP_404912044.1
OG0000473	WP_039387713.1	WP_020835917.1
OG0000474	WP_039387714.1	WP_041361711.1
OG0000475	WP_039387715.1	WP_404912083.1
OG0000476	WP_039387719.1	WP_011205931.1
OG0000477	WP_039387750.1	WP_011206317.1
OG0000478	WP_039387817.1	WP_011284367.1
OG0000479	WP_051054268.1	WP_404912322.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_196792421.1	WP_044272343.1
OG0000482	WP_201771017.1	WP_404912296.1
OG0000483	WP_231237857.1	WP_347952210.1
OG0000484	WP_231237877.1	WP_135618485.1
OG0000488	WP_002557450.1	WP_146379596.1
OG0000490	WP_002557481.1	WP_404912109.1
OG0000493	WP_002557584.1	WP_404912185.1
OG0000494	WP_002557592.1	WP_404912196.1
OG0000495	WP_002557622.1	WP_404911964.1
OG0000496	WP_002557624.1	WP_011290327.1
OG0000497	WP_002557625.1	WP_135619004.1
OG0000498	WP_002557639.1	WP_011290314.1
OG0000499	WP_002557649.1	WP_020835817.1
OG0000500	WP_002557682.1	WP_404911797.1
OG0000501	WP_002557705.1	WP_404911996.1
OG0000502	WP_002557767.1	WP_404912292.1
OG0000503	WP_002557782.1	WP_404912212.1
OG0000504	WP_002557806.1	WP_011283955.1
OG0000505	WP_002557812.1	WP_146379519.1
OG0000506	WP_002557814.1	WP_011206049.1
OG0000507	WP_002557821.1	WP_020835590.1
OG0000509	WP_002557906.1	WP_020835518.1
OG0000510	WP_002557908.1	WP_011289977.1
OG0000511	WP_002557935.1	WP_011206135.1
OG0000512	WP_002557985.1	WP_404911911.1
OG0000516	WP_002557444.1	WP_160607660.1
OG0000517	WP_002557466.1	WP_404912123.1
OG0000519	WP_002557785.1	WP_020835579.1
OG0000520	WP_002557809.1	WP_146379514.1
OG0000522	WP_002557909.1	WP_135618505.1
OG0000523	WP_002557969.1	WP_258555910.1
OG0000524	WP_039387533.1	WP_404911936.1
OG0000525	WP_040538380.1	WP_404912046.1
OG0000528	WP_002557445.1	WP_404912437.1
OG0000531	WP_002557551.1	WP_020835645.1
OG0000532	WP_002557598.1	WP_404912365.1
OG0000533	WP_002557841.1	WP_011290010.1
OG0000534	WP_002557926.1	WP_404912163.1
OG0000536	WP_002557493.1	WP_404912094.1
OG0000540	WP_002558004.1	WP_404911926.1
OG0000541	WP_002557646.1	WP_404911944.1
OG0000555	WP_002557605.1	WP_308507032.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000596	WP_002557880.1	WP_404912392.1
OG0000598	WP_002557879.1	WP_192894290.1
OG0000599	WP_039387482.1	WP_011206170.1
