Orthogroup	MHP_154B_genes	MHP_TB1_genes
OG0000160	NB624_RS02605	B5M19_RS02815
OG0000161	NB624_RS02600	B5M19_RS02820
OG0000162	NB624_RS02590	B5M19_RS02830
OG0000163	NB624_RS02585	B5M19_RS02835
OG0000164	NB624_RS01600	B5M19_RS04495
OG0000165	NB624_RS01945	B5M19_RS00760
OG0000166	NB624_RS01965	B5M19_RS00785
OG0000167	NB624_RS01980	B5M19_RS00800
OG0000168	NB624_RS01985	B5M19_RS00805
OG0000169	NB624_RS03205	B5M19_RS01450
OG0000170	NB624_RS03220	B5M19_RS01465
OG0000171	NB624_RS03230	B5M19_RS01475
OG0000172	NB624_RS03235	B5M19_RS01480
OG0000173	NB624_RS03240	B5M19_RS01490
OG0000174	NB624_RS03245	B5M19_RS01495
OG0000175	NB624_RS03265	B5M19_RS01510
OG0000176	NB624_RS03315	B5M19_RS01560
OG0000177	NB624_RS03320	B5M19_RS01565
OG0000178	NB624_RS03325	B5M19_RS04200
OG0000179	NB624_RS03335	B5M19_RS01580
OG0000180	NB624_RS03340	B5M19_RS01585
OG0000181	NB624_RS03380	B5M19_RS03045
OG0000182	NB624_RS03390	B5M19_RS03035
OG0000183	NB624_RS03425	B5M19_RS03000
OG0000184	NB624_RS03470	B5M19_RS03105
OG0000185	NB624_RS03455	B5M19_RS03120
OG0000186	NB624_RS01515	B5M19_RS03550
OG0000187	NB624_RS01530	B5M19_RS03535
OG0000188	NB624_RS01540	B5M19_RS03525
OG0000189	NB624_RS02440	B5M19_RS03210
OG0000190	NB624_RS02435	B5M19_RS03215
OG0000191	NB624_RS02410	B5M19_RS03235
OG0000192	NB624_RS01205	B5M19_RS03675
OG0000193	NB624_RS01195	B5M19_RS02360
OG0000194	NB624_RS00990	B5M19_RS01855
OG0000195	NB624_RS00985	B5M19_RS01850
OG0000196	NB624_RS00960	B5M19_RS01830
OG0000197	NB624_RS00955	B5M19_RS01825
OG0000198	NB624_RS00940	B5M19_RS01810
OG0000199	NB624_RS00935	B5M19_RS01805
OG0000200	NB624_RS00920	B5M19_RS01790
OG0000201	NB624_RS00910	B5M19_RS01780
OG0000202	NB624_RS00855	B5M19_RS01725
OG0000203	NB624_RS00850	B5M19_RS01720
OG0000204	NB624_RS00845	B5M19_RS01715
OG0000205	NB624_RS00840	B5M19_RS01710
OG0000206	NB624_RS00820	B5M19_RS01690
OG0000207	NB624_RS00805	B5M19_RS01675
OG0000208	NB624_RS00800	B5M19_RS01670
OG0000209	NB624_RS00795	B5M19_RS01665
OG0000210	NB624_RS00750	B5M19_RS01620
OG0000211	NB624_RS00740	B5M19_RS03415
OG0000212	NB624_RS00730	B5M19_RS03405
OG0000213	NB624_RS00725	B5M19_RS03400
OG0000214	NB624_RS00720	B5M19_RS03395
OG0000215	NB624_RS00715	B5M19_RS03390
OG0000216	NB624_RS00710	B5M19_RS03385
OG0000217	NB624_RS00705	B5M19_RS03380
OG0000218	NB624_RS00695	B5M19_RS03370
OG0000219	NB624_RS00690	B5M19_RS03365
OG0000220	NB624_RS00685	B5M19_RS03360
OG0000221	NB624_RS00680	B5M19_RS03355
OG0000222	NB624_RS00675	B5M19_RS03350
OG0000223	NB624_RS00670	B5M19_RS03345
OG0000224	NB624_RS00660	B5M19_RS03130
OG0000225	NB624_RS00650	B5M19_RS03140
OG0000226	NB624_RS00645	B5M19_RS03145
OG0000227	NB624_RS00640	B5M19_RS03150
OG0000228	NB624_RS00635	B5M19_RS04630
OG0000229	NB624_RS00630	B5M19_RS03160
OG0000230	NB624_RS00625	B5M19_RS03165
OG0000231	NB624_RS00615	B5M19_RS03175
OG0000232	NB624_RS00605	B5M19_RS03185
OG0000233	NB624_RS01095	B5M19_RS02225
OG0000234	NB624_RS01130	B5M19_RS04335
OG0000235	NB624_RS01140	B5M19_RS02175
OG0000236	NB624_RS01145	B5M19_RS02170
OG0000237	NB624_RS01150	B5M19_RS02165
OG0000238	NB624_RS01155	B5M19_RS02155
OG0000239	NB624_RS03100	B5M19_RS01315
OG0000240	NB624_RS03105	B5M19_RS01310
OG0000241	NB624_RS03115	B5M19_RS01300
OG0000242	NB624_RS03120	B5M19_RS04160
OG0000243	NB624_RS03125	B5M19_RS01290
OG0000244	NB624_RS03135	B5M19_RS01280
OG0000245	NB624_RS03145	B5M19_RS01270
OG0000246	NB624_RS00140	B5M19_RS00050
OG0000247	NB624_RS00150	B5M19_RS00060
OG0000248	NB624_RS00160	B5M19_RS00070
OG0000249	NB624_RS00165	B5M19_RS00075
OG0000250	NB624_RS00180	B5M19_RS03880
OG0000251	NB624_RS00210	B5M19_RS00125
OG0000252	NB624_RS00220	B5M19_RS00135
OG0000253	NB624_RS00225	B5M19_RS00140
OG0000254	NB624_RS00235	B5M19_RS00150
OG0000255	NB624_RS00240	B5M19_RS00160
OG0000256	NB624_RS00245	B5M19_RS00165
OG0000257	NB624_RS00270	B5M19_RS00190
OG0000258	NB624_RS00280	B5M19_RS04020
OG0000259	NB624_RS00310	B5M19_RS00230
OG0000260	NB624_RS00320	B5M19_RS00240
OG0000261	NB624_RS00330	B5M19_RS00250
OG0000262	NB624_RS00350	B5M19_RS00270
OG0000263	NB624_RS00360	B5M19_RS00285
OG0000264	NB624_RS00375	B5M19_RS04030
OG0000265	NB624_RS00385	B5M19_RS00315
OG0000266	NB624_RS00400	B5M19_RS00335
OG0000267	NB624_RS00415	B5M19_RS04035
OG0000268	NB624_RS00420	B5M19_RS00355
OG0000269	NB624_RS00435	B5M19_RS03680
OG0000270	NB624_RS03635	B5M19_RS00415
OG0000271	NB624_RS03630	B5M19_RS00420
OG0000272	NB624_RS03625	B5M19_RS00425
OG0000273	NB624_RS03620	B5M19_RS00430
OG0000274	NB624_RS03605	B5M19_RS00450
OG0000275	NB624_RS03595	B5M19_RS00455
OG0000276	NB624_RS03590	B5M19_RS00460
OG0000277	NB624_RS03580	B5M19_RS00470
OG0000278	NB624_RS03575	B5M19_RS00475
OG0000279	NB624_RS03565	B5M19_RS00485
OG0000280	NB624_RS03560	B5M19_RS00490
OG0000281	NB624_RS03555	B5M19_RS00495
OG0000282	NB624_RS03530	B5M19_RS00520
OG0000283	NB624_RS03525	B5M19_RS00525
OG0000284	NB624_RS03520	B5M19_RS00530
OG0000285	NB624_RS03515	B5M19_RS00535
OG0000286	NB624_RS02570	B5M19_RS02850
OG0000287	NB624_RS02675	B5M19_RS01050
OG0000288	NB624_RS02685	B5M19_RS01040
OG0000289	NB624_RS02690	B5M19_RS01035
OG0000290	NB624_RS02815	B5M19_RS04120
OG0000291	NB624_RS02800	B5M19_RS00935
OG0000292	NB624_RS02795	B5M19_RS00940
OG0000293	NB624_RS02790	B5M19_RS00945
OG0000294	NB624_RS02780	B5M19_RS00955
OG0000295	NB624_RS02775	B5M19_RS00960
OG0000296	NB624_RS02725	B5M19_RS01000
OG0000297	NB624_RS02720	B5M19_RS01005
OG0000298	NB624_RS00175	B5M19_RS00085
OG0000299	NB624_RS00195	B5M19_RS00110
OG0000300	NB624_RS00370	B5M19_RS00300
OG0000301	NB624_RS00405	B5M19_RS00340
OG0000302	NB624_RS00410	B5M19_RS00345
OG0000303	NB624_RS00555	B5M19_RS02410
OG0000304	NB624_RS00600	B5M19_RS03190
OG0000305	NB624_RS03040	B5M19_RS01385
OG0000306	NB624_RS02965	B5M19_RS02560
OG0000307	NB624_RS02930	B5M19_RS02525
OG0000308	NB624_RS02835	B5M19_RS00905
OG0000309	NB624_RS02765	B5M19_RS00970
OG0000310	NB624_RS02680	B5M19_RS01045
OG0000311	NB624_RS02630	B5M19_RS02790
OG0000312	NB624_RS02615	B5M19_RS02805
OG0000313	NB624_RS01590	B5M19_RS03300
OG0000314	NB624_RS01960	B5M19_RS00780
OG0000315	NB624_RS01990	B5M19_RS00810
OG0000316	NB624_RS02000	B5M19_RS00820
OG0000317	NB624_RS02195	B5M19_RS02720
OG0000318	NB624_RS02005	B5M19_RS00825
OG0000319	NB624_RS02365	B5M19_RS02945
OG0000320	NB624_RS02500	B5M19_RS04425
OG0000321	NB624_RS01325	B5M19_RS01240
OG0000322	NB624_RS01370	B5M19_RS01195
OG0000323	NB624_RS01500	B5M19_RS01065
OG0000324	NB624_RS02405	B5M19_RS03240
OG0000325	NB624_RS00980	B5M19_RS01845
OG0000326	NB624_RS00880	B5M19_RS01750
OG0000327	NB624_RS00875	B5M19_RS01745
OG0000328	NB624_RS00790	B5M19_RS01660
OG0000329	NB624_RS00770	B5M19_RS01640
OG0000330	NB624_RS01105	B5M19_RS02210
OG0000331	NB624_RS03130	B5M19_RS01285
OG0000332	NB624_RS03270	B5M19_RS01520
OG0000333	NB624_RS03280	B5M19_RS01530
OG0000334	NB624_RS03385	B5M19_RS03040
OG0000335	NB624_RS03395	B5M19_RS03030
OG0000336	NB624_RS03545	B5M19_RS00505
OG0000337	NB624_RS03715	B5M19_RS01985
OG0000338	NB624_RS03755	B5M19_RS01940
OG0000339	NB624_RS02475	B5M19_RS03615
OG0000340	NB624_RS01305	B5M19_RS02565
OG0000341	NB624_RS02430	B5M19_RS03220
OG0000342	NB624_RS00945	B5M19_RS01815
OG0000343	NB624_RS03290	B5M19_RS04195
OG0000344	NB624_RS00570	B5M19_RS02425
OG0000345	NB624_RS00655	B5M19_RS03135
OG0000346	NB624_RS03550	B5M19_RS04590
OG0000347	NB624_RS01395	B5M19_RS01170
OG0000348	NB624_RS00870	B5M19_RS01740
OG0000349	NB624_RS03610	B5M19_RS00440
OG0000350	NB624_RS02920	B5M19_RS02515
OG0000351	NB624_RS00490	B5M19_RS03490
OG0000352	NB624_RS01940	B5M19_RS00755
OG0000353	NB624_RS01365	B5M19_RS01200
OG0000354	NB624_RS01045	B5M19_RS03080
OG0000355	NB624_RS01915	B5M19_RS00725
OG0000356	NB624_RS01995	B5M19_RS00815
OG0000357	NB624_RS03250	B5M19_RS01500
OG0000358	NB624_RS03255	B5M19_RS01505
OG0000359	NB624_RS00900	B5M19_RS01770
OG0000360	NB624_RS00275	B5M19_RS00195
OG0000361	NB624_RS00305	B5M19_RS00225
OG0000362	NB624_RS02700	B5M19_RS01025
OG0000363	NB624_RS01435	B5M19_RS01125
OG0000364	NB624_RS01890	B5M19_RS00700
OG0000365	NB624_RS02040	B5M19_RS02775
OG0000366	NB624_RS02065	B5M19_RS02750
OG0000367	NB624_RS02175	B5M19_RS02740
OG0000368	NB624_RS00060	B5M19_RS04270
OG0000369	NB624_RS00025	B5M19_RS01910
OG0000370	NB624_RS00020	B5M19_RS01915
OG0000371	NB624_RS00015	B5M19_RS01920
OG0000372	NB624_RS00010	B5M19_RS01925
OG0000373	NB624_RS03745	B5M19_RS01950
OG0000374	NB624_RS03735	B5M19_RS01960
OG0000375	NB624_RS02360	B5M19_RS02950
OG0000376	NB624_RS02515	B5M19_RS02670
OG0000377	NB624_RS02505	B5M19_RS02680
OG0000378	NB624_RS01285	B5M19_RS02585
OG0000379	NB624_RS01360	B5M19_RS01205
OG0000380	NB624_RS01390	B5M19_RS01180
OG0000381	NB624_RS01425	B5M19_RS01140
OG0000382	NB624_RS01455	B5M19_RS01105
OG0000383	NB624_RS01495	B5M19_RS01070
OG0000384	NB624_RS00510	B5M19_RS02365
OG0000385	NB624_RS00515	B5M19_RS02370
OG0000386	NB624_RS00535	B5M19_RS02390
OG0000387	NB624_RS00560	B5M19_RS02415
OG0000388	NB624_RS00565	B5M19_RS02420
OG0000389	NB624_RS01065	B5M19_RS03095
OG0000390	NB624_RS03060	B5M19_RS01365
OG0000391	NB624_RS03050	B5M19_RS01375
OG0000392	NB624_RS03025	B5M19_RS01400
OG0000393	NB624_RS02970	B5M19_RS03515
OG0000394	NB624_RS02900	B5M19_RS02490
OG0000395	NB624_RS02890	B5M19_RS02485
OG0000396	NB624_RS02575	B5M19_RS02845
OG0000397	NB624_RS01925	B5M19_RS00740
OG0000398	NB624_RS01930	B5M19_RS00745
OG0000399	NB624_RS01975	B5M19_RS00795
OG0000400	NB624_RS03215	B5M19_RS01460
OG0000401	NB624_RS03275	B5M19_RS01525
OG0000402	NB624_RS03285	B5M19_RS01535
OG0000404	NB624_RS03330	B5M19_RS04205
OG0000405	NB624_RS03350	B5M19_RS01590
OG0000406	NB624_RS03400	B5M19_RS03025
OG0000407	NB624_RS03405	B5M19_RS03020
OG0000408	NB624_RS03410	B5M19_RS03015
OG0000409	NB624_RS03415	B5M19_RS03010
OG0000410	NB624_RS03480	B5M19_RS03100
OG0000411	NB624_RS03465	B5M19_RS03110
OG0000412	NB624_RS03460	B5M19_RS03115
OG0000413	NB624_RS01510	B5M19_RS03555
OG0000414	NB624_RS01520	B5M19_RS03545
OG0000415	NB624_RS01525	B5M19_RS03540
OG0000416	NB624_RS01535	B5M19_RS03530
OG0000417	NB624_RS02425	B5M19_RS03225
OG0000418	NB624_RS02415	B5M19_RS03230
OG0000419	NB624_RS00965	B5M19_RS01835
OG0000420	NB624_RS00930	B5M19_RS01800
OG0000421	NB624_RS00895	B5M19_RS01765
OG0000422	NB624_RS00885	B5M19_RS01755
OG0000423	NB624_RS00830	B5M19_RS01700
OG0000424	NB624_RS00825	B5M19_RS01695
OG0000425	NB624_RS00815	B5M19_RS01685
OG0000426	NB624_RS00810	B5M19_RS01680
OG0000427	NB624_RS00785	B5M19_RS01655
OG0000428	NB624_RS00760	B5M19_RS01630
OG0000430	NB624_RS00620	B5M19_RS03170
OG0000431	NB624_RS00610	B5M19_RS03180
OG0000432	NB624_RS01100	B5M19_RS04345
OG0000433	NB624_RS01115	B5M19_RS02200
OG0000434	NB624_RS01125	B5M19_RS02195
OG0000435	NB624_RS01135	B5M19_RS02180
OG0000436	NB624_RS01160	B5M19_RS02150
OG0000437	NB624_RS01170	B5M19_RS02140
OG0000438	NB624_RS01175	B5M19_RS02135
OG0000439	NB624_RS01180	B5M19_RS02130
OG0000440	NB624_RS03110	B5M19_RS04165
OG0000441	NB624_RS03150	B5M19_RS01265
OG0000442	NB624_RS00145	B5M19_RS00055
OG0000443	NB624_RS00190	B5M19_RS00105
OG0000444	NB624_RS00205	B5M19_RS00120
OG0000445	NB624_RS00230	B5M19_RS00145
OG0000446	NB624_RS00255	B5M19_RS00175
OG0000447	NB624_RS00260	B5M19_RS00180
OG0000448	NB624_RS00290	B5M19_RS00210
OG0000449	NB624_RS00315	B5M19_RS00235
OG0000450	NB624_RS00325	B5M19_RS00245
OG0000451	NB624_RS00365	B5M19_RS00295
OG0000452	NB624_RS00390	B5M19_RS00330
OG0000453	NB624_RS00425	B5M19_RS04040
OG0000455	NB624_RS03655	B5M19_RS00395
OG0000456	NB624_RS03535	B5M19_RS00515
OG0000457	NB624_RS03510	B5M19_RS00540
OG0000458	NB624_RS02670	B5M19_RS01055
OG0000459	NB624_RS02695	B5M19_RS01030
OG0000460	NB624_RS02705	B5M19_RS01020
OG0000461	NB624_RS02755	B5M19_RS04125
OG0000462	NB624_RS02750	B5M19_RS00980
OG0000463	NB624_RS02745	B5M19_RS04130
OG0000464	NB624_RS02740	B5M19_RS00990
OG0000465	NB624_RS02735	B5M19_RS00995
OG0000467	NB624_RS02845	B5M19_RS00895
OG0000468	NB624_RS01970	B5M19_RS00790
OG0000469	NB624_RS02030	B5M19_RS00850
OG0000470	NB624_RS00835	B5M19_RS03910
OG0000471	NB624_RS00755	B5M19_RS01625
OG0000472	NB624_RS03485	B5M19_RS00580
OG0000473	NB624_RS03640	B5M19_RS00410
OG0000474	NB624_RS03645	B5M19_RS00405
OG0000475	NB624_RS03650	B5M19_RS00400
OG0000476	NB624_RS01550	B5M19_RS03280
OG0000477	NB624_RS02785	B5M19_RS00950
OG0000478	NB624_RS03585	B5M19_RS00465
OG0000479	NB624_RS01320	B5M19_RS04145
OG0000480	NB624_RS02035	B5M19_RS03895
OG0000481	NB624_RS00860	B5M19_RS01730
OG0000482	NB624_RS01200	B5M19_RS03730
OG0000483	NB624_RS02180	B5M19_RS02735
OG0000484	NB624_RS00200	B5M19_RS00115
OG0000485	NB624_RS01165	B5M19_RS02145
OG0000486	NB624_RS02445	B5M19_RS03205
OG0000487	NB624_RS02015	B5M19_RS00830
OG0000488	NB624_RS02050	B5M19_RS02770
OG0000489	NB624_RS00050	B5M19_RS01885
OG0000490	NB624_RS03750	B5M19_RS01945
OG0000491	NB624_RS01340	B5M19_RS01225
OG0000492	NB624_RS01415	B5M19_RS04140
OG0000493	NB624_RS00575	B5M19_RS02430
OG0000494	NB624_RS01040	B5M19_RS03075
OG0000495	NB624_RS02995	B5M19_RS01430
OG0000497	NB624_RS02980	B5M19_RS01445
OG0000498	NB624_RS02905	B5M19_RS02495
OG0000499	NB624_RS02865	B5M19_RS00870
OG0000500	NB624_RS01935	B5M19_RS00750
OG0000501	NB624_RS03225	B5M19_RS01470
OG0000502	NB624_RS01190	B5M19_RS02350
OG0000503	NB624_RS00915	B5M19_RS04250
OG0000504	NB624_RS00780	B5M19_RS01650
OG0000505	NB624_RS00745	B5M19_RS03420
OG0000506	NB624_RS00735	B5M19_RS03410
OG0000507	NB624_RS00700	B5M19_RS03375
OG0000508	NB624_RS00250	B5M19_RS00170
OG0000509	NB624_RS00285	B5M19_RS00205
OG0000510	NB624_RS00295	B5M19_RS00215
OG0000511	NB624_RS00430	B5M19_RS03685
OG0000512	NB624_RS02710	B5M19_RS01015
OG0000513	NB624_RS03570	B5M19_RS00480
OG0000514	NB624_RS03020	B5M19_RS01405
OG0000517	NB624_RS00065	B5M19_RS01870
OG0000519	NB624_RS00890	B5M19_RS01760
OG0000520	NB624_RS00765	B5M19_RS01635
OG0000521	NB624_RS00265	B5M19_RS00185
OG0000522	NB624_RS00300	B5M19_RS00220
OG0000524	NB624_RS02840	B5M19_RS00900
OG0000525	NB624_RS03490	B5M19_RS00575
OG0000526	NB624_RS01830	B5M19_RS04070
OG0000527	NB624_RS01770	B5M19_RS04065, B5M19_RS04060
OG0000528	NB624_RS02020	B5M19_RS00840
OG0000529	NB624_RS02375	B5M19_RS02935
OG0000532	NB624_RS01615	B5M19_RS04500
OG0000533	NB624_RS01085	B5M19_RS04515
OG0000536	NB624_RS03685	B5M19_RS00365
OG0000537	NB624_RS00950	B5M19_RS01820
OG0000539	NB624_RS00215	B5M19_RS00130
OG0000540	NB624_RS02810, NB624_RS02805	B5M19_RS00930
OG0000543	NB624_RS02075	B5M19_RS04430
OG0000544	NB624_RS01240	B5M19_RS04410
OG0000545	NB624_RS01820	B5M19_RS00645
OG0000546	NB624_RS02950	B5M19_RS02545
OG0000551	NB624_RS03140	B5M19_RS01275
OG0000552	NB624_RS03305	B5M19_RS01550
OG0000553	NB624_RS02855	B5M19_RS00885
OG0000554	NB624_RS02535	B5M19_RS02655
OG0000555	NB624_RS03075	B5M19_RS01350
OG0000556	NB624_RS02120	B5M19_RS02885
OG0000556	NB624_RS02135	B5M19_RS02255
OG0000557	NB624_RS01255	B5M19_RS02615
