Orthogroup	MHP_154B_genes	MHP_UFV01_genes
OG0000113	NB624_RS02490	FEF30_RS02725
OG0000114	NB624_RS02485	FEF30_RS02715
OG0000115	NB624_RS02470	FEF30_RS02705
OG0000116	NB624_RS01290	FEF30_RS01610
OG0000117	NB624_RS01295	FEF30_RS01615
OG0000118	NB624_RS01330	FEF30_RS01650
OG0000119	NB624_RS01335	FEF30_RS01655
OG0000120	NB624_RS01350	FEF30_RS01675
OG0000121	NB624_RS01375	FEF30_RS01700
OG0000122	NB624_RS01380	FEF30_RS01705
OG0000123	NB624_RS01400	FEF30_RS01725
OG0000124	NB624_RS01405	FEF30_RS01730
OG0000125	NB624_RS01410	FEF30_RS01735
OG0000126	NB624_RS01420	FEF30_RS01745
OG0000127	NB624_RS01430	FEF30_RS01755
OG0000128	NB624_RS01445	FEF30_RS01770
OG0000129	NB624_RS01450	FEF30_RS01775
OG0000130	NB624_RS01460	FEF30_RS01785
OG0000131	NB624_RS01490	FEF30_RS04265
OG0000132	NB624_RS01505	FEF30_RS04270
OG0000133	NB624_RS00525	FEF30_RS00840
OG0000134	NB624_RS00530	FEF30_RS00845
OG0000135	NB624_RS00545	FEF30_RS00860
OG0000136	NB624_RS00550	FEF30_RS00865
OG0000137	NB624_RS00580	FEF30_RS00905
OG0000138	NB624_RS01060	FEF30_RS00935
OG0000139	NB624_RS01030	FEF30_RS00965
OG0000140	NB624_RS01025	FEF30_RS00970
OG0000141	NB624_RS03090	FEF30_RS03310
OG0000142	NB624_RS03085	FEF30_RS04385
OG0000143	NB624_RS03070	FEF30_RS03285
OG0000144	NB624_RS03055	FEF30_RS03275
OG0000145	NB624_RS03045	FEF30_RS03265
OG0000146	NB624_RS03035	FEF30_RS03255
OG0000147	NB624_RS03030	FEF30_RS03250
OG0000148	NB624_RS03015	FEF30_RS03235
OG0000149	NB624_RS03005	FEF30_RS03225
OG0000150	NB624_RS02990	FEF30_RS03210
OG0000151	NB624_RS02945	FEF30_RS03160
OG0000152	NB624_RS02940	FEF30_RS03155
OG0000153	NB624_RS02935	FEF30_RS03150
OG0000154	NB624_RS02925	FEF30_RS03140
OG0000155	NB624_RS02885	FEF30_RS03100
OG0000156	NB624_RS02880	FEF30_RS03090
OG0000157	NB624_RS02870	FEF30_RS04375
OG0000158	NB624_RS02860	FEF30_RS04370
OG0000159	NB624_RS02610	FEF30_RS02835
OG0000160	NB624_RS02605	FEF30_RS02830
OG0000161	NB624_RS02600	FEF30_RS02825
OG0000162	NB624_RS02590	FEF30_RS02815
OG0000163	NB624_RS02585	FEF30_RS02810
OG0000164	NB624_RS01600	FEF30_RS01925
OG0000165	NB624_RS01945	FEF30_RS02320
OG0000166	NB624_RS01965	FEF30_RS02340
OG0000167	NB624_RS01980	FEF30_RS02355
OG0000168	NB624_RS01985	FEF30_RS02360
OG0000169	NB624_RS03205	FEF30_RS03395
OG0000170	NB624_RS03220	FEF30_RS04475
OG0000171	NB624_RS03230	FEF30_RS03420
OG0000172	NB624_RS03235	FEF30_RS03425
OG0000173	NB624_RS03240	FEF30_RS03430
OG0000174	NB624_RS03245	FEF30_RS03435
OG0000175	NB624_RS03265	FEF30_RS03450
OG0000176	NB624_RS03315	FEF30_RS03495
OG0000177	NB624_RS03320	FEF30_RS03500
OG0000178	NB624_RS03325	FEF30_RS03505
OG0000179	NB624_RS03335	FEF30_RS03515
OG0000180	NB624_RS03340	FEF30_RS03520
OG0000181	NB624_RS03380	FEF30_RS04395
OG0000182	NB624_RS03390	FEF30_RS03570
OG0000183	NB624_RS03425	FEF30_RS03605
OG0000184	NB624_RS03470	FEF30_RS00025
OG0000185	NB624_RS03455	FEF30_RS00010
OG0000186	NB624_RS01515	FEF30_RS04275
OG0000187	NB624_RS01530	FEF30_RS01855
OG0000188	NB624_RS01540	FEF30_RS01865
OG0000189	NB624_RS02440	FEF30_RS04355
OG0000190	NB624_RS02435	FEF30_RS02670
OG0000191	NB624_RS02410	FEF30_RS02650
OG0000192	NB624_RS01205	FEF30_RS01530
OG0000193	NB624_RS01195	FEF30_RS01515
OG0000194	NB624_RS00990	FEF30_RS01000
OG0000195	NB624_RS00985	FEF30_RS01005
OG0000196	NB624_RS00960	FEF30_RS01025
OG0000197	NB624_RS00955	FEF30_RS01030
OG0000198	NB624_RS00940	FEF30_RS01045
OG0000199	NB624_RS00935	FEF30_RS01050
OG0000200	NB624_RS00920	FEF30_RS01065
OG0000201	NB624_RS00910	FEF30_RS01075
OG0000202	NB624_RS00855	FEF30_RS01130
OG0000203	NB624_RS00850	FEF30_RS01135
OG0000204	NB624_RS00845	FEF30_RS01140
OG0000205	NB624_RS00840	FEF30_RS01145
OG0000206	NB624_RS00820	FEF30_RS01165
OG0000207	NB624_RS00805	FEF30_RS01180
OG0000208	NB624_RS00800	FEF30_RS01185
OG0000209	NB624_RS00795	FEF30_RS01190
OG0000210	NB624_RS00750	FEF30_RS01235
OG0000211	NB624_RS00740	FEF30_RS01245
OG0000212	NB624_RS00730	FEF30_RS01255
OG0000213	NB624_RS00725	FEF30_RS01260
OG0000214	NB624_RS00720	FEF30_RS01265
OG0000215	NB624_RS00715	FEF30_RS01270
OG0000216	NB624_RS00710	FEF30_RS01275
OG0000217	NB624_RS00705	FEF30_RS01280
OG0000218	NB624_RS00695	FEF30_RS01290
OG0000219	NB624_RS00690	FEF30_RS01295
OG0000220	NB624_RS00685	FEF30_RS01300
OG0000221	NB624_RS00680	FEF30_RS01305
OG0000222	NB624_RS00675	FEF30_RS01310
OG0000223	NB624_RS00670	FEF30_RS01315
OG0000224	NB624_RS00660	FEF30_RS01325
OG0000225	NB624_RS00650	FEF30_RS01335
OG0000226	NB624_RS00645	FEF30_RS01340
OG0000227	NB624_RS00640	FEF30_RS01345
OG0000228	NB624_RS00635	FEF30_RS04410
OG0000229	NB624_RS00630	FEF30_RS01355
OG0000230	NB624_RS00625	FEF30_RS01360
OG0000231	NB624_RS00615	FEF30_RS01370
OG0000232	NB624_RS00605	FEF30_RS01380
OG0000233	NB624_RS01095	FEF30_RS01405
OG0000234	NB624_RS01130	FEF30_RS01440
OG0000235	NB624_RS01140	FEF30_RS01450
OG0000236	NB624_RS01145	FEF30_RS01455
OG0000237	NB624_RS01150	FEF30_RS01460
OG0000238	NB624_RS01155	FEF30_RS01465
OG0000239	NB624_RS03100	FEF30_RS03320
OG0000240	NB624_RS03105	FEF30_RS03325
OG0000241	NB624_RS03115	FEF30_RS03335
OG0000242	NB624_RS03120	FEF30_RS03340
OG0000243	NB624_RS03125	FEF30_RS03345
OG0000244	NB624_RS03135	FEF30_RS03355
OG0000245	NB624_RS03145	FEF30_RS03365
OG0000246	NB624_RS00140	FEF30_RS00455
OG0000247	NB624_RS00150	FEF30_RS00465
OG0000248	NB624_RS00160	FEF30_RS00475
OG0000249	NB624_RS00165	FEF30_RS03675, FEF30_RS00480
OG0000250	NB624_RS00180	FEF30_RS00495
OG0000251	NB624_RS00210	FEF30_RS00525
OG0000252	NB624_RS00220	FEF30_RS00535
OG0000253	NB624_RS00225	FEF30_RS00540
OG0000254	NB624_RS00235	FEF30_RS00550
OG0000255	NB624_RS00240	FEF30_RS00555
OG0000256	NB624_RS00245	FEF30_RS00560
OG0000257	NB624_RS00270	FEF30_RS00585
OG0000258	NB624_RS00280	FEF30_RS00595
OG0000259	NB624_RS00310	FEF30_RS00625
OG0000260	NB624_RS00320	FEF30_RS00635
OG0000261	NB624_RS00330	FEF30_RS04195
OG0000262	NB624_RS00350	FEF30_RS00660
OG0000263	NB624_RS00360	FEF30_RS00675
OG0000264	NB624_RS00375	FEF30_RS00690
OG0000265	NB624_RS00385	FEF30_RS00700
OG0000266	NB624_RS00400	FEF30_RS00715
OG0000267	NB624_RS00415	FEF30_RS00730
OG0000268	NB624_RS00420	FEF30_RS00735
OG0000269	NB624_RS00435	FEF30_RS00750
OG0000270	NB624_RS03635	FEF30_RS04155
OG0000271	NB624_RS03630	FEF30_RS00205
OG0000272	NB624_RS03625	FEF30_RS00200
OG0000273	NB624_RS03620	FEF30_RS00195
OG0000274	NB624_RS03605	FEF30_RS00175
OG0000275	NB624_RS03595	FEF30_RS04145
OG0000276	NB624_RS03590	FEF30_RS00165
OG0000277	NB624_RS03580	FEF30_RS00155
OG0000278	NB624_RS03575	FEF30_RS00150
OG0000279	NB624_RS03565	FEF30_RS00140
OG0000280	NB624_RS03560	FEF30_RS00135
OG0000281	NB624_RS03555	FEF30_RS00130
OG0000282	NB624_RS03530	FEF30_RS04135
OG0000283	NB624_RS03525	FEF30_RS00100
OG0000284	NB624_RS03520	FEF30_RS00095
OG0000285	NB624_RS03515	FEF30_RS04130
OG0000286	NB624_RS02570	FEF30_RS02795
OG0000287	NB624_RS02675	FEF30_RS02895
OG0000288	NB624_RS02685	FEF30_RS02905
OG0000289	NB624_RS02690	FEF30_RS02910
OG0000290	NB624_RS02815	FEF30_RS03020
OG0000291	NB624_RS02800	FEF30_RS03010
OG0000292	NB624_RS02795	FEF30_RS03005
OG0000293	NB624_RS02790	FEF30_RS03000
OG0000294	NB624_RS02780	FEF30_RS02990
OG0000295	NB624_RS02775	FEF30_RS02985
OG0000296	NB624_RS02725	FEF30_RS02945
OG0000297	NB624_RS02720	FEF30_RS02940
OG0000298	NB624_RS00175	FEF30_RS00490
OG0000299	NB624_RS00195	FEF30_RS00510
OG0000300	NB624_RS00370	FEF30_RS00685
OG0000301	NB624_RS00405	FEF30_RS00720
OG0000302	NB624_RS00410	FEF30_RS00725
OG0000303	NB624_RS00555	FEF30_RS00870
OG0000304	NB624_RS00600	FEF30_RS01385
OG0000305	NB624_RS03040	FEF30_RS03260
OG0000306	NB624_RS02965	FEF30_RS03185
OG0000307	NB624_RS02930	FEF30_RS03145
OG0000308	NB624_RS02835	FEF30_RS03040
OG0000309	NB624_RS02765	FEF30_RS02975
OG0000310	NB624_RS02680	FEF30_RS02900
OG0000311	NB624_RS02630	FEF30_RS02855
OG0000312	NB624_RS02615	FEF30_RS02840
OG0000313	NB624_RS01590	FEF30_RS01915
OG0000314	NB624_RS01960	FEF30_RS02335
OG0000315	NB624_RS01990	FEF30_RS02365
OG0000316	NB624_RS02000	FEF30_RS02375
OG0000317	NB624_RS02195	FEF30_RS02470
OG0000318	NB624_RS02005	FEF30_RS04320
OG0000319	NB624_RS02365	FEF30_RS02605
OG0000320	NB624_RS02500	FEF30_RS02735
OG0000321	NB624_RS01325	FEF30_RS01645
OG0000322	NB624_RS01370	FEF30_RS01695
OG0000323	NB624_RS01500	FEF30_RS01825
OG0000324	NB624_RS02405	FEF30_RS02645
OG0000325	NB624_RS00980	FEF30_RS01010
OG0000326	NB624_RS00880	FEF30_RS01105
OG0000327	NB624_RS00875	FEF30_RS01110
OG0000328	NB624_RS00790	FEF30_RS01195
OG0000329	NB624_RS00770	FEF30_RS01215
OG0000330	NB624_RS01105	FEF30_RS01415
OG0000331	NB624_RS03130	FEF30_RS03350
OG0000332	NB624_RS03270	FEF30_RS03460
OG0000333	NB624_RS03280	FEF30_RS03470
OG0000334	NB624_RS03385	FEF30_RS03565
OG0000335	NB624_RS03395	FEF30_RS03575
OG0000336	NB624_RS03545	FEF30_RS04140
OG0000337	NB624_RS03715	FEF30_RS00285
OG0000338	NB624_RS03755	FEF30_RS00325
OG0000339	NB624_RS02475	FEF30_RS02710
OG0000340	NB624_RS01305	FEF30_RS01625
OG0000341	NB624_RS02430	FEF30_RS02665
OG0000342	NB624_RS00945	FEF30_RS01040
OG0000343	NB624_RS03290	FEF30_RS03480
OG0000344	NB624_RS00570	FEF30_RS00885
OG0000345	NB624_RS00655	FEF30_RS01330
OG0000346	NB624_RS03550	FEF30_RS00125
OG0000347	NB624_RS01395	FEF30_RS01720
OG0000348	NB624_RS00870	FEF30_RS01115
OG0000349	NB624_RS03610	FEF30_RS04150
OG0000350	NB624_RS02920	FEF30_RS03135
OG0000351	NB624_RS00490	FEF30_RS00805
OG0000352	NB624_RS01940	FEF30_RS02315
OG0000353	NB624_RS01365	FEF30_RS01690
OG0000354	NB624_RS01045	FEF30_RS00950
OG0000355	NB624_RS01915	FEF30_RS04310
OG0000356	NB624_RS01995	FEF30_RS04315
OG0000357	NB624_RS03250	FEF30_RS04390
OG0000358	NB624_RS03255	FEF30_RS03445
OG0000359	NB624_RS00900	FEF30_RS04215
OG0000360	NB624_RS00275	FEF30_RS00590
OG0000361	NB624_RS00305	FEF30_RS00620
OG0000362	NB624_RS02700	FEF30_RS02920
OG0000363	NB624_RS01435	FEF30_RS01760
OG0000365	NB624_RS02040	FEF30_RS04335
OG0000366	NB624_RS02065	FEF30_RS02440
OG0000367	NB624_RS02175	FEF30_RS02450
OG0000368	NB624_RS00060	FEF30_RS00390
OG0000369	NB624_RS00025	FEF30_RS04170
OG0000370	NB624_RS00020	FEF30_RS00350
OG0000371	NB624_RS00015	FEF30_RS00345
OG0000372	NB624_RS00010	FEF30_RS00340
OG0000373	NB624_RS03745	FEF30_RS00315
OG0000374	NB624_RS03735	FEF30_RS00305
OG0000375	NB624_RS02360	FEF30_RS02600
OG0000376	NB624_RS02515	FEF30_RS02750
OG0000377	NB624_RS02505	FEF30_RS02740
OG0000378	NB624_RS01285	FEF30_RS01605
OG0000379	NB624_RS01360	FEF30_RS01685
OG0000380	NB624_RS01390	FEF30_RS01710
OG0000381	NB624_RS01425	FEF30_RS01750
OG0000382	NB624_RS01455	FEF30_RS01780
OG0000383	NB624_RS01495	FEF30_RS01820
OG0000384	NB624_RS00510	FEF30_RS00825
OG0000385	NB624_RS00515	FEF30_RS00830
OG0000386	NB624_RS00535	FEF30_RS00850
OG0000387	NB624_RS00560	FEF30_RS00875
OG0000388	NB624_RS00565	FEF30_RS04205
OG0000389	NB624_RS01065	FEF30_RS00930
OG0000390	NB624_RS03060	FEF30_RS03280
OG0000391	NB624_RS03050	FEF30_RS03270
OG0000392	NB624_RS03025	FEF30_RS03245
OG0000393	NB624_RS02970	FEF30_RS04380
OG0000394	NB624_RS02900	FEF30_RS03110
OG0000395	NB624_RS02890	FEF30_RS03105
OG0000396	NB624_RS02575	FEF30_RS02800
OG0000397	NB624_RS01925	FEF30_RS02300
OG0000398	NB624_RS01930	FEF30_RS02305
OG0000399	NB624_RS01975	FEF30_RS02350
OG0000400	NB624_RS03215	FEF30_RS03405
OG0000401	NB624_RS03275	FEF30_RS03465
OG0000402	NB624_RS03285	FEF30_RS03475
OG0000403	NB624_RS03295	FEF30_RS03485
OG0000404	NB624_RS03330	FEF30_RS03510
OG0000405	NB624_RS03350	FEF30_RS04480
OG0000406	NB624_RS03400	FEF30_RS03580
OG0000407	NB624_RS03405	FEF30_RS04400
OG0000408	NB624_RS03410	FEF30_RS03590
OG0000409	NB624_RS03415	FEF30_RS03595
OG0000410	NB624_RS03480	FEF30_RS00030
OG0000411	NB624_RS03465	FEF30_RS00020
OG0000412	NB624_RS03460	FEF30_RS00015
OG0000413	NB624_RS01510	FEF30_RS01835
OG0000414	NB624_RS01520	FEF30_RS01845
OG0000415	NB624_RS01525	FEF30_RS01850
OG0000416	NB624_RS01535	FEF30_RS01860
OG0000417	NB624_RS02425	FEF30_RS02660
OG0000418	NB624_RS02415	FEF30_RS02655
OG0000419	NB624_RS00965	FEF30_RS01020
OG0000420	NB624_RS00930	FEF30_RS01055
OG0000421	NB624_RS00895	FEF30_RS01090
OG0000422	NB624_RS00885	FEF30_RS01100
OG0000423	NB624_RS00830	FEF30_RS01155
OG0000424	NB624_RS00825	FEF30_RS01160
OG0000425	NB624_RS00815	FEF30_RS01170
OG0000426	NB624_RS00810	FEF30_RS04220
OG0000427	NB624_RS00785	FEF30_RS04225
OG0000428	NB624_RS00760	FEF30_RS01225
OG0000429	NB624_RS00665	FEF30_RS01320
OG0000430	NB624_RS00620	FEF30_RS01365
OG0000431	NB624_RS00610	FEF30_RS01375
OG0000432	NB624_RS01100	FEF30_RS01410
OG0000433	NB624_RS01115	FEF30_RS01425
OG0000434	NB624_RS01125	FEF30_RS01430
OG0000435	NB624_RS01135	FEF30_RS01445
OG0000436	NB624_RS01160	FEF30_RS01470
OG0000437	NB624_RS01170	FEF30_RS01480
OG0000438	NB624_RS01175	FEF30_RS01485
OG0000439	NB624_RS01180	FEF30_RS04235
OG0000440	NB624_RS03110	FEF30_RS03330
OG0000441	NB624_RS03150	FEF30_RS03370
OG0000442	NB624_RS00145	FEF30_RS00460
OG0000443	NB624_RS00190	FEF30_RS00505
OG0000444	NB624_RS00205	FEF30_RS00520
OG0000445	NB624_RS00230	FEF30_RS00545
OG0000446	NB624_RS00255	FEF30_RS00570
OG0000447	NB624_RS00260	FEF30_RS00575
OG0000448	NB624_RS00290	FEF30_RS00605
OG0000449	NB624_RS00315	FEF30_RS00630
OG0000450	NB624_RS00325	FEF30_RS00640
OG0000451	NB624_RS00365	FEF30_RS00680
OG0000452	NB624_RS00390	FEF30_RS00705
OG0000453	NB624_RS00425	FEF30_RS00740
OG0000455	NB624_RS03655	FEF30_RS00230
OG0000456	NB624_RS03535	FEF30_RS00110
OG0000457	NB624_RS03510	FEF30_RS00085
OG0000458	NB624_RS02670	FEF30_RS02890
OG0000459	NB624_RS02695	FEF30_RS02915
OG0000460	NB624_RS02705	FEF30_RS02925
OG0000461	NB624_RS02755	FEF30_RS02970
OG0000462	NB624_RS02750	FEF30_RS02965
OG0000463	NB624_RS02745	FEF30_RS02960
OG0000464	NB624_RS02740	FEF30_RS02955
OG0000465	NB624_RS02735	FEF30_RS02950
OG0000466	NB624_RS00395	FEF30_RS00710
OG0000467	NB624_RS02845	FEF30_RS04360
OG0000468	NB624_RS01970	FEF30_RS02345
OG0000469	NB624_RS02030	FEF30_RS02405
OG0000470	NB624_RS00835	FEF30_RS01150
OG0000471	NB624_RS00755	FEF30_RS01230
OG0000472	NB624_RS03485	FEF30_RS00040
OG0000473	NB624_RS03640	FEF30_RS00215
OG0000474	NB624_RS03645	FEF30_RS00220
OG0000475	NB624_RS03650	FEF30_RS00225
OG0000476	NB624_RS01550	FEF30_RS01870
OG0000477	NB624_RS02785	FEF30_RS02995
OG0000478	NB624_RS03585	FEF30_RS00160
OG0000479	NB624_RS01320	FEF30_RS01640
OG0000480	NB624_RS02035	FEF30_RS02410
OG0000481	NB624_RS00860	FEF30_RS01125
OG0000482	NB624_RS01200	FEF30_RS01520
OG0000483	NB624_RS02180	FEF30_RS02455
OG0000484	NB624_RS00200	FEF30_RS04190
OG0000485	NB624_RS01165	FEF30_RS01475
OG0000486	NB624_RS02445	FEF30_RS02680
OG0000487	NB624_RS02015	FEF30_RS04325
OG0000488	NB624_RS02050	FEF30_RS02425
OG0000489	NB624_RS00050	FEF30_RS00380
OG0000490	NB624_RS03750	FEF30_RS00320
OG0000491	NB624_RS01340	FEF30_RS01660
OG0000492	NB624_RS01415	FEF30_RS01740
OG0000493	NB624_RS00575	FEF30_RS00890
OG0000494	NB624_RS01040	FEF30_RS00955
OG0000495	NB624_RS02995	FEF30_RS03215
OG0000496	NB624_RS02985	FEF30_RS03205
OG0000497	NB624_RS02980	FEF30_RS03200
OG0000498	NB624_RS02905	FEF30_RS03115
OG0000499	NB624_RS02865	FEF30_RS03080
OG0000500	NB624_RS01935	FEF30_RS02310
OG0000502	NB624_RS01190	FEF30_RS01510
OG0000503	NB624_RS00915	FEF30_RS01070
OG0000504	NB624_RS00780	FEF30_RS01205
OG0000505	NB624_RS00745	FEF30_RS01240
OG0000506	NB624_RS00735	FEF30_RS01250
OG0000507	NB624_RS00700	FEF30_RS01285
OG0000508	NB624_RS00250	FEF30_RS00565
OG0000509	NB624_RS00285	FEF30_RS00600
OG0000510	NB624_RS00295	FEF30_RS00610
OG0000511	NB624_RS00430	FEF30_RS00745
OG0000512	NB624_RS02710	FEF30_RS02930
OG0000513	NB624_RS03570	FEF30_RS00145
OG0000514	NB624_RS03020	FEF30_RS03240
OG0000515	NB624_RS01555	FEF30_RS01885
OG0000517	NB624_RS00065	FEF30_RS00395
OG0000519	NB624_RS00890	FEF30_RS01095
OG0000520	NB624_RS00765	FEF30_RS01220
OG0000521	NB624_RS00265	FEF30_RS00580
OG0000522	NB624_RS00300	FEF30_RS00615
OG0000524	NB624_RS02840	FEF30_RS03045
OG0000525	NB624_RS03490	FEF30_RS04105
OG0000526	NB624_RS01830	FEF30_RS02235
OG0000527	NB624_RS01770	FEF30_RS02175
OG0000528	NB624_RS02020	FEF30_RS02395
OG0000529	NB624_RS02375	FEF30_RS02615
OG0000532	NB624_RS01615	FEF30_RS01945
OG0000533	NB624_RS01085	FEF30_RS00915
OG0000534	NB624_RS00380	FEF30_RS00695
OG0000536	NB624_RS03685	FEF30_RS00260
OG0000537	NB624_RS00950	FEF30_RS01035
OG0000539	NB624_RS00215	FEF30_RS00530
OG0000540	NB624_RS02810, NB624_RS02805	FEF30_RS03015
OG0000544	NB624_RS01240	FEF30_RS04245
OG0000545	NB624_RS01820	FEF30_RS02225
OG0000546	NB624_RS02950	FEF30_RS03165
OG0000551	NB624_RS03140	FEF30_RS03360
OG0000552	NB624_RS03305	FEF30_RS03490
OG0000553	NB624_RS02855	FEF30_RS04365
OG0000554	NB624_RS02535	FEF30_RS02765
OG0000555	NB624_RS03075	FEF30_RS03295
OG0000556	NB624_RS02135	FEF30_RS04300
OG0000557	NB624_RS01255	FEF30_RS01575
OG0000558	NB624_RS01220	FEF30_RS01545
OG0000559	NB624_RS01700	FEF30_RS02015
