Orthogroup	MFC_MF33_protein	MHP_LH_protein
OG0000077	WP_308704724.1	WP_233688621.1
OG0000079	WP_052234586.1	WP_233688409.1
OG0000080	WP_160609442.1	WP_233688410.1
OG0000081	WP_160581484.1	WP_011206216.1
OG0000082	WP_160609445.1	WP_233688412.1
OG0000083	WP_160609431.1	WP_233688414.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_160581449.1	WP_011206224.1
OG0000086	WP_160609432.1	WP_233688416.1
OG0000087	WP_160609433.1	WP_233688417.1
OG0000088	WP_236681783.1	WP_011206228.1
OG0000089	WP_160581443.1	WP_044272480.1
OG0000090	WP_002557461.1	WP_011206231.1
OG0000091	WP_002557464.1	WP_011283836.1
OG0000092	WP_002557465.1	WP_233688592.1
OG0000093	WP_160609388.1	WP_233688591.1
OG0000094	WP_160609387.1	WP_233688590.1
OG0000095	WP_160581091.1	WP_233688589.1
OG0000096	WP_160609386.1	WP_160588116.1
OG0000097	WP_160609385.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_160581096.1	WP_233688588.1
OG0000100	WP_160609383.1	WP_233688586.1
OG0000101	WP_002557478.1	WP_233688585.1
OG0000102	WP_160609382.1	WP_044272251.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160609380.1	WP_233688584.1
OG0000105	WP_002557483.1	WP_233688583.1
OG0000106	WP_160609379.1	WP_233688582.1
OG0000107	WP_160609378.1	WP_233688581.1
OG0000108	WP_160581109.1	WP_094521530.1
OG0000109	WP_160609377.1	WP_233688580.1
OG0000110	WP_160581114.1	WP_233688579.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_002557499.1	WP_233688736.1
OG0000113	WP_160609399.1	WP_233688737.1
OG0000114	WP_160609400.1	WP_233688738.1
OG0000115	WP_160609358.1	WP_233688430.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_011284163.1
OG0000118	WP_002557514.1	WP_135618882.1
OG0000119	WP_160583937.1	WP_233688432.1
OG0000120	WP_160609357.1	WP_135618884.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_308704655.1	WP_011206247.1
OG0000123	WP_160581160.1	WP_233688451.1
OG0000124	WP_002557523.1	WP_233688450.1
OG0000125	WP_160609356.1	WP_233688449.1
OG0000126	WP_002557525.1	WP_233688448.1
OG0000127	WP_002557526.1	WP_233688447.1
OG0000128	WP_160609354.1	WP_233688444.1
OG0000129	WP_258556771.1	WP_233688443.1
OG0000130	WP_160609353.1	WP_011206264.1
OG0000131	WP_160609352.1	WP_233688701.1
OG0000132	WP_160609351.1	WP_233688702.1
OG0000133	WP_160609350.1	WP_233688703.1
OG0000134	WP_160581180.1	WP_233688704.1
OG0000135	WP_002557538.1	WP_233688705.1
OG0000136	WP_002557540.1	WP_233688707.1
OG0000137	WP_160581187.1	WP_179696055.1
OG0000138	WP_002557542.1	WP_011205966.1
OG0000139	WP_160609349.1	WP_011205965.1
OG0000140	WP_160609348.1	WP_160600844.1
OG0000141	WP_160581190.1	WP_044284614.1
OG0000142	WP_160609347.1	WP_011284032.1
OG0000143	WP_002557549.1	WP_011205958.1
OG0000144	WP_002557551.1	WP_011205956.1
OG0000145	WP_160581199.1	WP_233688711.1
OG0000146	WP_002557554.1	WP_011290118.1
OG0000147	WP_160581203.1	WP_011205952.1
OG0000148	WP_160605532.1	WP_011205950.1
OG0000149	WP_160609346.1	WP_233688712.1
OG0000150	WP_160583976.1	WP_011284040.1
OG0000151	WP_160609345.1	WP_233688713.1
OG0000152	WP_160603202.1	WP_233688714.1
OG0000153	WP_160609344.1	WP_014579732.1
OG0000154	WP_160609343.1	WP_233688715.1
OG0000155	WP_160593526.1	WP_011284046.1
OG0000156	WP_002557566.1	WP_233688716.1
OG0000157	WP_160609342.1	WP_233688717.1
OG0000158	WP_002557569.1	WP_233688719.1
OG0000159	WP_160609247.1	WP_334301384.1
OG0000160	WP_160609248.1	WP_233688634.1
OG0000161	WP_002557574.1	WP_014579589.1
OG0000162	WP_160609249.1	WP_233688635.1
OG0000163	WP_160609250.1	WP_011206121.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_002557578.1	WP_233688636.1
OG0000166	WP_160609251.1	WP_233688637.1
OG0000167	WP_308704722.1	WP_233688638.1
OG0000168	WP_160583687.1	WP_011206113.1
OG0000169	WP_002557589.1	WP_233688643.1
OG0000170	WP_160583684.1	WP_011206106.1
OG0000171	WP_160609258.1	WP_179221023.1
OG0000172	WP_002557595.1	WP_011206101.1
OG0000173	WP_002557602.1	WP_011284290.1
OG0000174	WP_002557603.1	WP_011284289.1
OG0000175	WP_160580878.1	WP_233688510.1
OG0000176	WP_002557607.1	WP_233688509.1
OG0000177	WP_160583674.1	WP_233688508.1
OG0000178	WP_002557609.1	WP_233688507.1
OG0000179	WP_160609263.1	WP_233688506.1
OG0000180	WP_002557613.1	WP_011206385.1
OG0000181	WP_002557614.1	WP_233688504.1
OG0000182	WP_160580892.1	WP_135619016.1
OG0000183	WP_160583667.1	WP_233688502.1
OG0000184	WP_002557620.1	WP_011206379.1
OG0000185	WP_160609266.1	WP_011206378.1
OG0000186	WP_002557622.1	WP_135619008.1
OG0000187	WP_002557623.1	WP_135619006.1
OG0000188	WP_160609269.1	WP_233688500.1
OG0000189	WP_160609274.1	WP_179696082.1
OG0000190	WP_160609275.1	WP_160606405.1
OG0000191	WP_160609276.1	WP_233688497.1
OG0000192	WP_160609277.1	WP_011206345.1
OG0000193	WP_160609278.1	WP_233688494.1
OG0000194	WP_160609279.1	WP_233688493.1
OG0000195	WP_160609280.1	WP_233688492.1
OG0000196	WP_160583648.1	WP_011206335.1
OG0000197	WP_160609306.1	WP_011206334.1
OG0000198	WP_160609281.1	WP_275092455.1
OG0000199	WP_002557667.1	WP_011206289.1
OG0000200	WP_002557668.1	WP_233688466.1
OG0000201	WP_160593407.1	WP_011206287.1
OG0000202	WP_160609421.1	WP_233688724.1
OG0000203	WP_160609420.1	WP_233688725.1
OG0000204	WP_160581414.1	WP_233688726.1
OG0000205	WP_160581416.1	WP_014579804.1
OG0000206	WP_002557680.1	WP_044284644.1
OG0000207	WP_160609418.1	WP_011206197.1
OG0000208	WP_160609417.1	WP_233688754.1
OG0000209	WP_002557684.1	WP_011206200.1
OG0000210	WP_160609426.1	WP_233688759.1
OG0000211	WP_220190081.1	WP_233688760.1
OG0000212	WP_160581429.1	WP_011206207.1
OG0000213	WP_002557693.1	WP_233688406.1
OG0000214	WP_160609325.1	WP_233688525.1
OG0000215	WP_160581256.1	WP_011206422.1
OG0000216	WP_002557707.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_094521499.1
OG0000218	WP_002557709.1	WP_233688528.1
OG0000219	WP_160609329.1	WP_233688531.1
OG0000220	WP_160581263.1	WP_135619070.1
OG0000221	WP_002557715.1	WP_233688532.1
OG0000222	WP_160609331.1	WP_233688535.1
OG0000223	WP_160609332.1	WP_233688536.1
OG0000224	WP_002557721.1	WP_011206441.1
OG0000225	WP_039387689.1	WP_233688537.1
OG0000226	WP_160609333.1	WP_233688538.1
OG0000227	WP_002557725.1	WP_160600945.1
OG0000228	WP_160609334.1	WP_233688539.1
OG0000229	WP_160609335.1	WP_020835888.1
OG0000230	WP_160603214.1	WP_011206453.1
OG0000231	WP_002557731.1	WP_233688546.1
OG0000232	WP_160581280.1	WP_233688547.1
OG0000233	WP_002557733.1	WP_011206457.1
OG0000234	WP_002557734.1	WP_011206458.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160609338.1	WP_233688549.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160581467.1	WP_011206468.1
OG0000239	WP_160609439.1	WP_146379742.1
OG0000240	WP_160609438.1	WP_233688552.1
OG0000241	WP_002557743.1	WP_011206465.1
OG0000242	WP_160609416.1	WP_233688553.1
OG0000243	WP_002557749.1	WP_011284051.1
OG0000244	WP_160603234.1	WP_135618718.1
OG0000245	WP_002557751.1	WP_011284053.1
OG0000246	WP_002557752.1	WP_233688720.1
OG0000247	WP_002557753.1	WP_011284055.1
OG0000248	WP_002557754.1	WP_233688721.1
OG0000249	WP_160603230.1	WP_011205932.1
OG0000250	WP_160609372.1	WP_233688438.1
OG0000251	WP_160605458.1	WP_011206256.1
OG0000252	WP_220190045.1	WP_233688435.1
OG0000253	WP_258556776.1	WP_011206251.1
OG0000254	WP_160609368.1	WP_011284001.1
OG0000255	WP_002557766.1	WP_011283999.1
OG0000256	WP_160583987.1	WP_233688692.1
OG0000257	WP_002557768.1	WP_011283923.1
OG0000258	WP_002557769.1	WP_011283924.1
OG0000259	WP_160609366.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_020835572.1
OG0000261	WP_002557774.1	WP_014579648.1
OG0000262	WP_002557775.1	WP_041361572.1
OG0000263	WP_160605468.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_220190044.1	WP_160600868.1
OG0000266	WP_160609364.1	WP_233688647.1
OG0000267	WP_002557782.1	WP_233688648.1
OG0000268	WP_160609363.1	WP_011283934.1
OG0000269	WP_160609362.1	WP_011290034.1
OG0000270	WP_002557785.1	WP_135618573.1
OG0000271	WP_160609361.1	WP_233688650.1
OG0000272	WP_002557791.1	WP_233688653.1
OG0000273	WP_160583979.1	WP_233688654.1
OG0000274	WP_160609309.1	WP_014579633.1
OG0000275	WP_002557794.1	WP_233688655.1
OG0000276	WP_002557796.1	WP_233688656.1
OG0000277	WP_160581357.1	WP_233688657.1
OG0000278	WP_002557798.1	WP_135618589.1
OG0000279	WP_160609310.1	WP_011283949.1
OG0000280	WP_160609311.1	WP_011283950.1
OG0000281	WP_160609312.1	WP_011283951.1
OG0000282	WP_002557802.1	WP_011283952.1
OG0000283	WP_002557803.1	WP_011206061.1
OG0000284	WP_160581348.1	WP_011206054.1
OG0000285	WP_160581347.1	WP_233688662.1
OG0000286	WP_002557813.1	WP_233688663.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_011206048.1
OG0000289	WP_002557816.1	WP_011283963.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_233688664.1
OG0000292	WP_160609314.1	WP_011206044.1
OG0000293	WP_160609315.1	WP_233688666.1
OG0000294	WP_160603160.1	WP_020835591.1
OG0000295	WP_002557824.1	WP_011283968.1
OG0000296	WP_002557825.1	WP_011206039.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_233688667.1
OG0000300	WP_002557832.1	WP_011206032.1
OG0000301	WP_002557833.1	WP_011206031.1
OG0000302	WP_160609316.1	WP_233688668.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_002557836.1	WP_014579605.1
OG0000305	WP_160609317.1	WP_014579604.1
OG0000306	WP_160581334.1	WP_011206025.1
OG0000307	WP_002557839.1	WP_011283976.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_160581330.1	WP_233688672.1
OG0000310	WP_160609318.1	WP_233688673.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160583871.1	WP_233688674.1
OG0000313	WP_160609320.1	WP_044284822.1
OG0000314	WP_160603168.1	WP_020835610.1
OG0000315	WP_002557850.1	WP_233688676.1
OG0000316	WP_160581215.1	WP_011283989.1
OG0000317	WP_160593437.1	WP_233688687.1
OG0000318	WP_002557856.1	WP_233688688.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_160609321.1	WP_233688689.1
OG0000321	WP_160609322.1	WP_233688690.1
OG0000322	WP_160583885.1	WP_020835619.1
OG0000323	WP_002557863.1	WP_011206399.1
OG0000324	WP_002557864.1	WP_011206400.1
OG0000325	WP_160593441.1	WP_014579953.1
OG0000326	WP_002557866.1	WP_011206402.1
OG0000327	WP_002557867.1	WP_233688513.1
OG0000328	WP_002557868.1	WP_011206404.1
OG0000329	WP_002557870.1	WP_160615603.1
OG0000330	WP_002557872.1	WP_146379707.1
OG0000331	WP_160583926.1	WP_233688514.1
OG0000332	WP_002557875.1	WP_050195463.1
OG0000333	WP_160609389.1	WP_179220985.1
OG0000334	WP_002557877.1	WP_233688602.1
OG0000335	WP_160609392.1	WP_233688603.1
OG0000336	WP_308704740.1	WP_233688605.1
OG0000337	WP_002557886.1	WP_011289957.1
OG0000338	WP_160581057.1	WP_233688608.1
OG0000339	WP_002557890.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_014579544.1
OG0000341	WP_002557892.1	WP_160600661.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160583733.1	WP_233688610.1
OG0000344	WP_002557895.1	WP_044284571.1
OG0000345	WP_160583731.1	WP_020835510.1
OG0000346	WP_002557898.1	WP_044284572.1
OG0000347	WP_002557899.1	WP_011283865.1
OG0000348	WP_002557900.1	WP_233688611.1
OG0000349	WP_002557901.1	WP_233688612.1
OG0000350	WP_160609237.1	WP_160600671.1
OG0000351	WP_002557903.1	WP_160600673.1
OG0000352	WP_160609238.1	WP_233688613.1
OG0000353	WP_160609239.1	WP_011283871.1
OG0000354	WP_002557906.1	WP_233688614.1
OG0000355	WP_160609240.1	WP_233688615.1
OG0000356	WP_160609241.1	WP_050195448.1
OG0000357	WP_002557909.1	WP_135618505.1
OG0000358	WP_160609242.1	WP_233688617.1
OG0000359	WP_002557912.1	WP_233688618.1
OG0000360	WP_002557913.1	WP_011283879.1
OG0000361	WP_002557914.1	WP_233688619.1
OG0000362	WP_160609243.1	WP_233688620.1
OG0000363	WP_002557919.1	WP_014579569.1
OG0000364	WP_002557921.1	WP_011289987.1
OG0000365	WP_160609245.1	WP_011283885.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_233688622.1
OG0000368	WP_002557928.1	WP_160584747.1
OG0000369	WP_002557930.1	WP_011205923.1
OG0000370	WP_002557932.1	WP_233688623.1
OG0000371	WP_160583705.1	WP_011283894.1
OG0000372	WP_002557935.1	WP_179695952.1
OG0000373	WP_002557936.1	WP_179695953.1
OG0000374	WP_160609403.1	WP_233688570.1
OG0000375	WP_160583792.1	WP_233688568.1
OG0000376	WP_002557946.1	WP_233688567.1
OG0000377	WP_002557947.1	WP_011284373.1
OG0000378	WP_002557948.1	WP_011206502.1
OG0000379	WP_160609406.1	WP_233688566.1
OG0000380	WP_160581375.1	WP_233688565.1
OG0000381	WP_160581377.1	WP_011206497.1
OG0000382	WP_002557954.1	WP_011290421.1
OG0000383	WP_002557956.1	WP_233688563.1
OG0000384	WP_160609409.1	WP_233688561.1
OG0000385	WP_002557960.1	WP_011206490.1
OG0000386	WP_002557961.1	WP_011290416.1
OG0000387	WP_160609410.1	WP_233688560.1
OG0000388	WP_160609411.1	WP_011206486.1
OG0000389	WP_002557965.1	WP_044272663.1
OG0000390	WP_160609412.1	WP_011206484.1
OG0000391	WP_002557967.1	WP_011290413.1
OG0000392	WP_002557968.1	WP_233688559.1
OG0000393	WP_160580983.1	WP_334301383.1
OG0000394	WP_160609294.1	WP_011206297.1
OG0000395	WP_002557980.1	WP_233688472.1
OG0000396	WP_160609292.1	WP_233688473.1
OG0000397	WP_160609291.1	WP_011206303.1
OG0000398	WP_002558003.1	WP_014579908.1
OG0000399	WP_002558005.1	WP_011206320.1
OG0000400	WP_002558006.1	WP_044272553.1
OG0000401	WP_160609286.1	WP_233688482.1
OG0000402	WP_160609287.1	WP_233688481.1
OG0000403	WP_160580958.1	WP_011206315.1
OG0000404	WP_160609288.1	WP_233688479.1
OG0000405	WP_160609289.1	WP_011206311.1
OG0000406	WP_160583624.1	WP_233688477.1
OG0000407	WP_160580964.1	WP_233688476.1
OG0000408	WP_160580966.1	WP_011206306.1
OG0000409	WP_160605278.1	WP_233688606.1
OG0000410	WP_039387487.1	WP_011205878.1
OG0000411	WP_039387496.1	WP_041361533.1
OG0000412	WP_039387501.1	WP_011283891.1
OG0000413	WP_039387504.1	WP_014579576.1
OG0000414	WP_039387509.1	WP_146379484.1
OG0000415	WP_160609254.1	WP_011283978.1
OG0000416	WP_160580890.1	WP_233688505.1
OG0000417	WP_160603060.1	WP_044272560.1
OG0000418	WP_220189982.1	WP_233688489.1
OG0000419	WP_160609284.1	WP_233688487.1
OG0000420	WP_039387539.1	WP_160600978.1
OG0000421	WP_160609293.1	WP_233688471.1
OG0000422	WP_039387548.1	WP_011206293.1
OG0000423	WP_039387554.1	WP_011206141.1
OG0000424	WP_160609427.1	WP_233688758.1
OG0000425	WP_160581431.1	WP_233688407.1
OG0000426	WP_160609424.1	WP_014579818.1
OG0000427	WP_039387578.1	WP_233688419.1
OG0000428	WP_160609446.1	WP_233688411.1
OG0000429	WP_160609440.1	WP_233688408.1
OG0000430	WP_039387606.1	WP_233688431.1
OG0000431	WP_160609355.1	WP_233688446.1
OG0000432	WP_039387610.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_233688709.1
OG0000434	WP_039387619.1	WP_233688718.1
OG0000435	WP_160609369.1	WP_011206250.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_233688651.1
OG0000438	WP_160581309.1	WP_011206076.1
OG0000439	WP_039387641.1	WP_011206069.1
OG0000440	WP_039387644.1	WP_233688658.1
OG0000441	WP_039387648.1	WP_044284742.1
OG0000442	WP_039387651.1	WP_014579622.1
OG0000443	WP_039387658.1	WP_011206016.1
OG0000444	WP_039387665.1	WP_011206405.1
OG0000445	WP_039387681.1	WP_011290372.1
OG0000446	WP_039387683.1	WP_011206433.1
OG0000447	WP_160581276.1	WP_160601134.1
OG0000448	WP_160609336.1	WP_233688545.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_160609408.1	WP_233688562.1
OG0000451	WP_039387713.1	WP_011206506.1
OG0000452	WP_039387719.1	WP_011205931.1
OG0000453	WP_039387722.1	WP_011206520.1
OG0000454	WP_160609381.1	WP_011284394.1
OG0000455	WP_039387750.1	WP_011206317.1
OG0000456	WP_160609435.1	WP_146379588.1
OG0000457	WP_160605518.1	WP_233688442.1
OG0000458	WP_039387777.1	WP_011205973.1
OG0000459	WP_039387782.1	WP_233688437.1
OG0000460	WP_160609365.1	WP_233688646.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160609407.1	WP_233688564.1
OG0000463	WP_258556770.1	WP_233688706.1
OG0000464	WP_160609253.1	WP_233688639.1
OG0000465	WP_051054304.1	WP_014579611.1
OG0000466	WP_308704741.1	WP_232039558.1
OG0000467	WP_160609397.1	WP_233688574.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_308704659.1	WP_160600882.1
OG0000470	WP_160609265.1	WP_233688501.1
OG0000471	WP_155897264.1	WP_094521522.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_002557790.1	WP_160600884.1
OG0000474	WP_220189980.1	WP_233688496.1
OG0000475	WP_220189978.1	WP_233688626.1
OG0000476	WP_220190084.1	WP_233688755.1
OG0000477	WP_258556792.1	WP_011206227.1
OG0000478	WP_002557547.1	WP_233688708.1
OG0000479	WP_220189979.1	WP_011283917.1
OG0000480	WP_308704742.1	WP_011206194.1
OG0000481	WP_308704743.1	WP_232039529.1
OG0000482	WP_160605540.1	WP_011206427.1
OG0000483	WP_160609327.1	WP_233688529.1
OG0000484	WP_308704720.1	WP_233688609.1
OG0000485	WP_231237879.1	WP_225973008.1
OG0000486	WP_258556748.1	WP_233688616.1
OG0000487	WP_258556596.1	WP_094521719.1
OG0000488	WP_308704732.1	WP_233688524.1
OG0000489	WP_334296055.1	WP_233688761.1
OG0000491	WP_002557466.1	WP_011283834.1
OG0000492	WP_160609384.1	WP_233688587.1
OG0000493	WP_002557476.1	WP_135618444.1
OG0000494	WP_002557481.1	WP_160606487.1
OG0000495	WP_160609394.1	WP_233688577.1
OG0000496	WP_002557529.1	WP_011284186.1
OG0000497	WP_002557546.1	WP_011205962.1
OG0000498	WP_002557550.1	WP_233688710.1
OG0000499	WP_160603196.1	WP_160607802.1
OG0000500	WP_160580848.1	WP_233688633.1
OG0000501	WP_160580862.1	WP_011206114.1
OG0000502	WP_160609257.1	WP_233688644.1
OG0000503	WP_258556752.1	WP_228366107.1
OG0000504	WP_160609267.1	WP_011206375.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000506	WP_002557640.1	WP_014579921.1
OG0000507	WP_002557649.1	WP_011284249.1
OG0000508	WP_160609422.1	WP_233688463.1
OG0000509	WP_160583899.1	WP_233688527.1
OG0000510	WP_160609330.1	WP_233688533.1
OG0000512	WP_160609371.1	WP_233688436.1
OG0000513	WP_002557809.1	WP_011283957.1
OG0000514	WP_160581345.1	WP_146379519.1
OG0000515	WP_002557821.1	WP_233688665.1
OG0000516	WP_160581337.1	WP_011206036.1
OG0000517	WP_160581026.1	WP_044284771.1
OG0000518	WP_002557923.1	WP_160606509.1
OG0000519	WP_002557926.1	WP_011289989.1
OG0000520	WP_002557934.1	WP_233688624.1
OG0000522	WP_160593509.1	WP_233688557.1
OG0000523	WP_160609414.1	WP_020835904.1
OG0000524	WP_002557982.1	WP_014579890.1
OG0000525	WP_002557985.1	WP_160585006.1
OG0000526	WP_002558014.1	WP_011206310.1
OG0000527	WP_002558016.1	WP_011206309.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220189983.1	WP_233688488.1
OG0000530	WP_160609425.1	WP_014579812.1
OG0000531	WP_039387714.1	WP_011284377.1
OG0000532	WP_220190068.1	WP_233688569.1
OG0000533	WP_334296056.1	WP_020835622.1
OG0000534	WP_039387661.1	WP_011206004.1
OG0000535	WP_160609264.1	WP_233688503.1
OG0000536	WP_236681773.1	WP_160585249.1
OG0000537	WP_160609256.1	WP_233688642.1
OG0000538	WP_002557696.1	WP_160588366.1
OG0000539	WP_002557806.1	WP_233688660.1
OG0000542	WP_160609395.1	WP_233688576.1
OG0000543	WP_002557841.1	WP_011206110.1
OG0000545	WP_258556750.1	WP_011290141.1
OG0000549	WP_308704747.1	WP_233688770.1
OG0000550	WP_160609430.1	WP_233688413.1
OG0000555	WP_160609391.1	WP_014579752.1
OG0000556	WP_160581075.1	WP_011206170.1
OG0000563	WP_160609390.1	WP_020835684.1
OG0000605	WP_160609436.1	WP_233688422.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_233688426.1
OG0000631	WP_160602617.1	WP_233688420.1, WP_179221135.1
