Orthogroup	MHP_168L_genes	MHP_KM014_genes
OG0000165	MHP168L_RS02030	CIB43_RS02840
OG0000166	MHP168L_RS02050	CIB43_RS02860
OG0000167	MHP168L_RS02065	CIB43_RS02875
OG0000168	MHP168L_RS02070	CIB43_RS02880
OG0000169	MHP168L_RS03045	CIB43_RS00130
OG0000171	MHP168L_RS03070	CIB43_RS00155
OG0000172	MHP168L_RS03075	CIB43_RS00160
OG0000173	MHP168L_RS03080	CIB43_RS00165
OG0000174	MHP168L_RS03085	CIB43_RS00170
OG0000175	MHP168L_RS03100	CIB43_RS00190
OG0000176	MHP168L_RS03150	CIB43_RS00235
OG0000177	MHP168L_RS03155	CIB43_RS00240
OG0000178	MHP168L_RS03160	CIB43_RS00245
OG0000179	MHP168L_RS03170	CIB43_RS00255
OG0000180	MHP168L_RS03175	CIB43_RS00260
OG0000181	MHP168L_RS03215	CIB43_RS00310
OG0000182	MHP168L_RS03225	CIB43_RS00320
OG0000183	MHP168L_RS03260	CIB43_RS00355
OG0000184	MHP168L_RS03300	CIB43_RS00430
OG0000185	MHP168L_RS03285	CIB43_RS00380
OG0000186	MHP168L_RS01615	CIB43_RS02400
OG0000187	MHP168L_RS01630	CIB43_RS02410
OG0000188	MHP168L_RS01640	CIB43_RS02425
OG0000189	MHP168L_RS02320	CIB43_RS03200
OG0000190	MHP168L_RS02315	CIB43_RS03195
OG0000191	MHP168L_RS02295	CIB43_RS03180
OG0000192	MHP168L_RS01300	CIB43_RS02085
OG0000193	MHP168L_RS01290	CIB43_RS02075
OG0000194	MHP168L_RS00970	CIB43_RS01560
OG0000195	MHP168L_RS00965	CIB43_RS01565
OG0000196	MHP168L_RS00945	CIB43_RS01585
OG0000197	MHP168L_RS00940	CIB43_RS01590
OG0000198	MHP168L_RS00925	CIB43_RS01605
OG0000199	MHP168L_RS00920	CIB43_RS01615
OG0000200	MHP168L_RS00910	CIB43_RS01630
OG0000201	MHP168L_RS00900	CIB43_RS01635
OG0000202	MHP168L_RS00845	CIB43_RS01690
OG0000203	MHP168L_RS00840	CIB43_RS01695
OG0000204	MHP168L_RS00835	CIB43_RS01700
OG0000205	MHP168L_RS00830	CIB43_RS01705
OG0000206	MHP168L_RS00810	CIB43_RS01735
OG0000207	MHP168L_RS00795	CIB43_RS01740
OG0000208	MHP168L_RS00790	CIB43_RS01745
OG0000209	MHP168L_RS00785	CIB43_RS01750
OG0000210	MHP168L_RS00735	CIB43_RS01800
OG0000211	MHP168L_RS00720	CIB43_RS01805
OG0000212	MHP168L_RS00710	CIB43_RS01815
OG0000213	MHP168L_RS03705	CIB43_RS01820
OG0000214	MHP168L_RS00705	CIB43_RS01825
OG0000215	MHP168L_RS00700	CIB43_RS01830
OG0000216	MHP168L_RS00695	CIB43_RS01835
OG0000217	MHP168L_RS00690	CIB43_RS01845
OG0000218	MHP168L_RS00680	CIB43_RS01850
OG0000219	MHP168L_RS00675	CIB43_RS01855
OG0000220	MHP168L_RS00670	CIB43_RS01860
OG0000221	MHP168L_RS00665	CIB43_RS01865
OG0000222	MHP168L_RS00660	CIB43_RS01870
OG0000223	MHP168L_RS00655	CIB43_RS01875
OG0000225	MHP168L_RS00635	CIB43_RS01895
OG0000226	MHP168L_RS00630	CIB43_RS01900
OG0000227	MHP168L_RS00625	CIB43_RS01905
OG0000228	MHP168L_RS04125	CIB43_RS01910
OG0000229	MHP168L_RS00615	CIB43_RS01915
OG0000230	MHP168L_RS00610	CIB43_RS01920
OG0000231	MHP168L_RS00600	CIB43_RS01935
OG0000232	MHP168L_RS00590	CIB43_RS01940
OG0000233	MHP168L_RS01075	CIB43_RS01965
OG0000234	MHP168L_RS01110	CIB43_RS02000
OG0000235	MHP168L_RS01120	CIB43_RS02005
OG0000236	MHP168L_RS01125	CIB43_RS02010
OG0000237	MHP168L_RS01130	CIB43_RS02015
OG0000238	MHP168L_RS01140	CIB43_RS02025
OG0000239	MHP168L_RS02975	CIB43_RS03860
OG0000240	MHP168L_RS02980	CIB43_RS03870
OG0000241	MHP168L_RS02990	CIB43_RS03875
OG0000242	MHP168L_RS02995	CIB43_RS03880
OG0000243	MHP168L_RS03000	CIB43_RS03885
OG0000244	MHP168L_RS03010	CIB43_RS03900
OG0000245	MHP168L_RS03020	CIB43_RS03905
OG0000246	MHP168L_RS00120	CIB43_RS00845
OG0000247	MHP168L_RS00130	CIB43_RS00850
OG0000248	MHP168L_RS00140	CIB43_RS00875
OG0000250	MHP168L_RS00160	CIB43_RS00885
OG0000251	MHP168L_RS00185	CIB43_RS00925
OG0000252	MHP168L_RS00195	CIB43_RS00930
OG0000253	MHP168L_RS00200	CIB43_RS00940
OG0000254	MHP168L_RS00210	CIB43_RS00950
OG0000255	MHP168L_RS00220	CIB43_RS00955
OG0000256	MHP168L_RS00225	CIB43_RS00960
OG0000257	MHP168L_RS00250	CIB43_RS00985
OG0000258	MHP168L_RS00260	CIB43_RS01015
OG0000259	MHP168L_RS00290	CIB43_RS01030
OG0000260	MHP168L_RS00300	CIB43_RS01045
OG0000262	MHP168L_RS00325	CIB43_RS01075
OG0000263	MHP168L_RS00340	CIB43_RS01080
OG0000264	MHP168L_RS00355	CIB43_RS01100
OG0000265	MHP168L_RS00365	CIB43_RS01110
OG0000266	MHP168L_RS00380	CIB43_RS01120
OG0000267	MHP168L_RS00395	CIB43_RS01135
OG0000268	MHP168L_RS00400	CIB43_RS01305
OG0000269	MHP168L_RS00415	CIB43_RS01320
OG0000270	MHP168L_RS03475	CIB43_RS00575
OG0000271	MHP168L_RS03470	CIB43_RS00570
OG0000272	MHP168L_RS03465	CIB43_RS00565
OG0000273	MHP168L_RS03460	CIB43_RS00560
OG0000274	MHP168L_RS03440	CIB43_RS00545
OG0000275	MHP168L_RS03435	CIB43_RS00535
OG0000276	MHP168L_RS03430	CIB43_RS00530
OG0000277	MHP168L_RS03420	CIB43_RS00525
OG0000278	MHP168L_RS03415	CIB43_RS00515
OG0000279	MHP168L_RS03405	CIB43_RS00510
OG0000280	MHP168L_RS03400	CIB43_RS00500
OG0000281	MHP168L_RS03780	CIB43_RS00495
OG0000283	MHP168L_RS03370	CIB43_RS00475
OG0000284	MHP168L_RS03365	CIB43_RS00460
OG0000285	MHP168L_RS03360	CIB43_RS00455
OG0000286	MHP168L_RS02450	CIB43_RS03345
OG0000287	MHP168L_RS02550	CIB43_RS03440
OG0000288	MHP168L_RS02560	CIB43_RS03450
OG0000289	MHP168L_RS02565	CIB43_RS03455
OG0000290	MHP168L_RS02675	CIB43_RS03565
OG0000291	MHP168L_RS02665	CIB43_RS03560
OG0000292	MHP168L_RS02660	CIB43_RS03550
OG0000293	MHP168L_RS02655	CIB43_RS03545
OG0000294	MHP168L_RS02645	CIB43_RS03540
OG0000295	MHP168L_RS02640	CIB43_RS03530
OG0000296	MHP168L_RS02600	CIB43_RS03495
OG0000297	MHP168L_RS02595	CIB43_RS03485
OG0000298	MHP168L_RS00155	CIB43_RS00880
OG0000299	MHP168L_RS03690	CIB43_RS00915
OG0000300	MHP168L_RS00350	CIB43_RS01090
OG0000301	MHP168L_RS00385	CIB43_RS01125
OG0000302	MHP168L_RS00390	CIB43_RS01130
OG0000303	MHP168L_RS00545	CIB43_RS01455
OG0000304	MHP168L_RS00585	CIB43_RS01950
OG0000305	MHP168L_RS02910	CIB43_RS03795
OG0000306	MHP168L_RS02835	CIB43_RS03725
OG0000307	MHP168L_RS02800	CIB43_RS03685
OG0000308	MHP168L_RS02700	CIB43_RS03600
OG0000309	MHP168L_RS02630	CIB43_RS03520
OG0000310	MHP168L_RS02555	CIB43_RS03445
OG0000311	MHP168L_RS02510	CIB43_RS03405
OG0000312	MHP168L_RS02495	CIB43_RS03390
OG0000313	MHP168L_RS01835	CIB43_RS02485
OG0000314	MHP168L_RS02045	CIB43_RS02855
OG0000315	MHP168L_RS02075	CIB43_RS02885
OG0000316	MHP168L_RS02085	CIB43_RS02895
OG0000317	MHP168L_RS02225	CIB43_RS02985
OG0000318	MHP168L_RS02090	CIB43_RS02900
OG0000319	MHP168L_RS02160	CIB43_RS03125
OG0000320	MHP168L_RS02385	CIB43_RS03270
OG0000321	MHP168L_RS01425	CIB43_RS02200
OG0000322	MHP168L_RS01470	CIB43_RS02245
OG0000323	MHP168L_RS01600	CIB43_RS02375
OG0000324	MHP168L_RS02290	CIB43_RS03170
OG0000325	MHP168L_RS00960	CIB43_RS01570
OG0000326	MHP168L_RS00870	CIB43_RS01665
OG0000327	MHP168L_RS00865	CIB43_RS01670
OG0000328	MHP168L_RS00780	CIB43_RS01760
OG0000329	MHP168L_RS00755	CIB43_RS01775
OG0000330	MHP168L_RS01085	CIB43_RS01970
OG0000331	MHP168L_RS03005	CIB43_RS03890
OG0000332	MHP168L_RS03110	CIB43_RS00200
OG0000333	MHP168L_RS03120	CIB43_RS00210
OG0000334	MHP168L_RS03220	CIB43_RS00315
OG0000335	MHP168L_RS03230	CIB43_RS00340
OG0000336	MHP168L_RS03390	CIB43_RS00485
OG0000337	MHP168L_RS03620	CIB43_RS00655
OG0000338	MHP168L_RS03660	CIB43_RS00695
OG0000339	MHP168L_RS02355	CIB43_RS03235
OG0000340	MHP168L_RS01400	CIB43_RS02185
OG0000341	MHP168L_RS02310	CIB43_RS03190
OG0000342	MHP168L_RS00930	CIB43_RS01600
OG0000343	MHP168L_RS03130	CIB43_RS00215
OG0000344	MHP168L_RS00560	CIB43_RS01465
OG0000345	MHP168L_RS00640	CIB43_RS01890
OG0000346	MHP168L_RS03395	CIB43_RS00490
OG0000347	MHP168L_RS01495	CIB43_RS02270
OG0000348	MHP168L_RS00860	CIB43_RS01685
OG0000349	MHP168L_RS03450	CIB43_RS00550
OG0000350	MHP168L_RS02790	CIB43_RS03675
OG0000351	MHP168L_RS00475	CIB43_RS01385
OG0000352	MHP168L_RS02025	CIB43_RS02830
OG0000353	MHP168L_RS01465	CIB43_RS02240
OG0000354	MHP168L_RS01015	CIB43_RS01515
OG0000355	MHP168L_RS01995	CIB43_RS02805
OG0000356	MHP168L_RS02080	CIB43_RS02890
OG0000357	MHP168L_RS03090	CIB43_RS00175
OG0000358	MHP168L_RS03095	CIB43_RS00180
OG0000359	MHP168L_RS00890	CIB43_RS01650
OG0000360	MHP168L_RS00255	CIB43_RS00990
OG0000361	MHP168L_RS00285	CIB43_RS01020
OG0000362	MHP168L_RS02575	CIB43_RS03475
OG0000363	MHP168L_RS03960	CIB43_RS02310
OG0000364	MHP168L_RS01970	CIB43_RS02775
OG0000369	MHP168L_RS00025	CIB43_RS00725
OG0000370	MHP168L_RS00020	CIB43_RS00720
OG0000378	MHP168L_RS01380	CIB43_RS02160
OG0000379	MHP168L_RS01460	CIB43_RS02235
OG0000380	MHP168L_RS01485	CIB43_RS02260
OG0000381	MHP168L_RS01525	CIB43_RS02300
OG0000385	MHP168L_RS00505	CIB43_RS01405
OG0000389	MHP168L_RS01035	CIB43_RS01490
OG0000394	MHP168L_RS02765	CIB43_RS03660
OG0000396	MHP168L_RS02455	CIB43_RS03350
OG0000403	MHP168L_RS03135	CIB43_RS00220
OG0000404	MHP168L_RS03165	CIB43_RS00250
OG0000405	MHP168L_RS03180	CIB43_RS00265
OG0000409	MHP168L_RS03250	CIB43_RS00345
OG0000412	MHP168L_RS03290	CIB43_RS00390
OG0000417	MHP168L_RS02305	CIB43_RS03185
OG0000428	MHP168L_RS00745	CIB43_RS01785
OG0000429	MHP168L_RS00650	CIB43_RS01885
OG0000430	MHP168L_RS00605	CIB43_RS01925
OG0000434	MHP168L_RS01100	CIB43_RS01985
OG0000436	MHP168L_RS01145	CIB43_RS02030
OG0000437	MHP168L_RS01155	CIB43_RS02065
OG0000441	MHP168L_RS03025	CIB43_RS03910
OG0000451	MHP168L_RS00345	CIB43_RS01085
OG0000453	MHP168L_RS00405	CIB43_RS01315
OG0000457	MHP168L_RS03355	CIB43_RS00450
OG0000459	MHP168L_RS02570	CIB43_RS03460
OG0000463	MHP168L_RS02615	CIB43_RS03515
OG0000464	MHP168L_RS02610	CIB43_RS03500
OG0000466	MHP168L_RS00375	CIB43_RS01115
OG0000468	MHP168L_RS02055	CIB43_RS02870
OG0000471	MHP168L_RS00740	CIB43_RS01790
OG0000473	MHP168L_RS03485	CIB43_RS00580
OG0000475	MHP168L_RS03490	CIB43_RS00595
OG0000482	MHP168L_RS01295	CIB43_RS02080
OG0000485	MHP168L_RS01150	CIB43_RS02035
OG0000486	MHP168L_RS02325	CIB43_RS03205
OG0000487	MHP168L_RS02095	CIB43_RS02915
OG0000488	MHP168L_RS02270	CIB43_RS02940
OG0000489	MHP168L_RS00050	CIB43_RS00750
OG0000491	MHP168L_RS01440	CIB43_RS02220
OG0000492	MHP168L_RS01515	CIB43_RS02290
OG0000495	MHP168L_RS02865	CIB43_RS03750
OG0000502	MHP168L_RS01285	CIB43_RS02070
OG0000506	MHP168L_RS00715	CIB43_RS01810
OG0000508	MHP168L_RS00230	CIB43_RS00980
OG0000517	MHP168L_RS00065	CIB43_RS00765
OG0000519	MHP168L_RS00880	CIB43_RS01660
OG0000520	MHP168L_RS00750	CIB43_RS01780
OG0000523	MHP168L_RS03350	CIB43_RS00445
OG0000526	MHP168L_RS03980	CIB43_RS02720
OG0000527	MHP168L_RS03975	CIB43_RS02640
OG0000529	MHP168L_RS02150	CIB43_RS03135
OG0000530	MHP168L_RS02370	CIB43_RS03250
OG0000531	MHP168L_RS01490	CIB43_RS02265
OG0000537	MHP168L_RS00935	CIB43_RS01595
OG0000538	MHP168L_RS01105	CIB43_RS01990
OG0000543	MHP168L_RS03535, MHP168L_RS01675	CIB43_RS01215
OG0000544	MHP168L_RS01335	CIB43_RS02125
OG0000545	MHP168L_RS01925	CIB43_RS02715
OG0000546	MHP168L_RS02820	CIB43_RS03705
OG0000553	MHP168L_RS02720	CIB43_RS03610
OG0000554	MHP168L_RS02415	CIB43_RS03295
OG0000556	MHP168L_RS01195	CIB43_RS01290
OG0000557	MHP168L_RS01345	CIB43_RS02130
OG0000558	MHP168L_RS01315	CIB43_RS02100
OG0000559	MHP168L_RS01740	CIB43_RS02575
OG0000560	MHP168L_RS01915	CIB43_RS02680
OG0000561	MHP168L_RS01090	CIB43_RS01980
OG0000562	MHP168L_RS01920	CIB43_RS02685
OG0000563	MHP168L_RS01905	CIB43_RS02670
OG0000564	MHP168L_RS03955	CIB43_RS02155
OG0000565	MHP168L_RS01965	CIB43_RS02760
OG0000566	MHP168L_RS01955	CIB43_RS02740
OG0000568	MHP168L_RS00975	CIB43_RS01555
OG0000569	MHP168L_RS01320	CIB43_RS02105
OG0000570	MHP168L_RS01325	CIB43_RS02110
OG0000571	MHP168L_RS01330	CIB43_RS02115
OG0000572	MHP168L_RS01350	CIB43_RS02135
OG0000573	MHP168L_RS01745	CIB43_RS02570
OG0000574	MHP168L_RS01395	CIB43_RS02175
OG0000575	MHP168L_RS01305	CIB43_RS02090
OG0000576	MHP168L_RS01780	CIB43_RS02530
OG0000577	MHP168L_RS02695	CIB43_RS03580
OG0000579	MHP168L_RS01890	CIB43_RS02660
OG0000580	MHP168L_RS04050	CIB43_RS03710
OG0000581	MHP168L_RS01875	CIB43_RS02645
OG0000584	MHP168L_RS01245	CIB43_RS01255
OG0000585	MHP168L_RS02180	CIB43_RS03105
OG0000588	MHP168L_RS01785	CIB43_RS02525
OG0000590	MHP168L_RS01255	CIB43_RS00030
OG0000590	MHP168L_RS03550	CIB43_RS01190
OG0000592	MHP168L_RS02680	CIB43_RS03570
OG0000594	MHP168L_RS01310	CIB43_RS02095
OG0000600	MHP168L_RS01240	CIB43_RS01175, CIB43_RS00040
OG0000601	MHP168L_RS01910	CIB43_RS02675
OG0000603	MHP168L_RS01225	CIB43_RS00060
OG0000606	MHP168L_RS01880	CIB43_RS02655
OG0000609	MHP168L_RS03835	CIB43_RS02730
OG0000616	MHP168L_RS03565	CIB43_RS01280
OG0000620	MHP168L_RS03820	CIB43_RS04010
OG0000628	MHP168L_RS01185	CIB43_RS00090
OG0000629	MHP168L_RS01265	CIB43_RS00015
OG0000630	MHP168L_RS01175	CIB43_RS00100
OG0000631	MHP168L_RS01180	CIB43_RS00095
