Orthogroup	MHP_168L_genes	MFC_ATCC27716_genes
OG0000168	MHP168L_RS02070	MFC_RS01385
OG0000169	MHP168L_RS03045	MFC_RS01430
OG0000170	MHP168L_RS03060	MFC_RS01455
OG0000171	MHP168L_RS03070	MFC_RS01465
OG0000172	MHP168L_RS03075	MFC_RS01470
OG0000173	MHP168L_RS03080	MFC_RS01475
OG0000174	MHP168L_RS03085	MFC_RS01480
OG0000175	MHP168L_RS03100	MFC_RS01495
OG0000176	MHP168L_RS03150	MFC_RS01540
OG0000177	MHP168L_RS03155	MFC_RS01545
OG0000178	MHP168L_RS03160	MFC_RS01550
OG0000179	MHP168L_RS03170	MFC_RS01560
OG0000180	MHP168L_RS03175	MFC_RS01565
OG0000181	MHP168L_RS03215	MFC_RS01580
OG0000182	MHP168L_RS03225	MFC_RS01590
OG0000183	MHP168L_RS03260	MFC_RS01625
OG0000184	MHP168L_RS03300	MFC_RS01655
OG0000185	MHP168L_RS03285	MFC_RS01670
OG0000186	MHP168L_RS01615	MFC_RS01710
OG0000187	MHP168L_RS01630	MFC_RS01725
OG0000188	MHP168L_RS01640	MFC_RS01735
OG0000189	MHP168L_RS02320	MFC_RS03385
OG0000190	MHP168L_RS02315	MFC_RS01750
OG0000191	MHP168L_RS02295	MFC_RS01770
OG0000192	MHP168L_RS01300	MFC_RS01780
OG0000193	MHP168L_RS01290	MFC_RS01795
OG0000194	MHP168L_RS00970	MFC_RS01805
OG0000195	MHP168L_RS00965	MFC_RS01810
OG0000196	MHP168L_RS00945	MFC_RS01830
OG0000197	MHP168L_RS00940	MFC_RS01835
OG0000198	MHP168L_RS00925	MFC_RS01850
OG0000199	MHP168L_RS00920	MFC_RS01855
OG0000200	MHP168L_RS00910	MFC_RS01865
OG0000201	MHP168L_RS00900	MFC_RS01875
OG0000202	MHP168L_RS00845	MFC_RS01930
OG0000203	MHP168L_RS00840	MFC_RS01935
OG0000204	MHP168L_RS00835	MFC_RS01940
OG0000205	MHP168L_RS00830	MFC_RS01945
OG0000206	MHP168L_RS00810	MFC_RS01965
OG0000207	MHP168L_RS00795	MFC_RS01980
OG0000208	MHP168L_RS00790	MFC_RS01985
OG0000209	MHP168L_RS00785	MFC_RS01990
OG0000210	MHP168L_RS00735	MFC_RS02040
OG0000211	MHP168L_RS00720	MFC_RS02050
OG0000212	MHP168L_RS00710	MFC_RS02060
OG0000213	MHP168L_RS03705	MFC_RS02065
OG0000214	MHP168L_RS00705	MFC_RS02070
OG0000215	MHP168L_RS00700	MFC_RS02075
OG0000216	MHP168L_RS00695	MFC_RS02080
OG0000217	MHP168L_RS00690	MFC_RS02085
OG0000218	MHP168L_RS00680	MFC_RS02095
OG0000219	MHP168L_RS00675	MFC_RS02100
OG0000220	MHP168L_RS00670	MFC_RS02105
OG0000221	MHP168L_RS00665	MFC_RS02110
OG0000222	MHP168L_RS00660	MFC_RS03235
OG0000223	MHP168L_RS00655	MFC_RS02115
OG0000224	MHP168L_RS00645	MFC_RS02125
OG0000225	MHP168L_RS00635	MFC_RS02135
OG0000226	MHP168L_RS00630	MFC_RS02140
OG0000227	MHP168L_RS00625	MFC_RS02145
OG0000228	MHP168L_RS04125	MFC_RS03530
OG0000229	MHP168L_RS00615	MFC_RS02155
OG0000230	MHP168L_RS00610	MFC_RS02160
OG0000231	MHP168L_RS00600	MFC_RS02170
OG0000232	MHP168L_RS00590	MFC_RS02180
OG0000233	MHP168L_RS01075	MFC_RS02190
OG0000234	MHP168L_RS01110	MFC_RS02220
OG0000235	MHP168L_RS01120	MFC_RS02230
OG0000236	MHP168L_RS01125	MFC_RS02235
OG0000237	MHP168L_RS01130	MFC_RS02250
OG0000238	MHP168L_RS01140	MFC_RS02255
OG0000239	MHP168L_RS02975	MFC_RS02285
OG0000240	MHP168L_RS02980	MFC_RS02290
OG0000241	MHP168L_RS02990	MFC_RS02300
OG0000242	MHP168L_RS02995	MFC_RS02305
OG0000243	MHP168L_RS03000	MFC_RS02310
OG0000244	MHP168L_RS03010	MFC_RS02320
OG0000245	MHP168L_RS03020	MFC_RS02330
OG0000246	MHP168L_RS00120	MFC_RS02345
OG0000247	MHP168L_RS00130	MFC_RS02355
OG0000248	MHP168L_RS00140	MFC_RS02380
OG0000249	MHP168L_RS00145	MFC_RS02385
OG0000250	MHP168L_RS00160	MFC_RS02400
OG0000251	MHP168L_RS00185	MFC_RS02430
OG0000252	MHP168L_RS00195	MFC_RS02440
OG0000253	MHP168L_RS00200	MFC_RS02445
OG0000254	MHP168L_RS00210	MFC_RS02455
OG0000255	MHP168L_RS00220	MFC_RS02465
OG0000256	MHP168L_RS00225	MFC_RS02470
OG0000257	MHP168L_RS00250	MFC_RS02495
OG0000258	MHP168L_RS00260	MFC_RS02505
OG0000259	MHP168L_RS00290	MFC_RS02535
OG0000260	MHP168L_RS00300	MFC_RS02545
OG0000261	MHP168L_RS00310	MFC_RS02555
OG0000262	MHP168L_RS00325	MFC_RS02570
OG0000263	MHP168L_RS00340	MFC_RS02585
OG0000264	MHP168L_RS00355	MFC_RS02600
OG0000265	MHP168L_RS00365	MFC_RS02610
OG0000266	MHP168L_RS00380	MFC_RS02625
OG0000267	MHP168L_RS00395	MFC_RS02640
OG0000268	MHP168L_RS00400	MFC_RS02645
OG0000269	MHP168L_RS00415	MFC_RS02660
OG0000270	MHP168L_RS03475	MFC_RS02720
OG0000271	MHP168L_RS03470	MFC_RS02725
OG0000272	MHP168L_RS03465	MFC_RS02730
OG0000273	MHP168L_RS03460	MFC_RS02735
OG0000274	MHP168L_RS03440	MFC_RS02755
OG0000275	MHP168L_RS03435	MFC_RS03455
OG0000276	MHP168L_RS03430	MFC_RS02765
OG0000277	MHP168L_RS03420	MFC_RS02775
OG0000278	MHP168L_RS03415	MFC_RS02780
OG0000279	MHP168L_RS03405	MFC_RS02790
OG0000280	MHP168L_RS03400	MFC_RS02795
OG0000281	MHP168L_RS03780	MFC_RS03255
OG0000282	MHP168L_RS03375	MFC_RS02820
OG0000283	MHP168L_RS03370	MFC_RS02825
OG0000284	MHP168L_RS03365	MFC_RS02830
OG0000285	MHP168L_RS03360	MFC_RS02835
OG0000286	MHP168L_RS02450	MFC_RS02865
OG0000287	MHP168L_RS02550	MFC_RS02890
OG0000288	MHP168L_RS02560	MFC_RS02900
OG0000289	MHP168L_RS02565	MFC_RS02905
OG0000290	MHP168L_RS02675	MFC_RS03030
OG0000291	MHP168L_RS02665	MFC_RS03040
OG0000292	MHP168L_RS02660	MFC_RS03045
OG0000293	MHP168L_RS02655	MFC_RS03050
OG0000294	MHP168L_RS02645	MFC_RS03060
OG0000295	MHP168L_RS02640	MFC_RS03065
OG0000296	MHP168L_RS02600	MFC_RS03110
OG0000297	MHP168L_RS02595	MFC_RS03115
OG0000298	MHP168L_RS00155	MFC_RS02395
OG0000299	MHP168L_RS03690	MFC_RS02415
OG0000300	MHP168L_RS00350	MFC_RS02595
OG0000301	MHP168L_RS00385	MFC_RS02630
OG0000302	MHP168L_RS00390	MFC_RS02635
OG0000303	MHP168L_RS00545	MFC_RS00835
OG0000304	MHP168L_RS00585	MFC_RS00865
OG0000305	MHP168L_RS02910	MFC_RS01010
OG0000306	MHP168L_RS02835	MFC_RS01090
OG0000307	MHP168L_RS02800	MFC_RS01130
OG0000308	MHP168L_RS02700	MFC_RS03020
OG0000309	MHP168L_RS02630	MFC_RS03075
OG0000310	MHP168L_RS02555	MFC_RS02895
OG0000311	MHP168L_RS02510	MFC_RS01220
OG0000312	MHP168L_RS02495	MFC_RS01240
OG0000313	MHP168L_RS01835	MFC_RS01290
OG0000314	MHP168L_RS02045	MFC_RS01360
OG0000315	MHP168L_RS02075	MFC_RS01390
OG0000316	MHP168L_RS02085	MFC_RS01400
OG0000317	MHP168L_RS02225	MFC_RS00110
OG0000318	MHP168L_RS02090	MFC_RS00020
OG0000319	MHP168L_RS02160	MFC_RS00420
OG0000320	MHP168L_RS02385	MFC_RS00485
OG0000321	MHP168L_RS01425	MFC_RS00550
OG0000322	MHP168L_RS01470	MFC_RS00595
OG0000323	MHP168L_RS01600	MFC_RS00725
OG0000324	MHP168L_RS02290	MFC_RS01775
OG0000325	MHP168L_RS00960	MFC_RS01815
OG0000326	MHP168L_RS00870	MFC_RS01905
OG0000327	MHP168L_RS00865	MFC_RS01910
OG0000328	MHP168L_RS00780	MFC_RS01995
OG0000329	MHP168L_RS00755	MFC_RS02020
OG0000330	MHP168L_RS01085	MFC_RS02200
OG0000331	MHP168L_RS03005	MFC_RS02315
OG0000332	MHP168L_RS03110	MFC_RS01505
OG0000333	MHP168L_RS03120	MFC_RS01515
OG0000334	MHP168L_RS03220	MFC_RS01585
OG0000335	MHP168L_RS03230	MFC_RS01595
OG0000336	MHP168L_RS03390	MFC_RS02805
OG0000337	MHP168L_RS03620	MFC_RS00280
OG0000338	MHP168L_RS03660	MFC_RS00240
OG0000339	MHP168L_RS02355	MFC_RS00505
OG0000340	MHP168L_RS01400	MFC_RS00530
OG0000341	MHP168L_RS02310	MFC_RS01755
OG0000342	MHP168L_RS00930	MFC_RS01845
OG0000343	MHP168L_RS03130	MFC_RS01525
OG0000344	MHP168L_RS00560	MFC_RS00850
OG0000345	MHP168L_RS00640	MFC_RS02130
OG0000346	MHP168L_RS03395	MFC_RS02800
OG0000347	MHP168L_RS01495	MFC_RS00620
OG0000348	MHP168L_RS00860	MFC_RS01915
OG0000349	MHP168L_RS03450	MFC_RS02745
OG0000350	MHP168L_RS02790	MFC_RS03345
OG0000351	MHP168L_RS00475	MFC_RS00785
OG0000352	MHP168L_RS02025	MFC_RS01340
OG0000353	MHP168L_RS01465	MFC_RS00590
OG0000354	MHP168L_RS01015	MFC_RS00900
OG0000355	MHP168L_RS01995	MFC_RS01315
OG0000356	MHP168L_RS02080	MFC_RS01395
OG0000357	MHP168L_RS03090	MFC_RS01485
OG0000358	MHP168L_RS03095	MFC_RS01490
OG0000359	MHP168L_RS00890	MFC_RS01885
OG0000360	MHP168L_RS00255	MFC_RS02500
OG0000361	MHP168L_RS00285	MFC_RS02530
OG0000362	MHP168L_RS02575	MFC_RS02915
OG0000363	MHP168L_RS03960	MFC_RS00660
OG0000365	MHP168L_RS02280	MFC_RS00050
OG0000366	MHP168L_RS02255	MFC_RS00080
OG0000367	MHP168L_RS02245	MFC_RS00090
OG0000368	MHP168L_RS00060	MFC_RS00175
OG0000369	MHP168L_RS00025	MFC_RS00210
OG0000370	MHP168L_RS00020	MFC_RS00215
OG0000371	MHP168L_RS00015	MFC_RS00220
OG0000372	MHP168L_RS00010	MFC_RS00225
OG0000373	MHP168L_RS03650	MFC_RS00250
OG0000374	MHP168L_RS03640	MFC_RS00260
OG0000375	MHP168L_RS02165	MFC_RS00415
OG0000376	MHP168L_RS02400	MFC_RS00470
OG0000377	MHP168L_RS02390	MFC_RS00480
OG0000378	MHP168L_RS01380	MFC_RS00515
OG0000379	MHP168L_RS01460	MFC_RS00585
OG0000380	MHP168L_RS01485	MFC_RS00610
OG0000381	MHP168L_RS01525	MFC_RS00650
OG0000382	MHP168L_RS01555	MFC_RS00680
OG0000383	MHP168L_RS01595	MFC_RS00720
OG0000384	MHP168L_RS00500	MFC_RS00790
OG0000385	MHP168L_RS00505	MFC_RS00795
OG0000386	MHP168L_RS00525	MFC_RS00815
OG0000387	MHP168L_RS00550	MFC_RS00840
OG0000388	MHP168L_RS00555	MFC_RS00845
OG0000389	MHP168L_RS01035	MFC_RS00880
OG0000390	MHP168L_RS02930	MFC_RS00990
OG0000391	MHP168L_RS02920	MFC_RS01000
OG0000392	MHP168L_RS02895	MFC_RS01030
OG0000393	MHP168L_RS02840	MFC_RS01080
OG0000394	MHP168L_RS02765	MFC_RS01145
OG0000395	MHP168L_RS02760	MFC_RS01150
OG0000396	MHP168L_RS02455	MFC_RS01280
OG0000397	MHP168L_RS02010	MFC_RS01325
OG0000398	MHP168L_RS02015	MFC_RS01330
OG0000399	MHP168L_RS02060	MFC_RS01375
OG0000400	MHP168L_RS03055	MFC_RS01450
OG0000401	MHP168L_RS03115	MFC_RS01510
OG0000402	MHP168L_RS03125	MFC_RS01520
OG0000403	MHP168L_RS03135	MFC_RS01530
OG0000404	MHP168L_RS03165	MFC_RS03375, MFC_RS01555
OG0000405	MHP168L_RS03180	MFC_RS01570
OG0000406	MHP168L_RS03235	MFC_RS01600
OG0000407	MHP168L_RS03240	MFC_RS01605
OG0000408	MHP168L_RS03245	MFC_RS01610
OG0000409	MHP168L_RS03250	MFC_RS01615
OG0000410	MHP168L_RS03305	MFC_RS01650
OG0000411	MHP168L_RS03295	MFC_RS01660
OG0000412	MHP168L_RS03290	MFC_RS01665
OG0000413	MHP168L_RS01610	MFC_RS01705
OG0000414	MHP168L_RS01620	MFC_RS01715
OG0000415	MHP168L_RS01625	MFC_RS01720
OG0000416	MHP168L_RS01635	MFC_RS01730
OG0000417	MHP168L_RS02305	MFC_RS01760
OG0000418	MHP168L_RS02300	MFC_RS01765
OG0000419	MHP168L_RS00950	MFC_RS01825
OG0000420	MHP168L_RS00915	MFC_RS01860
OG0000421	MHP168L_RS00885	MFC_RS01890
OG0000422	MHP168L_RS00875	MFC_RS01900
OG0000423	MHP168L_RS00820	MFC_RS01955
OG0000424	MHP168L_RS00815	MFC_RS01960
OG0000425	MHP168L_RS00805	MFC_RS01970
OG0000426	MHP168L_RS00800	MFC_RS01975
OG0000427	MHP168L_RS00775	MFC_RS02000
OG0000428	MHP168L_RS00745	MFC_RS02030
OG0000429	MHP168L_RS00650	MFC_RS02120
OG0000430	MHP168L_RS00605	MFC_RS02165
OG0000431	MHP168L_RS00595	MFC_RS02175
OG0000432	MHP168L_RS01080	MFC_RS02195
OG0000433	MHP168L_RS01095	MFC_RS02205
OG0000434	MHP168L_RS01100	MFC_RS02210
OG0000435	MHP168L_RS01115	MFC_RS02225
OG0000436	MHP168L_RS01145	MFC_RS03535
OG0000437	MHP168L_RS01155	MFC_RS02270
OG0000438	MHP168L_RS01160	MFC_RS02275
OG0000439	MHP168L_RS01165	MFC_RS02280
OG0000440	MHP168L_RS02985	MFC_RS02295
OG0000441	MHP168L_RS03025	MFC_RS02335
OG0000442	MHP168L_RS00125	MFC_RS02350
OG0000443	MHP168L_RS00170	MFC_RS02410
OG0000444	MHP168L_RS00180	MFC_RS02425
OG0000445	MHP168L_RS00205	MFC_RS02450
OG0000446	MHP168L_RS00235	MFC_RS02480
OG0000447	MHP168L_RS00240	MFC_RS02485
OG0000448	MHP168L_RS00270	MFC_RS02515
OG0000449	MHP168L_RS00295	MFC_RS02540
OG0000450	MHP168L_RS00305	MFC_RS02550
OG0000451	MHP168L_RS00345	MFC_RS02590
OG0000452	MHP168L_RS00370	MFC_RS02615
OG0000453	MHP168L_RS00405	MFC_RS02650
OG0000454	MHP168L_RS01670	MFC_RS03440, MFC_RS03435
OG0000455	MHP168L_RS03495	MFC_RS02700
OG0000456	MHP168L_RS03380	MFC_RS02815
OG0000457	MHP168L_RS03355	MFC_RS02840
OG0000458	MHP168L_RS02545	MFC_RS02885
OG0000459	MHP168L_RS02570	MFC_RS02910
OG0000460	MHP168L_RS02580	MFC_RS02920
OG0000461	MHP168L_RS02625	MFC_RS03080
OG0000462	MHP168L_RS02620	MFC_RS03085
OG0000463	MHP168L_RS02615	MFC_RS03090
OG0000464	MHP168L_RS02610	MFC_RS03100
OG0000465	MHP168L_RS02605	MFC_RS03105
OG0000466	MHP168L_RS00375	MFC_RS02620
OG0000467	MHP168L_RS02710	MFC_RS03500
OG0000468	MHP168L_RS02055	MFC_RS01370
OG0000469	MHP168L_RS02115	MFC_RS00045
OG0000470	MHP168L_RS03850	MFC_RS01950
OG0000471	MHP168L_RS00740	MFC_RS02035
OG0000472	MHP168L_RS03315	MFC_RS01680
OG0000473	MHP168L_RS03485	MFC_RS02715
OG0000475	MHP168L_RS03490	MFC_RS02705
OG0000476	MHP168L_RS01645	MFC_RS00345
OG0000477	MHP168L_RS02650	MFC_RS03055
OG0000478	MHP168L_RS03425	MFC_RS02770
OG0000479	MHP168L_RS01420	MFC_RS00545
OG0000480	MHP168L_RS03885	MFC_RS03300
OG0000481	MHP168L_RS00850	MFC_RS01925
OG0000482	MHP168L_RS01295	MFC_RS01790
OG0000483	MHP168L_RS02240	MFC_RS00095
OG0000484	MHP168L_RS00175	MFC_RS02420
OG0000487	MHP168L_RS02095	MFC_RS00025
OG0000488	MHP168L_RS02270	MFC_RS00065
OG0000489	MHP168L_RS00050	MFC_RS00185
OG0000490	MHP168L_RS03655	MFC_RS00245
OG0000491	MHP168L_RS01440	MFC_RS00565
OG0000492	MHP168L_RS01515	MFC_RS00640
OG0000493	MHP168L_RS00565	MFC_RS00855
OG0000495	MHP168L_RS02865	MFC_RS01055
OG0000496	MHP168L_RS02855	MFC_RS01065
OG0000497	MHP168L_RS02850	MFC_RS01070
OG0000498	MHP168L_RS02770	MFC_RS01140
OG0000499	MHP168L_RS02735	MFC_RS01185
OG0000500	MHP168L_RS02020	MFC_RS01335
OG0000501	MHP168L_RS03065	MFC_RS01460
OG0000502	MHP168L_RS01285	MFC_RS01800
OG0000503	MHP168L_RS00905	MFC_RS01870
OG0000505	MHP168L_RS00725	MFC_RS02045
OG0000506	MHP168L_RS00715	MFC_RS02055
OG0000507	MHP168L_RS00685	MFC_RS02090
OG0000508	MHP168L_RS00230	MFC_RS02475
OG0000509	MHP168L_RS00265	MFC_RS02510
OG0000510	MHP168L_RS00275	MFC_RS02520
OG0000511	MHP168L_RS00410	MFC_RS02655
OG0000512	MHP168L_RS02585	MFC_RS02925
OG0000513	MHP168L_RS03410	MFC_RS02785
OG0000516	MHP168L_RS02100	MFC_RS00030
OG0000517	MHP168L_RS00065	MFC_RS00170
OG0000518	MHP168L_RS03105	MFC_RS01500
OG0000519	MHP168L_RS00880	MFC_RS01895
OG0000520	MHP168L_RS00750	MFC_RS02025
OG0000521	MHP168L_RS00245	MFC_RS02490
OG0000522	MHP168L_RS00280	MFC_RS02525
OG0000523	MHP168L_RS03350	MFC_RS02845
OG0000524	MHP168L_RS02705	MFC_RS03015
OG0000525	MHP168L_RS03320	MFC_RS01685
OG0000528	MHP168L_RS02105	MFC_RS00035
OG0000529	MHP168L_RS02150	MFC_RS00430
OG0000530	MHP168L_RS02370	MFC_RS00495
OG0000531	MHP168L_RS01490	MFC_RS00615
OG0000532	MHP168L_RS01805	MFC_RS00940
OG0000533	MHP168L_RS01060	MFC_RS02185
OG0000534	MHP168L_RS00360	MFC_RS02605
OG0000535	MHP168L_RS00045	MFC_RS00190
OG0000536	MHP168L_RS03525	MFC_RS00315
OG0000537	MHP168L_RS00935	MFC_RS01840
OG0000538	MHP168L_RS01105	MFC_RS02215
OG0000539	MHP168L_RS00190	MFC_RS02435
OG0000540	MHP168L_RS02670	MFC_RS03035
OG0000541	MHP168L_RS02750	MFC_RS01170
OG0000542	MHP168L_RS00330	MFC_RS02575
OG0000547	MHP168L_RS02940	MFC_RS00980
OG0000548	MHP168L_RS01840	MFC_RS01285
OG0000549	MHP168L_RS03310	MFC_RS01675
OG0000550	MHP168L_RS03445	MFC_RS02750
OG0000551	MHP168L_RS03015	MFC_RS02325
OG0000555	MHP168L_RS02945	MFC_RS03340
OG0000596	MHP168L_RS01705	MFC_RS02370
OG0000598	MHP168L_RS01700	MFC_RS02365
OG0000599	MHP168L_RS01695	MFC_RS02360
OG0000602	MHP168L_RS02275	MFC_RS00055
