Orthogroup	MHP_168L_genes	MHP_MHP696_genes
OG0000154	MHP168L_RS02795	DR090_RS01535
OG0000155	MHP168L_RS02755	DR090_RS01495
OG0000156	MHP168L_RS02745	DR090_RS01485
OG0000157	MHP168L_RS02740	DR090_RS04440
OG0000158	MHP168L_RS04120	DR090_RS04435
OG0000159	MHP168L_RS04145	DR090_RS02595
OG0000160	MHP168L_RS02485	DR090_RS02590
OG0000161	MHP168L_RS02480	DR090_RS02585
OG0000162	MHP168L_RS02470	DR090_RS02575
OG0000163	MHP168L_RS02465	DR090_RS02570
OG0000164	MHP168L_RS01825	DR090_RS03230
OG0000165	MHP168L_RS02030	DR090_RS01015
OG0000166	MHP168L_RS02050	DR090_RS01035
OG0000167	MHP168L_RS02065	DR090_RS01050
OG0000168	MHP168L_RS02070	DR090_RS01055
OG0000169	MHP168L_RS03045	DR090_RS02070
OG0000170	MHP168L_RS03060	DR090_RS02085
OG0000171	MHP168L_RS03070	DR090_RS02095
OG0000172	MHP168L_RS03075	DR090_RS02105
OG0000173	MHP168L_RS03080	DR090_RS02110
OG0000174	MHP168L_RS03085	DR090_RS02115
OG0000175	MHP168L_RS03100	DR090_RS02130
OG0000176	MHP168L_RS03150	DR090_RS02180
OG0000177	MHP168L_RS03155	DR090_RS02185
OG0000178	MHP168L_RS03160	DR090_RS02190
OG0000179	MHP168L_RS03170	DR090_RS02200
OG0000180	MHP168L_RS03175	DR090_RS02205
OG0000181	MHP168L_RS03215	DR090_RS04655
OG0000182	MHP168L_RS03225	DR090_RS03515
OG0000183	MHP168L_RS03260	DR090_RS02035
OG0000184	MHP168L_RS03300	DR090_RS01995
OG0000185	MHP168L_RS03285	DR090_RS02010
OG0000186	MHP168L_RS01615	DR090_RS04605
OG0000187	MHP168L_RS01630	DR090_RS03190
OG0000188	MHP168L_RS01640	DR090_RS03200
OG0000189	MHP168L_RS02320	DR090_RS04625
OG0000190	MHP168L_RS02315	DR090_RS03370
OG0000191	MHP168L_RS02295	DR090_RS03395
OG0000192	MHP168L_RS01300	DR090_RS00355
OG0000193	MHP168L_RS01290	DR090_RS00340
OG0000194	MHP168L_RS00970	DR090_RS00140
OG0000195	MHP168L_RS00965	DR090_RS00135
OG0000196	MHP168L_RS00945	DR090_RS00115
OG0000197	MHP168L_RS00940	DR090_RS00110
OG0000198	MHP168L_RS00925	DR090_RS00095
OG0000199	MHP168L_RS00920	DR090_RS00090
OG0000200	MHP168L_RS00910	DR090_RS00075
OG0000201	MHP168L_RS00900	DR090_RS00065
OG0000202	MHP168L_RS00845	DR090_RS00010
OG0000203	MHP168L_RS00840	DR090_RS00005
OG0000204	MHP168L_RS00835	DR090_RS04470
OG0000205	MHP168L_RS00830	DR090_RS01955
OG0000206	MHP168L_RS00810	DR090_RS01935
OG0000207	MHP168L_RS00795	DR090_RS01920
OG0000208	MHP168L_RS00790	DR090_RS01915
OG0000209	MHP168L_RS00785	DR090_RS01910
OG0000210	MHP168L_RS00735	DR090_RS01865
OG0000211	MHP168L_RS00720	DR090_RS01855
OG0000212	MHP168L_RS00710	DR090_RS01845
OG0000213	MHP168L_RS03705	DR090_RS01840
OG0000214	MHP168L_RS00705	DR090_RS01835
OG0000215	MHP168L_RS00700	DR090_RS01830
OG0000216	MHP168L_RS00695	DR090_RS01825
OG0000217	MHP168L_RS00690	DR090_RS01820
OG0000218	MHP168L_RS00680	DR090_RS01810
OG0000219	MHP168L_RS00675	DR090_RS01805
OG0000220	MHP168L_RS00670	DR090_RS01800
OG0000221	MHP168L_RS00665	DR090_RS01795
OG0000222	MHP168L_RS00660	DR090_RS01790
OG0000223	MHP168L_RS00655	DR090_RS01785
OG0000224	MHP168L_RS00645	DR090_RS01775
OG0000225	MHP168L_RS00635	DR090_RS01765
OG0000226	MHP168L_RS00630	DR090_RS01760
OG0000227	MHP168L_RS00625	DR090_RS01755
OG0000228	MHP168L_RS04125	DR090_RS04680
OG0000229	MHP168L_RS00615	DR090_RS01745
OG0000230	MHP168L_RS00610	DR090_RS01740
OG0000231	MHP168L_RS00600	DR090_RS01730
OG0000232	MHP168L_RS00590	DR090_RS01720
OG0000233	MHP168L_RS01075	DR090_RS00225
OG0000234	MHP168L_RS01110	DR090_RS00260
OG0000235	MHP168L_RS01120	DR090_RS00270
OG0000236	MHP168L_RS01125	DR090_RS00275
OG0000237	MHP168L_RS01130	DR090_RS00280
OG0000238	MHP168L_RS01140	DR090_RS00290
OG0000239	MHP168L_RS02975	DR090_RS03000
OG0000240	MHP168L_RS02980	DR090_RS02995
OG0000241	MHP168L_RS02990	DR090_RS02985
OG0000242	MHP168L_RS02995	DR090_RS02980
OG0000243	MHP168L_RS03000	DR090_RS02975
OG0000244	MHP168L_RS03010	DR090_RS02965
OG0000245	MHP168L_RS03020	DR090_RS02955
OG0000246	MHP168L_RS00120	DR090_RS03110
OG0000247	MHP168L_RS00130	DR090_RS00810
OG0000248	MHP168L_RS00140	DR090_RS00800
OG0000249	MHP168L_RS00145	DR090_RS00795
OG0000250	MHP168L_RS00160	DR090_RS00780
OG0000251	MHP168L_RS00185	DR090_RS00745
OG0000252	MHP168L_RS00195	DR090_RS00735
OG0000253	MHP168L_RS00200	DR090_RS00730
OG0000254	MHP168L_RS00210	DR090_RS00720
OG0000255	MHP168L_RS00220	DR090_RS00710
OG0000256	MHP168L_RS00225	DR090_RS00705
OG0000257	MHP168L_RS00250	DR090_RS00680
OG0000258	MHP168L_RS00260	DR090_RS00670
OG0000259	MHP168L_RS00290	DR090_RS00640
OG0000260	MHP168L_RS00300	DR090_RS00630
OG0000261	MHP168L_RS00310	DR090_RS04350
OG0000262	MHP168L_RS00325	DR090_RS00605
OG0000263	MHP168L_RS00340	DR090_RS00590
OG0000264	MHP168L_RS00355	DR090_RS00575
OG0000265	MHP168L_RS00365	DR090_RS00565
OG0000266	MHP168L_RS00380	DR090_RS00550
OG0000267	MHP168L_RS00395	DR090_RS00535
OG0000268	MHP168L_RS00400	DR090_RS00530
OG0000269	MHP168L_RS00415	DR090_RS00515
OG0000270	MHP168L_RS03475	DR090_RS04395
OG0000271	MHP168L_RS03470	DR090_RS01125
OG0000272	MHP168L_RS03465	DR090_RS01120
OG0000273	MHP168L_RS03460	DR090_RS01115
OG0000274	MHP168L_RS03440	DR090_RS02335
OG0000275	MHP168L_RS03435	DR090_RS04540
OG0000276	MHP168L_RS03430	DR090_RS02325
OG0000277	MHP168L_RS03420	DR090_RS02315
OG0000278	MHP168L_RS03415	DR090_RS02310
OG0000279	MHP168L_RS03405	DR090_RS02300
OG0000280	MHP168L_RS03400	DR090_RS02295
OG0000281	MHP168L_RS03780	DR090_RS02290
OG0000282	MHP168L_RS03375	DR090_RS04530
OG0000283	MHP168L_RS03370	DR090_RS02260
OG0000284	MHP168L_RS03365	DR090_RS02255
OG0000285	MHP168L_RS03360	DR090_RS04525
OG0000286	MHP168L_RS02450	DR090_RS02555
OG0000287	MHP168L_RS02550	DR090_RS02820
OG0000288	MHP168L_RS02560	DR090_RS02810
OG0000289	MHP168L_RS02565	DR090_RS02805
OG0000290	MHP168L_RS02675	DR090_RS01425
OG0000291	MHP168L_RS02665	DR090_RS01415
OG0000292	MHP168L_RS02660	DR090_RS01410
OG0000293	MHP168L_RS02655	DR090_RS01405
OG0000294	MHP168L_RS02645	DR090_RS01395
OG0000295	MHP168L_RS02640	DR090_RS01390
OG0000296	MHP168L_RS02600	DR090_RS02770
OG0000297	MHP168L_RS02595	DR090_RS02775
OG0000298	MHP168L_RS00155	DR090_RS00785
OG0000299	MHP168L_RS03690	DR090_RS03800
OG0000300	MHP168L_RS00350	DR090_RS00580
OG0000301	MHP168L_RS00385	DR090_RS00545
OG0000302	MHP168L_RS00390	DR090_RS00540
OG0000303	MHP168L_RS00545	DR090_RS02720
OG0000304	MHP168L_RS00585	DR090_RS01715
OG0000305	MHP168L_RS02910	DR090_RS01655
OG0000306	MHP168L_RS02835	DR090_RS01580
OG0000307	MHP168L_RS02800	DR090_RS01540
OG0000308	MHP168L_RS02700	DR090_RS01445
OG0000309	MHP168L_RS02630	DR090_RS01380
OG0000310	MHP168L_RS02555	DR090_RS02815
OG0000311	MHP168L_RS02510	DR090_RS02615
OG0000312	MHP168L_RS02495	DR090_RS02600
OG0000313	MHP168L_RS01835	DR090_RS03240
OG0000314	MHP168L_RS02045	DR090_RS01030
OG0000315	MHP168L_RS02075	DR090_RS01060
OG0000316	MHP168L_RS02085	DR090_RS01070
OG0000317	MHP168L_RS02225	DR090_RS02925
OG0000318	MHP168L_RS02090	DR090_RS04370
OG0000319	MHP168L_RS02160	DR090_RS03050
OG0000320	MHP168L_RS02385	DR090_RS02680
OG0000321	MHP168L_RS01425	DR090_RS02455
OG0000322	MHP168L_RS01470	DR090_RS02500
OG0000323	MHP168L_RS01600	DR090_RS03160
OG0000324	MHP168L_RS02290	DR090_RS03400
OG0000325	MHP168L_RS00960	DR090_RS00130
OG0000326	MHP168L_RS00870	DR090_RS00035
OG0000327	MHP168L_RS00865	DR090_RS00030
OG0000328	MHP168L_RS00780	DR090_RS01905
OG0000329	MHP168L_RS00755	DR090_RS01885
OG0000330	MHP168L_RS01085	DR090_RS00235
OG0000331	MHP168L_RS03005	DR090_RS02970
OG0000332	MHP168L_RS03110	DR090_RS02140
OG0000333	MHP168L_RS03120	DR090_RS02150
OG0000334	MHP168L_RS03220	DR090_RS03510
OG0000335	MHP168L_RS03230	DR090_RS02065
OG0000336	MHP168L_RS03390	DR090_RS04535
OG0000337	MHP168L_RS03620	DR090_RS01210
OG0000338	MHP168L_RS03660	DR090_RS01250
OG0000339	MHP168L_RS02355	DR090_RS03290
OG0000340	MHP168L_RS01400	DR090_RS03610
OG0000341	MHP168L_RS02310	DR090_RS03365
OG0000342	MHP168L_RS00930	DR090_RS00100
OG0000343	MHP168L_RS03130	DR090_RS02160
OG0000344	MHP168L_RS00560	DR090_RS02735
OG0000345	MHP168L_RS00640	DR090_RS01770
OG0000346	MHP168L_RS03395	DR090_RS02285
OG0000347	MHP168L_RS01495	DR090_RS02525
OG0000348	MHP168L_RS00860	DR090_RS00025
OG0000349	MHP168L_RS03450	DR090_RS04545
OG0000350	MHP168L_RS02790	DR090_RS01530
OG0000351	MHP168L_RS00475	DR090_RS00455
OG0000352	MHP168L_RS02025	DR090_RS01010
OG0000353	MHP168L_RS01465	DR090_RS02495
OG0000354	MHP168L_RS01015	DR090_RS00180
OG0000355	MHP168L_RS01995	DR090_RS04360
OG0000356	MHP168L_RS02080	DR090_RS04365
OG0000357	MHP168L_RS03090	DR090_RS04510
OG0000358	MHP168L_RS03095	DR090_RS02125
OG0000359	MHP168L_RS00890	DR090_RS04320
OG0000360	MHP168L_RS00255	DR090_RS00675
OG0000361	MHP168L_RS00285	DR090_RS00645
OG0000362	MHP168L_RS02575	DR090_RS02795
OG0000363	MHP168L_RS03960	DR090_RS02850
OG0000364	MHP168L_RS01970	DR090_RS00955
OG0000365	MHP168L_RS02280	DR090_RS04390
OG0000366	MHP168L_RS02255	DR090_RS02895
OG0000367	MHP168L_RS02245	DR090_RS02905
OG0000368	MHP168L_RS00060	DR090_RS01315
OG0000369	MHP168L_RS00025	DR090_RS04415
OG0000370	MHP168L_RS00020	DR090_RS01275
OG0000371	MHP168L_RS00015	DR090_RS01270
OG0000372	MHP168L_RS00010	DR090_RS01265
OG0000373	MHP168L_RS03650	DR090_RS01240
OG0000374	MHP168L_RS03640	DR090_RS01230
OG0000375	MHP168L_RS02165	DR090_RS03055
OG0000376	MHP168L_RS02400	DR090_RS02665
OG0000377	MHP168L_RS02390	DR090_RS02675
OG0000378	MHP168L_RS01380	DR090_RS00430
OG0000379	MHP168L_RS01460	DR090_RS02490
OG0000380	MHP168L_RS01485	DR090_RS02515
OG0000381	MHP168L_RS01525	DR090_RS02840
OG0000382	MHP168L_RS01555	DR090_RS02870
OG0000383	MHP168L_RS01595	DR090_RS03155
OG0000384	MHP168L_RS00500	DR090_RS03315
OG0000385	MHP168L_RS00505	DR090_RS03320
OG0000386	MHP168L_RS00525	DR090_RS02700
OG0000387	MHP168L_RS00550	DR090_RS02725
OG0000388	MHP168L_RS00555	DR090_RS04570
OG0000389	MHP168L_RS01035	DR090_RS00200
OG0000390	MHP168L_RS02930	DR090_RS01675
OG0000391	MHP168L_RS02920	DR090_RS01665
OG0000392	MHP168L_RS02895	DR090_RS01640
OG0000393	MHP168L_RS02840	DR090_RS04445
OG0000394	MHP168L_RS02765	DR090_RS01505
OG0000395	MHP168L_RS02760	DR090_RS01500
OG0000396	MHP168L_RS02455	DR090_RS02560
OG0000397	MHP168L_RS02010	DR090_RS00995
OG0000398	MHP168L_RS02015	DR090_RS01000
OG0000399	MHP168L_RS02060	DR090_RS01045
OG0000400	MHP168L_RS03055	DR090_RS02080
OG0000401	MHP168L_RS03115	DR090_RS02145
OG0000402	MHP168L_RS03125	DR090_RS02155
OG0000403	MHP168L_RS03135	DR090_RS02165
OG0000404	MHP168L_RS03165	DR090_RS02195
OG0000405	MHP168L_RS03180	DR090_RS02210
OG0000406	MHP168L_RS03235	DR090_RS02060
OG0000407	MHP168L_RS03240	DR090_RS04505
OG0000408	MHP168L_RS03245	DR090_RS02050
OG0000409	MHP168L_RS03250	DR090_RS02045
OG0000410	MHP168L_RS03305	DR090_RS01990
OG0000411	MHP168L_RS03295	DR090_RS02000
OG0000412	MHP168L_RS03290	DR090_RS02005
OG0000413	MHP168L_RS01610	DR090_RS03170
OG0000414	MHP168L_RS01620	DR090_RS03180
OG0000415	MHP168L_RS01625	DR090_RS03185
OG0000416	MHP168L_RS01635	DR090_RS03195
OG0000418	MHP168L_RS02300	DR090_RS03390
OG0000419	MHP168L_RS00950	DR090_RS00120
OG0000420	MHP168L_RS00915	DR090_RS00085
OG0000421	MHP168L_RS00885	DR090_RS00050
OG0000422	MHP168L_RS00875	DR090_RS00040
OG0000423	MHP168L_RS00820	DR090_RS01945
OG0000424	MHP168L_RS00815	DR090_RS01940
OG0000425	MHP168L_RS00805	DR090_RS01930
OG0000426	MHP168L_RS00800	DR090_RS04465
OG0000427	MHP168L_RS00775	DR090_RS04460
OG0000428	MHP168L_RS00745	DR090_RS01875
OG0000429	MHP168L_RS00650	DR090_RS01780
OG0000430	MHP168L_RS00605	DR090_RS01735
OG0000431	MHP168L_RS00595	DR090_RS01725
OG0000432	MHP168L_RS01080	DR090_RS00230
OG0000433	MHP168L_RS01095	DR090_RS00245
OG0000434	MHP168L_RS01100	DR090_RS00250
OG0000435	MHP168L_RS01115	DR090_RS00265
OG0000436	MHP168L_RS01145	DR090_RS00295
OG0000437	MHP168L_RS01155	DR090_RS00305
OG0000438	MHP168L_RS01160	DR090_RS00310
OG0000439	MHP168L_RS01165	DR090_RS04330
OG0000440	MHP168L_RS02985	DR090_RS04580
OG0000441	MHP168L_RS03025	DR090_RS02950
OG0000442	MHP168L_RS00125	DR090_RS04215
OG0000443	MHP168L_RS00170	DR090_RS00765
OG0000444	MHP168L_RS00180	DR090_RS00750
OG0000445	MHP168L_RS00205	DR090_RS00725
OG0000446	MHP168L_RS00235	DR090_RS00695
OG0000447	MHP168L_RS00240	DR090_RS00690
OG0000448	MHP168L_RS00270	DR090_RS00660
OG0000449	MHP168L_RS00295	DR090_RS00635
OG0000450	MHP168L_RS00305	DR090_RS00625
OG0000451	MHP168L_RS00345	DR090_RS00585
OG0000452	MHP168L_RS00370	DR090_RS00560
OG0000453	MHP168L_RS00405	DR090_RS00525
OG0000455	MHP168L_RS03495	DR090_RS01150
OG0000456	MHP168L_RS03380	DR090_RS02270
OG0000457	MHP168L_RS03355	DR090_RS02245
OG0000458	MHP168L_RS02545	DR090_RS02825
OG0000459	MHP168L_RS02570	DR090_RS02800
OG0000460	MHP168L_RS02580	DR090_RS02790
OG0000461	MHP168L_RS02625	DR090_RS01375
OG0000462	MHP168L_RS02620	DR090_RS01370
OG0000463	MHP168L_RS02615	DR090_RS01365
OG0000464	MHP168L_RS02610	DR090_RS02760
OG0000465	MHP168L_RS02605	DR090_RS02765
OG0000466	MHP168L_RS00375	DR090_RS00555
OG0000467	MHP168L_RS02710	DR090_RS04425
OG0000468	MHP168L_RS02055	DR090_RS01040
OG0000469	MHP168L_RS02115	DR090_RS01100
OG0000470	MHP168L_RS03850	DR090_RS03685
OG0000471	MHP168L_RS00740	DR090_RS01870
OG0000472	MHP168L_RS03315	DR090_RS01980
OG0000473	MHP168L_RS03485	DR090_RS01135
OG0000475	MHP168L_RS03490	DR090_RS01145
OG0000476	MHP168L_RS01645	DR090_RS03205
OG0000477	MHP168L_RS02650	DR090_RS01400
OG0000478	MHP168L_RS03425	DR090_RS02320
OG0000479	MHP168L_RS01420	DR090_RS02450
OG0000480	MHP168L_RS03885	DR090_RS03680
OG0000481	MHP168L_RS00850	DR090_RS00015
OG0000482	MHP168L_RS01295	DR090_RS00345
OG0000483	MHP168L_RS02240	DR090_RS02910
OG0000484	MHP168L_RS00175	DR090_RS04355
OG0000485	MHP168L_RS01150	DR090_RS00300
OG0000486	MHP168L_RS02325	DR090_RS03385
OG0000487	MHP168L_RS02095	DR090_RS04375
OG0000488	MHP168L_RS02270	DR090_RS02880
OG0000489	MHP168L_RS00050	DR090_RS01305
OG0000490	MHP168L_RS03655	DR090_RS01245
OG0000491	MHP168L_RS01440	DR090_RS02470
OG0000492	MHP168L_RS01515	DR090_RS02545
OG0000493	MHP168L_RS00565	DR090_RS02740
OG0000495	MHP168L_RS02865	DR090_RS01610
OG0000496	MHP168L_RS02855	DR090_RS01600
OG0000497	MHP168L_RS02850	DR090_RS01595
OG0000498	MHP168L_RS02770	DR090_RS01510
OG0000499	MHP168L_RS02735	DR090_RS01475
OG0000500	MHP168L_RS02020	DR090_RS01005
OG0000501	MHP168L_RS03065	DR090_RS02090
OG0000502	MHP168L_RS01285	DR090_RS00335
OG0000503	MHP168L_RS00905	DR090_RS00070
OG0000505	MHP168L_RS00725	DR090_RS01860
OG0000506	MHP168L_RS00715	DR090_RS01850
OG0000507	MHP168L_RS00685	DR090_RS01815
OG0000508	MHP168L_RS00230	DR090_RS00700
OG0000509	MHP168L_RS00265	DR090_RS00665
OG0000510	MHP168L_RS00275	DR090_RS00655
OG0000511	MHP168L_RS00410	DR090_RS00520
OG0000512	MHP168L_RS02585	DR090_RS02785
OG0000513	MHP168L_RS03410	DR090_RS02305
