Orthogroup	MHP_168L_genes	MHP_98_genes
OG0000027	MHP168L_RS03345	GOM18_RS04320
OG0000029	MHP168L_RS00580	GOM18_RS01705
OG0000029	MHP168L_RS01050	GOM18_RS03580
OG0000030	MHP168L_RS03325	GOM18_RS04340
OG0000030	MHP168L_RS03340	GOM18_RS04325
OG0000031	MHP168L_RS03575	GOM18_RS00085
OG0000031	MHP168L_RS01830	GOM18_RS03625
OG0000032	MHP168L_RS03335	GOM18_RS04565
OG0000035	MHP168L_RS03200	GOM18_RS00885
OG0000035	MHP168L_RS03185	GOM18_RS00900
OG0000036	MHP168L_RS00110	GOM18_RS03585
OG0000037	MHP168L_RS01845	GOM18_RS02550
OG0000038	MHP168L_RS00480, MHP168L_RS01855	GOM18_RS03645
OG0000039	MHP168L_RS01815	GOM18_RS03565
OG0000040	MHP168L_RS03275	GOM18_RS00810
OG0000041	MHP168L_RS00985	GOM18_RS00100
OG0000041	MHP168L_RS03925	GOM18_RS02975
OG0000042	MHP168L_RS02970	GOM18_RS01120
OG0000043	MHP168L_RS02005	GOM18_RS03285
OG0000043	MHP168L_RS01210	GOM18_RS03285
OG0000044	MHP168L_RS04140	GOM18_RS04585
OG0000045	MHP168L_RS01810	GOM18_RS03555
OG0000047	MHP168L_RS03540	GOM18_RS00015
OG0000048	MHP168L_RS02210	GOM18_RS02325
OG0000049	MHP168L_RS03050	GOM18_RS01035
OG0000050	MHP168L_RS02475	GOM18_RS01900
OG0000051	MHP168L_RS04035, MHP168L_RS02685	GOM18_RS02100
OG0000052	MHP168L_RS00075	GOM18_RS00655
OG0000053	MHP168L_RS01540	GOM18_RS04480
OG0000054	MHP168L_RS02500	GOM18_RS01925
OG0000055	MHP168L_RS00115	GOM18_RS01245
OG0000056	MHP168L_RS03515	GOM18_RS00495
OG0000057	MHP168L_RS02955	GOM18_RS01135
OG0000058	MHP168L_RS01190	GOM18_RS00090
OG0000059	MHP168L_RS01200, MHP168L_RS01205	GOM18_RS03660
OG0000060	MHP168L_RS00080	GOM18_RS03800
OG0000061	MHP168L_RS01660	GOM18_RS03350
OG0000062	MHP168L_RS03630	GOM18_RS00545
OG0000063	MHP168L_RS03625	GOM18_RS04295
OG0000064	MHP168L_RS03615	GOM18_RS00530
OG0000065	MHP168L_RS04005, MHP168L_RS04000	GOM18_RS02395
OG0000066	MHP168L_RS01445	GOM18_RS02800
OG0000067	MHP168L_RS00510	GOM18_RS01630
OG0000068	MHP168L_RS04135	GOM18_RS03445
OG0000069	MHP168L_RS02845	GOM18_RS01240, GOM18_RS03140
OG0000070	MHP168L_RS02505	GOM18_RS01930
OG0000071	MHP168L_RS03265	GOM18_RS00820
OG0000072	MHP168L_RS03270	GOM18_RS04355
OG0000073	MHP168L_RS00955	GOM18_RS00135
OG0000074	MHP168L_RS00765	GOM18_RS04260
OG0000075	MHP168L_RS00320	GOM18_RS01450
OG0000076	MHP168L_RS00335	GOM18_RS01465
OG0000077	MHP168L_RS00425	GOM18_RS01550
OG0000079	MHP168L_RS02590	GOM18_RS02005
OG0000080	MHP168L_RS03895	GOM18_RS03980
OG0000081	MHP168L_RS00315	GOM18_RS01445
OG0000082	MHP168L_RS04015	GOM18_RS02535
OG0000083	MHP168L_RS02110	GOM18_RS02245
OG0000084	MHP168L_RS02265	GOM18_RS02275
OG0000085	MHP168L_RS02260	GOM18_RS02280
OG0000086	MHP168L_RS02250	GOM18_RS02290
OG0000087	MHP168L_RS02235	GOM18_RS02305
OG0000088	MHP168L_RS02230	GOM18_RS02310
OG0000089	MHP168L_RS02215	GOM18_RS02320
OG0000090	MHP168L_RS00070	GOM18_RS00650
OG0000091	MHP168L_RS00055	GOM18_RS00635
OG0000092	MHP168L_RS00040	GOM18_RS00620
OG0000093	MHP168L_RS00035	GOM18_RS00615
OG0000094	MHP168L_RS00030	GOM18_RS00610
OG0000095	MHP168L_RS00005	GOM18_RS00585
OG0000096	MHP168L_RS03665	GOM18_RS00580
OG0000097	MHP168L_RS03645	GOM18_RS00560
OG0000098	MHP168L_RS03635	GOM18_RS00550
OG0000099	MHP168L_RS03520	GOM18_RS04285
OG0000100	MHP168L_RS03505	GOM18_RS00485
OG0000101	MHP168L_RS03500	GOM18_RS00480
OG0000102	MHP168L_RS01735	GOM18_RS02995
OG0000103	MHP168L_RS02175	GOM18_RS02360
OG0000104	MHP168L_RS02170	GOM18_RS02365
OG0000105	MHP168L_RS02155	GOM18_RS02380
OG0000106	MHP168L_RS02145	GOM18_RS02390
OG0000107	MHP168L_RS02135	GOM18_RS02400
OG0000108	MHP168L_RS02130	GOM18_RS02405
OG0000109	MHP168L_RS02125	GOM18_RS02410
OG0000110	MHP168L_RS02410	GOM18_RS02525
OG0000111	MHP168L_RS02405	GOM18_RS02520
OG0000112	MHP168L_RS02395	GOM18_RS02510
OG0000113	MHP168L_RS02375	GOM18_RS02490
OG0000114	MHP168L_RS02365	GOM18_RS02480
OG0000115	MHP168L_RS02350	GOM18_RS02470
OG0000116	MHP168L_RS01385	GOM18_RS02855
OG0000117	MHP168L_RS01390	GOM18_RS02850
OG0000118	MHP168L_RS01430	GOM18_RS02815
OG0000119	MHP168L_RS01435	GOM18_RS02810
OG0000120	MHP168L_RS01450	GOM18_RS02795
OG0000121	MHP168L_RS01475	GOM18_RS02775
OG0000122	MHP168L_RS01480	GOM18_RS02770
OG0000123	MHP168L_RS01500	GOM18_RS02750
OG0000124	MHP168L_RS01505	GOM18_RS02745
OG0000125	MHP168L_RS01510	GOM18_RS02740
OG0000126	MHP168L_RS01520	GOM18_RS02730
OG0000127	MHP168L_RS01530	GOM18_RS02720
OG0000128	MHP168L_RS01545	GOM18_RS02705
OG0000129	MHP168L_RS01550	GOM18_RS02700
OG0000130	MHP168L_RS01560	GOM18_RS02690
OG0000131	MHP168L_RS01590	GOM18_RS04475
OG0000132	MHP168L_RS01605	GOM18_RS04470
OG0000133	MHP168L_RS00515	GOM18_RS01635
OG0000134	MHP168L_RS00520	GOM18_RS01640
OG0000135	MHP168L_RS00535	GOM18_RS01655
OG0000136	MHP168L_RS00540	GOM18_RS01660
OG0000137	MHP168L_RS00575	GOM18_RS01690
OG0000138	MHP168L_RS01030	GOM18_RS03470
OG0000139	MHP168L_RS01005	GOM18_RS03440
OG0000140	MHP168L_RS01000	GOM18_RS03435
OG0000141	MHP168L_RS02965	GOM18_RS01125
OG0000142	MHP168L_RS02960	GOM18_RS04380
OG0000143	MHP168L_RS02935	GOM18_RS01150
OG0000144	MHP168L_RS02925	GOM18_RS01160
OG0000145	MHP168L_RS02915	GOM18_RS01170
OG0000146	MHP168L_RS02905	GOM18_RS01180
OG0000147	MHP168L_RS02900	GOM18_RS01185
OG0000148	MHP168L_RS02885	GOM18_RS01200
OG0000149	MHP168L_RS02875	GOM18_RS01210
OG0000150	MHP168L_RS02860	GOM18_RS01225
OG0000151	MHP168L_RS02815	GOM18_RS03115
OG0000152	MHP168L_RS02810	GOM18_RS03110
OG0000153	MHP168L_RS02805	GOM18_RS03105
OG0000154	MHP168L_RS02795	GOM18_RS03095
OG0000155	MHP168L_RS02755	GOM18_RS02160
OG0000156	MHP168L_RS02745	GOM18_RS02150
OG0000157	MHP168L_RS02740	GOM18_RS04415
OG0000158	MHP168L_RS04120	GOM18_RS04410
OG0000159	MHP168L_RS04145	GOM18_RS01915
OG0000160	MHP168L_RS02485	GOM18_RS01910
OG0000161	MHP168L_RS02480	GOM18_RS01905
OG0000162	MHP168L_RS02470	GOM18_RS01895
OG0000163	MHP168L_RS02465	GOM18_RS01890
OG0000164	MHP168L_RS01825	GOM18_RS03635
OG0000165	MHP168L_RS02030	GOM18_RS03260
OG0000166	MHP168L_RS02050	GOM18_RS02185
OG0000167	MHP168L_RS02065	GOM18_RS02200
OG0000168	MHP168L_RS02070	GOM18_RS02205
OG0000169	MHP168L_RS03045	GOM18_RS01040
OG0000170	MHP168L_RS03060	GOM18_RS01025
OG0000171	MHP168L_RS03070	GOM18_RS01015
OG0000172	MHP168L_RS03075	GOM18_RS01010
OG0000173	MHP168L_RS03080	GOM18_RS01005
OG0000174	MHP168L_RS03085	GOM18_RS01000
OG0000175	MHP168L_RS03100	GOM18_RS00985
OG0000176	MHP168L_RS03150	GOM18_RS00935
OG0000177	MHP168L_RS03155	GOM18_RS00930
OG0000178	MHP168L_RS03160	GOM18_RS00925
OG0000179	MHP168L_RS03170	GOM18_RS00915
OG0000180	MHP168L_RS03175	GOM18_RS00910
OG0000181	MHP168L_RS03215	GOM18_RS04365
OG0000182	MHP168L_RS03225	GOM18_RS00860
OG0000183	MHP168L_RS03260	GOM18_RS00825
OG0000184	MHP168L_RS03300	GOM18_RS00780
OG0000185	MHP168L_RS03285	GOM18_RS00795
OG0000186	MHP168L_RS01615	GOM18_RS04465
OG0000187	MHP168L_RS01630	GOM18_RS02595
OG0000188	MHP168L_RS01640	GOM18_RS02585
OG0000189	MHP168L_RS02320	GOM18_RS04445
OG0000190	MHP168L_RS02315	GOM18_RS02440
OG0000191	MHP168L_RS02295	GOM18_RS02420
OG0000192	MHP168L_RS01300	GOM18_RS03170
OG0000193	MHP168L_RS01290	GOM18_RS03155
OG0000194	MHP168L_RS00970	GOM18_RS00120
OG0000195	MHP168L_RS00965	GOM18_RS00125
OG0000196	MHP168L_RS00945	GOM18_RS00145
OG0000197	MHP168L_RS00940	GOM18_RS00150
OG0000198	MHP168L_RS00925	GOM18_RS00165
OG0000199	MHP168L_RS00920	GOM18_RS00170
OG0000200	MHP168L_RS00910	GOM18_RS00185
OG0000201	MHP168L_RS00900	GOM18_RS00195
OG0000202	MHP168L_RS00845	GOM18_RS00250
OG0000203	MHP168L_RS00840	GOM18_RS00255
OG0000204	MHP168L_RS00835	GOM18_RS00260
OG0000205	MHP168L_RS00830	GOM18_RS00265
OG0000206	MHP168L_RS00810	GOM18_RS00285
OG0000207	MHP168L_RS00795	GOM18_RS00300
OG0000208	MHP168L_RS00790	GOM18_RS00305
OG0000209	MHP168L_RS00785	GOM18_RS00310
OG0000210	MHP168L_RS00735	GOM18_RS00360
OG0000211	MHP168L_RS00720	GOM18_RS01855
OG0000212	MHP168L_RS00710	GOM18_RS01845
OG0000213	MHP168L_RS03705	GOM18_RS01840
OG0000214	MHP168L_RS00705	GOM18_RS01835
OG0000215	MHP168L_RS00700	GOM18_RS01830
OG0000216	MHP168L_RS00695	GOM18_RS01825
OG0000217	MHP168L_RS00690	GOM18_RS01820
OG0000218	MHP168L_RS00680	GOM18_RS01810
OG0000219	MHP168L_RS00675	GOM18_RS01805
OG0000220	MHP168L_RS00670	GOM18_RS01800
OG0000221	MHP168L_RS00665	GOM18_RS01795
OG0000222	MHP168L_RS00660	GOM18_RS01790
OG0000223	MHP168L_RS00655	GOM18_RS01785
OG0000224	MHP168L_RS00645	GOM18_RS01775
OG0000225	MHP168L_RS00635	GOM18_RS01765
OG0000226	MHP168L_RS00630	GOM18_RS01760
OG0000227	MHP168L_RS00625	GOM18_RS01755
OG0000228	MHP168L_RS04125	GOM18_RS04580
OG0000229	MHP168L_RS00615	GOM18_RS01745
OG0000230	MHP168L_RS00610	GOM18_RS01740
OG0000231	MHP168L_RS00600	GOM18_RS01730
OG0000232	MHP168L_RS00590	GOM18_RS01720
OG0000233	MHP168L_RS01075	GOM18_RS02880
OG0000234	MHP168L_RS01110	GOM18_RS02915
OG0000235	MHP168L_RS01120	GOM18_RS02925
OG0000236	MHP168L_RS01125	GOM18_RS02930
OG0000237	MHP168L_RS01130	GOM18_RS02935
OG0000238	MHP168L_RS01140	GOM18_RS02940
OG0000239	MHP168L_RS02975	GOM18_RS01115
OG0000240	MHP168L_RS02980	GOM18_RS01110
OG0000241	MHP168L_RS02990	GOM18_RS01100
OG0000242	MHP168L_RS02995	GOM18_RS01095
OG0000243	MHP168L_RS03000	GOM18_RS01090
OG0000244	MHP168L_RS03010	GOM18_RS01080
OG0000245	MHP168L_RS03020	GOM18_RS01070
OG0000246	MHP168L_RS00120	GOM18_RS01250
OG0000247	MHP168L_RS00130	GOM18_RS01260
OG0000248	MHP168L_RS00140	GOM18_RS01270
OG0000249	MHP168L_RS00145	GOM18_RS01275
OG0000250	MHP168L_RS00160	GOM18_RS01290
OG0000251	MHP168L_RS00185	GOM18_RS01320
OG0000252	MHP168L_RS00195	GOM18_RS01330
OG0000253	MHP168L_RS00200	GOM18_RS01335
OG0000254	MHP168L_RS00210	GOM18_RS01345
OG0000255	MHP168L_RS00220	GOM18_RS01350
OG0000256	MHP168L_RS00225	GOM18_RS01355
OG0000257	MHP168L_RS00250	GOM18_RS01380
OG0000258	MHP168L_RS00260	GOM18_RS01390
OG0000259	MHP168L_RS00290	GOM18_RS01420
OG0000260	MHP168L_RS00300	GOM18_RS01430
OG0000261	MHP168L_RS00310	GOM18_RS04390
OG0000262	MHP168L_RS00325	GOM18_RS01455
OG0000263	MHP168L_RS00340	GOM18_RS01470
OG0000264	MHP168L_RS00355	GOM18_RS01485
OG0000265	MHP168L_RS00365	GOM18_RS01495
OG0000266	MHP168L_RS00380	GOM18_RS01510
OG0000267	MHP168L_RS00395	GOM18_RS01525
OG0000268	MHP168L_RS00400	GOM18_RS01530
OG0000269	MHP168L_RS00415	GOM18_RS01545
OG0000270	MHP168L_RS03475	GOM18_RS04280
OG0000271	MHP168L_RS03470	GOM18_RS00450
OG0000272	MHP168L_RS03465	GOM18_RS00445
OG0000273	MHP168L_RS03460	GOM18_RS00440
OG0000274	MHP168L_RS03440	GOM18_RS00420
OG0000275	MHP168L_RS03435	GOM18_RS04270
OG0000276	MHP168L_RS03430	GOM18_RS00410
OG0000277	MHP168L_RS03420	GOM18_RS00400
OG0000278	MHP168L_RS03415	GOM18_RS00395
OG0000279	MHP168L_RS03405	GOM18_RS00385
OG0000280	MHP168L_RS03400	GOM18_RS00380
OG0000281	MHP168L_RS03780	GOM18_RS00375
OG0000282	MHP168L_RS03375	GOM18_RS04310
OG0000283	MHP168L_RS03370	GOM18_RS00705
OG0000284	MHP168L_RS03365	GOM18_RS00710
OG0000285	MHP168L_RS03360	GOM18_RS04315
OG0000286	MHP168L_RS02450	GOM18_RS01875
OG0000287	MHP168L_RS02550	GOM18_RS01965
OG0000288	MHP168L_RS02560	GOM18_RS01975
OG0000289	MHP168L_RS02565	GOM18_RS01980
OG0000290	MHP168L_RS02675	GOM18_RS02090
OG0000291	MHP168L_RS02665	GOM18_RS02080
OG0000292	MHP168L_RS02660	GOM18_RS02075
OG0000293	MHP168L_RS02655	GOM18_RS02070
OG0000294	MHP168L_RS02645	GOM18_RS02060
OG0000295	MHP168L_RS02640	GOM18_RS02055
OG0000296	MHP168L_RS02600	GOM18_RS02015
OG0000297	MHP168L_RS02595	GOM18_RS02010
OG0000298	MHP168L_RS00155	GOM18_RS01285
OG0000299	MHP168L_RS03690	GOM18_RS03940
OG0000300	MHP168L_RS00350	GOM18_RS01480
OG0000301	MHP168L_RS00385	GOM18_RS01515
OG0000302	MHP168L_RS00390	GOM18_RS01520
OG0000303	MHP168L_RS00545	GOM18_RS01665
OG0000304	MHP168L_RS00585	GOM18_RS01710
OG0000305	MHP168L_RS02910	GOM18_RS01175
OG0000306	MHP168L_RS02835	GOM18_RS03130
OG0000307	MHP168L_RS02800	GOM18_RS03100
OG0000308	MHP168L_RS02700	GOM18_RS02110
OG0000309	MHP168L_RS02630	GOM18_RS02045
OG0000310	MHP168L_RS02555	GOM18_RS01970
OG0000311	MHP168L_RS02510	GOM18_RS01935
OG0000312	MHP168L_RS02495	GOM18_RS01920
OG0000313	MHP168L_RS01835	GOM18_RS03620
OG0000314	MHP168L_RS02045	GOM18_RS03245
OG0000315	MHP168L_RS02075	GOM18_RS02210
OG0000316	MHP168L_RS02085	GOM18_RS02220
OG0000317	MHP168L_RS02225	GOM18_RS02315
OG0000318	MHP168L_RS02090	GOM18_RS04425
OG0000319	MHP168L_RS02160	GOM18_RS02375
OG0000320	MHP168L_RS02385	GOM18_RS02500
OG0000321	MHP168L_RS01425	GOM18_RS02820
OG0000322	MHP168L_RS01470	GOM18_RS02780
OG0000323	MHP168L_RS01600	GOM18_RS02625
OG0000324	MHP168L_RS02290	GOM18_RS02415
OG0000325	MHP168L_RS00960	GOM18_RS00130
OG0000326	MHP168L_RS00870	GOM18_RS00225
OG0000327	MHP168L_RS00865	GOM18_RS00230
OG0000328	MHP168L_RS00780	GOM18_RS00315
OG0000329	MHP168L_RS00755	GOM18_RS00335
OG0000330	MHP168L_RS01085	GOM18_RS02890
OG0000331	MHP168L_RS03005	GOM18_RS01085
OG0000332	MHP168L_RS03110	GOM18_RS00975
OG0000333	MHP168L_RS03120	GOM18_RS00965
OG0000334	MHP168L_RS03220	GOM18_RS00865
OG0000335	MHP168L_RS03230	GOM18_RS00855
OG0000336	MHP168L_RS03390	GOM18_RS04265
OG0000337	MHP168L_RS03620	GOM18_RS00535
OG0000338	MHP168L_RS03660	GOM18_RS00575
OG0000339	MHP168L_RS02355	GOM18_RS02475
OG0000340	MHP168L_RS01400	GOM18_RS02840
OG0000341	MHP168L_RS02310	GOM18_RS02435
OG0000342	MHP168L_RS00930	GOM18_RS00160
OG0000343	MHP168L_RS03130	GOM18_RS00955
OG0000344	MHP168L_RS00560	GOM18_RS01680
OG0000345	MHP168L_RS00640	GOM18_RS01770
OG0000346	MHP168L_RS03395	GOM18_RS00370
OG0000347	MHP168L_RS01495	GOM18_RS02755
OG0000348	MHP168L_RS00860	GOM18_RS00235
OG0000349	MHP168L_RS03450	GOM18_RS04275
OG0000350	MHP168L_RS02790	GOM18_RS03090
OG0000351	MHP168L_RS00475	GOM18_RS01600
OG0000352	MHP168L_RS02025	GOM18_RS03265
OG0000353	MHP168L_RS01465	GOM18_RS02785
OG0000354	MHP168L_RS01015	GOM18_RS03455
OG0000355	MHP168L_RS01995	GOM18_RS04535
OG0000356	MHP168L_RS02080	GOM18_RS04420
OG0000357	MHP168L_RS03090	GOM18_RS04370
OG0000358	MHP168L_RS03095	GOM18_RS00990
OG0000359	MHP168L_RS00890	GOM18_RS04245
OG0000360	MHP168L_RS00255	GOM18_RS01385
OG0000361	MHP168L_RS00285	GOM18_RS01415
OG0000362	MHP168L_RS02575	GOM18_RS01990
OG0000363	MHP168L_RS03960	GOM18_RS04485
OG0000364	MHP168L_RS01970	GOM18_RS04185
OG0000365	MHP168L_RS02280	GOM18_RS04440
OG0000366	MHP168L_RS02255	GOM18_RS02285
OG0000367	MHP168L_RS02245	GOM18_RS02295
OG0000368	MHP168L_RS00060	GOM18_RS00640
OG0000369	MHP168L_RS00025	GOM18_RS04300
OG0000370	MHP168L_RS00020	GOM18_RS00600
OG0000371	MHP168L_RS00015	GOM18_RS00595
OG0000372	MHP168L_RS00010	GOM18_RS00590
OG0000373	MHP168L_RS03650	GOM18_RS00565
OG0000374	MHP168L_RS03640	GOM18_RS00555
OG0000375	MHP168L_RS02165	GOM18_RS02370
OG0000376	MHP168L_RS02400	GOM18_RS02515
OG0000377	MHP168L_RS02390	GOM18_RS02505
OG0000378	MHP168L_RS01380	GOM18_RS02860
OG0000380	MHP168L_RS01485	GOM18_RS02765
OG0000381	MHP168L_RS01525	GOM18_RS02725
OG0000382	MHP168L_RS01555	GOM18_RS02695
OG0000383	MHP168L_RS01595	GOM18_RS02630
OG0000384	MHP168L_RS00500	GOM18_RS01620
OG0000385	MHP168L_RS00505	GOM18_RS01625
OG0000386	MHP168L_RS00525	GOM18_RS01645
OG0000387	MHP168L_RS00550	GOM18_RS01670
OG0000388	MHP168L_RS00555	GOM18_RS04395
OG0000389	MHP168L_RS01035	GOM18_RS03480
OG0000390	MHP168L_RS02930	GOM18_RS01155
OG0000391	MHP168L_RS02920	GOM18_RS01165
OG0000392	MHP168L_RS02895	GOM18_RS01190
OG0000393	MHP168L_RS02840	GOM18_RS04515
OG0000395	MHP168L_RS02760	GOM18_RS02165
OG0000396	MHP168L_RS02455	GOM18_RS01880
OG0000397	MHP168L_RS02010	GOM18_RS03280
OG0000398	MHP168L_RS02015	GOM18_RS03275
OG0000399	MHP168L_RS02060	GOM18_RS02195
OG0000400	MHP168L_RS03055	GOM18_RS01030
OG0000401	MHP168L_RS03115	GOM18_RS00970
OG0000402	MHP168L_RS03125	GOM18_RS00960
OG0000403	MHP168L_RS03135	GOM18_RS00950
OG0000404	MHP168L_RS03165	GOM18_RS00920
OG0000405	MHP168L_RS03180	GOM18_RS00905
OG0000406	MHP168L_RS03235	GOM18_RS00850
OG0000407	MHP168L_RS03240	GOM18_RS04360
OG0000408	MHP168L_RS03245	GOM18_RS00840
OG0000409	MHP168L_RS03250	GOM18_RS00835
OG0000410	MHP168L_RS03305	GOM18_RS00775
OG0000411	MHP168L_RS03295	GOM18_RS00785
OG0000412	MHP168L_RS03290	GOM18_RS00790
OG0000413	MHP168L_RS01610	GOM18_RS02615
OG0000414	MHP168L_RS01620	GOM18_RS02605
OG0000415	MHP168L_RS01625	GOM18_RS02600
OG0000416	MHP168L_RS01635	GOM18_RS02590
OG0000417	MHP168L_RS02305	GOM18_RS02430
OG0000418	MHP168L_RS02300	GOM18_RS02425
OG0000419	MHP168L_RS00950	GOM18_RS00140
OG0000420	MHP168L_RS00915	GOM18_RS00175
OG0000421	MHP168L_RS00885	GOM18_RS00210
OG0000422	MHP168L_RS00875	GOM18_RS00220
OG0000423	MHP168L_RS00820	GOM18_RS00275
OG0000424	MHP168L_RS00815	GOM18_RS00280
OG0000425	MHP168L_RS00805	GOM18_RS00290
OG0000426	MHP168L_RS00800	GOM18_RS04250
OG0000427	MHP168L_RS00775	GOM18_RS04255
OG0000428	MHP168L_RS00745	GOM18_RS00345
OG0000429	MHP168L_RS00650	GOM18_RS01780
OG0000430	MHP168L_RS00605	GOM18_RS01735
OG0000431	MHP168L_RS00595	GOM18_RS01725
OG0000432	MHP168L_RS01080	GOM18_RS02885
OG0000433	MHP168L_RS01095	GOM18_RS02900
OG0000434	MHP168L_RS01100	GOM18_RS02905
OG0000435	MHP168L_RS01115	GOM18_RS02920
OG0000436	MHP168L_RS01145	GOM18_RS02945
OG0000437	MHP168L_RS01155	GOM18_RS02955
OG0000438	MHP168L_RS01160	GOM18_RS02960
OG0000439	MHP168L_RS01165	GOM18_RS04495
OG0000440	MHP168L_RS02985	GOM18_RS04375
OG0000441	MHP168L_RS03025	GOM18_RS01065
OG0000442	MHP168L_RS00125	GOM18_RS01255
OG0000443	MHP168L_RS00170	GOM18_RS01300
OG0000444	MHP168L_RS00180	GOM18_RS01315
OG0000445	MHP168L_RS00205	GOM18_RS03665
OG0000446	MHP168L_RS00235	GOM18_RS01365
OG0000447	MHP168L_RS00240	GOM18_RS01370
OG0000448	MHP168L_RS00270	GOM18_RS01400
OG0000449	MHP168L_RS00295	GOM18_RS01425
OG0000450	MHP168L_RS00305	GOM18_RS01435
OG0000451	MHP168L_RS00345	GOM18_RS01475
OG0000452	MHP168L_RS00370	GOM18_RS01500
OG0000453	MHP168L_RS00405	GOM18_RS01535
OG0000454	MHP168L_RS01800	GOM18_RS03540
OG0000455	MHP168L_RS03495	GOM18_RS00475
OG0000456	MHP168L_RS03380	GOM18_RS00695
OG0000457	MHP168L_RS03355	GOM18_RS00720
OG0000458	MHP168L_RS02545	GOM18_RS01960
OG0000459	MHP168L_RS02570	GOM18_RS01985
OG0000460	MHP168L_RS02580	GOM18_RS01995
OG0000461	MHP168L_RS02625	GOM18_RS02040
OG0000462	MHP168L_RS02620	GOM18_RS02035
OG0000463	MHP168L_RS02615	GOM18_RS02030
OG0000464	MHP168L_RS02610	GOM18_RS02025
OG0000465	MHP168L_RS02605	GOM18_RS02020
OG0000466	MHP168L_RS00375	GOM18_RS01505
OG0000467	MHP168L_RS02710	GOM18_RS04400
OG0000468	MHP168L_RS02055	GOM18_RS02190
OG0000469	MHP168L_RS02115	GOM18_RS02250
OG0000470	MHP168L_RS03850	GOM18_RS00270
OG0000471	MHP168L_RS00740	GOM18_RS00350
OG0000472	MHP168L_RS03315	GOM18_RS00765
OG0000473	MHP168L_RS03485	GOM18_RS00460
OG0000475	MHP168L_RS03490	GOM18_RS00470
OG0000476	MHP168L_RS01645	GOM18_RS02580
OG0000477	MHP168L_RS02650	GOM18_RS02065
OG0000478	MHP168L_RS03425	GOM18_RS00405
OG0000479	MHP168L_RS01420	GOM18_RS02825
OG0000480	MHP168L_RS03885	GOM18_RS02255
OG0000481	MHP168L_RS00850	GOM18_RS00245
OG0000482	MHP168L_RS01295	GOM18_RS03160
OG0000483	MHP168L_RS02240	GOM18_RS02300
OG0000484	MHP168L_RS00175	GOM18_RS04385
OG0000485	MHP168L_RS01150	GOM18_RS02950
