Orthogroup	MHP_MHP682_genes	MHP_TB1_genes
OG0000108	DR097_RS02755	B5M19_RS04620
OG0000109	DR097_RS02760	B5M19_RS02910
OG0000110	DR097_RS02155	B5M19_RS02660
OG0000111	DR097_RS02150	B5M19_RS02665
OG0000112	DR097_RS02140	B5M19_RS02675
OG0000113	DR097_RS04705	B5M19_RS02700
OG0000114	DR097_RS02110	B5M19_RS02710
OG0000115	DR097_RS02095	B5M19_RS03610
OG0000116	DR097_RS00320	B5M19_RS02580
OG0000117	DR097_RS00315	B5M19_RS02575
OG0000118	DR097_RS01690	B5M19_RS01235
OG0000119	DR097_RS01685	B5M19_RS01230
OG0000120	DR097_RS01670	B5M19_RS01215
OG0000121	DR097_RS01645	B5M19_RS01190
OG0000122	DR097_RS01640	B5M19_RS01185
OG0000123	DR097_RS01620	B5M19_RS01165
OG0000124	DR097_RS01615	B5M19_RS01160
OG0000125	DR097_RS01610	B5M19_RS01155
OG0000126	DR097_RS01600	B5M19_RS01145
OG0000127	DR097_RS01590	B5M19_RS01135
OG0000128	DR097_RS03460	B5M19_RS01115
OG0000129	DR097_RS03355	B5M19_RS01110
OG0000130	DR097_RS03345	B5M19_RS01100
OG0000131	DR097_RS04820	B5M19_RS01075
OG0000132	DR097_RS04815	B5M19_RS01060
OG0000133	DR097_RS02400	B5M19_RS02380
OG0000134	DR097_RS02395	B5M19_RS02385
OG0000135	DR097_RS02380	B5M19_RS02400
OG0000136	DR097_RS02375	B5M19_RS02405
OG0000137	DR097_RS02345	B5M19_RS02445
OG0000138	DR097_RS03080	B5M19_RS03090
OG0000139	DR097_RS03050	B5M19_RS03070
OG0000140	DR097_RS03045	B5M19_RS03065
OG0000141	DR097_RS01260	B5M19_RS01330
OG0000142	DR097_RS04625	B5M19_RS01335
OG0000143	DR097_RS01230	B5M19_RS01360
OG0000144	DR097_RS01220	B5M19_RS01370
OG0000145	DR097_RS01210	B5M19_RS01380
OG0000146	DR097_RS01200	B5M19_RS01390
OG0000147	DR097_RS01195	B5M19_RS01395
OG0000148	DR097_RS01180	B5M19_RS01410
OG0000149	DR097_RS01170	B5M19_RS01420
OG0000150	DR097_RS01155	B5M19_RS04180
OG0000151	DR097_RS01755	B5M19_RS02540
OG0000152	DR097_RS01760	B5M19_RS02535
OG0000153	DR097_RS01765	B5M19_RS02530
OG0000154	DR097_RS01775	B5M19_RS02520
OG0000155	DR097_RS01820	B5M19_RS02480
OG0000156	DR097_RS01490	B5M19_RS00860
OG0000157	DR097_RS04640	B5M19_RS00865
OG0000158	DR097_RS04645	B5M19_RS04580
OG0000159	DR097_RS04905	B5M19_RS02810
OG0000160	DR097_RS01950	B5M19_RS02815
OG0000161	DR097_RS01955	B5M19_RS02820
OG0000162	DR097_RS01965	B5M19_RS02830
OG0000163	DR097_RS01970	B5M19_RS02835
OG0000164	DR097_RS03125	B5M19_RS04495
OG0000165	DR097_RS00830	B5M19_RS00760
OG0000166	DR097_RS00810	B5M19_RS00785
OG0000167	DR097_RS00795	B5M19_RS00800
OG0000168	DR097_RS00790	B5M19_RS00805
OG0000169	DR097_RS01475	B5M19_RS01450
OG0000170	DR097_RS01460	B5M19_RS01465
OG0000171	DR097_RS01450	B5M19_RS01475
OG0000172	DR097_RS01445	B5M19_RS01480
OG0000173	DR097_RS01440	B5M19_RS01490
OG0000174	DR097_RS01435	B5M19_RS01495
OG0000175	DR097_RS01420	B5M19_RS01510
OG0000176	DR097_RS01370	B5M19_RS01560
OG0000177	DR097_RS01365	B5M19_RS01565
OG0000178	DR097_RS01360	B5M19_RS04200
OG0000179	DR097_RS01350	B5M19_RS01580
OG0000180	DR097_RS01345	B5M19_RS01585
OG0000181	DR097_RS04805	B5M19_RS03045
OG0000182	DR097_RS03155	B5M19_RS03035
OG0000183	DR097_RS03570	B5M19_RS03000
OG0000184	DR097_RS02975	B5M19_RS03105
OG0000185	DR097_RS02990	B5M19_RS03120
OG0000186	DR097_RS04760	B5M19_RS03550
OG0000187	DR097_RS02915	B5M19_RS03535
OG0000188	DR097_RS02905	B5M19_RS03525
OG0000189	DR097_RS04790	B5M19_RS03210
OG0000190	DR097_RS03030	B5M19_RS03215
OG0000191	DR097_RS03010	B5M19_RS03235
OG0000192	DR097_RS00400	B5M19_RS03675
OG0000193	DR097_RS00415	B5M19_RS02360
OG0000194	DR097_RS01130	B5M19_RS01855
OG0000195	DR097_RS01125	B5M19_RS01850
OG0000196	DR097_RS01105	B5M19_RS01830
OG0000197	DR097_RS01100	B5M19_RS01825
OG0000198	DR097_RS01085	B5M19_RS01810
OG0000199	DR097_RS01080	B5M19_RS01805
OG0000200	DR097_RS01065	B5M19_RS01790
OG0000201	DR097_RS01055	B5M19_RS01780
OG0000202	DR097_RS01000	B5M19_RS01725
OG0000203	DR097_RS00995	B5M19_RS01720
OG0000204	DR097_RS00990	B5M19_RS01715
OG0000205	DR097_RS00985	B5M19_RS01710
OG0000206	DR097_RS00965	B5M19_RS01690
OG0000207	DR097_RS00950	B5M19_RS01675
OG0000208	DR097_RS00945	B5M19_RS01670
OG0000209	DR097_RS00940	B5M19_RS01665
OG0000210	DR097_RS04925	B5M19_RS01620
OG0000211	DR097_RS02185	B5M19_RS03415
OG0000212	DR097_RS02195	B5M19_RS03405
OG0000213	DR097_RS02200	B5M19_RS03400
OG0000214	DR097_RS02205	B5M19_RS03395
OG0000215	DR097_RS02210	B5M19_RS03390
OG0000216	DR097_RS02215	B5M19_RS03385
OG0000217	DR097_RS02220	B5M19_RS03380
OG0000218	DR097_RS02230	B5M19_RS03370
OG0000219	DR097_RS02235	B5M19_RS03365
OG0000220	DR097_RS02240	B5M19_RS03360
OG0000221	DR097_RS02245	B5M19_RS03355
OG0000222	DR097_RS02250	B5M19_RS03350
OG0000223	DR097_RS02255	B5M19_RS03345
OG0000224	DR097_RS02265	B5M19_RS03130
OG0000225	DR097_RS02275	B5M19_RS03140
OG0000226	DR097_RS02280	B5M19_RS03145
OG0000227	DR097_RS02285	B5M19_RS03150
OG0000228	DR097_RS04910	B5M19_RS04630
OG0000229	DR097_RS02295	B5M19_RS03160
OG0000230	DR097_RS02300	B5M19_RS03165
OG0000231	DR097_RS02310	B5M19_RS03175
OG0000232	DR097_RS02320	B5M19_RS03185
OG0000233	DR097_RS00535	B5M19_RS02225
OG0000234	DR097_RS00495	B5M19_RS04335
OG0000235	DR097_RS00485	B5M19_RS02175
OG0000236	DR097_RS00480	B5M19_RS02170
OG0000237	DR097_RS00475	B5M19_RS02165
OG0000238	DR097_RS00465	B5M19_RS02155
OG0000239	DR097_RS01270	B5M19_RS01315
OG0000240	DR097_RS01275	B5M19_RS01310
OG0000241	DR097_RS01285	B5M19_RS01300
OG0000242	DR097_RS01290	B5M19_RS04160
OG0000243	DR097_RS01295	B5M19_RS01290
OG0000244	DR097_RS01305	B5M19_RS01280
OG0000245	DR097_RS01315	B5M19_RS01270
OG0000246	DR097_RS00300	B5M19_RS00050
OG0000247	DR097_RS00290	B5M19_RS00060
OG0000248	DR097_RS00280	B5M19_RS00070
OG0000249	DR097_RS00275	B5M19_RS00075
OG0000250	DR097_RS00260	B5M19_RS03880
OG0000251	DR097_RS00225	B5M19_RS00125
OG0000252	DR097_RS00215	B5M19_RS00135
OG0000253	DR097_RS00210	B5M19_RS00140
OG0000254	DR097_RS00200	B5M19_RS00150
OG0000255	DR097_RS00190	B5M19_RS00160
OG0000256	DR097_RS00185	B5M19_RS00165
OG0000257	DR097_RS00160	B5M19_RS00190
OG0000258	DR097_RS00150	B5M19_RS04020
OG0000259	DR097_RS00120	B5M19_RS00230
OG0000260	DR097_RS00110	B5M19_RS00240
OG0000261	DR097_RS04500	B5M19_RS00250
OG0000262	DR097_RS00085	B5M19_RS00270
OG0000263	DR097_RS00070	B5M19_RS00285
OG0000264	DR097_RS00055	B5M19_RS04030
OG0000265	DR097_RS00045	B5M19_RS00315
OG0000266	DR097_RS00030	B5M19_RS00335
OG0000267	DR097_RS00015	B5M19_RS04035
OG0000268	DR097_RS00010	B5M19_RS00355
OG0000269	DR097_RS03285	B5M19_RS03680
OG0000270	DR097_RS04530	B5M19_RS00415
OG0000271	DR097_RS00590	B5M19_RS00420
OG0000272	DR097_RS00595	B5M19_RS00425
OG0000273	DR097_RS00600	B5M19_RS00430
OG0000274	DR097_RS00620	B5M19_RS00450
OG0000275	DR097_RS04540	B5M19_RS00455
OG0000276	DR097_RS00630	B5M19_RS00460
OG0000277	DR097_RS00640	B5M19_RS00470
OG0000278	DR097_RS00645	B5M19_RS00475
OG0000279	DR097_RS00655	B5M19_RS00485
OG0000280	DR097_RS00660	B5M19_RS00490
OG0000281	DR097_RS00665	B5M19_RS00495
OG0000282	DR097_RS04550	B5M19_RS00520
OG0000283	DR097_RS00695	B5M19_RS00525
OG0000284	DR097_RS00700	B5M19_RS00530
OG0000285	DR097_RS04555	B5M19_RS00535
OG0000286	DR097_RS01985	B5M19_RS02850
OG0000287	DR097_RS02680	B5M19_RS01050
OG0000288	DR097_RS02670	B5M19_RS01040
OG0000289	DR097_RS02665	B5M19_RS01035
OG0000290	DR097_RS01555	B5M19_RS04120
OG0000291	DR097_RS01565	B5M19_RS00935
OG0000292	DR097_RS01570	B5M19_RS00940
OG0000293	DR097_RS01575	B5M19_RS00945
OG0000294	DR097_RS03220	B5M19_RS00955
OG0000295	DR097_RS03210	B5M19_RS00960
OG0000296	DR097_RS02630	B5M19_RS01000
OG0000297	DR097_RS02635	B5M19_RS01005
OG0000298	DR097_RS00265	B5M19_RS00085
OG0000299	DR097_RS00240	B5M19_RS00110
OG0000300	DR097_RS00060	B5M19_RS00300
OG0000301	DR097_RS00025	B5M19_RS00340
OG0000302	DR097_RS00020	B5M19_RS00345
OG0000303	DR097_RS02370	B5M19_RS02410
OG0000304	DR097_RS02325	B5M19_RS03190
OG0000305	DR097_RS01205	B5M19_RS01385
OG0000306	DR097_RS01735	B5M19_RS02560
OG0000307	DR097_RS01770	B5M19_RS02525
OG0000308	DR097_RS01535	B5M19_RS00905
OG0000309	DR097_RS03200	B5M19_RS00970
OG0000310	DR097_RS02675	B5M19_RS01045
OG0000311	DR097_RS01925	B5M19_RS02790
OG0000312	DR097_RS01940	B5M19_RS02805
OG0000313	DR097_RS03115	B5M19_RS03300
OG0000314	DR097_RS00815	B5M19_RS00780
OG0000315	DR097_RS00785	B5M19_RS00810
OG0000316	DR097_RS00775	B5M19_RS00820
OG0000317	DR097_RS02840	B5M19_RS02720
OG0000318	DR097_RS04590	B5M19_RS00825
OG0000319	DR097_RS02725	B5M19_RS02945
OG0000320	DR097_RS02130	B5M19_RS04425
OG0000321	DR097_RS01695	B5M19_RS01240
OG0000322	DR097_RS01650	B5M19_RS01195
OG0000323	DR097_RS03305	B5M19_RS01065
OG0000324	DR097_RS03005	B5M19_RS03240
OG0000325	DR097_RS01120	B5M19_RS01845
OG0000326	DR097_RS01025	B5M19_RS01750
OG0000327	DR097_RS01020	B5M19_RS01745
OG0000328	DR097_RS00935	B5M19_RS01660
OG0000329	DR097_RS00915	B5M19_RS01640
OG0000330	DR097_RS00520	B5M19_RS02210
OG0000331	DR097_RS01300	B5M19_RS01285
OG0000332	DR097_RS01410	B5M19_RS01520
OG0000333	DR097_RS01400	B5M19_RS01530
OG0000334	DR097_RS03150	B5M19_RS03040
OG0000335	DR097_RS03160	B5M19_RS03030
OG0000336	DR097_RS04545	B5M19_RS00505
OG0000337	DR097_RS02600	B5M19_RS01985
OG0000338	DR097_RS03540	B5M19_RS01940
OG0000339	DR097_RS02100	B5M19_RS03615
OG0000340	DR097_RS01715	B5M19_RS02565
OG0000341	DR097_RS03025	B5M19_RS03220
OG0000342	DR097_RS01090	B5M19_RS01815
OG0000343	DR097_RS01390	B5M19_RS04195
OG0000344	DR097_RS02355	B5M19_RS02425
OG0000345	DR097_RS02270	B5M19_RS03135
OG0000346	DR097_RS04870	B5M19_RS04590
OG0000347	DR097_RS01625	B5M19_RS01170
OG0000348	DR097_RS01015	B5M19_RS01740
OG0000349	DR097_RS04535	B5M19_RS00440
OG0000350	DR097_RS01780	B5M19_RS02515
OG0000351	DR097_RS03225	B5M19_RS03490
OG0000352	DR097_RS00835	B5M19_RS00755
OG0000353	DR097_RS01655	B5M19_RS01200
OG0000354	DR097_RS03065	B5M19_RS03080
OG0000355	DR097_RS04600	B5M19_RS00725
OG0000356	DR097_RS04595	B5M19_RS00815
OG0000357	DR097_RS04635	B5M19_RS01500
OG0000358	DR097_RS01425	B5M19_RS01505
OG0000359	DR097_RS04620	B5M19_RS01770
OG0000360	DR097_RS00155	B5M19_RS00195
OG0000361	DR097_RS00125	B5M19_RS00225
OG0000362	DR097_RS02655	B5M19_RS01025
OG0000363	DR097_RS04660	B5M19_RS01125
OG0000364	DR097_RS00890	B5M19_RS00700
OG0000365	DR097_RS04570	B5M19_RS02775
OG0000366	DR097_RS02870	B5M19_RS02750
OG0000367	DR097_RS02860	B5M19_RS02740
OG0000368	DR097_RS02770	B5M19_RS04270
OG0000369	DR097_RS04750	B5M19_RS01910
OG0000370	DR097_RS02810	B5M19_RS01915
OG0000371	DR097_RS02815	B5M19_RS01920
OG0000372	DR097_RS02820	B5M19_RS01925
OG0000373	DR097_RS02570	B5M19_RS01950
OG0000374	DR097_RS02580	B5M19_RS01960
OG0000375	DR097_RS02720	B5M19_RS02950
OG0000376	DR097_RS02145	B5M19_RS02670
OG0000377	DR097_RS02135	B5M19_RS02680
OG0000378	DR097_RS00325	B5M19_RS02585
OG0000379	DR097_RS01660	B5M19_RS01205
OG0000380	DR097_RS01635	B5M19_RS01180
OG0000381	DR097_RS01595	B5M19_RS01140
OG0000382	DR097_RS03350	B5M19_RS01105
OG0000383	DR097_RS03310	B5M19_RS01070
OG0000384	DR097_RS03605	B5M19_RS02365
OG0000385	DR097_RS02090	B5M19_RS02370
OG0000386	DR097_RS02390	B5M19_RS02390
OG0000387	DR097_RS02365	B5M19_RS02415
OG0000388	DR097_RS04710	B5M19_RS02420
OG0000389	DR097_RS03085	B5M19_RS03095
OG0000390	DR097_RS01225	B5M19_RS01365
OG0000391	DR097_RS01215	B5M19_RS01375
OG0000392	DR097_RS01190	B5M19_RS01400
OG0000393	DR097_RS04670	B5M19_RS03515
OG0000394	DR097_RS01805	B5M19_RS02490
OG0000395	DR097_RS01810	B5M19_RS02485
OG0000396	DR097_RS01980	B5M19_RS02845
OG0000397	DR097_RS00850	B5M19_RS00740
OG0000398	DR097_RS00845	B5M19_RS00745
OG0000399	DR097_RS00800	B5M19_RS00795
OG0000400	DR097_RS01465	B5M19_RS01460
OG0000401	DR097_RS01405	B5M19_RS01525
OG0000402	DR097_RS01395	B5M19_RS01535
OG0000404	DR097_RS01355	B5M19_RS04205
OG0000405	DR097_RS01340	B5M19_RS01590
OG0000406	DR097_RS03165	B5M19_RS03025
OG0000407	DR097_RS04810	B5M19_RS03020
OG0000408	DR097_RS03175	B5M19_RS03015
OG0000410	DR097_RS02970	B5M19_RS03100
OG0000411	DR097_RS02980	B5M19_RS03110
OG0000412	DR097_RS02985	B5M19_RS03115
OG0000413	DR097_RS02935	B5M19_RS03555
OG0000414	DR097_RS02925	B5M19_RS03545
OG0000415	DR097_RS02920	B5M19_RS03540
OG0000416	DR097_RS02910	B5M19_RS03530
OG0000417	DR097_RS03020	B5M19_RS03225
OG0000418	DR097_RS03015	B5M19_RS03230
OG0000419	DR097_RS01110	B5M19_RS01835
OG0000420	DR097_RS01075	B5M19_RS01800
OG0000421	DR097_RS01040	B5M19_RS01765
OG0000422	DR097_RS01030	B5M19_RS01755
OG0000423	DR097_RS00975	B5M19_RS01700
OG0000424	DR097_RS00970	B5M19_RS01695
OG0000425	DR097_RS00960	B5M19_RS01685
OG0000426	DR097_RS04615	B5M19_RS01680
OG0000427	DR097_RS04610	B5M19_RS01655
OG0000428	DR097_RS00905	B5M19_RS01630
OG0000430	DR097_RS02305	B5M19_RS03170
OG0000431	DR097_RS02315	B5M19_RS03180
OG0000432	DR097_RS00525	B5M19_RS04345
OG0000433	DR097_RS00510	B5M19_RS02200
OG0000434	DR097_RS00505	B5M19_RS02195
OG0000435	DR097_RS00490	B5M19_RS02180
OG0000436	DR097_RS00460	B5M19_RS02150
OG0000437	DR097_RS00450	B5M19_RS02140
OG0000438	DR097_RS00445	B5M19_RS02135
OG0000439	DR097_RS04525	B5M19_RS02130
OG0000440	DR097_RS04630	B5M19_RS04165
OG0000441	DR097_RS03780	B5M19_RS01265
OG0000442	DR097_RS00295	B5M19_RS00055
OG0000443	DR097_RS00245	B5M19_RS00105
OG0000444	DR097_RS00230	B5M19_RS00120
OG0000445	DR097_RS00205	B5M19_RS00145
OG0000446	DR097_RS00175	B5M19_RS00175
OG0000447	DR097_RS00170	B5M19_RS00180
OG0000448	DR097_RS00140	B5M19_RS00210
OG0000449	DR097_RS00115	B5M19_RS00235
OG0000450	DR097_RS00105	B5M19_RS00245
OG0000451	DR097_RS00065	B5M19_RS00295
OG0000452	DR097_RS00040	B5M19_RS00330
OG0000454	DR097_RS03090	B5M19_RS03255
OG0000455	DR097_RS00565	B5M19_RS00395
OG0000456	DR097_RS00685	B5M19_RS00515
OG0000457	DR097_RS00710	B5M19_RS00540
OG0000458	DR097_RS02685	B5M19_RS01055
OG0000459	DR097_RS02660	B5M19_RS01030
OG0000460	DR097_RS02650	B5M19_RS01020
OG0000461	DR097_RS03195	B5M19_RS04125
OG0000462	DR097_RS03190	B5M19_RS00980
OG0000463	DR097_RS03185	B5M19_RS04130
OG0000464	DR097_RS02620	B5M19_RS00990
OG0000465	DR097_RS02625	B5M19_RS00995
OG0000467	DR097_RS04655	B5M19_RS00895
OG0000468	DR097_RS00805	B5M19_RS00790
OG0000469	DR097_RS00745	B5M19_RS00850
OG0000470	DR097_RS03815	B5M19_RS03910
OG0000472	DR097_RS02945	B5M19_RS00580
OG0000473	DR097_RS00580	B5M19_RS00410
OG0000474	DR097_RS00575	B5M19_RS00405
OG0000475	DR097_RS00570	B5M19_RS00400
OG0000476	DR097_RS02900	B5M19_RS03280
OG0000477	DR097_RS03795	B5M19_RS00950
OG0000478	DR097_RS00635	B5M19_RS00465
OG0000479	DR097_RS01700	B5M19_RS04145
OG0000480	DR097_RS03810	B5M19_RS03895
OG0000481	DR097_RS01005	B5M19_RS01730
OG0000482	DR097_RS00410	B5M19_RS03730
OG0000483	DR097_RS02855	B5M19_RS02735
OG0000484	DR097_RS04505	B5M19_RS00115
OG0000485	DR097_RS00455	B5M19_RS02145
OG0000486	DR097_RS03040	B5M19_RS03205
OG0000487	DR097_RS04585	B5M19_RS00830
OG0000489	DR097_RS02780	B5M19_RS01885
OG0000490	DR097_RS03535	B5M19_RS01945
OG0000491	DR097_RS01680	B5M19_RS01225
OG0000492	DR097_RS01605	B5M19_RS04140
OG0000493	DR097_RS02350	B5M19_RS02430
OG0000494	DR097_RS03060	B5M19_RS03075
OG0000495	DR097_RS01160	B5M19_RS01430
OG0000497	DR097_RS01720	B5M19_RS01445
OG0000498	DR097_RS01800	B5M19_RS02495
OG0000499	DR097_RS01500	B5M19_RS00870
OG0000500	DR097_RS00840	B5M19_RS00750
OG0000501	DR097_RS01455	B5M19_RS01470
OG0000502	DR097_RS00420	B5M19_RS02350
OG0000503	DR097_RS01060	B5M19_RS04250
OG0000504	DR097_RS00925	B5M19_RS01650
OG0000505	DR097_RS02180	B5M19_RS03420
OG0000506	DR097_RS02190	B5M19_RS03410
OG0000507	DR097_RS02225	B5M19_RS03375
OG0000508	DR097_RS00180	B5M19_RS00170
OG0000509	DR097_RS00145	B5M19_RS00205
OG0000510	DR097_RS00135	B5M19_RS00215
OG0000511	DR097_RS03290	B5M19_RS03685
OG0000512	DR097_RS02645	B5M19_RS01015
OG0000513	DR097_RS00650	B5M19_RS00480
OG0000514	DR097_RS01185	B5M19_RS01405
OG0000516	DR097_RS04580	B5M19_RS00835
OG0000518	DR097_RS01415	B5M19_RS01515
OG0000519	DR097_RS01035	B5M19_RS01760
OG0000520	DR097_RS00910	B5M19_RS01635
OG0000521	DR097_RS00165	B5M19_RS00185
OG0000522	DR097_RS00130	B5M19_RS00220
OG0000523	DR097_RS00715	B5M19_RS00545
OG0000524	DR097_RS01530	B5M19_RS00900
OG0000525	DR097_RS04770	B5M19_RS00575
OG0000526	DR097_RS04225	B5M19_RS04070
OG0000527	DR097_RS04395	B5M19_RS04065
OG0000527	DR097_RS04390	B5M19_RS04060
OG0000528	DR097_RS04575	B5M19_RS00840
OG0000529	DR097_RS02735	B5M19_RS02935
OG0000530	DR097_RS02115	B5M19_RS02705
OG0000531	DR097_RS01630	B5M19_RS01175
OG0000532	DR097_RS03520	B5M19_RS04500
OG0000533	DR097_RS03360	B5M19_RS04515
OG0000535	DR097_RS04745	B5M19_RS04610
OG0000536	DR097_RS03385	B5M19_RS00365
OG0000537	DR097_RS01095	B5M19_RS01820
OG0000538	DR097_RS00500	B5M19_RS04340
OG0000539	DR097_RS00220	B5M19_RS00130
OG0000540	DR097_RS01560	B5M19_RS00930
OG0000541	DR097_RS01485	B5M19_RS00855
OG0000542	DR097_RS00080	B5M19_RS00275
OG0000543	DR097_RS02005	B5M19_RS04430
OG0000544	DR097_RS04515	B5M19_RS04410
OG0000545	DR097_RS02535	B5M19_RS00645
OG0000546	DR097_RS01750	B5M19_RS02545
OG0000547	DR097_RS04935	B5M19_RS01355
OG0000548	DR097_RS03110	B5M19_RS03295
