Orthogroup	MHP_MHP682_genes	MHP_LH_genes
OG0000068	DR097_RS03055	KUD10_RS00655
OG0000069	DR097_RS01725	KUD10_RS02890
OG0000070	DR097_RS01930	KUD10_RS02560
OG0000071	DR097_RS03575	KUD10_RS03335
OG0000072	DR097_RS03580, DR097_RS04860	KUD10_RS03340
OG0000073	DR097_RS01115	KUD10_RS00700
OG0000074	DR097_RS04605	KUD10_RS00895
OG0000075	DR097_RS00090	KUD10_RS00340
OG0000076	DR097_RS00075	KUD10_RS00355
OG0000077	DR097_RS03275	KUD10_RS00440
OG0000078	DR097_RS01875	KUD10_RS01740
OG0000079	DR097_RS02640	KUD10_RS02640
OG0000080	DR097_RS04360	KUD10_RS02690
OG0000081	DR097_RS00095	KUD10_RS00335
OG0000082	DR097_RS02165	KUD10_RS02460
OG0000083	DR097_RS00750	KUD10_RS02070
OG0000084	DR097_RS03685	KUD10_RS02100
OG0000085	DR097_RS02875	KUD10_RS02105
OG0000086	DR097_RS02865	KUD10_RS02115
OG0000087	DR097_RS02850	KUD10_RS02130
OG0000088	DR097_RS02845	KUD10_RS02135
OG0000089	DR097_RS02835	KUD10_RS02145
OG0000090	DR097_RS02485	KUD10_RS00070
OG0000091	DR097_RS02775	KUD10_RS00055
OG0000092	DR097_RS02790	KUD10_RS00040
OG0000093	DR097_RS02795	KUD10_RS00035
OG0000094	DR097_RS02800	KUD10_RS00030
OG0000095	DR097_RS03550	KUD10_RS00005
OG0000096	DR097_RS03545	KUD10_RS03690
OG0000097	DR097_RS02575	KUD10_RS03670
OG0000099	DR097_RS03665	KUD10_RS03610
OG0000100	DR097_RS00555	KUD10_RS03590
OG0000101	DR097_RS00560	KUD10_RS03585
OG0000102	DR097_RS01850	KUD10_RS01765
OG0000103	DR097_RS02710	KUD10_RS02280
OG0000104	DR097_RS02715	KUD10_RS02285
OG0000105	DR097_RS02730	KUD10_RS02300
OG0000106	DR097_RS02740	KUD10_RS02310
OG0000107	DR097_RS02750	KUD10_RS02320
OG0000108	DR097_RS02755	KUD10_RS02325
OG0000109	DR097_RS02760	KUD10_RS02330
OG0000110	DR097_RS02155	KUD10_RS02450
OG0000111	DR097_RS02150	KUD10_RS02445
OG0000112	DR097_RS02140	KUD10_RS02435
OG0000113	DR097_RS04705	KUD10_RS02415
OG0000114	DR097_RS02110	KUD10_RS02405
OG0000115	DR097_RS02095	KUD10_RS02395
OG0000116	DR097_RS00320	KUD10_RS01370
OG0000117	DR097_RS00315	KUD10_RS01375
OG0000118	DR097_RS01690	KUD10_RS01410
OG0000119	DR097_RS01685	KUD10_RS01415
OG0000120	DR097_RS01670	KUD10_RS01430
OG0000121	DR097_RS01645	KUD10_RS01455
OG0000122	DR097_RS01640	KUD10_RS01460
OG0000123	DR097_RS01620	KUD10_RS01480
OG0000124	DR097_RS01615	KUD10_RS01485
OG0000125	DR097_RS01610	KUD10_RS01490
OG0000126	DR097_RS01600	KUD10_RS01500
OG0000127	DR097_RS01590	KUD10_RS01510
OG0000128	DR097_RS03460	KUD10_RS01525
OG0000129	DR097_RS03355	KUD10_RS01530
OG0000130	DR097_RS03345	KUD10_RS01540
OG0000131	DR097_RS04820	KUD10_RS01570
OG0000132	DR097_RS04815	KUD10_RS01585
OG0000133	DR097_RS02400	KUD10_RS00535
OG0000134	DR097_RS02395	KUD10_RS00540
OG0000135	DR097_RS02380	KUD10_RS00555
OG0000136	DR097_RS02375	KUD10_RS00560
OG0000137	DR097_RS02345	KUD10_RS00600
OG0000138	DR097_RS03080	KUD10_RS00630
OG0000139	DR097_RS03050	KUD10_RS00660
OG0000140	DR097_RS03045	KUD10_RS00665
OG0000141	DR097_RS01260	KUD10_RS03005
OG0000142	DR097_RS04625	KUD10_RS03000
OG0000143	DR097_RS01230	KUD10_RS02980
OG0000144	DR097_RS01220	KUD10_RS02970
OG0000145	DR097_RS01210	KUD10_RS02960
OG0000146	DR097_RS01200	KUD10_RS02950
OG0000147	DR097_RS01195	KUD10_RS02945
OG0000148	DR097_RS01180	KUD10_RS02930
OG0000149	DR097_RS01170	KUD10_RS02920
OG0000150	DR097_RS01155	KUD10_RS02905
OG0000151	DR097_RS01755	KUD10_RS02860
OG0000152	DR097_RS01760	KUD10_RS02855
OG0000153	DR097_RS01765	KUD10_RS02850
OG0000154	DR097_RS01775	KUD10_RS02840
OG0000155	DR097_RS01820	KUD10_RS02805
OG0000156	DR097_RS01490	KUD10_RS02795
OG0000157	DR097_RS04640	KUD10_RS02790
OG0000158	DR097_RS04645	KUD10_RS03710
OG0000159	DR097_RS04905	KUD10_RS02545
OG0000160	DR097_RS01950	KUD10_RS02540
OG0000161	DR097_RS01955	KUD10_RS02535
OG0000162	DR097_RS01965	KUD10_RS02525
OG0000163	DR097_RS01970	KUD10_RS02520
OG0000164	DR097_RS03125	KUD10_RS01670
OG0000165	DR097_RS00830	KUD10_RS01990
OG0000166	DR097_RS00810	KUD10_RS02010
OG0000167	DR097_RS00795	KUD10_RS02025
OG0000168	DR097_RS00790	KUD10_RS02030
OG0000169	DR097_RS01475	KUD10_RS03115
OG0000170	DR097_RS01460	KUD10_RS03130
OG0000171	DR097_RS01450	KUD10_RS03140
OG0000172	DR097_RS01445	KUD10_RS03145
OG0000173	DR097_RS01440	KUD10_RS03150
OG0000174	DR097_RS01435	KUD10_RS03155
OG0000175	DR097_RS01420	KUD10_RS03170
OG0000176	DR097_RS01370	KUD10_RS03215
OG0000177	DR097_RS01365	KUD10_RS03220
OG0000178	DR097_RS01360	KUD10_RS03225
OG0000179	DR097_RS01350	KUD10_RS03235
OG0000180	DR097_RS01345	KUD10_RS03240
OG0000181	DR097_RS04805	KUD10_RS03285
OG0000182	DR097_RS03155	KUD10_RS03295
OG0000183	DR097_RS03570	KUD10_RS03330
OG0000184	DR097_RS02975	KUD10_RS03375
OG0000185	DR097_RS02990	KUD10_RS03360
OG0000186	DR097_RS04760	KUD10_RS01595
OG0000187	DR097_RS02915	KUD10_RS01610
OG0000188	DR097_RS02905	KUD10_RS01620
OG0000189	DR097_RS04790	KUD10_RS02365
OG0000190	DR097_RS03030	KUD10_RS02360
OG0000191	DR097_RS03010	KUD10_RS02340
OG0000192	DR097_RS00400	KUD10_RS01290
OG0000193	DR097_RS00415	KUD10_RS01275
OG0000194	DR097_RS01130	KUD10_RS00685
OG0000195	DR097_RS01125	KUD10_RS00690
OG0000196	DR097_RS01105	KUD10_RS00710
OG0000197	DR097_RS01100	KUD10_RS00715
OG0000198	DR097_RS01085	KUD10_RS00730
OG0000199	DR097_RS01080	KUD10_RS00735
OG0000200	DR097_RS01065	KUD10_RS00750
OG0000201	DR097_RS01055	KUD10_RS00760
OG0000202	DR097_RS01000	KUD10_RS00815
OG0000203	DR097_RS00995	KUD10_RS00820
OG0000204	DR097_RS00990	KUD10_RS00825
OG0000205	DR097_RS00985	KUD10_RS00830
OG0000206	DR097_RS00965	KUD10_RS00850
OG0000207	DR097_RS00950	KUD10_RS00865
OG0000208	DR097_RS00945	KUD10_RS00870
OG0000209	DR097_RS00940	KUD10_RS00875
OG0000210	DR097_RS04925	KUD10_RS00920
OG0000211	DR097_RS02185	KUD10_RS00930
OG0000212	DR097_RS02195	KUD10_RS00940
OG0000213	DR097_RS02200	KUD10_RS00945
OG0000214	DR097_RS02205	KUD10_RS00950
OG0000215	DR097_RS02210	KUD10_RS00955
OG0000216	DR097_RS02215	KUD10_RS00960
OG0000217	DR097_RS02220	KUD10_RS00965
OG0000218	DR097_RS02230	KUD10_RS00975
OG0000219	DR097_RS02235	KUD10_RS00980
OG0000220	DR097_RS02240	KUD10_RS00985
OG0000221	DR097_RS02245	KUD10_RS00990
OG0000222	DR097_RS02250	KUD10_RS00995
OG0000223	DR097_RS02255	KUD10_RS01000
OG0000224	DR097_RS02265	KUD10_RS01010
OG0000225	DR097_RS02275	KUD10_RS01020
OG0000226	DR097_RS02280	KUD10_RS01025
OG0000227	DR097_RS02285	KUD10_RS01030
OG0000228	DR097_RS04910	KUD10_RS03740
OG0000229	DR097_RS02295	KUD10_RS01040
OG0000230	DR097_RS02300	KUD10_RS01045
OG0000231	DR097_RS02310	KUD10_RS01055
OG0000232	DR097_RS02320	KUD10_RS01065
OG0000233	DR097_RS00535	KUD10_RS01090
OG0000234	DR097_RS00495	KUD10_RS01125
OG0000235	DR097_RS00485	KUD10_RS01135
OG0000236	DR097_RS00480	KUD10_RS01140
OG0000237	DR097_RS00475	KUD10_RS01230
OG0000238	DR097_RS00465	KUD10_RS01235
OG0000239	DR097_RS01270	KUD10_RS03015
OG0000240	DR097_RS01275	KUD10_RS03020
OG0000241	DR097_RS01285	KUD10_RS03030
OG0000242	DR097_RS01290	KUD10_RS03035
OG0000243	DR097_RS01295	KUD10_RS03040
OG0000244	DR097_RS01305	KUD10_RS03050
OG0000245	DR097_RS01315	KUD10_RS03055
OG0000246	DR097_RS00300	KUD10_RS00140
OG0000247	DR097_RS00290	KUD10_RS00150
OG0000248	DR097_RS00280	KUD10_RS00160
OG0000249	DR097_RS00275	KUD10_RS00165
OG0000250	DR097_RS00260	KUD10_RS00180
OG0000251	DR097_RS00225	KUD10_RS00210
OG0000252	DR097_RS00215	KUD10_RS00220
OG0000253	DR097_RS00210	KUD10_RS00225
OG0000254	DR097_RS00200	KUD10_RS00235
OG0000255	DR097_RS00190	KUD10_RS00240
OG0000256	DR097_RS00185	KUD10_RS00245
OG0000257	DR097_RS00160	KUD10_RS00270
OG0000258	DR097_RS00150	KUD10_RS00280
OG0000259	DR097_RS00120	KUD10_RS00310
OG0000260	DR097_RS00110	KUD10_RS00320
OG0000261	DR097_RS04500	KUD10_RS00330
OG0000262	DR097_RS00085	KUD10_RS00345
OG0000263	DR097_RS00070	KUD10_RS00360
OG0000264	DR097_RS00055	KUD10_RS00375
OG0000265	DR097_RS00045	KUD10_RS00385
OG0000266	DR097_RS00030	KUD10_RS00400
OG0000267	DR097_RS00015	KUD10_RS00415
OG0000268	DR097_RS00010	KUD10_RS00420
OG0000269	DR097_RS03285	KUD10_RS00435
OG0000270	DR097_RS04530	KUD10_RS03560
OG0000271	DR097_RS00590	KUD10_RS03555
OG0000272	DR097_RS00595	KUD10_RS03550
OG0000273	DR097_RS00600	KUD10_RS03545
OG0000274	DR097_RS00620	KUD10_RS03525
OG0000275	DR097_RS04540	KUD10_RS03520
OG0000276	DR097_RS00630	KUD10_RS03515
OG0000277	DR097_RS00640	KUD10_RS03505
OG0000278	DR097_RS00645	KUD10_RS03500
OG0000279	DR097_RS00655	KUD10_RS03490
OG0000280	DR097_RS00660	KUD10_RS03485
OG0000281	DR097_RS00665	KUD10_RS03480
OG0000282	DR097_RS04550	KUD10_RS03455
OG0000283	DR097_RS00695	KUD10_RS03450
OG0000284	DR097_RS00700	KUD10_RS03445
OG0000285	DR097_RS04555	KUD10_RS03440
OG0000286	DR097_RS01985	KUD10_RS02505
OG0000287	DR097_RS02680	KUD10_RS02600
OG0000288	DR097_RS02670	KUD10_RS02610
OG0000289	DR097_RS02665	KUD10_RS02615
OG0000290	DR097_RS01555	KUD10_RS02730
OG0000291	DR097_RS01565	KUD10_RS02720
OG0000292	DR097_RS01570	KUD10_RS02715
OG0000293	DR097_RS01575	KUD10_RS02710
OG0000294	DR097_RS03220	KUD10_RS02700
OG0000295	DR097_RS03210	KUD10_RS02695
OG0000296	DR097_RS02630	KUD10_RS02650
OG0000297	DR097_RS02635	KUD10_RS02645
OG0000298	DR097_RS00265	KUD10_RS00175
OG0000299	DR097_RS00240	KUD10_RS00195
OG0000300	DR097_RS00060	KUD10_RS00370
OG0000301	DR097_RS00025	KUD10_RS00405
OG0000302	DR097_RS00020	KUD10_RS00410
OG0000303	DR097_RS02370	KUD10_RS00565
OG0000304	DR097_RS02325	KUD10_RS01070
OG0000305	DR097_RS01205	KUD10_RS02955
OG0000306	DR097_RS01735	KUD10_RS02880
OG0000307	DR097_RS01770	KUD10_RS02845
OG0000308	DR097_RS01535	KUD10_RS02750
OG0000309	DR097_RS03200	KUD10_RS02685
OG0000310	DR097_RS02675	KUD10_RS02605
OG0000311	DR097_RS01925	KUD10_RS02565
OG0000312	DR097_RS01940	KUD10_RS02550
OG0000313	DR097_RS03115	KUD10_RS01660
OG0000314	DR097_RS00815	KUD10_RS02005
OG0000315	DR097_RS00785	KUD10_RS02035
OG0000316	DR097_RS00775	KUD10_RS02045
OG0000317	DR097_RS02840	KUD10_RS02140
OG0000318	DR097_RS04590	KUD10_RS02050
OG0000319	DR097_RS02725	KUD10_RS02295
OG0000320	DR097_RS02130	KUD10_RS02425
OG0000321	DR097_RS01695	KUD10_RS01405
OG0000322	DR097_RS01650	KUD10_RS01450
OG0000323	DR097_RS03305	KUD10_RS01580
OG0000324	DR097_RS03005	KUD10_RS02335
OG0000325	DR097_RS01120	KUD10_RS00695
OG0000326	DR097_RS01025	KUD10_RS00790
OG0000327	DR097_RS01020	KUD10_RS00795
OG0000328	DR097_RS00935	KUD10_RS00880
OG0000329	DR097_RS00915	KUD10_RS00900
OG0000330	DR097_RS00520	KUD10_RS01100
OG0000331	DR097_RS01300	KUD10_RS03045
OG0000332	DR097_RS01410	KUD10_RS03180
OG0000333	DR097_RS01400	KUD10_RS03190
OG0000334	DR097_RS03150	KUD10_RS03290
OG0000335	DR097_RS03160	KUD10_RS03300
OG0000336	DR097_RS04545	KUD10_RS03470
OG0000337	DR097_RS02600	KUD10_RS03645
OG0000338	DR097_RS03540	KUD10_RS03685
OG0000339	DR097_RS02100	KUD10_RS02400
OG0000340	DR097_RS01715	KUD10_RS01385
OG0000341	DR097_RS03025	KUD10_RS02355
OG0000342	DR097_RS01090	KUD10_RS00725
OG0000343	DR097_RS01390	KUD10_RS03200
OG0000344	DR097_RS02355	KUD10_RS00580
OG0000345	DR097_RS02270	KUD10_RS01015
OG0000346	DR097_RS04870	KUD10_RS03475
OG0000347	DR097_RS01625	KUD10_RS01475
OG0000348	DR097_RS01015	KUD10_RS00800
OG0000349	DR097_RS04535	KUD10_RS03535
OG0000350	DR097_RS01780	KUD10_RS02835
OG0000351	DR097_RS03225	KUD10_RS00490
OG0000352	DR097_RS00835	KUD10_RS01985
OG0000353	DR097_RS01655	KUD10_RS01445
OG0000354	DR097_RS03065	KUD10_RS00645
OG0000355	DR097_RS04600	KUD10_RS01960
OG0000356	DR097_RS04595	KUD10_RS02040
OG0000357	DR097_RS04635	KUD10_RS03160
OG0000358	DR097_RS01425	KUD10_RS03165
OG0000359	DR097_RS04620	KUD10_RS00770
OG0000360	DR097_RS00155	KUD10_RS00275
OG0000361	DR097_RS00125	KUD10_RS00305
OG0000362	DR097_RS02655	KUD10_RS02625
OG0000363	DR097_RS04660	KUD10_RS01515
OG0000364	DR097_RS00890	KUD10_RS01940
OG0000365	DR097_RS04570	KUD10_RS02085
OG0000366	DR097_RS02870	KUD10_RS02110
OG0000367	DR097_RS02860	KUD10_RS02120
OG0000368	DR097_RS02770	KUD10_RS00060
OG0000369	DR097_RS04750	KUD10_RS00025
OG0000370	DR097_RS02810	KUD10_RS00020
OG0000371	DR097_RS02815	KUD10_RS00015
OG0000372	DR097_RS02820	KUD10_RS00010
OG0000373	DR097_RS02570	KUD10_RS03675
OG0000374	DR097_RS02580	KUD10_RS03665
OG0000375	DR097_RS02720	KUD10_RS02290
OG0000376	DR097_RS02145	KUD10_RS02440
OG0000377	DR097_RS02135	KUD10_RS02430
OG0000378	DR097_RS00325	KUD10_RS01365
OG0000379	DR097_RS01660	KUD10_RS01440
OG0000380	DR097_RS01635	KUD10_RS01465
OG0000381	DR097_RS01595	KUD10_RS01505
OG0000382	DR097_RS03350	KUD10_RS01535
OG0000383	DR097_RS03310	KUD10_RS01575
OG0000384	DR097_RS03605	KUD10_RS00520
OG0000385	DR097_RS02090	KUD10_RS00525
OG0000386	DR097_RS02390	KUD10_RS00545
OG0000387	DR097_RS02365	KUD10_RS00570
OG0000388	DR097_RS04710	KUD10_RS00575
OG0000389	DR097_RS03085	KUD10_RS00625
OG0000390	DR097_RS01225	KUD10_RS02975
OG0000391	DR097_RS01215	KUD10_RS02965
OG0000392	DR097_RS01190	KUD10_RS02940
OG0000393	DR097_RS04670	KUD10_RS02885
OG0000394	DR097_RS01805	KUD10_RS02815
OG0000395	DR097_RS01810	KUD10_RS02810
OG0000396	DR097_RS01980	KUD10_RS02510
OG0000397	DR097_RS00850	KUD10_RS01970
OG0000398	DR097_RS00845	KUD10_RS01975
OG0000399	DR097_RS00800	KUD10_RS02020
OG0000400	DR097_RS01465	KUD10_RS03125
OG0000401	DR097_RS01405	KUD10_RS03185
OG0000402	DR097_RS01395	KUD10_RS03195
OG0000403	DR097_RS01385	KUD10_RS03205
OG0000404	DR097_RS01355	KUD10_RS03230
OG0000405	DR097_RS01340	KUD10_RS03245
OG0000406	DR097_RS03165	KUD10_RS03305
OG0000407	DR097_RS04810	KUD10_RS03310
OG0000408	DR097_RS03175	KUD10_RS03315
OG0000410	DR097_RS02970	KUD10_RS03380
OG0000411	DR097_RS02980	KUD10_RS03370
OG0000412	DR097_RS02985	KUD10_RS03365
OG0000413	DR097_RS02935	KUD10_RS01590
OG0000414	DR097_RS02925	KUD10_RS01600
OG0000415	DR097_RS02920	KUD10_RS01605
OG0000416	DR097_RS02910	KUD10_RS01615
OG0000417	DR097_RS03020	KUD10_RS02350
OG0000418	DR097_RS03015	KUD10_RS02345
OG0000419	DR097_RS01110	KUD10_RS00705
OG0000420	DR097_RS01075	KUD10_RS00740
OG0000421	DR097_RS01040	KUD10_RS00775
OG0000422	DR097_RS01030	KUD10_RS00785
OG0000423	DR097_RS00975	KUD10_RS00840
OG0000424	DR097_RS00970	KUD10_RS00845
OG0000425	DR097_RS00960	KUD10_RS00855
OG0000426	DR097_RS04615	KUD10_RS00860
OG0000427	DR097_RS04610	KUD10_RS00885
OG0000428	DR097_RS00905	KUD10_RS00910
OG0000429	DR097_RS02260	KUD10_RS01005
OG0000430	DR097_RS02305	KUD10_RS01050
OG0000431	DR097_RS02315	KUD10_RS01060
OG0000432	DR097_RS00525	KUD10_RS01095
OG0000433	DR097_RS00510	KUD10_RS01110
OG0000434	DR097_RS00505	KUD10_RS01115
OG0000435	DR097_RS00490	KUD10_RS01130
OG0000436	DR097_RS00460	KUD10_RS01240
OG0000437	DR097_RS00450	KUD10_RS01250
OG0000438	DR097_RS00445	KUD10_RS01255
OG0000439	DR097_RS04525	KUD10_RS01260
OG0000440	DR097_RS04630	KUD10_RS03025
OG0000441	DR097_RS03780	KUD10_RS03060
OG0000442	DR097_RS00295	KUD10_RS00145
OG0000443	DR097_RS00245	KUD10_RS00190
OG0000444	DR097_RS00230	KUD10_RS00205
OG0000445	DR097_RS00205	KUD10_RS00230
OG0000446	DR097_RS00175	KUD10_RS00255
OG0000447	DR097_RS00170	KUD10_RS00260
OG0000448	DR097_RS00140	KUD10_RS00290
OG0000449	DR097_RS00115	KUD10_RS00315
OG0000450	DR097_RS00105	KUD10_RS00325
OG0000451	DR097_RS00065	KUD10_RS00365
OG0000452	DR097_RS00040	KUD10_RS00390
OG0000454	DR097_RS03090	KUD10_RS01220
OG0000455	DR097_RS00565	KUD10_RS03580
OG0000456	DR097_RS00685	KUD10_RS03460
OG0000457	DR097_RS00710	KUD10_RS03435
OG0000458	DR097_RS02685	KUD10_RS02595
OG0000459	DR097_RS02660	KUD10_RS02620
OG0000460	DR097_RS02650	KUD10_RS02630
OG0000461	DR097_RS03195	KUD10_RS02680
OG0000462	DR097_RS03190	KUD10_RS02670
OG0000463	DR097_RS03185	KUD10_RS02665
OG0000464	DR097_RS02620	KUD10_RS02660
OG0000465	DR097_RS02625	KUD10_RS02655
OG0000466	DR097_RS00035	KUD10_RS00395
OG0000467	DR097_RS04655	KUD10_RS02760
OG0000468	DR097_RS00805	KUD10_RS02015
OG0000469	DR097_RS00745	KUD10_RS02075
OG0000470	DR097_RS03815	KUD10_RS00835
OG0000472	DR097_RS02945	KUD10_RS03390
OG0000473	DR097_RS00580	KUD10_RS03565
OG0000474	DR097_RS00575	KUD10_RS03570
OG0000475	DR097_RS00570	KUD10_RS03575
OG0000476	DR097_RS02900	KUD10_RS01625
OG0000477	DR097_RS03795	KUD10_RS02705
OG0000478	DR097_RS00635	KUD10_RS03510
OG0000479	DR097_RS01700	KUD10_RS01400
OG0000480	DR097_RS03810	KUD10_RS02080
OG0000481	DR097_RS01005	KUD10_RS00810
OG0000482	DR097_RS00410	KUD10_RS01280
OG0000483	DR097_RS02855	KUD10_RS02125
OG0000484	DR097_RS04505	KUD10_RS00200
OG0000485	DR097_RS00455	KUD10_RS01245
OG0000486	DR097_RS03040	KUD10_RS02370
OG0000487	DR097_RS04585	KUD10_RS02055
OG0000489	DR097_RS02780	KUD10_RS00050
OG0000490	DR097_RS03535	KUD10_RS03680
OG0000491	DR097_RS01680	KUD10_RS01420
OG0000492	DR097_RS01605	KUD10_RS01495
OG0000493	DR097_RS02350	KUD10_RS00585
OG0000494	DR097_RS03060	KUD10_RS00650
OG0000495	DR097_RS01160	KUD10_RS02910
OG0000496	DR097_RS01150	KUD10_RS02900
OG0000497	DR097_RS01720	KUD10_RS02895
OG0000498	DR097_RS01800	KUD10_RS02820
OG0000499	DR097_RS01500	KUD10_RS02785
OG0000500	DR097_RS00840	KUD10_RS01980
OG0000501	DR097_RS01455	KUD10_RS03135
OG0000502	DR097_RS00420	KUD10_RS01270
OG0000503	DR097_RS01060	KUD10_RS00755
OG0000504	DR097_RS00925	KUD10_RS00890
OG0000505	DR097_RS02180	KUD10_RS00925
OG0000506	DR097_RS02190	KUD10_RS00935
OG0000507	DR097_RS02225	KUD10_RS00970
OG0000508	DR097_RS00180	KUD10_RS00250
OG0000509	DR097_RS00145	KUD10_RS00285
OG0000510	DR097_RS00135	KUD10_RS00295
OG0000511	DR097_RS03290	KUD10_RS00430
OG0000512	DR097_RS02645	KUD10_RS02635
OG0000513	DR097_RS00650	KUD10_RS03495
OG0000514	DR097_RS01185	KUD10_RS02935
OG0000516	DR097_RS04580	KUD10_RS02060
OG0000518	DR097_RS01415	KUD10_RS03175
OG0000519	DR097_RS01035	KUD10_RS00780
OG0000520	DR097_RS00910	KUD10_RS00905
OG0000521	DR097_RS00165	KUD10_RS00265
OG0000522	DR097_RS00130	KUD10_RS00300
OG0000523	DR097_RS00715	KUD10_RS03430
OG0000524	DR097_RS01530	KUD10_RS02755
OG0000525	DR097_RS04770	KUD10_RS03395
OG0000526	DR097_RS04225, DR097_RS04230	KUD10_RS01895
OG0000527	DR097_RS04395	KUD10_RS01830
OG0000528	DR097_RS04575	KUD10_RS02065
OG0000529	DR097_RS02735	KUD10_RS02305
OG0000530	DR097_RS02115	KUD10_RS02410
OG0000531	DR097_RS01630	KUD10_RS01470
OG0000532	DR097_RS03520	KUD10_RS01685
OG0000533	DR097_RS03360	KUD10_RS00605
OG0000534	DR097_RS00050	KUD10_RS00380
OG0000535	DR097_RS04745	KUD10_RS00045
OG0000536	DR097_RS03385	KUD10_RS03615
OG0000537	DR097_RS01095	KUD10_RS00720
OG0000538	DR097_RS00500	KUD10_RS01120
OG0000539	DR097_RS00220	KUD10_RS00215
