Orthogroup	MHP_98_genes	MHP_Ue273_genes
OG0000021	GOM18_RS03345	VQY17_RS00510
OG0000022	GOM18_RS03040	VQY17_RS01695
OG0000022	GOM18_RS04500	VQY17_RS01765
OG0000024	GOM18_RS03075	VQY17_RS02725
OG0000024	GOM18_RS03225	VQY17_RS01295
OG0000025	GOM18_RS04510	VQY17_RS01700
OG0000025	GOM18_RS04505	VQY17_RS01755
OG0000026	GOM18_RS02790	VQY17_RS01380
OG0000026	GOM18_RS03010	VQY17_RS01735
OG0000027	GOM18_RS04335	VQY17_RS03330
OG0000027	GOM18_RS04320	VQY17_RS03350
OG0000028	GOM18_RS01870	VQY17_RS02415
OG0000029	GOM18_RS01705	VQY17_RS01115
OG0000029	GOM18_RS03580	VQY17_RS00610
OG0000030	GOM18_RS04325	VQY17_RS03345
OG0000031	GOM18_RS03625	VQY17_RS01635
OG0000032	GOM18_RS02560	VQY17_RS01610
OG0000032	GOM18_RS04565	VQY17_RS03340
OG0000035	GOM18_RS00885	VQY17_RS03200
OG0000035	GOM18_RS00900	VQY17_RS03170
OG0000036	GOM18_RS03585	VQY17_RS00115, VQY17_RS00130
OG0000037	GOM18_RS02550	VQY17_RS01620
OG0000038	GOM18_RS03510	VQY17_RS01860
OG0000038	GOM18_RS03645	VQY17_RS01810
OG0000038	GOM18_RS01605	VQY17_RS00500
OG0000039	GOM18_RS03565	VQY17_RS01650, VQY17_RS01645
OG0000040	GOM18_RS00810	VQY17_RS03270
OG0000041	GOM18_RS00100	VQY17_RS00670
OG0000042	GOM18_RS01120	VQY17_RS02925, VQY17_RS02920
OG0000043	GOM18_RS03285	VQY17_RS01990
OG0000044	GOM18_RS04585	VQY17_RS01710
OG0000045	GOM18_RS03555	VQY17_RS01655
OG0000046	GOM18_RS03875	VQY17_RS03280
OG0000048	GOM18_RS02325	VQY17_RS02180
OG0000049	GOM18_RS01035	VQY17_RS03040
OG0000050	GOM18_RS01900	VQY17_RS02445
OG0000051	GOM18_RS02100	VQY17_RS02645
OG0000052	GOM18_RS00655	VQY17_RS00075
OG0000053	GOM18_RS04480	VQY17_RS01470
OG0000054	GOM18_RS01925	VQY17_RS02470
OG0000055	GOM18_RS01245	VQY17_RS00135
OG0000056	GOM18_RS00495	VQY17_RS03535
OG0000057	GOM18_RS01135	VQY17_RS02905
OG0000060	GOM18_RS03800	VQY17_RS00080
OG0000061	GOM18_RS03350	VQY17_RS01930
OG0000062	GOM18_RS00545	VQY17_RS03585
OG0000063	GOM18_RS04295	VQY17_RS03580
OG0000064	GOM18_RS00530	VQY17_RS03570
OG0000065	GOM18_RS02395	VQY17_RS02255
OG0000066	GOM18_RS02800	VQY17_RS01370
OG0000067	GOM18_RS01630	VQY17_RS00525
OG0000068	GOM18_RS03445	VQY17_RS00645
OG0000069	GOM18_RS01240, GOM18_RS03140	VQY17_RS02795
OG0000070	GOM18_RS01930	VQY17_RS02475
OG0000071	GOM18_RS00820	VQY17_RS03260
OG0000072	GOM18_RS04355	VQY17_RS03265
OG0000073	GOM18_RS00135	VQY17_RS00705
OG0000074	GOM18_RS04260	VQY17_RS00910
OG0000075	GOM18_RS01450	VQY17_RS00345
OG0000076	GOM18_RS01465	VQY17_RS00360
OG0000077	GOM18_RS01550	VQY17_RS00445
OG0000078	GOM18_RS03020	VQY17_RS01715
OG0000079	GOM18_RS02005	VQY17_RS02550
OG0000080	GOM18_RS03980	VQY17_RS02595
OG0000081	GOM18_RS01445	VQY17_RS00340
OG0000082	GOM18_RS02535	VQY17_RS02400
OG0000083	GOM18_RS02245	VQY17_RS02095
OG0000084	GOM18_RS02275	VQY17_RS02125
OG0000085	GOM18_RS02280	VQY17_RS02135
OG0000086	GOM18_RS02290	VQY17_RS02145
OG0000087	GOM18_RS02305	VQY17_RS02160
OG0000088	GOM18_RS02310	VQY17_RS02165
OG0000089	GOM18_RS02320	VQY17_RS02175
OG0000090	GOM18_RS00650	VQY17_RS00070
OG0000091	GOM18_RS00635	VQY17_RS00055
OG0000092	GOM18_RS00620	VQY17_RS00040
OG0000093	GOM18_RS00615	VQY17_RS00035
OG0000094	GOM18_RS00610	VQY17_RS00030
OG0000095	GOM18_RS00585	VQY17_RS00005
OG0000096	GOM18_RS00580	VQY17_RS03620
OG0000097	GOM18_RS00560	VQY17_RS03600
OG0000098	GOM18_RS00550	VQY17_RS03590
OG0000099	GOM18_RS04285	VQY17_RS03540
OG0000100	GOM18_RS00485	VQY17_RS03525
OG0000101	GOM18_RS00480	VQY17_RS03520
OG0000102	GOM18_RS02995	VQY17_RS01750
OG0000103	GOM18_RS02360	VQY17_RS02220
OG0000104	GOM18_RS02365	VQY17_RS02225
OG0000105	GOM18_RS02380	VQY17_RS02240
OG0000106	GOM18_RS02390	VQY17_RS02250
OG0000107	GOM18_RS02400	VQY17_RS02260
OG0000108	GOM18_RS02405	VQY17_RS02265
OG0000109	GOM18_RS02410	VQY17_RS02270
OG0000110	GOM18_RS02525	VQY17_RS02390
OG0000111	GOM18_RS02520	VQY17_RS02385
OG0000112	GOM18_RS02510	VQY17_RS02375
OG0000113	GOM18_RS02490	VQY17_RS02355
OG0000114	GOM18_RS02480	VQY17_RS02345
OG0000115	GOM18_RS02470	VQY17_RS02335
OG0000116	GOM18_RS02855	VQY17_RS01315
OG0000117	GOM18_RS02850	VQY17_RS01320
OG0000118	GOM18_RS02815	VQY17_RS01355
OG0000119	GOM18_RS02810	VQY17_RS01360
OG0000120	GOM18_RS02795	VQY17_RS01375
OG0000121	GOM18_RS02775	VQY17_RS01405
OG0000122	GOM18_RS02770	VQY17_RS01410
OG0000123	GOM18_RS02750	VQY17_RS01430
OG0000124	GOM18_RS02745	VQY17_RS01435
OG0000125	GOM18_RS02740	VQY17_RS01440
OG0000126	GOM18_RS02730	VQY17_RS01455
OG0000127	GOM18_RS02720	VQY17_RS01460
OG0000128	GOM18_RS02705	VQY17_RS01475
OG0000129	GOM18_RS02700	VQY17_RS01480
OG0000130	GOM18_RS02690	VQY17_RS01490
OG0000131	GOM18_RS04475	VQY17_RS01520
OG0000132	GOM18_RS04470	VQY17_RS01535
OG0000133	GOM18_RS01635	VQY17_RS00530
OG0000134	GOM18_RS01640	VQY17_RS00535
OG0000135	GOM18_RS01655	VQY17_RS00550
OG0000136	GOM18_RS01660	VQY17_RS00555
OG0000137	GOM18_RS01690	VQY17_RS00595
OG0000138	GOM18_RS03470	VQY17_RS00620
OG0000139	GOM18_RS03440	VQY17_RS00650
OG0000140	GOM18_RS03435	VQY17_RS00655
OG0000141	GOM18_RS01125	VQY17_RS02915
OG0000142	GOM18_RS04380	VQY17_RS02910
OG0000143	GOM18_RS01150	VQY17_RS02885
OG0000144	GOM18_RS01160	VQY17_RS02875
OG0000145	GOM18_RS01170	VQY17_RS02865
OG0000146	GOM18_RS01180	VQY17_RS02855
OG0000147	GOM18_RS01185	VQY17_RS02850
OG0000148	GOM18_RS01200	VQY17_RS02835
OG0000149	GOM18_RS01210	VQY17_RS02825
OG0000150	GOM18_RS01225	VQY17_RS02810
OG0000151	GOM18_RS03115	VQY17_RS02760
OG0000152	GOM18_RS03110	VQY17_RS02755
OG0000153	GOM18_RS03105	VQY17_RS02750
OG0000154	GOM18_RS03095	VQY17_RS02740
OG0000155	GOM18_RS02160	VQY17_RS02705
OG0000156	GOM18_RS02150	VQY17_RS02695
OG0000157	GOM18_RS04415	VQY17_RS02690
OG0000158	GOM18_RS04410	VQY17_RS02680
OG0000159	GOM18_RS01915	VQY17_RS02460
OG0000160	GOM18_RS01910	VQY17_RS02455
OG0000161	GOM18_RS01905	VQY17_RS02450
OG0000162	GOM18_RS01895	VQY17_RS02440
OG0000163	GOM18_RS01890	VQY17_RS02435
OG0000164	GOM18_RS03635	VQY17_RS01640
OG0000165	GOM18_RS03260	VQY17_RS02015
OG0000166	GOM18_RS02185	VQY17_RS02035
OG0000167	GOM18_RS02200	VQY17_RS02050
OG0000168	GOM18_RS02205	VQY17_RS02055
OG0000169	GOM18_RS01040	VQY17_RS03035
OG0000170	GOM18_RS01025	VQY17_RS03050
OG0000171	GOM18_RS01015	VQY17_RS03060
OG0000172	GOM18_RS01010	VQY17_RS03065
OG0000173	GOM18_RS01005	VQY17_RS03070
OG0000174	GOM18_RS01000	VQY17_RS03075
OG0000175	GOM18_RS00985	VQY17_RS03090
OG0000176	GOM18_RS00935	VQY17_RS03135
OG0000177	GOM18_RS00930	VQY17_RS03140
OG0000178	GOM18_RS00925	VQY17_RS03145
OG0000179	GOM18_RS00915	VQY17_RS03155
OG0000180	GOM18_RS00910	VQY17_RS03160
OG0000181	GOM18_RS04365	VQY17_RS03210
OG0000182	GOM18_RS00860	VQY17_RS03220
OG0000183	GOM18_RS00825	VQY17_RS03255
OG0000184	GOM18_RS00780	VQY17_RS03305
OG0000185	GOM18_RS00795	VQY17_RS03290
OG0000186	GOM18_RS04465	VQY17_RS01545
OG0000187	GOM18_RS02595	VQY17_RS01560
OG0000188	GOM18_RS02585	VQY17_RS01570
OG0000189	GOM18_RS04445	VQY17_RS02305
OG0000190	GOM18_RS02440	VQY17_RS02300
OG0000191	GOM18_RS02420	VQY17_RS02280
OG0000192	GOM18_RS03170	VQY17_RS01240
OG0000193	GOM18_RS03155	VQY17_RS01230
OG0000194	GOM18_RS00120	VQY17_RS00690
OG0000195	GOM18_RS00125	VQY17_RS00695
OG0000196	GOM18_RS00145	VQY17_RS00715
OG0000197	GOM18_RS00150	VQY17_RS00720
OG0000198	GOM18_RS00165	VQY17_RS00735
OG0000199	GOM18_RS00170	VQY17_RS00740
OG0000200	GOM18_RS00185	VQY17_RS00755
OG0000201	GOM18_RS00195	VQY17_RS00765
OG0000202	GOM18_RS00250	VQY17_RS00825
OG0000203	GOM18_RS00255	VQY17_RS00830
OG0000204	GOM18_RS00260	VQY17_RS00835
OG0000205	GOM18_RS00265	VQY17_RS00840
OG0000206	GOM18_RS00285	VQY17_RS00860
OG0000207	GOM18_RS00300	VQY17_RS00875
OG0000208	GOM18_RS00305	VQY17_RS00880
OG0000209	GOM18_RS00310	VQY17_RS00885
OG0000210	GOM18_RS00360	VQY17_RS00935
OG0000211	GOM18_RS01855	VQY17_RS00970
OG0000212	GOM18_RS01845	VQY17_RS00980
OG0000213	GOM18_RS01840	VQY17_RS00985
OG0000214	GOM18_RS01835	VQY17_RS00990
OG0000215	GOM18_RS01830	VQY17_RS00995
OG0000216	GOM18_RS01825	VQY17_RS01000
OG0000217	GOM18_RS01820	VQY17_RS01005
OG0000218	GOM18_RS01810	VQY17_RS01015
OG0000219	GOM18_RS01805	VQY17_RS01020
OG0000220	GOM18_RS01800	VQY17_RS01025
OG0000221	GOM18_RS01795	VQY17_RS01030
OG0000222	GOM18_RS01790	VQY17_RS01035
OG0000223	GOM18_RS01785	VQY17_RS01040
OG0000224	GOM18_RS01775	VQY17_RS01050
OG0000225	GOM18_RS01765	VQY17_RS01060
OG0000226	GOM18_RS01760	VQY17_RS01065
OG0000227	GOM18_RS01755	VQY17_RS01070
OG0000228	GOM18_RS04580	VQY17_RS01075
OG0000229	GOM18_RS01745	VQY17_RS01080
OG0000230	GOM18_RS01740	VQY17_RS01085
OG0000231	GOM18_RS01730	VQY17_RS01095
OG0000232	GOM18_RS01720	VQY17_RS01105
OG0000233	GOM18_RS02880	VQY17_RS01125
OG0000234	GOM18_RS02915	VQY17_RS01165
OG0000235	GOM18_RS02925	VQY17_RS01175
OG0000236	GOM18_RS02930	VQY17_RS01180
OG0000237	GOM18_RS02935	VQY17_RS01185
OG0000238	GOM18_RS02940	VQY17_RS01190
OG0000239	GOM18_RS01115	VQY17_RS02930
OG0000240	GOM18_RS01110	VQY17_RS02935
OG0000241	GOM18_RS01100	VQY17_RS02945
OG0000242	GOM18_RS01095	VQY17_RS02950
OG0000243	GOM18_RS01090	VQY17_RS02955
OG0000244	GOM18_RS01080	VQY17_RS02965
OG0000245	GOM18_RS01070	VQY17_RS02970
OG0000246	GOM18_RS01250	VQY17_RS00140
OG0000247	GOM18_RS01260	VQY17_RS00150
OG0000248	GOM18_RS01270	VQY17_RS00160
OG0000249	GOM18_RS01275	VQY17_RS00165
OG0000250	GOM18_RS01290	VQY17_RS00180
OG0000251	GOM18_RS01320	VQY17_RS00210
OG0000252	GOM18_RS01330	VQY17_RS00220
OG0000253	GOM18_RS01335	VQY17_RS00225
OG0000254	GOM18_RS01345	VQY17_RS00235
OG0000255	GOM18_RS01350	VQY17_RS00245
OG0000256	GOM18_RS01355	VQY17_RS00250
OG0000257	GOM18_RS01380	VQY17_RS00275
OG0000258	GOM18_RS01390	VQY17_RS00285
OG0000259	GOM18_RS01420	VQY17_RS00315
OG0000260	GOM18_RS01430	VQY17_RS00325
OG0000261	GOM18_RS04390	VQY17_RS00335
OG0000262	GOM18_RS01455	VQY17_RS00350
OG0000263	GOM18_RS01470	VQY17_RS00365
OG0000264	GOM18_RS01485	VQY17_RS00380
OG0000265	GOM18_RS01495	VQY17_RS00390
OG0000266	GOM18_RS01510	VQY17_RS00405
OG0000267	GOM18_RS01525	VQY17_RS00420
OG0000268	GOM18_RS01530	VQY17_RS00425
OG0000269	GOM18_RS01545	VQY17_RS00440
OG0000270	GOM18_RS04280	VQY17_RS03495
OG0000271	GOM18_RS00450	VQY17_RS03490
OG0000272	GOM18_RS00445	VQY17_RS03485
OG0000273	GOM18_RS00440	VQY17_RS03480
OG0000274	GOM18_RS00420	VQY17_RS03460
OG0000275	GOM18_RS04270	VQY17_RS03455
OG0000276	GOM18_RS00410	VQY17_RS03450
OG0000277	GOM18_RS00400	VQY17_RS03435
OG0000278	GOM18_RS00395	VQY17_RS03430
OG0000279	GOM18_RS00385	VQY17_RS03420
OG0000280	GOM18_RS00380	VQY17_RS03415
OG0000281	GOM18_RS00375	VQY17_RS03410
OG0000282	GOM18_RS04310	VQY17_RS03380
OG0000283	GOM18_RS00705	VQY17_RS03375
OG0000284	GOM18_RS00710	VQY17_RS03370
OG0000285	GOM18_RS04315	VQY17_RS03365
OG0000286	GOM18_RS01875	VQY17_RS02420
OG0000287	GOM18_RS01965	VQY17_RS02510
OG0000288	GOM18_RS01975	VQY17_RS02520
OG0000289	GOM18_RS01980	VQY17_RS02525
OG0000290	GOM18_RS02090	VQY17_RS02635
OG0000291	GOM18_RS02080	VQY17_RS02625
OG0000292	GOM18_RS02075	VQY17_RS02620
OG0000293	GOM18_RS02070	VQY17_RS02615
OG0000294	GOM18_RS02060	VQY17_RS02605
OG0000295	GOM18_RS02055	VQY17_RS02600
OG0000296	GOM18_RS02015	VQY17_RS02560
OG0000297	GOM18_RS02010	VQY17_RS02555
OG0000298	GOM18_RS01285	VQY17_RS00175
OG0000299	GOM18_RS03940	VQY17_RS00195
OG0000300	GOM18_RS01480	VQY17_RS00375
OG0000301	GOM18_RS01515	VQY17_RS00410
OG0000302	GOM18_RS01520	VQY17_RS00415
OG0000303	GOM18_RS01665	VQY17_RS00560
OG0000304	GOM18_RS01710	VQY17_RS01110
OG0000305	GOM18_RS01175	VQY17_RS02860
OG0000306	GOM18_RS03130	VQY17_RS02785
OG0000307	GOM18_RS03100	VQY17_RS02745
OG0000308	GOM18_RS02110	VQY17_RS02655
OG0000309	GOM18_RS02045	VQY17_RS02590
OG0000310	GOM18_RS01970	VQY17_RS02515
OG0000311	GOM18_RS01935	VQY17_RS02480
OG0000312	GOM18_RS01920	VQY17_RS02465
OG0000313	GOM18_RS03620	VQY17_RS01630
OG0000314	GOM18_RS03245	VQY17_RS02030
OG0000315	GOM18_RS02210	VQY17_RS02060
OG0000316	GOM18_RS02220	VQY17_RS02070
OG0000317	GOM18_RS02315	VQY17_RS02170
OG0000318	GOM18_RS04425	VQY17_RS02075
OG0000319	GOM18_RS02375	VQY17_RS02235
OG0000320	GOM18_RS02500	VQY17_RS02365
OG0000321	GOM18_RS02820	VQY17_RS01350
OG0000322	GOM18_RS02780	VQY17_RS01400
OG0000323	GOM18_RS02625	VQY17_RS01530
OG0000324	GOM18_RS02415	VQY17_RS02275
OG0000325	GOM18_RS00130	VQY17_RS00700
OG0000326	GOM18_RS00225	VQY17_RS00800
OG0000327	GOM18_RS00230	VQY17_RS00805
OG0000328	GOM18_RS00315	VQY17_RS00890
OG0000329	GOM18_RS00335	VQY17_RS00915
OG0000330	GOM18_RS02890	VQY17_RS01135
OG0000331	GOM18_RS01085	VQY17_RS02960
OG0000332	GOM18_RS00975	VQY17_RS03100
OG0000333	GOM18_RS00965	VQY17_RS03110
OG0000334	GOM18_RS00865	VQY17_RS03215
OG0000335	GOM18_RS00855	VQY17_RS03225
OG0000336	GOM18_RS04265	VQY17_RS03400
OG0000337	GOM18_RS00535	VQY17_RS03575
OG0000338	GOM18_RS00575	VQY17_RS03615
OG0000339	GOM18_RS02475	VQY17_RS02340
OG0000340	GOM18_RS02840	VQY17_RS01330
OG0000341	GOM18_RS02435	VQY17_RS02295
OG0000342	GOM18_RS00160	VQY17_RS00730
OG0000343	GOM18_RS00955	VQY17_RS03120
OG0000344	GOM18_RS01680	VQY17_RS00575
OG0000345	GOM18_RS01770	VQY17_RS01055
OG0000346	GOM18_RS00370	VQY17_RS03405
OG0000347	GOM18_RS02755	VQY17_RS01425
OG0000348	GOM18_RS00235	VQY17_RS00810
OG0000349	GOM18_RS04275	VQY17_RS03470
OG0000350	GOM18_RS03090	VQY17_RS02735
OG0000351	GOM18_RS01600	VQY17_RS00495
OG0000352	GOM18_RS03265	VQY17_RS02010
OG0000353	GOM18_RS02785	VQY17_RS01390
OG0000354	GOM18_RS03455	VQY17_RS00635
OG0000355	GOM18_RS04535	VQY17_RS01985
OG0000356	GOM18_RS04420	VQY17_RS02065
OG0000357	GOM18_RS04370	VQY17_RS03080
OG0000358	GOM18_RS00990	VQY17_RS03085
OG0000359	GOM18_RS04245	VQY17_RS00780
OG0000360	GOM18_RS01385	VQY17_RS00280
OG0000361	GOM18_RS01415	VQY17_RS00310
OG0000362	GOM18_RS01990	VQY17_RS02535
OG0000363	GOM18_RS04485	VQY17_RS01465
OG0000364	GOM18_RS04185	VQY17_RS01960
OG0000365	GOM18_RS04440	VQY17_RS02110
OG0000366	GOM18_RS02285	VQY17_RS02140
OG0000367	GOM18_RS02295	VQY17_RS02150
OG0000368	GOM18_RS00640	VQY17_RS00060
OG0000369	GOM18_RS04300	VQY17_RS00025
OG0000370	GOM18_RS00600	VQY17_RS00020
OG0000371	GOM18_RS00595	VQY17_RS00015
OG0000372	GOM18_RS00590	VQY17_RS00010
OG0000373	GOM18_RS00565	VQY17_RS03605
OG0000374	GOM18_RS00555	VQY17_RS03595
OG0000375	GOM18_RS02370	VQY17_RS02230
OG0000376	GOM18_RS02515	VQY17_RS02380
OG0000377	GOM18_RS02505	VQY17_RS02370
OG0000378	GOM18_RS02860	VQY17_RS01310
OG0000380	GOM18_RS02765	VQY17_RS01415
OG0000382	GOM18_RS02695	VQY17_RS01485
OG0000383	GOM18_RS02630	VQY17_RS01525
OG0000384	GOM18_RS01620	VQY17_RS00515
OG0000385	GOM18_RS01625	VQY17_RS00520
OG0000386	GOM18_RS01645	VQY17_RS00540
OG0000387	GOM18_RS01670	VQY17_RS00565
OG0000388	GOM18_RS04395	VQY17_RS00570
OG0000389	GOM18_RS03480	VQY17_RS00615
OG0000390	GOM18_RS01155	VQY17_RS02880
OG0000391	GOM18_RS01165	VQY17_RS02870
OG0000392	GOM18_RS01190	VQY17_RS02845
OG0000393	GOM18_RS04515	VQY17_RS02790
OG0000395	GOM18_RS02165	VQY17_RS02710
OG0000396	GOM18_RS01880	VQY17_RS02425
OG0000397	GOM18_RS03280	VQY17_RS01995
OG0000398	GOM18_RS03275	VQY17_RS02000
OG0000399	GOM18_RS02195	VQY17_RS02045
OG0000400	GOM18_RS01030	VQY17_RS03045
OG0000401	GOM18_RS00970	VQY17_RS03105
OG0000402	GOM18_RS00960	VQY17_RS03115
OG0000403	GOM18_RS00950	VQY17_RS03125
OG0000404	GOM18_RS00920	VQY17_RS03150
OG0000405	GOM18_RS00905	VQY17_RS03165
OG0000406	GOM18_RS00850	VQY17_RS03230
OG0000407	GOM18_RS04360	VQY17_RS03235
OG0000408	GOM18_RS00840	VQY17_RS03240
OG0000409	GOM18_RS00835	VQY17_RS03245
OG0000410	GOM18_RS00775	VQY17_RS03310
OG0000411	GOM18_RS00785	VQY17_RS03300
OG0000412	GOM18_RS00790	VQY17_RS03295
OG0000413	GOM18_RS02615	VQY17_RS01540
OG0000414	GOM18_RS02605	VQY17_RS01550
OG0000415	GOM18_RS02600	VQY17_RS01555
OG0000416	GOM18_RS02590	VQY17_RS01565
OG0000417	GOM18_RS02430	VQY17_RS02290
OG0000418	GOM18_RS02425	VQY17_RS02285
OG0000419	GOM18_RS00140	VQY17_RS00710
OG0000420	GOM18_RS00175	VQY17_RS00745
OG0000421	GOM18_RS00210	VQY17_RS00785
OG0000422	GOM18_RS00220	VQY17_RS00795
OG0000423	GOM18_RS00275	VQY17_RS00850
OG0000424	GOM18_RS00280	VQY17_RS00855
OG0000425	GOM18_RS00290	VQY17_RS00865
OG0000426	GOM18_RS04250	VQY17_RS00870
OG0000427	GOM18_RS04255	VQY17_RS00900
OG0000428	GOM18_RS00345	VQY17_RS00925
OG0000429	GOM18_RS01780	VQY17_RS01045
OG0000430	GOM18_RS01735	VQY17_RS01090
OG0000431	GOM18_RS01725	VQY17_RS01100
OG0000432	GOM18_RS02885	VQY17_RS01130
OG0000433	GOM18_RS02900	VQY17_RS01145
OG0000434	GOM18_RS02905	VQY17_RS01150
OG0000435	GOM18_RS02920	VQY17_RS01170
OG0000436	GOM18_RS02945	VQY17_RS01195
OG0000438	GOM18_RS02960	VQY17_RS01210
OG0000439	GOM18_RS04495	VQY17_RS01215
OG0000440	GOM18_RS04375	VQY17_RS02940
OG0000441	GOM18_RS01065	VQY17_RS02975
OG0000442	GOM18_RS01255	VQY17_RS00145
OG0000443	GOM18_RS01300	VQY17_RS00190
OG0000444	GOM18_RS01315	VQY17_RS00205
OG0000445	GOM18_RS03665	VQY17_RS00230
OG0000446	GOM18_RS01365	VQY17_RS00260
OG0000447	GOM18_RS01370	VQY17_RS00265
OG0000448	GOM18_RS01400	VQY17_RS00295
OG0000449	GOM18_RS01425	VQY17_RS00320
OG0000450	GOM18_RS01435	VQY17_RS00330
OG0000451	GOM18_RS01475	VQY17_RS00370
OG0000452	GOM18_RS01500	VQY17_RS00395
OG0000453	GOM18_RS01535	VQY17_RS00430
OG0000455	GOM18_RS00475	VQY17_RS03515
OG0000456	GOM18_RS00695	VQY17_RS03390
OG0000458	GOM18_RS01960	VQY17_RS02505
OG0000459	GOM18_RS01985	VQY17_RS02530
OG0000460	GOM18_RS01995	VQY17_RS02540
OG0000461	GOM18_RS02040	VQY17_RS02585
OG0000462	GOM18_RS02035	VQY17_RS02580
OG0000463	GOM18_RS02030	VQY17_RS02575
OG0000464	GOM18_RS02025	VQY17_RS02570
OG0000465	GOM18_RS02020	VQY17_RS02565
OG0000466	GOM18_RS01505	VQY17_RS00400
OG0000467	GOM18_RS04400	VQY17_RS02665
OG0000468	GOM18_RS02190	VQY17_RS02040
OG0000469	GOM18_RS02250	VQY17_RS02100
OG0000470	GOM18_RS00270	VQY17_RS00845
OG0000471	GOM18_RS00350	VQY17_RS00930
OG0000472	GOM18_RS00765	VQY17_RS03320
OG0000473	GOM18_RS00460	VQY17_RS03500
OG0000474	GOM18_RS00465	VQY17_RS03505
OG0000475	GOM18_RS00470	VQY17_RS03510
OG0000476	GOM18_RS02580	VQY17_RS01575
OG0000477	GOM18_RS02065	VQY17_RS02610
OG0000478	GOM18_RS00405	VQY17_RS03445
OG0000479	GOM18_RS02825	VQY17_RS01345
OG0000480	GOM18_RS02255	VQY17_RS02105
OG0000481	GOM18_RS00245	VQY17_RS00820
OG0000482	GOM18_RS03160	VQY17_RS01235
OG0000483	GOM18_RS02300	VQY17_RS02155
OG0000484	GOM18_RS04385	VQY17_RS00200
OG0000485	GOM18_RS02950	VQY17_RS01205
OG0000486	GOM18_RS02450	VQY17_RS02310
OG0000487	GOM18_RS04430	VQY17_RS02080
OG0000488	GOM18_RS02270	VQY17_RS02120
OG0000489	GOM18_RS00630	VQY17_RS00050
OG0000490	GOM18_RS00570	VQY17_RS03610
OG0000491	GOM18_RS02805	VQY17_RS01365
OG0000492	GOM18_RS02735	VQY17_RS01445
OG0000493	GOM18_RS01685	VQY17_RS00580
OG0000494	GOM18_RS03450	VQY17_RS00640
OG0000495	GOM18_RS01220	VQY17_RS02815
OG0000496	GOM18_RS01230	VQY17_RS02805
OG0000497	GOM18_RS01235	VQY17_RS02800
OG0000498	GOM18_RS03070	VQY17_RS02720
OG0000499	GOM18_RS02140	VQY17_RS02685
OG0000500	GOM18_RS03270	VQY17_RS02005
OG0000501	GOM18_RS01020	VQY17_RS03055
OG0000502	GOM18_RS03150	VQY17_RS01225
OG0000503	GOM18_RS00190	VQY17_RS00760
OG0000504	GOM18_RS00325	VQY17_RS00905
OG0000505	GOM18_RS01860	VQY17_RS00965
OG0000506	GOM18_RS01850	VQY17_RS00975
OG0000507	GOM18_RS01815	VQY17_RS01010
OG0000508	GOM18_RS01360	VQY17_RS00255
OG0000509	GOM18_RS01395	VQY17_RS00290
OG0000510	GOM18_RS01405	VQY17_RS00305
OG0000511	GOM18_RS01540	VQY17_RS00435
OG0000512	GOM18_RS02000	VQY17_RS02545
OG0000513	GOM18_RS00390	VQY17_RS03425
