Orthogroup	MHP_133A_genes	MHP_111A_genes
OG0000302	NB626_RS00415	NB623_RS00400
OG0000303	NB626_RS00660	NB623_RS00555
OG0000304	NB626_RS01200	NB623_RS01210
OG0000305	NB626_RS03065	NB623_RS03045
OG0000306	NB626_RS02990	NB623_RS02970
OG0000307	NB626_RS02950	NB623_RS02930
OG0000308	NB626_RS02850	NB623_RS02835
OG0000309	NB626_RS02785	NB623_RS02765
OG0000310	NB626_RS02705	NB623_RS02680
OG0000311	NB626_RS02660	NB623_RS02635
OG0000312	NB626_RS02645	NB623_RS02620
OG0000313	NB626_RS01705	NB623_RS01715
OG0000314	NB626_RS02085	NB623_RS02140
OG0000315	NB626_RS02115	NB623_RS02110
OG0000316	NB626_RS02125	NB623_RS02100
OG0000317	NB626_RS02225	NB623_RS02005
OG0000318	NB626_RS02130	NB623_RS02095
OG0000319	NB626_RS02385	NB623_RS02370
OG0000320	NB626_RS02525	NB623_RS02500
OG0000321	NB626_RS01450	NB623_RS01450
OG0000322	NB626_RS01500	NB623_RS01500
OG0000323	NB626_RS01630	NB623_RS01630
OG0000324	NB626_RS02425	NB623_RS02410
OG0000325	NB626_RS00805	NB623_RS00705
OG0000326	NB626_RS00910	NB623_RS00805
OG0000327	NB626_RS00915	NB623_RS00810
OG0000328	NB626_RS01005	NB623_RS00895
OG0000329	NB626_RS01035	NB623_RS00915
OG0000330	NB626_RS01225	NB623_RS01235
OG0000331	NB626_RS03155	NB623_RS03135
OG0000332	NB626_RS03300	NB623_RS03270
OG0000333	NB626_RS03310	NB623_RS03280
OG0000334	NB626_RS03415	NB623_RS03380
OG0000335	NB626_RS03425	NB623_RS03390
OG0000336	NB626_RS03605	NB623_RS03590
OG0000337	NB626_RS03780	NB623_RS03765
OG0000338	NB626_RS03820	NB623_RS03805
OG0000339	NB626_RS02495	NB623_RS02475
OG0000340	NB626_RS01430	NB623_RS01430
OG0000341	NB626_RS02450	NB623_RS02435
OG0000342	NB626_RS00835	NB623_RS00735
OG0000343	NB626_RS03320	NB623_RS03290
OG0000344	NB626_RS00675	NB623_RS00570
OG0000345	NB626_RS01145	NB623_RS01155
OG0000346	NB626_RS03610	NB623_RS03595
OG0000347	NB626_RS01525	NB623_RS01525
OG0000348	NB626_RS00920	NB623_RS00815
OG0000349	NB626_RS03675	NB623_RS03655
OG0000350	NB626_RS02940	NB623_RS02920
OG0000351	NB626_RS00590	NB623_RS00480
OG0000352	NB626_RS02065	NB623_RS02160
OG0000353	NB626_RS01490	NB623_RS01490
OG0000354	NB626_RS00735	NB623_RS00630
OG0000355	NB626_RS02040	NB623_RS02185
OG0000356	NB626_RS02120	NB623_RS02105
OG0000357	NB626_RS03275	NB623_RS03245
OG0000358	NB626_RS03280	NB623_RS03250
OG0000359	NB626_RS00880	NB623_RS00780
OG0000360	NB626_RS00275	NB623_RS00265
OG0000361	NB626_RS00305	NB623_RS00295
OG0000362	NB626_RS02725	NB623_RS02705
OG0000363	NB626_RS01565	NB623_RS01565
OG0000364	NB626_RS02015	NB623_RS02210
OG0000365	NB626_RS02175	NB623_RS02060
OG0000366	NB626_RS02195	NB623_RS02035
OG0000367	NB626_RS02205	NB623_RS02025
OG0000368	NB626_RS00060	NB623_RS00060
OG0000369	NB626_RS00025	NB623_RS00025
OG0000370	NB626_RS00020	NB623_RS00020
OG0000371	NB626_RS00015	NB623_RS00015
OG0000372	NB626_RS00010	NB623_RS00010
OG0000373	NB626_RS03810	NB623_RS03795
OG0000374	NB626_RS03800	NB623_RS03785
OG0000375	NB626_RS02380	NB623_RS02365
OG0000376	NB626_RS02540	NB623_RS02515
OG0000377	NB626_RS02530	NB623_RS02505
OG0000379	NB626_RS01485	NB623_RS01485
OG0000380	NB626_RS01520	NB623_RS01515
OG0000381	NB626_RS01555	NB623_RS01555
OG0000382	NB626_RS01585	NB623_RS01585
OG0000383	NB626_RS01625	NB623_RS01625
OG0000384	NB626_RS00615	NB623_RS00510
OG0000385	NB626_RS00625	NB623_RS00520
OG0000386	NB626_RS00640	NB623_RS00535
OG0000387	NB626_RS00665	NB623_RS00560
OG0000388	NB626_RS00670	NB623_RS00565
OG0000389	NB626_RS00715	NB623_RS00610
OG0000390	NB626_RS03085	NB623_RS03065
OG0000391	NB626_RS03075	NB623_RS03055
OG0000392	NB626_RS03050	NB623_RS03030
OG0000393	NB626_RS02995	NB623_RS02975
OG0000394	NB626_RS02915	NB623_RS02895
OG0000395	NB626_RS02910	NB623_RS02890
OG0000396	NB626_RS02605	NB623_RS02580
OG0000397	NB626_RS02050	NB623_RS02175
OG0000398	NB626_RS02060	NB623_RS02170
OG0000399	NB626_RS02100	NB623_RS02125
OG0000400	NB626_RS03240	NB623_RS03210
OG0000401	NB626_RS03305	NB623_RS03275
OG0000402	NB626_RS03315	NB623_RS03285
OG0000403	NB626_RS03325	NB623_RS03295
OG0000404	NB626_RS03360	NB623_RS03325
OG0000405	NB626_RS03375	NB623_RS03340
OG0000406	NB626_RS03430	NB623_RS03395
OG0000407	NB626_RS03435	NB623_RS03400
OG0000408	NB626_RS03440	NB623_RS03405
OG0000409	NB626_RS03445	NB623_RS03410
OG0000410	NB626_RS03510	NB623_RS03495
OG0000411	NB626_RS03495	NB623_RS03480
OG0000413	NB626_RS01640	NB623_RS01640
OG0000414	NB626_RS01650	NB623_RS01650
OG0000415	NB626_RS01655	NB623_RS01655
OG0000416	NB626_RS01665	NB623_RS01665
OG0000417	NB626_RS02445	NB623_RS02430
OG0000418	NB626_RS02435	NB623_RS02420
OG0000419	NB626_RS00815	NB623_RS00715
OG0000420	NB626_RS00850	NB623_RS00750
OG0000421	NB626_RS00895	NB623_RS00790
OG0000422	NB626_RS00905	NB623_RS00800
OG0000423	NB626_RS00965	NB623_RS00855
OG0000424	NB626_RS00970	NB623_RS00860
OG0000425	NB626_RS00980	NB623_RS00870
OG0000426	NB626_RS00985	NB623_RS00875
OG0000427	NB626_RS01010	NB623_RS00900
OG0000428	NB626_RS01040	NB623_RS00925
OG0000429	NB626_RS01135	NB623_RS01145
OG0000431	NB626_RS01190	NB623_RS01200
OG0000432	NB626_RS01220	NB623_RS01230
OG0000433	NB626_RS01235	NB623_RS01245
OG0000434	NB626_RS01245	NB623_RS01255
OG0000435	NB626_RS01255	NB623_RS01265
OG0000436	NB626_RS01280	NB623_RS01290
OG0000437	NB626_RS01290	NB623_RS01300
OG0000438	NB626_RS01295	NB623_RS01305
OG0000439	NB626_RS01300	NB623_RS01310
OG0000440	NB626_RS03135	NB623_RS03115
OG0000441	NB626_RS03180	NB623_RS03150
OG0000442	NB626_RS00145	NB623_RS00135
OG0000443	NB626_RS00190	NB623_RS00180
OG0000444	NB626_RS00205	NB623_RS00195
OG0000445	NB626_RS00230	NB623_RS00220
OG0000446	NB626_RS00255	NB623_RS00245
OG0000447	NB626_RS00265	NB623_RS00255
OG0000448	NB626_RS00290	NB623_RS00280
OG0000449	NB626_RS00315	NB623_RS00305
OG0000450	NB626_RS00325	NB623_RS00315
OG0000451	NB626_RS00370	NB623_RS00355
OG0000452	NB626_RS00395	NB623_RS00380
OG0000453	NB626_RS00525	NB623_RS00415
OG0000455	NB626_RS03720	NB623_RS03705
OG0000456	NB626_RS03595	NB623_RS03580
OG0000457	NB626_RS03565	NB623_RS03545
OG0000458	NB626_RS02695	NB623_RS02670
OG0000459	NB626_RS02720	NB623_RS02700
OG0000460	NB626_RS02730	NB623_RS02710
OG0000461	NB626_RS02775	NB623_RS02755
OG0000462	NB626_RS02770	NB623_RS02750
OG0000463	NB626_RS02765	NB623_RS02745
OG0000464	NB626_RS02760	NB623_RS02740
OG0000465	NB626_RS02755	NB623_RS02735
OG0000466	NB626_RS00400	NB623_RS00385
OG0000467	NB626_RS02860	NB623_RS02845
OG0000468	NB626_RS02095	NB623_RS02130
OG0000469	NB626_RS02160	NB623_RS02070
OG0000470	NB626_RS00960	NB623_RS00850
OG0000471	NB626_RS01045	NB623_RS00930
OG0000472	NB626_RS03515	NB623_RS03500
OG0000473	NB626_RS03705	NB623_RS03690
OG0000474	NB626_RS03710	NB623_RS03695
OG0000475	NB626_RS03715	NB623_RS03700
OG0000476	NB626_RS01675	NB623_RS01675
OG0000477	NB626_RS02805	NB623_RS02785
OG0000478	NB626_RS03650	NB623_RS03630
OG0000479	NB626_RS01445	NB623_RS01445
OG0000480	NB626_RS02165	NB623_RS02065
OG0000481	NB626_RS00935	NB623_RS00825
OG0000482	NB626_RS01325	NB623_RS01330
OG0000483	NB626_RS02210	NB623_RS02020
OG0000484	NB626_RS00200	NB623_RS00190
OG0000485	NB626_RS01285	NB623_RS01295
OG0000486	NB626_RS02465	NB623_RS02450
OG0000488	NB626_RS02180	NB623_RS02055
OG0000490	NB626_RS03815	NB623_RS03800
OG0000493	NB626_RS00680	NB623_RS00575
OG0000494	NB626_RS00740	NB623_RS00635
OG0000496	NB626_RS03010	NB623_RS02990
OG0000497	NB626_RS03005	NB623_RS02985
OG0000498	NB626_RS02920	NB623_RS02900
OG0000499	NB626_RS02885	NB623_RS02865
OG0000501	NB626_RS03250	NB623_RS03220
OG0000502	NB626_RS01315	NB623_RS01320
OG0000503	NB626_RS00865	NB623_RS00765
OG0000504	NB626_RS01015	NB623_RS00905
OG0000505	NB626_RS01055	NB623_RS01065
OG0000507	NB626_RS01100	NB623_RS01110
OG0000509	NB626_RS00285	NB623_RS00275
OG0000510	NB626_RS00295	NB623_RS00285
OG0000511	NB626_RS00530	NB623_RS00420
OG0000512	NB626_RS02735	NB623_RS02715
OG0000514	NB626_RS03045	NB623_RS03025
OG0000517	NB626_RS00065	NB623_RS00065
OG0000519	NB626_RS00900	NB623_RS00795
OG0000522	NB626_RS00300	NB623_RS00290
OG0000523	NB626_RS03560	NB623_RS03540
OG0000524	NB626_RS02855	NB623_RS02840
OG0000525	NB626_RS03520	NB623_RS03505
OG0000526	NB626_RS01960	NB623_RS02260
OG0000527	NB626_RS01900	NB623_RS02315
OG0000532	NB626_RS01730, NB626_RS01735	NB623_RS01745
OG0000534	NB626_RS00385	NB623_RS00370
OG0000536	NB626_RS03750	NB623_RS03735
OG0000540	NB626_RS02825	NB623_RS02805
OG0000541	NB626_RS02900	NB623_RS02880
OG0000543	NB626_RS00510	NB623_RS01930
OG0000544	NB626_RS01370	NB623_RS01375
OG0000545	NB626_RS01945	NB623_RS02270
OG0000546	NB626_RS02970	NB623_RS02950
OG0000552	NB626_RS03335	NB623_RS03300
OG0000553	NB626_RS02870	NB623_RS02855
OG0000554	NB626_RS02560	NB623_RS02535
OG0000555	NB626_RS03100	NB623_RS03080
OG0000556	NB626_RS00450	NB623_RS01970
OG0000557	NB626_RS01380	NB623_RS01385
OG0000558	NB626_RS01350	NB623_RS01355
OG0000559	NB626_RS01815	NB623_RS01825
OG0000560	NB626_RS01930	NB623_RS02290
OG0000561	NB626_RS01230	NB623_RS01240
OG0000562	NB626_RS01935	NB623_RS02280
OG0000563	NB626_RS01925	NB623_RS02295
OG0000564	NB626_RS01410	NB623_RS01405
OG0000565	NB626_RS02000	NB623_RS02220
OG0000566	NB626_RS01980	NB623_RS02240
OG0000567	NB626_RS01950	NB623_RS02265
OG0000568	NB626_RS00785	NB623_RS00685
OG0000569	NB626_RS01355	NB623_RS01360
OG0000570	NB626_RS01360	NB623_RS01365
OG0000571	NB626_RS01365	NB623_RS01370
OG0000572	NB626_RS01385	NB623_RS01390
OG0000573	NB626_RS01810	NB623_RS01820
OG0000574	NB626_RS01425	NB623_RS01425
OG0000575	NB626_RS01345	NB623_RS01350
OG0000576	NB626_RS01765	NB623_RS01775
OG0000577	NB626_RS02840	NB623_RS02825
OG0000578	NB626_RS02865	NB623_RS02850
OG0000579	NB626_RS01910	NB623_RS02305
