Orthogroup	MHP_133A_genes	MHP_UFV02_genes
OG0000032	NB626_RS03545	FEF31_RS03020
OG0000035	NB626_RS03395	FEF31_RS03765
OG0000036	NB626_RS00115	FEF31_RS03385
OG0000036	NB626_RS00130	FEF31_RS03400
OG0000038	NB626_RS01885	FEF31_RS01510
OG0000039	NB626_RS01720	FEF31_RS01275
OG0000040	NB626_RS03470	FEF31_RS03890
OG0000041	NB626_RS00770	FEF31_RS00330
OG0000042	NB626_RS03120	FEF31_RS02675
OG0000043	NB626_RS02045	FEF31_RS01660, FEF31_RS01455
OG0000044	NB626_RS01790	FEF31_RS04775
OG0000044	NB626_RS01915	FEF31_RS01545
OG0000045	NB626_RS01725	FEF31_RS01280, FEF31_RS01285
OG0000046	NB626_RS03480	FEF31_RS02960, FEF31_RS02245
OG0000048	NB626_RS02235	FEF31_RS01845
OG0000049	NB626_RS03235	FEF31_RS03620
OG0000050	NB626_RS02625	FEF31_RS02180
OG0000051	NB626_RS02835	FEF31_RS02395
OG0000052	NB626_RS00075	FEF31_RS03360
OG0000053	NB626_RS01570	FEF31_RS04425
OG0000054	NB626_RS02650	FEF31_RS02205
OG0000055	NB626_RS00135	FEF31_RS03405
OG0000056	NB626_RS03740	FEF31_RS03205
OG0000057	NB626_RS03105	FEF31_RS02660
OG0000058	NB626_RS00425	FEF31_RS01470
OG0000059	NB626_RS00455	FEF31_RS01460
OG0000061	NB626_RS01985	FEF31_RS01245
OG0000062	NB626_RS03790	FEF31_RS03250
OG0000063	NB626_RS03785	FEF31_RS04645
OG0000064	NB626_RS03775	FEF31_RS03235
OG0000065	NB626_RS02405	FEF31_RS01990
OG0000066	NB626_RS01470	FEF31_RS01015
OG0000068	NB626_RS00745	FEF31_RS00305
OG0000069	NB626_RS03000	FEF31_RS02555
OG0000070	NB626_RS02655	FEF31_RS02210
OG0000071	NB626_RS03460	FEF31_RS03835
OG0000072	NB626_RS03465	FEF31_RS04700
OG0000073	NB626_RS00810	FEF31_RS00360
OG0000074	NB626_RS01020, NB626_RS01025	FEF31_RS04395
OG0000076	NB626_RS00355	FEF31_RS00020
OG0000077	NB626_RS00540	FEF31_RS00105
OG0000078	NB626_RS01795	FEF31_RS01340
OG0000079	NB626_RS02740	FEF31_RS02300
OG0000080	NB626_RS02790	FEF31_RS02345
OG0000081	NB626_RS00335	FEF31_RS03610
OG0000083	NB626_RS02155	FEF31_RS01765
OG0000084	NB626_RS02185	FEF31_RS01795
OG0000085	NB626_RS02190	FEF31_RS01800
OG0000086	NB626_RS02200	FEF31_RS01810
OG0000087	NB626_RS02215	FEF31_RS01825
OG0000088	NB626_RS02220	FEF31_RS01830
OG0000089	NB626_RS02230	FEF31_RS01840
OG0000090	NB626_RS00070	FEF31_RS03355
OG0000091	NB626_RS00055	FEF31_RS03340
OG0000092	NB626_RS00045	FEF31_RS03325
OG0000093	NB626_RS00035	FEF31_RS03320
OG0000094	NB626_RS00030	FEF31_RS03315
OG0000095	NB626_RS00005	FEF31_RS03290
OG0000096	NB626_RS03825	FEF31_RS03285
OG0000097	NB626_RS03805	FEF31_RS03265
OG0000098	NB626_RS03795	FEF31_RS03255
OG0000099	NB626_RS03745	FEF31_RS04640
OG0000100	NB626_RS03730	FEF31_RS03195
OG0000101	NB626_RS03725	FEF31_RS03190
OG0000102	NB626_RS01820	FEF31_RS01365
OG0000103	NB626_RS02370	FEF31_RS01955
OG0000104	NB626_RS02375	FEF31_RS01960
OG0000105	NB626_RS02395	FEF31_RS01975
OG0000106	NB626_RS02400	FEF31_RS01985
OG0000107	NB626_RS02410	FEF31_RS01995
OG0000108	NB626_RS02415	FEF31_RS02000
OG0000109	NB626_RS02420	FEF31_RS02005
OG0000110	NB626_RS02550	FEF31_RS02120
OG0000111	NB626_RS02545	FEF31_RS02115
OG0000112	NB626_RS02535	FEF31_RS02105
OG0000113	NB626_RS02510	FEF31_RS02085
OG0000114	NB626_RS02500	FEF31_RS02075
OG0000115	NB626_RS02490	FEF31_RS02065
OG0000116	NB626_RS01415	FEF31_RS00955
OG0000117	NB626_RS01420	FEF31_RS00960
OG0000118	NB626_RS01455	FEF31_RS00995
OG0000119	NB626_RS01460	FEF31_RS01000
OG0000120	NB626_RS01475	FEF31_RS01020
OG0000121	NB626_RS01505	FEF31_RS01045
OG0000122	NB626_RS01510	FEF31_RS01050
OG0000123	NB626_RS01530	FEF31_RS01070
OG0000124	NB626_RS01535	FEF31_RS01075
OG0000125	NB626_RS01540	FEF31_RS01080
OG0000126	NB626_RS01550	FEF31_RS01090
OG0000127	NB626_RS01560	FEF31_RS01100
OG0000128	NB626_RS01575	FEF31_RS01115
OG0000129	NB626_RS01580	FEF31_RS01120
OG0000130	NB626_RS01590	FEF31_RS01130
OG0000131	NB626_RS01620	FEF31_RS01160
OG0000132	NB626_RS01635	FEF31_RS04430
OG0000133	NB626_RS00630	FEF31_RS00190
OG0000134	NB626_RS00635	FEF31_RS00195
OG0000135	NB626_RS00650	FEF31_RS00210
OG0000136	NB626_RS00655	FEF31_RS00215
OG0000137	NB626_RS00685	FEF31_RS00245
OG0000138	NB626_RS00720	FEF31_RS00280
OG0000139	NB626_RS00750	FEF31_RS00310
OG0000140	NB626_RS00755	FEF31_RS00315
OG0000141	NB626_RS03115	FEF31_RS02670
OG0000142	NB626_RS03110	FEF31_RS04555
OG0000143	NB626_RS03095	FEF31_RS02645
OG0000144	NB626_RS03080	FEF31_RS02635
OG0000145	NB626_RS03070	FEF31_RS02625
OG0000146	NB626_RS03060	FEF31_RS02615
OG0000147	NB626_RS03055	FEF31_RS02610
OG0000148	NB626_RS03040	FEF31_RS02595
OG0000149	NB626_RS03030	FEF31_RS02585
OG0000150	NB626_RS03025	FEF31_RS02570
OG0000151	NB626_RS02965	FEF31_RS02525
OG0000152	NB626_RS02960	FEF31_RS02520
OG0000153	NB626_RS02955	FEF31_RS02515
OG0000154	NB626_RS02945	FEF31_RS02505
OG0000155	NB626_RS02905	FEF31_RS02465
OG0000156	NB626_RS02895	FEF31_RS02455
OG0000157	NB626_RS02890	FEF31_RS04545
OG0000158	NB626_RS02880	FEF31_RS04540
OG0000159	NB626_RS02640	FEF31_RS02195
OG0000160	NB626_RS02635	FEF31_RS02190
OG0000161	NB626_RS02630	FEF31_RS02185
OG0000162	NB626_RS02620	FEF31_RS02175
OG0000163	NB626_RS02615	FEF31_RS02170
OG0000164	NB626_RS01715	FEF31_RS01270
OG0000165	NB626_RS02075	FEF31_RS01685
OG0000166	NB626_RS02090	FEF31_RS01705
OG0000167	NB626_RS02105	FEF31_RS01720
OG0000168	NB626_RS02110	FEF31_RS01725
OG0000169	NB626_RS03230	FEF31_RS03615
OG0000170	NB626_RS03245	FEF31_RS04785, FEF31_RS04795
OG0000171	NB626_RS03255	FEF31_RS03640
OG0000172	NB626_RS03260	FEF31_RS03645
OG0000173	NB626_RS03265	FEF31_RS03650
OG0000174	NB626_RS03270	FEF31_RS03655
OG0000175	NB626_RS03290	FEF31_RS03670
OG0000176	NB626_RS03345	FEF31_RS03715
OG0000177	NB626_RS03350	FEF31_RS03720
OG0000178	NB626_RS03355	FEF31_RS03725
OG0000179	NB626_RS03365	FEF31_RS03735
OG0000180	NB626_RS03370	FEF31_RS03740
OG0000181	NB626_RS03410	FEF31_RS04690
OG0000182	NB626_RS03420	FEF31_RS03795
OG0000183	NB626_RS03455	FEF31_RS03830
OG0000184	NB626_RS03500	FEF31_RS02980
OG0000185	NB626_RS03485	FEF31_RS02965
OG0000186	NB626_RS01645	FEF31_RS04435
OG0000187	NB626_RS01660	FEF31_RS01200
OG0000188	NB626_RS01670	FEF31_RS01210
OG0000189	NB626_RS02460	FEF31_RS04520
OG0000190	NB626_RS02455	FEF31_RS02035
OG0000191	NB626_RS02430	FEF31_RS02015
OG0000192	NB626_RS01335	FEF31_RS00875
OG0000193	NB626_RS01320	FEF31_RS00860
OG0000194	NB626_RS00790	FEF31_RS00345
OG0000195	NB626_RS00795	FEF31_RS00350
OG0000196	NB626_RS00820	FEF31_RS00370
OG0000197	NB626_RS00830	FEF31_RS00375
OG0000198	NB626_RS00840	FEF31_RS00390
OG0000199	NB626_RS00845	FEF31_RS00395
OG0000200	NB626_RS00860	FEF31_RS00410
OG0000201	NB626_RS00870	FEF31_RS00420
OG0000202	NB626_RS00940	FEF31_RS00475
OG0000203	NB626_RS00945	FEF31_RS00480
OG0000204	NB626_RS00950	FEF31_RS00485
OG0000205	NB626_RS00955	FEF31_RS00490
OG0000206	NB626_RS00975	FEF31_RS00510
OG0000207	NB626_RS00990	FEF31_RS00525
OG0000208	NB626_RS00995	FEF31_RS00530
OG0000209	NB626_RS01000	FEF31_RS00535
OG0000210	NB626_RS01050	FEF31_RS00580
OG0000211	NB626_RS01065	FEF31_RS00590
OG0000212	NB626_RS01070	FEF31_RS00600
OG0000213	NB626_RS01075	FEF31_RS00605
OG0000214	NB626_RS01080	FEF31_RS00610
OG0000215	NB626_RS01085	FEF31_RS00615
OG0000216	NB626_RS01090	FEF31_RS00620
OG0000217	NB626_RS01095	FEF31_RS00625
OG0000218	NB626_RS01105	FEF31_RS00635
OG0000219	NB626_RS01110	FEF31_RS00640
OG0000220	NB626_RS01115	FEF31_RS00645
OG0000221	NB626_RS01120	FEF31_RS00650
OG0000222	NB626_RS01125	FEF31_RS00655
OG0000223	NB626_RS01130	FEF31_RS00660
OG0000224	NB626_RS01140	FEF31_RS00670
OG0000225	NB626_RS01150	FEF31_RS00680
OG0000226	NB626_RS01155	FEF31_RS00685
OG0000227	NB626_RS01160	FEF31_RS00690
OG0000228	NB626_RS01165	FEF31_RS04770
OG0000229	NB626_RS01170	FEF31_RS00700
OG0000230	NB626_RS01180	FEF31_RS00705
OG0000231	NB626_RS01185	FEF31_RS00715
OG0000232	NB626_RS01195	FEF31_RS00725
OG0000233	NB626_RS01215	FEF31_RS00750
OG0000234	NB626_RS01250	FEF31_RS00785
OG0000235	NB626_RS01260	FEF31_RS00795
OG0000236	NB626_RS01265	FEF31_RS00800
OG0000237	NB626_RS01270	FEF31_RS00805
OG0000238	NB626_RS01275	FEF31_RS00810
OG0000239	NB626_RS03125	FEF31_RS02680
OG0000240	NB626_RS03130	FEF31_RS02685
OG0000241	NB626_RS03140	FEF31_RS02695
OG0000242	NB626_RS03145	FEF31_RS02700
OG0000243	NB626_RS03150	FEF31_RS02705
OG0000244	NB626_RS03160	FEF31_RS02715
OG0000245	NB626_RS03170	FEF31_RS02720
OG0000246	NB626_RS00140	FEF31_RS03410
OG0000247	NB626_RS00150	FEF31_RS03420
OG0000248	NB626_RS00160	FEF31_RS03430
OG0000249	NB626_RS00165	FEF31_RS03435
OG0000250	NB626_RS00180	FEF31_RS03450
OG0000251	NB626_RS00215	FEF31_RS03480
OG0000252	NB626_RS00220	FEF31_RS03490
OG0000253	NB626_RS00225	FEF31_RS03495
OG0000254	NB626_RS00235	FEF31_RS03505
OG0000255	NB626_RS00240	FEF31_RS03510
OG0000256	NB626_RS00250	FEF31_RS03515
OG0000257	NB626_RS00270	FEF31_RS03540
OG0000258	NB626_RS00280	FEF31_RS03550
OG0000259	NB626_RS00310	FEF31_RS03580
OG0000260	NB626_RS00320	FEF31_RS03590
OG0000261	NB626_RS00330	FEF31_RS04680
OG0000262	NB626_RS00350	FEF31_RS00010
OG0000263	NB626_RS00365	FEF31_RS00025
OG0000264	NB626_RS00380	FEF31_RS00040
OG0000265	NB626_RS00390	FEF31_RS00050
OG0000266	NB626_RS00405	FEF31_RS00065
OG0000267	NB626_RS00420	FEF31_RS00080
OG0000268	NB626_RS00520	FEF31_RS00085
OG0000269	NB626_RS00535	FEF31_RS00100
OG0000270	NB626_RS03700	FEF31_RS04635
OG0000271	NB626_RS03695	FEF31_RS03160
OG0000272	NB626_RS03690	FEF31_RS03155
OG0000273	NB626_RS03685	FEF31_RS03150
OG0000274	NB626_RS03670	FEF31_RS03130
OG0000275	NB626_RS03660	FEF31_RS04625
OG0000276	NB626_RS03655	FEF31_RS03120
OG0000277	NB626_RS03645	FEF31_RS03110
OG0000278	NB626_RS03640	FEF31_RS03105
OG0000279	NB626_RS03630	FEF31_RS03095
OG0000280	NB626_RS03620	FEF31_RS03090
OG0000281	NB626_RS03615	FEF31_RS03085
OG0000282	NB626_RS03590	FEF31_RS04615
OG0000283	NB626_RS03585	FEF31_RS03055
OG0000284	NB626_RS03580	FEF31_RS03050
OG0000285	NB626_RS03575	FEF31_RS04610
OG0000286	NB626_RS02600	FEF31_RS02155
OG0000287	NB626_RS02700	FEF31_RS02260
OG0000288	NB626_RS02710	FEF31_RS02270
OG0000289	NB626_RS02715	FEF31_RS02275
OG0000290	NB626_RS02830	FEF31_RS02385
OG0000291	NB626_RS02820	FEF31_RS02375
OG0000292	NB626_RS02815	FEF31_RS02370
OG0000293	NB626_RS02810	FEF31_RS02365
OG0000294	NB626_RS02800	FEF31_RS02355
OG0000295	NB626_RS02795	FEF31_RS02350
OG0000296	NB626_RS02750	FEF31_RS02310
OG0000297	NB626_RS02745	FEF31_RS02305
OG0000298	NB626_RS00175	FEF31_RS03445
OG0000299	NB626_RS00195	FEF31_RS03465
OG0000300	NB626_RS00375	FEF31_RS00035
OG0000301	NB626_RS00410	FEF31_RS00070
OG0000302	NB626_RS00415	FEF31_RS00075
OG0000303	NB626_RS00660	FEF31_RS00220
OG0000304	NB626_RS01200	FEF31_RS00730
OG0000305	NB626_RS03065	FEF31_RS02620
OG0000306	NB626_RS02990	FEF31_RS02545
OG0000307	NB626_RS02950	FEF31_RS02510
OG0000308	NB626_RS02850	FEF31_RS02405
OG0000309	NB626_RS02785	FEF31_RS02340
OG0000310	NB626_RS02705	FEF31_RS02265
OG0000311	NB626_RS02660	FEF31_RS02215
OG0000312	NB626_RS02645	FEF31_RS02200
OG0000313	NB626_RS01705	FEF31_RS01260
OG0000314	NB626_RS02085	FEF31_RS01700
OG0000315	NB626_RS02115	FEF31_RS01730
OG0000316	NB626_RS02125	FEF31_RS01740
OG0000317	NB626_RS02225	FEF31_RS01835
OG0000318	NB626_RS02130	FEF31_RS04480
OG0000319	NB626_RS02385	FEF31_RS01970
OG0000320	NB626_RS02525	FEF31_RS02095
OG0000321	NB626_RS01450	FEF31_RS00990
OG0000322	NB626_RS01500	FEF31_RS01040
OG0000323	NB626_RS01630	FEF31_RS01170
OG0000324	NB626_RS02425	FEF31_RS02010
OG0000325	NB626_RS00805	FEF31_RS00355
OG0000326	NB626_RS00910	FEF31_RS00450
OG0000327	NB626_RS00915	FEF31_RS00455
OG0000328	NB626_RS01005	FEF31_RS00540
OG0000329	NB626_RS01035	FEF31_RS00560
OG0000330	NB626_RS01225	FEF31_RS00760
OG0000331	NB626_RS03155	FEF31_RS02710
OG0000332	NB626_RS03300	FEF31_RS03680
OG0000333	NB626_RS03310	FEF31_RS03690
OG0000334	NB626_RS03415	FEF31_RS03790
OG0000335	NB626_RS03425	FEF31_RS03800
OG0000336	NB626_RS03605	FEF31_RS04620
OG0000337	NB626_RS03780	FEF31_RS03240
OG0000338	NB626_RS03820	FEF31_RS03280
OG0000339	NB626_RS02495	FEF31_RS02070
OG0000340	NB626_RS01430	FEF31_RS00970
OG0000341	NB626_RS02450	FEF31_RS02030
OG0000342	NB626_RS00835	FEF31_RS00385
OG0000343	NB626_RS03320	FEF31_RS03700
OG0000344	NB626_RS00675	FEF31_RS00235
OG0000345	NB626_RS01145	FEF31_RS00675
OG0000346	NB626_RS03610	FEF31_RS03080
OG0000347	NB626_RS01525	FEF31_RS01065
OG0000348	NB626_RS00920	FEF31_RS00460
OG0000349	NB626_RS03675	FEF31_RS04630
OG0000350	NB626_RS02940	FEF31_RS02500
OG0000351	NB626_RS00590	FEF31_RS00155
OG0000352	NB626_RS02065	FEF31_RS01680
OG0000353	NB626_RS01490	FEF31_RS01035
OG0000354	NB626_RS00735	FEF31_RS00295
OG0000355	NB626_RS02040	FEF31_RS04470
OG0000356	NB626_RS02120	FEF31_RS04475
OG0000357	NB626_RS03275	FEF31_RS04685
OG0000358	NB626_RS03280	FEF31_RS03665
OG0000359	NB626_RS00880	FEF31_RS04380
OG0000360	NB626_RS00275	FEF31_RS03545
OG0000361	NB626_RS00305	FEF31_RS03575
OG0000362	NB626_RS02725	FEF31_RS02285
OG0000363	NB626_RS01565	FEF31_RS01105
OG0000364	NB626_RS02015	FEF31_RS01635
OG0000365	NB626_RS02175	FEF31_RS01785
OG0000366	NB626_RS02195	FEF31_RS01805
OG0000367	NB626_RS02205	FEF31_RS01815
OG0000368	NB626_RS00060	FEF31_RS03345
OG0000369	NB626_RS00025	FEF31_RS04650
OG0000370	NB626_RS00020	FEF31_RS03305
OG0000371	NB626_RS00015	FEF31_RS03300
OG0000372	NB626_RS00010	FEF31_RS03295
OG0000373	NB626_RS03810	FEF31_RS03270
OG0000374	NB626_RS03800	FEF31_RS03260
OG0000375	NB626_RS02380	FEF31_RS01965
OG0000376	NB626_RS02540	FEF31_RS02110
OG0000377	NB626_RS02530	FEF31_RS02100
OG0000379	NB626_RS01485	FEF31_RS01030
OG0000380	NB626_RS01520	FEF31_RS01055
OG0000381	NB626_RS01555	FEF31_RS01095
OG0000382	NB626_RS01585	FEF31_RS01125
OG0000383	NB626_RS01625	FEF31_RS01165
OG0000384	NB626_RS00615	FEF31_RS00175
OG0000385	NB626_RS00625	FEF31_RS00180
OG0000386	NB626_RS00640	FEF31_RS00200
OG0000387	NB626_RS00665	FEF31_RS00225
OG0000388	NB626_RS00670	FEF31_RS04370
OG0000389	NB626_RS00715	FEF31_RS00275
OG0000390	NB626_RS03085	FEF31_RS02640
OG0000391	NB626_RS03075	FEF31_RS02630
OG0000392	NB626_RS03050	FEF31_RS02605
OG0000393	NB626_RS02995	FEF31_RS04550
OG0000394	NB626_RS02915	FEF31_RS02475
OG0000395	NB626_RS02910	FEF31_RS02470
OG0000396	NB626_RS02605	FEF31_RS02160
OG0000397	NB626_RS02050	FEF31_RS01665
OG0000398	NB626_RS02060	FEF31_RS01670
OG0000399	NB626_RS02100	FEF31_RS01715
OG0000400	NB626_RS03240	FEF31_RS03625
OG0000401	NB626_RS03305	FEF31_RS03685
OG0000402	NB626_RS03315	FEF31_RS03695
OG0000403	NB626_RS03325	FEF31_RS03705
OG0000404	NB626_RS03360	FEF31_RS03730
OG0000405	NB626_RS03375	FEF31_RS04800
OG0000406	NB626_RS03430	FEF31_RS03805
OG0000407	NB626_RS03435	FEF31_RS04695
OG0000408	NB626_RS03440	FEF31_RS03815
OG0000409	NB626_RS03445	FEF31_RS03820
OG0000410	NB626_RS03510	FEF31_RS02985
OG0000411	NB626_RS03495	FEF31_RS02975
OG0000412	NB626_RS03490	FEF31_RS02970
OG0000413	NB626_RS01640	FEF31_RS01180
OG0000414	NB626_RS01650	FEF31_RS01190
OG0000415	NB626_RS01655	FEF31_RS01195
OG0000416	NB626_RS01665	FEF31_RS01205
OG0000417	NB626_RS02445	FEF31_RS02025
OG0000418	NB626_RS02435	FEF31_RS02020
OG0000419	NB626_RS00815	FEF31_RS00365
OG0000420	NB626_RS00850	FEF31_RS00400
OG0000421	NB626_RS00895	FEF31_RS00435
OG0000422	NB626_RS00905	FEF31_RS00445
OG0000423	NB626_RS00965	FEF31_RS00500
OG0000424	NB626_RS00970	FEF31_RS00505
OG0000425	NB626_RS00980	FEF31_RS00515
OG0000426	NB626_RS00985	FEF31_RS04385
OG0000427	NB626_RS01010	FEF31_RS04390
OG0000428	NB626_RS01040	FEF31_RS00570
OG0000429	NB626_RS01135	FEF31_RS00665
OG0000431	NB626_RS01190	FEF31_RS00720
OG0000432	NB626_RS01220	FEF31_RS00755
OG0000433	NB626_RS01235	FEF31_RS00770
OG0000434	NB626_RS01245	FEF31_RS00775
OG0000435	NB626_RS01255	FEF31_RS00790
OG0000436	NB626_RS01280	FEF31_RS00815
OG0000437	NB626_RS01290	FEF31_RS00825
OG0000438	NB626_RS01295	FEF31_RS00830
OG0000439	NB626_RS01300	FEF31_RS04400
OG0000440	NB626_RS03135	FEF31_RS02690
OG0000441	NB626_RS03180	FEF31_RS02725
OG0000442	NB626_RS00145	FEF31_RS03415
OG0000443	NB626_RS00190	FEF31_RS03460
OG0000444	NB626_RS00205	FEF31_RS03475
OG0000445	NB626_RS00230	FEF31_RS03500
OG0000446	NB626_RS00255	FEF31_RS03525
OG0000447	NB626_RS00265	FEF31_RS03530
OG0000448	NB626_RS00290	FEF31_RS03560
OG0000449	NB626_RS00315	FEF31_RS03585
OG0000450	NB626_RS00325	FEF31_RS03595
OG0000451	NB626_RS00370	FEF31_RS00030
OG0000452	NB626_RS00395	FEF31_RS00055
OG0000453	NB626_RS00525	FEF31_RS00090
OG0000455	NB626_RS03720	FEF31_RS03185
OG0000456	NB626_RS03595	FEF31_RS03065
OG0000457	NB626_RS03565	FEF31_RS03040
OG0000458	NB626_RS02695	FEF31_RS02255
OG0000459	NB626_RS02720	FEF31_RS02280
OG0000460	NB626_RS02730	FEF31_RS02290
OG0000461	NB626_RS02775	FEF31_RS02335
OG0000462	NB626_RS02770	FEF31_RS02330
OG0000463	NB626_RS02765	FEF31_RS02325
OG0000464	NB626_RS02760	FEF31_RS02320
OG0000465	NB626_RS02755	FEF31_RS02315
OG0000466	NB626_RS00400	FEF31_RS00060
OG0000467	NB626_RS02860	FEF31_RS04530
OG0000468	NB626_RS02095	FEF31_RS01710
OG0000469	NB626_RS02160	FEF31_RS01770
OG0000470	NB626_RS00960	FEF31_RS00495
OG0000471	NB626_RS01045	FEF31_RS00575
OG0000472	NB626_RS03515	FEF31_RS02995
OG0000473	NB626_RS03705	FEF31_RS03170
OG0000474	NB626_RS03710	FEF31_RS03175
OG0000475	NB626_RS03715	FEF31_RS03180
OG0000476	NB626_RS01675	FEF31_RS01215
OG0000477	NB626_RS02805	FEF31_RS02360
OG0000478	NB626_RS03650	FEF31_RS03115
OG0000479	NB626_RS01445	FEF31_RS00985
OG0000480	NB626_RS02165	FEF31_RS01775
OG0000481	NB626_RS00935	FEF31_RS00470
OG0000482	NB626_RS01325	FEF31_RS00865
OG0000483	NB626_RS02210	FEF31_RS01820
OG0000484	NB626_RS00200	FEF31_RS04675
OG0000485	NB626_RS01285	FEF31_RS00820
OG0000486	NB626_RS02465	FEF31_RS02045
OG0000487	NB626_RS02150	FEF31_RS04485
OG0000488	NB626_RS02180	FEF31_RS01790
OG0000489	NB626_RS00050	FEF31_RS03335
OG0000490	NB626_RS03815	FEF31_RS03275
OG0000491	NB626_RS01465	FEF31_RS01005
OG0000492	NB626_RS01545	FEF31_RS01085
OG0000493	NB626_RS00680	FEF31_RS00240
OG0000494	NB626_RS00740	FEF31_RS00300
OG0000496	NB626_RS03010	FEF31_RS02565
OG0000497	NB626_RS03005	FEF31_RS02560
OG0000498	NB626_RS02920	FEF31_RS02480
OG0000499	NB626_RS02885	FEF31_RS02445
OG0000502	NB626_RS01315	FEF31_RS00855
OG0000503	NB626_RS00865	FEF31_RS00415
OG0000504	NB626_RS01015	FEF31_RS00550
OG0000505	NB626_RS01055	FEF31_RS00585
OG0000507	NB626_RS01100	FEF31_RS00630
OG0000509	NB626_RS00285	FEF31_RS03555
OG0000510	NB626_RS00295	FEF31_RS03565
OG0000511	NB626_RS00530	FEF31_RS00095
OG0000512	NB626_RS02735	FEF31_RS02295
OG0000513	NB626_RS03635	FEF31_RS03100
OG0000514	NB626_RS03045	FEF31_RS02600
OG0000517	NB626_RS00065	FEF31_RS03350
OG0000518	NB626_RS03295	FEF31_RS03675
OG0000519	NB626_RS00900	FEF31_RS00440
OG0000522	NB626_RS00300	FEF31_RS03570
OG0000523	NB626_RS03560	FEF31_RS03035
OG0000524	NB626_RS02855	FEF31_RS02410
OG0000525	NB626_RS03520	FEF31_RS04585
OG0000526	NB626_RS01960, NB626_RS01955	FEF31_RS01585
OG0000527	NB626_RS01900	FEF31_RS01525
OG0000530	NB626_RS02505	FEF31_RS02080
OG0000532	NB626_RS01735	FEF31_RS01290
OG0000533	NB626_RS00700	FEF31_RS00260
OG0000534	NB626_RS00385	FEF31_RS00045
OG0000536	NB626_RS03750	FEF31_RS03215
OG0000540	NB626_RS02825	FEF31_RS02380
OG0000541	NB626_RS02900	FEF31_RS02460
OG0000544	NB626_RS01370	FEF31_RS04410
OG0000545	NB626_RS01945	FEF31_RS01575, FEF31_RS01570
OG0000546	NB626_RS02970	FEF31_RS02530
OG0000553	NB626_RS02870	FEF31_RS04535
OG0000554	NB626_RS02560	FEF31_RS02125
OG0000555	NB626_RS03100	FEF31_RS02655
OG0000557	NB626_RS01380	FEF31_RS00920
OG0000558	NB626_RS01350	FEF31_RS00890
OG0000559	NB626_RS01815	FEF31_RS01360
OG0000560	NB626_RS01930	FEF31_RS01560
OG0000561	NB626_RS01230	FEF31_RS00765
OG0000562	NB626_RS01935	FEF31_RS01565
