Orthogroup	MHP_J_genes	MHP_KM014_genes
OG0000126	MHJ_RS01400	CIB43_RS02295
OG0000127	MHJ_RS01410	CIB43_RS02305
OG0000128	MHJ_RS01425	CIB43_RS02320
OG0000129	MHJ_RS01430	CIB43_RS02330
OG0000130	MHJ_RS01440	CIB43_RS02335
OG0000131	MHJ_RS01470	CIB43_RS02370
OG0000132	MHJ_RS01485	CIB43_RS02385
OG0000133	MHJ_RS00515	CIB43_RS01415
OG0000134	MHJ_RS00520	CIB43_RS01425
OG0000135	MHJ_RS00535	CIB43_RS01435
OG0000136	MHJ_RS00540	CIB43_RS01440
OG0000137	MHJ_RS00575	CIB43_RS01470
OG0000138	MHJ_RS00605	CIB43_RS01495
OG0000139	MHJ_RS00635	CIB43_RS01525
OG0000140	MHJ_RS00640	CIB43_RS01540
OG0000141	MHJ_RS02910	CIB43_RS03850
OG0000142	MHJ_RS02905	CIB43_RS03845
OG0000143	MHJ_RS02880	CIB43_RS03835
OG0000144	MHJ_RS02870	CIB43_RS03815
OG0000145	MHJ_RS02855	CIB43_RS03805
OG0000146	MHJ_RS02845	CIB43_RS03790
OG0000147	MHJ_RS02840	CIB43_RS03785
OG0000148	MHJ_RS02825	CIB43_RS03780
OG0000149	MHJ_RS02815	CIB43_RS03760
OG0000150	MHJ_RS02800	CIB43_RS03745
OG0000151	MHJ_RS02745	CIB43_RS03700
OG0000152	MHJ_RS02740	CIB43_RS03695
OG0000153	MHJ_RS02735	CIB43_RS03690
OG0000154	MHJ_RS02725	CIB43_RS03680
OG0000155	MHJ_RS02685	CIB43_RS03645
OG0000156	MHJ_RS02675	CIB43_RS03635
OG0000157	MHJ_RS02670	CIB43_RS03625
OG0000158	MHJ_RS04010	CIB43_RS03620
OG0000159	MHJ_RS04030	CIB43_RS03385
OG0000160	MHJ_RS02410	CIB43_RS03380
OG0000161	MHJ_RS02405	CIB43_RS03375
OG0000163	MHJ_RS02390	CIB43_RS03370
OG0000164	MHJ_RS01565	CIB43_RS02495
OG0000165	MHJ_RS01890	CIB43_RS02840
OG0000166	MHJ_RS01915	CIB43_RS02860
OG0000167	MHJ_RS01930	CIB43_RS02875
OG0000168	MHJ_RS01935	CIB43_RS02880
OG0000169	MHJ_RS03005	CIB43_RS00130
OG0000171	MHJ_RS03045	CIB43_RS00155
OG0000172	MHJ_RS03050	CIB43_RS00160
OG0000173	MHJ_RS03055	CIB43_RS00165
OG0000174	MHJ_RS03060	CIB43_RS00170
OG0000175	MHJ_RS03075	CIB43_RS00190
OG0000176	MHJ_RS03125	CIB43_RS00235
OG0000177	MHJ_RS03130	CIB43_RS00240
OG0000178	MHJ_RS03135	CIB43_RS00245
OG0000179	MHJ_RS03145	CIB43_RS00255
OG0000180	MHJ_RS03150	CIB43_RS00260
OG0000181	MHJ_RS03200	CIB43_RS00310
OG0000182	MHJ_RS03210	CIB43_RS00320
OG0000183	MHJ_RS03245	CIB43_RS00355
OG0000184	MHJ_RS03285	CIB43_RS00430
OG0000185	MHJ_RS03270	CIB43_RS00380
OG0000186	MHJ_RS01495	CIB43_RS02400
OG0000187	MHJ_RS01510	CIB43_RS02410
OG0000188	MHJ_RS01520	CIB43_RS02425
OG0000189	MHJ_RS02250	CIB43_RS03200
OG0000190	MHJ_RS02245	CIB43_RS03195
OG0000191	MHJ_RS02225	CIB43_RS03180
OG0000192	MHJ_RS01190	CIB43_RS02085
OG0000193	MHJ_RS01180	CIB43_RS02075
OG0000194	MHJ_RS00670	CIB43_RS01560
OG0000195	MHJ_RS00675	CIB43_RS01565
OG0000196	MHJ_RS00695	CIB43_RS01585
OG0000197	MHJ_RS00700	CIB43_RS01590
OG0000198	MHJ_RS00715	CIB43_RS01605
OG0000199	MHJ_RS00720	CIB43_RS01615
OG0000200	MHJ_RS00730	CIB43_RS01630
OG0000201	MHJ_RS00740	CIB43_RS01635
OG0000202	MHJ_RS00795	CIB43_RS01690
OG0000203	MHJ_RS00800	CIB43_RS01695
OG0000204	MHJ_RS00805	CIB43_RS01700
OG0000205	MHJ_RS00810	CIB43_RS01705
OG0000206	MHJ_RS00830	CIB43_RS01735
OG0000207	MHJ_RS00845	CIB43_RS01740
OG0000208	MHJ_RS00850	CIB43_RS01745
OG0000209	MHJ_RS00855	CIB43_RS01750
OG0000210	MHJ_RS00900	CIB43_RS01800
OG0000211	MHJ_RS00910	CIB43_RS01805
OG0000212	MHJ_RS00920	CIB43_RS01815
OG0000213	MHJ_RS00925	CIB43_RS01820
OG0000214	MHJ_RS00930	CIB43_RS01825
OG0000215	MHJ_RS00935	CIB43_RS01830
OG0000216	MHJ_RS00940	CIB43_RS01835
OG0000217	MHJ_RS00945	CIB43_RS01845
OG0000218	MHJ_RS00955	CIB43_RS01850
OG0000219	MHJ_RS00960	CIB43_RS01855
OG0000220	MHJ_RS00965	CIB43_RS01860
OG0000221	MHJ_RS00970	CIB43_RS01865
OG0000222	MHJ_RS00975	CIB43_RS01870
OG0000223	MHJ_RS00980	CIB43_RS01875
OG0000225	MHJ_RS01000	CIB43_RS01895
OG0000226	MHJ_RS01005	CIB43_RS01900
OG0000227	MHJ_RS01010	CIB43_RS01905
OG0000228	MHJ_RS04015	CIB43_RS01910
OG0000229	MHJ_RS01020	CIB43_RS01915
OG0000230	MHJ_RS01025	CIB43_RS01920
OG0000231	MHJ_RS01035	CIB43_RS01935
OG0000232	MHJ_RS01045	CIB43_RS01940
OG0000233	MHJ_RS01065	CIB43_RS01965
OG0000234	MHJ_RS01100	CIB43_RS02000
OG0000235	MHJ_RS01110	CIB43_RS02005
OG0000236	MHJ_RS01115	CIB43_RS02010
OG0000237	MHJ_RS01120	CIB43_RS02015
OG0000238	MHJ_RS01130	CIB43_RS02025
OG0000239	MHJ_RS02925	CIB43_RS03860
OG0000240	MHJ_RS02930	CIB43_RS03870
OG0000241	MHJ_RS02940	CIB43_RS03875
OG0000242	MHJ_RS02945	CIB43_RS03880
OG0000243	MHJ_RS02950	CIB43_RS03885
OG0000244	MHJ_RS02960	CIB43_RS03900
OG0000245	MHJ_RS02970	CIB43_RS03905
OG0000246	MHJ_RS00115	CIB43_RS00845
OG0000247	MHJ_RS00125	CIB43_RS00850
OG0000248	MHJ_RS00135	CIB43_RS00875
OG0000250	MHJ_RS00155	CIB43_RS00885
OG0000251	MHJ_RS00185	CIB43_RS00925
OG0000252	MHJ_RS00195	CIB43_RS00930
OG0000253	MHJ_RS00200	CIB43_RS00940
OG0000254	MHJ_RS00210	CIB43_RS00950
OG0000255	MHJ_RS00220	CIB43_RS00955
OG0000256	MHJ_RS00225	CIB43_RS00960
OG0000257	MHJ_RS00250	CIB43_RS00985
OG0000258	MHJ_RS00260	CIB43_RS01015
OG0000259	MHJ_RS00290	CIB43_RS01030
OG0000260	MHJ_RS00300	CIB43_RS01045
OG0000262	MHJ_RS00325	CIB43_RS01075
OG0000263	MHJ_RS00340	CIB43_RS01080
OG0000264	MHJ_RS00355	CIB43_RS01100
OG0000265	MHJ_RS00365	CIB43_RS01110
OG0000266	MHJ_RS00380	CIB43_RS01120
OG0000267	MHJ_RS00395	CIB43_RS01135
OG0000268	MHJ_RS00400	CIB43_RS01305
OG0000269	MHJ_RS00415	CIB43_RS01320
OG0000270	MHJ_RS03460	CIB43_RS00575
OG0000271	MHJ_RS03455	CIB43_RS00570
OG0000272	MHJ_RS03450	CIB43_RS00565
OG0000273	MHJ_RS03445	CIB43_RS00560
OG0000274	MHJ_RS03425	CIB43_RS00545
OG0000275	MHJ_RS03420	CIB43_RS00535
OG0000276	MHJ_RS03415	CIB43_RS00530
OG0000277	MHJ_RS03405	CIB43_RS00525
OG0000278	MHJ_RS03400	CIB43_RS00515
OG0000279	MHJ_RS03390	CIB43_RS00510
OG0000280	MHJ_RS03385	CIB43_RS00500
OG0000281	MHJ_RS03705	CIB43_RS00495
OG0000283	MHJ_RS03355	CIB43_RS00475
OG0000284	MHJ_RS03350	CIB43_RS00460
OG0000285	MHJ_RS03345	CIB43_RS00455
OG0000286	MHJ_RS02375	CIB43_RS03345
OG0000287	MHJ_RS02475	CIB43_RS03440
OG0000288	MHJ_RS02485	CIB43_RS03450
OG0000289	MHJ_RS02495	CIB43_RS03455
OG0000290	MHJ_RS02605	CIB43_RS03565
OG0000291	MHJ_RS02595	CIB43_RS03560
OG0000292	MHJ_RS02590	CIB43_RS03550
OG0000293	MHJ_RS02585	CIB43_RS03545
OG0000294	MHJ_RS02570	CIB43_RS03540
OG0000295	MHJ_RS02565	CIB43_RS03530
OG0000296	MHJ_RS02525	CIB43_RS03495
OG0000297	MHJ_RS02520	CIB43_RS03485
OG0000298	MHJ_RS00150	CIB43_RS00880
OG0000299	MHJ_RS00170	CIB43_RS00915
OG0000300	MHJ_RS00350	CIB43_RS01090
OG0000301	MHJ_RS00385	CIB43_RS01125
OG0000302	MHJ_RS00390	CIB43_RS01130
OG0000303	MHJ_RS00545	CIB43_RS01455
OG0000304	MHJ_RS01050	CIB43_RS01950
OG0000305	MHJ_RS02850	CIB43_RS03795
OG0000306	MHJ_RS02775	CIB43_RS03725
OG0000307	MHJ_RS02730	CIB43_RS03685
OG0000308	MHJ_RS02625	CIB43_RS03600
OG0000309	MHJ_RS02555	CIB43_RS03520
OG0000310	MHJ_RS02480	CIB43_RS03445
OG0000311	MHJ_RS02435	CIB43_RS03405
OG0000312	MHJ_RS02420	CIB43_RS03390
OG0000313	MHJ_RS01555	CIB43_RS02485
OG0000314	MHJ_RS01910	CIB43_RS02855
OG0000315	MHJ_RS01940	CIB43_RS02885
OG0000316	MHJ_RS01950	CIB43_RS02895
OG0000317	MHJ_RS02040	CIB43_RS02985
OG0000318	MHJ_RS01955	CIB43_RS02900
OG0000319	MHJ_RS02180	CIB43_RS03125
OG0000320	MHJ_RS02305	CIB43_RS03270
OG0000321	MHJ_RS01305	CIB43_RS02200
OG0000322	MHJ_RS01350	CIB43_RS02245
OG0000323	MHJ_RS01480	CIB43_RS02375
OG0000324	MHJ_RS02220	CIB43_RS03170
OG0000325	MHJ_RS00680	CIB43_RS01570
OG0000326	MHJ_RS00770	CIB43_RS01665
OG0000327	MHJ_RS00775	CIB43_RS01670
OG0000328	MHJ_RS00860	CIB43_RS01760
OG0000329	MHJ_RS00880	CIB43_RS01775
OG0000330	MHJ_RS01075	CIB43_RS01970
OG0000331	MHJ_RS02955	CIB43_RS03890
OG0000332	MHJ_RS03085	CIB43_RS00200
OG0000333	MHJ_RS03095	CIB43_RS00210
OG0000334	MHJ_RS03205	CIB43_RS00315
OG0000335	MHJ_RS03215	CIB43_RS00340
OG0000336	MHJ_RS03375	CIB43_RS00485
OG0000337	MHJ_RS03535	CIB43_RS00655
OG0000338	MHJ_RS03575	CIB43_RS00695
OG0000339	MHJ_RS02280	CIB43_RS03235
OG0000340	MHJ_RS01285	CIB43_RS02185
OG0000341	MHJ_RS02240	CIB43_RS03190
OG0000342	MHJ_RS00710	CIB43_RS01600
OG0000343	MHJ_RS03105	CIB43_RS00215
OG0000344	MHJ_RS00560	CIB43_RS01465
OG0000345	MHJ_RS00995	CIB43_RS01890
OG0000346	MHJ_RS03380	CIB43_RS00490
OG0000347	MHJ_RS01375	CIB43_RS02270
OG0000348	MHJ_RS00780	CIB43_RS01685
OG0000349	MHJ_RS03435	CIB43_RS00550
OG0000350	MHJ_RS02720	CIB43_RS03675
OG0000351	MHJ_RS00475	CIB43_RS01385
OG0000352	MHJ_RS01885	CIB43_RS02830
OG0000353	MHJ_RS01345	CIB43_RS02240
OG0000354	MHJ_RS00620	CIB43_RS01515
OG0000355	MHJ_RS01855	CIB43_RS02805
OG0000356	MHJ_RS01945	CIB43_RS02890
OG0000357	MHJ_RS03065	CIB43_RS00175
OG0000358	MHJ_RS03070	CIB43_RS00180
OG0000359	MHJ_RS00750	CIB43_RS01650
OG0000360	MHJ_RS00255	CIB43_RS00990
OG0000361	MHJ_RS00285	CIB43_RS01020
OG0000362	MHJ_RS02500	CIB43_RS03475
OG0000363	MHJ_RS03840	CIB43_RS02310
OG0000364	MHJ_RS01830	CIB43_RS02775
OG0000369	MHJ_RS00025	CIB43_RS00725
OG0000370	MHJ_RS00020	CIB43_RS00720
OG0000378	MHJ_RS01265	CIB43_RS02160
OG0000379	MHJ_RS01340	CIB43_RS02235
OG0000380	MHJ_RS01365	CIB43_RS02260
OG0000381	MHJ_RS01405	CIB43_RS02300
OG0000385	MHJ_RS00505	CIB43_RS01405
OG0000389	MHJ_RS00600	CIB43_RS01490
OG0000394	MHJ_RS02695	CIB43_RS03660
OG0000396	MHJ_RS02380	CIB43_RS03350
OG0000403	MHJ_RS03110	CIB43_RS00220
OG0000404	MHJ_RS03140	CIB43_RS00250
OG0000405	MHJ_RS03155	CIB43_RS00265
OG0000409	MHJ_RS03235	CIB43_RS00345
OG0000412	MHJ_RS03275	CIB43_RS00390
OG0000417	MHJ_RS02235	CIB43_RS03185
OG0000428	MHJ_RS00890	CIB43_RS01785
OG0000429	MHJ_RS00985	CIB43_RS01885
OG0000430	MHJ_RS01030	CIB43_RS01925
OG0000434	MHJ_RS01090	CIB43_RS01985
OG0000436	MHJ_RS01135	CIB43_RS02030
OG0000437	MHJ_RS01145	CIB43_RS02065
OG0000441	MHJ_RS02975	CIB43_RS03910
OG0000451	MHJ_RS00345	CIB43_RS01085
OG0000453	MHJ_RS00405	CIB43_RS01315
OG0000457	MHJ_RS03340	CIB43_RS00450
OG0000463	MHJ_RS02540	CIB43_RS03515
OG0000464	MHJ_RS02535	CIB43_RS03500
OG0000466	MHJ_RS00375	CIB43_RS01115
OG0000468	MHJ_RS01920	CIB43_RS02870
OG0000471	MHJ_RS00895	CIB43_RS01790
OG0000473	MHJ_RS03465	CIB43_RS00580
OG0000474	MHJ_RS03470	CIB43_RS00585
OG0000475	MHJ_RS03475	CIB43_RS00595
OG0000482	MHJ_RS01185	CIB43_RS02080
OG0000485	MHJ_RS01140	CIB43_RS02035
OG0000486	MHJ_RS02255	CIB43_RS03205
OG0000487	MHJ_RS01960	CIB43_RS02915
OG0000488	MHJ_RS01995	CIB43_RS02940
OG0000489	MHJ_RS00050	CIB43_RS00750
OG0000491	MHJ_RS01320	CIB43_RS02220
OG0000492	MHJ_RS01395	CIB43_RS02290
OG0000495	MHJ_RS02805	CIB43_RS03750
OG0000502	MHJ_RS01175	CIB43_RS02070
OG0000504	MHJ_RS00870	CIB43_RS01770
OG0000506	MHJ_RS00915	CIB43_RS01810
OG0000508	MHJ_RS00230	CIB43_RS00980
OG0000517	MHJ_RS00065	CIB43_RS00765
OG0000519	MHJ_RS00760	CIB43_RS01660
OG0000520	MHJ_RS00885	CIB43_RS01780
OG0000523	MHJ_RS03335	CIB43_RS00445
OG0000526	MHJ_RS03870, MHJ_RS01785	CIB43_RS02720
OG0000527	MHJ_RS03865	CIB43_RS02640
OG0000529	MHJ_RS02190	CIB43_RS03135
OG0000530	MHJ_RS02290	CIB43_RS03250
OG0000531	MHJ_RS01370	CIB43_RS02265
OG0000537	MHJ_RS00705	CIB43_RS01595
OG0000538	MHJ_RS01095	CIB43_RS01990
OG0000544	MHJ_RS01225	CIB43_RS02125
OG0000545	MHJ_RS01770	CIB43_RS02715
OG0000546	MHJ_RS02755	CIB43_RS03705
OG0000552	MHJ_RS03115	CIB43_RS00225
OG0000553	MHJ_RS02650	CIB43_RS03610
OG0000554	MHJ_RS02335	CIB43_RS03295
OG0000557	MHJ_RS01235	CIB43_RS02130
OG0000558	MHJ_RS01205	CIB43_RS02100
OG0000559	MHJ_RS01645	CIB43_RS02575
OG0000560	MHJ_RS01760	CIB43_RS02680
OG0000561	MHJ_RS01080	CIB43_RS01980
OG0000562	MHJ_RS01765	CIB43_RS02685
OG0000563	MHJ_RS01750	CIB43_RS02670
OG0000564	MHJ_RS01260	CIB43_RS02155
OG0000565	MHJ_RS01820	CIB43_RS02760
OG0000566	MHJ_RS01810	CIB43_RS02740
OG0000568	MHJ_RS00665	CIB43_RS01555
OG0000569	MHJ_RS01210	CIB43_RS02105
OG0000570	MHJ_RS01215	CIB43_RS02110
OG0000571	MHJ_RS01220	CIB43_RS02115
OG0000572	MHJ_RS01240	CIB43_RS02135
OG0000573	MHJ_RS01640	CIB43_RS02570
OG0000574	MHJ_RS01280	CIB43_RS02175
OG0000575	MHJ_RS01195	CIB43_RS02090
OG0000576	MHJ_RS03625	CIB43_RS02530
OG0000577	MHJ_RS02620	CIB43_RS03580
OG0000579	MHJ_RS01740	CIB43_RS02660
OG0000580	MHJ_RS02760	CIB43_RS03710
OG0000581	MHJ_RS01725	CIB43_RS02645
OG0000585	MHJ_RS03590	CIB43_RS03105
OG0000588	MHJ_RS01600	CIB43_RS02525
OG0000589	MHJ_RS03650	CIB43_RS03055
OG0000592	MHJ_RS02610	CIB43_RS03570
OG0000594	MHJ_RS01200	CIB43_RS02095
OG0000595	MHJ_RS03020	CIB43_RS03920
OG0000597	MHJ_RS03015	CIB43_RS03915
OG0000601	MHJ_RS01755	CIB43_RS02675
OG0000606	MHJ_RS01730	CIB43_RS02655
