Orthogroup	MHP_J_genes	MHP_ES2L_genes
OG0000090	MHJ_RS00070	HZK19_RS00070
OG0000091	MHJ_RS00055	HZK19_RS00055
OG0000092	MHJ_RS00040	HZK19_RS00040
OG0000093	MHJ_RS00035	HZK19_RS00035
OG0000094	MHJ_RS00030	HZK19_RS00030
OG0000095	MHJ_RS00005	HZK19_RS00005
OG0000096	MHJ_RS03580	HZK19_RS03665
OG0000097	MHJ_RS03560	HZK19_RS03645
OG0000098	MHJ_RS03550	HZK19_RS03635
OG0000099	MHJ_RS03505	HZK19_RS03585
OG0000100	MHJ_RS03490	HZK19_RS03570
OG0000101	MHJ_RS03485	HZK19_RS03565
OG0000102	MHJ_RS01650	HZK19_RS01675
OG0000103	MHJ_RS02165	HZK19_RS02185
OG0000104	MHJ_RS02170	HZK19_RS02190
OG0000105	MHJ_RS02185	HZK19_RS02205
OG0000106	MHJ_RS02195	HZK19_RS02215
OG0000107	MHJ_RS02205	HZK19_RS02225
OG0000108	MHJ_RS02210	HZK19_RS02230
OG0000109	MHJ_RS02215	HZK19_RS02235
OG0000110	MHJ_RS02330	HZK19_RS02355
OG0000111	MHJ_RS02325	HZK19_RS02350
OG0000112	MHJ_RS02315	HZK19_RS02340
OG0000113	MHJ_RS02295	HZK19_RS02320
OG0000114	MHJ_RS02285	HZK19_RS02310
OG0000115	MHJ_RS02275	HZK19_RS02300
OG0000116	MHJ_RS01270	HZK19_RS01265
OG0000117	MHJ_RS01275	HZK19_RS01270
OG0000118	MHJ_RS01310	HZK19_RS01305
OG0000119	MHJ_RS01315	HZK19_RS01310
OG0000120	MHJ_RS01330	HZK19_RS01325
OG0000121	MHJ_RS01355	HZK19_RS01350
OG0000122	MHJ_RS01360	HZK19_RS01355
OG0000123	MHJ_RS01380	HZK19_RS01375
OG0000124	MHJ_RS01385	HZK19_RS01380
OG0000125	MHJ_RS01390	HZK19_RS01385
OG0000126	MHJ_RS01400	HZK19_RS01395
OG0000127	MHJ_RS01410	HZK19_RS01405
OG0000128	MHJ_RS01425	HZK19_RS01420
OG0000129	MHJ_RS01430	HZK19_RS01425
OG0000130	MHJ_RS01440	HZK19_RS01435
OG0000131	MHJ_RS01470	HZK19_RS01465
OG0000132	MHJ_RS01485	HZK19_RS01480
OG0000133	MHJ_RS00515	HZK19_RS00520
OG0000134	MHJ_RS00520	HZK19_RS00525
OG0000135	MHJ_RS00535	HZK19_RS00540
OG0000136	MHJ_RS00540	HZK19_RS00545
OG0000137	MHJ_RS00575	HZK19_RS00575
OG0000138	MHJ_RS00605	HZK19_RS00610
OG0000139	MHJ_RS00635	HZK19_RS00640
OG0000140	MHJ_RS00640	HZK19_RS00645
OG0000141	MHJ_RS02910	HZK19_RS02895
OG0000142	MHJ_RS02905	HZK19_RS02890
OG0000143	MHJ_RS02880	HZK19_RS02870
OG0000144	MHJ_RS02870	HZK19_RS02860
OG0000145	MHJ_RS02855	HZK19_RS02850
OG0000146	MHJ_RS02845	HZK19_RS02840
OG0000147	MHJ_RS02840	HZK19_RS02835
OG0000148	MHJ_RS02825	HZK19_RS02820
OG0000149	MHJ_RS02815	HZK19_RS02810
OG0000150	MHJ_RS02800	HZK19_RS02795
OG0000151	MHJ_RS02745	HZK19_RS02750
OG0000152	MHJ_RS02740	HZK19_RS02745
OG0000153	MHJ_RS02735	HZK19_RS02740
OG0000154	MHJ_RS02725	HZK19_RS02730
OG0000155	MHJ_RS02685	HZK19_RS02690
OG0000156	MHJ_RS02675	HZK19_RS02680
OG0000157	MHJ_RS02670	HZK19_RS02675
OG0000158	MHJ_RS04010	HZK19_RS03895
OG0000159	MHJ_RS04030	HZK19_RS03970
OG0000160	MHJ_RS02410	HZK19_RS02425
OG0000161	MHJ_RS02405	HZK19_RS02420
OG0000162	MHJ_RS02395	HZK19_RS02410
OG0000163	MHJ_RS02390	HZK19_RS02405
OG0000164	MHJ_RS01565	HZK19_RS01575
OG0000165	MHJ_RS01890	HZK19_RS01905
OG0000166	MHJ_RS01915	HZK19_RS01925
OG0000167	MHJ_RS01930	HZK19_RS01940
OG0000168	MHJ_RS01935	HZK19_RS01945
OG0000169	MHJ_RS03005	HZK19_RS02990
OG0000170	MHJ_RS03035	HZK19_RS03005
OG0000171	MHJ_RS03045	HZK19_RS03110
OG0000172	MHJ_RS03050	HZK19_RS03115
OG0000173	MHJ_RS03055	HZK19_RS03120
OG0000174	MHJ_RS03060	HZK19_RS03125
OG0000175	MHJ_RS03075	HZK19_RS03140
OG0000176	MHJ_RS03125	HZK19_RS03190
OG0000177	MHJ_RS03130	HZK19_RS03195
OG0000178	MHJ_RS03135	HZK19_RS03200
OG0000179	MHJ_RS03145	HZK19_RS03210
OG0000180	MHJ_RS03150	HZK19_RS03215
OG0000181	MHJ_RS03200	HZK19_RS03265
OG0000182	MHJ_RS03210	HZK19_RS03275
OG0000183	MHJ_RS03245	HZK19_RS03310
OG0000184	MHJ_RS03285	HZK19_RS03355
OG0000185	MHJ_RS03270	HZK19_RS03340
OG0000186	MHJ_RS01495	HZK19_RS01490
OG0000187	MHJ_RS01510	HZK19_RS01505
OG0000188	MHJ_RS01520	HZK19_RS01515
OG0000189	MHJ_RS02250	HZK19_RS02270
OG0000190	MHJ_RS02245	HZK19_RS02265
OG0000191	MHJ_RS02225	HZK19_RS02245
OG0000192	MHJ_RS01190	HZK19_RS01180
OG0000193	MHJ_RS01180	HZK19_RS01175
OG0000194	MHJ_RS00670	HZK19_RS00665
OG0000195	MHJ_RS00675	HZK19_RS00670
OG0000196	MHJ_RS00695	HZK19_RS00690
OG0000197	MHJ_RS00700	HZK19_RS00695
OG0000198	MHJ_RS00715	HZK19_RS00710
OG0000199	MHJ_RS00720	HZK19_RS00715
OG0000200	MHJ_RS00730	HZK19_RS00730
OG0000201	MHJ_RS00740	HZK19_RS00740
OG0000202	MHJ_RS00795	HZK19_RS00795
OG0000203	MHJ_RS00800	HZK19_RS00800
OG0000204	MHJ_RS00805	HZK19_RS00805
OG0000205	MHJ_RS00810	HZK19_RS00810
OG0000206	MHJ_RS00830	HZK19_RS00830
OG0000207	MHJ_RS00845	HZK19_RS00845
OG0000208	MHJ_RS00850	HZK19_RS00850
OG0000209	MHJ_RS00855	HZK19_RS00855
OG0000210	MHJ_RS00900	HZK19_RS00900
OG0000211	MHJ_RS00910	HZK19_RS00910
OG0000212	MHJ_RS00920	HZK19_RS00920
OG0000213	MHJ_RS00925	HZK19_RS00925
OG0000214	MHJ_RS00930	HZK19_RS00930
OG0000215	MHJ_RS00935	HZK19_RS00935
OG0000216	MHJ_RS00940	HZK19_RS00940
OG0000217	MHJ_RS00945	HZK19_RS00945
OG0000218	MHJ_RS00955	HZK19_RS00955
OG0000219	MHJ_RS00960	HZK19_RS00960
OG0000220	MHJ_RS00965	HZK19_RS00965
OG0000221	MHJ_RS00970	HZK19_RS00970
OG0000222	MHJ_RS00975	HZK19_RS00975
OG0000223	MHJ_RS00980	HZK19_RS00980
OG0000224	MHJ_RS00990	HZK19_RS00990
OG0000225	MHJ_RS01000	HZK19_RS01000
OG0000226	MHJ_RS01005	HZK19_RS01005
OG0000227	MHJ_RS01010	HZK19_RS01010
OG0000228	MHJ_RS04015	HZK19_RS03950
OG0000229	MHJ_RS01020	HZK19_RS01020
OG0000230	MHJ_RS01025	HZK19_RS01025
OG0000231	MHJ_RS01035	HZK19_RS01035
OG0000232	MHJ_RS01045	HZK19_RS01045
OG0000233	MHJ_RS01065	HZK19_RS01070
OG0000234	MHJ_RS01100	HZK19_RS01105
OG0000235	MHJ_RS01110	HZK19_RS01115
OG0000236	MHJ_RS01115	HZK19_RS01120
OG0000237	MHJ_RS01120	HZK19_RS01125
OG0000238	MHJ_RS01130	HZK19_RS01130
OG0000239	MHJ_RS02925	HZK19_RS02905
OG0000240	MHJ_RS02930	HZK19_RS02910
OG0000241	MHJ_RS02940	HZK19_RS02920
OG0000242	MHJ_RS02945	HZK19_RS02925
OG0000243	MHJ_RS02950	HZK19_RS02930
OG0000244	MHJ_RS02960	HZK19_RS02940
OG0000245	MHJ_RS02970	HZK19_RS02950
OG0000246	MHJ_RS00115	HZK19_RS00125
OG0000247	MHJ_RS00125	HZK19_RS00135
OG0000248	MHJ_RS00135	HZK19_RS00145
OG0000249	MHJ_RS00140	HZK19_RS00150
OG0000250	MHJ_RS00155	HZK19_RS00165
OG0000251	MHJ_RS00185	HZK19_RS00195
OG0000252	MHJ_RS00195	HZK19_RS00205
OG0000253	MHJ_RS00200	HZK19_RS00210
OG0000254	MHJ_RS00210	HZK19_RS00220
OG0000255	MHJ_RS00220	HZK19_RS00225
OG0000256	MHJ_RS00225	HZK19_RS00230
OG0000257	MHJ_RS00250	HZK19_RS00255
OG0000258	MHJ_RS00260	HZK19_RS00265
OG0000259	MHJ_RS00290	HZK19_RS00295
OG0000260	MHJ_RS00300	HZK19_RS00305
OG0000261	MHJ_RS00310	HZK19_RS00315
OG0000262	MHJ_RS00325	HZK19_RS00330
OG0000263	MHJ_RS00340	HZK19_RS00345
OG0000264	MHJ_RS00355	HZK19_RS00360
OG0000265	MHJ_RS00365	HZK19_RS00370
OG0000266	MHJ_RS00380	HZK19_RS00385
OG0000267	MHJ_RS00395	HZK19_RS00400
OG0000268	MHJ_RS00400	HZK19_RS00405
OG0000269	MHJ_RS00415	HZK19_RS00420
OG0000270	MHJ_RS03460	HZK19_RS03540
OG0000271	MHJ_RS03455	HZK19_RS03535
OG0000272	MHJ_RS03450	HZK19_RS03530
OG0000273	MHJ_RS03445	HZK19_RS03525
OG0000274	MHJ_RS03425	HZK19_RS03505
OG0000275	MHJ_RS03420	HZK19_RS03500
OG0000276	MHJ_RS03415	HZK19_RS03495
OG0000277	MHJ_RS03405	HZK19_RS03485
OG0000278	MHJ_RS03400	HZK19_RS03480
OG0000279	MHJ_RS03390	HZK19_RS03470
OG0000280	MHJ_RS03385	HZK19_RS03465
OG0000281	MHJ_RS03705	HZK19_RS03460
OG0000282	MHJ_RS03360	HZK19_RS03435
OG0000283	MHJ_RS03355	HZK19_RS03430
OG0000284	MHJ_RS03350	HZK19_RS03425
OG0000285	MHJ_RS03345	HZK19_RS03420
OG0000286	MHJ_RS02375	HZK19_RS02390
OG0000287	MHJ_RS02475	HZK19_RS02485
OG0000288	MHJ_RS02485	HZK19_RS02495
OG0000289	MHJ_RS02495	HZK19_RS02500
OG0000290	MHJ_RS02605	HZK19_RS02610
OG0000291	MHJ_RS02595	HZK19_RS02600
OG0000292	MHJ_RS02590	HZK19_RS02595
OG0000293	MHJ_RS02585	HZK19_RS02590
OG0000294	MHJ_RS02570	HZK19_RS02580
OG0000295	MHJ_RS02565	HZK19_RS02575
OG0000296	MHJ_RS02525	HZK19_RS02535
OG0000297	MHJ_RS02520	HZK19_RS02530
OG0000298	MHJ_RS00150	HZK19_RS00160
OG0000299	MHJ_RS00170	HZK19_RS00180
OG0000300	MHJ_RS00350	HZK19_RS00355
OG0000301	MHJ_RS00385	HZK19_RS00390
OG0000302	MHJ_RS00390	HZK19_RS00395
OG0000303	MHJ_RS00545	HZK19_RS00550
OG0000304	MHJ_RS01050	HZK19_RS01055
OG0000305	MHJ_RS02850	HZK19_RS02845
OG0000306	MHJ_RS02775	HZK19_RS02770
OG0000307	MHJ_RS02730	HZK19_RS02735
OG0000308	MHJ_RS02625	HZK19_RS02635
OG0000309	MHJ_RS02555	HZK19_RS02565
OG0000310	MHJ_RS02480	HZK19_RS02490
OG0000311	MHJ_RS02435	HZK19_RS02450
OG0000312	MHJ_RS02420	HZK19_RS02435
OG0000313	MHJ_RS01555	HZK19_RS01565
OG0000314	MHJ_RS01910	HZK19_RS01920
OG0000315	MHJ_RS01940	HZK19_RS01950
OG0000316	MHJ_RS01950	HZK19_RS01960
OG0000317	MHJ_RS02040	HZK19_RS02055
OG0000318	MHJ_RS01955	HZK19_RS01965
OG0000319	MHJ_RS02180	HZK19_RS02200
OG0000320	MHJ_RS02305	HZK19_RS02330
OG0000321	MHJ_RS01305	HZK19_RS01300
OG0000322	MHJ_RS01350	HZK19_RS01345
OG0000323	MHJ_RS01480	HZK19_RS01475
OG0000324	MHJ_RS02220	HZK19_RS02240
OG0000325	MHJ_RS00680	HZK19_RS00675
OG0000326	MHJ_RS00770	HZK19_RS00770
OG0000327	MHJ_RS00775	HZK19_RS00775
OG0000328	MHJ_RS00860	HZK19_RS00860
OG0000329	MHJ_RS00880	HZK19_RS00880
OG0000330	MHJ_RS01075	HZK19_RS01080
OG0000331	MHJ_RS02955	HZK19_RS02935
OG0000332	MHJ_RS03085	HZK19_RS03150
OG0000333	MHJ_RS03095	HZK19_RS03160
OG0000334	MHJ_RS03205	HZK19_RS03270
OG0000335	MHJ_RS03215	HZK19_RS03280
OG0000336	MHJ_RS03375	HZK19_RS03450
OG0000337	MHJ_RS03535	HZK19_RS03620
OG0000338	MHJ_RS03575	HZK19_RS03660
OG0000339	MHJ_RS02280	HZK19_RS02305
OG0000340	MHJ_RS01285	HZK19_RS01280
OG0000341	MHJ_RS02240	HZK19_RS02260
OG0000342	MHJ_RS00710	HZK19_RS00705
OG0000343	MHJ_RS03105	HZK19_RS03170
OG0000344	MHJ_RS00560	HZK19_RS00565
OG0000345	MHJ_RS00995	HZK19_RS00995
OG0000346	MHJ_RS03380	HZK19_RS03455
OG0000347	MHJ_RS01375	HZK19_RS01370
OG0000348	MHJ_RS00780	HZK19_RS00780
OG0000349	MHJ_RS03435	HZK19_RS03515
OG0000350	MHJ_RS02720	HZK19_RS02725
OG0000351	MHJ_RS00475	HZK19_RS00480
OG0000352	MHJ_RS01885	HZK19_RS01895
OG0000353	MHJ_RS01345	HZK19_RS01340
OG0000354	MHJ_RS00620	HZK19_RS00625
OG0000355	MHJ_RS01855	HZK19_RS01870
OG0000356	MHJ_RS01945	HZK19_RS01955
OG0000357	MHJ_RS03065	HZK19_RS03130
OG0000358	MHJ_RS03070	HZK19_RS03135
OG0000359	MHJ_RS00750	HZK19_RS00750
OG0000360	MHJ_RS00255	HZK19_RS00260
OG0000361	MHJ_RS00285	HZK19_RS00290
OG0000362	MHJ_RS02500	HZK19_RS02510
OG0000363	MHJ_RS03840	HZK19_RS03730
OG0000364	MHJ_RS03765	HZK19_RS03760
OG0000364	MHJ_RS01830	HZK19_RS01855
OG0000365	MHJ_RS01985	HZK19_RS02000
OG0000366	MHJ_RS02010	HZK19_RS02025
OG0000367	MHJ_RS02020	HZK19_RS02035
OG0000368	MHJ_RS00060	HZK19_RS00060
OG0000369	MHJ_RS00025	HZK19_RS00025
OG0000370	MHJ_RS00020	HZK19_RS00020
OG0000371	MHJ_RS00015	HZK19_RS00015
OG0000372	MHJ_RS00010	HZK19_RS00010
OG0000373	MHJ_RS03565	HZK19_RS03650
OG0000374	MHJ_RS03555	HZK19_RS03640
OG0000375	MHJ_RS02175	HZK19_RS02195
OG0000376	MHJ_RS02320	HZK19_RS02345
OG0000377	MHJ_RS02310	HZK19_RS02335
OG0000378	MHJ_RS01265	HZK19_RS01260
OG0000379	MHJ_RS01340	HZK19_RS01335
OG0000380	MHJ_RS01365	HZK19_RS01360
OG0000381	MHJ_RS01405	HZK19_RS01400
OG0000382	MHJ_RS01435	HZK19_RS01430
OG0000383	MHJ_RS01475	HZK19_RS01470
OG0000384	MHJ_RS00500	HZK19_RS00505
OG0000385	MHJ_RS00505	HZK19_RS00510
OG0000386	MHJ_RS00525	HZK19_RS00530
OG0000387	MHJ_RS00550	HZK19_RS00555
OG0000388	MHJ_RS00555	HZK19_RS00560
OG0000389	MHJ_RS00600	HZK19_RS00605
OG0000390	MHJ_RS02875	HZK19_RS02865
OG0000391	MHJ_RS02865	HZK19_RS02855
OG0000392	MHJ_RS02835	HZK19_RS02830
OG0000393	MHJ_RS02780	HZK19_RS02775
OG0000394	MHJ_RS02695	HZK19_RS02700
OG0000395	MHJ_RS02690	HZK19_RS02695
OG0000396	MHJ_RS02380	HZK19_RS02395
OG0000397	MHJ_RS01870	HZK19_RS01880
OG0000398	MHJ_RS01875	HZK19_RS01885
OG0000399	MHJ_RS01925	HZK19_RS01935
OG0000400	MHJ_RS03030	HZK19_RS03000
OG0000401	MHJ_RS03090	HZK19_RS03155
OG0000402	MHJ_RS03100	HZK19_RS03165
OG0000403	MHJ_RS03110	HZK19_RS03175
OG0000404	MHJ_RS03140	HZK19_RS03205
OG0000405	MHJ_RS03155	HZK19_RS03220
OG0000406	MHJ_RS03220	HZK19_RS03285
OG0000407	MHJ_RS03225	HZK19_RS03290
OG0000408	MHJ_RS03230	HZK19_RS03295
OG0000409	MHJ_RS03235	HZK19_RS03300
OG0000410	MHJ_RS03290	HZK19_RS03360
OG0000411	MHJ_RS03280	HZK19_RS03350
OG0000412	MHJ_RS03275	HZK19_RS03345
OG0000413	MHJ_RS01490	HZK19_RS01485
OG0000414	MHJ_RS01500	HZK19_RS01495
OG0000415	MHJ_RS01505	HZK19_RS01500
OG0000416	MHJ_RS01515	HZK19_RS01510
OG0000417	MHJ_RS02235	HZK19_RS02255
OG0000418	MHJ_RS02230	HZK19_RS02250
OG0000419	MHJ_RS00690	HZK19_RS00685
OG0000420	MHJ_RS00725	HZK19_RS00720
OG0000421	MHJ_RS00755	HZK19_RS00755
OG0000422	MHJ_RS00765	HZK19_RS00765
OG0000423	MHJ_RS00820	HZK19_RS00820
OG0000424	MHJ_RS00825	HZK19_RS00825
OG0000425	MHJ_RS00835	HZK19_RS00835
OG0000426	MHJ_RS00840	HZK19_RS00840
OG0000427	MHJ_RS00865	HZK19_RS00865
OG0000428	MHJ_RS00890	HZK19_RS00890
OG0000429	MHJ_RS00985	HZK19_RS00985
OG0000430	MHJ_RS01030	HZK19_RS01030
OG0000431	MHJ_RS01040	HZK19_RS01040
OG0000432	MHJ_RS01070	HZK19_RS01075
OG0000433	MHJ_RS01085	HZK19_RS01090
OG0000434	MHJ_RS01090	HZK19_RS01095
OG0000435	MHJ_RS01105	HZK19_RS01110
OG0000436	MHJ_RS01135	HZK19_RS01135
OG0000437	MHJ_RS01145	HZK19_RS01145
OG0000438	MHJ_RS01150	HZK19_RS01150
OG0000439	MHJ_RS01155	HZK19_RS01155
OG0000440	MHJ_RS02935	HZK19_RS02915
OG0000441	MHJ_RS02975	HZK19_RS02955
OG0000442	MHJ_RS00120	HZK19_RS00130
OG0000443	MHJ_RS00165	HZK19_RS00175
OG0000444	MHJ_RS00180	HZK19_RS00190
OG0000445	MHJ_RS00205	HZK19_RS00215
OG0000446	MHJ_RS00235	HZK19_RS00240
OG0000447	MHJ_RS00240	HZK19_RS00245
OG0000448	MHJ_RS00270	HZK19_RS00275
OG0000449	MHJ_RS00295	HZK19_RS00300
OG0000450	MHJ_RS00305	HZK19_RS00310
OG0000451	MHJ_RS00345	HZK19_RS00350
OG0000452	MHJ_RS00370	HZK19_RS00375
OG0000453	MHJ_RS00405	HZK19_RS00410
OG0000454	MHJ_RS01590	HZK19_RS01595, HZK19_RS03100
OG0000455	MHJ_RS03480	HZK19_RS03560
OG0000456	MHJ_RS03365	HZK19_RS03440
OG0000457	MHJ_RS03340	HZK19_RS03415
OG0000458	MHJ_RS02470	HZK19_RS02480
OG0000460	MHJ_RS02505	HZK19_RS02520
OG0000461	MHJ_RS02550	HZK19_RS02560
OG0000462	MHJ_RS02545	HZK19_RS02555
OG0000463	MHJ_RS02540	HZK19_RS02550
OG0000465	MHJ_RS02530	HZK19_RS02545
OG0000466	MHJ_RS00375	HZK19_RS00380
OG0000467	MHJ_RS02640	HZK19_RS02645
OG0000468	MHJ_RS01920	HZK19_RS01930
OG0000469	MHJ_RS01980	HZK19_RS01990
OG0000470	MHJ_RS03785	HZK19_RS00815
OG0000471	MHJ_RS00895	HZK19_RS00895
OG0000472	MHJ_RS03300	HZK19_RS03370
OG0000473	MHJ_RS03465	HZK19_RS03545
OG0000474	MHJ_RS03470	HZK19_RS03550
OG0000475	MHJ_RS03475	HZK19_RS03555
OG0000476	MHJ_RS01525	HZK19_RS01520
OG0000477	MHJ_RS02580	HZK19_RS02585
OG0000478	MHJ_RS03410	HZK19_RS03490
OG0000479	MHJ_RS01300	HZK19_RS01295
OG0000480	MHJ_RS03770	HZK19_RS01995
OG0000481	MHJ_RS00790	HZK19_RS00790
OG0000483	MHJ_RS02025	HZK19_RS02040
OG0000484	MHJ_RS00175	HZK19_RS00185
OG0000485	MHJ_RS01140	HZK19_RS01140
OG0000486	MHJ_RS02255	HZK19_RS02275
OG0000487	MHJ_RS01960	HZK19_RS01970
OG0000488	MHJ_RS01995	HZK19_RS02010
OG0000489	MHJ_RS00050	HZK19_RS00050
OG0000490	MHJ_RS03570	HZK19_RS03655
OG0000491	MHJ_RS01320	HZK19_RS01315
OG0000492	MHJ_RS01395	HZK19_RS01390
OG0000493	MHJ_RS00565	HZK19_RS00570
OG0000494	MHJ_RS00625	HZK19_RS00630
OG0000495	MHJ_RS02805	HZK19_RS02800
OG0000496	MHJ_RS02795	HZK19_RS02790
OG0000497	MHJ_RS02790	HZK19_RS02785
OG0000498	MHJ_RS02700	HZK19_RS02705
OG0000499	MHJ_RS02665	HZK19_RS02670
OG0000500	MHJ_RS01880	HZK19_RS01890
OG0000501	MHJ_RS03040	HZK19_RS03010
OG0000502	MHJ_RS01175	HZK19_RS01165
OG0000503	MHJ_RS00735	HZK19_RS00735
OG0000504	MHJ_RS00870	HZK19_RS00870
OG0000505	MHJ_RS00905	HZK19_RS00905
OG0000506	MHJ_RS00915	HZK19_RS00915
