Orthogroup	MHP_J_genes	MHP_UFV02_genes
OG0000106	MHJ_RS02195	FEF31_RS01985
OG0000107	MHJ_RS02205	FEF31_RS01995
OG0000108	MHJ_RS02210	FEF31_RS02000
OG0000109	MHJ_RS02215	FEF31_RS02005
OG0000110	MHJ_RS02330	FEF31_RS02120
OG0000111	MHJ_RS02325	FEF31_RS02115
OG0000112	MHJ_RS02315	FEF31_RS02105
OG0000113	MHJ_RS02295	FEF31_RS02085
OG0000114	MHJ_RS02285	FEF31_RS02075
OG0000115	MHJ_RS02275	FEF31_RS02065
OG0000116	MHJ_RS01270	FEF31_RS00955
OG0000117	MHJ_RS01275	FEF31_RS00960
OG0000118	MHJ_RS01310	FEF31_RS00995
OG0000119	MHJ_RS01315	FEF31_RS01000
OG0000120	MHJ_RS01330	FEF31_RS01020
OG0000121	MHJ_RS01355	FEF31_RS01045
OG0000122	MHJ_RS01360	FEF31_RS01050
OG0000123	MHJ_RS01380	FEF31_RS01070
OG0000124	MHJ_RS01385	FEF31_RS01075
OG0000125	MHJ_RS01390	FEF31_RS01080
OG0000126	MHJ_RS01400	FEF31_RS01090
OG0000127	MHJ_RS01410	FEF31_RS01100
OG0000128	MHJ_RS01425	FEF31_RS01115
OG0000129	MHJ_RS01430	FEF31_RS01120
OG0000130	MHJ_RS01440	FEF31_RS01130
OG0000131	MHJ_RS01470	FEF31_RS01160
OG0000132	MHJ_RS01485	FEF31_RS04430
OG0000133	MHJ_RS00515	FEF31_RS00190
OG0000134	MHJ_RS00520	FEF31_RS00195
OG0000135	MHJ_RS00535	FEF31_RS00210
OG0000136	MHJ_RS00540	FEF31_RS00215
OG0000137	MHJ_RS00575	FEF31_RS00245
OG0000138	MHJ_RS00605	FEF31_RS00280
OG0000139	MHJ_RS00635	FEF31_RS00310
OG0000140	MHJ_RS00640	FEF31_RS00315
OG0000141	MHJ_RS02910	FEF31_RS02670
OG0000142	MHJ_RS02905	FEF31_RS04555
OG0000143	MHJ_RS02880	FEF31_RS02645
OG0000144	MHJ_RS02870	FEF31_RS02635
OG0000145	MHJ_RS02855	FEF31_RS02625
OG0000146	MHJ_RS02845	FEF31_RS02615
OG0000147	MHJ_RS02840	FEF31_RS02610
OG0000148	MHJ_RS02825	FEF31_RS02595
OG0000149	MHJ_RS02815	FEF31_RS02585
OG0000150	MHJ_RS02800	FEF31_RS02570
OG0000151	MHJ_RS02745	FEF31_RS02525
OG0000152	MHJ_RS02740	FEF31_RS02520
OG0000153	MHJ_RS02735	FEF31_RS02515
OG0000154	MHJ_RS02725	FEF31_RS02505
OG0000155	MHJ_RS02685	FEF31_RS02465
OG0000156	MHJ_RS02675	FEF31_RS02455
OG0000157	MHJ_RS02670	FEF31_RS04545
OG0000158	MHJ_RS04010	FEF31_RS04540
OG0000159	MHJ_RS04030	FEF31_RS02195
OG0000160	MHJ_RS02410	FEF31_RS02190
OG0000161	MHJ_RS02405	FEF31_RS02185
OG0000162	MHJ_RS02395	FEF31_RS02175
OG0000163	MHJ_RS02390	FEF31_RS02170
OG0000164	MHJ_RS01565	FEF31_RS01270
OG0000165	MHJ_RS01890	FEF31_RS01685
OG0000166	MHJ_RS01915	FEF31_RS01705
OG0000167	MHJ_RS01930	FEF31_RS01720
OG0000168	MHJ_RS01935	FEF31_RS01725
OG0000169	MHJ_RS03005	FEF31_RS03615
OG0000170	MHJ_RS03035	FEF31_RS04785, FEF31_RS04795
OG0000171	MHJ_RS03045	FEF31_RS03640
OG0000172	MHJ_RS03050	FEF31_RS03645
OG0000173	MHJ_RS03055	FEF31_RS03650
OG0000174	MHJ_RS03060	FEF31_RS03655
OG0000175	MHJ_RS03075	FEF31_RS03670
OG0000176	MHJ_RS03125	FEF31_RS03715
OG0000177	MHJ_RS03130	FEF31_RS03720
OG0000178	MHJ_RS03135	FEF31_RS03725
OG0000179	MHJ_RS03145	FEF31_RS03735
OG0000180	MHJ_RS03150	FEF31_RS03740
OG0000181	MHJ_RS03200	FEF31_RS04690
OG0000182	MHJ_RS03210	FEF31_RS03795
OG0000183	MHJ_RS03245	FEF31_RS03830
OG0000184	MHJ_RS03285	FEF31_RS02980
OG0000185	MHJ_RS03270	FEF31_RS02965
OG0000186	MHJ_RS01495	FEF31_RS04435
OG0000187	MHJ_RS01510	FEF31_RS01200
OG0000188	MHJ_RS01520	FEF31_RS01210
OG0000189	MHJ_RS02250	FEF31_RS04520
OG0000190	MHJ_RS02245	FEF31_RS02035
OG0000191	MHJ_RS02225	FEF31_RS02015
OG0000192	MHJ_RS01190	FEF31_RS00875
OG0000193	MHJ_RS01180	FEF31_RS00860
OG0000194	MHJ_RS00670	FEF31_RS00345
OG0000195	MHJ_RS00675	FEF31_RS00350
OG0000196	MHJ_RS00695	FEF31_RS00370
OG0000197	MHJ_RS00700	FEF31_RS00375
OG0000198	MHJ_RS00715	FEF31_RS00390
OG0000199	MHJ_RS00720	FEF31_RS00395
OG0000200	MHJ_RS00730	FEF31_RS00410
OG0000201	MHJ_RS00740	FEF31_RS00420
OG0000202	MHJ_RS00795	FEF31_RS00475
OG0000203	MHJ_RS00800	FEF31_RS00480
OG0000204	MHJ_RS00805	FEF31_RS00485
OG0000205	MHJ_RS00810	FEF31_RS00490
OG0000206	MHJ_RS00830	FEF31_RS00510
OG0000207	MHJ_RS00845	FEF31_RS00525
OG0000208	MHJ_RS00850	FEF31_RS00530
OG0000209	MHJ_RS00855	FEF31_RS00535
OG0000210	MHJ_RS00900	FEF31_RS00580
OG0000211	MHJ_RS00910	FEF31_RS00590
OG0000212	MHJ_RS00920	FEF31_RS00600
OG0000213	MHJ_RS00925	FEF31_RS00605
OG0000214	MHJ_RS00930	FEF31_RS00610
OG0000215	MHJ_RS00935	FEF31_RS00615
OG0000216	MHJ_RS00940	FEF31_RS00620
OG0000217	MHJ_RS00945	FEF31_RS00625
OG0000218	MHJ_RS00955	FEF31_RS00635
OG0000219	MHJ_RS00960	FEF31_RS00640
OG0000220	MHJ_RS00965	FEF31_RS00645
OG0000221	MHJ_RS00970	FEF31_RS00650
OG0000222	MHJ_RS00975	FEF31_RS00655
OG0000223	MHJ_RS00980	FEF31_RS00660
OG0000224	MHJ_RS00990	FEF31_RS00670
OG0000225	MHJ_RS01000	FEF31_RS00680
OG0000226	MHJ_RS01005	FEF31_RS00685
OG0000227	MHJ_RS01010	FEF31_RS00690
OG0000228	MHJ_RS04015	FEF31_RS04770
OG0000229	MHJ_RS01020	FEF31_RS00700
OG0000230	MHJ_RS01025	FEF31_RS00705
OG0000231	MHJ_RS01035	FEF31_RS00715
OG0000232	MHJ_RS01045	FEF31_RS00725
OG0000233	MHJ_RS01065	FEF31_RS00750
OG0000234	MHJ_RS01100	FEF31_RS00785
OG0000235	MHJ_RS01110	FEF31_RS00795
OG0000236	MHJ_RS01115	FEF31_RS00800
OG0000237	MHJ_RS01120	FEF31_RS00805
OG0000238	MHJ_RS01130	FEF31_RS00810
OG0000239	MHJ_RS02925	FEF31_RS02680
OG0000240	MHJ_RS02930	FEF31_RS02685
OG0000241	MHJ_RS02940	FEF31_RS02695
OG0000242	MHJ_RS02945	FEF31_RS02700
OG0000243	MHJ_RS02950	FEF31_RS02705
OG0000244	MHJ_RS02960	FEF31_RS02715
OG0000245	MHJ_RS02970	FEF31_RS02720
OG0000246	MHJ_RS00115	FEF31_RS03410
OG0000247	MHJ_RS00125	FEF31_RS03420
OG0000248	MHJ_RS00135	FEF31_RS03430
OG0000249	MHJ_RS00140	FEF31_RS03435
OG0000250	MHJ_RS00155	FEF31_RS03450
OG0000251	MHJ_RS00185	FEF31_RS03480
OG0000252	MHJ_RS00195	FEF31_RS03490
OG0000253	MHJ_RS00200	FEF31_RS03495
OG0000254	MHJ_RS00210	FEF31_RS03505
OG0000255	MHJ_RS00220	FEF31_RS03510
OG0000256	MHJ_RS00225	FEF31_RS03515
OG0000257	MHJ_RS00250	FEF31_RS03540
OG0000258	MHJ_RS00260	FEF31_RS03550
OG0000259	MHJ_RS00290	FEF31_RS03580
OG0000260	MHJ_RS00300	FEF31_RS03590
OG0000261	MHJ_RS00310	FEF31_RS04680
OG0000262	MHJ_RS00325	FEF31_RS00010
OG0000263	MHJ_RS00340	FEF31_RS00025
OG0000264	MHJ_RS00355	FEF31_RS00040
OG0000265	MHJ_RS00365	FEF31_RS00050
OG0000266	MHJ_RS00380	FEF31_RS00065
OG0000267	MHJ_RS00395	FEF31_RS00080
OG0000268	MHJ_RS00400	FEF31_RS00085
OG0000269	MHJ_RS00415	FEF31_RS00100
OG0000270	MHJ_RS03460	FEF31_RS04635
OG0000271	MHJ_RS03455	FEF31_RS03160
OG0000272	MHJ_RS03450	FEF31_RS03155
OG0000273	MHJ_RS03445	FEF31_RS03150
OG0000274	MHJ_RS03425	FEF31_RS03130
OG0000275	MHJ_RS03420	FEF31_RS04625
OG0000276	MHJ_RS03415	FEF31_RS03120
OG0000277	MHJ_RS03405	FEF31_RS03110
OG0000278	MHJ_RS03400	FEF31_RS03105
OG0000279	MHJ_RS03390	FEF31_RS03095
OG0000280	MHJ_RS03385	FEF31_RS03090
OG0000281	MHJ_RS03705	FEF31_RS03085
OG0000282	MHJ_RS03360	FEF31_RS04615
OG0000283	MHJ_RS03355	FEF31_RS03055
OG0000284	MHJ_RS03350	FEF31_RS03050
OG0000285	MHJ_RS03345	FEF31_RS04610
OG0000286	MHJ_RS02375	FEF31_RS02155
OG0000287	MHJ_RS02475	FEF31_RS02260
OG0000288	MHJ_RS02485	FEF31_RS02270
OG0000289	MHJ_RS02495	FEF31_RS02275
OG0000290	MHJ_RS02605	FEF31_RS02385
OG0000291	MHJ_RS02595	FEF31_RS02375
OG0000292	MHJ_RS02590	FEF31_RS02370
OG0000293	MHJ_RS02585	FEF31_RS02365
OG0000294	MHJ_RS02570	FEF31_RS02355
OG0000295	MHJ_RS02565	FEF31_RS02350
OG0000296	MHJ_RS02525	FEF31_RS02310
OG0000297	MHJ_RS02520	FEF31_RS02305
OG0000298	MHJ_RS00150	FEF31_RS03445
OG0000299	MHJ_RS00170	FEF31_RS03465
OG0000300	MHJ_RS00350	FEF31_RS00035
OG0000301	MHJ_RS00385	FEF31_RS00070
OG0000302	MHJ_RS00390	FEF31_RS00075
OG0000303	MHJ_RS00545	FEF31_RS00220
OG0000304	MHJ_RS01050	FEF31_RS00730
OG0000305	MHJ_RS02850	FEF31_RS02620
OG0000306	MHJ_RS02775	FEF31_RS02545
OG0000307	MHJ_RS02730	FEF31_RS02510
OG0000308	MHJ_RS02625	FEF31_RS02405
OG0000309	MHJ_RS02555	FEF31_RS02340
OG0000310	MHJ_RS02480	FEF31_RS02265
OG0000311	MHJ_RS02435	FEF31_RS02215
OG0000312	MHJ_RS02420	FEF31_RS02200
OG0000313	MHJ_RS01555	FEF31_RS01260
OG0000314	MHJ_RS01910	FEF31_RS01700
OG0000315	MHJ_RS01940	FEF31_RS01730
OG0000316	MHJ_RS01950	FEF31_RS01740
OG0000317	MHJ_RS02040	FEF31_RS01835
OG0000318	MHJ_RS01955	FEF31_RS04480
OG0000319	MHJ_RS02180	FEF31_RS01970
OG0000320	MHJ_RS02305	FEF31_RS02095
OG0000321	MHJ_RS01305	FEF31_RS00990
OG0000322	MHJ_RS01350	FEF31_RS01040
OG0000323	MHJ_RS01480	FEF31_RS01170
OG0000324	MHJ_RS02220	FEF31_RS02010
OG0000325	MHJ_RS00680	FEF31_RS00355
OG0000326	MHJ_RS00770	FEF31_RS00450
OG0000327	MHJ_RS00775	FEF31_RS00455
OG0000328	MHJ_RS00860	FEF31_RS00540
OG0000329	MHJ_RS00880	FEF31_RS00560
OG0000330	MHJ_RS01075	FEF31_RS00760
OG0000331	MHJ_RS02955	FEF31_RS02710
OG0000332	MHJ_RS03085	FEF31_RS03680
OG0000333	MHJ_RS03095	FEF31_RS03690
OG0000334	MHJ_RS03205	FEF31_RS03790
OG0000335	MHJ_RS03215	FEF31_RS03800
OG0000336	MHJ_RS03375	FEF31_RS04620
OG0000337	MHJ_RS03535	FEF31_RS03240
OG0000338	MHJ_RS03575	FEF31_RS03280
OG0000339	MHJ_RS02280	FEF31_RS02070
OG0000340	MHJ_RS01285	FEF31_RS00970
OG0000341	MHJ_RS02240	FEF31_RS02030
OG0000342	MHJ_RS00710	FEF31_RS00385
OG0000343	MHJ_RS03105	FEF31_RS03700
OG0000344	MHJ_RS00560	FEF31_RS00235
OG0000345	MHJ_RS00995	FEF31_RS00675
OG0000346	MHJ_RS03380	FEF31_RS03080
OG0000347	MHJ_RS01375	FEF31_RS01065
OG0000348	MHJ_RS00780	FEF31_RS00460
OG0000349	MHJ_RS03435	FEF31_RS04630
OG0000350	MHJ_RS02720	FEF31_RS02500
OG0000351	MHJ_RS00475	FEF31_RS00155
OG0000352	MHJ_RS01885	FEF31_RS01680
OG0000353	MHJ_RS01345	FEF31_RS01035
OG0000354	MHJ_RS00620	FEF31_RS00295
OG0000355	MHJ_RS01855	FEF31_RS04470
OG0000356	MHJ_RS01945	FEF31_RS04475
OG0000357	MHJ_RS03065	FEF31_RS04685
OG0000358	MHJ_RS03070	FEF31_RS03665
OG0000359	MHJ_RS00750	FEF31_RS04380
OG0000360	MHJ_RS00255	FEF31_RS03545
OG0000361	MHJ_RS00285	FEF31_RS03575
OG0000362	MHJ_RS02500	FEF31_RS02285
OG0000363	MHJ_RS03840	FEF31_RS01105
OG0000364	MHJ_RS01830	FEF31_RS01635
OG0000365	MHJ_RS01985	FEF31_RS01785
OG0000366	MHJ_RS02010	FEF31_RS01805
OG0000367	MHJ_RS02020	FEF31_RS01815
OG0000368	MHJ_RS00060	FEF31_RS03345
OG0000369	MHJ_RS00025	FEF31_RS04650
OG0000370	MHJ_RS00020	FEF31_RS03305
OG0000371	MHJ_RS00015	FEF31_RS03300
OG0000372	MHJ_RS00010	FEF31_RS03295
OG0000373	MHJ_RS03565	FEF31_RS03270
OG0000374	MHJ_RS03555	FEF31_RS03260
OG0000375	MHJ_RS02175	FEF31_RS01965
OG0000376	MHJ_RS02320	FEF31_RS02110
OG0000377	MHJ_RS02310	FEF31_RS02100
OG0000378	MHJ_RS01265	FEF31_RS00950
OG0000379	MHJ_RS01340	FEF31_RS01030
OG0000380	MHJ_RS01365	FEF31_RS01055
OG0000381	MHJ_RS01405	FEF31_RS01095
OG0000382	MHJ_RS01435	FEF31_RS01125
OG0000383	MHJ_RS01475	FEF31_RS01165
OG0000384	MHJ_RS00500	FEF31_RS00175
OG0000385	MHJ_RS00505	FEF31_RS00180
OG0000386	MHJ_RS00525	FEF31_RS00200
OG0000387	MHJ_RS00550	FEF31_RS00225
OG0000388	MHJ_RS00555	FEF31_RS04370
OG0000389	MHJ_RS00600	FEF31_RS00275
OG0000390	MHJ_RS02875	FEF31_RS02640
OG0000391	MHJ_RS02865	FEF31_RS02630
OG0000392	MHJ_RS02835	FEF31_RS02605
OG0000393	MHJ_RS02780	FEF31_RS04550
OG0000394	MHJ_RS02695	FEF31_RS02475
OG0000395	MHJ_RS02690	FEF31_RS02470
OG0000396	MHJ_RS02380	FEF31_RS02160
OG0000397	MHJ_RS01870	FEF31_RS01665
OG0000398	MHJ_RS01875	FEF31_RS01670
OG0000399	MHJ_RS01925	FEF31_RS01715
OG0000400	MHJ_RS03030	FEF31_RS03625
OG0000401	MHJ_RS03090	FEF31_RS03685
OG0000402	MHJ_RS03100	FEF31_RS03695
OG0000403	MHJ_RS03110	FEF31_RS03705
OG0000404	MHJ_RS03140	FEF31_RS03730
OG0000405	MHJ_RS03155	FEF31_RS04800
OG0000406	MHJ_RS03220	FEF31_RS03805
OG0000407	MHJ_RS03225	FEF31_RS04695
OG0000408	MHJ_RS03230	FEF31_RS03815
OG0000409	MHJ_RS03235	FEF31_RS03820
OG0000410	MHJ_RS03290	FEF31_RS02985
OG0000411	MHJ_RS03280	FEF31_RS02975
OG0000412	MHJ_RS03275	FEF31_RS02970
OG0000413	MHJ_RS01490	FEF31_RS01180
OG0000414	MHJ_RS01500	FEF31_RS01190
OG0000415	MHJ_RS01505	FEF31_RS01195
OG0000416	MHJ_RS01515	FEF31_RS01205
OG0000417	MHJ_RS02235	FEF31_RS02025
OG0000418	MHJ_RS02230	FEF31_RS02020
OG0000419	MHJ_RS00690	FEF31_RS00365
OG0000420	MHJ_RS00725	FEF31_RS00400
OG0000421	MHJ_RS00755	FEF31_RS00435
OG0000422	MHJ_RS00765	FEF31_RS00445
OG0000423	MHJ_RS00820	FEF31_RS00500
OG0000424	MHJ_RS00825	FEF31_RS00505
OG0000425	MHJ_RS00835	FEF31_RS00515
OG0000426	MHJ_RS00840	FEF31_RS04385
OG0000427	MHJ_RS00865	FEF31_RS04390
OG0000428	MHJ_RS00890	FEF31_RS00570
OG0000429	MHJ_RS00985	FEF31_RS00665
OG0000430	MHJ_RS01030	FEF31_RS00710
OG0000431	MHJ_RS01040	FEF31_RS00720
OG0000432	MHJ_RS01070	FEF31_RS00755
OG0000433	MHJ_RS01085	FEF31_RS00770
OG0000434	MHJ_RS01090	FEF31_RS00775
OG0000435	MHJ_RS01105	FEF31_RS00790
OG0000436	MHJ_RS01135	FEF31_RS00815
OG0000437	MHJ_RS01145	FEF31_RS00825
OG0000438	MHJ_RS01150	FEF31_RS00830
OG0000439	MHJ_RS01155	FEF31_RS04400
OG0000440	MHJ_RS02935	FEF31_RS02690
OG0000441	MHJ_RS02975	FEF31_RS02725
OG0000442	MHJ_RS00120	FEF31_RS03415
OG0000443	MHJ_RS00165	FEF31_RS03460
OG0000444	MHJ_RS00180	FEF31_RS03475
OG0000445	MHJ_RS00205	FEF31_RS03500
OG0000446	MHJ_RS00235	FEF31_RS03525
OG0000447	MHJ_RS00240	FEF31_RS03530
OG0000448	MHJ_RS00270	FEF31_RS03560
OG0000449	MHJ_RS00295	FEF31_RS03585
OG0000450	MHJ_RS00305	FEF31_RS03595
OG0000451	MHJ_RS00345	FEF31_RS00030
OG0000452	MHJ_RS00370	FEF31_RS00055
OG0000453	MHJ_RS00405	FEF31_RS00090
OG0000455	MHJ_RS03480	FEF31_RS03185
OG0000456	MHJ_RS03365	FEF31_RS03065
OG0000457	MHJ_RS03340	FEF31_RS03040
OG0000458	MHJ_RS02470	FEF31_RS02255
OG0000460	MHJ_RS02505	FEF31_RS02290
OG0000461	MHJ_RS02550	FEF31_RS02335
OG0000462	MHJ_RS02545	FEF31_RS02330
OG0000463	MHJ_RS02540	FEF31_RS02325
OG0000464	MHJ_RS02535	FEF31_RS02320
OG0000465	MHJ_RS02530	FEF31_RS02315
OG0000466	MHJ_RS00375	FEF31_RS00060
OG0000467	MHJ_RS02640	FEF31_RS04530
OG0000468	MHJ_RS01920	FEF31_RS01710
OG0000469	MHJ_RS01980	FEF31_RS01770
OG0000470	MHJ_RS03785	FEF31_RS00495
OG0000471	MHJ_RS00895	FEF31_RS00575
OG0000472	MHJ_RS03300	FEF31_RS02995
OG0000473	MHJ_RS03465	FEF31_RS03170
OG0000474	MHJ_RS03470	FEF31_RS03175
OG0000475	MHJ_RS03475	FEF31_RS03180
OG0000476	MHJ_RS01525	FEF31_RS01215
OG0000477	MHJ_RS02580	FEF31_RS02360
OG0000478	MHJ_RS03410	FEF31_RS03115
OG0000479	MHJ_RS01300	FEF31_RS00985
OG0000480	MHJ_RS03770	FEF31_RS01775
OG0000481	MHJ_RS00790	FEF31_RS00470
OG0000482	MHJ_RS01185	FEF31_RS00865
OG0000483	MHJ_RS02025	FEF31_RS01820
OG0000484	MHJ_RS00175	FEF31_RS04675
OG0000485	MHJ_RS01140	FEF31_RS00820
OG0000486	MHJ_RS02255	FEF31_RS02045
OG0000487	MHJ_RS01960	FEF31_RS04485
OG0000488	MHJ_RS01995	FEF31_RS01790
OG0000489	MHJ_RS00050	FEF31_RS03335
OG0000490	MHJ_RS03570	FEF31_RS03275
OG0000491	MHJ_RS01320	FEF31_RS01005
OG0000492	MHJ_RS01395	FEF31_RS01085
OG0000493	MHJ_RS00565	FEF31_RS00240
OG0000494	MHJ_RS00625	FEF31_RS00300
OG0000495	MHJ_RS02805	FEF31_RS02575
OG0000496	MHJ_RS02795	FEF31_RS02565
OG0000497	MHJ_RS02790	FEF31_RS02560
OG0000498	MHJ_RS02700	FEF31_RS02480
OG0000499	MHJ_RS02665	FEF31_RS02445
OG0000500	MHJ_RS01880	FEF31_RS01675
OG0000502	MHJ_RS01175	FEF31_RS00855
