Orthogroup	MHP_J_genes	MHP_MHP691_genes
OG0000073	MHJ_RS00685	DR087_RS02200
OG0000074	MHJ_RS00875	DR087_RS04685
OG0000075	MHJ_RS00320	DR087_RS01860
OG0000077	MHJ_RS00425	DR087_RS03060
OG0000079	MHJ_RS02515	DR087_RS02980
OG0000080	MHJ_RS03800	DR087_RS04005
OG0000081	MHJ_RS00315	DR087_RS01855
OG0000082	MHJ_RS03775	DR087_RS01685
OG0000083	MHJ_RS01975	DR087_RS00065
OG0000084	MHJ_RS02000	DR087_RS00090
OG0000085	MHJ_RS02005	DR087_RS00095
OG0000086	MHJ_RS02015	DR087_RS00105
OG0000087	MHJ_RS02030	DR087_RS00120
OG0000088	MHJ_RS02035	DR087_RS00125
OG0000089	MHJ_RS02045	DR087_RS00135
OG0000090	MHJ_RS00070	DR087_RS00500
OG0000091	MHJ_RS00055	DR087_RS00485
OG0000092	MHJ_RS00040	DR087_RS00470
OG0000093	MHJ_RS00035	DR087_RS00465
OG0000094	MHJ_RS00030	DR087_RS00460
OG0000095	MHJ_RS00005	DR087_RS00435
OG0000096	MHJ_RS03580	DR087_RS00430
OG0000097	MHJ_RS03560	DR087_RS00410
OG0000098	MHJ_RS03550	DR087_RS00400
OG0000099	MHJ_RS03505	DR087_RS00775
OG0000100	MHJ_RS03490	DR087_RS00750
OG0000101	MHJ_RS03485	DR087_RS00745
OG0000102	MHJ_RS01650	DR087_RS02090
OG0000103	MHJ_RS02165	DR087_RS00180
OG0000104	MHJ_RS02170	DR087_RS00185
OG0000105	MHJ_RS02185	DR087_RS00200
OG0000106	MHJ_RS02195	DR087_RS00210
OG0000107	MHJ_RS02205	DR087_RS00220
OG0000108	MHJ_RS02210	DR087_RS00225
OG0000109	MHJ_RS02215	DR087_RS00230
OG0000110	MHJ_RS02330	DR087_RS01695
OG0000111	MHJ_RS02325	DR087_RS01700
OG0000112	MHJ_RS02315	DR087_RS01710
OG0000113	MHJ_RS02295	DR087_RS04610
OG0000114	MHJ_RS02285	DR087_RS01740
OG0000115	MHJ_RS02275	DR087_RS01750
OG0000116	MHJ_RS01270	DR087_RS03310
OG0000117	MHJ_RS01275	DR087_RS03305
OG0000118	MHJ_RS01310	DR087_RS01190
OG0000119	MHJ_RS01315	DR087_RS01185
OG0000120	MHJ_RS01330	DR087_RS01170
OG0000121	MHJ_RS01355	DR087_RS01145
OG0000122	MHJ_RS01360	DR087_RS01140
OG0000123	MHJ_RS01380	DR087_RS01120
OG0000124	MHJ_RS01385	DR087_RS01115
OG0000125	MHJ_RS01390	DR087_RS01110
OG0000126	MHJ_RS01400	DR087_RS01100
OG0000127	MHJ_RS01410	DR087_RS01090
OG0000128	MHJ_RS01425	DR087_RS01075
OG0000129	MHJ_RS01430	DR087_RS01070
OG0000130	MHJ_RS01440	DR087_RS01060
OG0000131	MHJ_RS01470	DR087_RS04535
OG0000132	MHJ_RS01485	DR087_RS04530
OG0000133	MHJ_RS00515	DR087_RS02865
OG0000134	MHJ_RS00520	DR087_RS02870
OG0000135	MHJ_RS00535	DR087_RS02885
OG0000136	MHJ_RS00540	DR087_RS02890
OG0000137	MHJ_RS00575	DR087_RS02930
OG0000138	MHJ_RS00605	DR087_RS03165
OG0000139	MHJ_RS00635	DR087_RS03135
OG0000140	MHJ_RS00640	DR087_RS03130
OG0000141	MHJ_RS02910	DR087_RS01495
OG0000142	MHJ_RS02905	DR087_RS04585
OG0000143	MHJ_RS02880	DR087_RS01465
OG0000144	MHJ_RS02870	DR087_RS01455
OG0000145	MHJ_RS02855	DR087_RS01445
OG0000146	MHJ_RS02845	DR087_RS01435
OG0000147	MHJ_RS02840	DR087_RS01430
OG0000148	MHJ_RS02825	DR087_RS01415
OG0000149	MHJ_RS02815	DR087_RS01405
OG0000150	MHJ_RS02800	DR087_RS01390
OG0000151	MHJ_RS02745	DR087_RS03290
OG0000152	MHJ_RS02740	DR087_RS03285
OG0000153	MHJ_RS02735	DR087_RS03280
OG0000154	MHJ_RS02725	DR087_RS03270
OG0000155	MHJ_RS02685	DR087_RS03545
OG0000156	MHJ_RS02675	DR087_RS01225
OG0000157	MHJ_RS02670	DR087_RS04555
OG0000158	MHJ_RS04010	DR087_RS04560
OG0000159	MHJ_RS04030	DR087_RS04805
OG0000160	MHJ_RS02410	DR087_RS02460
OG0000161	MHJ_RS02405	DR087_RS02455
OG0000162	MHJ_RS02395	DR087_RS02445
OG0000163	MHJ_RS02390	DR087_RS02440
OG0000164	MHJ_RS01565	DR087_RS03205
OG0000165	MHJ_RS01890	DR087_RS01520
OG0000166	MHJ_RS01915	DR087_RS00005
OG0000167	MHJ_RS01930	DR087_RS00020
OG0000168	MHJ_RS01935	DR087_RS00025
OG0000169	MHJ_RS03005	DR087_RS01010
OG0000170	MHJ_RS03035	DR087_RS00990
OG0000171	MHJ_RS03045	DR087_RS00980
OG0000172	MHJ_RS03050	DR087_RS00975
OG0000173	MHJ_RS03055	DR087_RS00970
OG0000174	MHJ_RS03060	DR087_RS00965
OG0000175	MHJ_RS03075	DR087_RS00950
OG0000176	MHJ_RS03125	DR087_RS00900
OG0000177	MHJ_RS03130	DR087_RS00895
OG0000178	MHJ_RS03135	DR087_RS00890
OG0000179	MHJ_RS03145	DR087_RS00880
OG0000180	MHJ_RS03150	DR087_RS00875
OG0000181	MHJ_RS03200	DR087_RS04520
OG0000182	MHJ_RS03210	DR087_RS00820
OG0000183	MHJ_RS03245	DR087_RS00785
OG0000184	MHJ_RS03285	DR087_RS02140
OG0000185	MHJ_RS03270	DR087_RS02155
OG0000186	MHJ_RS01495	DR087_RS04735
OG0000187	MHJ_RS01510	DR087_RS03425
OG0000188	MHJ_RS01520	DR087_RS03415
OG0000189	MHJ_RS02250	DR087_RS04425
OG0000190	MHJ_RS02245	DR087_RS00260
OG0000191	MHJ_RS02225	DR087_RS00240
OG0000192	MHJ_RS01190	DR087_RS02805
OG0000193	MHJ_RS01180	DR087_RS02790
OG0000194	MHJ_RS00670	DR087_RS02185
OG0000195	MHJ_RS00675	DR087_RS02190
OG0000196	MHJ_RS00695	DR087_RS02210
OG0000197	MHJ_RS00700	DR087_RS02215
OG0000198	MHJ_RS00715	DR087_RS02230
OG0000199	MHJ_RS00720	DR087_RS02235
OG0000200	MHJ_RS00730	DR087_RS02250
OG0000201	MHJ_RS00740	DR087_RS02260
OG0000202	MHJ_RS00795	DR087_RS02315
OG0000203	MHJ_RS00800	DR087_RS02320
OG0000204	MHJ_RS00805	DR087_RS04700
OG0000205	MHJ_RS00810	DR087_RS02610
OG0000206	MHJ_RS00830	DR087_RS02590
OG0000207	MHJ_RS00845	DR087_RS02575
OG0000208	MHJ_RS00850	DR087_RS02570
OG0000209	MHJ_RS00855	DR087_RS02565
OG0000210	MHJ_RS00900	DR087_RS02520
OG0000211	MHJ_RS00910	DR087_RS02630
OG0000212	MHJ_RS00920	DR087_RS02640
OG0000213	MHJ_RS00925	DR087_RS02645
OG0000214	MHJ_RS00930	DR087_RS02650
OG0000215	MHJ_RS00935	DR087_RS02655
OG0000216	MHJ_RS00940	DR087_RS02660
OG0000217	MHJ_RS00945	DR087_RS02665
OG0000218	MHJ_RS00955	DR087_RS02675
OG0000219	MHJ_RS00960	DR087_RS02680
OG0000220	MHJ_RS00965	DR087_RS02685
OG0000221	MHJ_RS00970	DR087_RS02690
OG0000222	MHJ_RS00975	DR087_RS02695
OG0000223	MHJ_RS00980	DR087_RS02700
OG0000224	MHJ_RS00990	DR087_RS02710
OG0000225	MHJ_RS01000	DR087_RS02720
OG0000226	MHJ_RS01005	DR087_RS02725
OG0000227	MHJ_RS01010	DR087_RS02730
OG0000228	MHJ_RS04015	DR087_RS04810
OG0000229	MHJ_RS01020	DR087_RS02740
OG0000230	MHJ_RS01025	DR087_RS02745
OG0000231	MHJ_RS01035	DR087_RS02755
OG0000232	MHJ_RS01045	DR087_RS02765
OG0000233	MHJ_RS01065	DR087_RS02010
OG0000234	MHJ_RS01100	DR087_RS01970
OG0000235	MHJ_RS01110	DR087_RS01960
OG0000236	MHJ_RS01115	DR087_RS01955
OG0000237	MHJ_RS01120	DR087_RS01950
OG0000238	MHJ_RS01130	DR087_RS01940
OG0000239	MHJ_RS02925	DR087_RS03355
OG0000240	MHJ_RS02930	DR087_RS03350
OG0000241	MHJ_RS02940	DR087_RS03340
OG0000242	MHJ_RS02945	DR087_RS03365
OG0000243	MHJ_RS02950	DR087_RS03370
OG0000244	MHJ_RS02960	DR087_RS03380
OG0000245	MHJ_RS02970	DR087_RS03390
OG0000246	MHJ_RS00115	DR087_RS00560
OG0000247	MHJ_RS00125	DR087_RS02415
OG0000248	MHJ_RS00135	DR087_RS02405
OG0000249	MHJ_RS00140	DR087_RS02400
OG0000250	MHJ_RS00155	DR087_RS02385
OG0000251	MHJ_RS00185	DR087_RS02350
OG0000252	MHJ_RS00195	DR087_RS02340
OG0000253	MHJ_RS00200	DR087_RS02335
OG0000254	MHJ_RS00210	DR087_RS02325
OG0000255	MHJ_RS00220	DR087_RS01760
OG0000256	MHJ_RS00225	DR087_RS01765
OG0000257	MHJ_RS00250	DR087_RS01790
OG0000258	MHJ_RS00260	DR087_RS01800
OG0000259	MHJ_RS00290	DR087_RS01830
OG0000260	MHJ_RS00300	DR087_RS01840
OG0000261	MHJ_RS00310	DR087_RS04615
OG0000262	MHJ_RS00325	DR087_RS01865
OG0000263	MHJ_RS00340	DR087_RS01880
OG0000264	MHJ_RS00355	DR087_RS01895
OG0000265	MHJ_RS00365	DR087_RS01910
OG0000266	MHJ_RS00380	DR087_RS03015
OG0000267	MHJ_RS00395	DR087_RS03030
OG0000268	MHJ_RS00400	DR087_RS03035
OG0000269	MHJ_RS00415	DR087_RS03050
OG0000270	MHJ_RS03460	DR087_RS04505
OG0000271	MHJ_RS03455	DR087_RS00715
OG0000272	MHJ_RS03450	DR087_RS00710
OG0000273	MHJ_RS03445	DR087_RS00705
OG0000274	MHJ_RS03425	DR087_RS00685
OG0000275	MHJ_RS03420	DR087_RS04495
OG0000276	MHJ_RS03415	DR087_RS00675
OG0000277	MHJ_RS03405	DR087_RS00665
OG0000278	MHJ_RS03400	DR087_RS00660
OG0000279	MHJ_RS03390	DR087_RS00650
OG0000280	MHJ_RS03385	DR087_RS00645
OG0000281	MHJ_RS03705	DR087_RS00640
OG0000282	MHJ_RS03360	DR087_RS04485
OG0000283	MHJ_RS03355	DR087_RS00610
OG0000284	MHJ_RS03350	DR087_RS00605
OG0000285	MHJ_RS03345	DR087_RS04480
OG0000286	MHJ_RS02375	DR087_RS02425
OG0000287	MHJ_RS02475	DR087_RS02940
OG0000288	MHJ_RS02485	DR087_RS02950
OG0000289	MHJ_RS02495	DR087_RS02955
OG0000290	MHJ_RS02605	DR087_RS01285
OG0000291	MHJ_RS02595	DR087_RS01295
OG0000292	MHJ_RS02590	DR087_RS01300
OG0000293	MHJ_RS02585	DR087_RS01305
OG0000294	MHJ_RS02570	DR087_RS01315
OG0000295	MHJ_RS02565	DR087_RS01320
OG0000296	MHJ_RS02525	DR087_RS02990
OG0000297	MHJ_RS02520	DR087_RS02985
OG0000298	MHJ_RS00150	DR087_RS02390
OG0000299	MHJ_RS00170	DR087_RS02365
OG0000300	MHJ_RS00350	DR087_RS01890
OG0000301	MHJ_RS00385	DR087_RS03020
OG0000302	MHJ_RS00390	DR087_RS03025
OG0000303	MHJ_RS00545	DR087_RS02895
OG0000304	MHJ_RS01050	DR087_RS02770
OG0000305	MHJ_RS02850	DR087_RS01440
OG0000306	MHJ_RS02775	DR087_RS01365
OG0000307	MHJ_RS02730	DR087_RS03275
OG0000308	MHJ_RS02625	DR087_RS01265
OG0000309	MHJ_RS02555	DR087_RS01330
OG0000310	MHJ_RS02480	DR087_RS02945
OG0000311	MHJ_RS02435	DR087_RS02485
OG0000312	MHJ_RS02420	DR087_RS02470
OG0000313	MHJ_RS01555	DR087_RS03215
OG0000314	MHJ_RS01910	DR087_RS01500
OG0000315	MHJ_RS01940	DR087_RS00030
OG0000316	MHJ_RS01950	DR087_RS00040
OG0000317	MHJ_RS02040	DR087_RS00130
OG0000318	MHJ_RS01955	DR087_RS04400
OG0000319	MHJ_RS02180	DR087_RS00195
OG0000320	MHJ_RS02305	DR087_RS01720
OG0000321	MHJ_RS01305	DR087_RS01195
OG0000322	MHJ_RS01350	DR087_RS01150
OG0000323	MHJ_RS01480	DR087_RS01020
OG0000324	MHJ_RS02220	DR087_RS00235
OG0000325	MHJ_RS00680	DR087_RS02195
OG0000326	MHJ_RS00770	DR087_RS02290
OG0000327	MHJ_RS00775	DR087_RS02295
OG0000328	MHJ_RS00860	DR087_RS02560
OG0000329	MHJ_RS00880	DR087_RS02540
OG0000330	MHJ_RS01075	DR087_RS01995
OG0000331	MHJ_RS02955	DR087_RS03375
OG0000332	MHJ_RS03085	DR087_RS00940
OG0000333	MHJ_RS03095	DR087_RS00930
OG0000334	MHJ_RS03205	DR087_RS00825
OG0000335	MHJ_RS03215	DR087_RS00815
OG0000336	MHJ_RS03375	DR087_RS04490
OG0000337	MHJ_RS03535	DR087_RS00385
OG0000338	MHJ_RS03575	DR087_RS00425
OG0000339	MHJ_RS02280	DR087_RS01745
OG0000340	MHJ_RS01285	DR087_RS01215
OG0000341	MHJ_RS02240	DR087_RS00255
OG0000342	MHJ_RS00710	DR087_RS02225
OG0000343	MHJ_RS03105	DR087_RS00920
OG0000344	MHJ_RS00560	DR087_RS02910
OG0000345	MHJ_RS00995	DR087_RS02715
OG0000346	MHJ_RS03380	DR087_RS00635
OG0000347	MHJ_RS01375	DR087_RS01125
OG0000348	MHJ_RS00780	DR087_RS02300
OG0000349	MHJ_RS03435	DR087_RS04500
OG0000350	MHJ_RS02720	DR087_RS03265
OG0000351	MHJ_RS00475	DR087_RS03115
OG0000352	MHJ_RS01885	DR087_RS01525
OG0000353	MHJ_RS01345	DR087_RS01155
OG0000354	MHJ_RS00620	DR087_RS03150
OG0000355	MHJ_RS01855	DR087_RS04595
OG0000356	MHJ_RS01945	DR087_RS04395
OG0000357	MHJ_RS03065	DR087_RS04525
OG0000358	MHJ_RS03070	DR087_RS00955
OG0000359	MHJ_RS00750	DR087_RS04665
OG0000360	MHJ_RS00255	DR087_RS01795
OG0000361	MHJ_RS00285	DR087_RS01825
OG0000362	MHJ_RS02500	DR087_RS02965
OG0000363	MHJ_RS03840	DR087_RS04545
OG0000364	MHJ_RS03765	DR087_RS01580
OG0000365	MHJ_RS01985	DR087_RS04420
OG0000366	MHJ_RS02010	DR087_RS00100
OG0000367	MHJ_RS02020	DR087_RS00110
OG0000368	MHJ_RS00060	DR087_RS00490
OG0000369	MHJ_RS00025	DR087_RS04455
OG0000371	MHJ_RS00015	DR087_RS04765
OG0000372	MHJ_RS00010	DR087_RS00440
OG0000373	MHJ_RS03565	DR087_RS00415
OG0000374	MHJ_RS03555	DR087_RS00405
OG0000375	MHJ_RS02175	DR087_RS00190
OG0000376	MHJ_RS02320	DR087_RS01705
OG0000377	MHJ_RS02310	DR087_RS01715
OG0000378	MHJ_RS01265	DR087_RS03315
OG0000379	MHJ_RS01340	DR087_RS01160
OG0000380	MHJ_RS01365	DR087_RS01135
OG0000381	MHJ_RS01405	DR087_RS01095
OG0000382	MHJ_RS01435	DR087_RS01065
OG0000383	MHJ_RS01475	DR087_RS01025
OG0000384	MHJ_RS00500	DR087_RS03460
OG0000385	MHJ_RS00505	DR087_RS03455
OG0000386	MHJ_RS00525	DR087_RS02875
OG0000387	MHJ_RS00550	DR087_RS02900
OG0000388	MHJ_RS00555	DR087_RS04720
OG0000389	MHJ_RS00600	DR087_RS03170
OG0000390	MHJ_RS02875	DR087_RS01460
OG0000391	MHJ_RS02865	DR087_RS01450
OG0000392	MHJ_RS02835	DR087_RS01425
OG0000393	MHJ_RS02780	DR087_RS04575
OG0000394	MHJ_RS02695	DR087_RS03560
OG0000395	MHJ_RS02690	DR087_RS03550
OG0000396	MHJ_RS02380	DR087_RS02430
OG0000397	MHJ_RS01870	DR087_RS01540
OG0000398	MHJ_RS01875	DR087_RS01535
OG0000399	MHJ_RS01925	DR087_RS00015
OG0000400	MHJ_RS03030	DR087_RS00995
OG0000401	MHJ_RS03090	DR087_RS00935
OG0000402	MHJ_RS03100	DR087_RS00925
OG0000403	MHJ_RS03110	DR087_RS00915
OG0000404	MHJ_RS03140	DR087_RS00885
OG0000405	MHJ_RS03155	DR087_RS00870
OG0000406	MHJ_RS03220	DR087_RS00810
OG0000407	MHJ_RS03225	DR087_RS04515
OG0000408	MHJ_RS03230	DR087_RS00800
OG0000409	MHJ_RS03235	DR087_RS00795
OG0000410	MHJ_RS03290	DR087_RS02135
OG0000411	MHJ_RS03280	DR087_RS02145
OG0000412	MHJ_RS03275	DR087_RS02150
OG0000413	MHJ_RS01490	DR087_RS00355
OG0000414	MHJ_RS01500	DR087_RS03435
OG0000415	MHJ_RS01505	DR087_RS03430
OG0000416	MHJ_RS01515	DR087_RS03420
OG0000417	MHJ_RS02235	DR087_RS00250
OG0000418	MHJ_RS02230	DR087_RS00245
OG0000419	MHJ_RS00690	DR087_RS02205
OG0000420	MHJ_RS00725	DR087_RS02240
OG0000421	MHJ_RS00755	DR087_RS02275
OG0000422	MHJ_RS00765	DR087_RS02285
OG0000423	MHJ_RS00820	DR087_RS02600
OG0000424	MHJ_RS00825	DR087_RS02595
OG0000425	MHJ_RS00835	DR087_RS02585
OG0000426	MHJ_RS00840	DR087_RS04695
OG0000427	MHJ_RS00865	DR087_RS04690
OG0000428	MHJ_RS00890	DR087_RS02530
OG0000429	MHJ_RS00985	DR087_RS02705
OG0000430	MHJ_RS01030	DR087_RS02750
OG0000431	MHJ_RS01040	DR087_RS02760
OG0000432	MHJ_RS01070	DR087_RS02000
OG0000433	MHJ_RS01085	DR087_RS01985
OG0000434	MHJ_RS01090	DR087_RS01980
OG0000435	MHJ_RS01105	DR087_RS01965
OG0000436	MHJ_RS01135	DR087_RS01935
OG0000437	MHJ_RS01145	DR087_RS01925
OG0000438	MHJ_RS01150	DR087_RS01920
OG0000439	MHJ_RS01155	DR087_RS04620
OG0000440	MHJ_RS02935	DR087_RS03345
OG0000441	MHJ_RS02975	DR087_RS03395
OG0000442	MHJ_RS00120	DR087_RS04770
OG0000443	MHJ_RS00165	DR087_RS02370
OG0000444	MHJ_RS00180	DR087_RS02355
OG0000445	MHJ_RS00205	DR087_RS02330
OG0000446	MHJ_RS00235	DR087_RS01775
OG0000447	MHJ_RS00240	DR087_RS01780
OG0000448	MHJ_RS00270	DR087_RS01810
OG0000449	MHJ_RS00295	DR087_RS01835
OG0000450	MHJ_RS00305	DR087_RS01845
OG0000451	MHJ_RS00345	DR087_RS01885
OG0000452	MHJ_RS00370	DR087_RS03005
OG0000453	MHJ_RS00405	DR087_RS03040
OG0000454	MHJ_RS01590	DR087_RS02015
OG0000455	MHJ_RS03480	DR087_RS00740
OG0000456	MHJ_RS03365	DR087_RS00620
OG0000457	MHJ_RS03340	DR087_RS00595
OG0000458	MHJ_RS02470	DR087_RS02935
OG0000460	MHJ_RS02505	DR087_RS02970
OG0000461	MHJ_RS02550	DR087_RS01335
OG0000462	MHJ_RS02545	DR087_RS01340
OG0000463	MHJ_RS02540	DR087_RS01350
OG0000464	MHJ_RS02535	DR087_RS03000
OG0000465	MHJ_RS02530	DR087_RS02995
OG0000466	MHJ_RS00375	DR087_RS03010
OG0000467	MHJ_RS02640	DR087_RS04570
OG0000468	MHJ_RS01920	DR087_RS00010
OG0000469	MHJ_RS01980	DR087_RS00070
OG0000470	MHJ_RS03785	DR087_RS03755
OG0000471	MHJ_RS00895	DR087_RS02525
OG0000472	MHJ_RS03300	DR087_RS02125
OG0000473	MHJ_RS03465	DR087_RS00725
OG0000474	MHJ_RS03470	DR087_RS00730
OG0000475	MHJ_RS03475	DR087_RS00735
OG0000476	MHJ_RS01525	DR087_RS03410
OG0000477	MHJ_RS02580	DR087_RS01310
OG0000478	MHJ_RS03410	DR087_RS00670
OG0000479	MHJ_RS01300	DR087_RS01200
OG0000480	MHJ_RS03770	DR087_RS03730
OG0000481	MHJ_RS00790	DR087_RS02310
OG0000482	MHJ_RS01185	DR087_RS02795
OG0000483	MHJ_RS02025	DR087_RS00115
OG0000484	MHJ_RS00175	DR087_RS04670
OG0000485	MHJ_RS01140	DR087_RS01930
OG0000486	MHJ_RS02255	DR087_RS00270
OG0000487	MHJ_RS01960	DR087_RS04405
OG0000488	MHJ_RS01995	DR087_RS00085
OG0000489	MHJ_RS00050	DR087_RS00480
OG0000490	MHJ_RS03570	DR087_RS00420
OG0000491	MHJ_RS01320	DR087_RS01180
OG0000492	MHJ_RS01395	DR087_RS01105
OG0000493	MHJ_RS00565	DR087_RS02915
OG0000494	MHJ_RS00625	DR087_RS03145
OG0000495	MHJ_RS02805	DR087_RS01395
OG0000496	MHJ_RS02795	DR087_RS01385
OG0000497	MHJ_RS02790	DR087_RS01380
OG0000498	MHJ_RS02700	DR087_RS03245
OG0000499	MHJ_RS02665	DR087_RS01235
OG0000500	MHJ_RS01880	DR087_RS01530
OG0000501	MHJ_RS03040	DR087_RS00985
OG0000502	MHJ_RS01175	DR087_RS02785
OG0000503	MHJ_RS00735	DR087_RS02255
OG0000504	MHJ_RS00870	DR087_RS02550
OG0000505	MHJ_RS00905	DR087_RS02625
OG0000506	MHJ_RS00915	DR087_RS02635
OG0000507	MHJ_RS00950	DR087_RS02670
OG0000508	MHJ_RS00230	DR087_RS01770
OG0000509	MHJ_RS00265	DR087_RS01805
OG0000510	MHJ_RS00275	DR087_RS01815
OG0000511	MHJ_RS00410	DR087_RS03045
OG0000512	MHJ_RS02510	DR087_RS02975
OG0000513	MHJ_RS03395	DR087_RS00655
OG0000514	MHJ_RS02830	DR087_RS01420
OG0000515	MHJ_RS01535	DR087_RS01610
OG0000516	MHJ_RS01965	DR087_RS04410
OG0000517	MHJ_RS00065	DR087_RS00495
OG0000518	MHJ_RS03080	DR087_RS00945
OG0000519	MHJ_RS00760	DR087_RS02280
OG0000520	MHJ_RS00885	DR087_RS02535
OG0000521	MHJ_RS00245	DR087_RS01785
OG0000522	MHJ_RS00280	DR087_RS01820
OG0000523	MHJ_RS03335	DR087_RS00590
OG0000524	MHJ_RS02635	DR087_RS01260
OG0000525	MHJ_RS03305	DR087_RS04645
OG0000526	MHJ_RS03870, MHJ_RS01785	DR087_RS04050
OG0000528	MHJ_RS01970	DR087_RS04415
OG0000529	MHJ_RS02190	DR087_RS00205
OG0000530	MHJ_RS02290	DR087_RS01735
OG0000531	MHJ_RS01370	DR087_RS01130
OG0000532	MHJ_RS01585	DR087_RS03180
OG0000533	MHJ_RS00585	DR087_RS03510
OG0000534	MHJ_RS00360	DR087_RS01900
OG0000535	MHJ_RS00045	DR087_RS04460
OG0000537	MHJ_RS00705	DR087_RS02220
OG0000538	MHJ_RS01095	DR087_RS01975
OG0000539	MHJ_RS00190	DR087_RS02345
OG0000540	MHJ_RS02600	DR087_RS01290
OG0000541	MHJ_RS02680	DR087_RS01220
OG0000542	MHJ_RS00330	DR087_RS01870
OG0000544	MHJ_RS01225	DR087_RS04710
OG0000545	MHJ_RS01770	DR087_RS01630
