Orthogroup	MHP_J_genes	MFC_Ms42_genes
OG0000238	MHJ_RS01130	MYF_RS02435
OG0000239	MHJ_RS02925	MYF_RS02465
OG0000240	MHJ_RS02930	MYF_RS02470
OG0000241	MHJ_RS02940	MYF_RS02480
OG0000242	MHJ_RS02945	MYF_RS02485
OG0000243	MHJ_RS02950	MYF_RS02490
OG0000244	MHJ_RS02960	MYF_RS02500
OG0000245	MHJ_RS02970	MYF_RS02510
OG0000246	MHJ_RS00115	MYF_RS00085
OG0000247	MHJ_RS00125	MYF_RS00095
OG0000248	MHJ_RS00135	MYF_RS00120
OG0000249	MHJ_RS00140	MYF_RS00125
OG0000250	MHJ_RS00155	MYF_RS00140
OG0000251	MHJ_RS00185	MYF_RS00170
OG0000252	MHJ_RS00195	MYF_RS00180
OG0000253	MHJ_RS00200	MYF_RS00185
OG0000254	MHJ_RS00210	MYF_RS00195
OG0000255	MHJ_RS00220	MYF_RS00205
OG0000256	MHJ_RS00225	MYF_RS00210
OG0000257	MHJ_RS00250	MYF_RS00235
OG0000258	MHJ_RS00260	MYF_RS00245
OG0000259	MHJ_RS00290	MYF_RS00275
OG0000260	MHJ_RS00300	MYF_RS00285
OG0000261	MHJ_RS00310	MYF_RS00295
OG0000262	MHJ_RS00325	MYF_RS00310
OG0000263	MHJ_RS00340	MYF_RS00325
OG0000264	MHJ_RS00355	MYF_RS00340
OG0000265	MHJ_RS00365	MYF_RS00350
OG0000266	MHJ_RS00380	MYF_RS00365
OG0000267	MHJ_RS00395	MYF_RS00380
OG0000268	MHJ_RS00400	MYF_RS00385
OG0000269	MHJ_RS00415	MYF_RS00400
OG0000270	MHJ_RS03460	MYF_RS02955
OG0000271	MHJ_RS03455	MYF_RS02950
OG0000272	MHJ_RS03450	MYF_RS02945
OG0000273	MHJ_RS03445	MYF_RS02940
OG0000274	MHJ_RS03425	MYF_RS02920
OG0000275	MHJ_RS03420	MYF_RS02915
OG0000276	MHJ_RS03415	MYF_RS02910
OG0000277	MHJ_RS03405	MYF_RS02900
OG0000278	MHJ_RS03400	MYF_RS02895
OG0000279	MHJ_RS03390	MYF_RS02885
OG0000280	MHJ_RS03385	MYF_RS02880
OG0000281	MHJ_RS03705	MYF_RS03275
OG0000282	MHJ_RS03360	MYF_RS02855
OG0000283	MHJ_RS03355	MYF_RS02850
OG0000284	MHJ_RS03350	MYF_RS02845
OG0000285	MHJ_RS03345	MYF_RS02840
OG0000286	MHJ_RS02375	MYF_RS01115
OG0000287	MHJ_RS02475	MYF_RS01090
OG0000288	MHJ_RS02485	MYF_RS01080
OG0000289	MHJ_RS02495	MYF_RS01075
OG0000290	MHJ_RS02605	MYF_RS00905
OG0000291	MHJ_RS02595	MYF_RS00915
OG0000292	MHJ_RS02590	MYF_RS00920
OG0000293	MHJ_RS02585	MYF_RS00925
OG0000294	MHJ_RS02570	MYF_RS00935
OG0000295	MHJ_RS02565	MYF_RS00940
OG0000296	MHJ_RS02525	MYF_RS01040
OG0000297	MHJ_RS02520	MYF_RS01045
OG0000298	MHJ_RS00150	MYF_RS00135
OG0000299	MHJ_RS00170	MYF_RS00155
OG0000300	MHJ_RS00350	MYF_RS00335
OG0000301	MHJ_RS00385	MYF_RS00370
OG0000302	MHJ_RS00390	MYF_RS00375
OG0000303	MHJ_RS00545	MYF_RS00515
OG0000304	MHJ_RS01050	MYF_RS00545
OG0000305	MHJ_RS02850	MYF_RS00690
OG0000306	MHJ_RS02775	MYF_RS00770
OG0000307	MHJ_RS02730	MYF_RS00810
OG0000308	MHJ_RS02625	MYF_RS00895
OG0000309	MHJ_RS02555	MYF_RS01005
OG0000310	MHJ_RS02480	MYF_RS01085
OG0000311	MHJ_RS02435	MYF_RS01140
OG0000312	MHJ_RS02420	MYF_RS01160
OG0000313	MHJ_RS01555	MYF_RS01210
OG0000314	MHJ_RS01910	MYF_RS01280
OG0000315	MHJ_RS01940	MYF_RS01310
OG0000316	MHJ_RS01950	MYF_RS01320
OG0000317	MHJ_RS02040	MYF_RS01360
OG0000318	MHJ_RS01955	MYF_RS01450
OG0000319	MHJ_RS02180	MYF_RS01555
OG0000320	MHJ_RS02305	MYF_RS01620
OG0000321	MHJ_RS01305	MYF_RS01685
OG0000322	MHJ_RS01350	MYF_RS01730
OG0000323	MHJ_RS01480	MYF_RS01860
OG0000324	MHJ_RS02220	MYF_RS01960
OG0000325	MHJ_RS00680	MYF_RS02000
OG0000326	MHJ_RS00770	MYF_RS02090
OG0000327	MHJ_RS00775	MYF_RS02095
OG0000328	MHJ_RS00860	MYF_RS02180
OG0000329	MHJ_RS00880	MYF_RS02200
OG0000330	MHJ_RS01075	MYF_RS02380
OG0000331	MHJ_RS02955	MYF_RS02495
OG0000332	MHJ_RS03085	MYF_RS02635
OG0000333	MHJ_RS03095	MYF_RS02645
OG0000334	MHJ_RS03205	MYF_RS02715
OG0000335	MHJ_RS03215	MYF_RS02725
OG0000336	MHJ_RS03375	MYF_RS02870
OG0000337	MHJ_RS03535	MYF_RS03105
OG0000338	MHJ_RS03575	MYF_RS03145
OG0000339	MHJ_RS02280	MYF_RS01640
OG0000340	MHJ_RS01285	MYF_RS01665
OG0000341	MHJ_RS02240	MYF_RS01940
OG0000342	MHJ_RS00710	MYF_RS02030
OG0000343	MHJ_RS03105	MYF_RS02655
OG0000344	MHJ_RS00560	MYF_RS00530
OG0000345	MHJ_RS00995	MYF_RS02310
OG0000346	MHJ_RS03380	MYF_RS02875
OG0000347	MHJ_RS01375	MYF_RS01755
OG0000348	MHJ_RS00780	MYF_RS02100
OG0000349	MHJ_RS03435	MYF_RS02930
OG0000350	MHJ_RS02720	MYF_RS03360
OG0000351	MHJ_RS00475	MYF_RS00465
OG0000352	MHJ_RS01885	MYF_RS01260
OG0000353	MHJ_RS01345	MYF_RS01725
OG0000354	MHJ_RS00620	MYF_RS00580
OG0000355	MHJ_RS01855	MYF_RS01235
OG0000356	MHJ_RS01945	MYF_RS01315
OG0000357	MHJ_RS03065	MYF_RS02615
OG0000358	MHJ_RS03070	MYF_RS02620
OG0000359	MHJ_RS00750	MYF_RS02070
OG0000360	MHJ_RS00255	MYF_RS00240
OG0000361	MHJ_RS00285	MYF_RS00270
OG0000362	MHJ_RS02500	MYF_RS01065
OG0000363	MHJ_RS03840	MYF_RS01795
OG0000365	MHJ_RS01985	MYF_RS01420
OG0000366	MHJ_RS02010	MYF_RS01390
OG0000367	MHJ_RS02020	MYF_RS01380
OG0000368	MHJ_RS00060	MYF_RS00060
OG0000369	MHJ_RS00025	MYF_RS00025
OG0000370	MHJ_RS00020	MYF_RS00020
OG0000371	MHJ_RS00015	MYF_RS00015
OG0000372	MHJ_RS00010	MYF_RS00010
OG0000373	MHJ_RS03565	MYF_RS03135
OG0000374	MHJ_RS03555	MYF_RS03125
OG0000375	MHJ_RS02175	MYF_RS01550
OG0000376	MHJ_RS02320	MYF_RS01605
OG0000377	MHJ_RS02310	MYF_RS01615
OG0000378	MHJ_RS01265	MYF_RS01650
OG0000379	MHJ_RS01340	MYF_RS01720
OG0000380	MHJ_RS01365	MYF_RS01745
OG0000381	MHJ_RS01405	MYF_RS01785
OG0000382	MHJ_RS01435	MYF_RS01815
OG0000383	MHJ_RS01475	MYF_RS01855
OG0000384	MHJ_RS00500	MYF_RS00470
OG0000385	MHJ_RS00505	MYF_RS00475
OG0000386	MHJ_RS00525	MYF_RS00495
OG0000387	MHJ_RS00550	MYF_RS00520
OG0000388	MHJ_RS00555	MYF_RS00525
OG0000389	MHJ_RS00600	MYF_RS00560
OG0000390	MHJ_RS02875	MYF_RS00670
OG0000391	MHJ_RS02865	MYF_RS00680
OG0000392	MHJ_RS02835	MYF_RS00705
OG0000393	MHJ_RS02780	MYF_RS00760
OG0000394	MHJ_RS02695	MYF_RS00825
OG0000395	MHJ_RS02690	MYF_RS00830
OG0000396	MHJ_RS02380	MYF_RS01200
OG0000397	MHJ_RS01870	MYF_RS01245
OG0000398	MHJ_RS01875	MYF_RS01250
OG0000399	MHJ_RS01925	MYF_RS01295
OG0000400	MHJ_RS03030	MYF_RS02580
OG0000401	MHJ_RS03090	MYF_RS02640
OG0000402	MHJ_RS03100	MYF_RS02650
OG0000403	MHJ_RS03110	MYF_RS02660
OG0000404	MHJ_RS03140	MYF_RS02685
OG0000405	MHJ_RS03155	MYF_RS02700
OG0000406	MHJ_RS03220	MYF_RS02730
OG0000407	MHJ_RS03225	MYF_RS02735
OG0000408	MHJ_RS03230	MYF_RS02740
OG0000409	MHJ_RS03235	MYF_RS02745
OG0000410	MHJ_RS03290	MYF_RS02780
OG0000411	MHJ_RS03280	MYF_RS02790
OG0000412	MHJ_RS03275	MYF_RS02795
OG0000413	MHJ_RS01490	MYF_RS01890
OG0000414	MHJ_RS01500	MYF_RS01900
OG0000415	MHJ_RS01505	MYF_RS01905
OG0000416	MHJ_RS01515	MYF_RS01915
OG0000417	MHJ_RS02235	MYF_RS01945
OG0000418	MHJ_RS02230	MYF_RS01950
OG0000419	MHJ_RS00690	MYF_RS02010
OG0000420	MHJ_RS00725	MYF_RS02045
OG0000421	MHJ_RS00755	MYF_RS02075
OG0000422	MHJ_RS00765	MYF_RS02085
OG0000423	MHJ_RS00820	MYF_RS02140
OG0000424	MHJ_RS00825	MYF_RS02145
OG0000425	MHJ_RS00835	MYF_RS02155
OG0000426	MHJ_RS00840	MYF_RS02160
OG0000427	MHJ_RS00865	MYF_RS02185
OG0000428	MHJ_RS00890	MYF_RS02210
OG0000429	MHJ_RS00985	MYF_RS02300
OG0000430	MHJ_RS01030	MYF_RS02345
OG0000431	MHJ_RS01040	MYF_RS02355
OG0000432	MHJ_RS01070	MYF_RS02375
OG0000433	MHJ_RS01085	MYF_RS02385
OG0000434	MHJ_RS01090	MYF_RS02390
OG0000435	MHJ_RS01105	MYF_RS02405
OG0000436	MHJ_RS01135	MYF_RS02440
OG0000437	MHJ_RS01145	MYF_RS02450
OG0000438	MHJ_RS01150	MYF_RS02455
OG0000439	MHJ_RS01155	MYF_RS02460
OG0000440	MHJ_RS02935	MYF_RS02475
OG0000441	MHJ_RS02975	MYF_RS02515
OG0000442	MHJ_RS00120	MYF_RS00090
OG0000443	MHJ_RS00165	MYF_RS00150
OG0000444	MHJ_RS00180	MYF_RS00165
OG0000445	MHJ_RS00205	MYF_RS00190
OG0000446	MHJ_RS00235	MYF_RS00220
OG0000447	MHJ_RS00240	MYF_RS00225
OG0000448	MHJ_RS00270	MYF_RS00255
OG0000449	MHJ_RS00295	MYF_RS00280
OG0000450	MHJ_RS00305	MYF_RS00290
OG0000451	MHJ_RS00345	MYF_RS00330
OG0000452	MHJ_RS00370	MYF_RS00355
OG0000453	MHJ_RS00405	MYF_RS00390
OG0000454	MHJ_RS01590	MYF_RS03480, MYF_RS03485
OG0000455	MHJ_RS03480	MYF_RS02975
OG0000456	MHJ_RS03365	MYF_RS02860
OG0000457	MHJ_RS03340	MYF_RS02835
OG0000458	MHJ_RS02470	MYF_RS01095
OG0000460	MHJ_RS02505	MYF_RS01060
OG0000461	MHJ_RS02550	MYF_RS01010
OG0000462	MHJ_RS02545	MYF_RS01015
OG0000463	MHJ_RS02540	MYF_RS01020
OG0000464	MHJ_RS02535	MYF_RS01030
OG0000465	MHJ_RS02530	MYF_RS01035
OG0000466	MHJ_RS00375	MYF_RS00360
OG0000467	MHJ_RS02640	MYF_RS03505
OG0000468	MHJ_RS01920	MYF_RS01290
OG0000469	MHJ_RS01980	MYF_RS01425
OG0000470	MHJ_RS03785	MYF_RS02135
OG0000471	MHJ_RS00895	MYF_RS02215
OG0000472	MHJ_RS03300	MYF_RS03535
OG0000473	MHJ_RS03465	MYF_RS02960
OG0000474	MHJ_RS03470	MYF_RS02965
OG0000475	MHJ_RS03475	MYF_RS02970
OG0000476	MHJ_RS01525	MYF_RS03040
OG0000477	MHJ_RS02580	MYF_RS00930
OG0000478	MHJ_RS03410	MYF_RS02905
OG0000479	MHJ_RS01300	MYF_RS01680
OG0000480	MHJ_RS03770	MYF_RS03350
OG0000481	MHJ_RS00790	MYF_RS02110
OG0000482	MHJ_RS01185	MYF_RS01975
OG0000483	MHJ_RS02025	MYF_RS01375
OG0000484	MHJ_RS00175	MYF_RS00160
OG0000485	MHJ_RS01140	MYF_RS02445
OG0000486	MHJ_RS02255	MYF_RS01925
OG0000487	MHJ_RS01960	MYF_RS01445
OG0000488	MHJ_RS01995	MYF_RS01405
OG0000489	MHJ_RS00050	MYF_RS00050
OG0000490	MHJ_RS03570	MYF_RS03140
OG0000491	MHJ_RS01320	MYF_RS01700
OG0000492	MHJ_RS01395	MYF_RS01775
OG0000493	MHJ_RS00565	MYF_RS00535
OG0000494	MHJ_RS00625	MYF_RS00585
OG0000495	MHJ_RS02805	MYF_RS00735
OG0000496	MHJ_RS02795	MYF_RS00745
OG0000497	MHJ_RS02790	MYF_RS00750
OG0000498	MHJ_RS02700	MYF_RS00820
OG0000499	MHJ_RS02665	MYF_RS00865
OG0000500	MHJ_RS01880	MYF_RS01255
OG0000501	MHJ_RS03040	MYF_RS02590
OG0000502	MHJ_RS01175	MYF_RS01985
OG0000503	MHJ_RS00735	MYF_RS02055
OG0000504	MHJ_RS00870	MYF_RS02190
OG0000505	MHJ_RS00905	MYF_RS02225
OG0000506	MHJ_RS00915	MYF_RS02235
OG0000507	MHJ_RS00950	MYF_RS02270
OG0000508	MHJ_RS00230	MYF_RS00215
OG0000509	MHJ_RS00265	MYF_RS00250
OG0000510	MHJ_RS00275	MYF_RS00260
OG0000511	MHJ_RS00410	MYF_RS00395
OG0000512	MHJ_RS02510	MYF_RS01055
OG0000513	MHJ_RS03395	MYF_RS02890
OG0000514	MHJ_RS02830	MYF_RS00710
OG0000516	MHJ_RS01965	MYF_RS01440
OG0000517	MHJ_RS00065	MYF_RS00065
OG0000518	MHJ_RS03080	MYF_RS02630
OG0000519	MHJ_RS00760	MYF_RS02080
OG0000520	MHJ_RS00885	MYF_RS02205
OG0000521	MHJ_RS00245	MYF_RS00230
OG0000522	MHJ_RS00280	MYF_RS00265
OG0000523	MHJ_RS03335	MYF_RS02830
OG0000524	MHJ_RS02635	MYF_RS00890
OG0000528	MHJ_RS01970	MYF_RS01435
OG0000529	MHJ_RS02190	MYF_RS01565
OG0000530	MHJ_RS02290	MYF_RS01630
OG0000531	MHJ_RS01370	MYF_RS01750
OG0000532	MHJ_RS01585	MYF_RS00620
OG0000533	MHJ_RS00585	MYF_RS02365
OG0000534	MHJ_RS00360	MYF_RS00345
OG0000535	MHJ_RS00045	MYF_RS00045
OG0000536	MHJ_RS03510	MYF_RS03070
OG0000537	MHJ_RS00705	MYF_RS02025
OG0000538	MHJ_RS01095	MYF_RS02395
OG0000539	MHJ_RS00190	MYF_RS00175
OG0000540	MHJ_RS02600	MYF_RS00910
OG0000541	MHJ_RS02680	MYF_RS00850
OG0000542	MHJ_RS00330	MYF_RS00315
OG0000547	MHJ_RS02885	MYF_RS00660
OG0000548	MHJ_RS01550	MYF_RS01205
OG0000549	MHJ_RS03295	MYF_RS02805
OG0000550	MHJ_RS03430	MYF_RS02925
OG0000551	MHJ_RS02965	MYF_RS02505
OG0000555	MHJ_RS03945	MYF_RS03410
OG0000589	MHJ_RS03650	MYF_RS03220
OG0000595	MHJ_RS03020	MYF_RS02570
OG0000596	MHJ_RS01685	MYF_RS00110
OG0000597	MHJ_RS03015	MYF_RS02565
OG0000598	MHJ_RS01690	MYF_RS00105
OG0000599	MHJ_RS01695	MYF_RS00100
OG0000602	MHJ_RS01990	MYF_RS01415
