Orthogroup	MHP_J_genes	MHP_131B_genes
OG0000021	MHJ_RS00495	NB627_RS00620
OG0000021	MHJ_RS00490	NB627_RS00615
OG0000022	MHJ_RS01610	NB627_RS01790
OG0000022	MHJ_RS01660	NB627_RS01845
OG0000023	MHJ_RS01290	NB627_RS01440
OG0000024	MHJ_RS02705	NB627_RS02930
OG0000024	MHJ_RS01245	NB627_RS01395
OG0000025	MHJ_RS01615	NB627_RS01795
OG0000025	MHJ_RS01655	NB627_RS01840
OG0000026	MHJ_RS01335	NB627_RS01490
OG0000026	MHJ_RS01635	NB627_RS01820
OG0000027	MHJ_RS03750	NB627_RS03540
OG0000027	MHJ_RS03330	NB627_RS03555
OG0000029	MHJ_RS01055	NB627_RS01200
OG0000029	MHJ_RS00595	NB627_RS00720
OG0000030	MHJ_RS03310	NB627_RS03530
OG0000030	MHJ_RS03325	NB627_RS03550
OG0000031	MHJ_RS01560	NB627_RS01730
OG0000032	MHJ_RS03320	NB627_RS03545
OG0000035	MHJ_RS03170	NB627_RS03400
OG0000035	MHJ_RS03160	NB627_RS03385
OG0000036	MHJ_RS00105	NB627_RS00115
OG0000037	MHJ_RS03820	NB627_RS01710
OG0000038	MHJ_RS01705	NB627_RS01895
OG0000039	MHJ_RS01575	NB627_RS01740
OG0000040	MHJ_RS03260	NB627_RS03475
OG0000041	MHJ_RS00655	NB627_RS00780
OG0000041	MHJ_RS01160	NB627_RS01300
OG0000042	MHJ_RS02920	NB627_RS03125
OG0000043	MHJ_RS01865	NB627_RS02055
OG0000044	MHJ_RS04020	NB627_RS01805
OG0000044	MHJ_RS01745	NB627_RS01925
OG0000045	MHJ_RS01580	NB627_RS01745
OG0000046	MHJ_RS03265	NB627_RS03480
OG0000048	MHJ_RS02050	NB627_RS02245
OG0000049	MHJ_RS03025, MHJ_RS03010	NB627_RS03240
OG0000050	MHJ_RS02400	NB627_RS02630
OG0000051	MHJ_RS02615	NB627_RS02845
OG0000052	MHJ_RS00075	NB627_RS00075
OG0000053	MHJ_RS01420	NB627_RS01580
OG0000054	MHJ_RS02425	NB627_RS02655
OG0000055	MHJ_RS00110	NB627_RS00135
OG0000056	MHJ_RS03500	NB627_RS03735
OG0000057	MHJ_RS02900	NB627_RS03110
OG0000061	MHJ_RS01540	NB627_RS01995
OG0000062	MHJ_RS03545	NB627_RS03790
OG0000063	MHJ_RS03540	NB627_RS03785
OG0000064	MHJ_RS03530	NB627_RS03775
OG0000065	MHJ_RS02200	NB627_RS02410
OG0000066	MHJ_RS01325	NB627_RS01480
OG0000067	MHJ_RS00510	NB627_RS00635
OG0000068	MHJ_RS00630	NB627_RS00755
OG0000069	MHJ_RS02785	NB627_RS03005
OG0000070	MHJ_RS02430	NB627_RS02660
OG0000071	MHJ_RS03250	NB627_RS03465
OG0000072	MHJ_RS03255	NB627_RS03470
OG0000073	MHJ_RS00685	NB627_RS00820
OG0000074	MHJ_RS00875	NB627_RS01020
OG0000075	MHJ_RS00320	NB627_RS00350
OG0000076	MHJ_RS00335	NB627_RS00365
OG0000077	MHJ_RS00425	NB627_RS00550
OG0000079	MHJ_RS02515	NB627_RS02745
OG0000080	MHJ_RS03800	NB627_RS02795
OG0000081	MHJ_RS00315	NB627_RS00340
OG0000083	MHJ_RS01975	NB627_RS02160
OG0000084	MHJ_RS02000	NB627_RS02190
OG0000085	MHJ_RS02005	NB627_RS02195
OG0000086	MHJ_RS02015	NB627_RS02210
OG0000087	MHJ_RS02030	NB627_RS02225
OG0000088	MHJ_RS02035	NB627_RS02230
OG0000089	MHJ_RS02045	NB627_RS02240
OG0000090	MHJ_RS00070	NB627_RS00070
OG0000091	MHJ_RS00055	NB627_RS00055
OG0000092	MHJ_RS00040	NB627_RS00050
OG0000093	MHJ_RS00035	NB627_RS00035
OG0000094	MHJ_RS00030	NB627_RS00030
OG0000095	MHJ_RS00005	NB627_RS00005
OG0000096	MHJ_RS03580	NB627_RS03825
OG0000097	MHJ_RS03560	NB627_RS03805
OG0000098	MHJ_RS03550	NB627_RS03795
OG0000099	MHJ_RS03505	NB627_RS03745
OG0000100	MHJ_RS03490	NB627_RS03725
OG0000101	MHJ_RS03485	NB627_RS03720
OG0000102	MHJ_RS01650	NB627_RS01835
OG0000103	MHJ_RS02165	NB627_RS02375
OG0000104	MHJ_RS02170	NB627_RS02380
OG0000105	MHJ_RS02185	NB627_RS02400
OG0000106	MHJ_RS02195	NB627_RS02405
OG0000107	MHJ_RS02205	NB627_RS02415
OG0000108	MHJ_RS02210	NB627_RS02420
OG0000109	MHJ_RS02215	NB627_RS02425
OG0000110	MHJ_RS02330	NB627_RS02555
OG0000111	MHJ_RS02325	NB627_RS02550
OG0000112	MHJ_RS02315	NB627_RS02540
OG0000113	MHJ_RS02295	NB627_RS02515
OG0000114	MHJ_RS02285	NB627_RS02510
OG0000115	MHJ_RS02275	NB627_RS02495
OG0000116	MHJ_RS01270	NB627_RS01420
OG0000117	MHJ_RS01275	NB627_RS01425
OG0000118	MHJ_RS01310	NB627_RS01460
OG0000119	MHJ_RS01315	NB627_RS01465
OG0000120	MHJ_RS01330	NB627_RS01485
OG0000121	MHJ_RS01355	NB627_RS01515
OG0000122	MHJ_RS01360	NB627_RS01520
OG0000123	MHJ_RS01380	NB627_RS01540
OG0000124	MHJ_RS01385	NB627_RS01545
OG0000125	MHJ_RS01390	NB627_RS01550
OG0000126	MHJ_RS01400	NB627_RS01560
OG0000127	MHJ_RS01410	NB627_RS01570
OG0000128	MHJ_RS01425	NB627_RS01585
OG0000129	MHJ_RS01430	NB627_RS01590
OG0000130	MHJ_RS01440	NB627_RS01600
OG0000131	MHJ_RS01470	NB627_RS01630
OG0000132	MHJ_RS01485	NB627_RS01645
OG0000133	MHJ_RS00515	NB627_RS00640
OG0000134	MHJ_RS00520	NB627_RS00645
OG0000135	MHJ_RS00535	NB627_RS00660
OG0000136	MHJ_RS00540	NB627_RS00665
OG0000137	MHJ_RS00575	NB627_RS00695
OG0000138	MHJ_RS00605	NB627_RS00730
OG0000139	MHJ_RS00635	NB627_RS00760
OG0000140	MHJ_RS00640	NB627_RS00765
OG0000141	MHJ_RS02910	NB627_RS03120
OG0000142	MHJ_RS02905	NB627_RS03115
OG0000143	MHJ_RS02880	NB627_RS03100
OG0000144	MHJ_RS02870	NB627_RS03085
OG0000145	MHJ_RS02855	NB627_RS03075
OG0000146	MHJ_RS02845	NB627_RS03065
OG0000147	MHJ_RS02840	NB627_RS03060
OG0000148	MHJ_RS02825	NB627_RS03045
OG0000149	MHJ_RS02815	NB627_RS03035
OG0000150	MHJ_RS02800	NB627_RS03025
OG0000151	MHJ_RS02745	NB627_RS02970
OG0000152	MHJ_RS02740	NB627_RS02965
OG0000153	MHJ_RS02735	NB627_RS02960
OG0000154	MHJ_RS02725	NB627_RS02950
OG0000155	MHJ_RS02685	NB627_RS02910
OG0000156	MHJ_RS02675	NB627_RS02905
OG0000157	MHJ_RS02670	NB627_RS02895
OG0000158	MHJ_RS04010	NB627_RS02885
OG0000159	MHJ_RS04030	NB627_RS02645
OG0000160	MHJ_RS02410	NB627_RS02640
OG0000161	MHJ_RS02405	NB627_RS02635
OG0000162	MHJ_RS02395	NB627_RS02625
OG0000163	MHJ_RS02390	NB627_RS02620
OG0000164	MHJ_RS01565	NB627_RS01735
OG0000165	MHJ_RS01890	NB627_RS02080
OG0000166	MHJ_RS01915	NB627_RS02100
OG0000167	MHJ_RS01930	NB627_RS02115
OG0000168	MHJ_RS01935	NB627_RS02120
OG0000169	MHJ_RS03005	NB627_RS03235
OG0000170	MHJ_RS03035	NB627_RS03255
OG0000171	MHJ_RS03045	NB627_RS03265
OG0000172	MHJ_RS03050	NB627_RS03270
OG0000173	MHJ_RS03055	NB627_RS03275
OG0000174	MHJ_RS03060	NB627_RS03280
OG0000175	MHJ_RS03075	NB627_RS03295
OG0000176	MHJ_RS03125	NB627_RS03350
OG0000177	MHJ_RS03130	NB627_RS03355
OG0000178	MHJ_RS03135	NB627_RS03365
OG0000179	MHJ_RS03145	NB627_RS03370
OG0000180	MHJ_RS03150	NB627_RS03375
OG0000181	MHJ_RS03200	NB627_RS03415
OG0000182	MHJ_RS03210	NB627_RS03425
OG0000183	MHJ_RS03245	NB627_RS03460
OG0000184	MHJ_RS03285	NB627_RS03505
OG0000185	MHJ_RS03270	NB627_RS03490
OG0000186	MHJ_RS01495	NB627_RS01655
OG0000187	MHJ_RS01510	NB627_RS01670
OG0000188	MHJ_RS01520	NB627_RS01680
OG0000189	MHJ_RS02250	NB627_RS02465
OG0000190	MHJ_RS02245	NB627_RS02460
OG0000191	MHJ_RS02225	NB627_RS02435
OG0000192	MHJ_RS01190	NB627_RS01335
OG0000193	MHJ_RS01180	NB627_RS01315
OG0000194	MHJ_RS00670	NB627_RS00800
OG0000195	MHJ_RS00675	NB627_RS00805
OG0000196	MHJ_RS00695	NB627_RS00830
OG0000197	MHJ_RS00700	NB627_RS00840
OG0000198	MHJ_RS00715	NB627_RS00850
OG0000199	MHJ_RS00720	NB627_RS00855
OG0000200	MHJ_RS00730	NB627_RS00875
OG0000201	MHJ_RS00740	NB627_RS00880
OG0000202	MHJ_RS00795	NB627_RS00940
OG0000203	MHJ_RS00800	NB627_RS00945
OG0000204	MHJ_RS00805	NB627_RS00950
OG0000205	MHJ_RS00810	NB627_RS00955
OG0000206	MHJ_RS00830	NB627_RS00975
OG0000207	MHJ_RS00845	NB627_RS00990
OG0000208	MHJ_RS00850	NB627_RS00995
OG0000209	MHJ_RS00855	NB627_RS01000
OG0000210	MHJ_RS00900	NB627_RS01045
OG0000211	MHJ_RS00910	NB627_RS01055
OG0000212	MHJ_RS00920	NB627_RS01065
OG0000213	MHJ_RS00925	NB627_RS01070
OG0000214	MHJ_RS00930	NB627_RS01075
OG0000215	MHJ_RS00935	NB627_RS01080
OG0000216	MHJ_RS00940	NB627_RS01085
OG0000217	MHJ_RS00945	NB627_RS01090
OG0000218	MHJ_RS00955	NB627_RS01100
OG0000219	MHJ_RS00960	NB627_RS01105
OG0000220	MHJ_RS00965	NB627_RS01110
OG0000221	MHJ_RS00970	NB627_RS01115
OG0000222	MHJ_RS00975	NB627_RS01120
OG0000223	MHJ_RS00980	NB627_RS01125
OG0000224	MHJ_RS00990	NB627_RS01135
OG0000225	MHJ_RS01000	NB627_RS01145
OG0000226	MHJ_RS01005	NB627_RS01150
OG0000227	MHJ_RS01010	NB627_RS01155
OG0000228	MHJ_RS04015	NB627_RS01160
OG0000229	MHJ_RS01020	NB627_RS01165
OG0000230	MHJ_RS01025	NB627_RS01170
OG0000231	MHJ_RS01035	NB627_RS01180
OG0000232	MHJ_RS01045	NB627_RS01190
OG0000233	MHJ_RS01065	NB627_RS01210
OG0000234	MHJ_RS01100	NB627_RS01245
OG0000235	MHJ_RS01110	NB627_RS01255
OG0000236	MHJ_RS01115	NB627_RS01260
OG0000237	MHJ_RS01120	NB627_RS01265
OG0000238	MHJ_RS01130	NB627_RS01270
OG0000239	MHJ_RS02925	NB627_RS03130
OG0000240	MHJ_RS02930	NB627_RS03135
OG0000241	MHJ_RS02940	NB627_RS03145
OG0000242	MHJ_RS02945	NB627_RS03150
OG0000243	MHJ_RS02950	NB627_RS03155
OG0000244	MHJ_RS02960	NB627_RS03165
OG0000245	MHJ_RS02970	NB627_RS03175
OG0000246	MHJ_RS00115	NB627_RS00140
OG0000247	MHJ_RS00125	NB627_RS00150
OG0000248	MHJ_RS00135	NB627_RS00160
OG0000249	MHJ_RS00140	NB627_RS00165
OG0000250	MHJ_RS00155	NB627_RS00180
OG0000251	MHJ_RS00185	NB627_RS00215
OG0000252	MHJ_RS00195	NB627_RS00220
OG0000253	MHJ_RS00200	NB627_RS00225
OG0000254	MHJ_RS00210	NB627_RS00235
OG0000255	MHJ_RS00220	NB627_RS00240
OG0000256	MHJ_RS00225	NB627_RS00245
OG0000257	MHJ_RS00250	NB627_RS00270
OG0000258	MHJ_RS00260	NB627_RS00280
OG0000259	MHJ_RS00290	NB627_RS00310
OG0000260	MHJ_RS00300	NB627_RS00320
OG0000261	MHJ_RS00310	NB627_RS00330
OG0000262	MHJ_RS00325	NB627_RS00360
OG0000263	MHJ_RS00340	NB627_RS00375
OG0000264	MHJ_RS00355	NB627_RS00395
OG0000265	MHJ_RS00365	NB627_RS00400
OG0000266	MHJ_RS00380	NB627_RS00415
OG0000267	MHJ_RS00395	NB627_RS00430
OG0000268	MHJ_RS00400	NB627_RS00530
OG0000269	MHJ_RS00415	NB627_RS00545
OG0000270	MHJ_RS03460	NB627_RS03700
OG0000271	MHJ_RS03455	NB627_RS03690
OG0000272	MHJ_RS03450	NB627_RS03685
OG0000273	MHJ_RS03445	NB627_RS03680
OG0000274	MHJ_RS03425	NB627_RS03665
OG0000275	MHJ_RS03420	NB627_RS03655
OG0000276	MHJ_RS03415	NB627_RS03650
OG0000277	MHJ_RS03405	NB627_RS03640
OG0000278	MHJ_RS03400	NB627_RS03635
OG0000279	MHJ_RS03390	NB627_RS03625
OG0000280	MHJ_RS03385	NB627_RS03620
OG0000281	MHJ_RS03705	NB627_RS03615
OG0000282	MHJ_RS03360	NB627_RS03590
OG0000283	MHJ_RS03355	NB627_RS03585
OG0000284	MHJ_RS03350	NB627_RS03580
OG0000285	MHJ_RS03345	NB627_RS03575
OG0000286	MHJ_RS02375	NB627_RS02605
OG0000287	MHJ_RS02475	NB627_RS02705
OG0000288	MHJ_RS02485	NB627_RS02715
OG0000289	MHJ_RS02495	NB627_RS02720
OG0000290	MHJ_RS02605	NB627_RS02840
OG0000291	MHJ_RS02595	NB627_RS02825
OG0000292	MHJ_RS02590	NB627_RS02820
OG0000293	MHJ_RS02585	NB627_RS02815
OG0000294	MHJ_RS02570	NB627_RS02805
OG0000295	MHJ_RS02565	NB627_RS02800
OG0000296	MHJ_RS02525	NB627_RS02755
OG0000297	MHJ_RS02520	NB627_RS02750
OG0000298	MHJ_RS00150	NB627_RS00175
OG0000299	MHJ_RS00170	NB627_RS00195
OG0000300	MHJ_RS00350	NB627_RS00385
OG0000301	MHJ_RS00385	NB627_RS00420
OG0000302	MHJ_RS00390	NB627_RS00425
OG0000303	MHJ_RS00545	NB627_RS00670
OG0000304	MHJ_RS01050	NB627_RS01195
OG0000305	MHJ_RS02850	NB627_RS03070
OG0000306	MHJ_RS02775	NB627_RS02995
OG0000307	MHJ_RS02730	NB627_RS02955
OG0000308	MHJ_RS02625	NB627_RS02855
OG0000309	MHJ_RS02555	NB627_RS02790
OG0000310	MHJ_RS02480	NB627_RS02710
OG0000311	MHJ_RS02435	NB627_RS02665
OG0000312	MHJ_RS02420	NB627_RS02650
OG0000313	MHJ_RS01555	NB627_RS01725
OG0000314	MHJ_RS01910	NB627_RS02095
OG0000315	MHJ_RS01940	NB627_RS02125
OG0000316	MHJ_RS01950	NB627_RS02135
OG0000317	MHJ_RS02040	NB627_RS02235
OG0000318	MHJ_RS01955	NB627_RS02155
OG0000319	MHJ_RS02180	NB627_RS02390
OG0000320	MHJ_RS02305	NB627_RS02530
OG0000321	MHJ_RS01305	NB627_RS01455
OG0000322	MHJ_RS01350	NB627_RS01510
OG0000323	MHJ_RS01480	NB627_RS01640
OG0000324	MHJ_RS02220	NB627_RS02430
OG0000325	MHJ_RS00680	NB627_RS00815
OG0000326	MHJ_RS00770	NB627_RS00910
OG0000327	MHJ_RS00775	NB627_RS00915
OG0000328	MHJ_RS00860	NB627_RS01005
OG0000329	MHJ_RS00880	NB627_RS01025
OG0000330	MHJ_RS01075	NB627_RS01220
OG0000331	MHJ_RS02955	NB627_RS03160
OG0000332	MHJ_RS03085	NB627_RS03305
OG0000333	MHJ_RS03095	NB627_RS03315
OG0000334	MHJ_RS03205	NB627_RS03420
OG0000335	MHJ_RS03215	NB627_RS03430
OG0000336	MHJ_RS03375	NB627_RS03605
OG0000337	MHJ_RS03535	NB627_RS03780
OG0000338	MHJ_RS03575	NB627_RS03820
OG0000339	MHJ_RS02280	NB627_RS02500
OG0000340	MHJ_RS01285	NB627_RS01435
OG0000341	MHJ_RS02240	NB627_RS02455
OG0000342	MHJ_RS00710	NB627_RS00845
OG0000343	MHJ_RS03105	NB627_RS03325
OG0000344	MHJ_RS00560	NB627_RS00685
OG0000345	MHJ_RS00995	NB627_RS01140
OG0000346	MHJ_RS03380	NB627_RS03610
OG0000347	MHJ_RS01375	NB627_RS01535
OG0000348	MHJ_RS00780	NB627_RS00920
OG0000349	MHJ_RS03435	NB627_RS03670
OG0000350	MHJ_RS02720	NB627_RS02945
OG0000351	MHJ_RS00475	NB627_RS00600
OG0000352	MHJ_RS01885	NB627_RS02075
OG0000353	MHJ_RS01345	NB627_RS01500
OG0000354	MHJ_RS00620	NB627_RS00745
OG0000355	MHJ_RS01855	NB627_RS02050
OG0000356	MHJ_RS01945	NB627_RS02130
OG0000357	MHJ_RS03065	NB627_RS03285
OG0000358	MHJ_RS03070	NB627_RS03290
OG0000359	MHJ_RS00750	NB627_RS00890
OG0000360	MHJ_RS00255	NB627_RS00275
OG0000361	MHJ_RS00285	NB627_RS00305
OG0000362	MHJ_RS02500	NB627_RS02730
OG0000363	MHJ_RS03840	NB627_RS01575
OG0000364	MHJ_RS03765, MHJ_RS01830	NB627_RS02025
OG0000365	MHJ_RS01985	NB627_RS02180
OG0000366	MHJ_RS02010	NB627_RS02200
OG0000367	MHJ_RS02020	NB627_RS02215
OG0000368	MHJ_RS00060	NB627_RS00060
OG0000369	MHJ_RS00025	NB627_RS00025
OG0000370	MHJ_RS00020	NB627_RS00020
OG0000371	MHJ_RS00015	NB627_RS00015
OG0000372	MHJ_RS00010	NB627_RS00010
OG0000373	MHJ_RS03565	NB627_RS03810
OG0000374	MHJ_RS03555	NB627_RS03800
OG0000375	MHJ_RS02175	NB627_RS02385
OG0000376	MHJ_RS02320	NB627_RS02545
OG0000377	MHJ_RS02310	NB627_RS02535
OG0000378	MHJ_RS01265	NB627_RS01415
OG0000379	MHJ_RS01340	NB627_RS01495
OG0000380	MHJ_RS01365	NB627_RS01525
OG0000381	MHJ_RS01405	NB627_RS01565
OG0000382	MHJ_RS01435	NB627_RS01595
OG0000383	MHJ_RS01475	NB627_RS01635
OG0000384	MHJ_RS00500	NB627_RS00625
OG0000385	MHJ_RS00505	NB627_RS00630
OG0000386	MHJ_RS00525	NB627_RS00650
OG0000387	MHJ_RS00550	NB627_RS00675
OG0000388	MHJ_RS00555	NB627_RS00680
OG0000389	MHJ_RS00600	NB627_RS00725
OG0000390	MHJ_RS02875	NB627_RS03090
OG0000391	MHJ_RS02865	NB627_RS03080
OG0000392	MHJ_RS02835	NB627_RS03055
OG0000393	MHJ_RS02780	NB627_RS03000
OG0000394	MHJ_RS02695	NB627_RS02920
OG0000395	MHJ_RS02690	NB627_RS02915
OG0000396	MHJ_RS02380	NB627_RS02610
OG0000397	MHJ_RS01870	NB627_RS02060
OG0000398	MHJ_RS01875	NB627_RS02065
OG0000399	MHJ_RS01925	NB627_RS02110
OG0000400	MHJ_RS03030	NB627_RS03250
OG0000401	MHJ_RS03090	NB627_RS03310
OG0000402	MHJ_RS03100	NB627_RS03320
OG0000403	MHJ_RS03110	NB627_RS03330
OG0000405	MHJ_RS03155	NB627_RS03380
OG0000406	MHJ_RS03220	NB627_RS03435
OG0000407	MHJ_RS03225	NB627_RS03440
OG0000408	MHJ_RS03230	NB627_RS03445
OG0000409	MHJ_RS03235	NB627_RS03450
OG0000410	MHJ_RS03290	NB627_RS03515
OG0000411	MHJ_RS03280	NB627_RS03500
OG0000412	MHJ_RS03275	NB627_RS03495
OG0000413	MHJ_RS01490	NB627_RS01650
OG0000414	MHJ_RS01500	NB627_RS01660
OG0000415	MHJ_RS01505	NB627_RS01665
OG0000416	MHJ_RS01515	NB627_RS01675
OG0000417	MHJ_RS02235	NB627_RS02450
OG0000418	MHJ_RS02230	NB627_RS02440
OG0000419	MHJ_RS00690	NB627_RS00825
OG0000420	MHJ_RS00725	NB627_RS00860
OG0000421	MHJ_RS00755	NB627_RS00900
OG0000422	MHJ_RS00765	NB627_RS00905
OG0000423	MHJ_RS00820	NB627_RS00965
OG0000424	MHJ_RS00825	NB627_RS00970
OG0000425	MHJ_RS00835	NB627_RS00980
OG0000426	MHJ_RS00840	NB627_RS00985
OG0000427	MHJ_RS00865	NB627_RS01010
OG0000429	MHJ_RS00985	NB627_RS01130
OG0000430	MHJ_RS01030	NB627_RS01175
OG0000431	MHJ_RS01040	NB627_RS01185
OG0000432	MHJ_RS01070	NB627_RS01215
OG0000433	MHJ_RS01085	NB627_RS01230
OG0000434	MHJ_RS01090	NB627_RS01235
OG0000435	MHJ_RS01105	NB627_RS01250
OG0000436	MHJ_RS01135	NB627_RS01275
OG0000437	MHJ_RS01145	NB627_RS01285
OG0000438	MHJ_RS01150	NB627_RS01290
OG0000439	MHJ_RS01155	NB627_RS01295
OG0000440	MHJ_RS02935	NB627_RS03140
OG0000441	MHJ_RS02975	NB627_RS03185
OG0000442	MHJ_RS00120	NB627_RS00145
OG0000443	MHJ_RS00165	NB627_RS00190
OG0000444	MHJ_RS00180	NB627_RS00205
OG0000445	MHJ_RS00205	NB627_RS00230
OG0000446	MHJ_RS00235	NB627_RS00255
OG0000447	MHJ_RS00240	NB627_RS00260
OG0000448	MHJ_RS00270	NB627_RS00290
OG0000449	MHJ_RS00295	NB627_RS00315
OG0000450	MHJ_RS00305	NB627_RS00325
OG0000451	MHJ_RS00345	NB627_RS00380
OG0000452	MHJ_RS00370	NB627_RS00405
OG0000453	MHJ_RS00405	NB627_RS00535
OG0000454	MHJ_RS01590	NB627_RS00520
OG0000455	MHJ_RS03480	NB627_RS03715
OG0000456	MHJ_RS03365	NB627_RS03595
OG0000457	MHJ_RS03340	NB627_RS03565
OG0000458	MHJ_RS02470	NB627_RS02700
OG0000460	MHJ_RS02505	NB627_RS02735
OG0000461	MHJ_RS02550	NB627_RS02780
OG0000462	MHJ_RS02545	NB627_RS02775
OG0000463	MHJ_RS02540	NB627_RS02770
OG0000464	MHJ_RS02535	NB627_RS02765
OG0000465	MHJ_RS02530	NB627_RS02760
OG0000466	MHJ_RS00375	NB627_RS00410
OG0000467	MHJ_RS02640	NB627_RS02865
OG0000468	MHJ_RS01920	NB627_RS02105
OG0000469	MHJ_RS01980	NB627_RS02165
OG0000470	MHJ_RS03785	NB627_RS00960
OG0000471	MHJ_RS00895	NB627_RS01040
OG0000472	MHJ_RS03300	NB627_RS03520
OG0000474	MHJ_RS03470	NB627_RS03705
OG0000475	MHJ_RS03475	NB627_RS03710
OG0000476	MHJ_RS01525	NB627_RS01685
OG0000477	MHJ_RS02580	NB627_RS02810
OG0000478	MHJ_RS03410	NB627_RS03645
OG0000479	MHJ_RS01300	NB627_RS01450
OG0000480	MHJ_RS03770	NB627_RS02170
OG0000481	MHJ_RS00790	NB627_RS00935
OG0000482	MHJ_RS01185	NB627_RS01320
OG0000483	MHJ_RS02025	NB627_RS02220
OG0000484	MHJ_RS00175	NB627_RS00200
OG0000485	MHJ_RS01140	NB627_RS01280
OG0000486	MHJ_RS02255	NB627_RS02470
OG0000488	MHJ_RS01995	NB627_RS02185
OG0000490	MHJ_RS03570	NB627_RS03815
OG0000491	MHJ_RS01320	NB627_RS01470
OG0000492	MHJ_RS01395	NB627_RS01555
OG0000493	MHJ_RS00565	NB627_RS00690
OG0000494	MHJ_RS00625	NB627_RS00750
OG0000496	MHJ_RS02795	NB627_RS03015
OG0000497	MHJ_RS02790	NB627_RS03010
OG0000498	MHJ_RS02700	NB627_RS02925
OG0000499	MHJ_RS02665	NB627_RS02890
OG0000500	MHJ_RS01880	NB627_RS02070
OG0000501	MHJ_RS03040	NB627_RS03260
OG0000504	MHJ_RS00870	NB627_RS01015
OG0000505	MHJ_RS00905	NB627_RS01050
OG0000506	MHJ_RS00915	NB627_RS01060
OG0000507	MHJ_RS00950	NB627_RS01095
OG0000508	MHJ_RS00230	NB627_RS00250
OG0000509	MHJ_RS00265	NB627_RS00285
OG0000510	MHJ_RS00275	NB627_RS00300
OG0000511	MHJ_RS00410	NB627_RS00540
OG0000512	MHJ_RS02510	NB627_RS02740
OG0000513	MHJ_RS03395	NB627_RS03630
OG0000514	MHJ_RS02830	NB627_RS03050
OG0000517	MHJ_RS00065	NB627_RS00065
OG0000518	MHJ_RS03080	NB627_RS03300
OG0000520	MHJ_RS00885	NB627_RS01035
OG0000521	MHJ_RS00245	NB627_RS00265
OG0000523	MHJ_RS03335	NB627_RS03560
OG0000524	MHJ_RS02635	NB627_RS02860
OG0000525	MHJ_RS03305	NB627_RS03525
OG0000526	MHJ_RS03870	NB627_RS01970
OG0000526	MHJ_RS01785	NB627_RS01965
OG0000527	MHJ_RS03865	NB627_RS01910
OG0000531	MHJ_RS01370	NB627_RS01530
OG0000532	MHJ_RS01585	NB627_RS01750, NB627_RS01755
OG0000533	MHJ_RS00585	NB627_RS00710
OG0000538	MHJ_RS01095	NB627_RS01240
OG0000540	MHJ_RS02600	NB627_RS02830
OG0000544	MHJ_RS01225	NB627_RS01370
OG0000545	MHJ_RS01770	NB627_RS01955
OG0000546	MHJ_RS02755	NB627_RS02975
OG0000551	MHJ_RS02965	NB627_RS03170
OG0000552	MHJ_RS03115	NB627_RS03340
OG0000553	MHJ_RS02650	NB627_RS02875
OG0000554	MHJ_RS02335	NB627_RS02565
OG0000555	MHJ_RS03945	NB627_RS03105
OG0000557	MHJ_RS01235	NB627_RS01385
OG0000558	MHJ_RS01205	NB627_RS01345
