Orthogroup	MHP_MHP682_proteins	MHP_MHP653_proteins
OG0000166	WP_011284126.1	WP_160615554.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160585173.1	WP_160585173.1
OG0000169	WP_160585654.1	WP_160615597.1
OG0000170	WP_160585651.1	WP_020835862.1
OG0000171	WP_160585650.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160585649.1	WP_011290368.1
OG0000174	WP_160585648.1	WP_160615593.1
OG0000175	WP_160585645.1	WP_160615587.1
OG0000176	WP_011284321.1	WP_146379725.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_044272620.1	WP_044272620.1
OG0000179	WP_160585639.1	WP_160590183.1
OG0000180	WP_160585638.1	WP_160585638.1
OG0000181	WP_160585796.1	WP_160585796.1
OG0000182	WP_160585798.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_160585238.1
OG0000185	WP_020835897.1	WP_020835897.1
OG0000186	WP_160585782.1	WP_020835656.1
OG0000187	WP_160585781.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160585791.1	WP_160615909.1
OG0000190	WP_011206256.1	WP_160615911.1
OG0000191	WP_020835755.1	WP_020835755.1
OG0000192	WP_011284001.1	WP_011205992.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_160615782.1
OG0000196	WP_228729168.1	WP_179695841.1
OG0000197	WP_160584800.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160585615.1	WP_014579644.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_160584809.1	WP_011206073.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_160585611.1	WP_160615804.1
OG0000205	WP_160585610.1	WP_160584811.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_160585609.1	WP_011206063.1
OG0000208	WP_135618591.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_160585195.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011290055.1
OG0000216	WP_160585193.1	WP_160585193.1
OG0000217	WP_160585731.1	WP_160585731.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_220190714.1	WP_011206041.1
OG0000220	WP_160585732.1	WP_135618616.1
OG0000221	WP_160585733.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_160615864.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_160585735.1	WP_160615866.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_146379528.1
OG0000234	WP_160585568.1	WP_160615752.1
OG0000235	WP_160585567.1	WP_160615754.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_160585566.1	WP_160615756.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_146379700.1
OG0000240	WP_160585627.1	WP_020835851.1
OG0000241	WP_044284696.1	WP_044272588.1
OG0000242	WP_160585629.1	WP_020835854.1
OG0000243	WP_160585630.1	WP_146379703.1
OG0000244	WP_160585631.1	WP_160615603.1
OG0000245	WP_160585633.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_258555948.1
OG0000247	WP_160585549.1	WP_308507025.1
OG0000248	WP_160585552.1	WP_052259122.1
OG0000249	WP_160585548.1	WP_160615537.1
OG0000250	WP_160584772.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_146379462.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_160589983.1
OG0000254	WP_160585543.1	WP_160589986.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_160585540.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_318026429.1	WP_220191250.1
OG0000260	WP_011289982.1	WP_146379471.1
OG0000261	WP_160585535.1	WP_160615523.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_146379476.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_146379477.1
OG0000268	WP_160585530.1	WP_160615515.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_160585579.1	WP_160615634.1
OG0000271	WP_020835915.1	WP_160615632.1
OG0000272	WP_011284373.1	WP_146379758.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_160590207.1
OG0000275	WP_308507002.1	WP_308507031.1
OG0000276	WP_011290421.1	WP_160600741.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160585584.1	WP_160615626.1
OG0000283	WP_014580009.1	WP_014580009.1
OG0000284	WP_160585585.1	WP_011206484.1
OG0000285	WP_160585586.1	WP_160615625.1
OG0000286	WP_160585702.1	WP_160615969.1
OG0000287	WP_160585766.1	WP_160585766.1
OG0000288	WP_160585765.1	WP_160615882.1
OG0000289	WP_160585764.1	WP_160615884.1
OG0000290	WP_160585665.1	WP_160590123.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_160585667.1	WP_160615820.1
OG0000293	WP_160585668.1	WP_160615822.1
OG0000294	WP_160585803.1	WP_160615824.1
OG0000295	WP_011206315.1	WP_160615826.1
OG0000296	WP_044272552.1	WP_044272552.1
OG0000297	WP_146379664.1	WP_160608046.1
OG0000298	WP_160585546.1	WP_160615535.1
OG0000299	WP_094521545.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_160585146.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_160585622.1	WP_160590159.1
OG0000306	WP_146379686.1	WP_044272563.1
OG0000307	WP_020835826.1	WP_011206346.1
OG0000308	WP_020835811.1	WP_160607822.1
OG0000309	WP_146379668.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_160585159.1	WP_160585159.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160585599.1	WP_160615552.1
OG0000315	WP_160585171.1	WP_160585171.1
OG0000316	WP_160585596.1	WP_160615557.1
OG0000317	WP_160585126.1	WP_135618864.1
OG0000318	WP_220190711.1	WP_220191255.1
OG0000319	WP_044272490.1	WP_135618880.1
OG0000320	WP_160585723.1	WP_160615720.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_160585808.1	WP_146379567.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160585612.1	WP_160615787.1
OG0000327	WP_160584807.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_160585607.1	WP_135618597.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_160615605.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160585797.1	WP_014579986.1
OG0000335	WP_160585799.1	WP_160615903.1
OG0000336	WP_011206488.1	WP_011284361.1
OG0000337	WP_050195472.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_094521531.1
OG0000339	WP_160585719.1	WP_160590509.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_146379499.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160585738.1	WP_160615858.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_308507030.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_240536364.1	WP_225973015.1
OG0000349	WP_094521522.1	WP_094521522.1
OG0000350	WP_146379684.1	WP_258555926.1
OG0000351	WP_308507015.1	WP_308507022.1
OG0000352	WP_160585602.1	WP_160615546.1
OG0000353	WP_146379556.1	WP_160607804.1
OG0000354	WP_308507014.1	WP_308507047.1
OG0000355	WP_020835708.1	WP_220191254.1
OG0000356	WP_308506994.1	WP_308507027.1
OG0000357	WP_308507005.1	WP_308507029.1
OG0000358	WP_160585646.1	WP_160615589.1
OG0000359	WP_160585614.1	WP_308507041.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_160615527.1
OG0000362	WP_160585763.1	WP_011290282.1
OG0000363	WP_308507006.1	WP_308507035.1
OG0000364	WP_044272453.1	WP_160590015.1
OG0000365	WP_160585592.1	WP_160615561.1
OG0000366	WP_011206224.1	WP_160615564.1
OG0000367	WP_220190703.1	WP_220191257.1
OG0000368	WP_160585774.1	WP_011289935.1
OG0000369	WP_160585775.1	WP_011289930.1
OG0000370	WP_160585776.1	WP_044272260.1
OG0000371	WP_146379443.1	WP_160615744.1
OG0000372	WP_160584860.1	WP_160584860.1
OG0000373	WP_160585758.1	WP_160584865.1
OG0000374	WP_160585759.1	WP_160615738.1
OG0000375	WP_011284163.1	WP_160615869.1
OG0000376	WP_160585724.1	WP_146379646.1
OG0000377	WP_011206271.1	WP_160615722.1
OG0000378	WP_160585556.1	WP_160615718.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_146379558.1	WP_160588252.1
OG0000381	WP_160585670.1	WP_160615661.1
OG0000382	WP_160585810.1	WP_160590276.1
OG0000383	WP_160585809.1	WP_014579735.1
OG0000384	WP_160585832.1	WP_014579586.1
OG0000385	WP_160585716.1	WP_160615953.1
OG0000386	WP_011206121.1	WP_160615852.1
OG0000387	WP_160585739.1	WP_160615854.1
OG0000388	WP_160585142.1	WP_160615856.1
OG0000389	WP_160584791.1	WP_160615931.1
OG0000390	WP_011290340.1	WP_160584967.1
OG0000391	WP_020835843.1	WP_160590161.1
OG0000392	WP_160585621.1	WP_020835840.1
OG0000393	WP_160585683.1	WP_160615659.1
OG0000394	WP_160585688.1	WP_160615695.1
OG0000395	WP_160585121.1	WP_160615693.1
OG0000396	WP_014579876.1	WP_160615894.1
OG0000397	WP_011206196.1	WP_160585022.1
OG0000398	WP_146379611.1	WP_146379611.1
OG0000399	WP_160585597.1	WP_160590031.1
OG0000400	WP_160585652.1	WP_044272610.1
OG0000401	WP_011206432.1	WP_135619070.1
OG0000402	WP_160585643.1	WP_160615583.1
OG0000403	WP_220191162.1	WP_220191264.1
OG0000404	WP_160585640.1	WP_160615581.1
OG0000405	WP_160585637.1	WP_160615579.1
OG0000406	WP_160585802.1	WP_160585802.1
OG0000407	WP_160585800.1	WP_160615901.1
OG0000408	WP_044284717.1	WP_160606868.1
OG0000410	WP_011206469.1	WP_160615907.1
OG0000411	WP_160585787.1	WP_160615905.1
OG0000412	WP_146379741.1	WP_146379741.1
OG0000413	WP_146379568.1	WP_160615667.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_135618720.1	WP_135618720.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_160585790.1	WP_160615914.1
OG0000418	WP_160585789.1	WP_160588285.1
OG0000419	WP_160585616.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_011206085.1
OG0000421	WP_011290034.1	WP_146379503.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_135618585.1	WP_160584813.1
OG0000424	WP_011290043.1	WP_160584816.1
OG0000425	WP_011206065.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_160585608.1	WP_135618593.1
OG0000428	WP_135618601.1	WP_160615808.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_011290066.1	WP_050195474.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_160585570.1	WP_160615748.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160585569.1	WP_044284602.1
OG0000435	WP_160584678.1	WP_160584678.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_160615758.1
OG0000438	WP_160585565.1	WP_160615760.1
OG0000439	WP_160585564.1	WP_160590263.1
OG0000440	WP_160585628.1	WP_160615607.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_160585550.1	WP_160615834.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160585544.1	WP_044284571.1
OG0000446	WP_160585542.1	WP_160615529.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_011205897.1	WP_011289976.1
OG0000449	WP_160585537.1	WP_011289981.1
OG0000450	WP_160585536.1	WP_160615525.1
OG0000451	WP_160585531.1	WP_160615519.1
OG0000452	WP_011205921.1	WP_258555899.1
OG0000455	WP_160585576.1	WP_160590360.1
OG0000456	WP_160585583.1	WP_011206487.1
OG0000457	WP_160585587.1	WP_160615623.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_160615886.1
OG0000461	WP_220191203.1	WP_160615828.1
OG0000462	WP_011284228.1	WP_160615830.1
OG0000463	WP_011206310.1	WP_135618955.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_160585762.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160585660.1	WP_160615679.1
OG0000468	WP_160585598.1	WP_160607658.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000472	WP_160585784.1	WP_160615918.1
OG0000473	WP_044272671.1	WP_044272671.1
OG0000474	WP_160585578.1	WP_160615636.1
OG0000475	WP_160585577.1	WP_160615638.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_011290293.1	WP_160590131.1
OG0000478	WP_146379753.1	WP_160615628.1
OG0000479	WP_160585679.1	WP_020835636.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_228729169.1	WP_044272343.1
OG0000482	WP_160585562.1	WP_160585562.1
OG0000483	WP_011206227.1	WP_146379591.1
OG0000484	WP_135618485.1	WP_308507023.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_160585249.1	WP_011290228.1
OG0000487	WP_220191148.1	WP_220191256.1
OG0000489	WP_160584852.1	WP_011205849.1
OG0000490	WP_160585828.1	WP_160615740.1
OG0000491	WP_160585677.1	WP_020835639.1
OG0000492	WP_160585672.1	WP_160615704.1
OG0000493	WP_160585737.1	WP_160585737.1
OG0000494	WP_020835567.1	WP_052269169.1
OG0000495	WP_146379689.1	WP_146379689.1
OG0000496	WP_011206375.1	WP_160615655.1
OG0000497	WP_160585682.1	WP_160615657.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011284249.1	WP_160615689.1
OG0000500	WP_160585603.1	WP_146379610.1
OG0000501	WP_220191163.1	WP_220191265.1
OG0000502	WP_160585563.1	WP_160585563.1
OG0000503	WP_020835576.1	WP_160606653.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_044272682.1	WP_020835512.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_160585539.1	WP_011289977.1
OG0000511	WP_160585807.1	WP_011283896.1
OG0000512	WP_160585006.1	WP_160615888.1
OG0000513	WP_160585582.1	WP_041361708.1
OG0000514	WP_160585620.1	WP_160615651.1
OG0000516	WP_160585595.1	WP_011206214.1
OG0000518	WP_160585644.1	WP_160615585.1
OG0000519	WP_160585613.1	WP_160584803.1
OG0000520	WP_135618599.1	WP_135618599.1
OG0000521	WP_160585541.1	WP_020835515.1
OG0000522	WP_160585538.1	WP_135618505.1
OG0000523	WP_160585588.1	WP_258555910.1
OG0000524	WP_160585661.1	WP_160615677.1
OG0000525	WP_160585785.1	WP_160615921.1
OG0000526	WP_258555841.1	WP_258555903.1
OG0000527	WP_228365424.1	WP_160615963.1
OG0000528	WP_160585594.1	WP_160615559.1
OG0000529	WP_160585770.1	WP_011206243.1
OG0000530	WP_160585722.1	WP_160615927.1
OG0000531	WP_160585673.1	WP_020835645.1
OG0000532	WP_160585826.1	WP_011284067.1
OG0000533	WP_160584784.1	WP_011206110.1
OG0000534	WP_014579573.1	WP_160615517.1
OG0000535	WP_160584854.1	WP_160584854.1
OG0000537	WP_011290028.1	WP_160615784.1
OG0000538	WP_146379532.1	WP_160615750.1
OG0000539	WP_160585545.1	WP_146379463.1
OG0000540	WP_160585666.1	WP_160615818.1
OG0000541	WP_160585657.1	WP_160615691.1
OG0000542	WP_160585533.1	WP_011289986.1
OG0000543	WP_160585706.1	WP_220191275.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_160585753.1	WP_160590087.1
OG0000546	WP_160585684.1	WP_258555918.1
OG0000547	WP_160585624.1	WP_011284286.1
OG0000548	WP_011290136.1	WP_020835662.1
OG0000549	WP_160585783.1	WP_160615916.1
OG0000550	WP_220191147.1	WP_220191147.1
OG0000551	WP_160585632.1	WP_146379706.1
OG0000552	WP_160585642.1	WP_160585642.1
OG0000553	WP_146379678.1	WP_160615683.1
OG0000554	WP_160585727.1	WP_160615726.1
OG0000557	WP_146379545.1	WP_011205983.1
