Orthogroup	MHP_1257_proteins	MFC_MF18_proteins
OG0000138	WP_348571999.1	WP_160580868.1
OG0000139	WP_011206102.1	WP_160583681.1
OG0000140	WP_160584795.1	WP_160583679.1
OG0000141	WP_348571817.1	WP_002557602.1
OG0000142	WP_348571815.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160593367.1
OG0000144	WP_348571809.1	WP_002557609.1
OG0000145	WP_225972996.1	WP_160583671.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_135619012.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_160584978.1	WP_002557623.1
OG0000151	WP_020835828.1	WP_160580918.1
OG0000152	WP_020835827.1	WP_160583657.1
OG0000153	WP_011206347.1	WP_160580922.1
OG0000154	WP_011206345.1	WP_002557638.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_348571792.1	WP_160583648.1
OG0000157	WP_020835818.1	WP_160583646.1
OG0000158	WP_348571790.1	WP_160583643.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_348571739.1	WP_002557668.1
OG0000161	WP_348571736.1	WP_160593407.1
OG0000162	WP_348572151.1	WP_160581406.1
OG0000163	WP_348571730.1	WP_160584006.1
OG0000164	WP_348572081.1	WP_160593411.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_160590029.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_135618848.1	WP_160584058.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_002557704.1
OG0000171	WP_011290367.1	WP_160581256.1
OG0000172	WP_011206424.1	WP_160583901.1
OG0000173	WP_348571830.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_160583903.1
OG0000175	WP_160585645.1	WP_002557712.1
OG0000176	WP_160607777.1	WP_160593449.1
OG0000177	WP_160585273.1	WP_160581270.1
OG0000178	WP_020835878.1	WP_002557721.1
OG0000179	WP_020835880.1	WP_160581274.1
OG0000180	WP_081642895.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_348571845.1	WP_002557735.1
OG0000184	WP_160585238.1	WP_160584044.1
OG0000185	WP_020835897.1	WP_160584048.1
OG0000186	WP_348572074.1	WP_160583995.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_348571642.1	WP_160593473.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_348571650.1	WP_255454511.1
OG0000192	WP_348572133.1	WP_002557763.1
OG0000193	WP_094521610.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_228729168.1	WP_160581303.1
OG0000197	WP_041361572.1	WP_160593477.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_014579644.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011206073.1	WP_160593482.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_348571987.1	WP_160593422.1
OG0000205	WP_160585610.1	WP_160593424.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_094521594.1	WP_160583853.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_135618604.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011290055.1	WP_002557818.1
OG0000216	WP_014579616.1	WP_160581343.1
OG0000217	WP_011206044.1	WP_160583863.1
OG0000218	WP_011290058.1	WP_160581339.1
OG0000219	WP_348571970.1	WP_160583865.1
OG0000220	WP_020835592.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_050195484.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_160593426.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_160608021.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_014579605.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_160581334.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_348572008.1	WP_002557842.1
OG0000234	WP_348572012.1	WP_318026338.1
OG0000235	WP_348572016.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_348572018.1	WP_160593437.1
OG0000238	WP_348572020.1	WP_002557856.1
OG0000239	WP_011290347.1	WP_160583887.1
OG0000240	WP_020835851.1	WP_160583889.1
OG0000241	WP_160585231.1	WP_002557866.1
OG0000242	WP_348571822.1	WP_160583893.1
OG0000243	WP_348571824.1	WP_002557868.1
OG0000244	WP_041361690.1	WP_002557870.1
OG0000245	WP_011206408.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_348571925.1	WP_160593344.1
OG0000248	WP_052259122.1	WP_160583743.1
OG0000249	WP_348571927.1	WP_160583741.1
OG0000250	WP_160584772.1	WP_002557886.1
OG0000251	WP_318023737.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_135618489.1	WP_160583733.1
OG0000254	WP_348571935.1	WP_160583731.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_160583725.1
OG0000258	WP_011289974.1	WP_002557905.1
OG0000259	WP_348571940.1	WP_160583721.1
OG0000260	WP_094521550.1	WP_002557913.1
OG0000261	WP_348571945.1	WP_160593354.1
OG0000262	WP_041361531.1	WP_160583709.1
OG0000263	WP_160585532.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_160581017.1
OG0000265	WP_179695949.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_044284773.1	WP_160581015.1
OG0000268	WP_011283894.1	WP_160581013.1
OG0000269	WP_011206134.1	WP_160583703.1
OG0000270	WP_348571879.1	WP_160593486.1
OG0000271	WP_348571877.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_160590207.1	WP_160583796.1
OG0000275	WP_228366117.1	WP_160581377.1
OG0000276	WP_011290421.1	WP_160593503.1
OG0000277	WP_011206494.1	WP_160581382.1
OG0000278	WP_160588182.1	WP_160583802.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_094521520.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_348571870.1	WP_160593507.1
OG0000283	WP_014580009.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_011290413.1	WP_160583808.1
OG0000286	WP_348571727.1	WP_002557972.1
OG0000287	WP_011206297.1	WP_160593397.1
OG0000288	WP_348571747.1	WP_002557980.1
OG0000289	WP_348571749.1	WP_160583616.1
OG0000290	WP_014579908.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_160593389.1
OG0000292	WP_044284681.1	WP_160583633.1
OG0000293	WP_348571776.1	WP_160583631.1
OG0000294	WP_348571770.1	WP_160583629.1
OG0000295	WP_011206315.1	WP_160580958.1
OG0000296	WP_348571761.1	WP_160593391.1
OG0000297	WP_348571759.1	WP_160593393.1
OG0000298	WP_160606533.1	WP_160593350.1
OG0000299	WP_135618482.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_011283891.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_160580856.1
OG0000304	WP_220190741.1	WP_160580864.1
OG0000305	WP_348571807.1	WP_160580890.1
OG0000306	WP_348571801.1	WP_160583660.1
OG0000307	WP_348571795.1	WP_160593378.1
OG0000308	WP_044284683.1	WP_160583637.1
OG0000309	WP_146379668.1	WP_160580960.1
OG0000310	WP_011206298.1	WP_160593395.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_348571741.1	WP_160580991.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_348572130.1	WP_160593518.1
OG0000315	WP_011290197.1	WP_160581431.1
OG0000316	WP_348571614.1	WP_160581432.1
OG0000317	WP_146379589.1	WP_160581441.1
OG0000318	WP_348571617.1	WP_160593540.1
OG0000319	WP_135618880.1	WP_236681771.1
OG0000320	WP_348571706.1	WP_160583953.1
OG0000321	WP_011205969.1	WP_160583967.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_348572071.1	WP_039387619.1
OG0000324	WP_094521693.1	WP_160581297.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_348571989.1	WP_039387636.1
OG0000327	WP_011206076.1	WP_160581309.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_348571982.1	WP_160583857.1
OG0000330	WP_011206016.1	WP_160593428.1
OG0000331	WP_146379704.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_020835889.1	WP_039387693.1
OG0000335	WP_348571841.1	WP_160593451.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_050195472.1	WP_160581112.1
OG0000338	WP_014580051.1	WP_039387723.1
OG0000339	WP_348571695.1	WP_160593467.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_348571995.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_348571964.1	WP_160583688.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_051054328.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_225973015.1	WP_308507114.1
OG0000349	WP_348571875.1	WP_155897264.1
OG0000350	WP_160608078.1	WP_220190179.1
OG0000351	WP_348571953.1	WP_220190182.1
OG0000352	WP_160585020.1	WP_220190084.1
OG0000353	WP_160607804.1	WP_308507110.1
OG0000354	WP_348571997.1	WP_220190180.1
OG0000355	WP_020835708.1	WP_308507104.1
OG0000356	WP_308507057.1	WP_308507120.1
OG0000357	WP_348571833.1	WP_002557710.1
OG0000358	WP_348571835.1	WP_160583905.1
OG0000359	WP_348571992.1	WP_308507113.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_348571938.1	WP_255454451.1
OG0000362	WP_160600961.1	WP_255454460.1
OG0000363	WP_348572138.1	WP_334296055.1
OG0000365	WP_348571628.1	WP_160584029.1
OG0000366	WP_011206224.1	WP_002557453.1
OG0000367	WP_044272474.1	WP_160584023.1
OG0000368	WP_348571915.1	WP_160583751.1
OG0000369	WP_011289930.1	WP_160583756.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_348571909.1	WP_160593339.1
OG0000372	WP_348571907.1	WP_160583760.1
OG0000373	WP_348571904.1	WP_160583762.1
OG0000374	WP_348571901.1	WP_160583766.1
OG0000375	WP_135618878.1	WP_002557511.1
OG0000376	WP_348571711.1	WP_160583947.1
OG0000377	WP_160606733.1	WP_160583951.1
OG0000378	WP_348572050.1	WP_160583959.1
OG0000379	WP_348572059.1	WP_002557546.1
OG0000381	WP_348572061.1	WP_160593534.1
OG0000382	WP_348572067.1	WP_160581461.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_041361727.1	WP_160581005.1
OG0000385	WP_348571958.1	WP_160580848.1
OG0000386	WP_348572169.1	WP_002557576.1
OG0000387	WP_348571961.1	WP_160583691.1
OG0000388	WP_348571963.1	WP_160593359.1
OG0000389	WP_011290013.1	WP_002557589.1
OG0000390	WP_160584967.1	WP_160583674.1
OG0000391	WP_044284693.1	WP_160583673.1
OG0000392	WP_160607852.1	WP_160593369.1
OG0000393	WP_348571802.1	WP_160583663.1
OG0000394	WP_011290313.1	WP_002557640.1
OG0000395	WP_348571794.1	WP_160583653.1
OG0000396	WP_348571728.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_160584011.1
OG0000398	WP_020835709.1	WP_160593513.1
OG0000399	WP_348571612.1	WP_220190081.1
OG0000400	WP_044272610.1	WP_002557703.1
OG0000401	WP_135619070.1	WP_160581263.1
OG0000402	WP_020835872.1	WP_160581265.1
OG0000403	WP_220200714.1	WP_160583910.1
OG0000404	WP_348571837.1	WP_039387689.1
OG0000405	WP_348571838.1	WP_002557726.1
OG0000406	WP_348572160.1	WP_002557731.1
OG0000407	WP_348571843.1	WP_160583916.1
OG0000408	WP_011206457.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_011290400.1	WP_160584046.1
OG0000412	WP_146379741.1	WP_002557742.1
OG0000413	WP_243216061.1	WP_002557749.1
OG0000414	WP_348572075.1	WP_002557751.1
OG0000415	WP_020835657.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_348571645.1	WP_160583991.1
OG0000418	WP_348571647.1	WP_220190413.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_002557780.1
OG0000421	WP_011290034.1	WP_002557784.1
OG0000422	WP_146379504.1	WP_160581307.1
OG0000423	WP_135618585.1	WP_002557796.1
OG0000424	WP_348571985.1	WP_160583849.1
OG0000425	WP_011206065.1	WP_160583851.1
OG0000426	WP_011206064.1	WP_308507107.1
OG0000427	WP_135618593.1	WP_160583922.1
OG0000428	WP_348571979.1	WP_160583859.1
OG0000429	WP_011206036.1	WP_160581337.1
OG0000430	WP_348571968.1	WP_002557837.1
OG0000431	WP_146379524.1	WP_002557839.1
OG0000432	WP_348572010.1	WP_160583869.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_020835607.1	WP_160583871.1
OG0000435	WP_348572014.1	WP_160593430.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_014579672.1	WP_160581219.1
OG0000438	WP_348572022.1	WP_160593439.1
OG0000439	WP_020835619.1	WP_160583885.1
OG0000440	WP_160588325.1	WP_160593441.1
OG0000441	WP_011284299.1	WP_160583926.1
OG0000442	WP_160607726.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_002557888.1
OG0000444	WP_348571931.1	WP_002557890.1
OG0000445	WP_348571933.1	WP_002557895.1
OG0000446	WP_146379467.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_160583729.1
OG0000448	WP_011289976.1	WP_160581042.1
OG0000449	WP_348571941.1	WP_002557912.1
OG0000450	WP_348571943.1	WP_160583715.1
OG0000451	WP_011205913.1	WP_160581019.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_348571949.1	WP_002557934.1
OG0000455	WP_348571882.1	WP_160583788.1
OG0000456	WP_011206487.1	WP_160583804.1
OG0000457	WP_348571868.1	WP_160583810.1
OG0000458	WP_179695977.1	WP_002557977.1
OG0000459	WP_348571752.1	WP_160580973.1
OG0000460	WP_348571755.1	WP_002557984.1
OG0000461	WP_348571769.1	WP_160583627.1
OG0000462	WP_348571766.1	WP_160583626.1
OG0000463	WP_135618955.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_348571763.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_348571786.1	WP_308507106.1
OG0000468	WP_348571610.1	WP_039387564.1
OG0000469	WP_348571626.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_348571977.1	WP_039387651.1
OG0000472	WP_348571858.1	WP_160583820.1
OG0000473	WP_044272671.1	WP_039387713.1
OG0000474	WP_348571881.1	WP_039387714.1
OG0000475	WP_160584892.1	WP_220190185.1
OG0000476	WP_014579742.1	WP_039387719.1
OG0000477	WP_348571773.1	WP_039387750.1
OG0000478	WP_146379753.1	WP_160583800.1
OG0000479	WP_348572056.1	WP_160583965.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_308507115.1
OG0000482	WP_348572032.1	WP_334296058.1
OG0000483	WP_348571634.1	WP_255454526.1
OG0000484	WP_348571929.1	WP_308507103.1
OG0000485	WP_011206004.1	WP_039387661.1
OG0000486	WP_160588293.1	WP_255454510.1
OG0000487	WP_348571619.1	WP_052234586.1
OG0000488	WP_348571630.1	WP_002557450.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_160606487.1	WP_002557481.1
OG0000491	WP_348572058.1	WP_002557542.1
OG0000492	WP_348572060.1	WP_160583973.1
OG0000493	WP_348571965.1	WP_160580862.1
OG0000494	WP_020835567.1	WP_160583682.1
OG0000495	WP_160607844.1	WP_160580903.1
OG0000496	WP_011206375.1	WP_160593374.1
OG0000497	WP_348571803.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_011284249.1	WP_160593382.1
OG0000500	WP_348572127.1	WP_160593515.1
OG0000501	WP_220190663.1	WP_160593447.1
OG0000502	WP_348572030.1	WP_160593475.1
OG0000503	WP_348571993.1	WP_002557782.1
OG0000504	WP_146379513.1	WP_160583855.1
OG0000505	WP_011290053.1	WP_160581345.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_348571971.1	WP_002557821.1
OG0000508	WP_020835512.1	WP_002557900.1
OG0000509	WP_020835518.1	WP_220190183.1
OG0000510	WP_011289977.1	WP_002557908.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_348571757.1	WP_160583622.1
OG0000513	WP_348571873.1	WP_160593505.1
OG0000514	WP_348571805.1	WP_160593371.1
OG0000516	WP_348571621.1	WP_160593542.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_044272613.1	WP_160583907.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000520	WP_348571981.1	WP_160581350.1
OG0000521	WP_348571936.1	WP_160583727.1
OG0000522	WP_135618505.1	WP_002557909.1
OG0000523	WP_348571866.1	WP_160583812.1
OG0000524	WP_348571784.1	WP_220190397.1
OG0000525	WP_011290405.1	WP_160583818.1
OG0000528	WP_348571624.1	WP_160581474.1
OG0000529	WP_014579831.1	WP_160583937.1
OG0000530	WP_160585298.1	WP_160593464.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000533	WP_011206110.1	WP_160581332.1
OG0000534	WP_348571947.1	WP_002557926.1
OG0000535	WP_348571913.1	WP_160583753.1
OG0000536	WP_348571891.1	WP_160593497.1
OG0000537	WP_011290028.1	WP_002557776.1
OG0000538	WP_020835608.1	WP_160583873.1
OG0000539	WP_160585545.1	WP_002557892.1
OG0000541	WP_348572155.1	WP_160583649.1
OG0000542	WP_011289986.1	WP_160581026.1
OG0000547	WP_348571811.1	WP_160580878.1
OG0000548	WP_347952439.1	WP_160581410.1
OG0000549	WP_348571855.1	WP_160593511.1
OG0000550	WP_220191147.1	WP_002557950.1
OG0000551	WP_011206407.1	WP_258556254.1
OG0000589	WP_002557988.1	WP_002557988.1
