Orthogroup	MHP_133A_genes	MHP_KM014_genes
OG0000069	NB626_RS03000	CIB43_RS03740
OG0000070	NB626_RS02655	CIB43_RS03400
OG0000071	NB626_RS03460	CIB43_RS00360
OG0000072	NB626_RS03465	CIB43_RS00375
OG0000073	NB626_RS00810	CIB43_RS01580
OG0000075	NB626_RS00340	CIB43_RS01060
OG0000077	NB626_RS00540	CIB43_RS01330
OG0000078	NB626_RS01795	CIB43_RS02560
OG0000079	NB626_RS02740	CIB43_RS03480
OG0000080	NB626_RS02790	CIB43_RS03525
OG0000081	NB626_RS00335	CIB43_RS01055
OG0000083	NB626_RS02155	CIB43_RS02935
OG0000084	NB626_RS02185	CIB43_RS02955
OG0000086	NB626_RS02200	CIB43_RS02970
OG0000087	NB626_RS02215	CIB43_RS02975
OG0000088	NB626_RS02220	CIB43_RS02980
OG0000089	NB626_RS02230	CIB43_RS02990
OG0000090	NB626_RS00070	CIB43_RS00770
OG0000091	NB626_RS00055	CIB43_RS00760
OG0000092	NB626_RS00045	CIB43_RS00745
OG0000093	NB626_RS00035	CIB43_RS00735
OG0000094	NB626_RS00030	CIB43_RS00730
OG0000095	NB626_RS00005	CIB43_RS00715
OG0000096	NB626_RS03825	CIB43_RS00700
OG0000097	NB626_RS03805	CIB43_RS00690
OG0000100	NB626_RS03730	CIB43_RS00610
OG0000101	NB626_RS03725	CIB43_RS00600
OG0000102	NB626_RS01820	CIB43_RS02580
OG0000103	NB626_RS02370	CIB43_RS03110
OG0000104	NB626_RS02375	CIB43_RS03120
OG0000105	NB626_RS02395	CIB43_RS03130
OG0000106	NB626_RS02400	CIB43_RS03140
OG0000107	NB626_RS02410	CIB43_RS03150
OG0000108	NB626_RS02415	CIB43_RS03155
OG0000109	NB626_RS02420	CIB43_RS03160
OG0000110	NB626_RS02550	CIB43_RS03290
OG0000111	NB626_RS02545	CIB43_RS03285
OG0000112	NB626_RS02535	CIB43_RS03280
OG0000113	NB626_RS02510	CIB43_RS03260
OG0000114	NB626_RS02500	CIB43_RS03245
OG0000115	NB626_RS02490	CIB43_RS03230
OG0000116	NB626_RS01415	CIB43_RS02165
OG0000117	NB626_RS01420	CIB43_RS02170
OG0000118	NB626_RS01455	CIB43_RS02205
OG0000119	NB626_RS01460	CIB43_RS02210
OG0000120	NB626_RS01475	CIB43_RS02230
OG0000121	NB626_RS01505	CIB43_RS02250
OG0000122	NB626_RS01510	CIB43_RS02255
OG0000123	NB626_RS01530	CIB43_RS02275
OG0000124	NB626_RS01535	CIB43_RS02280
OG0000125	NB626_RS01540	CIB43_RS02285
OG0000126	NB626_RS01550	CIB43_RS02295
OG0000127	NB626_RS01560	CIB43_RS02305
OG0000128	NB626_RS01575	CIB43_RS02320
OG0000129	NB626_RS01580	CIB43_RS02330
OG0000130	NB626_RS01590	CIB43_RS02335
OG0000131	NB626_RS01620	CIB43_RS02370
OG0000132	NB626_RS01635	CIB43_RS02385
OG0000133	NB626_RS00630	CIB43_RS01415
OG0000134	NB626_RS00635	CIB43_RS01425
OG0000135	NB626_RS00650	CIB43_RS01435
OG0000136	NB626_RS00655	CIB43_RS01440
OG0000137	NB626_RS00685	CIB43_RS01470
OG0000138	NB626_RS00720	CIB43_RS01495
OG0000139	NB626_RS00750	CIB43_RS01525
OG0000140	NB626_RS00755	CIB43_RS01540
OG0000141	NB626_RS03115	CIB43_RS03850
OG0000142	NB626_RS03110	CIB43_RS03845
OG0000143	NB626_RS03095	CIB43_RS03835
OG0000144	NB626_RS03080	CIB43_RS03815
OG0000145	NB626_RS03070	CIB43_RS03805
OG0000146	NB626_RS03060	CIB43_RS03790
OG0000147	NB626_RS03055	CIB43_RS03785
OG0000148	NB626_RS03040	CIB43_RS03780
OG0000149	NB626_RS03030	CIB43_RS03760
OG0000150	NB626_RS03025	CIB43_RS03745
OG0000151	NB626_RS02965	CIB43_RS03700
OG0000152	NB626_RS02960	CIB43_RS03695
OG0000153	NB626_RS02955	CIB43_RS03690
OG0000154	NB626_RS02945	CIB43_RS03680
OG0000155	NB626_RS02905	CIB43_RS03645
OG0000156	NB626_RS02895	CIB43_RS03635
OG0000157	NB626_RS02890	CIB43_RS03625
OG0000158	NB626_RS02880	CIB43_RS03620
OG0000159	NB626_RS02640	CIB43_RS03385
OG0000160	NB626_RS02635	CIB43_RS03380
OG0000161	NB626_RS02630	CIB43_RS03375
OG0000163	NB626_RS02615	CIB43_RS03370
OG0000164	NB626_RS01715	CIB43_RS02495
OG0000165	NB626_RS02075	CIB43_RS02840
OG0000166	NB626_RS02090	CIB43_RS02860
OG0000167	NB626_RS02105	CIB43_RS02875
OG0000168	NB626_RS02110	CIB43_RS02880
OG0000169	NB626_RS03230	CIB43_RS00130
OG0000171	NB626_RS03255	CIB43_RS00155
OG0000172	NB626_RS03260	CIB43_RS00160
OG0000173	NB626_RS03265	CIB43_RS00165
OG0000174	NB626_RS03270	CIB43_RS00170
OG0000175	NB626_RS03290	CIB43_RS00190
OG0000176	NB626_RS03345	CIB43_RS00235
OG0000177	NB626_RS03350	CIB43_RS00240
OG0000178	NB626_RS03355	CIB43_RS00245
OG0000179	NB626_RS03365	CIB43_RS00255
OG0000180	NB626_RS03370	CIB43_RS00260
OG0000181	NB626_RS03410	CIB43_RS00310
OG0000182	NB626_RS03420	CIB43_RS00320
OG0000183	NB626_RS03455	CIB43_RS00355
OG0000184	NB626_RS03500	CIB43_RS00430
OG0000185	NB626_RS03485	CIB43_RS00380
OG0000186	NB626_RS01645	CIB43_RS02400
OG0000187	NB626_RS01660	CIB43_RS02410
OG0000188	NB626_RS01670	CIB43_RS02425
OG0000189	NB626_RS02460	CIB43_RS03200
OG0000190	NB626_RS02455	CIB43_RS03195
OG0000191	NB626_RS02430	CIB43_RS03180
OG0000192	NB626_RS01335	CIB43_RS02085
OG0000193	NB626_RS01320	CIB43_RS02075
OG0000194	NB626_RS00790	CIB43_RS01560
OG0000195	NB626_RS00795	CIB43_RS01565
OG0000196	NB626_RS00820	CIB43_RS01585
OG0000197	NB626_RS00830	CIB43_RS01590
OG0000198	NB626_RS00840	CIB43_RS01605
OG0000199	NB626_RS00845	CIB43_RS01615
OG0000200	NB626_RS00860	CIB43_RS01630
OG0000201	NB626_RS00870	CIB43_RS01635
OG0000202	NB626_RS00940	CIB43_RS01690
OG0000203	NB626_RS00945	CIB43_RS01695
OG0000204	NB626_RS00950	CIB43_RS01700
OG0000205	NB626_RS00955	CIB43_RS01705
OG0000206	NB626_RS00975	CIB43_RS01735
OG0000207	NB626_RS00990	CIB43_RS01740
OG0000208	NB626_RS00995	CIB43_RS01745
OG0000209	NB626_RS01000	CIB43_RS01750
OG0000210	NB626_RS01050	CIB43_RS01800
OG0000211	NB626_RS01065	CIB43_RS01805
OG0000212	NB626_RS01070	CIB43_RS01815
OG0000213	NB626_RS01075	CIB43_RS01820
OG0000214	NB626_RS01080	CIB43_RS01825
OG0000215	NB626_RS01085	CIB43_RS01830
OG0000216	NB626_RS01090	CIB43_RS01835
OG0000217	NB626_RS01095	CIB43_RS01845
OG0000218	NB626_RS01105	CIB43_RS01850
OG0000219	NB626_RS01110	CIB43_RS01855
OG0000220	NB626_RS01115	CIB43_RS01860
OG0000221	NB626_RS01120	CIB43_RS01865
OG0000222	NB626_RS01125	CIB43_RS01870
OG0000223	NB626_RS01130	CIB43_RS01875
OG0000225	NB626_RS01150	CIB43_RS01895
OG0000226	NB626_RS01155	CIB43_RS01900
OG0000227	NB626_RS01160	CIB43_RS01905
OG0000228	NB626_RS01165	CIB43_RS01910
OG0000229	NB626_RS01170	CIB43_RS01915
OG0000230	NB626_RS01180	CIB43_RS01920
OG0000231	NB626_RS01185	CIB43_RS01935
OG0000232	NB626_RS01195	CIB43_RS01940
OG0000233	NB626_RS01215	CIB43_RS01965
OG0000234	NB626_RS01250	CIB43_RS02000
OG0000235	NB626_RS01260	CIB43_RS02005
OG0000236	NB626_RS01265	CIB43_RS02010
OG0000237	NB626_RS01270	CIB43_RS02015
OG0000238	NB626_RS01275	CIB43_RS02025
OG0000239	NB626_RS03125	CIB43_RS03860
OG0000240	NB626_RS03130	CIB43_RS03870
OG0000241	NB626_RS03140	CIB43_RS03875
OG0000242	NB626_RS03145	CIB43_RS03880
OG0000243	NB626_RS03150	CIB43_RS03885
OG0000244	NB626_RS03160	CIB43_RS03900
OG0000245	NB626_RS03170	CIB43_RS03905
OG0000246	NB626_RS00140	CIB43_RS00845
OG0000247	NB626_RS00150	CIB43_RS00850
OG0000248	NB626_RS00160	CIB43_RS00875
OG0000250	NB626_RS00180	CIB43_RS00885
OG0000251	NB626_RS00215	CIB43_RS00925
OG0000252	NB626_RS00220	CIB43_RS00930
OG0000253	NB626_RS00225	CIB43_RS00940
OG0000254	NB626_RS00235	CIB43_RS00950
OG0000255	NB626_RS00240	CIB43_RS00955
OG0000256	NB626_RS00250	CIB43_RS00960
OG0000257	NB626_RS00270	CIB43_RS00985
OG0000258	NB626_RS00280	CIB43_RS01015
OG0000259	NB626_RS00310	CIB43_RS01030
OG0000260	NB626_RS00320	CIB43_RS01045
OG0000262	NB626_RS00350	CIB43_RS01075
OG0000263	NB626_RS00365	CIB43_RS01080
OG0000264	NB626_RS00380	CIB43_RS01100
OG0000265	NB626_RS00390	CIB43_RS01110
OG0000266	NB626_RS00405	CIB43_RS01120
OG0000267	NB626_RS00420	CIB43_RS01135
OG0000268	NB626_RS00520	CIB43_RS01305
OG0000269	NB626_RS00535	CIB43_RS01320
OG0000270	NB626_RS03700	CIB43_RS00575
OG0000271	NB626_RS03695	CIB43_RS00570
OG0000272	NB626_RS03690	CIB43_RS00565
OG0000273	NB626_RS03685	CIB43_RS00560
OG0000274	NB626_RS03670	CIB43_RS00545
OG0000275	NB626_RS03660	CIB43_RS00535
OG0000276	NB626_RS03655	CIB43_RS00530
OG0000277	NB626_RS03645	CIB43_RS00525
OG0000278	NB626_RS03640	CIB43_RS00515
OG0000279	NB626_RS03630	CIB43_RS00510
OG0000280	NB626_RS03620	CIB43_RS00500
OG0000281	NB626_RS03615	CIB43_RS00495
OG0000283	NB626_RS03585	CIB43_RS00475
OG0000284	NB626_RS03580	CIB43_RS00460
OG0000285	NB626_RS03575	CIB43_RS00455
OG0000286	NB626_RS02600	CIB43_RS03345
OG0000287	NB626_RS02700	CIB43_RS03440
OG0000288	NB626_RS02710	CIB43_RS03450
OG0000289	NB626_RS02715	CIB43_RS03455
OG0000290	NB626_RS02830	CIB43_RS03565
OG0000291	NB626_RS02820	CIB43_RS03560
OG0000292	NB626_RS02815	CIB43_RS03550
OG0000293	NB626_RS02810	CIB43_RS03545
OG0000294	NB626_RS02800	CIB43_RS03540
OG0000295	NB626_RS02795	CIB43_RS03530
OG0000296	NB626_RS02750	CIB43_RS03495
OG0000297	NB626_RS02745	CIB43_RS03485
OG0000298	NB626_RS00175	CIB43_RS00880
OG0000299	NB626_RS00195	CIB43_RS00915
OG0000300	NB626_RS00375	CIB43_RS01090
OG0000301	NB626_RS00410	CIB43_RS01125
OG0000302	NB626_RS00415	CIB43_RS01130
OG0000303	NB626_RS00660	CIB43_RS01455
OG0000304	NB626_RS01200	CIB43_RS01950
OG0000305	NB626_RS03065	CIB43_RS03795
OG0000306	NB626_RS02990	CIB43_RS03725
OG0000307	NB626_RS02950	CIB43_RS03685
OG0000308	NB626_RS02850	CIB43_RS03600
OG0000309	NB626_RS02785	CIB43_RS03520
OG0000310	NB626_RS02705	CIB43_RS03445
OG0000311	NB626_RS02660	CIB43_RS03405
OG0000312	NB626_RS02645	CIB43_RS03390
OG0000313	NB626_RS01705	CIB43_RS02485
OG0000314	NB626_RS02085	CIB43_RS02855
OG0000315	NB626_RS02115	CIB43_RS02885
OG0000316	NB626_RS02125	CIB43_RS02895
OG0000317	NB626_RS02225	CIB43_RS02985
OG0000318	NB626_RS02130	CIB43_RS02900
OG0000319	NB626_RS02385	CIB43_RS03125
OG0000320	NB626_RS02525	CIB43_RS03270
OG0000321	NB626_RS01450	CIB43_RS02200
OG0000322	NB626_RS01500	CIB43_RS02245
OG0000323	NB626_RS01630	CIB43_RS02375
OG0000324	NB626_RS02425	CIB43_RS03170
OG0000325	NB626_RS00805	CIB43_RS01570
OG0000326	NB626_RS00910	CIB43_RS01665
OG0000327	NB626_RS00915	CIB43_RS01670
OG0000328	NB626_RS01005	CIB43_RS01760
OG0000329	NB626_RS01035	CIB43_RS01775
OG0000330	NB626_RS01225	CIB43_RS01970
OG0000331	NB626_RS03155	CIB43_RS03890
OG0000332	NB626_RS03300	CIB43_RS00200
OG0000333	NB626_RS03310	CIB43_RS00210
OG0000334	NB626_RS03415	CIB43_RS00315
OG0000335	NB626_RS03425	CIB43_RS00340
OG0000336	NB626_RS03605	CIB43_RS00485
OG0000337	NB626_RS03780	CIB43_RS00655
OG0000338	NB626_RS03820	CIB43_RS00695
OG0000339	NB626_RS02495	CIB43_RS03235
OG0000340	NB626_RS01430	CIB43_RS02185
OG0000341	NB626_RS02450	CIB43_RS03190
OG0000342	NB626_RS00835	CIB43_RS01600
OG0000343	NB626_RS03320	CIB43_RS00215
OG0000344	NB626_RS00675	CIB43_RS01465
OG0000345	NB626_RS01145	CIB43_RS01890
OG0000346	NB626_RS03610	CIB43_RS00490
OG0000347	NB626_RS01525	CIB43_RS02270
OG0000348	NB626_RS00920	CIB43_RS01685
OG0000349	NB626_RS03675	CIB43_RS00550
OG0000350	NB626_RS02940	CIB43_RS03675
OG0000351	NB626_RS00590	CIB43_RS01385
OG0000352	NB626_RS02065	CIB43_RS02830
OG0000353	NB626_RS01490	CIB43_RS02240
OG0000354	NB626_RS00735	CIB43_RS01515
OG0000355	NB626_RS02040	CIB43_RS02805
OG0000356	NB626_RS02120	CIB43_RS02890
OG0000357	NB626_RS03275	CIB43_RS00175
OG0000358	NB626_RS03280	CIB43_RS00180
OG0000359	NB626_RS00880	CIB43_RS01650
OG0000360	NB626_RS00275	CIB43_RS00990
OG0000361	NB626_RS00305	CIB43_RS01020
OG0000362	NB626_RS02725	CIB43_RS03475
OG0000363	NB626_RS01565	CIB43_RS02310
OG0000364	NB626_RS02015	CIB43_RS02775
OG0000369	NB626_RS00025	CIB43_RS00725
OG0000370	NB626_RS00020	CIB43_RS00720
OG0000379	NB626_RS01485	CIB43_RS02235
OG0000380	NB626_RS01520	CIB43_RS02260
OG0000381	NB626_RS01555	CIB43_RS02300
OG0000385	NB626_RS00625	CIB43_RS01405
OG0000389	NB626_RS00715	CIB43_RS01490
OG0000394	NB626_RS02915	CIB43_RS03660
OG0000396	NB626_RS02605	CIB43_RS03350
OG0000403	NB626_RS03325	CIB43_RS00220
OG0000404	NB626_RS03360	CIB43_RS00250
OG0000405	NB626_RS03375	CIB43_RS00265
OG0000409	NB626_RS03445	CIB43_RS00345
OG0000412	NB626_RS03490	CIB43_RS00390
OG0000417	NB626_RS02445	CIB43_RS03185
OG0000428	NB626_RS01040	CIB43_RS01785
OG0000429	NB626_RS01135	CIB43_RS01885
OG0000434	NB626_RS01245	CIB43_RS01985
OG0000436	NB626_RS01280	CIB43_RS02030
OG0000437	NB626_RS01290	CIB43_RS02065
OG0000441	NB626_RS03180	CIB43_RS03910
OG0000451	NB626_RS00370	CIB43_RS01085
OG0000453	NB626_RS00525	CIB43_RS01315
OG0000457	NB626_RS03565	CIB43_RS00450
OG0000459	NB626_RS02720	CIB43_RS03460
OG0000463	NB626_RS02765	CIB43_RS03515
OG0000464	NB626_RS02760	CIB43_RS03500
OG0000466	NB626_RS00400	CIB43_RS01115
OG0000468	NB626_RS02095	CIB43_RS02870
OG0000471	NB626_RS01045	CIB43_RS01790
OG0000473	NB626_RS03705	CIB43_RS00580
OG0000474	NB626_RS03710	CIB43_RS00585
OG0000475	NB626_RS03715	CIB43_RS00595
OG0000482	NB626_RS01325	CIB43_RS02080
OG0000485	NB626_RS01285	CIB43_RS02035
OG0000486	NB626_RS02465	CIB43_RS03205
OG0000487	NB626_RS02150	CIB43_RS02915
OG0000488	NB626_RS02180	CIB43_RS02940
OG0000489	NB626_RS00050	CIB43_RS00750
OG0000491	NB626_RS01465	CIB43_RS02220
OG0000492	NB626_RS01545	CIB43_RS02290
OG0000502	NB626_RS01315	CIB43_RS02070
OG0000504	NB626_RS01015	CIB43_RS01770
OG0000517	NB626_RS00065	CIB43_RS00765
OG0000519	NB626_RS00900	CIB43_RS01660
OG0000523	NB626_RS03560	CIB43_RS00445
OG0000526	NB626_RS01960, NB626_RS01955	CIB43_RS02720
OG0000527	NB626_RS01900	CIB43_RS02640
OG0000530	NB626_RS02505	CIB43_RS03250
OG0000543	NB626_RS00510	CIB43_RS01215
OG0000544	NB626_RS01370	CIB43_RS02125
OG0000545	NB626_RS01945	CIB43_RS02715
OG0000546	NB626_RS02970	CIB43_RS03705
OG0000552	NB626_RS03335	CIB43_RS00225
OG0000553	NB626_RS02870	CIB43_RS03610
OG0000554	NB626_RS02560	CIB43_RS03295
OG0000557	NB626_RS01380	CIB43_RS02130
OG0000558	NB626_RS01350	CIB43_RS02100
OG0000559	NB626_RS01815	CIB43_RS02575
OG0000560	NB626_RS01930	CIB43_RS02680
OG0000561	NB626_RS01230	CIB43_RS01980
OG0000562	NB626_RS01935	CIB43_RS02685
OG0000563	NB626_RS01925	CIB43_RS02670
OG0000564	NB626_RS01410	CIB43_RS02155
OG0000565	NB626_RS02000	CIB43_RS02760
OG0000566	NB626_RS01980	CIB43_RS02740
OG0000568	NB626_RS00785	CIB43_RS01555
OG0000569	NB626_RS01355	CIB43_RS02105
OG0000570	NB626_RS01360	CIB43_RS02110
OG0000571	NB626_RS01365	CIB43_RS02115
OG0000572	NB626_RS01385	CIB43_RS02135
OG0000573	NB626_RS01810	CIB43_RS02570
OG0000574	NB626_RS01425	CIB43_RS02175
OG0000575	NB626_RS01345	CIB43_RS02090
OG0000576	NB626_RS01765	CIB43_RS02530
OG0000577	NB626_RS02840	CIB43_RS03580
OG0000579	NB626_RS01910	CIB43_RS02660
OG0000580	NB626_RS02975	CIB43_RS03710
OG0000581	NB626_RS01905	CIB43_RS02645
OG0000584	NB626_RS00475	CIB43_RS01255
OG0000585	NB626_RS02365	CIB43_RS03105
OG0000588	NB626_RS01755	CIB43_RS02525
OG0000589	NB626_RS02290	CIB43_RS03055
OG0000590	NB626_RS00485	CIB43_RS01190
OG0000595	NB626_RS03190	CIB43_RS03920
OG0000597	NB626_RS03185	CIB43_RS03915
OG0000600	NB626_RS00470	CIB43_RS01175, CIB43_RS00040
OG0000603	NB626_RS00465	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170
OG0000608	NB626_RS01940	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000613	NB626_RS02020	CIB43_RS02785
OG0000616	NB626_RS00445	CIB43_RS01280
OG0000620	NB626_RS02005	CIB43_RS04010
OG0000624	NB626_RS03340	CIB43_RS00230
OG0000642	NB626_RS00495	CIB43_RS03975
